true_parser_kernel_class,member_count,languages,constructs,implementation_classes
TPK_28e98a2c6155e245,1,python,ConditionalTernary,IMPL_f71fe4bc723b
TPK_293695cd25441a63,1,csharp,ArraySliceType,IMPL_cb74d1f373fb
TPK_293cca2a1e86da57,1,julia,MacroPreprocessor,IMPL_fbf83b6e52a3
TPK_29e12f5c387823e8,1,rust,OperatorExpression,IMPL_daa19205d047
TPK_2afe02cdbb321e9d,1,r,OperatorExpression,IMPL_daa19205d047
TPK_2c7d86e3c6c96389,1,julia,Literal,IMPL_980f8398de6d
TPK_2c901a2d8cdf6dbb,1,csharp,Finally,IMPL_e72e7955b098
TPK_2cabd8fcbbd85a48,1,go,MemberAccess,IMPL_e4c0186f177d
TPK_2ccac5b9a4e96cce,1,csharp,FunctionDeclaration,IMPL_4ac002efe842
TPK_2cfc6cc2c4867d8a,1,rust,ArraySliceType,IMPL_cb74d1f373fb
TPK_2d4b396ddf8eabab,1,csharp,InterfaceTraitProtocol,IMPL_12d2cff6f289
TPK_2ececd1cbb561a08,1,java,Interpolation,IMPL_19b56f4e7ae4
TPK_2ed1f793bc26be4d,1,rust,TypeConstraint,IMPL_076079f8fda0
TPK_2fbbb74173b2efb9,1,julia,AggregateCollection,IMPL_6521a7e37bbf
TPK_30a65f922c2abf84,1,python,ImportUse,IMPL_add64281873a
TPK_33b2704e3bec8fc6,1,kotlin,OptionalNullable,IMPL_82d8e54a15de
TPK_33ea4b84be6d21da,1,rust,ImportUse,IMPL_add64281873a
TPK_35ac1fd9789ee8eb,1,rust,ForLoop,IMPL_3c262e5a6671
TPK_38e0910478e5559e,1,kotlin,Call,IMPL_62fd00586e3f
TPK_3998a301aaef400f,1,rust,CastConversion,IMPL_a9e0295f8a1c
TPK_39f350ff223cedcc,1,java,AnnotationAttribute,IMPL_dc28d4a4f7da
TPK_3b76db1c8d1b73d5,1,go,Assignment,IMPL_38ea81139aa4
TPK_3bdb3cf93d6d2922,1,go,MethodDeclaration,IMPL_a4ba40a16d03
TPK_3c880ae8d153d452,1,kotlin,CatchExcept,IMPL_2b9a5e8f7f5e
TPK_3ca24e91e3b557bb,1,python,Interpolation,IMPL_19b56f4e7ae4
TPK_3cb076eba961eed2,1,csharp,Continue,IMPL_44d79a6eef4e
TPK_3cef124ce470519f,1,go,SwitchMatchWhen,IMPL_56493f2e14c6
TPK_3dd7a36d85627e5e,1,go,TypeAlias,IMPL_610b3b80bebb
TPK_3e6801bd2487e97e,1,csharp,MacroPreprocessor,IMPL_fbf83b6e52a3
TPK_3ed1ede6a64d1886,1,csharp,GenericInstantiation,IMPL_03a45ea5ef87
TPK_40020f1217867373,1,cpp,CastConversion,IMPL_a9e0295f8a1c
TPK_407a700c3b57e1bb,1,rust,Yield,IMPL_1b3347bc01b3
TPK_419a606ffdbeb14f,1,zig,VariableDeclaration,IMPL_02fbdf0d1dcb
TPK_427cfca343616af3,1,csharp,VariableDeclaration,IMPL_02fbdf0d1dcb
TPK_42901aa13062fddc,1,go,FunctionDeclaration,IMPL_4ac002efe842
TPK_42b7a4d44028a060,1,go,GotoLabel,IMPL_7f9510a57b52
TPK_42e62e9b25f71558,1,python,Return,IMPL_603c55c6f56b
TPK_46f6ed00ff993f5a,1,rust,Literal,IMPL_980f8398de6d
TPK_4835ae2b5f87d841,1,python,GenericParameter,IMPL_780703a41fd7
TPK_484ee1857e5d0d7a,1,cpp,Literal,IMPL_980f8398de6d
TPK_497c57e70c07a54f,1,csharp,OptionalNullable,IMPL_82d8e54a15de
TPK_499cf0c60bccc4c7,1,rust,VariableDeclaration,IMPL_02fbdf0d1dcb
TPK_4a50257fb686b4ec,1,julia,StructRecord,IMPL_4ef13b7bc45b
TPK_4a754e87fa2c2ca4,2,c;nim,Return,IMPL_603c55c6f56b
TPK_4d0831607f404c7e,1,java,SwitchMatchWhen,IMPL_56493f2e14c6
TPK_4daa95b6483c1cb1,1,zig,Break,IMPL_e2af9920d7c3
TPK_4de32614e67bb8c0,1,csharp,TypeConstraint,IMPL_076079f8fda0
TPK_4f1c2131c9f5a75e,1,cpp,GenericInstantiation,IMPL_03a45ea5ef87
TPK_5058251dec7906b2,1,python,Assignment,IMPL_38ea81139aa4
TPK_529eb2f51ef4d286,1,r,Parameter,IMPL_93f1b5dcf759
TPK_53e196ad1bbacb44,1,python,AnnotationAttribute,IMPL_dc28d4a4f7da
TPK_54568064c75b7594,1,rust,Async,IMPL_b9142cbf127d
TPK_553eb888b3a7fbc7,1,go,GenericInstantiation,IMPL_03a45ea5ef87
TPK_55c549e3d1cc73d5,1,zig,SwitchMatchWhen,IMPL_56493f2e14c6
TPK_568b4099ae286635,1,python,IfConditional,IMPL_a2c0df54f6bd
TPK_56df78a2e34aec59,1,go,IfConditional,IMPL_a2c0df54f6bd
TPK_5a3136ff78575c82,1,csharp,Break,IMPL_e2af9920d7c3
TPK_5a3ef92ff0630595,1,rust,EnumVariant,IMPL_b4c7e0017532
TPK_5a46f4762507a071,1,python,GenericInstantiation,IMPL_03a45ea5ef87
TPK_5a80360d04d520d6,1,nim,CatchExcept,IMPL_2b9a5e8f7f5e
TPK_5b074e8cfbc49793,1,csharp,Literal,IMPL_980f8398de6d
TPK_5b526a1180ea2061,1,rust,FunctionDeclaration,IMPL_4ac002efe842
TPK_5bab4021a504a1ed,1,julia,Assignment,IMPL_38ea81139aa4
TPK_5beec24b1f28e47e,1,cpp,OperatorExpression,IMPL_daa19205d047
TPK_5d09568b27277756,1,csharp,SynchronizationAtomic,IMPL_9d0848e825fb
TPK_5e066c7a63b81652,1,go,Continue,IMPL_44d79a6eef4e
TPK_5f61be237e52814f,1,cpp,Call,IMPL_62fd00586e3f
TPK_5fde52712f65f1f4,2,java;rust,GenericParameter,IMPL_780703a41fd7
TPK_60129239e3e8b99f,1,c,Class,IMPL_9e4e11710d3d
TPK_60152f19e3a2b5af,1,go,Parameter,IMPL_93f1b5dcf759
TPK_6036a80ebf19d268,1,csharp,ConditionalTernary,IMPL_f71fe4bc723b
TPK_603c24f38e13fc8d,1,rust,ConstantDeclaration,IMPL_bb519e635543
TPK_6097d0a5b24df6bd,1,python,Continue,IMPL_44d79a6eef4e
TPK_60e7ca4673bd75eb,1,go,Literal,IMPL_980f8398de6d
TPK_616089316fbec96c,1,kotlin,ClosureLambda,IMPL_2fd52411c6e6
TPK_62c14b7757d3a1a4,2,java;julia,Finally,IMPL_e72e7955b098
TPK_62d7a34d93e15753,1,zig,WhileLoop,IMPL_88fb7315dedd
TPK_62d903a78b9b7851,1,cpp,EnumVariant,IMPL_b4c7e0017532
TPK_6498231797bd44da,1,java,ConstantDeclaration,IMPL_bb519e635543
TPK_64c4d9c15cb28db1,1,nim,SynchronizationAtomic,IMPL_9d0848e825fb
TPK_65021d00ab85a9d0,1,go,PointerReference,IMPL_f114c6eb76b3
TPK_65e63f6d02b551fe,1,cpp,OptionalNullable,IMPL_82d8e54a15de
TPK_678f56c3e765550c,1,zig,Try,IMPL_2b9a5e8f7f5e
TPK_68d97e1cb17e333d,1,rust,Unsafe,IMPL_c6971bcd2e31
TPK_68e66a94dfabf76c,1,rust,Index,IMPL_bf593514388e
TPK_6a091f350d467fdd,1,csharp,PatternDestructuring,IMPL_a0c603fee064
TPK_6a657ccc81c9d6c0,1,cpp,Parameter,IMPL_93f1b5dcf759
TPK_6a80542973c7d3cf,1,python,FunctionDeclaration,IMPL_4ac002efe842
TPK_6ab17d2c465379ea,1,julia,WhileLoop,IMPL_88fb7315dedd
TPK_6b55139c2e855e63,1,csharp,AnnotationAttribute,IMPL_dc28d4a4f7da
TPK_6c2a71164c0e94fb,1,zig,GotoLabel,IMPL_7f9510a57b52
TPK_6e835c1bdbbeb0e0,1,java,EnumVariant,IMPL_b4c7e0017532
TPK_6edc9e77a7c849ab,1,go,GenericParameter,IMPL_780703a41fd7
TPK_6f75743d0842834a,1,c,Call,IMPL_62fd00586e3f
TPK_703fcd72bcc6e688,1,go,Select,IMPL_d5d865b91ded
TPK_709491a9973a6958,1,zig,ModuleNamespace,IMPL_b43af1291396
TPK_714cebc420327aa9,1,kotlin,MemberAccess,IMPL_e4c0186f177d
TPK_718d661bb9f8de18,1,java,AggregateCollection,IMPL_6521a7e37bbf
TPK_71ffbcc25b83a0d1,1,kotlin,Finally,IMPL_e72e7955b098
TPK_726009636ae3ca79,1,rust,PatternDestructuring,IMPL_a0c603fee064
TPK_75d9d5e310124a23,1,go,ForLoop,IMPL_3c262e5a6671
TPK_76857be5abebf988,1,julia,ConditionalTernary,IMPL_f71fe4bc723b
TPK_771f849202536aba,1,rust,MacroPreprocessor,IMPL_fbf83b6e52a3
TPK_7844099e74601628,1,csharp,Unsafe,IMPL_c6971bcd2e31
TPK_78498341c5357898,1,cpp,MethodDeclaration,IMPL_a4ba40a16d03
TPK_78d4478fc3855b1e,1,cpp,PatternDestructuring,IMPL_a0c603fee064
TPK_7a06af54b3a215ae,1,go,Call,IMPL_62fd00586e3f
TPK_7a4224ad8fe2bf67,1,csharp,PointerReference,IMPL_f114c6eb76b3
TPK_7aae713fac58e6d6,1,go,TypeAssertTest,IMPL_4efc4b747e5c
TPK_7ab5f2b7bf6fcebb,1,zig,Continue,IMPL_44d79a6eef4e
TPK_7adea1fd679fa363,1,julia,Interpolation,IMPL_19b56f4e7ae4
TPK_7b7d8e450a5a3e57,1,zig,PointerReference,IMPL_f114c6eb76b3
TPK_7b96179165cb86af,1,java,ThrowRaisePanic,IMPL_57135da91197
TPK_7ba88dab355f2974,1,go,InterfaceTraitProtocol,IMPL_12d2cff6f289
TPK_7c930678d8b3315d,1,kotlin,ImportUse,IMPL_add64281873a
TPK_7cb2a28d7cff41df,1,zig,MemberAccess,IMPL_e4c0186f177d
TPK_7d28ff9304778678,1,rust,GenericInstantiation,IMPL_03a45ea5ef87
TPK_7d66cb080adac82a,1,java,Literal,IMPL_980f8398de6d
TPK_7dbd7b6f412b98b5,1,rust,MemberAccess,IMPL_e4c0186f177d
TPK_7dd635f28f41bccc,1,julia,Break,IMPL_e2af9920d7c3
TPK_7e10c2080bb4c432,1,c,Parameter,IMPL_93f1b5dcf759
TPK_7f29b9a30626b42b,1,kotlin,Assignment,IMPL_38ea81139aa4
TPK_7f2fdb15a2abece9,1,c,Literal,IMPL_980f8398de6d
TPK_7fe451ce0bc4294f,1,python,Index,IMPL_bf593514388e
TPK_8106b24b71ad7be2,1,rust,ClosureLambda,IMPL_2fd52411c6e6
TPK_815909bbdaedc828,1,zig,OptionalNullable,IMPL_82d8e54a15de
TPK_87ec32dfa359c723,1,zig,Await,IMPL_23ca78757ab5
TPK_885e63a51ae66154,1,c,AggregateCollection,IMPL_6521a7e37bbf
TPK_88943e5e3e555baa,1,nim,StructRecord,IMPL_4ef13b7bc45b
TPK_88aed7cc1738c8c4,1,kotlin,TypeConstraint,IMPL_076079f8fda0
TPK_8b4e56f2b3563688,1,rust,Tuple,IMPL_00b2b59dbd2a
TPK_8c68df22385bb849,1,c,MemberAccess,IMPL_e4c0186f177d
TPK_8cde81c9b75143e9,1,r,ForLoop,IMPL_3c262e5a6671
TPK_8d8d3142c499b3a7,1,java,InterfaceTraitProtocol,IMPL_12d2cff6f289
TPK_8e48880beceae87a,1,kotlin,OperatorExpression,IMPL_daa19205d047
TPK_8e4bea6f0cd2165a,3,c;cpp;r,WhileLoop,IMPL_88fb7315dedd
TPK_8f23aa368733ed19,1,cpp,ImportUse,IMPL_add64281873a
TPK_8fb32a54a907cbc4,1,c,FunctionDeclaration,IMPL_4ac002efe842
TPK_90692bfa2da9da3a,1,c,MacroPreprocessor,IMPL_fbf83b6e52a3
TPK_90742d6a36b151bb,1,go,Slice,IMPL_443565cf1bb8
TPK_92c0f548ddef4e40,1,cpp,VisibilityModifier,IMPL_9a9e3f3a9ae7
TPK_9487d98ddb2a04c0,1,nim,ThrowRaisePanic,IMPL_57135da91197
TPK_950f54f2b9dd655d,1,cpp,ThrowRaisePanic,IMPL_57135da91197
TPK_952392ebaa5b105b,1,zig,Parameter,IMPL_93f1b5dcf759
TPK_952ad77367cf77ae,1,csharp,ForLoop,IMPL_3c262e5a6671
TPK_95590c64bfdbf156,1,csharp,Interpolation,IMPL_19b56f4e7ae4
TPK_9604529ce8dee3cf,1,python,Tuple,IMPL_00b2b59dbd2a
TPK_96888e0ea2365a70,1,zig,ArraySliceType,IMPL_cb74d1f373fb
TPK_975a378eea6bade2,1,csharp,CastConversion,IMPL_a9e0295f8a1c
TPK_984ba75ee1084e72,1,java,ModuleNamespace,IMPL_b43af1291396
TPK_9875a0b241dc34d7,1,csharp,CatchExcept,IMPL_2b9a5e8f7f5e
TPK_98a3131853d3ef74,1,go,Return,IMPL_603c55c6f56b
TPK_99568966374e593d,1,zig,CatchExcept,IMPL_2b9a5e8f7f5e
TPK_9a09af814951562e,1,rust,Assignment,IMPL_38ea81139aa4
TPK_9a29844644bd83d0,1,cpp,ClosureLambda,IMPL_2fd52411c6e6
TPK_9cbb77bdeeca8cb6,1,cpp,Assignment,IMPL_38ea81139aa4
TPK_9ea4e2d1415062b7,1,cpp,Index,IMPL_bf593514388e
TPK_9f1335d287e83370,1,kotlin,Literal,IMPL_980f8398de6d
TPK_a0171f1cee15ced9,1,julia,MemberAccess,IMPL_e4c0186f177d
TPK_a20cba08e5f94859,1,cpp,Yield,IMPL_1b3347bc01b3
TPK_a2c88ecb730f9c8d,2,c;cpp,GotoLabel,IMPL_7f9510a57b52
TPK_a3e15a1bcdf5c239,1,rust,Call,IMPL_62fd00586e3f
TPK_a44ab41c2b0e42cd,1,python,ForLoop,IMPL_3c262e5a6671
TPK_a4e7663592c52e29,1,rust,Range,IMPL_fad789c7b068
TPK_a5635d30fb1075f4,1,julia,CatchExcept,IMPL_2b9a5e8f7f5e
TPK_a5753683ecdbca2f,1,kotlin,AnnotationAttribute,IMPL_dc28d4a4f7da
TPK_a643399e210e5a94,1,go,SpawnTask,IMPL_eed3ee4dac28
TPK_a6b2d03145a63ce3,1,zig,OperatorExpression,IMPL_daa19205d047
TPK_a81d6fba7c7d19eb,1,nim,Assignment,IMPL_38ea81139aa4
TPK_a909f5a9a9dfc67a,1,csharp,MemberAccess,IMPL_e4c0186f177d
TPK_a979087c0c94368e,1,csharp,Yield,IMPL_1b3347bc01b3
TPK_a9b77c82bd77c498,1,cpp,ConditionalTernary,IMPL_f71fe4bc723b
TPK_aa46cc7ffb4eed63,1,cpp,Try,IMPL_2b9a5e8f7f5e
TPK_ac4fc470bdde6b44,2,c;cpp,SwitchMatchWhen,IMPL_56493f2e14c6
TPK_acc89bb32910e825,1,java,StructRecord,IMPL_4ef13b7bc45b
TPK_ae37dafa027868f2,1,csharp,ModuleNamespace,IMPL_b43af1291396
TPK_afd25d16b55e5833,1,c,ConditionalTernary,IMPL_f71fe4bc723b
TPK_b01a5708ee78a766,1,python,Class,IMPL_9e4e11710d3d
TPK_b0a9e69d18bb1bbd,1,rust,Parameter,IMPL_93f1b5dcf759
TPK_b30c96b4e9b6e1ec,1,cpp,AnnotationAttribute,IMPL_dc28d4a4f7da
TPK_b31325ff66353af4,1,rust,WhileLoop,IMPL_88fb7315dedd
TPK_b43fa86e07c6b959,1,r,ModuleNamespace,IMPL_b43af1291396
TPK_b479fc388569b558,1,rust,Break,IMPL_e2af9920d7c3
TPK_b480a508aeb6a982,1,c,StructRecord,IMPL_4ef13b7bc45b
TPK_b49a35f6ef540815,1,rust,StructRecord,IMPL_4ef13b7bc45b
TPK_b4de9a0980d24582,1,csharp,Assignment,IMPL_38ea81139aa4
TPK_b4f2b59389d2b24f,1,julia,Range,IMPL_fad789c7b068
TPK_b50de61a9f84c062,1,nim,ImportUse,IMPL_add64281873a
TPK_b5e4e3cbf901aedf,1,nim,Literal,IMPL_980f8398de6d
TPK_b760cf1e1f2051a9,1,nim,GenericParameter,IMPL_780703a41fd7
TPK_b7cba81ff380e55d,1,python,Comprehension,IMPL_8fe8f39c9a37
TPK_b7e4a213f6823dd8,1,c,CastConversion,IMPL_a9e0295f8a1c
TPK_b8383ff1c27fe7d1,1,csharp,ThrowRaisePanic,IMPL_57135da91197
TPK_baf3d8e141619011,1,julia,Call,IMPL_62fd00586e3f
TPK_bb20ce0ebe181fe7,1,c,ArraySliceType,IMPL_cb74d1f373fb
TPK_bb38e56d08e2a053,1,java,Class,IMPL_9e4e11710d3d
TPK_bbcbc2c767ee42d5,1,kotlin,Parameter,IMPL_93f1b5dcf759
TPK_bc6baf497ad2f005,1,csharp,StructRecord,IMPL_4ef13b7bc45b
TPK_bec1d0ea27c1b49c,1,python,PatternDestructuring,IMPL_a0c603fee064
TPK_bec9c6c85aec59ab,2,csharp;rust,Slice,IMPL_443565cf1bb8
TPK_bfdfcd554dbf1f1b,1,julia,Index,IMPL_bf593514388e
TPK_bfe05672cbd1ee85,1,julia,OperatorExpression,IMPL_daa19205d047
TPK_c0112529ef1a96d0,1,rust,IfConditional,IMPL_a2c0df54f6bd
TPK_c2548ff9d4fff921,1,kotlin,Class,IMPL_9e4e11710d3d
TPK_c281f57cccfa4947,1,julia,ImportUse,IMPL_add64281873a
TPK_c2ded6da83c4c425,1,julia,FunctionDeclaration,IMPL_4ac002efe842
TPK_c3af565c89c21ae1,1,csharp,Tuple,IMPL_00b2b59dbd2a
TPK_c43e8fd80796c29d,1,python,ThrowRaisePanic,IMPL_57135da91197
TPK_c4534bcca618b3ff,1,nim,Finally,IMPL_e72e7955b098
TPK_c556184615e1469b,1,kotlin,GenericInstantiation,IMPL_03a45ea5ef87
TPK_c59fd933a12f0fab,1,rust,AggregateCollection,IMPL_6521a7e37bbf
TPK_c5a5901403f12d82,1,go,StructRecord,IMPL_4ef13b7bc45b
TPK_c644576165973254,1,nim,Tuple,IMPL_00b2b59dbd2a
TPK_c6728856406d27a3,1,c,ImportUse,IMPL_add64281873a
TPK_c726ee78a273bff4,3,c;cpp;nim,Break,IMPL_e2af9920d7c3
TPK_c7c968411773ae2b,1,csharp,ForeachEnhancedFor,IMPL_37a20ea0c16e
TPK_c8360e5355823ace,1,julia,ForLoop,IMPL_3c262e5a6671
TPK_c843707e7e2c3ede,1,kotlin,Interpolation,IMPL_19b56f4e7ae4
TPK_c9a82ea8cc6dca92,1,rust,Await,IMPL_23ca78757ab5
TPK_cab42364b75e387c,1,python,Try,IMPL_2b9a5e8f7f5e
TPK_caca8e6fdd2e8fcd,1,python,SwitchMatchWhen,IMPL_56493f2e14c6
TPK_cadde2b22e975d99,1,go,Range,IMPL_fad789c7b068
TPK_cd0f6250e1f5d39b,1,zig,Range,IMPL_fad789c7b068
TPK_cebc4361427b10cd,1,julia,Comprehension,IMPL_8fe8f39c9a37
TPK_cf6ba96e26719bc0,1,kotlin,EnumVariant,IMPL_b4c7e0017532
TPK_d16eadfc2d2d192e,1,go,ImportUse,IMPL_add64281873a
TPK_d1cec44e432b80a3,1,rust,ForeignFFI,IMPL_54a78cc622db
TPK_d2bb0f6a2484f82f,1,rust,SwitchMatchWhen,IMPL_56493f2e14c6
TPK_d3027ad9b441fa38,1,zig,ForLoop,IMPL_3c262e5a6671
TPK_d33f721ea28ad353,1,csharp,OperatorExpression,IMPL_daa19205d047
TPK_d3de32dcd206342f,3,csharp;java;nim,MethodDeclaration,IMPL_a4ba40a16d03
TPK_d658befcd4c54608,1,go,VariableDeclaration,IMPL_02fbdf0d1dcb
TPK_d6595d0ce7b596e5,1,zig,Assignment,IMPL_38ea81139aa4
TPK_d6a739efe46faaeb,1,c,EnumVariant,IMPL_b4c7e0017532
TPK_d730779d373f3db4,1,nim,EnumVariant,IMPL_b4c7e0017532
TPK_d81653d06162b526,1,julia,Continue,IMPL_44d79a6eef4e
TPK_d8dcb1b0ec352bf6,1,c,Assignment,IMPL_38ea81139aa4
TPK_d8f8fe65422b325a,1,nim,VariableDeclaration,IMPL_02fbdf0d1dcb
TPK_d9649bc406da8868,1,zig,StructRecord,IMPL_4ef13b7bc45b
TPK_d983ff959d1e7a44,1,cpp,AggregateCollection,IMPL_6521a7e37bbf
TPK_d9913a3f93755c2c,1,cpp,ForLoop,IMPL_3c262e5a6671
TPK_d9adb34c3752f7b1,1,julia,Try,IMPL_2b9a5e8f7f5e
TPK_db27a484b15128f5,1,nim,Parameter,IMPL_93f1b5dcf759
TPK_db42ae9d962ab0a7,1,zig,IfConditional,IMPL_a2c0df54f6bd
TPK_dbea220b047d7e5f,1,go,ConstantDeclaration,IMPL_bb519e635543
TPK_dc11be610038b253,1,cpp,TypeConstraint,IMPL_076079f8fda0
TPK_dc243360b049ba40,1,r,FunctionDeclaration,IMPL_4ac002efe842
TPK_dc74d4fc1ec8e6ae,1,python,WhileLoop,IMPL_88fb7315dedd
TPK_dc753c0d9caca707,1,go,CastConversion,IMPL_a9e0295f8a1c
TPK_dd6ede764d9d9aff,1,cpp,CatchExcept,IMPL_2b9a5e8f7f5e
TPK_dddcff668a3baf0a,1,cpp,ArraySliceType,IMPL_cb74d1f373fb
TPK_de67af9f9f916161,1,julia,IfConditional,IMPL_a2c0df54f6bd
TPK_de69c18d083d4acc,1,julia,VisibilityModifier,IMPL_9a9e3f3a9ae7
TPK_ded6042db9a2163b,1,python,Yield,IMPL_1b3347bc01b3
TPK_e051869d308b50fb,1,python,Parameter,IMPL_93f1b5dcf759
TPK_e174b553cb89904a,1,c,OperatorExpression,IMPL_daa19205d047
TPK_e2409cf49520a0fb,1,csharp,Await,IMPL_23ca78757ab5
TPK_e2d824ff04b8a038,1,nim,AggregateCollection,IMPL_6521a7e37bbf
TPK_e3e0fe23333f962b,1,cpp,Return,IMPL_603c55c6f56b
TPK_e413a7b0ea7b725e,1,csharp,Try,IMPL_2b9a5e8f7f5e
TPK_e5209f4131c9f39a,1,python,CatchExcept,IMPL_2b9a5e8f7f5e
TPK_e621c6bf698ef6f8,1,nim,Yield,IMPL_1b3347bc01b3
TPK_e6ade91a723102a0,1,rust,VisibilityModifier,IMPL_9a9e3f3a9ae7
TPK_e76c768e672ad6fb,1,cpp,MemberAccess,IMPL_e4c0186f177d
TPK_e8592009dde92a3d,1,python,TypeAlias,IMPL_610b3b80bebb
TPK_e8b9a4bfc8408e1a,1,go,Break,IMPL_e2af9920d7c3
TPK_e98c659aa3b28914,1,csharp,EnumVariant,IMPL_b4c7e0017532
TPK_ea22f145a230da28,1,zig,AggregateCollection,IMPL_6521a7e37bbf
TPK_ec1331ce5f960980,1,java,ArraySliceType,IMPL_cb74d1f373fb
TPK_ece011903f2f9f06,1,go,ChannelSendReceive,IMPL_4a89432519d7
TPK_edb2a28160d90677,1,rust,OwnershipLifetime,IMPL_559a53e30f66
TPK_ef6b6a882c8f6cef,1,go,ArraySliceType,IMPL_cb74d1f373fb
TPK_f1b842f3a00393c8,1,java,Parameter,IMPL_93f1b5dcf759
TPK_f32624ca94877393,1,go,MapDictionaryType,IMPL_ec128b12a283
TPK_f3c92335bbff596f,1,python,Await,IMPL_23ca78757ab5
TPK_f4755e11012bce32,3,c;cpp;nim,Continue,IMPL_44d79a6eef4e
TPK_f61ae5cda7e3ffd4,1,nim,GenericInstantiation,IMPL_03a45ea5ef87
TPK_f63fb855b62dad99,1,cpp,ModuleNamespace,IMPL_b43af1291396
TPK_f6591b2ad4a94c46,1,zig,DeferCleanup,IMPL_9ef86f313d53
