language,field,field_id
nim,field_rewrite_pattern,20
nim,field_right,21
nim,field_type,22
nim,field_value,23
nim,field_values,24
csharp,field_accessors,1
csharp,field_alias,2
csharp,field_alternative,3
csharp,field_argument,4
csharp,field_arguments,5
csharp,field_body,6
csharp,field_condition,7
csharp,field_consequence,8
csharp,field_content,9
csharp,field_expression,10
csharp,field_function,11
csharp,field_initializer,12
csharp,field_left,13
csharp,field_name,14
csharp,field_operator,15
csharp,field_parameters,16
csharp,field_pattern,17
csharp,field_qualifier,18
csharp,field_rank,19
csharp,field_returns,20
csharp,field_right,21
csharp,field_subscript,22
csharp,field_type,23
csharp,field_type_parameters,24
csharp,field_update,25
csharp,field_value,26
java,field_alternative,1
java,field_arguments,2
java,field_array,3
java,field_body,4
java,field_condition,5
java,field_consequence,6
java,field_constructor,7
java,field_declarator,8
java,field_dimensions,9
java,field_element,10
java,field_field,11
java,field_index,12
java,field_init,13
java,field_interfaces,14
java,field_key,15
java,field_left,16
java,field_modifiers,17
java,field_module,18
java,field_modules,19
java,field_name,20
java,field_object,21
java,field_operand,22
java,field_operator,23
java,field_package,24
java,field_parameters,25
java,field_pattern,26
java,field_permits,27
java,field_provided,28
java,field_provider,29
java,field_resources,30
java,field_right,31
java,field_scope,32
java,field_superclass,33
java,field_template_argument,34
java,field_template_processor,35
java,field_type,36
java,field_type_arguments,37
java,field_type_parameters,38
java,field_update,39
java,field_value,40
kotlin,field_alternative,1
kotlin,field_condition,2
kotlin,field_consequence,3
kotlin,field_receiver,4
