language,construct_id,construct,required,implementation_class,implementation_role_vector,uast_structures,uasf_seed,semantic_axes,uast_relations,uast_fields,uast_layers,true_parser_kernel_class,parse_state_count,lex_state_count,external_lex_state_count,parser_kernel_resolved,CURRENT_FRONTEND_CAPABILITY,MISSING
java,C001,ModuleNamespace,1,IMPL_b43af1291396,10110000000000000000000000000000,ModuleDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,TPK_984ba75ee1084e72,6,0,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
kotlin,C001,ModuleNamespace,1,IMPL_b43af1291396,10110000000000000000000000000000,ModuleDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
swift,C001,ModuleNamespace,?,IMPL_b43af1291396,10110000000000000000000000000000,ModuleDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
r,C002,ImportUse,1,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
go,C002,ImportUse,1,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,TPK_d16eadfc2d2d192e,12,2,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
rust,C002,ImportUse,1,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,TPK_33ea4b84be6d21da,39,3,1,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
cpp,C002,ImportUse,1,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,TPK_8f23aa368733ed19,120,3,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
c,C002,ImportUse,1,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,TPK_c6728856406d27a3,44,3,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
python,C002,ImportUse,1,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,TPK_30a65f922c2abf84,156,3,7,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
zig,C002,ImportUse,?,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
julia,C002,ImportUse,1,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,TPK_c281f57cccfa4947,2096,7,3,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
nim,C002,ImportUse,1,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,TPK_b50de61a9f84c062,1071,0,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
csharp,C002,ImportUse,1,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,TPK_1f69fab4203aa76a,33,1,1,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
java,C002,ImportUse,1,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
kotlin,C002,ImportUse,1,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,TPK_7c930678d8b3315d,3,0,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
swift,C002,ImportUse,1,IMPL_add64281873a,11110000000000000000000000000000,ImportDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
r,C003,VariableDeclaration,1,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
go,C003,VariableDeclaration,1,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,TPK_d658befcd4c54608,27,1,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
rust,C003,VariableDeclaration,1,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,TPK_499cf0c60bccc4c7,39,3,1,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
cpp,C003,VariableDeclaration,1,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
c,C003,VariableDeclaration,?,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
python,C003,VariableDeclaration,1,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
zig,C003,VariableDeclaration,1,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,TPK_419a606ffdbeb14f,69,2,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
julia,C003,VariableDeclaration,?,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
nim,C003,VariableDeclaration,1,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,TPK_d8f8fe65422b325a,14,0,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
csharp,C003,VariableDeclaration,1,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,TPK_427cfca343616af3,166,1,1,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
java,C003,VariableDeclaration,1,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
kotlin,C003,VariableDeclaration,1,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,TPK_037b06565a21bf5b,159,0,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
swift,C003,VariableDeclaration,1,IMPL_02fbdf0d1dcb,00110000000000000000000000000000,VariableDecl;VariableDeclGroup,UASF_0075;UASF_0303,binding.graph;data.flow;nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;name.resolves;scope.parent,attributes;binding_refs;effects;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;data.flow;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
r,C004,ConstantDeclaration,1,IMPL_bb519e635543,00110000000000000000000000000000,ConstantDecl,UASF_0302,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;name.resolves,attributes;binding_refs;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
go,C004,ConstantDeclaration,1,IMPL_bb519e635543,00110000000000000000000000000000,ConstantDecl,UASF_0302,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;name.resolves,attributes;binding_refs;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,TPK_dbea220b047d7e5f,20,1,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
rust,C004,ConstantDeclaration,1,IMPL_bb519e635543,00110000000000000000000000000000,ConstantDecl,UASF_0302,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;name.resolves,attributes;binding_refs;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,TPK_603c24f38e13fc8d,39,3,1,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
cpp,C004,ConstantDeclaration,1,IMPL_bb519e635543,00110000000000000000000000000000,ConstantDecl,UASF_0302,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;name.resolves,attributes;binding_refs;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
c,C004,ConstantDeclaration,?,IMPL_bb519e635543,00110000000000000000000000000000,ConstantDecl,UASF_0302,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;name.resolves,attributes;binding_refs;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
python,C004,ConstantDeclaration,1,IMPL_bb519e635543,00110000000000000000000000000000,ConstantDecl,UASF_0302,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;name.resolves,attributes;binding_refs;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
zig,C004,ConstantDeclaration,?,IMPL_bb519e635543,00110000000000000000000000000000,ConstantDecl,UASF_0302,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;name.resolves,attributes;binding_refs;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
julia,C004,ConstantDeclaration,?,IMPL_bb519e635543,00110000000000000000000000000000,ConstantDecl,UASF_0302,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;name.resolves,attributes;binding_refs;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
nim,C004,ConstantDeclaration,?,IMPL_bb519e635543,00110000000000000000000000000000,ConstantDecl,UASF_0302,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;name.resolves,attributes;binding_refs;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
csharp,C004,ConstantDeclaration,1,IMPL_bb519e635543,00110000000000000000000000000000,ConstantDecl,UASF_0302,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;name.resolves,attributes;binding_refs;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
java,C004,ConstantDeclaration,1,IMPL_bb519e635543,00110000000000000000000000000000,ConstantDecl,UASF_0302,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;name.resolves,attributes;binding_refs;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,TPK_6498231797bd44da,6,0,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
kotlin,C004,ConstantDeclaration,1,IMPL_bb519e635543,00110000000000000000000000000000,ConstantDecl,UASF_0302,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;name.resolves,attributes;binding_refs;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
swift,C004,ConstantDeclaration,?,IMPL_bb519e635543,00110000000000000000000000000000,ConstantDecl,UASF_0302,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;name.resolves,attributes;binding_refs;extensions;id;kind;name;operands;results;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
r,C005,Assignment,1,IMPL_38ea81139aa4,00011000000000000000000000000100,AssignStmt,UASF_0220,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,data.flow;evaluation;structure.expression,,0,0,0,0,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
go,C005,Assignment,1,IMPL_38ea81139aa4,00011000000000000000000000000100,AssignStmt,UASF_0220,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;evaluation.before;name.resolves;operation.kind,attributes;binding_refs;effects;evaluation_order;extensions;id;kind;operands;operation;results;semantic_facets;source_span;symbol;value,data.flow;evaluation;structure.expression,TPK_3b76db1c8d1b73d5,27,1,0,1,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT
