language,lexer_function,lex_state,transition_kind,target_lex_state,guard,guard_hash
r,ts_lex,21,ADVANCE,64,('0' <= lookahead && lookahead <= '9'),2a5b7037f9a70010
r,ts_lex,22,ADVANCE,64,('0' <= lookahead && lookahead <= '9'),2a5b7037f9a70010
r,ts_lex,23,ADVANCE,20,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,24,ADVANCE,81,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,25,ADVANCE,16,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,26,ADVANCE,10,lookahead != 0,f17dad6061ff6bc7
r,ts_lex,29,ADVANCE,48,lookahead == '=',1b33f162b46f2f5f
r,ts_lex,32,ADVANCE,49,lookahead == '=',1b33f162b46f2f5f
r,ts_lex,34,ADVANCE,38,lookahead == '>',5e81cf9467498d7d
r,ts_lex,38,ADVANCE,39,lookahead == '>',5e81cf9467498d7d
r,ts_lex,40,ADVANCE,55,lookahead == '>',5e81cf9467498d7d
r,ts_lex,40,ADVANCE,42,lookahead == '|',c332c7644e044cda
r,ts_lex,41,ADVANCE,43,lookahead == '&',f78ed0ffd68a819a
r,ts_lex,44,ADVANCE,35,lookahead == '-',092230c69dc29ffc
r,ts_lex,44,ADVANCE,6,lookahead == '<',0c5d4f71a3e9d615
r,ts_lex,44,ADVANCE,45,lookahead == '=',1b33f162b46f2f5f
r,ts_lex,46,ADVANCE,47,lookahead == '=',1b33f162b46f2f5f
r,ts_lex,50,ADVANCE,52,lookahead == '*',9d98560d7f603112
r,ts_lex,56,ADVANCE,60,lookahead == ':',58acc55239489100
r,ts_lex,56,ADVANCE,37,lookahead == '=',1b33f162b46f2f5f
r,ts_lex,57,ADVANCE,37,lookahead == '=',1b33f162b46f2f5f
r,ts_lex,60,ADVANCE,61,lookahead == ':',58acc55239489100
r,ts_lex,62,ADVANCE,63,lookahead == '.',6bbce737356f8bbd
r,ts_lex,62,ADVANCE,21,lookahead == 'P' || lookahead == 'p',e2b088cb6410fdfe
r,ts_lex,62,ADVANCE,62,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,63,ADVANCE,21,lookahead == 'P' || lookahead == 'p',e2b088cb6410fdfe
r,ts_lex,63,ADVANCE,63,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,64,ADVANCE,64,('0' <= lookahead && lookahead <= '9'),2a5b7037f9a70010
r,ts_lex,65,ADVANCE,68,lookahead == '.',6bbce737356f8bbd
r,ts_lex,65,ADVANCE,67,lookahead == 'E' || lookahead == 'e',027c0ce324102813
r,ts_lex,65,ADVANCE,7,lookahead == 'X' || lookahead == 'x',b4f18e1012f8b8ec
r,ts_lex,65,ADVANCE,66,('0' <= lookahead && lookahead <= '9'),2a5b7037f9a70010
r,ts_lex,66,ADVANCE,68,lookahead == '.',6bbce737356f8bbd
r,ts_lex,66,ADVANCE,67,lookahead == 'E' || lookahead == 'e',027c0ce324102813
r,ts_lex,66,ADVANCE,66,('0' <= lookahead && lookahead <= '9'),2a5b7037f9a70010
r,ts_lex,67,ADVANCE,69,lookahead == '+' || lookahead == '-',5f9a0df90d8ac33b
r,ts_lex,67,ADVANCE,69,('0' <= lookahead && lookahead <= '9'),2a5b7037f9a70010
r,ts_lex,68,ADVANCE,67,lookahead == 'E' || lookahead == 'e',027c0ce324102813
r,ts_lex,68,ADVANCE,68,('0' <= lookahead && lookahead <= '9'),2a5b7037f9a70010
r,ts_lex,69,ADVANCE,69,('0' <= lookahead && lookahead <= '9'),2a5b7037f9a70010
r,ts_lex,72,ADVANCE,73,lookahead == '#',38c19b89ce1b2fd3
r,ts_lex,72,ADVANCE,72,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' ',1f8ddc7342cd63b6
r,ts_lex,72,ADVANCE,74,lookahead != 0 && lookahead != '\'' && lookahead != '\\',cd3c52fd46eae554
r,ts_lex,73,ADVANCE,74,lookahead == '\n' || lookahead == '\r',37f7d40e798f0ba6
r,ts_lex,73,ADVANCE,73,lookahead != 0 && lookahead != '\'' && lookahead != '\\',cd3c52fd46eae554
r,ts_lex,74,ADVANCE,74,lookahead != 0 && lookahead != '\'' && lookahead != '\\',cd3c52fd46eae554
r,ts_lex,75,ADVANCE,76,lookahead == '#',38c19b89ce1b2fd3
r,ts_lex,75,ADVANCE,75,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' ',1f8ddc7342cd63b6
r,ts_lex,75,ADVANCE,77,"lookahead != 0 && lookahead != '""' && lookahead != '#' && lookahead != '\\'",f2fcd303570b52d6
r,ts_lex,76,ADVANCE,77,lookahead == '\n' || lookahead == '\r',37f7d40e798f0ba6
r,ts_lex,76,ADVANCE,76,"lookahead != 0 && lookahead != '""' && lookahead != '\\'",1c5689e2a6d41323
r,ts_lex,77,ADVANCE,77,"lookahead != 0 && lookahead != '""' && lookahead != '\\'",1c5689e2a6d41323
r,ts_lex,79,ADVANCE,78,('0' <= lookahead && lookahead <= '7'),ef2b1dca36f0e0ac
r,ts_lex,80,ADVANCE,79,('0' <= lookahead && lookahead <= '7'),ef2b1dca36f0e0ac
r,ts_lex,81,ADVANCE,78,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,82,ADVANCE,81,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,83,ADVANCE,82,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,84,ADVANCE,83,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,85,ADVANCE,84,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,86,ADVANCE,85,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,87,ADVANCE,86,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
r,ts_lex,88,ADVANCE,95,"set_contains(sym_identifier_character_set_3, 777, lookahead)",1fdfcdbf23e8a15b
r,ts_lex,89,ADVANCE,89,('0' <= lookahead && lookahead <= '9'),2a5b7037f9a70010
r,ts_lex,89,ADVANCE,95,"set_contains(sym_identifier_character_set_3, 777, lookahead)",1fdfcdbf23e8a15b
r,ts_lex,91,ADVANCE,93,lookahead == '.',6bbce737356f8bbd
r,ts_lex,91,ADVANCE,68,('0' <= lookahead && lookahead <= '9'),2a5b7037f9a70010
r,ts_lex,91,ADVANCE,95,"set_contains(sym_identifier_character_set_2, 669, lookahead)",d2fa185248f561d7
r,ts_lex,92,ADVANCE,93,lookahead == '.',6bbce737356f8bbd
r,ts_lex,92,ADVANCE,95,"set_contains(sym_identifier_character_set_2, 669, lookahead)",d2fa185248f561d7
r,ts_lex,93,ADVANCE,88,lookahead == '.',6bbce737356f8bbd
r,ts_lex,93,ADVANCE,89,('0' <= lookahead && lookahead <= '9'),2a5b7037f9a70010
r,ts_lex,93,ADVANCE,95,"set_contains(sym_identifier_character_set_3, 777, lookahead)",1fdfcdbf23e8a15b
r,ts_lex,94,ADVANCE,95,"set_contains(sym_identifier_character_set_2, 669, lookahead)",d2fa185248f561d7
r,ts_lex,95,ADVANCE,95,"set_contains(sym_identifier_character_set_3, 777, lookahead)",1fdfcdbf23e8a15b
r,ts_lex,96,ADVANCE,96,lookahead != 0 && lookahead != '\n' && lookahead != '\r',de5dc9ae3784914d
r,ts_lex_keywords,0,SKIP,0,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' ',1f8ddc7342cd63b6
r,ts_lex_keywords,0,ADVANCE_MAP,,"'F', 1, 'I', 2, 'L', 3, 'N', 4, 'T', 5, 'b', 6, 'f', 7, 'i', 8, 'n', 9, 'r', 10, 'w', 11,",04ce11ae84a817d7
r,ts_lex_keywords,1,ADVANCE,12,lookahead == 'A',812deb7969c1cec6
r,ts_lex_keywords,2,ADVANCE,13,lookahead == 'n',6bea8c2337fa7bda
r,ts_lex_keywords,4,ADVANCE,14,lookahead == 'A',812deb7969c1cec6
r,ts_lex_keywords,4,ADVANCE,15,lookahead == 'U',4d7bf8e6087cb43b
r,ts_lex_keywords,4,ADVANCE,16,lookahead == 'a',e1f8c88b486fcc7a
r,ts_lex_keywords,5,ADVANCE,17,lookahead == 'R',38717d612b68b058
r,ts_lex_keywords,6,ADVANCE,18,lookahead == 'r',1a63b67c1e605fac
r,ts_lex_keywords,7,ADVANCE,19,lookahead == 'o',37bde1e69529e1ba
r,ts_lex_keywords,7,ADVANCE,20,lookahead == 'u',535ae93c2fd2defa
r,ts_lex_keywords,8,ADVANCE,21,lookahead == 'f',4e55809183ee74c5
r,ts_lex_keywords,8,ADVANCE,22,lookahead == 'n',6bea8c2337fa7bda
r,ts_lex_keywords,9,ADVANCE,23,lookahead == 'e',777044b07ff22891
r,ts_lex_keywords,10,ADVANCE,24,lookahead == 'e',777044b07ff22891
r,ts_lex_keywords,11,ADVANCE,25,lookahead == 'h',1b9364c4dd9f95c1
r,ts_lex_keywords,12,ADVANCE,26,lookahead == 'L',d65cca88ba197a78
r,ts_lex_keywords,13,ADVANCE,27,lookahead == 'f',4e55809183ee74c5
r,ts_lex_keywords,14,ADVANCE,28,lookahead == '_',7086c5e080ba9e82
r,ts_lex_keywords,15,ADVANCE,29,lookahead == 'L',d65cca88ba197a78
r,ts_lex_keywords,16,ADVANCE,30,lookahead == 'N',eeb12959f67a2c12
r,ts_lex_keywords,17,ADVANCE,31,lookahead == 'U',4d7bf8e6087cb43b
r,ts_lex_keywords,18,ADVANCE,32,lookahead == 'e',777044b07ff22891
r,ts_lex_keywords,19,ADVANCE,33,lookahead == 'r',1a63b67c1e605fac
r,ts_lex_keywords,20,ADVANCE,34,lookahead == 'n',6bea8c2337fa7bda
r,ts_lex_keywords,23,ADVANCE,35,lookahead == 'x',86fff441cc93570e
r,ts_lex_keywords,24,ADVANCE,36,lookahead == 'p',b714fab1474eca57
r,ts_lex_keywords,25,ADVANCE,37,lookahead == 'i',ffcf7c86a1f7f579
r,ts_lex_keywords,26,ADVANCE,38,lookahead == 'S',a1965ea3b451c991
r,ts_lex_keywords,28,ADVANCE,39,lookahead == 'c',55313e38cc6e4415
r,ts_lex_keywords,28,ADVANCE,40,lookahead == 'i',ffcf7c86a1f7f579
r,ts_lex_keywords,28,ADVANCE,41,lookahead == 'r',1a63b67c1e605fac
r,ts_lex_keywords,29,ADVANCE,42,lookahead == 'L',d65cca88ba197a78
r,ts_lex_keywords,31,ADVANCE,43,lookahead == 'E',52aa0582f73a58bf
r,ts_lex_keywords,32,ADVANCE,44,lookahead == 'a',e1f8c88b486fcc7a
r,ts_lex_keywords,34,ADVANCE,45,lookahead == 'c',55313e38cc6e4415
r,ts_lex_keywords,35,ADVANCE,46,lookahead == 't',67ba4747728e7c9a
r,ts_lex_keywords,36,ADVANCE,47,lookahead == 'e',777044b07ff22891
r,ts_lex_keywords,37,ADVANCE,48,lookahead == 'l',8bbf716e9c96c154
r,ts_lex_keywords,38,ADVANCE,49,lookahead == 'E',52aa0582f73a58bf
r,ts_lex_keywords,39,ADVANCE,50,lookahead == 'h',1b9364c4dd9f95c1
r,ts_lex_keywords,39,ADVANCE,51,lookahead == 'o',37bde1e69529e1ba
r,ts_lex_keywords,40,ADVANCE,52,lookahead == 'n',6bea8c2337fa7bda
r,ts_lex_keywords,41,ADVANCE,53,lookahead == 'e',777044b07ff22891
r,ts_lex_keywords,44,ADVANCE,54,lookahead == 'k',3480702e36cb081f
r,ts_lex_keywords,45,ADVANCE,55,lookahead == 't',67ba4747728e7c9a
r,ts_lex_keywords,47,ADVANCE,56,lookahead == 'a',e1f8c88b486fcc7a
r,ts_lex_keywords,48,ADVANCE,57,lookahead == 'e',777044b07ff22891
r,ts_lex_keywords,50,ADVANCE,58,lookahead == 'a',e1f8c88b486fcc7a
r,ts_lex_keywords,51,ADVANCE,59,lookahead == 'm',451f501b26ebeeeb
r,ts_lex_keywords,52,ADVANCE,60,lookahead == 't',67ba4747728e7c9a
r,ts_lex_keywords,53,ADVANCE,61,lookahead == 'a',e1f8c88b486fcc7a
r,ts_lex_keywords,55,ADVANCE,62,lookahead == 'i',ffcf7c86a1f7f579
r,ts_lex_keywords,56,ADVANCE,63,lookahead == 't',67ba4747728e7c9a
r,ts_lex_keywords,58,ADVANCE,64,lookahead == 'r',1a63b67c1e605fac
r,ts_lex_keywords,59,ADVANCE,65,lookahead == 'p',b714fab1474eca57
r,ts_lex_keywords,60,ADVANCE,66,lookahead == 'e',777044b07ff22891
r,ts_lex_keywords,61,ADVANCE,67,lookahead == 'l',8bbf716e9c96c154
r,ts_lex_keywords,62,ADVANCE,68,lookahead == 'o',37bde1e69529e1ba
r,ts_lex_keywords,64,ADVANCE,69,lookahead == 'a',e1f8c88b486fcc7a
r,ts_lex_keywords,65,ADVANCE,70,lookahead == 'l',8bbf716e9c96c154
r,ts_lex_keywords,66,ADVANCE,71,lookahead == 'g',8fdced28d1710dbb
r,ts_lex_keywords,67,ADVANCE,72,lookahead == '_',7086c5e080ba9e82
r,ts_lex_keywords,68,ADVANCE,73,lookahead == 'n',6bea8c2337fa7bda
r,ts_lex_keywords,69,ADVANCE,74,lookahead == 'c',55313e38cc6e4415
r,ts_lex_keywords,70,ADVANCE,75,lookahead == 'e',777044b07ff22891
r,ts_lex_keywords,71,ADVANCE,76,lookahead == 'e',777044b07ff22891
r,ts_lex_keywords,74,ADVANCE,77,lookahead == 't',67ba4747728e7c9a
r,ts_lex_keywords,75,ADVANCE,78,lookahead == 'x',86fff441cc93570e
r,ts_lex_keywords,76,ADVANCE,79,lookahead == 'r',1a63b67c1e605fac
r,ts_lex_keywords,77,ADVANCE,80,lookahead == 'e',777044b07ff22891
r,ts_lex_keywords,78,ADVANCE,81,lookahead == '_',7086c5e080ba9e82
r,ts_lex_keywords,79,ADVANCE,82,lookahead == '_',7086c5e080ba9e82
r,ts_lex_keywords,80,ADVANCE,83,lookahead == 'r',1a63b67c1e605fac
r,ts_lex_keywords,83,ADVANCE,84,lookahead == '_',7086c5e080ba9e82
go,ts_lex,0,ADVANCE,59,eof,22988607ff895660
go,ts_lex,0,SKIP,57,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' ',1f8ddc7342cd63b6
go,ts_lex,0,ADVANCE,154,('1' <= lookahead && lookahead <= '9'),87bc4a5f013c5ea8
go,ts_lex,0,ADVANCE,134,"set_contains(sym_identifier_character_set_1, 685, lookahead)",8d84799ca4047c69
go,ts_lex,0,ADVANCE_MAP,,"0, 62, '!', 106, '""', 148, '%', 115, '&', 110, '\'', 22, '(', 66, ')', 67, '*', 75, '+', 100, ',', 68, '-', 103, '.', 65, '/', 113, '0', 152, ':', 98, ';', 61, '<', 124, '=', 70, '>', 129, '[', 71, '\\', 20, ']', 72, '^', 108, '`', 135, '{', 77, '|', 80, '}', 78, '~', 76,",dd7cec0656ed4910
go,ts_lex,1,SKIP,1,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' ',1f8ddc7342cd63b6
go,ts_lex,1,ADVANCE,134,"set_contains(sym_identifier_character_set_1, 685, lookahead)",8d84799ca4047c69
go,ts_lex,1,ADVANCE_MAP,,"0, 62, '\n', 60, '!', 17, '%', 114, '&', 111, '(', 66, '*', 74, '+', 99, ',', 68, '-', 102, '.', 63, '/', 112, ';', 61, '<', 127, '=', 19, '>', 130, '[', 71, '^', 107, '{', 77, '|', 81, '}', 78,",b4f10187380e838f
go,ts_lex,2,SKIP,16,lookahead == '\n',eef913742f41c218
go,ts_lex,2,ADVANCE,148,"lookahead == '""'",9e27817386ab0fdb
go,ts_lex,2,ADVANCE,143,lookahead == '/',2e914655f005052f
go,ts_lex,2,ADVANCE,20,lookahead == '\\',e3a7db2e2f9a375e
go,ts_lex,2,ADVANCE,146,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' ',1f8ddc7342cd63b6
go,ts_lex,2,ADVANCE,147,lookahead != 0,f17dad6061ff6bc7
go,ts_lex,3,SKIP,3,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' ',1f8ddc7342cd63b6
go,ts_lex,3,ADVANCE,134,"set_contains(sym_identifier_character_set_1, 685, lookahead)",8d84799ca4047c69
go,ts_lex,3,ADVANCE_MAP,,"'!', 17, '""', 142, '%', 114, '&', 111, '(', 66, ')', 67, '*', 74, '+', 99, ',', 68, '-', 102, '.', 64, '/', 112, ':', 98, '<', 125, '=', 70, '>', 130, '[', 71, ']', 72, '^', 107, '`', 135, '{', 77, '|', 81, '~', 76,",650266b1b6656274
go,ts_lex,4,SKIP,4,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' ',1f8ddc7342cd63b6
go,ts_lex,4,ADVANCE_MAP,,"'!', 17, '%', 115, '&', 110, '(', 66, '*', 75, '+', 100, ',', 68, '-', 103, '.', 63, '/', 113, ':', 18, ';', 61, '<', 124, '=', 70, '>', 129, '[', 71, '^', 108, '{', 77, '|', 80,",e3e52dc1314b6149
go,ts_lex,5,SKIP,5,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' ',1f8ddc7342cd63b6
go,ts_lex,5,ADVANCE_MAP,,"'!', 17, '%', 115, '&', 110, '(', 66, '*', 75, '+', 101, ',', 68, '-', 104, '.', 63, '/', 113, ':', 18, '<', 126, '=', 70, '>', 129, '[', 71, '^', 108, '{', 77, '|', 80,",d9b2fc0f2e8c274d
go,ts_lex,6,SKIP,6,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' ',1f8ddc7342cd63b6
go,ts_lex,6,ADVANCE_MAP,,"'!', 17, '%', 114, '&', 111, '(', 66, ')', 67, '*', 74, '+', 99, ',', 68, '-', 102, '.', 64, '/', 112, ':', 98, ';', 61, '<', 127, '=', 70, '>', 130, '[', 71, ']', 72, '^', 107, '{', 77, '|', 81, '}', 78,",f3393f5b7bc3534b
go,ts_lex,7,ADVANCE,162,lookahead == '\'',21a09e9b16c7d1af
go,ts_lex,8,ADVANCE,10,lookahead == '*',9d98560d7f603112
go,ts_lex,8,ADVANCE,164,lookahead == '/',2e914655f005052f
go,ts_lex,9,ADVANCE,9,lookahead == '*',9d98560d7f603112
go,ts_lex,9,ADVANCE,163,lookahead == '/',2e914655f005052f
go,ts_lex,9,ADVANCE,10,lookahead != 0,f17dad6061ff6bc7
go,ts_lex,10,ADVANCE,9,lookahead == '*',9d98560d7f603112
go,ts_lex,10,ADVANCE,10,lookahead != 0,f17dad6061ff6bc7
go,ts_lex,11,ADVANCE,82,lookahead == '-',092230c69dc29ffc
go,ts_lex,12,ADVANCE,14,lookahead == '.',6bbce737356f8bbd
go,ts_lex,12,ADVANCE,158,('0' <= lookahead && lookahead <= '9'),2a5b7037f9a70010
go,ts_lex,13,ADVANCE,160,lookahead == '.',6bbce737356f8bbd
go,ts_lex,13,ADVANCE,35,lookahead == '_',7086c5e080ba9e82
go,ts_lex,13,ADVANCE,161,lookahead == 'i',ffcf7c86a1f7f579
go,ts_lex,13,ADVANCE,26,lookahead == 'E' || lookahead == 'e',027c0ce324102813
go,ts_lex,13,ADVANCE,13,('0' <= lookahead && lookahead <= '9'),2a5b7037f9a70010
go,ts_lex,14,ADVANCE,73,lookahead == '.',6bbce737356f8bbd
go,ts_lex,15,ADVANCE,40,lookahead == '.',6bbce737356f8bbd
go,ts_lex,15,ADVANCE,39,lookahead == '_',7086c5e080ba9e82
go,ts_lex,15,ADVANCE,155,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f'),411c4d2f212957ef
go,ts_lex,16,ADVANCE,8,lookahead == '/',2e914655f005052f
go,ts_lex,16,SKIP,16,('\t' <= lookahead && lookahead <= '\r') || lookahead == ' ',1f8ddc7342cd63b6
go,ts_lex,17,ADVANCE,123,lookahead == '=',1b33f162b46f2f5f
go,ts_lex,18,ADVANCE,83,lookahead == '=',1b33f162b46f2f5f
go,ts_lex,19,ADVANCE,122,lookahead == '=',1b33f162b46f2f5f
