language,action_ref,action_ordinal,entry_count,reusable,action_kind,action_args
r,119,0,1,true,SHIFT,619
r,121,0,1,true,SHIFT,494
r,123,0,1,true,SHIFT,500
r,125,0,1,true,SHIFT,501
r,127,0,1,true,SHIFT,509
r,129,0,1,true,SHIFT,694
r,131,0,1,true,SHIFT,700
r,133,0,1,true,SHIFT,701
r,135,0,1,true,SHIFT,708
r,137,0,1,true,SHIFT,820
r,139,0,1,true,SHIFT,825
r,141,0,1,true,SHIFT,826
r,143,0,1,true,REDUCE,"sym_binary_operator, 3, 0, 17"
r,145,0,1,false,REDUCE,"sym_binary_operator, 3, 0, 17"
r,147,0,1,false,REDUCE,"sym_if_statement, 10, 0, 58"
r,149,0,1,true,REDUCE,"sym_if_statement, 10, 0, 58"
r,151,0,1,true,REDUCE,"sym_repeat_statement, 2, 0, 3"
r,153,0,1,false,REDUCE,"sym_repeat_statement, 2, 0, 3"
r,155,0,1,true,REDUCE,"sym_unary_operator, 2, 0, 4"
r,157,0,1,false,REDUCE,"sym_unary_operator, 2, 0, 4"
r,159,0,1,true,REDUCE,"sym_function_definition, 3, 0, 10"
r,161,0,1,false,REDUCE,"sym_function_definition, 3, 0, 10"
r,163,0,1,true,REDUCE,"sym_repeat_statement, 3, 0, 14"
r,165,0,1,false,REDUCE,"sym_repeat_statement, 3, 0, 14"
r,167,0,1,true,REDUCE,"sym_unary_operator, 3, 0, 15"
r,169,0,1,false,REDUCE,"sym_unary_operator, 3, 0, 15"
r,171,0,1,true,REDUCE,"sym_function_definition, 4, 0, 24"
r,173,0,1,false,REDUCE,"sym_function_definition, 4, 0, 24"
r,175,0,1,true,REDUCE,"sym_function_definition, 4, 0, 26"
r,177,0,1,false,REDUCE,"sym_function_definition, 4, 0, 26"
r,179,0,1,true,REDUCE,"sym_binary_operator, 4, 0, 27"
r,181,0,1,false,REDUCE,"sym_binary_operator, 4, 0, 27"
r,183,0,1,true,REDUCE,"sym_function_definition, 5, 0, 36"
r,185,0,1,false,REDUCE,"sym_function_definition, 5, 0, 36"
r,187,0,1,true,REDUCE,"sym_while_statement, 5, 0, 38"
r,189,0,1,false,REDUCE,"sym_while_statement, 5, 0, 38"
r,191,0,1,true,REDUCE,"sym_while_statement, 6, 0, 43"
r,193,0,1,false,REDUCE,"sym_while_statement, 6, 0, 43"
r,195,0,1,true,REDUCE,"sym_while_statement, 6, 0, 44"
r,197,0,1,false,REDUCE,"sym_while_statement, 6, 0, 44"
r,199,0,1,true,REDUCE,"sym_if_statement, 7, 0, 45"
r,201,0,1,false,REDUCE,"sym_if_statement, 7, 0, 45"
r,203,0,1,true,REDUCE,"sym_for_statement, 7, 0, 47"
r,205,0,1,false,REDUCE,"sym_for_statement, 7, 0, 47"
r,207,0,1,true,REDUCE,"sym_while_statement, 7, 0, 48"
r,209,0,1,false,REDUCE,"sym_while_statement, 7, 0, 48"
r,211,0,1,true,REDUCE,"sym_if_statement, 8, 0, 49"
r,213,0,1,false,REDUCE,"sym_if_statement, 8, 0, 49"
r,215,0,1,true,REDUCE,"sym_if_statement, 8, 0, 50"
r,217,0,1,false,REDUCE,"sym_if_statement, 8, 0, 50"
r,219,0,1,true,REDUCE,"sym_if_statement, 8, 0, 51"
r,221,0,1,false,REDUCE,"sym_if_statement, 8, 0, 51"
r,223,0,1,true,REDUCE,"sym_for_statement, 8, 0, 52"
r,225,0,1,false,REDUCE,"sym_for_statement, 8, 0, 52"
r,227,0,1,true,REDUCE,"sym_for_statement, 8, 0, 53"
r,229,0,1,false,REDUCE,"sym_for_statement, 8, 0, 53"
r,231,0,1,true,REDUCE,"sym_if_statement, 9, 0, 54"
r,233,0,1,false,REDUCE,"sym_if_statement, 9, 0, 54"
r,235,0,1,true,REDUCE,"sym_if_statement, 9, 0, 55"
r,237,0,1,false,REDUCE,"sym_if_statement, 9, 0, 55"
r,239,0,1,true,REDUCE,"sym_if_statement, 9, 0, 56"
r,241,0,1,false,REDUCE,"sym_if_statement, 9, 0, 56"
r,243,0,1,true,REDUCE,"sym_for_statement, 9, 0, 57"
r,245,0,1,false,REDUCE,"sym_for_statement, 9, 0, 57"
r,247,0,1,false,SHIFT,986
r,249,0,1,true,SHIFT,988
r,251,0,1,true,SHIFT,989
r,253,0,1,false,SHIFT,989
r,255,0,1,true,SHIFT,999
r,257,0,1,false,SHIFT,1000
r,259,0,1,true,SHIFT,1000
r,261,0,1,false,SHIFT,1001
r,263,0,1,false,SHIFT,1002
r,265,0,1,true,SHIFT,1001
r,267,0,1,true,SHIFT,1002
r,269,0,1,false,SHIFT,1012
r,271,0,1,true,SHIFT,1012
r,273,0,1,false,SHIFT,1013
r,275,0,1,true,SHIFT,1013
r,277,0,1,true,SHIFT,1014
r,279,0,1,true,SHIFT,1015
r,281,0,1,false,SHIFT,1025
r,283,0,1,true,SHIFT,256
r,285,0,1,true,SHIFT,283
r,287,0,1,true,SHIFT,263
r,289,0,1,true,SHIFT,264
r,291,0,1,true,SHIFT,1038
r,293,0,1,false,SHIFT,1038
r,295,0,1,false,SHIFT,463
r,297,0,1,false,SHIFT,466
r,299,0,1,true,SHIFT,463
r,301,0,1,true,SHIFT,466
r,303,0,1,false,SHIFT,468
r,305,0,1,true,SHIFT,468
r,307,0,1,false,SHIFT,470
r,309,0,1,true,SHIFT,470
r,311,0,1,true,SHIFT,472
r,313,0,1,true,SHIFT,478
r,315,0,1,false,SHIFT,484
r,317,0,1,true,SHIFT,253
r,319,0,1,true,SHIFT,254
r,321,0,1,true,SHIFT,261
r,323,0,1,true,SHIFT,251
r,325,0,1,true,REDUCE,"sym_extract_operator, 2, 0, 6"
r,327,0,1,false,SHIFT,387
r,329,0,1,false,REDUCE,"sym_extract_operator, 2, 0, 6"
r,331,0,1,true,SHIFT,1919
r,333,0,1,true,SHIFT,1920
r,335,0,1,true,SHIFT,152
r,337,0,1,true,SHIFT,2073
r,339,0,1,false,SHIFT,976
r,341,0,1,true,SHIFT,1028
r,343,0,1,false,SHIFT,461
r,345,0,1,true,SHIFT,461
r,347,0,1,true,SHIFT,796
r,349,0,1,true,REDUCE,"sym_extract_operator, 3, 0, 6"
r,351,0,1,false,SHIFT,341
r,353,0,1,false,REDUCE,"sym_extract_operator, 3, 0, 6"
r,355,0,1,false,REDUCE,"aux_sym_braced_expression_repeat1, 1, 0, 8"
r,357,0,1,true,REDUCE,"aux_sym_braced_expression_repeat1, 1, 0, 8"
r,359,0,1,true,SHIFT,987
r,361,0,1,false,SHIFT,359
r,363,0,1,true,SHIFT,1851
r,365,0,1,true,SHIFT,1852
r,367,0,1,true,SHIFT,2053
r,369,0,1,true,REDUCE,"aux_sym_program_repeat1, 1, 0, 0"
r,371,0,1,false,REDUCE,"aux_sym_program_repeat1, 1, 0, 0"
r,373,0,1,true,SHIFT,1027
r,375,0,1,false,SHIFT,342
r,377,0,1,true,SHIFT,210
r,379,0,1,false,SHIFT,1636
r,381,0,1,true,SHIFT,1808
r,383,0,1,false,SHIFT,1808
r,385,0,1,false,SHIFT,1988
r,387,0,1,false,SHIFT,2006
r,389,0,1,false,SHIFT,1960
r,391,0,1,false,SHIFT,968
r,393,0,1,true,SHIFT,969
r,395,0,1,true,SHIFT,970
r,397,0,1,true,SHIFT,971
r,399,0,1,true,SHIFT,972
r,401,0,1,true,SHIFT,1649
r,403,0,1,false,SHIFT,1649
r,405,0,1,true,SHIFT,1833
r,407,0,1,true,SHIFT,1837
r,409,0,1,false,SHIFT,1490
r,411,0,1,false,SHIFT,1794
r,413,0,1,false,SHIFT,1740
r,415,0,1,true,SHIFT,310
r,417,0,1,true,SHIFT,2051
r,419,0,1,true,SHIFT,1075
r,421,0,1,true,SHIFT,386
r,423,0,1,true,SHIFT,1723
r,425,0,1,false,SHIFT,439
r,427,0,1,true,SHIFT,1939
r,429,0,1,true,SHIFT,1948
r,431,0,1,true,SHIFT,2052
r,433,0,1,false,SHIFT,456
r,435,0,1,true,SHIFT,1871
r,437,0,1,true,SHIFT,1878
r,439,0,1,true,SHIFT,2067
r,441,0,1,false,SHIFT,1634
r,443,0,1,true,SHIFT,1811
r,445,0,1,false,SHIFT,1811
r,447,0,1,false,SHIFT,1990
r,449,0,1,false,SHIFT,2008
r,451,0,1,false,SHIFT,1964
r,453,0,1,false,SHIFT,981
r,455,0,1,true,SHIFT,982
r,457,0,1,true,SHIFT,983
r,459,0,1,true,SHIFT,984
r,461,0,1,true,SHIFT,985
r,463,0,1,true,SHIFT,1638
r,465,0,1,false,SHIFT,1638
r,467,0,1,true,SHIFT,1872
r,469,0,1,true,SHIFT,1875
r,471,0,1,false,SHIFT,1552
r,473,0,1,false,SHIFT,1748
r,475,0,1,false,SHIFT,1795
r,477,0,1,true,SHIFT,298
r,479,0,1,true,SHIFT,2069
r,481,0,1,true,SHIFT,1080
r,483,0,1,true,SHIFT,389
r,485,0,1,true,SHIFT,405
r,487,0,1,false,SHIFT,339
r,489,0,1,true,REDUCE,"sym_namespace_operator, 2, 0, 6"
r,491,0,1,false,REDUCE,"sym_namespace_operator, 2, 0, 6"
r,493,0,1,false,SHIFT,433
r,495,0,1,true,SHIFT,249
r,497,0,1,false,SHIFT,1635
r,499,0,1,true,SHIFT,1813
r,501,0,1,false,SHIFT,1813
r,503,0,1,false,SHIFT,1982
r,505,0,1,false,SHIFT,2001
r,507,0,1,false,SHIFT,1953
r,509,0,1,false,SHIFT,939
r,511,0,1,true,SHIFT,940
r,513,0,1,true,SHIFT,941
r,515,0,1,true,SHIFT,942
r,517,0,1,true,SHIFT,943
r,519,0,1,true,SHIFT,1626
r,521,0,1,false,SHIFT,1626
r,523,0,1,true,SHIFT,1848
r,525,0,1,true,SHIFT,1929
r,527,0,1,false,SHIFT,1372
r,529,0,1,false,SHIFT,1761
r,531,0,1,false,SHIFT,1732
r,533,0,1,true,SHIFT,294
r,535,0,1,true,SHIFT,2072
r,537,0,1,true,SHIFT,1065
r,539,0,1,true,SHIFT,420
r,541,0,1,true,SHIFT,381
r,543,0,1,true,SHIFT,1705
r,545,0,1,false,SHIFT,455
r,547,0,1,true,SHIFT,250
r,549,0,1,false,SHIFT,340
r,551,0,1,true,SHIFT,1736
r,553,0,1,true,SHIFT,1737
r,555,0,1,true,SHIFT,1738
r,557,0,1,true,SHIFT,450
r,559,0,1,true,SHIFT,1704
r,561,0,1,true,SHIFT,424
r,563,0,1,true,SHIFT,426
r,565,0,1,true,SHIFT,1799
r,567,0,1,true,SHIFT,1800
r,569,0,1,true,SHIFT,1802
r,571,0,1,true,SHIFT,1804
r,573,0,1,true,SHIFT,1728
r,575,0,1,true,SHIFT,1744
r,577,0,1,true,SHIFT,390
r,579,0,1,true,SHIFT,391
r,581,0,1,true,SHIFT,392
r,583,0,1,true,SHIFT,1722
r,585,0,1,true,SHIFT,1724
r,587,0,1,true,SHIFT,343
r,589,0,1,true,SHIFT,344
r,591,0,1,true,SHIFT,345
r,593,0,1,true,SHIFT,1654
r,595,0,1,true,SHIFT,1670
r,597,0,1,true,SHIFT,1671
r,599,0,1,true,SHIFT,1703
r,601,0,1,true,SHIFT,412
r,603,0,1,false,SHIFT,417
r,605,0,1,false,SHIFT,411
r,607,0,1,true,REDUCE,"sym_string, 1, 0, 1"
r,609,0,1,false,REDUCE,"sym_string, 1, 0, 1"
r,611,0,1,true,REDUCE,"sym__single_quoted_string, 3, 0, 16"
r,613,0,1,false,REDUCE,"sym__single_quoted_string, 3, 0, 16"
r,615,0,1,true,REDUCE,"sym__expression, 1, 0, 0"
r,617,0,1,false,REDUCE,"sym__expression, 1, 0, 0"
r,619,0,1,false,SHIFT,257
r,621,0,1,true,SHIFT,257
r,623,0,1,true,REDUCE,"sym_float, 1, 0, 0"
r,625,0,1,false,REDUCE,"sym_float, 1, 0, 0"
r,627,0,1,false,SHIFT,372
r,629,0,1,false,SHIFT,373
r,631,0,1,true,REDUCE,"sym__double_quoted_string, 3, 0, 16"
r,633,0,1,false,REDUCE,"sym__double_quoted_string, 3, 0, 16"
r,635,0,1,true,REDUCE,"sym__raw_string, 2, 0, 2"
r,637,0,1,false,REDUCE,"sym__raw_string, 2, 0, 2"
r,639,0,1,true,REDUCE,"aux_sym_call_arguments_repeat1, 1, 0, 0"
r,641,0,1,true,REDUCE,"sym__single_quoted_string, 2, 0, 5"
r,643,0,1,false,REDUCE,"sym__single_quoted_string, 2, 0, 5"
r,645,0,1,true,REDUCE,"sym__double_quoted_string, 2, 0, 5"
r,647,0,1,false,REDUCE,"sym__double_quoted_string, 2, 0, 5"
r,649,0,1,true,REDUCE,"sym__raw_string, 3, 0, 9"
r,651,0,1,false,REDUCE,"sym__raw_string, 3, 0, 9"
r,653,0,1,false,SHIFT,252
r,655,0,1,true,SHIFT,252
r,657,0,1,false,SHIFT,399
r,659,0,1,false,SHIFT,400
r,661,0,1,false,SHIFT,285
r,663,0,1,true,SHIFT,285
r,665,0,1,false,SHIFT,406
r,667,0,1,false,SHIFT,422
r,669,0,1,false,REDUCE,"aux_sym_function_definition_repeat1, 2, 0, 0"
r,671,0,1,true,REDUCE,"aux_sym_function_definition_repeat1, 2, 0, 0"
r,673,0,2,true,REDUCE,"aux_sym_function_definition_repeat1, 2, 0, 0"
r,673,1,2,true,SHIFT_REPEAT,317
r,676,0,1,false,SHIFT,284
r,678,0,1,true,SHIFT,284
r,680,0,2,true,REDUCE,"aux_sym_function_definition_repeat1, 2, 0, 0"
r,680,1,2,true,SHIFT_REPEAT,323
r,683,0,1,false,SHIFT,437
r,685,0,1,false,SHIFT,445
r,687,0,1,false,SHIFT,311
r,689,0,1,true,SHIFT,1817
r,691,0,1,false,SHIFT,1817
r,693,0,1,false,SHIFT,1986
r,695,0,1,false,SHIFT,2004
r,697,0,1,false,SHIFT,1957
r,699,0,1,false,SHIFT,956
r,701,0,1,true,SHIFT,957
r,703,0,1,true,SHIFT,958
r,705,0,1,true,SHIFT,959
r,707,0,1,true,SHIFT,960
r,709,0,1,true,SHIFT,330
r,711,0,1,false,SHIFT,330
r,713,0,1,false,SHIFT,189
r,715,0,1,false,SHIFT,408
r,717,0,1,true,SHIFT,1623
r,719,0,1,true,SHIFT,1070
r,721,0,1,true,SHIFT,384
r,723,0,1,true,SHIFT,423
r,725,0,1,false,REDUCE,"sym_braced_expression, 2, 0, 2"
r,727,0,1,true,REDUCE,"sym_braced_expression, 2, 0, 2"
r,729,0,1,true,SHIFT,347
r,731,0,1,true,SHIFT,1743
r,733,0,1,false,REDUCE,"sym_namespace_operator, 3, 0, 17"
r,735,0,1,true,REDUCE,"sym_namespace_operator, 3, 0, 17"
r,737,0,1,true,REDUCE,"sym_extract_operator, 4, 0, 27"
r,739,0,1,false,REDUCE,"sym_extract_operator, 4, 0, 27"
r,741,0,1,false,REDUCE,"sym_extract_operator, 3, 0, 17"
r,743,0,1,true,REDUCE,"sym_extract_operator, 3, 0, 17"
r,745,0,1,false,REDUCE,"sym_call_arguments, 2, 0, 2"
r,747,0,1,true,REDUCE,"sym_call_arguments, 2, 0, 2"
r,749,0,1,false,REDUCE,"sym_subset_arguments, 2, 0, 2"
r,751,0,1,true,REDUCE,"sym_subset_arguments, 2, 0, 2"
r,753,0,1,false,REDUCE,"sym_subset2_arguments, 2, 0, 2"
r,755,0,1,true,REDUCE,"sym_subset2_arguments, 2, 0, 2"
r,757,0,1,false,REDUCE,"sym_parenthesized_expression, 3, 0, 21"
r,759,0,1,true,REDUCE,"sym_parenthesized_expression, 3, 0, 21"
r,761,0,1,false,REDUCE,"sym_braced_expression, 3, 0, 22"
r,763,0,1,true,REDUCE,"sym_braced_expression, 3, 0, 22"
r,765,0,1,true,REDUCE,"sym_call_arguments, 3, 0, 29"
r,767,0,1,false,REDUCE,"sym_call_arguments, 3, 0, 29"
r,769,0,1,true,REDUCE,"sym_call_arguments, 3, 0, 30"
r,771,0,1,false,REDUCE,"sym_call_arguments, 3, 0, 30"
r,773,0,1,true,REDUCE,"sym_subset_arguments, 3, 0, 29"
r,775,0,1,false,REDUCE,"sym_subset_arguments, 3, 0, 29"
r,777,0,1,true,SHIFT,1746
r,779,0,1,true,SHIFT,1787
r,781,0,2,true,REDUCE,"aux_sym_function_definition_repeat1, 2, 0, 0"
r,781,1,2,true,SHIFT_REPEAT,353
r,784,0,1,true,REDUCE,"sym_subset_arguments, 3, 0, 30"
r,786,0,1,false,REDUCE,"sym_subset_arguments, 3, 0, 30"
r,788,0,1,true,REDUCE,"sym_na, 1, 0, 0"
r,790,0,1,false,REDUCE,"sym_na, 1, 0, 0"
r,792,0,1,true,REDUCE,"sym_subset2_arguments, 3, 0, 29"
r,794,0,1,false,REDUCE,"sym_subset2_arguments, 3, 0, 29"
r,796,0,1,true,REDUCE,"sym_subset2_arguments, 3, 0, 30"
r,798,0,1,false,REDUCE,"sym_subset2_arguments, 3, 0, 30"
r,800,0,1,true,REDUCE,"sym_call_arguments, 4, 0, 39"
r,802,0,1,false,REDUCE,"sym_call_arguments, 4, 0, 39"
r,804,0,1,true,REDUCE,"sym_subset_arguments, 4, 0, 39"
r,806,0,1,false,REDUCE,"sym_subset_arguments, 4, 0, 39"
r,808,0,1,false,REDUCE,"sym_subset2_arguments, 4, 0, 39"
r,810,0,1,true,REDUCE,"sym_subset2_arguments, 4, 0, 39"
r,812,0,1,false,REDUCE,"sym_subset2, 2, 0, 7"
r,814,0,1,true,REDUCE,"sym_subset2, 2, 0, 7"
r,816,0,1,true,REDUCE,"sym_integer, 2, 0, 0"
r,818,0,1,false,REDUCE,"sym_integer, 2, 0, 0"
r,820,0,1,true,REDUCE,"sym_complex, 2, 0, 0"
r,822,0,1,false,REDUCE,"sym_complex, 2, 0, 0"
r,824,0,1,true,REDUCE,"sym_call, 2, 0, 7"
r,826,0,1,false,REDUCE,"sym_call, 2, 0, 7"
r,828,0,1,true,REDUCE,"sym_subset, 2, 0, 7"
r,830,0,1,false,REDUCE,"sym_subset, 2, 0, 7"
r,832,0,1,true,SHIFT,397
r,834,0,1,true,SHIFT,1674
r,836,0,1,true,SHIFT,1707
r,838,0,1,true,SHIFT,1760
r,840,0,1,true,SHIFT,414
r,842,0,1,true,SHIFT,413
r,844,0,1,true,SHIFT,419
r,846,0,1,true,SHIFT,1655
r,848,0,1,true,SHIFT,1790
r,850,0,1,true,SHIFT,1764
r,852,0,1,true,SHIFT,377
r,854,0,1,true,SHIFT,1695
r,856,0,1,true,SHIFT,336
r,858,0,1,true,SHIFT,1668
r,860,0,1,true,SHIFT,1682
r,862,0,2,true,REDUCE,"aux_sym_function_definition_repeat1, 2, 0, 0"
r,862,1,2,true,SHIFT_REPEAT,404
r,865,0,1,true,REDUCE,"sym_program, 2, 0, 0"
r,867,0,1,false,SHIFT,318
r,869,0,1,true,SHIFT,1816
r,871,0,1,false,SHIFT,1816
r,873,0,1,false,SHIFT,1881
r,875,0,1,false,SHIFT,1983
r,877,0,1,false,SHIFT,1904
r,879,0,1,false,SHIFT,974
r,881,0,1,true,SHIFT,485
r,883,0,1,true,SHIFT,486
r,885,0,1,true,SHIFT,489
r,887,0,1,true,SHIFT,621
r,889,0,1,true,SHIFT,316
r,891,0,1,false,SHIFT,316
r,893,0,1,false,SHIFT,225
r,895,0,1,false,SHIFT,431
r,897,0,1,true,SHIFT,425
r,899,0,1,true,SHIFT,1058
r,901,0,1,true,SHIFT,335
r,903,0,2,false,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,903,1,2,false,SHIFT_REPEAT,311
r,906,0,2,true,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,906,1,2,true,SHIFT_REPEAT,1817
r,909,0,2,false,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,909,1,2,false,SHIFT_REPEAT,1817
r,912,0,2,false,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,912,1,2,false,SHIFT_REPEAT,1986
r,915,0,2,false,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,915,1,2,false,SHIFT_REPEAT,2004
r,918,0,2,false,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,918,1,2,false,SHIFT_REPEAT,1957
r,921,0,2,false,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,921,1,2,false,SHIFT_REPEAT,956
r,924,0,2,true,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,924,1,2,true,SHIFT_REPEAT,957
r,927,0,2,true,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,927,1,2,true,SHIFT_REPEAT,958
r,930,0,2,true,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,930,1,2,true,SHIFT_REPEAT,959
r,933,0,2,true,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,933,1,2,true,SHIFT_REPEAT,960
r,936,0,2,true,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,936,1,2,true,SHIFT_REPEAT,330
r,939,0,2,false,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,939,1,2,false,SHIFT_REPEAT,330
r,942,0,2,true,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,942,1,2,true,SHIFT_REPEAT,1871
r,945,0,2,true,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,945,1,2,true,SHIFT_REPEAT,1878
r,948,0,2,false,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,948,1,2,false,SHIFT_REPEAT,189
r,951,0,2,false,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,951,1,2,false,SHIFT_REPEAT,408
r,954,0,2,true,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,954,1,2,true,SHIFT_REPEAT,1623
r,957,0,2,true,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,957,1,2,true,SHIFT_REPEAT,2067
r,960,0,2,true,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,960,1,2,true,SHIFT_REPEAT,1070
r,963,0,2,true,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,963,1,2,true,SHIFT_REPEAT,384
r,966,0,1,true,REDUCE,"aux_sym_braced_expression_repeat1, 2, 0, 23"
r,968,0,1,true,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,970,0,2,false,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,970,1,2,false,SHIFT_REPEAT,318
r,973,0,2,true,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,973,1,2,true,SHIFT_REPEAT,1816
r,976,0,2,false,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,976,1,2,false,SHIFT_REPEAT,1816
r,979,0,2,false,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,979,1,2,false,SHIFT_REPEAT,1881
r,982,0,2,false,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,982,1,2,false,SHIFT_REPEAT,1983
r,985,0,2,false,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,985,1,2,false,SHIFT_REPEAT,1904
r,988,0,2,false,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,988,1,2,false,SHIFT_REPEAT,974
r,991,0,2,true,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,991,1,2,true,SHIFT_REPEAT,485
r,994,0,2,true,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,994,1,2,true,SHIFT_REPEAT,486
r,997,0,2,true,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,997,1,2,true,SHIFT_REPEAT,489
r,1000,0,2,true,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,1000,1,2,true,SHIFT_REPEAT,621
r,1003,0,2,true,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,1003,1,2,true,SHIFT_REPEAT,316
r,1006,0,2,false,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,1006,1,2,false,SHIFT_REPEAT,316
r,1009,0,2,true,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,1009,1,2,true,SHIFT_REPEAT,1939
r,1012,0,2,true,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,1012,1,2,true,SHIFT_REPEAT,1948
r,1015,0,2,false,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,1015,1,2,false,SHIFT_REPEAT,225
r,1018,0,2,false,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,1018,1,2,false,SHIFT_REPEAT,431
r,1021,0,2,true,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,1021,1,2,true,SHIFT_REPEAT,425
r,1024,0,2,true,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,1024,1,2,true,SHIFT_REPEAT,2052
r,1027,0,2,true,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,1027,1,2,true,SHIFT_REPEAT,1058
r,1030,0,2,true,REDUCE,"aux_sym_program_repeat1, 2, 0, 0"
r,1030,1,2,true,SHIFT_REPEAT,335
r,1033,0,1,true,REDUCE,"sym_program, 1, 0, 0"
r,1035,0,1,true,SHIFT,409
r,1037,0,1,false,SHIFT,1630
r,1039,0,1,true,REDUCE,"sym__argument_named, 2, 0, 11"
