predicate_id,language,lexer_function,instruction_ordinal,opcode,arg1,arg2,source_guard
p_1f8e89671468d34a8a8c,r,ts_lex,1,PUSH_INT,33,,lookahead == 33
p_1f8e89671468d34a8a8c,r,ts_lex,2,CMP_EQ,,,lookahead == 33
p_418d60b5359399f8a125,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 34
p_418d60b5359399f8a125,r,ts_lex,1,PUSH_INT,34,,lookahead == 34
p_418d60b5359399f8a125,r,ts_lex,2,CMP_EQ,,,lookahead == 34
p_323b58d37e0dc140fa6a,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 35
p_323b58d37e0dc140fa6a,r,ts_lex,1,PUSH_INT,35,,lookahead == 35
p_323b58d37e0dc140fa6a,r,ts_lex,2,CMP_EQ,,,lookahead == 35
p_760ef4855ac6a49483f1,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 36
p_760ef4855ac6a49483f1,r,ts_lex,1,PUSH_INT,36,,lookahead == 36
p_760ef4855ac6a49483f1,r,ts_lex,2,CMP_EQ,,,lookahead == 36
p_f8f2073ae7dc2e83ba54,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 37
p_f8f2073ae7dc2e83ba54,r,ts_lex,1,PUSH_INT,37,,lookahead == 37
p_f8f2073ae7dc2e83ba54,r,ts_lex,2,CMP_EQ,,,lookahead == 37
p_7781d1ace2be5612a5dc,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 38
p_7781d1ace2be5612a5dc,r,ts_lex,1,PUSH_INT,38,,lookahead == 38
p_7781d1ace2be5612a5dc,r,ts_lex,2,CMP_EQ,,,lookahead == 38
p_351cf866e2a421005cbf,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 39
p_351cf866e2a421005cbf,r,ts_lex,1,PUSH_INT,39,,lookahead == 39
p_351cf866e2a421005cbf,r,ts_lex,2,CMP_EQ,,,lookahead == 39
p_506f8d966f2434796a86,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 42
p_506f8d966f2434796a86,r,ts_lex,1,PUSH_INT,42,,lookahead == 42
p_506f8d966f2434796a86,r,ts_lex,2,CMP_EQ,,,lookahead == 42
p_b80cf91f1a99e4dfbcaa,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 43
p_b80cf91f1a99e4dfbcaa,r,ts_lex,1,PUSH_INT,43,,lookahead == 43
p_b80cf91f1a99e4dfbcaa,r,ts_lex,2,CMP_EQ,,,lookahead == 43
p_e0ce19979b2f5d06f3e0,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 44
p_e0ce19979b2f5d06f3e0,r,ts_lex,1,PUSH_INT,44,,lookahead == 44
p_e0ce19979b2f5d06f3e0,r,ts_lex,2,CMP_EQ,,,lookahead == 44
p_0ccf58b3a760071bd59b,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 45
p_0ccf58b3a760071bd59b,r,ts_lex,1,PUSH_INT,45,,lookahead == 45
p_0ccf58b3a760071bd59b,r,ts_lex,2,CMP_EQ,,,lookahead == 45
p_fa57fe40ab955c8163cf,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 46
p_fa57fe40ab955c8163cf,r,ts_lex,1,PUSH_INT,46,,lookahead == 46
p_fa57fe40ab955c8163cf,r,ts_lex,2,CMP_EQ,,,lookahead == 46
p_5c4c63055c52beef382c,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 47
p_5c4c63055c52beef382c,r,ts_lex,1,PUSH_INT,47,,lookahead == 47
p_5c4c63055c52beef382c,r,ts_lex,2,CMP_EQ,,,lookahead == 47
p_cf74396405a3aac14a69,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 48
p_cf74396405a3aac14a69,r,ts_lex,1,PUSH_INT,48,,lookahead == 48
p_cf74396405a3aac14a69,r,ts_lex,2,CMP_EQ,,,lookahead == 48
p_adb53d437d77caabab20,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 58
p_adb53d437d77caabab20,r,ts_lex,1,PUSH_INT,58,,lookahead == 58
p_adb53d437d77caabab20,r,ts_lex,2,CMP_EQ,,,lookahead == 58
p_72dde573ddae2d7ff0cd,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 60
p_72dde573ddae2d7ff0cd,r,ts_lex,1,PUSH_INT,60,,lookahead == 60
p_72dde573ddae2d7ff0cd,r,ts_lex,2,CMP_EQ,,,lookahead == 60
p_8ebc46c186fbb609ae55,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 61
p_8ebc46c186fbb609ae55,r,ts_lex,1,PUSH_INT,61,,lookahead == 61
p_8ebc46c186fbb609ae55,r,ts_lex,2,CMP_EQ,,,lookahead == 61
p_4e40e4e276fcfa1d7705,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 62
p_4e40e4e276fcfa1d7705,r,ts_lex,1,PUSH_INT,62,,lookahead == 62
p_4e40e4e276fcfa1d7705,r,ts_lex,2,CMP_EQ,,,lookahead == 62
p_a0dc6fb61b9444aadd8c,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 63
p_a0dc6fb61b9444aadd8c,r,ts_lex,1,PUSH_INT,63,,lookahead == 63
p_a0dc6fb61b9444aadd8c,r,ts_lex,2,CMP_EQ,,,lookahead == 63
p_f38ec1827bb5f70c6a05,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 64
p_f38ec1827bb5f70c6a05,r,ts_lex,1,PUSH_INT,64,,lookahead == 64
p_f38ec1827bb5f70c6a05,r,ts_lex,2,CMP_EQ,,,lookahead == 64
p_cd9da40ee315bbdb7357,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 92
p_cd9da40ee315bbdb7357,r,ts_lex,1,PUSH_INT,92,,lookahead == 92
p_cd9da40ee315bbdb7357,r,ts_lex,2,CMP_EQ,,,lookahead == 92
p_6ef512fc7f2ddaabd543,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 94
p_6ef512fc7f2ddaabd543,r,ts_lex,1,PUSH_INT,94,,lookahead == 94
p_6ef512fc7f2ddaabd543,r,ts_lex,2,CMP_EQ,,,lookahead == 94
p_aa7c4dbd4bc6f3896dfc,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 96
p_aa7c4dbd4bc6f3896dfc,r,ts_lex,1,PUSH_INT,96,,lookahead == 96
p_aa7c4dbd4bc6f3896dfc,r,ts_lex,2,CMP_EQ,,,lookahead == 96
p_604da022d81ec52e3672,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 124
p_604da022d81ec52e3672,r,ts_lex,1,PUSH_INT,124,,lookahead == 124
p_604da022d81ec52e3672,r,ts_lex,2,CMP_EQ,,,lookahead == 124
p_f04f064616ca000c4ece,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 126
p_f04f064616ca000c4ece,r,ts_lex,1,PUSH_INT,126,,lookahead == 126
p_f04f064616ca000c4ece,r,ts_lex,2,CMP_EQ,,,lookahead == 126
p_3833b36da28a6836fff9,r,ts_lex,0,PUSH_LOOKAHEAD,,,"lookahead == '""'"
p_3833b36da28a6836fff9,r,ts_lex,1,PUSH_INT,34,,"lookahead == '""'"
p_3833b36da28a6836fff9,r,ts_lex,2,CMP_EQ,,,"lookahead == '""'"
p_933e9169291d163ff18e,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == '#'
p_933e9169291d163ff18e,r,ts_lex,1,PUSH_INT,35,,lookahead == '#'
p_933e9169291d163ff18e,r,ts_lex,2,CMP_EQ,,,lookahead == '#'
p_a9e0d050b532ff639479,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == '\\'
p_a9e0d050b532ff639479,r,ts_lex,1,PUSH_INT,92,,lookahead == '\\'
p_a9e0d050b532ff639479,r,ts_lex,2,CMP_EQ,,,lookahead == '\\'
p_f1c19e7a1f403095df3b,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead != 0
p_f1c19e7a1f403095df3b,r,ts_lex,1,PUSH_INT,0,,lookahead != 0
p_f1c19e7a1f403095df3b,r,ts_lex,2,CMP_NE,,,lookahead != 0
p_40db4be8fc056dfa76e9,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == '\''
p_40db4be8fc056dfa76e9,r,ts_lex,1,PUSH_INT,39,,lookahead == '\''
p_40db4be8fc056dfa76e9,r,ts_lex,2,CMP_EQ,,,lookahead == '\''
p_34255945ca1174ee7675,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == '%'
p_34255945ca1174ee7675,r,ts_lex,1,PUSH_INT,37,,lookahead == '%'
p_34255945ca1174ee7675,r,ts_lex,2,CMP_EQ,,,lookahead == '%'
p_c72bf588406eab25344a,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead != 0 && lookahead != '\n' && lookahead != '\\'
p_c72bf588406eab25344a,r,ts_lex,1,PUSH_INT,0,,lookahead != 0 && lookahead != '\n' && lookahead != '\\'
p_c72bf588406eab25344a,r,ts_lex,2,CMP_NE,,,lookahead != 0 && lookahead != '\n' && lookahead != '\\'
p_c72bf588406eab25344a,r,ts_lex,3,PUSH_LOOKAHEAD,,,lookahead != 0 && lookahead != '\n' && lookahead != '\\'
p_c72bf588406eab25344a,r,ts_lex,4,PUSH_INT,10,,lookahead != 0 && lookahead != '\n' && lookahead != '\\'
p_c72bf588406eab25344a,r,ts_lex,5,CMP_NE,,,lookahead != 0 && lookahead != '\n' && lookahead != '\\'
p_c72bf588406eab25344a,r,ts_lex,6,AND,,,lookahead != 0 && lookahead != '\n' && lookahead != '\\'
p_c72bf588406eab25344a,r,ts_lex,7,PUSH_LOOKAHEAD,,,lookahead != 0 && lookahead != '\n' && lookahead != '\\'
p_c72bf588406eab25344a,r,ts_lex,8,PUSH_INT,92,,lookahead != 0 && lookahead != '\n' && lookahead != '\\'
p_c72bf588406eab25344a,r,ts_lex,9,CMP_NE,,,lookahead != 0 && lookahead != '\n' && lookahead != '\\'
p_c72bf588406eab25344a,r,ts_lex,10,AND,,,lookahead != 0 && lookahead != '\n' && lookahead != '\\'
p_80389cb41907071d4a2c,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == '-'
p_80389cb41907071d4a2c,r,ts_lex,1,PUSH_INT,45,,lookahead == '-'
p_80389cb41907071d4a2c,r,ts_lex,2,CMP_EQ,,,lookahead == '-'
p_6fd7db2d49192140dcb7,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == '.'
p_6fd7db2d49192140dcb7,r,ts_lex,1,PUSH_INT,46,,lookahead == '.'
p_6fd7db2d49192140dcb7,r,ts_lex,2,CMP_EQ,,,lookahead == '.'
p_0c52ebd1b2843f3452f0,r,ts_lex,0,PUSH_INT,48,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,1,PUSH_LOOKAHEAD,,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,2,CMP_LE,,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,3,PUSH_LOOKAHEAD,,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,4,PUSH_INT,57,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,5,CMP_LE,,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,6,AND,,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,7,PUSH_INT,65,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,8,PUSH_LOOKAHEAD,,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,9,CMP_LE,,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,10,PUSH_LOOKAHEAD,,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,11,PUSH_INT,70,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,12,CMP_LE,,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,13,AND,,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,14,OR,,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,15,PUSH_INT,97,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,16,PUSH_LOOKAHEAD,,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,17,CMP_LE,,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,18,PUSH_LOOKAHEAD,,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,19,PUSH_INT,102,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,20,CMP_LE,,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,21,AND,,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_0c52ebd1b2843f3452f0,r,ts_lex,22,OR,,,('0' <= lookahead && lookahead <= '9') || ('A' <= lookahead && lookahead <= 'F') || ('a' <= lookahead && lookahead <= 'f')
p_26017da2a2605f36eb14,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == '='
p_26017da2a2605f36eb14,r,ts_lex,1,PUSH_INT,61,,lookahead == '='
p_26017da2a2605f36eb14,r,ts_lex,2,CMP_EQ,,,lookahead == '='
p_53fd5d03873a45896ea8,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 'U'
p_53fd5d03873a45896ea8,r,ts_lex,1,PUSH_INT,85,,lookahead == 'U'
p_53fd5d03873a45896ea8,r,ts_lex,2,CMP_EQ,,,lookahead == 'U'
p_92b3cc94fe7e72eae4d7,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 'u'
p_92b3cc94fe7e72eae4d7,r,ts_lex,1,PUSH_INT,117,,lookahead == 'u'
p_92b3cc94fe7e72eae4d7,r,ts_lex,2,CMP_EQ,,,lookahead == 'u'
p_22bf1ffaa17e8d955b4e,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 'x'
p_22bf1ffaa17e8d955b4e,r,ts_lex,1,PUSH_INT,120,,lookahead == 'x'
p_22bf1ffaa17e8d955b4e,r,ts_lex,2,CMP_EQ,,,lookahead == 'x'
p_58710ee39c938f531c09,r,ts_lex,0,PUSH_INT,48,,('0' <= lookahead && lookahead <= '7')
p_58710ee39c938f531c09,r,ts_lex,1,PUSH_LOOKAHEAD,,,('0' <= lookahead && lookahead <= '7')
p_58710ee39c938f531c09,r,ts_lex,2,CMP_LE,,,('0' <= lookahead && lookahead <= '7')
p_58710ee39c938f531c09,r,ts_lex,3,PUSH_LOOKAHEAD,,,('0' <= lookahead && lookahead <= '7')
p_58710ee39c938f531c09,r,ts_lex,4,PUSH_INT,55,,('0' <= lookahead && lookahead <= '7')
p_58710ee39c938f531c09,r,ts_lex,5,CMP_LE,,,('0' <= lookahead && lookahead <= '7')
p_58710ee39c938f531c09,r,ts_lex,6,AND,,,('0' <= lookahead && lookahead <= '7')
p_e4c3d394772885d625fc,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead != 0 && (lookahead < '0' || '9' < lookahead)
p_e4c3d394772885d625fc,r,ts_lex,1,PUSH_INT,0,,lookahead != 0 && (lookahead < '0' || '9' < lookahead)
p_e4c3d394772885d625fc,r,ts_lex,2,CMP_NE,,,lookahead != 0 && (lookahead < '0' || '9' < lookahead)
p_e4c3d394772885d625fc,r,ts_lex,3,PUSH_LOOKAHEAD,,,lookahead != 0 && (lookahead < '0' || '9' < lookahead)
p_e4c3d394772885d625fc,r,ts_lex,4,PUSH_INT,48,,lookahead != 0 && (lookahead < '0' || '9' < lookahead)
p_e4c3d394772885d625fc,r,ts_lex,5,CMP_LT,,,lookahead != 0 && (lookahead < '0' || '9' < lookahead)
p_e4c3d394772885d625fc,r,ts_lex,6,PUSH_INT,57,,lookahead != 0 && (lookahead < '0' || '9' < lookahead)
p_e4c3d394772885d625fc,r,ts_lex,7,PUSH_LOOKAHEAD,,,lookahead != 0 && (lookahead < '0' || '9' < lookahead)
p_e4c3d394772885d625fc,r,ts_lex,8,CMP_LT,,,lookahead != 0 && (lookahead < '0' || '9' < lookahead)
p_e4c3d394772885d625fc,r,ts_lex,9,OR,,,lookahead != 0 && (lookahead < '0' || '9' < lookahead)
p_e4c3d394772885d625fc,r,ts_lex,10,AND,,,lookahead != 0 && (lookahead < '0' || '9' < lookahead)
p_30aa183645d95ccdac06,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == '`'
p_30aa183645d95ccdac06,r,ts_lex,1,PUSH_INT,96,,lookahead == '`'
p_30aa183645d95ccdac06,r,ts_lex,2,CMP_EQ,,,lookahead == '`'
p_ce874d0b6b57f45cc4de,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == '{'
p_ce874d0b6b57f45cc4de,r,ts_lex,1,PUSH_INT,123,,lookahead == '{'
p_ce874d0b6b57f45cc4de,r,ts_lex,2,CMP_EQ,,,lookahead == '{'
p_d4b128f43e71cba81ee0,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == '}'
p_d4b128f43e71cba81ee0,r,ts_lex,1,PUSH_INT,125,,lookahead == '}'
p_d4b128f43e71cba81ee0,r,ts_lex,2,CMP_EQ,,,lookahead == '}'
p_7d97d2403703624d9c90,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == '+' || lookahead == '-'
p_7d97d2403703624d9c90,r,ts_lex,1,PUSH_INT,43,,lookahead == '+' || lookahead == '-'
p_7d97d2403703624d9c90,r,ts_lex,2,CMP_EQ,,,lookahead == '+' || lookahead == '-'
p_7d97d2403703624d9c90,r,ts_lex,3,PUSH_LOOKAHEAD,,,lookahead == '+' || lookahead == '-'
p_7d97d2403703624d9c90,r,ts_lex,4,PUSH_INT,45,,lookahead == '+' || lookahead == '-'
p_7d97d2403703624d9c90,r,ts_lex,5,CMP_EQ,,,lookahead == '+' || lookahead == '-'
p_7d97d2403703624d9c90,r,ts_lex,6,OR,,,lookahead == '+' || lookahead == '-'
p_260b817a68d584c79f98,r,ts_lex,0,PUSH_INT,48,,('0' <= lookahead && lookahead <= '9')
p_260b817a68d584c79f98,r,ts_lex,1,PUSH_LOOKAHEAD,,,('0' <= lookahead && lookahead <= '9')
p_260b817a68d584c79f98,r,ts_lex,2,CMP_LE,,,('0' <= lookahead && lookahead <= '9')
p_260b817a68d584c79f98,r,ts_lex,3,PUSH_LOOKAHEAD,,,('0' <= lookahead && lookahead <= '9')
p_260b817a68d584c79f98,r,ts_lex,4,PUSH_INT,57,,('0' <= lookahead && lookahead <= '9')
p_260b817a68d584c79f98,r,ts_lex,5,CMP_LE,,,('0' <= lookahead && lookahead <= '9')
p_260b817a68d584c79f98,r,ts_lex,6,AND,,,('0' <= lookahead && lookahead <= '9')
p_4fa63ffe76abf558ec9b,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == '>'
p_4fa63ffe76abf558ec9b,r,ts_lex,1,PUSH_INT,62,,lookahead == '>'
p_4fa63ffe76abf558ec9b,r,ts_lex,2,CMP_EQ,,,lookahead == '>'
p_c48cf23a01e32072c459,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == '|'
p_c48cf23a01e32072c459,r,ts_lex,1,PUSH_INT,124,,lookahead == '|'
p_c48cf23a01e32072c459,r,ts_lex,2,CMP_EQ,,,lookahead == '|'
p_1da6b7f4c817c8dfbed3,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == '&'
p_1da6b7f4c817c8dfbed3,r,ts_lex,1,PUSH_INT,38,,lookahead == '&'
p_1da6b7f4c817c8dfbed3,r,ts_lex,2,CMP_EQ,,,lookahead == '&'
p_6a69506a94f7fc6b04d4,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == '<'
p_6a69506a94f7fc6b04d4,r,ts_lex,1,PUSH_INT,60,,lookahead == '<'
p_6a69506a94f7fc6b04d4,r,ts_lex,2,CMP_EQ,,,lookahead == '<'
p_0bdd70cfa300db6f37d3,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == '*'
p_0bdd70cfa300db6f37d3,r,ts_lex,1,PUSH_INT,42,,lookahead == '*'
p_0bdd70cfa300db6f37d3,r,ts_lex,2,CMP_EQ,,,lookahead == '*'
p_def9df1513fc092202be,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == ':'
p_def9df1513fc092202be,r,ts_lex,1,PUSH_INT,58,,lookahead == ':'
p_def9df1513fc092202be,r,ts_lex,2,CMP_EQ,,,lookahead == ':'
p_a0288a6b6ed23b7e5e9f,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 'P' || lookahead == 'p'
p_a0288a6b6ed23b7e5e9f,r,ts_lex,1,PUSH_INT,80,,lookahead == 'P' || lookahead == 'p'
p_a0288a6b6ed23b7e5e9f,r,ts_lex,2,CMP_EQ,,,lookahead == 'P' || lookahead == 'p'
p_a0288a6b6ed23b7e5e9f,r,ts_lex,3,PUSH_LOOKAHEAD,,,lookahead == 'P' || lookahead == 'p'
p_a0288a6b6ed23b7e5e9f,r,ts_lex,4,PUSH_INT,112,,lookahead == 'P' || lookahead == 'p'
p_a0288a6b6ed23b7e5e9f,r,ts_lex,5,CMP_EQ,,,lookahead == 'P' || lookahead == 'p'
p_a0288a6b6ed23b7e5e9f,r,ts_lex,6,OR,,,lookahead == 'P' || lookahead == 'p'
p_5d1bbf9a5eac0929d21a,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 'E' || lookahead == 'e'
p_5d1bbf9a5eac0929d21a,r,ts_lex,1,PUSH_INT,69,,lookahead == 'E' || lookahead == 'e'
p_5d1bbf9a5eac0929d21a,r,ts_lex,2,CMP_EQ,,,lookahead == 'E' || lookahead == 'e'
p_5d1bbf9a5eac0929d21a,r,ts_lex,3,PUSH_LOOKAHEAD,,,lookahead == 'E' || lookahead == 'e'
p_5d1bbf9a5eac0929d21a,r,ts_lex,4,PUSH_INT,101,,lookahead == 'E' || lookahead == 'e'
p_5d1bbf9a5eac0929d21a,r,ts_lex,5,CMP_EQ,,,lookahead == 'E' || lookahead == 'e'
p_5d1bbf9a5eac0929d21a,r,ts_lex,6,OR,,,lookahead == 'E' || lookahead == 'e'
p_0202159a55f7c8c5b475,r,ts_lex,0,PUSH_LOOKAHEAD,,,lookahead == 'X' || lookahead == 'x'
p_0202159a55f7c8c5b475,r,ts_lex,1,PUSH_INT,88,,lookahead == 'X' || lookahead == 'x'
p_0202159a55f7c8c5b475,r,ts_lex,2,CMP_EQ,,,lookahead == 'X' || lookahead == 'x'
p_0202159a55f7c8c5b475,r,ts_lex,3,PUSH_LOOKAHEAD,,,lookahead == 'X' || lookahead == 'x'
