language,repository,from_rule,to_symbol,path
r,r-lib/tree-sitter-r,while_statement,_newline,$.content.members[1].content
r,r-lib/tree-sitter-r,while_statement,_open_parenthesis,$.content.members[2].content
r,r-lib/tree-sitter-r,while_statement,_expression,$.content.members[3].content
r,r-lib/tree-sitter-r,while_statement,_close_parenthesis,$.content.members[4].content
r,r-lib/tree-sitter-r,while_statement,_newline,$.content.members[5].content
r,r-lib/tree-sitter-r,while_statement,_expression,$.content.members[6].content
r,r-lib/tree-sitter-r,repeat_statement,_newline,$.content.members[1].content
r,r-lib/tree-sitter-r,repeat_statement,_expression,$.content.members[2].content
r,r-lib/tree-sitter-r,braced_expression,_open_brace,$.content.members[0].content
r,r-lib/tree-sitter-r,braced_expression,_expression,$.content.members[1].content.content.members[0]
r,r-lib/tree-sitter-r,braced_expression,_semicolon,$.content.members[1].content.content.members[1]
r,r-lib/tree-sitter-r,braced_expression,_newline,$.content.members[1].content.content.members[2]
r,r-lib/tree-sitter-r,braced_expression,_close_brace,$.content.members[2].content
r,r-lib/tree-sitter-r,parenthesized_expression,_open_parenthesis,$.content.members[0].content
r,r-lib/tree-sitter-r,parenthesized_expression,_expression,$.content.members[1].content
r,r-lib/tree-sitter-r,parenthesized_expression,_close_parenthesis,$.content.members[2].content
r,r-lib/tree-sitter-r,call,_expression,$.content.members[0].content
r,r-lib/tree-sitter-r,call,call_arguments,$.content.members[1].content.content
r,r-lib/tree-sitter-r,subset,_expression,$.content.members[0].content
r,r-lib/tree-sitter-r,subset,subset_arguments,$.content.members[1].content.content
r,r-lib/tree-sitter-r,subset2,_expression,$.content.members[0].content
r,r-lib/tree-sitter-r,subset2,subset2_arguments,$.content.members[1].content.content
r,r-lib/tree-sitter-r,call_arguments,_open_parenthesis,$.members[0].content
r,r-lib/tree-sitter-r,call_arguments,argument,$.members[1].members[0].members[0].content
r,r-lib/tree-sitter-r,call_arguments,comma,$.members[1].members[1].content.members[0]
r,r-lib/tree-sitter-r,call_arguments,argument,$.members[1].members[1].content.members[1].members[0].content
r,r-lib/tree-sitter-r,call_arguments,_close_parenthesis,$.members[2].content
r,r-lib/tree-sitter-r,subset_arguments,_open_bracket,$.members[0].content
r,r-lib/tree-sitter-r,subset_arguments,argument,$.members[1].members[0].members[0].content
r,r-lib/tree-sitter-r,subset_arguments,comma,$.members[1].members[1].content.members[0]
r,r-lib/tree-sitter-r,subset_arguments,argument,$.members[1].members[1].content.members[1].members[0].content
r,r-lib/tree-sitter-r,subset_arguments,_close_bracket,$.members[2].content
r,r-lib/tree-sitter-r,subset2_arguments,_open_bracket2,$.members[0].content
r,r-lib/tree-sitter-r,subset2_arguments,argument,$.members[1].members[0].members[0].content
r,r-lib/tree-sitter-r,subset2_arguments,comma,$.members[1].members[1].content.members[0]
r,r-lib/tree-sitter-r,subset2_arguments,argument,$.members[1].members[1].content.members[1].members[0].content
r,r-lib/tree-sitter-r,subset2_arguments,_close_bracket2,$.members[2].content
r,r-lib/tree-sitter-r,argument,_argument_named,$.members[0]
r,r-lib/tree-sitter-r,argument,_argument_unnamed,$.members[1]
r,r-lib/tree-sitter-r,_argument_named,_argument_name_string_or_identifier_or_null,$.members[0].content
r,r-lib/tree-sitter-r,_argument_named,_argument_value,$.members[2].members[0]
r,r-lib/tree-sitter-r,_argument_unnamed,_argument_value,$
r,r-lib/tree-sitter-r,_argument_value,_expression,$.content
r,r-lib/tree-sitter-r,unary_operator,_newline,$.members[0].content.members[1].content
r,r-lib/tree-sitter-r,unary_operator,_expression,$.members[0].content.members[2].content
r,r-lib/tree-sitter-r,unary_operator,_newline,$.members[1].content.members[1].content
r,r-lib/tree-sitter-r,unary_operator,_expression,$.members[1].content.members[2].content
r,r-lib/tree-sitter-r,unary_operator,_newline,$.members[2].content.members[1].content
r,r-lib/tree-sitter-r,unary_operator,_expression,$.members[2].content.members[2].content
r,r-lib/tree-sitter-r,unary_operator,_newline,$.members[3].content.members[1].content
r,r-lib/tree-sitter-r,unary_operator,_expression,$.members[3].content.members[2].content
r,r-lib/tree-sitter-r,unary_operator,_newline,$.members[4].content.members[1].content
r,r-lib/tree-sitter-r,unary_operator,_expression,$.members[4].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[0].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[0].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[0].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[1].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[1].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[1].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[2].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[2].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[2].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[3].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[3].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[3].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[4].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[4].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[4].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[5].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[5].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[5].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[6].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[6].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[6].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[7].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[7].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[7].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[8].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[8].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[8].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[9].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[9].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[9].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[10].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[10].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[10].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[11].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[11].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[11].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[12].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[12].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[12].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[13].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[13].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[13].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[14].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[14].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[14].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[15].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[15].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[15].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[16].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[16].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[16].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[17].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[17].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[17].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[18].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[18].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[18].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[19].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[19].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[19].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[20].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[20].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[20].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[21].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[21].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[21].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[22].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[22].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[22].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[23].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[23].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[23].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[24].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[24].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[24].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[25].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[25].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[25].content.members[3].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[26].content.members[0].content
r,r-lib/tree-sitter-r,binary_operator,_newline,$.members[26].content.members[2].content
r,r-lib/tree-sitter-r,binary_operator,_expression,$.members[26].content.members[3].content
r,r-lib/tree-sitter-r,extract_operator,_expression,$.members[0].content.members[0].content
r,r-lib/tree-sitter-r,extract_operator,_newline,$.members[0].content.members[2].content
r,r-lib/tree-sitter-r,extract_operator,_string_or_identifier,$.members[0].content.members[3].members[0].content
r,r-lib/tree-sitter-r,extract_operator,_expression,$.members[1].content.members[0].content
r,r-lib/tree-sitter-r,extract_operator,_newline,$.members[1].content.members[2].content
r,r-lib/tree-sitter-r,extract_operator,_string_or_identifier,$.members[1].content.members[3].members[0].content
r,r-lib/tree-sitter-r,namespace_operator,_string_or_identifier,$.members[0].content.members[0].content
r,r-lib/tree-sitter-r,namespace_operator,_string_or_identifier,$.members[0].content.members[2].members[0].content
r,r-lib/tree-sitter-r,namespace_operator,_string_or_identifier,$.members[1].content.members[0].content
r,r-lib/tree-sitter-r,namespace_operator,_string_or_identifier,$.members[1].content.members[2].members[0].content
r,r-lib/tree-sitter-r,integer,_float_literal,$.members[0]
r,r-lib/tree-sitter-r,complex,_float_literal,$.members[0]
r,r-lib/tree-sitter-r,float,_float_literal,$
r,r-lib/tree-sitter-r,_float_literal,_hex_literal,$.members[0]
r,r-lib/tree-sitter-r,_float_literal,_number_literal,$.members[1]
r,r-lib/tree-sitter-r,string,_raw_string,$.members[0]
r,r-lib/tree-sitter-r,string,_single_quoted_string,$.members[1]
r,r-lib/tree-sitter-r,string,_double_quoted_string,$.members[2]
r,r-lib/tree-sitter-r,_raw_string,_raw_string_open,$.members[0].content.content
r,r-lib/tree-sitter-r,_raw_string,_raw_string_content,$.members[1].members[0].content.content
r,r-lib/tree-sitter-r,_raw_string,_raw_string_close,$.members[2].content.content
r,r-lib/tree-sitter-r,_single_quoted_string,_single_quoted_string_content,$.members[1].members[0].content.content
r,r-lib/tree-sitter-r,_double_quoted_string,_double_quoted_string_content,$.members[1].members[0].content.content
r,r-lib/tree-sitter-r,_single_quoted_string_content,escape_sequence,$.content.members[1]
r,r-lib/tree-sitter-r,_double_quoted_string_content,escape_sequence,$.content.members[1]
r,r-lib/tree-sitter-r,_identifier,dots,$.members[0]
r,r-lib/tree-sitter-r,_identifier,dot_dot_i,$.members[1]
r,r-lib/tree-sitter-r,_identifier,identifier,$.members[2]
r,r-lib/tree-sitter-r,_string_or_identifier,string,$.members[0]
r,r-lib/tree-sitter-r,_string_or_identifier,_identifier,$.members[1]
r,r-lib/tree-sitter-r,_argument_name_string_or_identifier_or_null,_string_or_identifier,$.content.members[0]
r,r-lib/tree-sitter-r,_argument_name_string_or_identifier_or_null,null,$.content.members[1]
r,r-lib/tree-sitter-r,_expression,function_definition,$.members[0]
r,r-lib/tree-sitter-r,_expression,if_statement,$.members[1]
r,r-lib/tree-sitter-r,_expression,for_statement,$.members[2]
r,r-lib/tree-sitter-r,_expression,while_statement,$.members[3]
r,r-lib/tree-sitter-r,_expression,repeat_statement,$.members[4]
r,r-lib/tree-sitter-r,_expression,braced_expression,$.members[5]
r,r-lib/tree-sitter-r,_expression,parenthesized_expression,$.members[6]
r,r-lib/tree-sitter-r,_expression,call,$.members[7]
r,r-lib/tree-sitter-r,_expression,subset,$.members[8]
r,r-lib/tree-sitter-r,_expression,subset2,$.members[9]
r,r-lib/tree-sitter-r,_expression,unary_operator,$.members[10]
r,r-lib/tree-sitter-r,_expression,binary_operator,$.members[11]
r,r-lib/tree-sitter-r,_expression,extract_operator,$.members[12]
r,r-lib/tree-sitter-r,_expression,namespace_operator,$.members[13]
r,r-lib/tree-sitter-r,_expression,integer,$.members[14]
r,r-lib/tree-sitter-r,_expression,complex,$.members[15]
r,r-lib/tree-sitter-r,_expression,float,$.members[16]
r,r-lib/tree-sitter-r,_expression,string,$.members[17]
r,r-lib/tree-sitter-r,_expression,identifier,$.members[18]
r,r-lib/tree-sitter-r,_expression,dots,$.members[19]
r,r-lib/tree-sitter-r,_expression,dot_dot_i,$.members[20]
r,r-lib/tree-sitter-r,_expression,next,$.members[21]
r,r-lib/tree-sitter-r,_expression,break,$.members[22]
r,r-lib/tree-sitter-r,_expression,true,$.members[23]
r,r-lib/tree-sitter-r,_expression,false,$.members[24]
r,r-lib/tree-sitter-r,_expression,null,$.members[25]
r,r-lib/tree-sitter-r,_expression,inf,$.members[26]
r,r-lib/tree-sitter-r,_expression,nan,$.members[27]
r,r-lib/tree-sitter-r,_expression,na,$.members[28]
r,r-lib/tree-sitter-r,_else,_external_else,$.content
r,r-lib/tree-sitter-r,_open_parenthesis,_external_open_parenthesis,$.content
r,r-lib/tree-sitter-r,_close_parenthesis,_external_close_parenthesis,$.content
r,r-lib/tree-sitter-r,_open_brace,_external_open_brace,$.content
r,r-lib/tree-sitter-r,_close_brace,_external_close_brace,$.content
r,r-lib/tree-sitter-r,_open_bracket,_external_open_bracket,$.content
r,r-lib/tree-sitter-r,_close_bracket,_external_close_bracket,$.content
r,r-lib/tree-sitter-r,_open_bracket2,_external_open_bracket2,$.content
r,r-lib/tree-sitter-r,_close_bracket2,_external_close_bracket2,$.content
go,tree-sitter/tree-sitter-go,source_file,_statement,$.members[0].content.members[0].members[0]
go,tree-sitter/tree-sitter-go,source_file,_top_level_declaration,$.members[0].content.members[1].members[0]
go,tree-sitter/tree-sitter-go,source_file,_top_level_declaration,$.members[1].members[0]
go,tree-sitter/tree-sitter-go,_top_level_declaration,package_clause,$.members[0]
go,tree-sitter/tree-sitter-go,_top_level_declaration,function_declaration,$.members[1]
go,tree-sitter/tree-sitter-go,_top_level_declaration,method_declaration,$.members[2]
go,tree-sitter/tree-sitter-go,_top_level_declaration,import_declaration,$.members[3]
go,tree-sitter/tree-sitter-go,package_clause,_package_identifier,$.members[1]
go,tree-sitter/tree-sitter-go,import_declaration,import_spec,$.members[1].members[0]
go,tree-sitter/tree-sitter-go,import_declaration,import_spec_list,$.members[1].members[1]
go,tree-sitter/tree-sitter-go,import_spec,dot,$.members[0].members[0].content.members[0]
go,tree-sitter/tree-sitter-go,import_spec,blank_identifier,$.members[0].members[0].content.members[1]
go,tree-sitter/tree-sitter-go,import_spec,_package_identifier,$.members[0].members[0].content.members[2]
go,tree-sitter/tree-sitter-go,import_spec,_string_literal,$.members[1].content
go,tree-sitter/tree-sitter-go,import_spec_list,import_spec,$.members[1].members[0].members[0]
go,tree-sitter/tree-sitter-go,import_spec_list,import_spec,$.members[1].members[0].members[1].content.members[1]
go,tree-sitter/tree-sitter-go,_declaration,const_declaration,$.members[0]
go,tree-sitter/tree-sitter-go,_declaration,type_declaration,$.members[1]
go,tree-sitter/tree-sitter-go,_declaration,var_declaration,$.members[2]
go,tree-sitter/tree-sitter-go,const_declaration,const_spec,$.members[1].members[0]
go,tree-sitter/tree-sitter-go,const_declaration,const_spec,$.members[1].members[1].members[1].content.members[0]
go,tree-sitter/tree-sitter-go,const_spec,identifier,$.content.members[0].content.members[0]
go,tree-sitter/tree-sitter-go,const_spec,identifier,$.content.members[0].content.members[1].content.members[1]
go,tree-sitter/tree-sitter-go,const_spec,_type,$.content.members[1].members[0].members[0].members[0].content
go,tree-sitter/tree-sitter-go,const_spec,expression_list,$.content.members[1].members[0].members[2].content
go,tree-sitter/tree-sitter-go,var_declaration,var_spec,$.members[1].members[0]
go,tree-sitter/tree-sitter-go,var_declaration,var_spec_list,$.members[1].members[1]
go,tree-sitter/tree-sitter-go,var_spec,identifier,$.members[0].members[0].content
go,tree-sitter/tree-sitter-go,var_spec,identifier,$.members[0].members[1].content.members[1].content
go,tree-sitter/tree-sitter-go,var_spec,_type,$.members[1].members[0].members[0].content
go,tree-sitter/tree-sitter-go,var_spec,expression_list,$.members[1].members[0].members[1].members[0].members[1].content
go,tree-sitter/tree-sitter-go,var_spec,expression_list,$.members[1].members[1].members[1].content
go,tree-sitter/tree-sitter-go,var_spec_list,var_spec,$.members[1].content.members[0]
go,tree-sitter/tree-sitter-go,function_declaration,identifier,$.content.members[1].content
go,tree-sitter/tree-sitter-go,function_declaration,type_parameter_list,$.content.members[2].content.members[0]
go,tree-sitter/tree-sitter-go,function_declaration,parameter_list,$.content.members[3].content
go,tree-sitter/tree-sitter-go,function_declaration,parameter_list,$.content.members[4].content.members[0].members[0]
go,tree-sitter/tree-sitter-go,function_declaration,_simple_type,$.content.members[4].content.members[0].members[1]
go,tree-sitter/tree-sitter-go,function_declaration,block,$.content.members[5].content.members[0]
go,tree-sitter/tree-sitter-go,method_declaration,parameter_list,$.content.members[1].content
go,tree-sitter/tree-sitter-go,method_declaration,_field_identifier,$.content.members[2].content
go,tree-sitter/tree-sitter-go,method_declaration,parameter_list,$.content.members[3].content
go,tree-sitter/tree-sitter-go,method_declaration,parameter_list,$.content.members[4].content.members[0].members[0]
go,tree-sitter/tree-sitter-go,method_declaration,_simple_type,$.content.members[4].content.members[0].members[1]
go,tree-sitter/tree-sitter-go,method_declaration,block,$.content.members[5].content.members[0]
go,tree-sitter/tree-sitter-go,type_parameter_list,type_parameter_declaration,$.members[1].members[0]
go,tree-sitter/tree-sitter-go,type_parameter_list,type_parameter_declaration,$.members[1].members[1].content.members[1]
go,tree-sitter/tree-sitter-go,type_parameter_declaration,identifier,$.members[0].members[0].content
go,tree-sitter/tree-sitter-go,type_parameter_declaration,identifier,$.members[0].members[1].content.members[1].content
go,tree-sitter/tree-sitter-go,type_parameter_declaration,type_elem,$.members[1].content.content
go,tree-sitter/tree-sitter-go,parameter_list,parameter_declaration,$.members[1].members[0].members[0].members[0].members[0].members[0]
go,tree-sitter/tree-sitter-go,parameter_list,variadic_parameter_declaration,$.members[1].members[0].members[0].members[0].members[0].members[1]
go,tree-sitter/tree-sitter-go,parameter_list,parameter_declaration,$.members[1].members[0].members[0].members[0].members[1].content.members[1].members[0]
go,tree-sitter/tree-sitter-go,parameter_list,variadic_parameter_declaration,$.members[1].members[0].members[0].members[0].members[1].content.members[1].members[1]
go,tree-sitter/tree-sitter-go,parameter_declaration,identifier,$.members[0].members[0].members[0].content
go,tree-sitter/tree-sitter-go,parameter_declaration,identifier,$.members[0].members[0].members[1].content.members[1].content
go,tree-sitter/tree-sitter-go,parameter_declaration,_type,$.members[1].content
go,tree-sitter/tree-sitter-go,variadic_parameter_declaration,identifier,$.members[0].content.members[0]
go,tree-sitter/tree-sitter-go,variadic_parameter_declaration,_type,$.members[2].content
go,tree-sitter/tree-sitter-go,type_alias,_type_identifier,$.members[0].content
go,tree-sitter/tree-sitter-go,type_alias,type_parameter_list,$.members[1].content.members[0]
go,tree-sitter/tree-sitter-go,type_alias,_type,$.members[3].content
go,tree-sitter/tree-sitter-go,type_declaration,type_spec,$.members[1].members[0]
go,tree-sitter/tree-sitter-go,type_declaration,type_alias,$.members[1].members[1]
go,tree-sitter/tree-sitter-go,type_declaration,type_spec,$.members[1].members[2].members[1].members[0].members[0].members[0]
go,tree-sitter/tree-sitter-go,type_declaration,type_alias,$.members[1].members[2].members[1].members[0].members[0].members[1]
go,tree-sitter/tree-sitter-go,type_declaration,type_spec,$.members[1].members[2].members[1].members[0].members[1].content.members[1].members[0]
go,tree-sitter/tree-sitter-go,type_declaration,type_alias,$.members[1].members[2].members[1].members[0].members[1].content.members[1].members[1]
go,tree-sitter/tree-sitter-go,type_spec,_type_identifier,$.members[0].content
go,tree-sitter/tree-sitter-go,type_spec,type_parameter_list,$.members[1].content.members[0]
go,tree-sitter/tree-sitter-go,type_spec,_type,$.members[2].content
go,tree-sitter/tree-sitter-go,field_name_list,_field_identifier,$.members[0]
go,tree-sitter/tree-sitter-go,field_name_list,_field_identifier,$.members[1].content.members[1]
go,tree-sitter/tree-sitter-go,expression_list,_expression,$.members[0]
go,tree-sitter/tree-sitter-go,expression_list,_expression,$.members[1].content.members[1]
go,tree-sitter/tree-sitter-go,_type,_simple_type,$.members[0]
go,tree-sitter/tree-sitter-go,_type,parenthesized_type,$.members[1]
go,tree-sitter/tree-sitter-go,parenthesized_type,_type,$.members[1]
go,tree-sitter/tree-sitter-go,_simple_type,_type_identifier,$.members[0].content
go,tree-sitter/tree-sitter-go,_simple_type,generic_type,$.members[1]
go,tree-sitter/tree-sitter-go,_simple_type,qualified_type,$.members[2]
go,tree-sitter/tree-sitter-go,_simple_type,pointer_type,$.members[3]
go,tree-sitter/tree-sitter-go,_simple_type,struct_type,$.members[4]
go,tree-sitter/tree-sitter-go,_simple_type,interface_type,$.members[5]
go,tree-sitter/tree-sitter-go,_simple_type,array_type,$.members[6]
go,tree-sitter/tree-sitter-go,_simple_type,slice_type,$.members[7]
go,tree-sitter/tree-sitter-go,_simple_type,map_type,$.members[8].content
go,tree-sitter/tree-sitter-go,_simple_type,channel_type,$.members[9]
go,tree-sitter/tree-sitter-go,_simple_type,function_type,$.members[10]
go,tree-sitter/tree-sitter-go,_simple_type,negated_type,$.members[11]
go,tree-sitter/tree-sitter-go,generic_type,_type_identifier,$.content.members[0].content.members[0]
go,tree-sitter/tree-sitter-go,generic_type,qualified_type,$.content.members[0].content.members[1]
go,tree-sitter/tree-sitter-go,generic_type,negated_type,$.content.members[0].content.members[2]
go,tree-sitter/tree-sitter-go,generic_type,type_arguments,$.content.members[1].content
go,tree-sitter/tree-sitter-go,type_arguments,type_elem,$.content.members[1].members[0]
go,tree-sitter/tree-sitter-go,type_arguments,type_elem,$.content.members[1].members[1].content.members[1]
go,tree-sitter/tree-sitter-go,pointer_type,_type,$.content.members[1]
go,tree-sitter/tree-sitter-go,array_type,_expression,$.content.members[1].content
go,tree-sitter/tree-sitter-go,array_type,_type,$.content.members[3].content
go,tree-sitter/tree-sitter-go,implicit_length_array_type,_type,$.members[3].content
go,tree-sitter/tree-sitter-go,slice_type,_type,$.content.members[2].content
go,tree-sitter/tree-sitter-go,struct_type,field_declaration_list,$.members[1]
go,tree-sitter/tree-sitter-go,negated_type,_type,$.content.members[1]
go,tree-sitter/tree-sitter-go,field_declaration_list,field_declaration,$.members[1].members[0].members[0]
go,tree-sitter/tree-sitter-go,field_declaration_list,field_declaration,$.members[1].members[0].members[1].content.members[1]
go,tree-sitter/tree-sitter-go,field_declaration,_field_identifier,$.members[0].members[0].members[0].members[0].content
go,tree-sitter/tree-sitter-go,field_declaration,_field_identifier,$.members[0].members[0].members[0].members[1].content.members[1].content
go,tree-sitter/tree-sitter-go,field_declaration,_type,$.members[0].members[0].members[1].content
go,tree-sitter/tree-sitter-go,field_declaration,_type_identifier,$.members[0].members[1].members[1].content.members[0]
go,tree-sitter/tree-sitter-go,field_declaration,qualified_type,$.members[0].members[1].members[1].content.members[1]
go,tree-sitter/tree-sitter-go,field_declaration,generic_type,$.members[0].members[1].members[1].content.members[2]
