language,repository,category,path,value_kind,value_json
rust,tree-sitter/tree-sitter-rust,conflicts,conflicts[7][2],str,"""scoped_type_identifier"""
rust,tree-sitter/tree-sitter-rust,conflicts,conflicts[8][0],str,"""foreign_mod_item"""
rust,tree-sitter/tree-sitter-rust,conflicts,conflicts[8][1],str,"""function_modifiers"""
rust,tree-sitter/tree-sitter-rust,supertypes,supertypes[0],str,"""_expression"""
rust,tree-sitter/tree-sitter-rust,supertypes,supertypes[1],str,"""_type"""
rust,tree-sitter/tree-sitter-rust,supertypes,supertypes[2],str,"""_literal"""
rust,tree-sitter/tree-sitter-rust,supertypes,supertypes[3],str,"""_literal_pattern"""
rust,tree-sitter/tree-sitter-rust,supertypes,supertypes[4],str,"""_declaration_statement"""
rust,tree-sitter/tree-sitter-rust,supertypes,supertypes[5],str,"""_pattern"""
rust,tree-sitter/tree-sitter-rust,precedences,precedences,array,[]
rust,tree-sitter/tree-sitter-rust,reserved,reserved,object,{}
cpp,tree-sitter/tree-sitter-cpp,word,word,str,"""identifier"""
cpp,tree-sitter/tree-sitter-cpp,externals,externals[0].type,str,"""SYMBOL"""
cpp,tree-sitter/tree-sitter-cpp,externals,externals[0].name,str,"""raw_string_delimiter"""
cpp,tree-sitter/tree-sitter-cpp,externals,externals[1].type,str,"""SYMBOL"""
cpp,tree-sitter/tree-sitter-cpp,externals,externals[1].name,str,"""raw_string_content"""
cpp,tree-sitter/tree-sitter-cpp,extras,extras[0].type,str,"""PATTERN"""
cpp,tree-sitter/tree-sitter-cpp,extras,extras[0].value,str,"""\\s|\\\\\\r?\\n"""
cpp,tree-sitter/tree-sitter-cpp,extras,extras[1].type,str,"""SYMBOL"""
cpp,tree-sitter/tree-sitter-cpp,extras,extras[1].name,str,"""comment"""
cpp,tree-sitter/tree-sitter-cpp,inline,inline[0],str,"""_type_identifier"""
cpp,tree-sitter/tree-sitter-cpp,inline,inline[1],str,"""_field_identifier"""
cpp,tree-sitter/tree-sitter-cpp,inline,inline[2],str,"""_statement_identifier"""
cpp,tree-sitter/tree-sitter-cpp,inline,inline[3],str,"""_non_case_statement"""
cpp,tree-sitter/tree-sitter-cpp,inline,inline[4],str,"""_assignment_left_expression"""
cpp,tree-sitter/tree-sitter-cpp,inline,inline[5],str,"""_expression_not_binary"""
cpp,tree-sitter/tree-sitter-cpp,inline,inline[6],str,"""_namespace_identifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[0][0],str,"""type_specifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[0][1],str,"""_declarator"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[1][0],str,"""type_specifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[1][1],str,"""expression"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[2][0],str,"""sized_type_specifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[3][0],str,"""attributed_statement"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[4][0],str,"""_declaration_modifiers"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[4][1],str,"""attributed_statement"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[5][0],str,"""_declaration_modifiers"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[5][1],str,"""using_declaration"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[6][0],str,"""_declaration_modifiers"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[6][1],str,"""attributed_statement"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[6][2],str,"""using_declaration"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[7][0],str,"""_top_level_item"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[7][1],str,"""_top_level_statement"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[8][0],str,"""_block_item"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[8][1],str,"""statement"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[9][0],str,"""type_qualifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[9][1],str,"""extension_expression"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[10][0],str,"""template_function"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[10][1],str,"""template_type"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[11][0],str,"""template_function"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[11][1],str,"""template_type"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[11][2],str,"""expression"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[12][0],str,"""template_function"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[12][1],str,"""template_type"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[12][2],str,"""qualified_identifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[13][0],str,"""template_function"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[13][1],str,"""template_type"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[13][2],str,"""qualified_identifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[13][3],str,"""qualified_type_identifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[14][0],str,"""template_type"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[14][1],str,"""qualified_type_identifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[15][0],str,"""qualified_type_identifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[15][1],str,"""qualified_identifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[16][0],str,"""comma_expression"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[16][1],str,"""initializer_list"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[17][0],str,"""expression"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[17][1],str,"""_declarator"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[18][0],str,"""expression"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[18][1],str,"""structured_binding_declarator"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[19][0],str,"""expression"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[19][1],str,"""_declarator"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[19][2],str,"""type_specifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[20][0],str,"""expression"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[20][1],str,"""identifier_parameter_pack_expansion"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[21][0],str,"""expression"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[21][1],str,"""_lambda_capture_identifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[22][0],str,"""expression"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[22][1],str,"""_lambda_capture"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[23][0],str,"""expression"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[23][1],str,"""structured_binding_declarator"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[23][2],str,"""_lambda_capture_identifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[24][0],str,"""structured_binding_declarator"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[24][1],str,"""_lambda_capture_identifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[25][0],str,"""parameter_list"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[25][1],str,"""argument_list"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[26][0],str,"""type_specifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[26][1],str,"""call_expression"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[27][0],str,"""_declaration_specifiers"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[27][1],str,"""_constructor_specifiers"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[28][0],str,"""_binary_fold_operator"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[28][1],str,"""_fold_operator"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[29][0],str,"""_function_declarator_seq"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[30][0],str,"""type_specifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[30][1],str,"""sized_type_specifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[31][0],str,"""initializer_pair"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[31][1],str,"""comma_expression"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[32][0],str,"""expression_statement"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[32][1],str,"""_for_statement_body"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[33][0],str,"""init_statement"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[33][1],str,"""_for_statement_body"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[34][0],str,"""field_expression"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[34][1],str,"""template_method"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[34][2],str,"""template_type"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[35][0],str,"""field_expression"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[35][1],str,"""template_method"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[36][0],str,"""qualified_field_identifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[36][1],str,"""template_method"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[36][2],str,"""template_type"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[37][0],str,"""type_specifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[37][1],str,"""template_type"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[37][2],str,"""template_function"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[37][3],str,"""expression"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[38][0],str,"""splice_type_specifier"""
cpp,tree-sitter/tree-sitter-cpp,conflicts,conflicts[38][1],str,"""splice_expression"""
cpp,tree-sitter/tree-sitter-cpp,supertypes,supertypes[0],str,"""expression"""
cpp,tree-sitter/tree-sitter-cpp,supertypes,supertypes[1],str,"""statement"""
cpp,tree-sitter/tree-sitter-cpp,supertypes,supertypes[2],str,"""type_specifier"""
cpp,tree-sitter/tree-sitter-cpp,supertypes,supertypes[3],str,"""_declarator"""
cpp,tree-sitter/tree-sitter-cpp,supertypes,supertypes[4],str,"""_field_declarator"""
cpp,tree-sitter/tree-sitter-cpp,supertypes,supertypes[5],str,"""_type_declarator"""
cpp,tree-sitter/tree-sitter-cpp,supertypes,supertypes[6],str,"""_abstract_declarator"""
cpp,tree-sitter/tree-sitter-cpp,precedences,precedences[0][0].type,str,"""SYMBOL"""
cpp,tree-sitter/tree-sitter-cpp,precedences,precedences[0][0].name,str,"""argument_list"""
cpp,tree-sitter/tree-sitter-cpp,precedences,precedences[0][1].type,str,"""SYMBOL"""
cpp,tree-sitter/tree-sitter-cpp,precedences,precedences[0][1].name,str,"""type_qualifier"""
cpp,tree-sitter/tree-sitter-cpp,precedences,precedences[1][0].type,str,"""SYMBOL"""
cpp,tree-sitter/tree-sitter-cpp,precedences,precedences[1][0].name,str,"""_expression_not_binary"""
cpp,tree-sitter/tree-sitter-cpp,precedences,precedences[1][1].type,str,"""SYMBOL"""
cpp,tree-sitter/tree-sitter-cpp,precedences,precedences[1][1].name,str,"""_class_name"""
cpp,tree-sitter/tree-sitter-cpp,reserved,reserved,object,{}
c,tree-sitter/tree-sitter-c,word,word,str,"""identifier"""
c,tree-sitter/tree-sitter-c,externals,externals,array,[]
c,tree-sitter/tree-sitter-c,extras,extras[0].type,str,"""PATTERN"""
c,tree-sitter/tree-sitter-c,extras,extras[0].value,str,"""\\s|\\\\\\r?\\n"""
c,tree-sitter/tree-sitter-c,extras,extras[1].type,str,"""SYMBOL"""
c,tree-sitter/tree-sitter-c,extras,extras[1].name,str,"""comment"""
c,tree-sitter/tree-sitter-c,inline,inline[0],str,"""_type_identifier"""
c,tree-sitter/tree-sitter-c,inline,inline[1],str,"""_field_identifier"""
c,tree-sitter/tree-sitter-c,inline,inline[2],str,"""_statement_identifier"""
