language,repository,rule,path,value_kind,value_json
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[3].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[3].content.name,str,"""_expression"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[4].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[4].name,str,"""close"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[4].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[4].content.name,str,"""_close_parenthesis"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[5].type,str,"""REPEAT"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[5].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[5].content.name,str,"""_newline"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[6].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[6].name,str,"""body"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[6].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,while_statement,rules.while_statement.content.members[6].content.name,str,"""_expression"""
r,r-lib/tree-sitter-r,repeat_statement,rules.repeat_statement.type,str,"""PREC_LEFT"""
r,r-lib/tree-sitter-r,repeat_statement,rules.repeat_statement.value,int,2
r,r-lib/tree-sitter-r,repeat_statement,rules.repeat_statement.content.type,str,"""SEQ"""
r,r-lib/tree-sitter-r,repeat_statement,rules.repeat_statement.content.members[0].type,str,"""STRING"""
r,r-lib/tree-sitter-r,repeat_statement,rules.repeat_statement.content.members[0].value,str,"""repeat"""
r,r-lib/tree-sitter-r,repeat_statement,rules.repeat_statement.content.members[1].type,str,"""REPEAT"""
r,r-lib/tree-sitter-r,repeat_statement,rules.repeat_statement.content.members[1].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,repeat_statement,rules.repeat_statement.content.members[1].content.name,str,"""_newline"""
r,r-lib/tree-sitter-r,repeat_statement,rules.repeat_statement.content.members[2].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,repeat_statement,rules.repeat_statement.content.members[2].name,str,"""body"""
r,r-lib/tree-sitter-r,repeat_statement,rules.repeat_statement.content.members[2].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,repeat_statement,rules.repeat_statement.content.members[2].content.name,str,"""_expression"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.type,str,"""PREC"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.value,int,0
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.type,str,"""SEQ"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.members[0].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.members[0].name,str,"""open"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.members[0].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.members[0].content.name,str,"""_open_brace"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.members[1].type,str,"""REPEAT"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.members[1].content.type,str,"""FIELD"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.members[1].content.name,str,"""body"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.members[1].content.content.type,str,"""CHOICE"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.members[1].content.content.members[0].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.members[1].content.content.members[0].name,str,"""_expression"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.members[1].content.content.members[1].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.members[1].content.content.members[1].name,str,"""_semicolon"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.members[1].content.content.members[2].type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.members[1].content.content.members[2].name,str,"""_newline"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.members[2].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.members[2].name,str,"""close"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.members[2].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,braced_expression,rules.braced_expression.content.members[2].content.name,str,"""_close_brace"""
r,r-lib/tree-sitter-r,parenthesized_expression,rules.parenthesized_expression.type,str,"""PREC"""
r,r-lib/tree-sitter-r,parenthesized_expression,rules.parenthesized_expression.value,int,0
r,r-lib/tree-sitter-r,parenthesized_expression,rules.parenthesized_expression.content.type,str,"""SEQ"""
r,r-lib/tree-sitter-r,parenthesized_expression,rules.parenthesized_expression.content.members[0].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,parenthesized_expression,rules.parenthesized_expression.content.members[0].name,str,"""open"""
r,r-lib/tree-sitter-r,parenthesized_expression,rules.parenthesized_expression.content.members[0].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,parenthesized_expression,rules.parenthesized_expression.content.members[0].content.name,str,"""_open_parenthesis"""
r,r-lib/tree-sitter-r,parenthesized_expression,rules.parenthesized_expression.content.members[1].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,parenthesized_expression,rules.parenthesized_expression.content.members[1].name,str,"""body"""
r,r-lib/tree-sitter-r,parenthesized_expression,rules.parenthesized_expression.content.members[1].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,parenthesized_expression,rules.parenthesized_expression.content.members[1].content.name,str,"""_expression"""
r,r-lib/tree-sitter-r,parenthesized_expression,rules.parenthesized_expression.content.members[2].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,parenthesized_expression,rules.parenthesized_expression.content.members[2].name,str,"""close"""
r,r-lib/tree-sitter-r,parenthesized_expression,rules.parenthesized_expression.content.members[2].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,parenthesized_expression,rules.parenthesized_expression.content.members[2].content.name,str,"""_close_parenthesis"""
r,r-lib/tree-sitter-r,call,rules.call.type,str,"""PREC_RIGHT"""
r,r-lib/tree-sitter-r,call,rules.call.value,int,20
r,r-lib/tree-sitter-r,call,rules.call.content.type,str,"""SEQ"""
r,r-lib/tree-sitter-r,call,rules.call.content.members[0].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,call,rules.call.content.members[0].name,str,"""function"""
r,r-lib/tree-sitter-r,call,rules.call.content.members[0].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,call,rules.call.content.members[0].content.name,str,"""_expression"""
r,r-lib/tree-sitter-r,call,rules.call.content.members[1].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,call,rules.call.content.members[1].name,str,"""arguments"""
r,r-lib/tree-sitter-r,call,rules.call.content.members[1].content.type,str,"""ALIAS"""
r,r-lib/tree-sitter-r,call,rules.call.content.members[1].content.content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,call,rules.call.content.members[1].content.content.name,str,"""call_arguments"""
r,r-lib/tree-sitter-r,call,rules.call.content.members[1].content.named,bool,true
r,r-lib/tree-sitter-r,call,rules.call.content.members[1].content.value,str,"""arguments"""
r,r-lib/tree-sitter-r,subset,rules.subset.type,str,"""PREC_RIGHT"""
r,r-lib/tree-sitter-r,subset,rules.subset.value,int,20
r,r-lib/tree-sitter-r,subset,rules.subset.content.type,str,"""SEQ"""
r,r-lib/tree-sitter-r,subset,rules.subset.content.members[0].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,subset,rules.subset.content.members[0].name,str,"""function"""
r,r-lib/tree-sitter-r,subset,rules.subset.content.members[0].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,subset,rules.subset.content.members[0].content.name,str,"""_expression"""
r,r-lib/tree-sitter-r,subset,rules.subset.content.members[1].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,subset,rules.subset.content.members[1].name,str,"""arguments"""
r,r-lib/tree-sitter-r,subset,rules.subset.content.members[1].content.type,str,"""ALIAS"""
r,r-lib/tree-sitter-r,subset,rules.subset.content.members[1].content.content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,subset,rules.subset.content.members[1].content.content.name,str,"""subset_arguments"""
r,r-lib/tree-sitter-r,subset,rules.subset.content.members[1].content.named,bool,true
r,r-lib/tree-sitter-r,subset,rules.subset.content.members[1].content.value,str,"""arguments"""
r,r-lib/tree-sitter-r,subset2,rules.subset2.type,str,"""PREC_RIGHT"""
r,r-lib/tree-sitter-r,subset2,rules.subset2.value,int,20
r,r-lib/tree-sitter-r,subset2,rules.subset2.content.type,str,"""SEQ"""
r,r-lib/tree-sitter-r,subset2,rules.subset2.content.members[0].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,subset2,rules.subset2.content.members[0].name,str,"""function"""
r,r-lib/tree-sitter-r,subset2,rules.subset2.content.members[0].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,subset2,rules.subset2.content.members[0].content.name,str,"""_expression"""
r,r-lib/tree-sitter-r,subset2,rules.subset2.content.members[1].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,subset2,rules.subset2.content.members[1].name,str,"""arguments"""
r,r-lib/tree-sitter-r,subset2,rules.subset2.content.members[1].content.type,str,"""ALIAS"""
r,r-lib/tree-sitter-r,subset2,rules.subset2.content.members[1].content.content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,subset2,rules.subset2.content.members[1].content.content.name,str,"""subset2_arguments"""
r,r-lib/tree-sitter-r,subset2,rules.subset2.content.members[1].content.named,bool,true
r,r-lib/tree-sitter-r,subset2,rules.subset2.content.members[1].content.value,str,"""arguments"""
r,r-lib/tree-sitter-r,call_arguments,rules.call_arguments.type,str,"""SEQ"""
r,r-lib/tree-sitter-r,call_arguments,rules.call_arguments.members[0].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,call_arguments,rules.call_arguments.members[0].name,str,"""open"""
r,r-lib/tree-sitter-r,call_arguments,rules.call_arguments.members[0].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,call_arguments,rules.call_arguments.members[0].content.name,str,"""_open_parenthesis"""
r,r-lib/tree-sitter-r,call_arguments,rules.call_arguments.members[1].type,str,"""SEQ"""
r,r-lib/tree-sitter-r,call_arguments,rules.call_arguments.members[1].members[0].type,str,"""CHOICE"""
r,r-lib/tree-sitter-r,call_arguments,rules.call_arguments.members[1].members[0].members[0].type,str,"""FIELD"""
r,r-lib/tree-sitter-r,call_arguments,rules.call_arguments.members[1].members[0].members[0].name,str,"""argument"""
r,r-lib/tree-sitter-r,call_arguments,rules.call_arguments.members[1].members[0].members[0].content.type,str,"""SYMBOL"""
r,r-lib/tree-sitter-r,call_arguments,rules.call_arguments.members[1].members[0].members[0].content.name,str,"""argument"""
r,r-lib/tree-sitter-r,call_arguments,rules.call_arguments.members[1].members[0].members[1].type,str,"""BLANK"""
r,r-lib/tree-sitter-r,call_arguments,rules.call_arguments.members[1].members[1].type,str,"""REPEAT"""
r,r-lib/tree-sitter-r,call_arguments,rules.call_arguments.members[1].members[1].content.type,str,"""SEQ"""
