language,repository,rule,field,path,payload_json
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[3].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""<<-""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[3].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[4].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[4].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":"":=""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[4].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[5].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[5].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""->""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[5].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[6].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[6].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""->>""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[6].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[7].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[7].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""=""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[7].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[8].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[8].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""|""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[8].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[9].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[9].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""&""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[9].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[10].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[10].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""||""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[10].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[11].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[11].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""&&""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[11].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[12].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[12].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""<""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[12].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[13].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[13].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""<=""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[13].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[14].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[14].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":"">""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[14].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[15].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[15].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":"">=""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[15].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[16].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[16].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""==""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[16].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[17].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[17].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""!=""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[17].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[18].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[18].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""+""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[18].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[19].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[19].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""-""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[19].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[20].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[20].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""*""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[20].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[21].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[21].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""/""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[21].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[22].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[22].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""**""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[22].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[23].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[23].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""^""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[23].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[24].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[24].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""ALIAS"",""content"":{""type"":""PATTERN"",""value"":""%[^%\\\\\\n]*%""},""named"":false,""value"":""special""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[24].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[25].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[25].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""|>""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[25].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,lhs,$.members[26].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,binary_operator,operator,$.members[26].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":"":""}}"
r,r-lib/tree-sitter-r,binary_operator,rhs,$.members[26].content.members[3],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,extract_operator,lhs,$.members[0].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,extract_operator,operator,$.members[0].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""$""}}"
r,r-lib/tree-sitter-r,extract_operator,rhs,$.members[0].content.members[3].members[0],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_string_or_identifier""}}"
r,r-lib/tree-sitter-r,extract_operator,lhs,$.members[1].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,extract_operator,operator,$.members[1].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""@""}}"
r,r-lib/tree-sitter-r,extract_operator,rhs,$.members[1].content.members[3].members[0],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_string_or_identifier""}}"
r,r-lib/tree-sitter-r,namespace_operator,lhs,$.members[0].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_string_or_identifier""}}"
r,r-lib/tree-sitter-r,namespace_operator,operator,$.members[0].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""::""}}"
r,r-lib/tree-sitter-r,namespace_operator,rhs,$.members[0].content.members[2].members[0],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_string_or_identifier""}}"
r,r-lib/tree-sitter-r,namespace_operator,lhs,$.members[1].content.members[0],"{""type"":""FIELD"",""name"":""lhs"",""content"":{""type"":""SYMBOL"",""name"":""_string_or_identifier""}}"
r,r-lib/tree-sitter-r,namespace_operator,operator,$.members[1].content.members[1],"{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":"":::""}}"
r,r-lib/tree-sitter-r,namespace_operator,rhs,$.members[1].content.members[2].members[0],"{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_string_or_identifier""}}"
