file,trust_weight,abi_memory_signal,priority_gap_features,priority_score
lib/CodeGen/CGCXXABI.cpp,0.95,85.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,749.256943
lib/CodeGen/CGDecl.cpp,0.95,83.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,731.627368
lib/CodeGen/CodeGenTypes.cpp,0.95,80.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,705.183005
lib/CodeGen/CGCleanup.h,0.95,69.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,608.220342
lib/CodeGen/SwiftCallingConv.cpp,0.95,67.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,590.590767
lib/CodeGen/CGValue.h,0.95,60.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,528.887254
lib/CodeGen/CGVTT.cpp,0.95,60.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,528.887254
lib/CodeGen/CGCXX.cpp,0.95,49.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,431.924591
lib/CodeGen/CGVTables.h,0.95,49.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,431.924591
lib/CodeGen/CGObjCRuntime.h,0.95,45.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,396.665440
lib/CodeGen/CGNonTrivialStruct.cpp,0.95,44.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,387.850653
lib/CodeGen/CGCoroutine.cpp,0.95,42.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,370.221078
lib/CodeGen/CodeGenTypes.h,0.95,41.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,361.406290
lib/CodeGen/CGBuilder.h,0.95,36.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,317.332352
lib/CodeGen/CGCleanup.cpp,0.95,33.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,290.887990
lib/CodeGen/CGStmt.cpp,0.95,33.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,290.887990
lib/CodeGen/ABIInfo.h,0.95,30.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,264.443627
lib/CodeGen/CGDeclCXX.cpp,0.95,30.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,264.443627
lib/CodeGen/CGOpenMPRuntime.h,0.95,30.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,264.443627
lib/CodeGen/TargetInfo.h,0.95,30.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,264.443627
lib/CodeGen/CGOpenCLRuntime.cpp,0.95,28.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,246.814052
lib/CodeGen/EHScopeStack.h,0.95,27.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,237.999264
lib/CodeGen/CGDebugInfo.h,0.95,26.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,229.184477
lib/CodeGen/CGExprComplex.cpp,0.95,26.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,229.184477
lib/CodeGen/CodeGenTBAA.cpp,0.95,23.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,202.740114
lib/CodeGen/CodeGenPGO.cpp,0.95,21.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,185.110539
lib/CodeGen/CGCUDANV.cpp,0.95,20.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,176.295751
lib/CodeGen/CGBlocks.h,0.95,19.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,167.480964
lib/CodeGen/CGRecordLayout.h,0.95,19.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,167.480964
lib/CodeGen/Address.h,0.95,17.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,149.851389
lib/CodeGen/ConstantInitBuilder.cpp,0.95,17.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,149.851389
lib/CodeGen/CoverageMappingGen.cpp,0.95,17.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,149.851389
lib/CodeGen/CMakeLists.txt,0.95,15.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,132.221813
lib/CodeGen/CodeGenTypeCache.h,0.95,12.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,105.777451
lib/CodeGen/CGOpenCLRuntime.h,0.95,11.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,96.962663
lib/CodeGen/ModuleBuilder.cpp,0.95,11.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,96.962663
lib/CodeGen/CGGPUBuiltin.cpp,0.95,9.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,79.333088
lib/CodeGen/CGOpenMPRuntimeNVPTX.h,0.95,8.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,70.518300
lib/CodeGen/ObjectFilePCHContainerOperations.cpp,0.95,8.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,70.518300
lib/CodeGen/CGCall.h,0.95,7.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,61.703513
lib/CodeGen/CodeGenAction.cpp,0.95,7.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,61.703513
lib/CodeGen/CodeGenABITypes.cpp,0.95,6.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,52.888725
lib/CodeGen/CodeGenTBAA.h,0.95,6.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,52.888725
lib/CodeGen/CGCUDARuntime.h,0.95,2.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,17.629575
lib/CodeGen/README.txt,0.95,1.00,cpp_member_pointers;c_flexible_array_member;cpp_object_representation;cpp_inheritance;c_effective_type_aliasing;cpp_new_delete;c_thread_local;cpp_noexcept,8.814788
