ast_node,kind,file,line,mapped_gap_features,mapped_gap_score
TDF_ArgWithReferenceType,enum_variant,lib/Sema/SemaTemplateDeduction.cpp,106,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_reference_binding,5.991108
DeducedTemplateSpecializationType,declaration,include/clang/AST/Type.h,4668,cpp_templates;cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_partial_specialization,5.984405
TemplateSpecializationLocInfo,declaration,include/clang/AST/TypeLoc.h,1544,cpp_templates;cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_partial_specialization,5.984405
TemplateSpecializationTypeLoc,declaration,include/clang/AST/TypeLoc.h,1550,cpp_templates;cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_partial_specialization,5.984405
TemplateSpecializationTypeLoc,enum_variant,include/clang/AST/TypeLoc.h,1552,cpp_templates;cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_partial_specialization,5.984405
TemplateSpecializationType,enum_variant,include/clang/AST/TypeLoc.h,1553,cpp_templates;cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_partial_specialization,5.984405
DeducedTemplateSpecializationTypeLoc,declaration,include/clang/AST/TypeLoc.h,1913,cpp_templates;cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_partial_specialization,5.984405
DeducedTemplateSpecializationTypeLoc,enum_variant,include/clang/AST/TypeLoc.h,1915,cpp_templates;cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_partial_specialization,5.984405
DependentTemplateSpecializationLocInfo,declaration,include/clang/AST/TypeLoc.h,2042,cpp_templates;cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_partial_specialization,5.984405
DependentTemplateSpecializationTypeLoc,declaration,include/clang/AST/TypeLoc.h,2049,cpp_templates;cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_partial_specialization,5.984405
DependentTemplateSpecializationTypeLoc,enum_variant,include/clang/AST/TypeLoc.h,2051,cpp_templates;cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_partial_specialization,5.984405
DependentTemplateSpecializationType,enum_variant,include/clang/AST/TypeLoc.h,2052,cpp_templates;cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_partial_specialization,5.984405
TDF_TopLevelParameterTypeList,enum_variant,lib/Sema/SemaTemplateDeduction.cpp,92,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_parameter_packs,5.968034
IsPartialSpecialization,declaration,lib/Sema/SemaTemplateDeduction.cpp,2703,cpp_template_deduction;cpp_partial_specialization;cpp_temp_materialization,5.958687
IsPartialSpecialization,declaration,lib/Sema/SemaTemplateDeduction.cpp,2707,cpp_template_deduction;cpp_partial_specialization;cpp_temp_materialization,5.958687
ICK_Array_To_Pointer,enum_variant,include/clang/Sema/Overload.h,87,cpp_overload_resolution;c_flexible_array_member;cpp_operator_overload;c_pointer_arithmetic;c_array_decay,5.952615
has_same_member_pointer_type,declaration,include/clang/AST/RecursiveASTVisitor.h,322,cpp_member_pointers;c_flexible_array_member;c_effective_type_aliasing;c_pointer_arithmetic;c_union_active_member,5.902807
has_same_member_pointer_type,declaration,include/clang/AST/RecursiveASTVisitor.h,324,cpp_member_pointers;c_flexible_array_member;c_effective_type_aliasing;c_pointer_arithmetic;c_union_active_member,5.902807
STK_MemberPointer,enum_variant,include/clang/AST/Type.h,2043,cpp_member_pointers;c_flexible_array_member;c_effective_type_aliasing;c_pointer_arithmetic;c_union_active_member,5.902807
MemberPointerType,declaration,include/clang/AST/Type.h,2730,cpp_member_pointers;c_flexible_array_member;c_effective_type_aliasing;c_pointer_arithmetic;c_union_active_member,5.902807
MemberPointerLocInfo,declaration,include/clang/AST/TypeLoc.h,1227,cpp_member_pointers;c_flexible_array_member;c_effective_type_aliasing;c_pointer_arithmetic;c_union_active_member,5.902807
MemberPointerTypeLoc,declaration,include/clang/AST/TypeLoc.h,1232,cpp_member_pointers;c_flexible_array_member;c_effective_type_aliasing;c_pointer_arithmetic;c_union_active_member,5.902807
MemberPointerType,enum_variant,include/clang/AST/TypeLoc.h,1233,cpp_member_pointers;c_flexible_array_member;c_effective_type_aliasing;c_pointer_arithmetic;c_union_active_member,5.902807
MemberPointerTypeInfo,declaration,include/clang/Sema/DeclSpec.h,1472,cpp_member_pointers;c_flexible_array_member;c_effective_type_aliasing;c_pointer_arithmetic;c_union_active_member,5.902807
MemberPointerType,declaration,lib/AST/CXXABI.h,26,cpp_member_pointers;c_flexible_array_member;c_effective_type_aliasing;c_pointer_arithmetic;c_union_active_member,5.902807
MemberPointer,enum_variant,lib/Sema/SemaType.cpp,3455,cpp_member_pointers;c_flexible_array_member;c_effective_type_aliasing;c_pointer_arithmetic;c_union_active_member,5.902807
PK_MemberPointer,enum_variant,lib/Sema/SemaType.cpp,6570,cpp_member_pointers;c_flexible_array_member;c_effective_type_aliasing;c_pointer_arithmetic;c_union_active_member,5.902807
PK_MemberFunctionPointer,enum_variant,lib/Sema/SemaType.cpp,6572,cpp_member_pointers;c_flexible_array_member;c_effective_type_aliasing;c_pointer_arithmetic;c_union_active_member,5.902807
PointerLikeTypeTraits,declaration,include/clang/AST/TemplateName.h,528,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;c_pointer_arithmetic;c_pointer_provenance,5.874983
CK_FunctionToPointerDecay,enum_variant,lib/Sema/SemaOverload.cpp,6950,cpp_overload_resolution;cpp_operator_overload;c_pointer_arithmetic;c_array_decay;c_pointer_provenance,5.864923
MemberPointer,enum_variant,include/clang/AST/APValue.h,53,cpp_member_pointers;c_flexible_array_member;c_pointer_arithmetic;c_union_active_member;c_pointer_provenance,5.857130
MemberPointerData,declaration,include/clang/AST/APValue.h,160,cpp_member_pointers;c_flexible_array_member;c_pointer_arithmetic;c_union_active_member;c_pointer_provenance,5.857130
MemberPointerBase,declaration,lib/AST/APValue.cpp,112,cpp_member_pointers;c_flexible_array_member;c_pointer_arithmetic;c_union_active_member;c_pointer_provenance,5.857130
MemberPointerInfo,declaration,lib/AST/CXXABI.h,34,cpp_member_pointers;c_flexible_array_member;c_pointer_arithmetic;c_union_active_member;c_pointer_provenance,5.857130
MemberPointerExprEvaluator,declaration,lib/AST/ExprConstant.cpp,6317,cpp_member_pointers;c_flexible_array_member;c_pointer_arithmetic;c_union_active_member;c_pointer_provenance,5.857130
PointerToDataMember,enum_variant,lib/AST/ExprConstant.cpp,7551,cpp_member_pointers;c_flexible_array_member;c_pointer_arithmetic;c_union_active_member;c_pointer_provenance,5.857130
LookupMemberName,enum_variant,include/clang/Sema/Sema.h,3032,cpp_name_lookup;cpp_member_pointers;c_flexible_array_member;c_union_active_member,5.770538
UnnamedLocalNoLinkageFinder,declaration,lib/Sema/SemaTemplate.cpp,5264,cpp_template_deduction;cpp_temp_materialization;cpp_name_lookup;c_linkage;c_thread_local,5.671382
TemplateSpecCandidate,declaration,include/clang/Sema/TemplateDeduction.h,277,cpp_template_deduction;cpp_templates;cpp_temp_materialization,4.904129
TemplateSpecCandidateSet,declaration,include/clang/Sema/TemplateDeduction.h,303,cpp_template_deduction;cpp_templates;cpp_temp_materialization,4.904129
ExtractTypeForDeductionGuide,declaration,lib/Sema/SemaTemplate.cpp,1666,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing,4.837845
TDF_AllowCompatibleFunctionType,enum_variant,lib/Sema/SemaTemplateDeduction.cpp,101,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing,4.837845
DeducedType,enum_variant,lib/Sema/SemaTemplateDeduction.cpp,1403,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing,4.837845
PointeeType,enum_variant,lib/Sema/SemaTemplateDeduction.cpp,1550,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing,4.837845
ParamPointeeType,enum_variant,lib/Sema/SemaTemplateDeduction.cpp,1876,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing,4.837845
ArgPointeeType,enum_variant,lib/Sema/SemaTemplateDeduction.cpp,1877,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing,4.837845
ParamTypes,enum_variant,lib/Sema/SemaTemplateDeduction.cpp,3836,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing,4.837845
SubstituteDeducedTypeTransform,declaration,lib/Sema/SemaTemplateDeduction.cpp,4285,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing,4.837845
ConvertConstructorToDeductionGuideTransform,declaration,lib/Sema/SemaTemplate.cpp,1683,cpp_template_deduction;cpp_temp_materialization;cpp_ctor_initialization_order,4.820194
ClassTemplateSpecializationDecl,declaration,include/clang/AST/ASTMutationListener.h,19,cpp_templates;cpp_template_deduction;cpp_temp_materialization;cpp_partial_specialization,4.816961
VarTemplateSpecializationDecl,declaration,include/clang/AST/ASTMutationListener.h,42,cpp_templates;cpp_template_deduction;cpp_temp_materialization;cpp_partial_specialization,4.816961
TemplateSpecialization,enum_variant,include/clang/AST/Comment.h,1054,cpp_templates;cpp_template_deduction;cpp_temp_materialization;cpp_partial_specialization,4.816961
DependentFunctionTemplateSpecializationInfo,declaration,include/clang/AST/Decl.h,57,cpp_templates;cpp_template_deduction;cpp_temp_materialization;cpp_partial_specialization,4.816961
FunctionTemplateSpecializationInfo,declaration,include/clang/AST/Decl.h,61,cpp_templates;cpp_template_deduction;cpp_temp_materialization;cpp_partial_specialization,4.816961
TK_FunctionTemplateSpecialization,enum_variant,include/clang/AST/Decl.h,1728,cpp_templates;cpp_template_deduction;cpp_temp_materialization;cpp_partial_specialization,4.816961
FunctionTemplateSpecializationInfo,declaration,include/clang/AST/DeclTemplate.h,508,cpp_templates;cpp_template_deduction;cpp_temp_materialization;cpp_partial_specialization,4.816961
DependentFunctionTemplateSpecializationInfo,declaration,include/clang/AST/DeclTemplate.h,672,cpp_templates;cpp_template_deduction;cpp_temp_materialization;cpp_partial_specialization,4.816961
ClassTemplateSpecializationDecl,declaration,include/clang/AST/DeclTemplate.h,1644,cpp_templates;cpp_template_deduction;cpp_temp_materialization;cpp_partial_specialization,4.816961
VarTemplateSpecializationDecl,declaration,include/clang/AST/DeclTemplate.h,2471,cpp_templates;cpp_template_deduction;cpp_temp_materialization;cpp_partial_specialization,4.816961
ClassTemplateSpecializationDecl,declaration,include/clang/Sema/Sema.h,100,cpp_templates;cpp_template_deduction;cpp_temp_materialization;cpp_partial_specialization,4.816961
VarTemplateSpecializationDecl,declaration,include/clang/Sema/Sema.h,195,cpp_templates;cpp_template_deduction;cpp_temp_materialization;cpp_partial_specialization,4.816961
IDNS_NonMemberOperator,enum_variant,include/clang/AST/DeclBase.h,168,cpp_member_pointers;c_flexible_array_member;cpp_operator_overload;c_union_active_member,4.793644
HasArithmeticOrEnumeralCandidateType,enum_variant,lib/Sema/SemaOverload.cpp,8724,cpp_overload_resolution;cpp_operator_overload;c_effective_type_aliasing;c_pointer_arithmetic,4.782193
TypeDiagnoserPartialDiag,declaration,lib/Sema/SemaOverload.cpp,5725,cpp_overload_resolution;cpp_operator_overload;c_effective_type_aliasing;cpp_partial_specialization,4.779653
MemberContext,enum_variant,lib/Sema/MultiplexExternalSemaSource.cpp,324,cpp_member_pointers;c_flexible_array_member;cpp_multiple_inheritance_layout;c_union_active_member,4.775347
FK_ReferenceInitOverloadFailed,enum_variant,include/clang/Sema/Initialization.h,996,cpp_overload_resolution;cpp_operator_overload;cpp_reference_binding;cpp_ctor_initialization_order,4.771122
FK_ConstructorOverloadFailed,enum_variant,include/clang/Sema/Initialization.h,1043,cpp_ctor_initialization_order;cpp_overload_resolution;cpp_operator_overload,4.767652
FK_ListConstructorOverloadFailed,enum_variant,include/clang/Sema/Initialization.h,1046,cpp_ctor_initialization_order;cpp_overload_resolution;cpp_operator_overload,4.767652
OverloadedOperatorKind,declaration,include/clang/AST/DeclarationName.h,42,cpp_operator_overload;cpp_overload_resolution;cpp_name_lookup,4.763959
SubstTemplateTypeParmPackTypeBitfields,declaration,include/clang/AST/Type.h,1623,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;c_bitfields,4.762586
UPPC_DataMemberType,enum_variant,include/clang/Sema/Sema.h,6557,cpp_member_pointers;c_flexible_array_member;c_effective_type_aliasing;c_union_active_member,4.756124
MemberOfType,enum_variant,lib/Sema/SemaExprCXX.cpp,303,cpp_member_pointers;c_flexible_array_member;c_effective_type_aliasing;c_union_active_member,4.756124
MemberOfType,enum_variant,lib/Sema/SemaExprCXX.cpp,324,cpp_member_pointers;c_flexible_array_member;c_effective_type_aliasing;c_union_active_member,4.756124
MemberOfType,enum_variant,lib/Sema/SemaExprCXX.cpp,337,cpp_member_pointers;c_flexible_array_member;c_effective_type_aliasing;c_union_active_member,4.756124
NoMemberOrDeleted,enum_variant,include/clang/Sema/Sema.h,1047,cpp_member_pointers;c_flexible_array_member;cpp_new_delete;c_union_active_member,4.747872
CCC_DotMemberAccess,enum_variant,include/clang/Sema/CodeCompleteConsumer.h,234,cpp_member_pointers;c_flexible_array_member;cpp_access_friend;c_union_active_member,4.739028
CCC_ArrowMemberAccess,enum_variant,include/clang/Sema/CodeCompleteConsumer.h,242,cpp_member_pointers;c_flexible_array_member;cpp_access_friend;c_union_active_member,4.739028
ActOnMemberAccessExtraArgs,declaration,include/clang/Sema/Sema.h,4295,cpp_member_pointers;c_flexible_array_member;cpp_access_friend;c_union_active_member,4.739028
MemberExpr,declaration,include/clang/AST/StmtDataCollectors.td,73,cpp_member_pointers;c_flexible_array_member;cpp_ctor_initialization_order;c_union_active_member,4.738473
EK_Member,enum_variant,include/clang/Sema/Initialization.h,71,cpp_member_pointers;c_flexible_array_member;cpp_ctor_initialization_order;c_union_active_member,4.738473
UPPC_NonTypeTemplateParameterType,enum_variant,include/clang/Sema/Sema.h,6587,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_parameter_packs,4.736723
ICK_Function_To_Pointer,enum_variant,include/clang/Sema/Overload.h,90,cpp_overload_resolution;cpp_operator_overload;c_pointer_arithmetic;c_pointer_provenance,4.736516
ICK_Pointer_Conversion,enum_variant,include/clang/Sema/Overload.h,120,cpp_overload_resolution;cpp_operator_overload;c_pointer_arithmetic;c_pointer_provenance,4.736516
ICK_Block_Pointer_Conversion,enum_variant,include/clang/Sema/Overload.h,144,cpp_overload_resolution;cpp_operator_overload;c_pointer_arithmetic;c_pointer_provenance,4.736516
ICK_Incompatible_Pointer_Conversion,enum_variant,include/clang/Sema/Overload.h,162,cpp_overload_resolution;cpp_operator_overload;c_pointer_arithmetic;c_pointer_provenance,4.736516
TDF_IgnoreQualifiers,enum_variant,lib/Sema/SemaTemplateDeduction.cpp,78,cpp_template_deduction;cpp_temp_materialization;c_qualifiers,4.736351
TemplatePartialOrderingContext,declaration,include/clang/Sema/Sema.h,178,cpp_template_deduction;cpp_temp_materialization;cpp_ctor_initialization_order;cpp_partial_specialization,4.733026
TemplatePartialOrderingContext,declaration,include/clang/Sema/Template.h,179,cpp_template_deduction;cpp_temp_materialization;cpp_ctor_initialization_order;cpp_partial_specialization,4.733026
MemberSpecializationInfo,declaration,include/clang/AST/ASTContext.h,102,cpp_member_pointers;c_flexible_array_member;cpp_partial_specialization;c_union_active_member,4.732823
MemberSpecializationInfo,declaration,include/clang/AST/Decl.h,63,cpp_member_pointers;c_flexible_array_member;cpp_partial_specialization;c_union_active_member,4.732823
TK_MemberSpecialization,enum_variant,include/clang/AST/Decl.h,1727,cpp_member_pointers;c_flexible_array_member;cpp_partial_specialization;c_union_active_member,4.732823
MemberSpecializationInfo,declaration,include/clang/AST/DeclCXX.h,71,cpp_member_pointers;c_flexible_array_member;cpp_partial_specialization;c_union_active_member,4.732823
ClassTemplatePartialSpecializationDecl,declaration,include/clang/AST/DeclTemplate.h,47,cpp_partial_specialization;cpp_template_deduction;cpp_temp_materialization,4.727376
VarTemplatePartialSpecializationDecl,declaration,include/clang/AST/DeclTemplate.h,57,cpp_partial_specialization;cpp_template_deduction;cpp_temp_materialization,4.727376
SpecializedPartialSpecialization,declaration,include/clang/AST/DeclTemplate.h,1649,cpp_partial_specialization;cpp_template_deduction;cpp_temp_materialization,4.727376
ClassTemplatePartialSpecializationDecl,declaration,include/clang/AST/DeclTemplate.h,1894,cpp_partial_specialization;cpp_template_deduction;cpp_temp_materialization,4.727376
SpecializedPartialSpecialization,declaration,include/clang/AST/DeclTemplate.h,2477,cpp_partial_specialization;cpp_template_deduction;cpp_temp_materialization,4.727376
VarTemplatePartialSpecializationDecl,declaration,include/clang/AST/DeclTemplate.h,2727,cpp_partial_specialization;cpp_template_deduction;cpp_temp_materialization,4.727376
ClassTemplatePartialSpecializationDecl,declaration,include/clang/Sema/Sema.h,99,cpp_partial_specialization;cpp_template_deduction;cpp_temp_materialization,4.727376
VarTemplatePartialSpecializationDecl,declaration,include/clang/Sema/Sema.h,101,cpp_partial_specialization;cpp_template_deduction;cpp_temp_materialization,4.727376
ClassTemplatePartialSpecialization,enum_variant,lib/AST/DeclTemplate.cpp,807,cpp_partial_specialization;cpp_template_deduction;cpp_temp_materialization,4.727376
NullPointerValueKind,declaration,lib/Sema/SemaTemplate.cpp,5552,cpp_template_deduction;cpp_temp_materialization;c_pointer_arithmetic;c_pointer_provenance,4.707540
NPV_NotNullPointer,enum_variant,lib/Sema/SemaTemplate.cpp,5553,cpp_template_deduction;cpp_temp_materialization;c_pointer_arithmetic;c_pointer_provenance,4.707540
NPV_NullPointer,enum_variant,lib/Sema/SemaTemplate.cpp,5554,cpp_template_deduction;cpp_temp_materialization;c_pointer_arithmetic;c_pointer_provenance,4.707540
CollectUnexpandedParameterPacksVisitor,declaration,lib/Sema/SemaTemplateVariadic.cpp,31,cpp_parameter_packs;cpp_template_deduction;cpp_temp_materialization,4.699469
NKI_TemplateName,enum_variant,include/clang/AST/ASTTypeTraits.h,124,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_name_lookup,4.697463
TypeSpecWithTemplate,enum_variant,include/clang/AST/NestedNameSpecifier.h,93,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_name_lookup,4.697463
TemplateNameLocInfo,declaration,include/clang/AST/TypeLoc.h,1540,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_name_lookup,4.697463
TypedefNameDecl,declaration,include/clang/Sema/Template.h,42,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_name_lookup,4.697463
MemberExprNameQualifier,declaration,include/clang/AST/Expr.h,2455,cpp_member_pointers;c_flexible_array_member;c_union_active_member;cpp_name_lookup,4.679609
MemberLookup,enum_variant,lib/Sema/SemaDeclCXX.cpp,4381,cpp_member_pointers;c_flexible_array_member;c_union_active_member;cpp_name_lookup,4.679609
MemberNameInfo,enum_variant,lib/Sema/TreeTransform.h,2896,cpp_member_pointers;c_flexible_array_member;c_union_active_member;cpp_name_lookup,4.679609
MemberNameInfo,enum_variant,lib/Sema/TreeTransform.h,9364,cpp_member_pointers;c_flexible_array_member;c_union_active_member;cpp_name_lookup,4.679609
CAMN_InnerPointers,enum_variant,lib/Sema/SemaType.cpp,4019,cpp_member_pointers;c_effective_type_aliasing;c_pointer_arithmetic;c_pointer_provenance,4.673519
FK_NonConstLValueReferenceBindingToTemporary,enum_variant,include/clang/Sema/Initialization.h,999,cpp_reference_binding;cpp_temp_materialization;cpp_ctor_initialization_order,4.664099
ArrayTypeBitfields,declaration,include/clang/AST/Type.h,1481,c_flexible_array_member;c_effective_type_aliasing;c_bitfields;c_array_decay,4.661361
SubstTemplateTemplateParmPackStorage,declaration,include/clang/AST/TemplateName.h,36,cpp_template_deduction;cpp_temp_materialization;cpp_parameter_packs;cpp_name_lookup,4.660208
SubstTemplateTemplateParmPackStorage,declaration,include/clang/AST/TemplateName.h,121,cpp_template_deduction;cpp_temp_materialization;cpp_parameter_packs;cpp_name_lookup,4.660208
ArrayTypeTraitExpr,declaration,include/clang/AST/StmtDataCollectors.td,18,c_flexible_array_member;c_effective_type_aliasing;cpp_ctor_initialization_order;c_array_decay,4.655103
FK_ArrayTypeMismatch,enum_variant,include/clang/Sema/Initialization.h,987,c_flexible_array_member;c_effective_type_aliasing;cpp_ctor_initialization_order;c_array_decay,4.655103
STK_ObjCObjectPointer,enum_variant,include/clang/AST/Type.h,2042,cpp_object_representation;c_effective_type_aliasing;c_pointer_arithmetic;c_pointer_provenance,4.645321
ObjCObjectPointerType,declaration,include/clang/AST/Type.h,5675,cpp_object_representation;c_effective_type_aliasing;c_pointer_arithmetic;c_pointer_provenance,4.645321
ObjCObjectPointerTypeLoc,declaration,include/clang/AST/TypeLoc.h,1270,cpp_object_representation;c_effective_type_aliasing;c_pointer_arithmetic;c_pointer_provenance,4.645321
OnStackType,declaration,include/clang/AST/DeclTemplate.h,231,cpp_template_deduction;cpp_temp_materialization;c_effective_type_aliasing;cpp_stack_unwind,4.628817
FK_NonConstLValueReferenceBindingToVectorElement,enum_variant,include/clang/Sema/Initialization.h,1005,cpp_reference_binding;cpp_ctor_initialization_order,4.606113
FK_NarrowStringIntoWideCharArray,enum_variant,include/clang/Sema/Initialization.h,971,c_flexible_array_member;cpp_ctor_initialization_order;c_array_decay;c_char_signedness,4.509002
FK_WideStringIntoCharArray,enum_variant,include/clang/Sema/Initialization.h,974,c_flexible_array_member;cpp_ctor_initialization_order;c_array_decay;c_char_signedness,4.509002
LocalTypedefNameReferencer,declaration,lib/Sema/SemaStmt.cpp,3322,c_effective_type_aliasing;cpp_reference_binding;cpp_name_lookup;c_thread_local,4.481534
LookupLocalFriendName,enum_variant,include/clang/Sema/Sema.h,3056,cpp_name_lookup;cpp_access_friend;c_thread_local,4.402104
InOverloadResolution,enum_variant,lib/Sema/SemaOverload.cpp,1824,cpp_overload_resolution;cpp_operator_overload,3.731168
InOverloadResolution,enum_variant,lib/Sema/SemaOverload.cpp,4773,cpp_overload_resolution;cpp_operator_overload,3.731168
InOverloadResolution,enum_variant,lib/Sema/SemaOverload.cpp,4818,cpp_overload_resolution;cpp_operator_overload,3.731168
InOverloadResolution,enum_variant,lib/Sema/SemaOverload.cpp,4936,cpp_overload_resolution;cpp_operator_overload,3.731168
InOverloadResolution,enum_variant,lib/Sema/SemaOverload.cpp,4971,cpp_overload_resolution;cpp_operator_overload,3.731168
InOverloadResolution,enum_variant,lib/Sema/SemaOverload.cpp,5014,cpp_overload_resolution;cpp_operator_overload,3.731168
CSK_Operator,enum_variant,include/clang/Sema/Overload.h,841,cpp_operator_overload;cpp_overload_resolution,3.673030
BuiltinOperatorOverloadBuilder,declaration,lib/Sema/SemaOverload.cpp,7663,cpp_operator_overload;cpp_overload_resolution,3.673030
templates,declaration,include/clang/AST/RecursiveASTVisitor.h,1719,cpp_templates;cpp_template_deduction;cpp_temp_materialization,3.672818
TemplateSpecCandidateSet,declaration,include/clang/Sema/Sema.h,200,cpp_templates;cpp_template_deduction;cpp_temp_materialization,3.672818
FuncTemplates,enum_variant,lib/Sema/SemaDecl.cpp,9420,cpp_templates;cpp_template_deduction;cpp_temp_materialization,3.672818
TemplateDeductionInfo,declaration,include/clang/Sema/Sema.h,215,cpp_template_deduction;cpp_temp_materialization,3.670401
TemplateDeductionResult,declaration,include/clang/Sema/Sema.h,6896,cpp_template_deduction;cpp_temp_materialization,3.670401
Decl,declaration,include/clang/Sema/TemplateDeduction.h,31,cpp_template_deduction;cpp_temp_materialization,3.670401
DeducedPack,declaration,include/clang/Sema/TemplateDeduction.h,32,cpp_template_deduction;cpp_temp_materialization,3.670401
Sema,declaration,include/clang/Sema/TemplateDeduction.h,33,cpp_template_deduction;cpp_temp_materialization,3.670401
TemplateDeductionInfo,declaration,include/clang/Sema/TemplateDeduction.h,40,cpp_template_deduction;cpp_temp_materialization,3.670401
DeductionFailureInfo,declaration,include/clang/Sema/TemplateDeduction.h,228,cpp_template_deduction;cpp_temp_materialization,3.670401
TemplateDeductionFlags,declaration,lib/Sema/SemaTemplateDeduction.cpp,65,cpp_template_deduction;cpp_temp_materialization,3.670401
TDF_None,enum_variant,lib/Sema/SemaTemplateDeduction.cpp,69,cpp_template_deduction;cpp_temp_materialization,3.670401
TDF_DerivedClass,enum_variant,lib/Sema/SemaTemplateDeduction.cpp,83,cpp_template_deduction;cpp_temp_materialization,3.670401
TDF_SkipNonDependent,enum_variant,lib/Sema/SemaTemplateDeduction.cpp,88,cpp_template_deduction;cpp_temp_materialization,3.670401
Deduced,enum_variant,lib/Sema/SemaTemplateDeduction.cpp,149,cpp_template_deduction;cpp_temp_materialization,3.670401
XAEnd,enum_variant,lib/Sema/SemaTemplateDeduction.cpp,350,cpp_template_deduction;cpp_temp_materialization,3.670401
