feature,family,description,ast_name_hits,ast_core,sema_core,parser_core,lexer_preprocessor,basic_language_model,codegen_abi,analysis_cfg,serialization,frontend,static_analyzer,conformance_tests,derived_importance
c_thread_local,concurrency_memory,Thread-local storage,845,0,1,0,0,0,1,0,0,0,0,0,0.934637
cpp_value_categories,value_categories,lvalue/xvalue/prvalue/glvalue,481,1,1,0,0,0,0,0,0,0,0,0,0.931136
cpp_reference_binding,ownership_lifetime,Reference binding/lifetime extension,393,1,1,0,0,0,0,0,0,0,0,0,0.924585
cpp_temp_materialization,ownership_lifetime,Temporary materialization,3616,1,1,0,0,0,1,0,0,0,0,0,0.977283
cpp_raii_destructors,ownership_lifetime,RAII/destruction cleanup,125,1,1,0,0,0,1,0,0,0,0,0,0.874462
cpp_ctor_initialization_order,initialization,Base/member initialization order,2246,1,1,0,0,0,1,0,0,0,0,0,0.968096
cpp_copy_move,ownership_lifetime,Copy/move semantics,838,1,1,0,0,0,0,0,0,0,0,0,0.949150
cpp_overload_resolution,overload_templates,Overload candidate/ranking,517,0,1,0,0,0,0,0,0,0,0,0,0.943124
cpp_adl,overload_templates,Argument-dependent lookup,0,0,1,0,0,0,0,0,0,0,0,0,0.740000
cpp_name_lookup,modules_linkage,C++ name lookup,1575,1,1,0,0,0,0,0,0,0,0,0,0.969639
cpp_templates,overload_templates,Template instantiation,284,1,1,0,0,0,0,0,0,0,0,0,0.914059
cpp_partial_specialization,overload_templates,Partial specialization ordering,256,0,1,0,0,0,0,0,0,0,0,0,0.920345
cpp_sfinae,overload_templates,SFINAE substitution failure,24,0,1,0,0,0,0,0,0,0,0,0,0.844613
cpp_concepts_constraints,overload_templates,Concept constraints/normalization,33,1,1,0,0,0,0,0,0,0,0,0,0.844960
cpp_parameter_packs,overload_templates,Parameter packs/expansion,101,1,1,0,0,0,0,0,0,0,0,0,0.880665
cpp_fold_expressions,overload_templates,Fold expressions,90,1,1,1,0,0,0,0,0,0,0,0,0.842736
cpp_template_deduction,overload_templates,Template argument deduction/CTAD,2710,0,1,0,0,0,0,0,0,0,0,0,0.996915
cpp_auto_decltype,numeric_types,auto/decltype deduction,185,1,1,0,0,0,0,0,0,0,0,0,0.900190
cpp_structured_bindings,patterns_bindings,Structured bindings,116,1,1,0,0,0,0,0,0,0,0,0,0.885124
cpp_lambdas_capture,patterns_bindings,Lambda capture/closure objects,198,1,1,0,0,0,1,0,0,0,0,0,0.889315
cpp_inheritance,object_model,Multiple/virtual inheritance,498,1,1,0,0,0,1,0,0,0,0,0,0.919192
cpp_virtual_dispatch,object_model,Virtual dispatch/vtables,1008,1,1,0,0,0,1,0,0,0,0,0,0.942076
cpp_rtti,object_model,RTTI/typeid/dynamic_cast,89,0,1,0,0,0,1,0,0,0,0,0,0.861814
cpp_member_pointers,object_model,Pointer-to-member representation,1233,0,1,0,0,0,1,0,0,0,0,0,0.946906
cpp_access_friend,object_model,Access control/friend,803,1,1,0,0,0,0,0,0,0,0,0,0.947765
cpp_operator_overload,overload_templates,Operator overload resolution,687,0,1,0,0,0,0,0,0,0,0,0,0.952348
cpp_exceptions,exceptions,Throw/catch matching,99,0,1,0,0,0,1,1,0,0,0,0,0.821796
cpp_stack_unwind,exceptions,Unwind/destructor cleanup,135,0,1,0,0,0,1,1,0,0,0,0,0.831790
cpp_noexcept,exceptions,noexcept/termination,90,0,1,0,0,0,1,0,0,0,0,0,0.862174
cpp_constexpr,compiletime,constexpr evaluation,171,1,1,0,0,0,0,0,0,0,0,0,0.897647
cpp_consteval_constinit,compiletime,consteval/constinit guarantees,1,1,1,0,0,0,0,0,0,0,0,0,0.752880
cpp_coroutine_lowering,coroutines,Coroutine suspend/resume/frame,275,1,1,0,0,0,1,0,0,0,0,0,0.899946
cpp_co_await,coroutines,co_await awaiter protocol,74,1,1,0,0,0,0,0,0,0,0,0,0.870672
cpp_co_yield,coroutines,co_yield promise interaction,8,1,1,0,0,0,0,0,0,0,0,0,0.801763
cpp_modules,modules_linkage,C++ modules/import/export,1078,0,1,1,0,0,0,0,0,1,0,0,0.862875
cpp_odr,modules_linkage,One Definition Rule,0,0,1,0,0,1,0,0,0,0,0,0,0.691176
cpp_static_initialization,initialization,Static/dynamic initialization order,0,0,1,0,0,0,1,0,0,0,0,0,0.715571
cpp_new_delete,pointer_memory,new/delete lifetime,369,1,1,0,0,0,1,0,0,0,0,0,0.909471
cpp_placement_new,pointer_memory,Placement-new lifetime restart,29,0,1,0,0,0,1,0,0,0,0,0,0.826109
cpp_object_representation,layout_abi,Padding/triviality/object representation,573,1,1,0,0,0,1,0,0,0,0,0,0.923743
cpp_abi_mangling,layout_abi,Name mangling/ABI identity,15,0,0,0,0,1,1,0,0,0,0,0,0.756856
cpp_multiple_inheritance_layout,layout_abi,Multiple inheritance layout,1702,1,0,0,0,0,1,0,0,0,0,0,0.947729
cpp_preprocessor_macro,preprocessor,Macro expansion/rescanning,366,0,0,1,1,0,0,0,0,0,0,0,0.809349
cpp_preprocessor_conditional,preprocessor,Conditional compilation,215,0,0,0,1,0,0,0,0,1,0,0,0.748282
cpp_include_model,preprocessor,Header include/search model,8436,0,0,0,1,0,0,0,0,1,0,0,0.833585
cpp_attributes_pragmas,preprocessor,Attributes/pragmas with semantic/ABI effects,89,0,1,1,0,1,0,0,0,0,0,0,0.816259
cpp_ub_model,undefined_behavior,C++ undefined-behavior contract,0,0,1,0,0,0,1,1,0,0,0,0,0.672128
cpp_impl_defined,undefined_behavior,Implementation-defined behavior,608,0,1,0,0,1,0,0,0,0,0,0,0.899560
cpp_unspecified_behavior,undefined_behavior,Unspecified behavior,18,0,1,0,0,0,0,1,0,0,0,0,0.758316
clang_ast_semantic_nodes,compiler_ir,Clang AST taxonomy as frontend evidence,0,1,0,0,0,0,0,0,0,0,0,0,0.720706
clang_sema_constraints,compiler_ir,Sema constraint checking,10847,0,1,0,0,0,0,0,0,0,0,0,1.000000
clang_cfg,compiler_ir,Clang CFG/effect graph,0,0,0,0,0,0,0,1,0,0,0,0,0.585244
clang_codegen_lowering,compiler_ir,AST-to-LLVM lowering evidence,8866,0,0,0,0,0,1,0,0,0,0,0,0.951141
