feature,family,importance,mean_sp_coverage,base_gap,description
cpp_adl,overload_templates,0.740000,0.048000,0.704480,Argument-dependent lookup
cpp_name_lookup,modules_linkage,0.969639,0.140000,0.833890,C++ name lookup
cpp_templates,overload_templates,0.914059,0.056000,0.862872,Template instantiation
cpp_partial_specialization,overload_templates,0.920345,0.048000,0.876168,Partial specialization ordering
cpp_sfinae,overload_templates,0.844613,0.044000,0.807450,SFINAE substitution failure
cpp_concepts_constraints,overload_templates,0.844960,0.048000,0.804402,Concept constraints/normalization
cpp_parameter_packs,overload_templates,0.880665,0.048000,0.838393,Parameter packs/expansion
cpp_fold_expressions,overload_templates,0.842736,0.048000,0.802284,Fold expressions
cpp_template_deduction,overload_templates,0.996915,0.052000,0.945075,Template argument deduction/CTAD
cpp_auto_decltype,numeric_types,0.900190,0.100000,0.810171,auto/decltype deduction
cpp_structured_bindings,patterns_bindings,0.885124,0.070000,0.823165,Structured bindings
cpp_lambdas_capture,patterns_bindings,0.889315,0.170000,0.738131,Lambda capture/closure objects
cpp_inheritance,object_model,0.919192,0.070000,0.854849,Multiple/virtual inheritance
cpp_virtual_dispatch,object_model,0.942076,0.070000,0.876130,Virtual dispatch/vtables
cpp_rtti,object_model,0.861814,0.052000,0.817000,RTTI/typeid/dynamic_cast
cpp_member_pointers,object_model,0.946906,0.048000,0.901455,Pointer-to-member representation
cpp_access_friend,object_model,0.947765,0.056000,0.894690,Access control/friend
cpp_operator_overload,overload_templates,0.952348,0.056000,0.899017,Operator overload resolution
cpp_exceptions,exceptions,0.821796,0.070000,0.764271,Throw/catch matching
cpp_stack_unwind,exceptions,0.831790,0.056000,0.785210,Unwind/destructor cleanup
cpp_noexcept,exceptions,0.862174,0.056000,0.813892,noexcept/termination
cpp_constexpr,compiletime,0.897647,0.070000,0.834811,constexpr evaluation
cpp_consteval_constinit,compiletime,0.752880,0.048000,0.716742,consteval/constinit guarantees
cpp_coroutine_lowering,coroutines,0.899946,0.044000,0.860348,Coroutine suspend/resume/frame
cpp_co_await,coroutines,0.870672,0.044000,0.832362,co_await awaiter protocol
cpp_co_yield,coroutines,0.801763,0.044000,0.766485,co_yield promise interaction
cpp_modules,modules_linkage,0.862875,0.048000,0.821457,C++ modules/import/export
cpp_odr,modules_linkage,0.691176,0.048000,0.658000,One Definition Rule
cpp_static_initialization,initialization,0.715571,0.052000,0.678361,Static/dynamic initialization order
cpp_new_delete,pointer_memory,0.909471,0.100000,0.818524,new/delete lifetime
cpp_placement_new,pointer_memory,0.826109,0.048000,0.786456,Placement-new lifetime restart
cpp_object_representation,layout_abi,0.923743,0.056000,0.872013,Padding/triviality/object representation
cpp_abi_mangling,layout_abi,0.756856,0.100000,0.681171,Name mangling/ABI identity
cpp_multiple_inheritance_layout,layout_abi,0.947729,0.048000,0.902238,Multiple inheritance layout
cpp_preprocessor_macro,preprocessor,0.809349,0.044000,0.773737,Macro expansion/rescanning
cpp_preprocessor_conditional,preprocessor,0.748282,0.044000,0.715357,Conditional compilation
cpp_include_model,preprocessor,0.833585,0.044000,0.796908,Header include/search model
cpp_attributes_pragmas,preprocessor,0.816259,0.140000,0.701983,Attributes/pragmas with semantic/ABI effects
cpp_ub_model,undefined_behavior,0.672128,0.052000,0.637178,C++ undefined-behavior contract
cpp_impl_defined,undefined_behavior,0.899560,0.048000,0.856382,Implementation-defined behavior
cpp_unspecified_behavior,undefined_behavior,0.758316,0.048000,0.721917,Unspecified behavior
clang_ast_semantic_nodes,compiler_ir,0.720706,0.370000,0.454045,Clang AST taxonomy as frontend evidence
clang_sema_constraints,compiler_ir,1.000000,0.220000,0.780000,Sema constraint checking
clang_cfg,compiler_ir,0.585244,0.370000,0.368704,Clang CFG/effect graph
clang_codegen_lowering,compiler_ir,0.951141,0.370000,0.599219,AST-to-LLVM lowering evidence
