language,repository,node_type,required,multiple,child_type,child_named
go,tree-sitter/tree-sitter-go,literal_element,True,False,_expression,True
go,tree-sitter/tree-sitter-go,literal_element,True,False,literal_value,True
go,tree-sitter/tree-sitter-go,literal_value,False,True,keyed_element,True
go,tree-sitter/tree-sitter-go,literal_value,False,True,literal_element,True
go,tree-sitter/tree-sitter-go,negated_type,True,False,_type,True
go,tree-sitter/tree-sitter-go,package_clause,True,False,package_identifier,True
go,tree-sitter/tree-sitter-go,parameter_list,False,True,parameter_declaration,True
go,tree-sitter/tree-sitter-go,parameter_list,False,True,variadic_parameter_declaration,True
go,tree-sitter/tree-sitter-go,parenthesized_expression,True,False,_expression,True
go,tree-sitter/tree-sitter-go,parenthesized_type,True,False,_type,True
go,tree-sitter/tree-sitter-go,pointer_type,True,False,_type,True
go,tree-sitter/tree-sitter-go,raw_string_literal,True,False,raw_string_literal_content,True
go,tree-sitter/tree-sitter-go,return_statement,False,False,expression_list,True
go,tree-sitter/tree-sitter-go,select_statement,False,True,communication_case,True
go,tree-sitter/tree-sitter-go,select_statement,False,True,default_case,True
go,tree-sitter/tree-sitter-go,source_file,False,True,_statement,True
go,tree-sitter/tree-sitter-go,source_file,False,True,function_declaration,True
go,tree-sitter/tree-sitter-go,source_file,False,True,import_declaration,True
go,tree-sitter/tree-sitter-go,source_file,False,True,method_declaration,True
go,tree-sitter/tree-sitter-go,source_file,False,True,package_clause,True
go,tree-sitter/tree-sitter-go,statement_list,True,True,_statement,True
go,tree-sitter/tree-sitter-go,struct_type,True,False,field_declaration_list,True
go,tree-sitter/tree-sitter-go,type_arguments,True,True,type_elem,True
go,tree-sitter/tree-sitter-go,type_case,False,False,statement_list,True
go,tree-sitter/tree-sitter-go,type_constraint,True,True,_type,True
go,tree-sitter/tree-sitter-go,type_declaration,False,True,type_alias,True
go,tree-sitter/tree-sitter-go,type_declaration,False,True,type_spec,True
go,tree-sitter/tree-sitter-go,type_elem,True,True,_type,True
go,tree-sitter/tree-sitter-go,type_instantiation_expression,True,True,_type,True
go,tree-sitter/tree-sitter-go,type_parameter_list,True,True,type_parameter_declaration,True
go,tree-sitter/tree-sitter-go,type_switch_statement,False,True,default_case,True
go,tree-sitter/tree-sitter-go,type_switch_statement,False,True,type_case,True
go,tree-sitter/tree-sitter-go,var_declaration,True,False,var_spec,True
go,tree-sitter/tree-sitter-go,var_declaration,True,False,var_spec_list,True
go,tree-sitter/tree-sitter-go,var_spec_list,False,True,var_spec,True
go,tree-sitter/tree-sitter-go,variadic_argument,True,False,_expression,True
rust,tree-sitter/tree-sitter-rust,abstract_type,False,False,type_parameters,True
rust,tree-sitter/tree-sitter-rust,arguments,False,True,_expression,True
rust,tree-sitter/tree-sitter-rust,arguments,False,True,attribute_item,True
rust,tree-sitter/tree-sitter-rust,array_expression,False,True,_expression,True
rust,tree-sitter/tree-sitter-rust,array_expression,False,True,attribute_item,True
rust,tree-sitter/tree-sitter-rust,associated_type,False,False,where_clause,True
rust,tree-sitter/tree-sitter-rust,async_block,True,False,block,True
rust,tree-sitter/tree-sitter-rust,attribute,True,False,crate,True
rust,tree-sitter/tree-sitter-rust,attribute,True,False,identifier,True
rust,tree-sitter/tree-sitter-rust,attribute,True,False,metavariable,True
rust,tree-sitter/tree-sitter-rust,attribute,True,False,scoped_identifier,True
rust,tree-sitter/tree-sitter-rust,attribute,True,False,self,True
rust,tree-sitter/tree-sitter-rust,attribute,True,False,super,True
rust,tree-sitter/tree-sitter-rust,attribute_item,True,False,attribute,True
rust,tree-sitter/tree-sitter-rust,await_expression,True,False,_expression,True
rust,tree-sitter/tree-sitter-rust,base_field_initializer,True,False,_expression,True
rust,tree-sitter/tree-sitter-rust,block,False,True,_declaration_statement,True
rust,tree-sitter/tree-sitter-rust,block,False,True,_expression,True
rust,tree-sitter/tree-sitter-rust,block,False,True,expression_statement,True
rust,tree-sitter/tree-sitter-rust,block,False,True,label,True
rust,tree-sitter/tree-sitter-rust,bounded_type,True,True,_type,True
rust,tree-sitter/tree-sitter-rust,bounded_type,True,True,lifetime,True
rust,tree-sitter/tree-sitter-rust,bounded_type,True,True,use_bounds,True
rust,tree-sitter/tree-sitter-rust,bracketed_type,True,False,_type,True
rust,tree-sitter/tree-sitter-rust,bracketed_type,True,False,qualified_type,True
rust,tree-sitter/tree-sitter-rust,break_expression,False,True,_expression,True
rust,tree-sitter/tree-sitter-rust,break_expression,False,True,label,True
rust,tree-sitter/tree-sitter-rust,captured_pattern,True,True,_pattern,True
rust,tree-sitter/tree-sitter-rust,closure_parameters,False,True,_pattern,True
rust,tree-sitter/tree-sitter-rust,closure_parameters,False,True,parameter,True
rust,tree-sitter/tree-sitter-rust,const_item,False,False,visibility_modifier,True
rust,tree-sitter/tree-sitter-rust,continue_expression,False,False,label,True
rust,tree-sitter/tree-sitter-rust,declaration_list,False,True,_declaration_statement,True
rust,tree-sitter/tree-sitter-rust,else_clause,True,False,block,True
rust,tree-sitter/tree-sitter-rust,else_clause,True,False,if_expression,True
rust,tree-sitter/tree-sitter-rust,enum_item,False,True,visibility_modifier,True
rust,tree-sitter/tree-sitter-rust,enum_item,False,True,where_clause,True
rust,tree-sitter/tree-sitter-rust,enum_variant,False,False,visibility_modifier,True
rust,tree-sitter/tree-sitter-rust,enum_variant_list,False,True,attribute_item,True
rust,tree-sitter/tree-sitter-rust,enum_variant_list,False,True,enum_variant,True
rust,tree-sitter/tree-sitter-rust,expression_statement,True,False,_expression,True
rust,tree-sitter/tree-sitter-rust,extern_crate_declaration,True,True,crate,True
rust,tree-sitter/tree-sitter-rust,extern_crate_declaration,True,True,visibility_modifier,True
rust,tree-sitter/tree-sitter-rust,extern_modifier,False,False,string_literal,True
rust,tree-sitter/tree-sitter-rust,field_declaration,False,False,visibility_modifier,True
rust,tree-sitter/tree-sitter-rust,field_declaration_list,False,True,attribute_item,True
rust,tree-sitter/tree-sitter-rust,field_declaration_list,False,True,field_declaration,True
rust,tree-sitter/tree-sitter-rust,field_initializer,False,True,attribute_item,True
rust,tree-sitter/tree-sitter-rust,field_initializer_list,False,True,base_field_initializer,True
rust,tree-sitter/tree-sitter-rust,field_initializer_list,False,True,field_initializer,True
rust,tree-sitter/tree-sitter-rust,field_initializer_list,False,True,shorthand_field_initializer,True
rust,tree-sitter/tree-sitter-rust,field_pattern,False,False,mutable_specifier,True
rust,tree-sitter/tree-sitter-rust,for_expression,False,False,label,True
rust,tree-sitter/tree-sitter-rust,for_lifetimes,True,True,lifetime,True
rust,tree-sitter/tree-sitter-rust,foreign_mod_item,True,False,extern_modifier,True
rust,tree-sitter/tree-sitter-rust,function_item,False,True,function_modifiers,True
rust,tree-sitter/tree-sitter-rust,function_item,False,True,visibility_modifier,True
rust,tree-sitter/tree-sitter-rust,function_item,False,True,where_clause,True
rust,tree-sitter/tree-sitter-rust,function_modifiers,False,True,extern_modifier,True
rust,tree-sitter/tree-sitter-rust,function_signature_item,False,True,function_modifiers,True
rust,tree-sitter/tree-sitter-rust,function_signature_item,False,True,visibility_modifier,True
rust,tree-sitter/tree-sitter-rust,function_signature_item,False,True,where_clause,True
rust,tree-sitter/tree-sitter-rust,function_type,False,True,for_lifetimes,True
rust,tree-sitter/tree-sitter-rust,function_type,False,True,function_modifiers,True
rust,tree-sitter/tree-sitter-rust,gen_block,True,False,block,True
rust,tree-sitter/tree-sitter-rust,generic_pattern,True,False,identifier,True
rust,tree-sitter/tree-sitter-rust,generic_pattern,True,False,scoped_identifier,True
rust,tree-sitter/tree-sitter-rust,impl_item,False,False,where_clause,True
rust,tree-sitter/tree-sitter-rust,index_expression,True,True,_expression,True
rust,tree-sitter/tree-sitter-rust,inner_attribute_item,True,False,attribute,True
rust,tree-sitter/tree-sitter-rust,label,True,False,identifier,True
rust,tree-sitter/tree-sitter-rust,let_chain,True,True,_expression,True
rust,tree-sitter/tree-sitter-rust,let_chain,True,True,let_condition,True
rust,tree-sitter/tree-sitter-rust,let_declaration,False,False,mutable_specifier,True
rust,tree-sitter/tree-sitter-rust,lifetime,True,False,identifier,True
rust,tree-sitter/tree-sitter-rust,loop_expression,False,False,label,True
rust,tree-sitter/tree-sitter-rust,macro_definition,False,True,macro_rule,True
rust,tree-sitter/tree-sitter-rust,macro_invocation,True,False,token_tree,True
rust,tree-sitter/tree-sitter-rust,match_arm,False,True,attribute_item,True
rust,tree-sitter/tree-sitter-rust,match_arm,False,True,inner_attribute_item,True
rust,tree-sitter/tree-sitter-rust,match_block,False,True,match_arm,True
rust,tree-sitter/tree-sitter-rust,match_pattern,True,False,_pattern,True
rust,tree-sitter/tree-sitter-rust,mod_item,False,False,visibility_modifier,True
rust,tree-sitter/tree-sitter-rust,mut_pattern,True,True,_pattern,True
rust,tree-sitter/tree-sitter-rust,mut_pattern,True,True,mutable_specifier,True
rust,tree-sitter/tree-sitter-rust,negative_literal,True,False,float_literal,True
rust,tree-sitter/tree-sitter-rust,negative_literal,True,False,integer_literal,True
rust,tree-sitter/tree-sitter-rust,or_pattern,True,True,_pattern,True
rust,tree-sitter/tree-sitter-rust,ordered_field_declaration_list,False,True,attribute_item,True
rust,tree-sitter/tree-sitter-rust,ordered_field_declaration_list,False,True,visibility_modifier,True
rust,tree-sitter/tree-sitter-rust,parameter,False,False,mutable_specifier,True
rust,tree-sitter/tree-sitter-rust,parameters,False,True,_type,True
rust,tree-sitter/tree-sitter-rust,parameters,False,True,attribute_item,True
rust,tree-sitter/tree-sitter-rust,parameters,False,True,parameter,True
rust,tree-sitter/tree-sitter-rust,parameters,False,True,self_parameter,True
rust,tree-sitter/tree-sitter-rust,parameters,False,True,variadic_parameter,True
rust,tree-sitter/tree-sitter-rust,parenthesized_expression,True,False,_expression,True
rust,tree-sitter/tree-sitter-rust,pointer_type,False,False,mutable_specifier,True
rust,tree-sitter/tree-sitter-rust,range_expression,False,True,_expression,True
rust,tree-sitter/tree-sitter-rust,raw_string_literal,True,False,string_content,True
rust,tree-sitter/tree-sitter-rust,ref_pattern,True,False,_pattern,True
rust,tree-sitter/tree-sitter-rust,reference_expression,False,False,mutable_specifier,True
rust,tree-sitter/tree-sitter-rust,reference_pattern,True,True,_pattern,True
rust,tree-sitter/tree-sitter-rust,reference_pattern,True,True,mutable_specifier,True
rust,tree-sitter/tree-sitter-rust,reference_type,False,True,lifetime,True
rust,tree-sitter/tree-sitter-rust,reference_type,False,True,mutable_specifier,True
rust,tree-sitter/tree-sitter-rust,removed_trait_bound,True,False,_type,True
rust,tree-sitter/tree-sitter-rust,return_expression,False,False,_expression,True
rust,tree-sitter/tree-sitter-rust,self_parameter,True,True,lifetime,True
rust,tree-sitter/tree-sitter-rust,self_parameter,True,True,mutable_specifier,True
rust,tree-sitter/tree-sitter-rust,self_parameter,True,True,self,True
rust,tree-sitter/tree-sitter-rust,shorthand_field_initializer,True,True,attribute_item,True
rust,tree-sitter/tree-sitter-rust,shorthand_field_initializer,True,True,identifier,True
rust,tree-sitter/tree-sitter-rust,slice_pattern,False,True,_pattern,True
rust,tree-sitter/tree-sitter-rust,source_file,False,True,_declaration_statement,True
rust,tree-sitter/tree-sitter-rust,source_file,False,True,expression_statement,True
rust,tree-sitter/tree-sitter-rust,source_file,False,True,shebang,True
rust,tree-sitter/tree-sitter-rust,static_item,False,True,mutable_specifier,True
rust,tree-sitter/tree-sitter-rust,static_item,False,True,visibility_modifier,True
rust,tree-sitter/tree-sitter-rust,string_literal,False,True,escape_sequence,True
rust,tree-sitter/tree-sitter-rust,string_literal,False,True,string_content,True
rust,tree-sitter/tree-sitter-rust,struct_item,False,True,visibility_modifier,True
rust,tree-sitter/tree-sitter-rust,struct_item,False,True,where_clause,True
rust,tree-sitter/tree-sitter-rust,struct_pattern,False,True,field_pattern,True
rust,tree-sitter/tree-sitter-rust,struct_pattern,False,True,remaining_field_pattern,True
rust,tree-sitter/tree-sitter-rust,token_repetition,False,True,_literal,True
rust,tree-sitter/tree-sitter-rust,token_repetition,False,True,crate,True
rust,tree-sitter/tree-sitter-rust,token_repetition,False,True,identifier,True
rust,tree-sitter/tree-sitter-rust,token_repetition,False,True,metavariable,True
rust,tree-sitter/tree-sitter-rust,token_repetition,False,True,mutable_specifier,True
rust,tree-sitter/tree-sitter-rust,token_repetition,False,True,primitive_type,True
rust,tree-sitter/tree-sitter-rust,token_repetition,False,True,self,True
rust,tree-sitter/tree-sitter-rust,token_repetition,False,True,super,True
rust,tree-sitter/tree-sitter-rust,token_repetition,False,True,token_repetition,True
rust,tree-sitter/tree-sitter-rust,token_repetition,False,True,token_tree,True
rust,tree-sitter/tree-sitter-rust,token_repetition_pattern,False,True,_literal,True
rust,tree-sitter/tree-sitter-rust,token_repetition_pattern,False,True,crate,True
rust,tree-sitter/tree-sitter-rust,token_repetition_pattern,False,True,identifier,True
rust,tree-sitter/tree-sitter-rust,token_repetition_pattern,False,True,metavariable,True
rust,tree-sitter/tree-sitter-rust,token_repetition_pattern,False,True,mutable_specifier,True
rust,tree-sitter/tree-sitter-rust,token_repetition_pattern,False,True,primitive_type,True
rust,tree-sitter/tree-sitter-rust,token_repetition_pattern,False,True,self,True
rust,tree-sitter/tree-sitter-rust,token_repetition_pattern,False,True,super,True
rust,tree-sitter/tree-sitter-rust,token_repetition_pattern,False,True,token_binding_pattern,True
rust,tree-sitter/tree-sitter-rust,token_repetition_pattern,False,True,token_repetition_pattern,True
rust,tree-sitter/tree-sitter-rust,token_repetition_pattern,False,True,token_tree_pattern,True
rust,tree-sitter/tree-sitter-rust,token_tree,False,True,_literal,True
rust,tree-sitter/tree-sitter-rust,token_tree,False,True,crate,True
rust,tree-sitter/tree-sitter-rust,token_tree,False,True,identifier,True
rust,tree-sitter/tree-sitter-rust,token_tree,False,True,metavariable,True
rust,tree-sitter/tree-sitter-rust,token_tree,False,True,mutable_specifier,True
rust,tree-sitter/tree-sitter-rust,token_tree,False,True,primitive_type,True
rust,tree-sitter/tree-sitter-rust,token_tree,False,True,self,True
rust,tree-sitter/tree-sitter-rust,token_tree,False,True,super,True
rust,tree-sitter/tree-sitter-rust,token_tree,False,True,token_repetition,True
rust,tree-sitter/tree-sitter-rust,token_tree,False,True,token_tree,True
rust,tree-sitter/tree-sitter-rust,token_tree_pattern,False,True,_literal,True
rust,tree-sitter/tree-sitter-rust,token_tree_pattern,False,True,crate,True
rust,tree-sitter/tree-sitter-rust,token_tree_pattern,False,True,identifier,True
rust,tree-sitter/tree-sitter-rust,token_tree_pattern,False,True,metavariable,True
rust,tree-sitter/tree-sitter-rust,token_tree_pattern,False,True,mutable_specifier,True
rust,tree-sitter/tree-sitter-rust,token_tree_pattern,False,True,primitive_type,True
rust,tree-sitter/tree-sitter-rust,token_tree_pattern,False,True,self,True
rust,tree-sitter/tree-sitter-rust,token_tree_pattern,False,True,super,True
rust,tree-sitter/tree-sitter-rust,token_tree_pattern,False,True,token_binding_pattern,True
rust,tree-sitter/tree-sitter-rust,token_tree_pattern,False,True,token_repetition_pattern,True
rust,tree-sitter/tree-sitter-rust,token_tree_pattern,False,True,token_tree_pattern,True
rust,tree-sitter/tree-sitter-rust,trait_bounds,True,True,_type,True
rust,tree-sitter/tree-sitter-rust,trait_bounds,True,True,higher_ranked_trait_bound,True
rust,tree-sitter/tree-sitter-rust,trait_bounds,True,True,lifetime,True
rust,tree-sitter/tree-sitter-rust,trait_item,False,True,visibility_modifier,True
rust,tree-sitter/tree-sitter-rust,trait_item,False,True,where_clause,True
rust,tree-sitter/tree-sitter-rust,try_block,True,False,block,True
rust,tree-sitter/tree-sitter-rust,try_expression,True,False,_expression,True
rust,tree-sitter/tree-sitter-rust,tuple_expression,True,True,_expression,True
rust,tree-sitter/tree-sitter-rust,tuple_expression,True,True,attribute_item,True
rust,tree-sitter/tree-sitter-rust,tuple_pattern,False,True,_pattern,True
rust,tree-sitter/tree-sitter-rust,tuple_pattern,False,True,closure_expression,True
rust,tree-sitter/tree-sitter-rust,tuple_struct_pattern,False,True,_pattern,True
rust,tree-sitter/tree-sitter-rust,tuple_type,True,True,_type,True
rust,tree-sitter/tree-sitter-rust,type_arguments,True,True,_literal,True
rust,tree-sitter/tree-sitter-rust,type_arguments,True,True,_type,True
rust,tree-sitter/tree-sitter-rust,type_arguments,True,True,block,True
rust,tree-sitter/tree-sitter-rust,type_arguments,True,True,lifetime,True
rust,tree-sitter/tree-sitter-rust,type_arguments,True,True,trait_bounds,True
rust,tree-sitter/tree-sitter-rust,type_arguments,True,True,type_binding,True
rust,tree-sitter/tree-sitter-rust,type_item,False,True,visibility_modifier,True
rust,tree-sitter/tree-sitter-rust,type_item,False,True,where_clause,True
rust,tree-sitter/tree-sitter-rust,type_parameters,True,True,attribute_item,True
rust,tree-sitter/tree-sitter-rust,type_parameters,True,True,const_parameter,True
rust,tree-sitter/tree-sitter-rust,type_parameters,True,True,lifetime_parameter,True
rust,tree-sitter/tree-sitter-rust,type_parameters,True,True,metavariable,True
rust,tree-sitter/tree-sitter-rust,type_parameters,True,True,type_parameter,True
rust,tree-sitter/tree-sitter-rust,unary_expression,True,False,_expression,True
rust,tree-sitter/tree-sitter-rust,union_item,False,True,visibility_modifier,True
rust,tree-sitter/tree-sitter-rust,union_item,False,True,where_clause,True
rust,tree-sitter/tree-sitter-rust,unsafe_block,True,False,block,True
rust,tree-sitter/tree-sitter-rust,use_bounds,False,True,lifetime,True
rust,tree-sitter/tree-sitter-rust,use_bounds,False,True,type_identifier,True
rust,tree-sitter/tree-sitter-rust,use_declaration,False,False,visibility_modifier,True
rust,tree-sitter/tree-sitter-rust,use_list,False,True,crate,True
rust,tree-sitter/tree-sitter-rust,use_list,False,True,identifier,True
rust,tree-sitter/tree-sitter-rust,use_list,False,True,metavariable,True
rust,tree-sitter/tree-sitter-rust,use_list,False,True,scoped_identifier,True
rust,tree-sitter/tree-sitter-rust,use_list,False,True,scoped_use_list,True
rust,tree-sitter/tree-sitter-rust,use_list,False,True,self,True
rust,tree-sitter/tree-sitter-rust,use_list,False,True,super,True
rust,tree-sitter/tree-sitter-rust,use_list,False,True,use_as_clause,True
rust,tree-sitter/tree-sitter-rust,use_list,False,True,use_list,True
rust,tree-sitter/tree-sitter-rust,use_list,False,True,use_wildcard,True
rust,tree-sitter/tree-sitter-rust,use_wildcard,False,False,crate,True
rust,tree-sitter/tree-sitter-rust,use_wildcard,False,False,identifier,True
rust,tree-sitter/tree-sitter-rust,use_wildcard,False,False,metavariable,True
rust,tree-sitter/tree-sitter-rust,use_wildcard,False,False,scoped_identifier,True
rust,tree-sitter/tree-sitter-rust,use_wildcard,False,False,self,True
rust,tree-sitter/tree-sitter-rust,use_wildcard,False,False,super,True
rust,tree-sitter/tree-sitter-rust,variadic_parameter,False,False,mutable_specifier,True
rust,tree-sitter/tree-sitter-rust,visibility_modifier,False,False,crate,True
rust,tree-sitter/tree-sitter-rust,visibility_modifier,False,False,identifier,True
rust,tree-sitter/tree-sitter-rust,visibility_modifier,False,False,metavariable,True
rust,tree-sitter/tree-sitter-rust,visibility_modifier,False,False,scoped_identifier,True
rust,tree-sitter/tree-sitter-rust,visibility_modifier,False,False,self,True
rust,tree-sitter/tree-sitter-rust,visibility_modifier,False,False,super,True
rust,tree-sitter/tree-sitter-rust,where_clause,False,True,where_predicate,True
rust,tree-sitter/tree-sitter-rust,while_expression,False,False,label,True
rust,tree-sitter/tree-sitter-rust,yield_expression,False,False,_expression,True
cpp,tree-sitter/tree-sitter-cpp,abstract_array_declarator,False,True,type_qualifier,True
cpp,tree-sitter/tree-sitter-cpp,abstract_function_declarator,False,True,attribute_declaration,True
cpp,tree-sitter/tree-sitter-cpp,abstract_function_declarator,False,True,attribute_specifier,True
cpp,tree-sitter/tree-sitter-cpp,abstract_function_declarator,False,True,gnu_asm_expression,True
cpp,tree-sitter/tree-sitter-cpp,abstract_function_declarator,False,True,noexcept,True
cpp,tree-sitter/tree-sitter-cpp,abstract_function_declarator,False,True,ref_qualifier,True
cpp,tree-sitter/tree-sitter-cpp,abstract_function_declarator,False,True,requires_clause,True
cpp,tree-sitter/tree-sitter-cpp,abstract_function_declarator,False,True,throw_specifier,True
cpp,tree-sitter/tree-sitter-cpp,abstract_function_declarator,False,True,trailing_return_type,True
cpp,tree-sitter/tree-sitter-cpp,abstract_function_declarator,False,True,type_qualifier,True
cpp,tree-sitter/tree-sitter-cpp,abstract_function_declarator,False,True,virtual_specifier,True
cpp,tree-sitter/tree-sitter-cpp,abstract_parenthesized_declarator,True,True,_abstract_declarator,True
cpp,tree-sitter/tree-sitter-cpp,abstract_parenthesized_declarator,True,True,ms_call_modifier,True
cpp,tree-sitter/tree-sitter-cpp,abstract_pointer_declarator,False,True,ms_pointer_modifier,True
cpp,tree-sitter/tree-sitter-cpp,abstract_pointer_declarator,False,True,type_qualifier,True
cpp,tree-sitter/tree-sitter-cpp,abstract_reference_declarator,False,False,_abstract_declarator,True
cpp,tree-sitter/tree-sitter-cpp,alias_declaration,False,True,attribute_declaration,True
cpp,tree-sitter/tree-sitter-cpp,alignas_qualifier,True,False,expression,True
cpp,tree-sitter/tree-sitter-cpp,alignas_qualifier,True,False,type_descriptor,True
cpp,tree-sitter/tree-sitter-cpp,annotation,True,False,expression,True
cpp,tree-sitter/tree-sitter-cpp,argument_list,False,True,compound_statement,True
cpp,tree-sitter/tree-sitter-cpp,argument_list,False,True,expression,True
cpp,tree-sitter/tree-sitter-cpp,argument_list,False,True,initializer_list,True
cpp,tree-sitter/tree-sitter-cpp,argument_list,False,True,preproc_defined,True
cpp,tree-sitter/tree-sitter-cpp,array_declarator,False,True,type_qualifier,True
cpp,tree-sitter/tree-sitter-cpp,attribute,False,False,argument_list,True
cpp,tree-sitter/tree-sitter-cpp,attribute_declaration,True,True,annotation,True
cpp,tree-sitter/tree-sitter-cpp,attribute_declaration,True,True,attribute,True
cpp,tree-sitter/tree-sitter-cpp,attribute_specifier,True,False,argument_list,True
cpp,tree-sitter/tree-sitter-cpp,attributed_declarator,True,True,_declarator,True
cpp,tree-sitter/tree-sitter-cpp,attributed_declarator,True,True,_field_declarator,True
cpp,tree-sitter/tree-sitter-cpp,attributed_declarator,True,True,_type_declarator,True
cpp,tree-sitter/tree-sitter-cpp,attributed_declarator,True,True,attribute_declaration,True
cpp,tree-sitter/tree-sitter-cpp,attributed_statement,True,True,attribute_declaration,True
cpp,tree-sitter/tree-sitter-cpp,attributed_statement,True,True,statement,True
cpp,tree-sitter/tree-sitter-cpp,base_class_clause,True,True,access_specifier,True
cpp,tree-sitter/tree-sitter-cpp,base_class_clause,True,True,attribute_declaration,True
cpp,tree-sitter/tree-sitter-cpp,base_class_clause,True,True,qualified_identifier,True
cpp,tree-sitter/tree-sitter-cpp,base_class_clause,True,True,splice_type_specifier,True
cpp,tree-sitter/tree-sitter-cpp,base_class_clause,True,True,template_type,True
cpp,tree-sitter/tree-sitter-cpp,base_class_clause,True,True,type_identifier,True
cpp,tree-sitter/tree-sitter-cpp,bitfield_clause,True,False,expression,True
cpp,tree-sitter/tree-sitter-cpp,case_statement,False,True,attributed_statement,True
cpp,tree-sitter/tree-sitter-cpp,case_statement,False,True,break_statement,True
cpp,tree-sitter/tree-sitter-cpp,case_statement,False,True,co_return_statement,True
cpp,tree-sitter/tree-sitter-cpp,case_statement,False,True,co_yield_statement,True
cpp,tree-sitter/tree-sitter-cpp,case_statement,False,True,compound_statement,True
cpp,tree-sitter/tree-sitter-cpp,case_statement,False,True,continue_statement,True
cpp,tree-sitter/tree-sitter-cpp,case_statement,False,True,declaration,True
cpp,tree-sitter/tree-sitter-cpp,case_statement,False,True,do_statement,True
cpp,tree-sitter/tree-sitter-cpp,case_statement,False,True,expansion_statement,True
cpp,tree-sitter/tree-sitter-cpp,case_statement,False,True,expression_statement,True
