language,repository,supertype,subtype,subtype_named
rust,tree-sitter/tree-sitter-rust,_expression,index_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,loop_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,macro_invocation,True
rust,tree-sitter/tree-sitter-rust,_expression,match_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,metavariable,True
rust,tree-sitter/tree-sitter-rust,_expression,parenthesized_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,range_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,reference_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,return_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,scoped_identifier,True
rust,tree-sitter/tree-sitter-rust,_expression,self,True
rust,tree-sitter/tree-sitter-rust,_expression,struct_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,try_block,True
rust,tree-sitter/tree-sitter-rust,_expression,try_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,tuple_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,type_cast_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,unary_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,unit_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,unsafe_block,True
rust,tree-sitter/tree-sitter-rust,_expression,while_expression,True
rust,tree-sitter/tree-sitter-rust,_expression,yield_expression,True
rust,tree-sitter/tree-sitter-rust,_literal,boolean_literal,True
rust,tree-sitter/tree-sitter-rust,_literal,char_literal,True
rust,tree-sitter/tree-sitter-rust,_literal,float_literal,True
rust,tree-sitter/tree-sitter-rust,_literal,integer_literal,True
rust,tree-sitter/tree-sitter-rust,_literal,raw_string_literal,True
rust,tree-sitter/tree-sitter-rust,_literal,string_literal,True
rust,tree-sitter/tree-sitter-rust,_literal_pattern,boolean_literal,True
rust,tree-sitter/tree-sitter-rust,_literal_pattern,char_literal,True
rust,tree-sitter/tree-sitter-rust,_literal_pattern,float_literal,True
rust,tree-sitter/tree-sitter-rust,_literal_pattern,integer_literal,True
rust,tree-sitter/tree-sitter-rust,_literal_pattern,negative_literal,True
rust,tree-sitter/tree-sitter-rust,_literal_pattern,raw_string_literal,True
rust,tree-sitter/tree-sitter-rust,_literal_pattern,string_literal,True
rust,tree-sitter/tree-sitter-rust,_pattern,_,False
rust,tree-sitter/tree-sitter-rust,_pattern,_literal_pattern,True
rust,tree-sitter/tree-sitter-rust,_pattern,captured_pattern,True
rust,tree-sitter/tree-sitter-rust,_pattern,const_block,True
rust,tree-sitter/tree-sitter-rust,_pattern,generic_pattern,True
rust,tree-sitter/tree-sitter-rust,_pattern,identifier,True
rust,tree-sitter/tree-sitter-rust,_pattern,macro_invocation,True
rust,tree-sitter/tree-sitter-rust,_pattern,mut_pattern,True
rust,tree-sitter/tree-sitter-rust,_pattern,or_pattern,True
rust,tree-sitter/tree-sitter-rust,_pattern,range_pattern,True
rust,tree-sitter/tree-sitter-rust,_pattern,ref_pattern,True
rust,tree-sitter/tree-sitter-rust,_pattern,reference_pattern,True
rust,tree-sitter/tree-sitter-rust,_pattern,remaining_field_pattern,True
rust,tree-sitter/tree-sitter-rust,_pattern,scoped_identifier,True
rust,tree-sitter/tree-sitter-rust,_pattern,slice_pattern,True
rust,tree-sitter/tree-sitter-rust,_pattern,struct_pattern,True
rust,tree-sitter/tree-sitter-rust,_pattern,tuple_pattern,True
rust,tree-sitter/tree-sitter-rust,_pattern,tuple_struct_pattern,True
rust,tree-sitter/tree-sitter-rust,_type,abstract_type,True
rust,tree-sitter/tree-sitter-rust,_type,array_type,True
rust,tree-sitter/tree-sitter-rust,_type,bounded_type,True
rust,tree-sitter/tree-sitter-rust,_type,dynamic_type,True
rust,tree-sitter/tree-sitter-rust,_type,function_type,True
rust,tree-sitter/tree-sitter-rust,_type,generic_type,True
rust,tree-sitter/tree-sitter-rust,_type,macro_invocation,True
rust,tree-sitter/tree-sitter-rust,_type,metavariable,True
rust,tree-sitter/tree-sitter-rust,_type,never_type,True
rust,tree-sitter/tree-sitter-rust,_type,pointer_type,True
rust,tree-sitter/tree-sitter-rust,_type,primitive_type,True
rust,tree-sitter/tree-sitter-rust,_type,reference_type,True
rust,tree-sitter/tree-sitter-rust,_type,removed_trait_bound,True
rust,tree-sitter/tree-sitter-rust,_type,scoped_type_identifier,True
rust,tree-sitter/tree-sitter-rust,_type,tuple_type,True
rust,tree-sitter/tree-sitter-rust,_type,type_identifier,True
rust,tree-sitter/tree-sitter-rust,_type,unit_type,True
cpp,tree-sitter/tree-sitter-cpp,_abstract_declarator,abstract_array_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_abstract_declarator,abstract_function_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_abstract_declarator,abstract_parenthesized_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_abstract_declarator,abstract_pointer_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_abstract_declarator,abstract_reference_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_declarator,array_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_declarator,attributed_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_declarator,destructor_name,True
cpp,tree-sitter/tree-sitter-cpp,_declarator,function_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_declarator,identifier,True
cpp,tree-sitter/tree-sitter-cpp,_declarator,operator_name,True
cpp,tree-sitter/tree-sitter-cpp,_declarator,parenthesized_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_declarator,pointer_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_declarator,qualified_identifier,True
cpp,tree-sitter/tree-sitter-cpp,_declarator,reference_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_declarator,structured_binding_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_declarator,template_function,True
cpp,tree-sitter/tree-sitter-cpp,_field_declarator,array_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_field_declarator,attributed_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_field_declarator,field_identifier,True
cpp,tree-sitter/tree-sitter-cpp,_field_declarator,function_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_field_declarator,operator_name,True
cpp,tree-sitter/tree-sitter-cpp,_field_declarator,parenthesized_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_field_declarator,pointer_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_field_declarator,reference_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_field_declarator,template_method,True
cpp,tree-sitter/tree-sitter-cpp,_type_declarator,array_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_type_declarator,attributed_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_type_declarator,function_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_type_declarator,parenthesized_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_type_declarator,pointer_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_type_declarator,primitive_type,True
cpp,tree-sitter/tree-sitter-cpp,_type_declarator,reference_declarator,True
cpp,tree-sitter/tree-sitter-cpp,_type_declarator,type_identifier,True
cpp,tree-sitter/tree-sitter-cpp,expression,alignof_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,assignment_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,binary_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,call_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,cast_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,char_literal,True
cpp,tree-sitter/tree-sitter-cpp,expression,co_await_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,compound_literal_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,concatenated_string,True
cpp,tree-sitter/tree-sitter-cpp,expression,conditional_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,delete_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,extension_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,false,True
cpp,tree-sitter/tree-sitter-cpp,expression,field_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,fold_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,generic_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,gnu_asm_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,identifier,True
cpp,tree-sitter/tree-sitter-cpp,expression,lambda_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,new_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,null,True
cpp,tree-sitter/tree-sitter-cpp,expression,number_literal,True
cpp,tree-sitter/tree-sitter-cpp,expression,offsetof_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,parameter_pack_expansion,True
cpp,tree-sitter/tree-sitter-cpp,expression,parenthesized_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,pointer_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,qualified_identifier,True
cpp,tree-sitter/tree-sitter-cpp,expression,raw_string_literal,True
cpp,tree-sitter/tree-sitter-cpp,expression,reflect_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,requires_clause,True
cpp,tree-sitter/tree-sitter-cpp,expression,requires_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,sizeof_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,splice_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,string_literal,True
cpp,tree-sitter/tree-sitter-cpp,expression,subscript_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,template_function,True
cpp,tree-sitter/tree-sitter-cpp,expression,this,True
cpp,tree-sitter/tree-sitter-cpp,expression,true,True
cpp,tree-sitter/tree-sitter-cpp,expression,unary_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,update_expression,True
cpp,tree-sitter/tree-sitter-cpp,expression,user_defined_literal,True
cpp,tree-sitter/tree-sitter-cpp,statement,attributed_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,break_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,case_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,co_return_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,co_yield_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,compound_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,continue_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,do_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,expansion_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,expression_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,for_range_loop,True
cpp,tree-sitter/tree-sitter-cpp,statement,for_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,goto_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,if_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,labeled_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,return_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,seh_leave_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,seh_try_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,switch_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,throw_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,try_statement,True
cpp,tree-sitter/tree-sitter-cpp,statement,while_statement,True
cpp,tree-sitter/tree-sitter-cpp,type_specifier,class_specifier,True
cpp,tree-sitter/tree-sitter-cpp,type_specifier,decltype,True
cpp,tree-sitter/tree-sitter-cpp,type_specifier,dependent_type,True
cpp,tree-sitter/tree-sitter-cpp,type_specifier,enum_specifier,True
cpp,tree-sitter/tree-sitter-cpp,type_specifier,placeholder_type_specifier,True
cpp,tree-sitter/tree-sitter-cpp,type_specifier,primitive_type,True
cpp,tree-sitter/tree-sitter-cpp,type_specifier,qualified_identifier,True
cpp,tree-sitter/tree-sitter-cpp,type_specifier,sized_type_specifier,True
cpp,tree-sitter/tree-sitter-cpp,type_specifier,splice_type_specifier,True
cpp,tree-sitter/tree-sitter-cpp,type_specifier,struct_specifier,True
cpp,tree-sitter/tree-sitter-cpp,type_specifier,template_type,True
cpp,tree-sitter/tree-sitter-cpp,type_specifier,type_identifier,True
cpp,tree-sitter/tree-sitter-cpp,type_specifier,union_specifier,True
c,tree-sitter/tree-sitter-c,_abstract_declarator,abstract_array_declarator,True
c,tree-sitter/tree-sitter-c,_abstract_declarator,abstract_function_declarator,True
c,tree-sitter/tree-sitter-c,_abstract_declarator,abstract_parenthesized_declarator,True
c,tree-sitter/tree-sitter-c,_abstract_declarator,abstract_pointer_declarator,True
c,tree-sitter/tree-sitter-c,_declarator,array_declarator,True
c,tree-sitter/tree-sitter-c,_declarator,attributed_declarator,True
c,tree-sitter/tree-sitter-c,_declarator,function_declarator,True
c,tree-sitter/tree-sitter-c,_declarator,identifier,True
c,tree-sitter/tree-sitter-c,_declarator,parenthesized_declarator,True
c,tree-sitter/tree-sitter-c,_declarator,pointer_declarator,True
c,tree-sitter/tree-sitter-c,_field_declarator,array_declarator,True
c,tree-sitter/tree-sitter-c,_field_declarator,attributed_declarator,True
c,tree-sitter/tree-sitter-c,_field_declarator,field_identifier,True
c,tree-sitter/tree-sitter-c,_field_declarator,function_declarator,True
c,tree-sitter/tree-sitter-c,_field_declarator,parenthesized_declarator,True
c,tree-sitter/tree-sitter-c,_field_declarator,pointer_declarator,True
c,tree-sitter/tree-sitter-c,_type_declarator,array_declarator,True
c,tree-sitter/tree-sitter-c,_type_declarator,attributed_declarator,True
c,tree-sitter/tree-sitter-c,_type_declarator,function_declarator,True
c,tree-sitter/tree-sitter-c,_type_declarator,parenthesized_declarator,True
c,tree-sitter/tree-sitter-c,_type_declarator,pointer_declarator,True
c,tree-sitter/tree-sitter-c,_type_declarator,primitive_type,True
c,tree-sitter/tree-sitter-c,_type_declarator,type_identifier,True
c,tree-sitter/tree-sitter-c,expression,alignof_expression,True
c,tree-sitter/tree-sitter-c,expression,assignment_expression,True
c,tree-sitter/tree-sitter-c,expression,binary_expression,True
c,tree-sitter/tree-sitter-c,expression,call_expression,True
c,tree-sitter/tree-sitter-c,expression,cast_expression,True
c,tree-sitter/tree-sitter-c,expression,char_literal,True
c,tree-sitter/tree-sitter-c,expression,compound_literal_expression,True
c,tree-sitter/tree-sitter-c,expression,concatenated_string,True
c,tree-sitter/tree-sitter-c,expression,conditional_expression,True
c,tree-sitter/tree-sitter-c,expression,extension_expression,True
c,tree-sitter/tree-sitter-c,expression,false,True
c,tree-sitter/tree-sitter-c,expression,field_expression,True
c,tree-sitter/tree-sitter-c,expression,generic_expression,True
c,tree-sitter/tree-sitter-c,expression,gnu_asm_expression,True
c,tree-sitter/tree-sitter-c,expression,identifier,True
c,tree-sitter/tree-sitter-c,expression,null,True
c,tree-sitter/tree-sitter-c,expression,number_literal,True
c,tree-sitter/tree-sitter-c,expression,offsetof_expression,True
c,tree-sitter/tree-sitter-c,expression,parenthesized_expression,True
c,tree-sitter/tree-sitter-c,expression,pointer_expression,True
c,tree-sitter/tree-sitter-c,expression,sizeof_expression,True
c,tree-sitter/tree-sitter-c,expression,string_literal,True
c,tree-sitter/tree-sitter-c,expression,subscript_expression,True
c,tree-sitter/tree-sitter-c,expression,true,True
c,tree-sitter/tree-sitter-c,expression,unary_expression,True
c,tree-sitter/tree-sitter-c,expression,update_expression,True
c,tree-sitter/tree-sitter-c,statement,attributed_statement,True
c,tree-sitter/tree-sitter-c,statement,break_statement,True
c,tree-sitter/tree-sitter-c,statement,case_statement,True
c,tree-sitter/tree-sitter-c,statement,compound_statement,True
c,tree-sitter/tree-sitter-c,statement,continue_statement,True
c,tree-sitter/tree-sitter-c,statement,do_statement,True
c,tree-sitter/tree-sitter-c,statement,expression_statement,True
c,tree-sitter/tree-sitter-c,statement,for_statement,True
c,tree-sitter/tree-sitter-c,statement,goto_statement,True
c,tree-sitter/tree-sitter-c,statement,if_statement,True
c,tree-sitter/tree-sitter-c,statement,labeled_statement,True
c,tree-sitter/tree-sitter-c,statement,return_statement,True
c,tree-sitter/tree-sitter-c,statement,seh_leave_statement,True
c,tree-sitter/tree-sitter-c,statement,seh_try_statement,True
c,tree-sitter/tree-sitter-c,statement,switch_statement,True
c,tree-sitter/tree-sitter-c,statement,while_statement,True
c,tree-sitter/tree-sitter-c,type_specifier,enum_specifier,True
c,tree-sitter/tree-sitter-c,type_specifier,macro_type_specifier,True
c,tree-sitter/tree-sitter-c,type_specifier,primitive_type,True
c,tree-sitter/tree-sitter-c,type_specifier,sized_type_specifier,True
c,tree-sitter/tree-sitter-c,type_specifier,struct_specifier,True
c,tree-sitter/tree-sitter-c,type_specifier,type_identifier,True
c,tree-sitter/tree-sitter-c,type_specifier,union_specifier,True
python,tree-sitter/tree-sitter-python,_compound_statement,class_definition,True
python,tree-sitter/tree-sitter-python,_compound_statement,decorated_definition,True
python,tree-sitter/tree-sitter-python,_compound_statement,for_statement,True
python,tree-sitter/tree-sitter-python,_compound_statement,function_definition,True
python,tree-sitter/tree-sitter-python,_compound_statement,if_statement,True
python,tree-sitter/tree-sitter-python,_compound_statement,match_statement,True
python,tree-sitter/tree-sitter-python,_compound_statement,try_statement,True
python,tree-sitter/tree-sitter-python,_compound_statement,while_statement,True
python,tree-sitter/tree-sitter-python,_compound_statement,with_statement,True
python,tree-sitter/tree-sitter-python,_simple_statement,assert_statement,True
python,tree-sitter/tree-sitter-python,_simple_statement,break_statement,True
python,tree-sitter/tree-sitter-python,_simple_statement,continue_statement,True
python,tree-sitter/tree-sitter-python,_simple_statement,delete_statement,True
python,tree-sitter/tree-sitter-python,_simple_statement,exec_statement,True
python,tree-sitter/tree-sitter-python,_simple_statement,expression_statement,True
python,tree-sitter/tree-sitter-python,_simple_statement,future_import_statement,True
python,tree-sitter/tree-sitter-python,_simple_statement,global_statement,True
python,tree-sitter/tree-sitter-python,_simple_statement,import_from_statement,True
python,tree-sitter/tree-sitter-python,_simple_statement,import_statement,True
python,tree-sitter/tree-sitter-python,_simple_statement,nonlocal_statement,True
python,tree-sitter/tree-sitter-python,_simple_statement,pass_statement,True
python,tree-sitter/tree-sitter-python,_simple_statement,print_statement,True
python,tree-sitter/tree-sitter-python,_simple_statement,raise_statement,True
python,tree-sitter/tree-sitter-python,_simple_statement,return_statement,True
python,tree-sitter/tree-sitter-python,_simple_statement,type_alias_statement,True
python,tree-sitter/tree-sitter-python,expression,as_pattern,True
python,tree-sitter/tree-sitter-python,expression,boolean_operator,True
python,tree-sitter/tree-sitter-python,expression,comparison_operator,True
python,tree-sitter/tree-sitter-python,expression,conditional_expression,True
python,tree-sitter/tree-sitter-python,expression,lambda,True
python,tree-sitter/tree-sitter-python,expression,named_expression,True
python,tree-sitter/tree-sitter-python,expression,not_operator,True
python,tree-sitter/tree-sitter-python,expression,primary_expression,True
python,tree-sitter/tree-sitter-python,expression_statement,assignment,True
python,tree-sitter/tree-sitter-python,expression_statement,augmented_assignment,True
python,tree-sitter/tree-sitter-python,expression_statement,expression,True
python,tree-sitter/tree-sitter-python,expression_statement,tuple_expression,True
python,tree-sitter/tree-sitter-python,expression_statement,yield,True
python,tree-sitter/tree-sitter-python,parameter,default_parameter,True
python,tree-sitter/tree-sitter-python,parameter,dictionary_splat_pattern,True
python,tree-sitter/tree-sitter-python,parameter,identifier,True
python,tree-sitter/tree-sitter-python,parameter,keyword_separator,True
python,tree-sitter/tree-sitter-python,parameter,list_splat_pattern,True
python,tree-sitter/tree-sitter-python,parameter,positional_separator,True
python,tree-sitter/tree-sitter-python,parameter,tuple_pattern,True
python,tree-sitter/tree-sitter-python,parameter,typed_default_parameter,True
python,tree-sitter/tree-sitter-python,parameter,typed_parameter,True
python,tree-sitter/tree-sitter-python,pattern,attribute,True
python,tree-sitter/tree-sitter-python,pattern,identifier,True
python,tree-sitter/tree-sitter-python,pattern,list_pattern,True
python,tree-sitter/tree-sitter-python,pattern,list_splat_pattern,True
python,tree-sitter/tree-sitter-python,pattern,subscript,True
python,tree-sitter/tree-sitter-python,pattern,tuple_pattern,True
python,tree-sitter/tree-sitter-python,primary_expression,attribute,True
python,tree-sitter/tree-sitter-python,primary_expression,await,True
python,tree-sitter/tree-sitter-python,primary_expression,binary_operator,True
python,tree-sitter/tree-sitter-python,primary_expression,call,True
python,tree-sitter/tree-sitter-python,primary_expression,concatenated_string,True
python,tree-sitter/tree-sitter-python,primary_expression,dictionary,True
python,tree-sitter/tree-sitter-python,primary_expression,dictionary_comprehension,True
python,tree-sitter/tree-sitter-python,primary_expression,ellipsis,True
python,tree-sitter/tree-sitter-python,primary_expression,false,True
python,tree-sitter/tree-sitter-python,primary_expression,float,True
python,tree-sitter/tree-sitter-python,primary_expression,generator_expression,True
python,tree-sitter/tree-sitter-python,primary_expression,identifier,True
python,tree-sitter/tree-sitter-python,primary_expression,integer,True
python,tree-sitter/tree-sitter-python,primary_expression,list,True
python,tree-sitter/tree-sitter-python,primary_expression,list_comprehension,True
python,tree-sitter/tree-sitter-python,primary_expression,list_splat,True
python,tree-sitter/tree-sitter-python,primary_expression,none,True
python,tree-sitter/tree-sitter-python,primary_expression,parenthesized_expression,True
python,tree-sitter/tree-sitter-python,primary_expression,set,True
python,tree-sitter/tree-sitter-python,primary_expression,set_comprehension,True
python,tree-sitter/tree-sitter-python,primary_expression,string,True
python,tree-sitter/tree-sitter-python,primary_expression,subscript,True
