language,repository,file,sha256,source
cpp,tree-sitter/tree-sitter-cpp,queries/tags.scm,029731ca946e32f919491d9f76c85a50e5deb5ad1934e37fd6849312c0d4a705,"(struct_specifier name: (type_identifier) @name body:(_)) @definition.class

(declaration type: (union_specifier name: (type_identifier) @name)) @definition.class

(function_declarator declarator: (identifier) @name) @definition.function

(function_declarator declarator: (field_identifier) @name) @definition.function

(function_declarator declarator: (qualified_identifier scope: (namespace_identifier) @local.scope name: (identifier) @name)) @definition.method

(type_definition declarator: (type_identifier) @name) @definition.type

(enum_specifier name: (type_identifier) @name) @definition.type

(class_specifier name: (type_identifier) @name) @definition.class
"
c,tree-sitter/tree-sitter-c,queries/highlights.scm,3378d854dda695b2b282b9468247524ed4271ef74af691033d2e36883379409c,"(identifier) @variable

((identifier) @constant
 (#match? @constant ""^[A-Z][A-Z\\d_]*$""))

""break"" @keyword
""case"" @keyword
""const"" @keyword
""continue"" @keyword
""default"" @keyword
""do"" @keyword
""else"" @keyword
""enum"" @keyword
""extern"" @keyword
""for"" @keyword
""if"" @keyword
""inline"" @keyword
""return"" @keyword
""sizeof"" @keyword
""static"" @keyword
""struct"" @keyword
""switch"" @keyword
""typedef"" @keyword
""union"" @keyword
""volatile"" @keyword
""while"" @keyword

""#define"" @keyword
""#elif"" @keyword
""#else"" @keyword
""#endif"" @keyword
""#if"" @keyword
""#ifdef"" @keyword
""#ifndef"" @keyword
""#include"" @keyword
(preproc_directive) @keyword

""--"" @operator
""-"" @operator
""-="" @operator
""->"" @operator
""="" @operator
""!="" @operator
""*"" @operator
""&"" @operator
""&&"" @operator
""+"" @operator
""++"" @operator
""+="" @operator
""<"" @operator
""=="" @operator
"">"" @operator
""||"" @operator

""."" @delimiter
"";"" @delimiter

(string_literal) @string
(system_lib_string) @string

(null) @constant
(number_literal) @number
(char_literal) @number

(field_identifier) @property
(statement_identifier) @label
(type_identifier) @type
(primitive_type) @type
(sized_type_specifier) @type

(call_expression
  function: (identifier) @function)
(call_expression
  function: (field_expression
    field: (field_identifier) @function))
(function_declarator
  declarator: (identifier) @function)
(preproc_function_def
  name: (identifier) @function.special)

(comment) @comment
"
c,tree-sitter/tree-sitter-c,queries/tags.scm,774ca67cfe23b0e0d1d3a4f01788049a822beb1311feee72b20a595a37be1e28,"(struct_specifier name: (type_identifier) @name body:(_)) @definition.class

(declaration type: (union_specifier name: (type_identifier) @name)) @definition.class

(function_declarator declarator: (identifier) @name) @definition.function

(type_definition declarator: (type_identifier) @name) @definition.type

(enum_specifier name: (type_identifier) @name) @definition.type
"
python,tree-sitter/tree-sitter-python,queries/highlights.scm,a6708f209381618e2b398972c8f1ccd892f0c064eab35a2a3f911c3e22e79a7e,"; Identifier naming conventions

(identifier) @variable

((identifier) @constructor
 (#match? @constructor ""^[A-Z]""))

((identifier) @constant
 (#match? @constant ""^[A-Z][A-Z_]*$""))

; Function calls

(decorator) @function
(decorator
  (identifier) @function)

(call
  function: (attribute attribute: (identifier) @function.method))
(call
  function: (identifier) @function)

; Builtin functions

((call
  function: (identifier) @function.builtin)
 (#match?
   @function.builtin
   ""^(abs|all|any|ascii|bin|bool|breakpoint|bytearray|bytes|callable|chr|classmethod|compile|complex|delattr|dict|dir|divmod|enumerate|eval|exec|filter|float|format|frozenset|getattr|globals|hasattr|hash|help|hex|id|input|int|isinstance|issubclass|iter|len|list|locals|map|max|memoryview|min|next|object|oct|open|ord|pow|print|property|range|repr|reversed|round|set|setattr|slice|sorted|staticmethod|str|sum|super|tuple|type|vars|zip|__import__)$""))

; Function definitions

(function_definition
  name: (identifier) @function)

(attribute attribute: (identifier) @property)
(type (identifier) @type)

; Literals

[
  (none)
  (true)
  (false)
] @constant.builtin

[
  (integer)
  (float)
] @number

(comment) @comment
(string) @string
(escape_sequence) @escape

(interpolation
  ""{"" @punctuation.special
  ""}"" @punctuation.special) @embedded

[
  ""-""
  ""-=""
  ""!=""
  ""*""
  ""**""
  ""**=""
  ""*=""
  ""/""
  ""//""
  ""//=""
  ""/=""
  ""&""
  ""&=""
  ""%""
  ""%=""
  ""^""
  ""^=""
  ""+""
  ""->""
  ""+=""
  ""<""
  ""<<""
  ""<<=""
  ""<=""
  ""<>""
  ""=""
  "":=""
  ""==""
  "">""
  "">=""
  "">>""
  "">>=""
  ""|""
  ""|=""
  ""~""
  ""@=""
  ""and""
  ""in""
  ""is""
  ""not""
  ""or""
  ""is not""
  ""not in""
] @operator

[
  ""as""
  ""assert""
  ""async""
  ""await""
  ""break""
  ""class""
  ""continue""
  ""def""
  ""del""
  ""elif""
  ""else""
  ""except""
  ""exec""
  ""finally""
  ""for""
  ""from""
  ""global""
  ""if""
  ""import""
  ""lambda""
  ""nonlocal""
  ""pass""
  ""print""
  ""raise""
  ""return""
  ""try""
  ""while""
  ""with""
  ""yield""
  ""match""
  ""case""
] @keyword
"
python,tree-sitter/tree-sitter-python,queries/tags.scm,d0f3e577878167bfabc30e526e497bce58d1699b9bcabf8ab3a50698efb5ca3e,"(module (expression_statement (assignment left: (identifier) @name) @definition.constant))

(class_definition
  name: (identifier) @name) @definition.class

(function_definition
  name: (identifier) @name) @definition.function

(call
  function: [
      (identifier) @name
      (attribute
        attribute: (identifier) @name)
  ]) @reference.call
"
zig,tree-sitter-grammars/tree-sitter-zig,queries/folds.scm,53b983a97e1f73efd1e911ec64a4e89e822acf5d2ecf6a4461409aa6ded11af4,"[
  (block)
  (switch_expression)
  (initializer_list)
  (asm_expression)
  (multiline_string)
  (if_statement)
  (while_statement)
  (for_statement)
  (if_expression)
  (else_clause)
  (for_expression)
  (while_expression)
  (if_type_expression)
  (function_signature)
  (parameters)
  (call_expression)
  (struct_declaration)
  (opaque_declaration)
  (enum_declaration)
  (union_declaration)
  (error_set_declaration)
] @fold
"
zig,tree-sitter-grammars/tree-sitter-zig,queries/highlights.scm,70e39a7151fbbd0a2f6e340d7ae81dcc9ba6ec8a863d60ede8196ba17f9c8bcb,"; Variables
(identifier) @variable

; Parameters
(parameter
  name: (identifier) @variable.parameter)

(payload
  (identifier) @variable.parameter)

; Types
(parameter
  type: (identifier) @type)

((identifier) @type
  (#lua-match? @type ""^[A-Z_][a-zA-Z0-9_]*""))

(variable_declaration
  (identifier) @type
  ""=""
  [
    (struct_declaration)
    (enum_declaration)
    (union_declaration)
    (opaque_declaration)
  ])

[
  (builtin_type)
  ""anyframe""
] @type.builtin

; Constants
((identifier) @constant
  (#lua-match? @constant ""^[A-Z][A-Z_0-9]+$""))

[
  ""null""
  ""unreachable""
  ""undefined""
] @constant.builtin

(field_expression
  .
  member: (identifier) @constant)

(enum_declaration
  (container_field
    type: (identifier) @constant))

; Labels
(block_label
  (identifier) @label)

(break_label
  (identifier) @label)

; Fields
(field_initializer
  .
  (identifier) @variable.member)

(field_expression
  (_)
  member: (identifier) @variable.member)

(container_field
  name: (identifier) @variable.member)

(initializer_list
  (assignment_expression
    left: (field_expression
      .
      member: (identifier) @variable.member)))

; Functions
(builtin_identifier) @function.builtin

(call_expression
  function: (identifier) @function.call)

(call_expression
  function: (field_expression
    member: (identifier) @function.call))

(function_declaration
  name: (identifier) @function)

; Modules
(variable_declaration
  (identifier) @module
  (builtin_function
    (builtin_identifier) @keyword.import
    (#any-of? @keyword.import ""@import"" ""@cImport"")))

; Builtins
[
  ""c""
  ""...""
] @variable.builtin

((identifier) @variable.builtin
  (#eq? @variable.builtin ""_""))

(calling_convention
  (identifier) @variable.builtin)

; Keywords
[
  ""asm""
  ""defer""
  ""errdefer""
  ""test""
  ""error""
  ""const""
  ""var""
] @keyword

[
  ""struct""
  ""union""
  ""enum""
  ""opaque""
] @keyword.type

[
  ""async""
  ""await""
  ""suspend""
  ""nosuspend""
  ""resume""
] @keyword.coroutine

""fn"" @keyword.function

[
  ""and""
  ""or""
  ""orelse""
] @keyword.operator

""return"" @keyword.return

[
  ""if""
  ""else""
  ""switch""
] @keyword.conditional

[
  ""for""
  ""while""
  ""break""
  ""continue""
] @keyword.repeat

[
  ""usingnamespace""
  ""export""
] @keyword.import

[
  ""try""
  ""catch""
] @keyword.exception

[
  ""volatile""
  ""allowzero""
  ""noalias""
  ""addrspace""
  ""align""
  ""callconv""
  ""linksection""
  ""pub""
  ""inline""
  ""noinline""
  ""extern""
  ""comptime""
  ""packed""
  ""threadlocal""
] @keyword.modifier

; Operator
[
  ""=""
  ""*=""
  ""*%=""
  ""*|=""
  ""/=""
  ""%=""
  ""+=""
  ""+%=""
  ""+|=""
  ""-=""
  ""-%=""
  ""-|=""
  ""<<=""
  ""<<|=""
  "">>=""
  ""&=""
  ""^=""
  ""|=""
  ""!""
  ""~""
  ""-""
  ""-%""
  ""&""
  ""==""
  ""!=""
  "">""
  "">=""
  ""<=""
  ""<""
  ""&""
  ""^""
  ""|""
  ""<<""
  "">>""
  ""<<|""
  ""+""
  ""++""
  ""+%""
  ""-%""
  ""+|""
  ""-|""
  ""*""
  ""/""
  ""%""
  ""**""
  ""*%""
  ""*|""
  ""||""
  "".*""
  "".?""
  ""?""
  ""..""
] @operator

; Literals
(character) @character

([
  (string)
  (multiline_string)
] @string
  (#set! ""priority"" 95))

(integer) @number

(float) @number.float

(boolean) @boolean

(escape_sequence) @string.escape

; Punctuation
[
  ""[""
  ""]""
  ""(""
  "")""
  ""{""
  ""}""
] @punctuation.bracket

[
  "";""
  "".""
  "",""
  "":""
  ""=>""
  ""->""
] @punctuation.delimiter

(payload
  ""|"" @punctuation.bracket)

; Comments
(comment) @comment @spell

((comment) @comment.documentation
  (#lua-match? @comment.documentation ""^//!""))
"
zig,tree-sitter-grammars/tree-sitter-zig,queries/indents.scm,f2b6ad718383b3de29ea930d95f6c7b7035fe0ad454a0b6d48a206e4d5f35bfe,"[
  (block)
  (struct_declaration)
  (enum_declaration)
  (union_declaration)
  (switch_expression)
  (if_expression)
  (while_expression)
  (for_expression)
  (initializer_list)
] @indent.begin

(block
  ""}"" @indent.end)

[
  ""(""
  "")""
  ""[""
  ""]""
  ""{""
  ""}""
] @indent.branch

[
  (comment)
  (multiline_string)
] @indent.ignore
"
zig,tree-sitter-grammars/tree-sitter-zig,queries/injections.scm,6c68bd360ae39e7e04e64ca647d925a0eae1dc9ce98de6088b8af34956f5c6a0,"((comment) @injection.content
  (#set! injection.language ""comment""))

; TODO: add when asm is added
; (asm_output_item (string) @injection.content
;   (#set! injection.language ""asm""))
; (asm_input_item (string) @injection.content
;   (#set! injection.language ""asm""))
; (asm_clobbers (string) @injection.content
;   (#set! injection.language ""asm""))
"
zig,tree-sitter-grammars/tree-sitter-zig,queries/locals.scm,a2d345afc59d9a9b514984f9101030bfb774631f2e4ae2ee4ace83dbb3171be5,"; Definitions
(function_declaration
  name: (identifier) @local.definition.function)

(parameter
  name: (identifier) @local.definition.parameter)

(variable_declaration
  (identifier) @local.definition.var)

(variable_declaration
  (identifier) @local.definition.type
  (enum_declaration))

(container_field
  type: (identifier) @local.definition.field)

(enum_declaration
  (function_declaration
    name: (identifier) @local.definition.method))

(variable_declaration
  (identifier) @local.definition.type
  (struct_declaration))

(struct_declaration
  (function_declaration
    name: (identifier) @local.definition.method))

(container_field
  name: (identifier) @local.definition.field)

(variable_declaration
  (identifier) @local.definition.type
  (union_declaration))

(union_declaration
  (function_declaration
    name: (identifier) @local.definition.method))

(payload
  (identifier) @local.definition.var)

(block_label
  (identifier) @local.definition)

; References
(identifier) @local.reference

(parameter
  type: (identifier) @local.reference
  (#set! reference.kind ""type""))

(pointer_type
  (identifier) @local.reference
  (#set! reference.kind ""type""))

(nullable_type
  (identifier) @local.reference
  (#set! reference.kind ""type""))

(struct_initializer
  (identifier) @local.reference
  (#set! reference.kind ""type""))

(array_type
  (_)
  (identifier) @local.reference
  (#set! reference.kind ""type""))

(slice_type
  (identifier) @local.reference
  (#set! reference.kind ""type""))

(field_expression
  member: (identifier) @local.reference
  (#set! reference.kind ""field""))

(call_expression
  function: (field_expression
    member: (identifier) @local.reference
    (#set! reference.kind ""function"")))

(break_label
  (identifier) @local.reference)

[
  (for_statement)
  (if_statement)
  (while_statement)
  (function_declaration)
  (block)
  (source_file)
  (enum_declaration)
  (struct_declaration)
] @local.scope
"
