element_type,element_id,implemented
facet,UASF_0045,false
facet,UASF_0046,false
facet,UASF_0047,false
facet,UASF_0048,false
facet,UASF_0049,false
facet,UASF_0050,false
facet,UASF_0051,true
facet,UASF_0052,false
facet,UASF_0053,false
facet,UASF_0054,true
facet,UASF_0055,false
facet,UASF_0056,false
facet,UASF_0057,false
facet,UASF_0058,false
facet,UASF_0059,false
facet,UASF_0060,false
facet,UASF_0061,false
facet,UASF_0062,false
facet,UASF_0063,false
facet,UASF_0064,false
facet,UASF_0065,false
facet,UASF_0066,false
facet,UASF_0067,false
facet,UASF_0068,false
facet,UASF_0069,false
facet,UASF_0070,false
facet,UASF_0071,false
facet,UASF_0072,false
facet,UASF_0073,false
facet,UASF_0074,false
facet,UASF_0075,false
facet,UASF_0076,false
facet,UASF_0077,false
facet,UASF_0078,false
facet,UASF_0079,false
facet,UASF_0080,false
facet,UASF_0081,false
facet,UASF_0082,false
facet,UASF_0083,false
facet,UASF_0084,false
facet,UASF_0085,false
facet,UASF_0086,false
facet,UASF_0087,false
facet,UASF_0088,false
facet,UASF_0089,false
facet,UASF_0090,false
facet,UASF_0091,false
facet,UASF_0092,false
facet,UASF_0093,false
facet,UASF_0094,false
facet,UASF_0095,false
facet,UASF_0096,false
facet,UASF_0097,false
facet,UASF_0098,false
facet,UASF_0099,false
facet,UASF_0100,false
facet,UASF_0101,false
facet,UASF_0102,false
facet,UASF_0103,false
facet,UASF_0104,false
facet,UASF_0105,false
facet,UASF_0106,false
facet,UASF_0107,false
facet,UASF_0108,false
facet,UASF_0109,false
facet,UASF_0110,false
facet,UASF_0111,false
facet,UASF_0112,false
facet,UASF_0113,false
facet,UASF_0114,false
facet,UASF_0115,false
facet,UASF_0116,false
facet,UASF_0117,false
facet,UASF_0118,false
facet,UASF_0119,false
facet,UASF_0120,false
facet,UASF_0121,false
facet,UASF_0122,false
facet,UASF_0123,false
facet,UASF_0124,false
facet,UASF_0125,false
facet,UASF_0126,false
facet,UASF_0127,false
facet,UASF_0128,false
facet,UASF_0129,false
facet,UASF_0130,false
facet,UASF_0131,false
facet,UASF_0132,false
facet,UASF_0133,false
facet,UASF_0134,false
facet,UASF_0135,false
facet,UASF_0136,false
facet,UASF_0137,false
facet,UASF_0138,false
facet,UASF_0139,false
facet,UASF_0140,false
facet,UASF_0141,false
facet,UASF_0142,false
facet,UASF_0143,false
facet,UASF_0144,false
facet,UASF_0145,false
facet,UASF_0146,false
facet,UASF_0147,false
facet,UASF_0148,false
facet,UASF_0149,false
facet,UASF_0150,false
facet,UASF_0151,false
facet,UASF_0152,false
facet,UASF_0153,false
facet,UASF_0154,false
facet,UASF_0155,false
facet,UASF_0156,false
facet,UASF_0157,false
facet,UASF_0158,false
facet,UASF_0159,false
facet,UASF_0160,false
facet,UASF_0161,false
facet,UASF_0162,false
facet,UASF_0163,false
facet,UASF_0164,false
facet,UASF_0165,false
facet,UASF_0166,false
facet,UASF_0167,false
facet,UASF_0168,false
facet,UASF_0169,false
facet,UASF_0170,false
facet,UASF_0171,false
facet,UASF_0172,false
facet,UASF_0173,false
facet,UASF_0174,false
facet,UASF_0175,false
facet,UASF_0176,false
facet,UASF_0177,false
facet,UASF_0178,false
facet,UASF_0179,true
facet,UASF_0180,true
facet,UASF_0181,true
facet,UASF_0182,true
facet,UASF_0183,false
facet,UASF_0184,false
facet,UASF_0185,false
facet,UASF_0186,false
facet,UASF_0187,false
facet,UASF_0188,false
facet,UASF_0189,false
facet,UASF_0190,false
facet,UASF_0191,false
facet,UASF_0192,false
facet,UASF_0193,false
facet,UASF_0194,false
facet,UASF_0195,false
facet,UASF_0196,false
facet,UASF_0197,false
facet,UASF_0198,false
facet,UASF_0199,false
facet,UASF_0200,false
facet,UASF_0201,false
facet,UASF_0202,false
facet,UASF_0203,false
facet,UASF_0204,false
facet,UASF_0205,false
facet,UASF_0206,false
facet,UASF_0207,false
facet,UASF_0208,false
facet,UASF_0209,false
facet,UASF_0210,false
facet,UASF_0211,false
facet,UASF_0212,false
facet,UASF_0213,false
facet,UASF_0214,false
facet,UASF_0215,false
facet,UASF_0216,false
facet,UASF_0217,true
facet,UASF_0218,false
facet,UASF_0219,true
facet,UASF_0220,true
facet,UASF_0221,true
facet,UASF_0222,false
facet,UASF_0223,false
facet,UASF_0224,true
facet,UASF_0225,true
facet,UASF_0226,false
facet,UASF_0227,false
facet,UASF_0228,false
facet,UASF_0229,false
facet,UASF_0230,false
facet,UASF_0231,false
facet,UASF_0232,false
facet,UASF_0233,false
facet,UASF_0234,false
facet,UASF_0235,false
facet,UASF_0236,true
facet,UASF_0237,false
facet,UASF_0238,false
facet,UASF_0239,false
facet,UASF_0240,false
facet,UASF_0241,false
facet,UASF_0242,false
facet,UASF_0243,false
facet,UASF_0244,false
facet,UASF_0245,false
facet,UASF_0246,false
facet,UASF_0247,false
facet,UASF_0248,false
facet,UASF_0249,false
facet,UASF_0250,false
facet,UASF_0251,false
facet,UASF_0252,false
facet,UASF_0253,false
facet,UASF_0254,false
facet,UASF_0255,false
facet,UASF_0256,false
facet,UASF_0257,false
facet,UASF_0258,false
facet,UASF_0259,false
facet,UASF_0260,false
facet,UASF_0261,false
facet,UASF_0262,false
facet,UASF_0263,false
facet,UASF_0264,false
facet,UASF_0265,false
facet,UASF_0266,false
facet,UASF_0267,false
facet,UASF_0268,false
facet,UASF_0269,false
facet,UASF_0270,false
facet,UASF_0271,false
facet,UASF_0272,false
facet,UASF_0273,false
facet,UASF_0274,false
facet,UASF_0275,false
facet,UASF_0276,false
facet,UASF_0277,false
facet,UASF_0278,false
facet,UASF_0279,false
facet,UASF_0280,false
facet,UASF_0281,false
facet,UASF_0282,false
facet,UASF_0283,false
facet,UASF_0284,false
facet,UASF_0285,false
facet,UASF_0286,false
facet,UASF_0287,false
facet,UASF_0288,false
facet,UASF_0289,false
facet,UASF_0290,false
facet,UASF_0291,false
facet,UASF_0292,false
facet,UASF_0293,false
facet,UASF_0294,false
facet,UASF_0295,false
facet,UASF_0296,false
facet,UASF_0297,false
facet,UASF_0298,false
facet,UASF_0299,false
facet,UASF_0300,false
facet,UASF_0301,false
facet,UASF_0302,false
facet,UASF_0303,false
facet,UASF_0304,true
facet,UASF_0305,false
facet,UASF_0306,false
facet,UASF_0307,false
facet,UASF_0308,false
facet,UASF_0309,false
facet,UASF_0310,false
facet,UASF_0311,false
facet,UASF_0312,false
facet,UASF_0313,false
facet,UASF_0314,false
facet,UASF_0315,false
facet,UASF_0316,false
facet,UASF_0317,false
facet,UASF_0318,false
facet,UASF_0319,false
facet,UASF_0320,false
facet,UASF_0321,false
facet,UASF_0322,false
facet,UASF_0323,false
facet,UASF_0324,false
facet,UASF_0325,false
facet,UASF_0326,false
facet,UASF_0327,false
facet,UASF_0328,false
facet,UASF_0329,false
facet,UASF_0330,false
facet,UASF_0331,false
facet,UASF_0332,false
facet,UASF_0333,false
facet,UASF_0334,false
field,id,true
field,kind,true
field,source_span,true
field,semantic_facets,true
field,attributes,true
field,extensions,true
field,scope_id,true
field,binding_refs,true
field,name,true
field,symbol,false
field,type_ref,true
field,type_origin,true
field,type_shape,false
field,value_category,false
field,operation,true
field,value,true
field,operands,true
field,results,false
field,callee,true
field,arguments,true
field,parameters,true
field,receiver,false
field,body,true
field,condition,true
field,branches,true
field,pattern,false
field,members,true
field,constraints,false
field,conversion,false
field,dispatch,true
field,candidates,true
field,effects,true
field,evaluation_order,true
field,initialization_order,false
field,exception_model,true
field,unwind,false
field,ownership,true
field,lifetime,true
field,provenance,false
field,storage,false
field,memory_model,false
field,memory_order,false
field,synchronization,false
field,concurrency_contract,false
field,coroutine_state,false
field,compiletime_contract,false
field,compiletime_value,false
field,module,false
field,linkage,false
field,layout,false
field,abi_contract,false
field,calling_convention,false
field,lowering,false
field,runtime_contract,false
field,validation,false
field,language_contract,false
field,dialect,false
