canonical_semantic_id,element_type,element_id
UASF_0096,facet,UASF_0096
UASF_0097,facet,UASF_0097
UASF_0098,facet,UASF_0098
UASF_0099,facet,UASF_0099
UASF_0100,facet,UASF_0100
UASF_0101,facet,UASF_0101
UASF_0102,facet,UASF_0102
UASF_0103,facet,UASF_0103
UASF_0104,facet,UASF_0104
UASF_0105,facet,UASF_0105
UASF_0106,facet,UASF_0106
UASF_0107,facet,UASF_0107
UASF_0108,facet,UASF_0108
UASF_0109,facet,UASF_0109
UASF_0110,facet,UASF_0110
UASF_0111,facet,UASF_0111
UASF_0112,facet,UASF_0112
UASF_0113,facet,UASF_0113
UASF_0114,facet,UASF_0114
UASF_0115,facet,UASF_0115
UASF_0116,facet,UASF_0116
UASF_0117,facet,UASF_0117
UASF_0118,facet,UASF_0118
UASF_0119,facet,UASF_0119
UASF_0120,facet,UASF_0120
UASF_0121,facet,UASF_0121
UASF_0122,facet,UASF_0122
UASF_0123,facet,UASF_0123
UASF_0124,facet,UASF_0124
UASF_0125,facet,UASF_0125
UASF_0126,facet,UASF_0126
UASF_0127,facet,UASF_0127
UASF_0128,facet,UASF_0128
UASF_0129,facet,UASF_0129
UASF_0130,facet,UASF_0130
UASF_0131,facet,UASF_0131
UASF_0132,facet,UASF_0132
UASF_0133,facet,UASF_0133
UASF_0134,facet,UASF_0134
UASF_0135,facet,UASF_0135
UASF_0136,facet,UASF_0136
UASF_0137,facet,UASF_0137
UASF_0138,facet,UASF_0138
UASF_0139,facet,UASF_0139
UASF_0140,facet,UASF_0140
UASF_0141,facet,UASF_0141
UASF_0142,facet,UASF_0142
UASF_0143,facet,UASF_0143
UASF_0144,facet,UASF_0144
UASF_0145,facet,UASF_0145
UASF_0146,facet,UASF_0146
UASF_0147,facet,UASF_0147
UASF_0148,facet,UASF_0148
UASF_0149,facet,UASF_0149
UASF_0150,facet,UASF_0150
UASF_0151,facet,UASF_0151
UASF_0152,facet,UASF_0152
UASF_0153,facet,UASF_0153
UASF_0154,facet,UASF_0154
UASF_0155,facet,UASF_0155
UASF_0156,facet,UASF_0156
UASF_0157,facet,UASF_0157
UASF_0158,facet,UASF_0158
UASF_0159,facet,UASF_0159
UASF_0160,facet,UASF_0160
UASF_0161,facet,UASF_0161
UASF_0162,facet,UASF_0162
UASF_0163,facet,UASF_0163
UASF_0164,facet,UASF_0164
UASF_0165,facet,UASF_0165
UASF_0166,facet,UASF_0166
UASF_0167,facet,UASF_0167
UASF_0168,facet,UASF_0168
UASF_0169,facet,UASF_0169
UASF_0170,facet,UASF_0170
UASF_0171,facet,UASF_0171
UASF_0172,facet,UASF_0172
UASF_0173,facet,UASF_0173
UASF_0174,facet,UASF_0174
UASF_0175,facet,UASF_0175
UASF_0176,facet,UASF_0176
UASF_0177,facet,UASF_0177
UASF_0178,facet,UASF_0178
UASF_0179,facet,UASF_0179
UASF_0180,facet,UASF_0180
UASF_0181,facet,UASF_0181
UASF_0182,facet,UASF_0182
UASF_0183,facet,UASF_0183
UASF_0184,facet,UASF_0184
UASF_0185,facet,UASF_0185
UASF_0186,facet,UASF_0186
UASF_0187,facet,UASF_0187
UASF_0188,facet,UASF_0188
UASF_0189,facet,UASF_0189
UASF_0190,facet,UASF_0190
UASF_0191,facet,UASF_0191
UASF_0192,facet,UASF_0192
UASF_0193,facet,UASF_0193
UASF_0194,facet,UASF_0194
UASF_0195,facet,UASF_0195
UASF_0196,facet,UASF_0196
UASF_0197,facet,UASF_0197
UASF_0198,facet,UASF_0198
UASF_0199,facet,UASF_0199
UASF_0200,facet,UASF_0200
UASF_0201,facet,UASF_0201
UASF_0202,facet,UASF_0202
UASF_0203,facet,UASF_0203
UASF_0204,facet,UASF_0204
UASF_0205,facet,UASF_0205
UASF_0206,facet,UASF_0206
UASF_0207,facet,UASF_0207
UASF_0208,facet,UASF_0208
UASF_0209,facet,UASF_0209
UASF_0210,facet,UASF_0210
UASF_0211,facet,UASF_0211
UASF_0212,facet,UASF_0212
UASF_0213,facet,UASF_0213
UASF_0214,facet,UASF_0214
UASF_0215,facet,UASF_0215
UASF_0216,facet,UASF_0216
UASF_0217,facet,UASF_0217
UASF_0218,facet,UASF_0218
UASF_0219,facet,UASF_0219
UASF_0220,facet,UASF_0220
UASF_0221,facet,UASF_0221
UASF_0222,facet,UASF_0222
UASF_0223,facet,UASF_0223
UASF_0224,facet,UASF_0224
UASF_0225,facet,UASF_0225
UASF_0226,facet,UASF_0226
UASF_0227,facet,UASF_0227
UASF_0228,facet,UASF_0228
UASF_0229,facet,UASF_0229
UASF_0230,facet,UASF_0230
UASF_0231,facet,UASF_0231
UASF_0232,facet,UASF_0232
UASF_0233,facet,UASF_0233
UASF_0234,facet,UASF_0234
UASF_0235,facet,UASF_0235
UASF_0236,facet,UASF_0236
UASF_0237,facet,UASF_0237
UASF_0238,facet,UASF_0238
UASF_0239,facet,UASF_0239
UASF_0240,facet,UASF_0240
UASF_0241,facet,UASF_0241
UASF_0242,facet,UASF_0242
UASF_0243,facet,UASF_0243
UASF_0244,facet,UASF_0244
UASF_0245,facet,UASF_0245
UASF_0246,facet,UASF_0246
UASF_0247,facet,UASF_0247
UASF_0248,facet,UASF_0248
UASF_0249,facet,UASF_0249
UASF_0250,facet,UASF_0250
UASF_0251,facet,UASF_0251
UASF_0252,facet,UASF_0252
UASF_0253,facet,UASF_0253
UASF_0254,facet,UASF_0254
UASF_0255,facet,UASF_0255
UASF_0256,facet,UASF_0256
UASF_0257,facet,UASF_0257
UASF_0258,facet,UASF_0258
UASF_0259,facet,UASF_0259
UASF_0260,facet,UASF_0260
UASF_0261,facet,UASF_0261
UASF_0262,facet,UASF_0262
UASF_0263,facet,UASF_0263
UASF_0264,facet,UASF_0264
UASF_0265,facet,UASF_0265
UASF_0266,facet,UASF_0266
UASF_0267,facet,UASF_0267
UASF_0268,facet,UASF_0268
UASF_0269,facet,UASF_0269
UASF_0270,facet,UASF_0270
UASF_0271,facet,UASF_0271
UASF_0272,facet,UASF_0272
UASF_0273,facet,UASF_0273
UASF_0274,facet,UASF_0274
UASF_0275,facet,UASF_0275
UASF_0276,facet,UASF_0276
UASF_0277,facet,UASF_0277
UASF_0278,facet,UASF_0278
UASF_0279,facet,UASF_0279
UASF_0280,facet,UASF_0280
UASF_0281,facet,UASF_0281
UASF_0282,facet,UASF_0282
UASF_0283,facet,UASF_0283
UASF_0284,facet,UASF_0284
UASF_0285,facet,UASF_0285
UASF_0286,facet,UASF_0286
UASF_0287,facet,UASF_0287
UASF_0288,facet,UASF_0288
UASF_0289,facet,UASF_0289
UASF_0290,facet,UASF_0290
UASF_0291,facet,UASF_0291
UASF_0292,facet,UASF_0292
UASF_0293,facet,UASF_0293
UASF_0294,facet,UASF_0294
UASF_0295,facet,UASF_0295
UASF_0296,facet,UASF_0296
UASF_0297,facet,UASF_0297
UASF_0298,facet,UASF_0298
UASF_0299,facet,UASF_0299
UASF_0300,facet,UASF_0300
UASF_0301,facet,UASF_0301
UASF_0302,facet,UASF_0302
UASF_0303,facet,UASF_0303
UASF_0304,facet,UASF_0304
UASF_0305,facet,UASF_0305
UASF_0306,facet,UASF_0306
UASF_0307,facet,UASF_0307
UASF_0308,facet,UASF_0308
UASF_0309,facet,UASF_0309
UASF_0310,facet,UASF_0310
UASF_0311,facet,UASF_0311
UASF_0312,facet,UASF_0312
UASF_0313,facet,UASF_0313
UASF_0314,facet,UASF_0314
UASF_0315,facet,UASF_0315
UASF_0316,facet,UASF_0316
UASF_0317,facet,UASF_0317
UASF_0318,facet,UASF_0318
UASF_0319,facet,UASF_0319
UASF_0320,facet,UASF_0320
UASF_0321,facet,UASF_0321
UASF_0322,facet,UASF_0322
UASF_0323,facet,UASF_0323
UASF_0324,facet,UASF_0324
UASF_0325,facet,UASF_0325
UASF_0326,facet,UASF_0326
UASF_0327,facet,UASF_0327
UASF_0328,facet,UASF_0328
UASF_0329,facet,UASF_0329
UASF_0330,facet,UASF_0330
UASF_0331,facet,UASF_0331
UASF_0332,facet,UASF_0332
UASF_0333,facet,UASF_0333
UASF_0334,facet,UASF_0334
UASF_0010,structure,ForeignDeclCall
UASF_0022,structure,ForeignDeclCall
UASF_0023,structure,ABIContract
UASF_0024,structure,MemoryManagement
UASF_0024,structure,SafetyRegion
UASF_0025,structure,LayoutContract
UASF_0026,structure,OwnershipSemantics
UASF_0033,structure,SafetyRegion
UASF_0033,structure,UnsafeIntrinsic
UASF_0047,structure,BindingResolution
UASF_0048,structure,CaptureRelation
UASF_0049,structure,Binding
UASF_0049,structure,ShadowingRelation
UASF_0050,structure,LifetimeRegion
UASF_0051,structure,Scope
UASF_0054,structure,ForEachStmt
UASF_0064,structure,TypeSwitchStmt
UASF_0075,structure,VariableDeclGroup
UASF_0076,structure,TupleResult
UASF_0086,structure,EmbeddedField
UASF_0086,structure,MethodDecl
UASF_0086,structure,MethodExpr
UASF_0086,structure,MethodValue
UASF_0118,structure,CompileTimeEval
UASF_0119,structure,MacroCompileTime
UASF_0120,structure,OptimizationFact
UASF_0121,structure,ExecutionModel
UASF_0122,structure,IRFact
UASF_0122,structure,LoweringFact
UASF_0142,structure,SelectStmt
UASF_0142,structure,SpawnStmt
UASF_0144,structure,ChannelType
UASF_0144,structure,CloseOp
UASF_0144,structure,ReceiveExpr
UASF_0144,structure,SendStmt
UASF_0147,structure,MemoryModelContract
UASF_0151,structure,ConcurrencyOp
UASF_0152,structure,ChannelTypeOp
UASF_0153,structure,ConcurrencyOp
UASF_0153,structure,SynchronizationOp
UASF_0154,structure,AtomicOp
UASF_0155,structure,MemoryModelContract
UASF_0168,structure,DeferStmt
UASF_0168,structure,PanicRecover
UASF_0177,structure,TypeAssertExpr
UASF_0178,structure,SwitchMatchStmt
UASF_0179,structure,ForEachStmt
UASF_0180,structure,BreakStmt
UASF_0180,structure,ContinueStmt
UASF_0180,structure,GotoLabelStmt
UASF_0181,structure,ReturnStmt
UASF_0182,structure,IfStmt
UASF_0182,structure,LoopStmt
UASF_0183,structure,DeferCleanupStmt
UASF_0183,structure,RaisePanicStmt
UASF_0183,structure,TryStmt
UASF_0203,structure,TypeConstraint
UASF_0203,structure,TypeInferenceFact
UASF_0204,structure,DispatchResolution
UASF_0205,structure,FunctionType
UASF_0205,structure,MapType
UASF_0206,structure,UnionVariantType
UASF_0207,structure,PointerType
UASF_0207,structure,ReferenceType
UASF_0208,structure,ArraySliceType
UASF_0208,structure,BoolType
UASF_0208,structure,FloatType
UASF_0208,structure,IntegerType
UASF_0208,structure,OptionalType
UASF_0208,structure,StringType
UASF_0208,structure,TupleType
UASF_0208,structure,TypeRelation
UASF_0214,structure,MapIndexExpr
UASF_0214,structure,MapType
UASF_0217,structure,ClosureExpr
UASF_0218,structure,ComprehensionExpr
UASF_0219,structure,BindingPattern
UASF_0219,structure,MemberAccessExpr
UASF_0219,structure,SymbolRef
UASF_0220,structure,AssignStmt
UASF_0221,structure,CallExpr
UASF_0222,structure,AwaitExpr
UASF_0223,structure,YieldExpr
UASF_0224,structure,AggregateExpr
UASF_0224,structure,LiteralExpr
UASF_0224,structure,TupleExpr
UASF_0225,structure,AggregateExpr
UASF_0225,structure,IndexExpr
UASF_0225,structure,OperationExpr
UASF_0225,structure,SliceExpr
UASF_0226,structure,ConvertExpr
UASF_0231,structure,AddressOf
UASF_0231,structure,Deref
UASF_0231,structure,PointerType
UASF_0231,structure,SliceExpr
UASF_0231,structure,SliceType
UASF_0236,structure,NilLiteral
UASF_0254,structure,Effect
UASF_0255,structure,Effect
UASF_0256,structure,DispatchSemantics
UASF_0257,structure,Effect
UASF_0258,structure,Effect
UASF_0259,structure,ReflectionOp
UASF_0291,structure,InterfaceType
UASF_0291,structure,MethodSet
UASF_0301,structure,Annotation
UASF_0302,structure,ConstantDecl
UASF_0303,structure,VariableDecl
UASF_0304,structure,ImportDecl
UASF_0304,structure,ModuleDecl
UASF_0304,structure,ParameterDecl
UASF_0305,structure,GenericParamDecl
UASF_0306,structure,FunctionDecl
UASF_0307,structure,InterfaceTypeDecl
UASF_0308,structure,RecordTypeDecl
UASF_0309,structure,VariantTypeDecl
UASF_0310,structure,Visibility
UASF_0311,structure,NominalTypeDecl
UASF_0334,structure,GenericParam
UASF_0334,structure,Instantiation
UASF_0334,structure,TypeSet
UASF_0001,relation,linkage.links
UASF_0002,relation,dialect.requires
UASF_0002,relation,operation.kind
UASF_0003,relation,dialect.requires
UASF_0005,relation,runtime.requires
UASF_0006,relation,conversion.converts
UASF_0007,relation,conversion.converts
UASF_0007,relation,runtime.requires
UASF_0008,relation,conversion.converts
UASF_0008,relation,runtime.requires
UASF_0009,relation,conversion.converts
UASF_0009,relation,operation.kind
UASF_0010,relation,abi.calls
UASF_0010,relation,dialect.requires
UASF_0010,relation,effect.has
UASF_0010,relation,memory.aliases
UASF_0010,relation,memory.borrows
UASF_0010,relation,memory.owns
UASF_0010,relation,storage.resides_in
UASF_0011,relation,dialect.requires
UASF_0011,relation,runtime.requires
UASF_0013,relation,operation.kind
UASF_0014,relation,runtime.requires
UASF_0015,relation,operation.kind
UASF_0015,relation,runtime.requires
UASF_0018,relation,runtime.requires
UASF_0020,relation,operation.kind
UASF_0021,relation,operation.kind
UASF_0021,relation,runtime.requires
UASF_0022,relation,abi.calls
UASF_0022,relation,effect.has
UASF_0023,relation,abi.calls
UASF_0023,relation,type.constraint
UASF_0023,relation,type.convert
UASF_0023,relation,type.has
UASF_0023,relation,type.origin
UASF_0023,relation,type.parameter
UASF_0024,relation,effect.has
UASF_0024,relation,memory.aliases
UASF_0024,relation,memory.borrows
UASF_0024,relation,memory.owns
UASF_0024,relation,storage.resides_in
UASF_0025,relation,layout.field
UASF_0025,relation,type.constraint
UASF_0025,relation,type.convert
UASF_0025,relation,type.has
UASF_0025,relation,type.origin
UASF_0025,relation,type.parameter
UASF_0026,relation,lifetime.outlives
UASF_0026,relation,memory.aliases
UASF_0026,relation,memory.borrows
UASF_0026,relation,memory.owns
UASF_0026,relation,storage.resides_in
UASF_0027,relation,runtime.requires
UASF_0030,relation,operation.kind
UASF_0030,relation,runtime.requires
UASF_0031,relation,operation.kind
UASF_0032,relation,runtime.requires
UASF_0033,relation,dialect.requires
UASF_0033,relation,layout.field
UASF_0033,relation,memory.aliases
UASF_0033,relation,memory.borrows
UASF_0033,relation,memory.owns
UASF_0033,relation,storage.resides_in
UASF_0034,relation,dialect.requires
UASF_0034,relation,validation.proves
UASF_0037,relation,operation.kind
UASF_0037,relation,runtime.requires
UASF_0038,relation,operation.kind
UASF_0039,relation,runtime.requires
UASF_0042,relation,operation.kind
UASF_0044,relation,runtime.requires
UASF_0046,relation,runtime.requires
UASF_0047,relation,binding.declares
UASF_0047,relation,binding.refers
UASF_0047,relation,binding.shadows
UASF_0047,relation,name.resolves
UASF_0048,relation,binding.declares
UASF_0048,relation,binding.refers
UASF_0048,relation,binding.shadows
UASF_0048,relation,capture.captures
UASF_0048,relation,name.resolves
UASF_0049,relation,binding.declares
UASF_0049,relation,binding.refers
UASF_0049,relation,binding.shadows
UASF_0049,relation,name.resolves
UASF_0049,relation,scope.parent
UASF_0050,relation,lifetime.outlives
UASF_0050,relation,memory.aliases
UASF_0050,relation,memory.borrows
UASF_0050,relation,memory.owns
UASF_0050,relation,storage.resides_in
UASF_0051,relation,scope.parent
UASF_0052,relation,type.origin
UASF_0053,relation,conversion.converts
UASF_0053,relation,type.origin
UASF_0054,relation,binding.declares
UASF_0054,relation,binding.refers
UASF_0054,relation,binding.shadows
UASF_0054,relation,control.false
UASF_0054,relation,control.loop_back
UASF_0054,relation,control.next
UASF_0054,relation,control.true
UASF_0054,relation,data.def_use
UASF_0054,relation,data.operand
UASF_0054,relation,data.result
UASF_0054,relation,name.resolves
UASF_0055,relation,evaluation.before
UASF_0057,relation,runtime.requires
UASF_0058,relation,evaluation.before
UASF_0059,relation,evaluation.before
UASF_0060,relation,operation.kind
UASF_0063,relation,type.origin
UASF_0064,relation,binding.declares
UASF_0064,relation,binding.refers
UASF_0064,relation,binding.shadows
UASF_0064,relation,control.false
UASF_0064,relation,control.loop_back
UASF_0064,relation,control.next
UASF_0064,relation,control.true
UASF_0064,relation,name.resolves
UASF_0064,relation,type.constraint
UASF_0064,relation,type.convert
UASF_0064,relation,type.has
UASF_0064,relation,type.origin
UASF_0064,relation,type.parameter
UASF_0065,relation,conversion.converts
UASF_0065,relation,evaluation.before
UASF_0065,relation,operation.kind
UASF_0066,relation,conversion.converts
UASF_0066,relation,evaluation.before
UASF_0066,relation,operation.kind
UASF_0066,relation,runtime.requires
UASF_0067,relation,conversion.converts
UASF_0067,relation,operation.kind
UASF_0068,relation,conversion.converts
UASF_0068,relation,type.origin
UASF_0069,relation,evaluation.before
UASF_0069,relation,runtime.requires
UASF_0070,relation,operation.kind
UASF_0071,relation,evaluation.before
UASF_0072,relation,evaluation.before
UASF_0072,relation,runtime.requires
UASF_0073,relation,evaluation.before
UASF_0074,relation,operation.kind
UASF_0075,relation,binding.declares
UASF_0075,relation,binding.refers
UASF_0075,relation,binding.shadows
UASF_0075,relation,data.def_use
UASF_0075,relation,data.operand
UASF_0075,relation,data.result
UASF_0075,relation,name.resolves
UASF_0075,relation,scope.parent
UASF_0076,relation,binding.declares
UASF_0076,relation,binding.refers
UASF_0076,relation,binding.shadows
UASF_0076,relation,data.def_use
UASF_0076,relation,data.operand
UASF_0076,relation,data.result
UASF_0076,relation,name.resolves
UASF_0076,relation,type.constraint
UASF_0076,relation,type.convert
UASF_0076,relation,type.has
UASF_0076,relation,type.origin
UASF_0076,relation,type.parameter
UASF_0077,relation,dialect.requires
UASF_0077,relation,runtime.requires
UASF_0078,relation,dialect.requires
UASF_0079,relation,dialect.requires
UASF_0079,relation,runtime.requires
UASF_0081,relation,operation.kind
UASF_0081,relation,runtime.requires
UASF_0082,relation,evaluation.before
UASF_0083,relation,evaluation.before
UASF_0083,relation,operation.kind
UASF_0083,relation,runtime.requires
UASF_0084,relation,linkage.links
UASF_0084,relation,validation.proves
UASF_0085,relation,operation.kind
UASF_0086,relation,binding.declares
UASF_0086,relation,binding.refers
UASF_0086,relation,binding.shadows
UASF_0086,relation,dispatch.resolves
UASF_0086,relation,name.resolves
UASF_0086,relation,operation.kind
UASF_0086,relation,overload.candidate
UASF_0086,relation,type.constraint
UASF_0086,relation,type.convert
UASF_0086,relation,type.has
UASF_0086,relation,type.origin
UASF_0086,relation,type.parameter
UASF_0087,relation,name.resolves
UASF_0089,relation,operation.kind
UASF_0090,relation,runtime.requires
UASF_0091,relation,type.origin
UASF_0093,relation,operation.kind
UASF_0093,relation,runtime.requires
UASF_0094,relation,operation.kind
UASF_0095,relation,operation.kind
UASF_0096,relation,type.origin
UASF_0097,relation,runtime.requires
UASF_0098,relation,runtime.requires
UASF_0101,relation,evaluation.before
UASF_0102,relation,dialect.requires
UASF_0105,relation,operation.kind
UASF_0107,relation,operation.kind
UASF_0108,relation,initialization.before
UASF_0108,relation,validation.proves
UASF_0111,relation,runtime.requires
UASF_0112,relation,runtime.requires
UASF_0114,relation,conversion.converts
UASF_0116,relation,dialect.requires
UASF_0117,relation,dialect.requires
UASF_0118,relation,compiletime.depends
UASF_0118,relation,data.def_use
UASF_0118,relation,data.operand
UASF_0118,relation,data.result
UASF_0118,relation,dialect.requires
UASF_0119,relation,compiletime.depends
UASF_0119,relation,dialect.requires
UASF_0120,relation,contract.requires
UASF_0120,relation,dialect.requires
UASF_0120,relation,lowering.requires
UASF_0121,relation,dialect.requires
UASF_0121,relation,runtime.requires
UASF_0122,relation,dialect.requires
UASF_0122,relation,lowering.requires
UASF_0123,relation,dialect.requires
UASF_0124,relation,dialect.requires
UASF_0124,relation,runtime.requires
UASF_0125,relation,dialect.requires
UASF_0126,relation,dialect.requires
UASF_0126,relation,runtime.requires
UASF_0127,relation,evaluation.before
UASF_0127,relation,operation.kind
UASF_0127,relation,runtime.requires
UASF_0129,relation,runtime.requires
UASF_0131,relation,type.origin
UASF_0132,relation,operation.kind
UASF_0133,relation,template.instantiates
UASF_0135,relation,preprocessor.expands
UASF_0136,relation,runtime.requires
UASF_0137,relation,template.instantiates
UASF_0138,relation,type.origin
UASF_0139,relation,evaluation.before
UASF_0139,relation,runtime.requires
UASF_0140,relation,evaluation.before
UASF_0140,relation,operation.kind
UASF_0141,relation,evaluation.before
UASF_0142,relation,concurrency.atomic_order
UASF_0142,relation,concurrency.communicates
UASF_0142,relation,concurrency.spawns
UASF_0142,relation,concurrency.synchronizes
UASF_0142,relation,control.false
UASF_0142,relation,control.loop_back
UASF_0142,relation,control.next
UASF_0142,relation,control.true
UASF_0142,relation,effect.has
UASF_0143,relation,operation.kind
UASF_0143,relation,runtime.requires
UASF_0144,relation,concurrency.atomic_order
UASF_0144,relation,concurrency.communicates
UASF_0144,relation,concurrency.spawns
UASF_0144,relation,concurrency.synchronizes
UASF_0144,relation,data.def_use
UASF_0144,relation,data.operand
UASF_0144,relation,data.result
UASF_0144,relation,effect.has
UASF_0145,relation,runtime.requires
UASF_0146,relation,operation.kind
UASF_0147,relation,concurrency.atomic_order
UASF_0147,relation,concurrency.communicates
UASF_0147,relation,concurrency.spawns
UASF_0147,relation,concurrency.synchronizes
UASF_0147,relation,memory.aliases
UASF_0147,relation,memory.borrows
UASF_0147,relation,memory.owns
UASF_0147,relation,storage.resides_in
UASF_0148,relation,runtime.requires
UASF_0151,relation,concurrency.atomic_order
UASF_0151,relation,concurrency.communicates
UASF_0151,relation,concurrency.spawns
UASF_0151,relation,concurrency.synchronizes
UASF_0151,relation,control.false
UASF_0151,relation,control.loop_back
UASF_0151,relation,control.next
UASF_0151,relation,control.true
UASF_0152,relation,concurrency.atomic_order
UASF_0152,relation,concurrency.communicates
UASF_0152,relation,concurrency.spawns
UASF_0152,relation,concurrency.synchronizes
UASF_0152,relation,data.def_use
UASF_0152,relation,data.operand
UASF_0152,relation,data.result
UASF_0152,relation,effect.has
UASF_0153,relation,concurrency.atomic_order
UASF_0153,relation,concurrency.communicates
UASF_0153,relation,concurrency.spawns
UASF_0153,relation,concurrency.synchronizes
UASF_0153,relation,effect.has
UASF_0154,relation,concurrency.atomic_order
UASF_0154,relation,concurrency.communicates
UASF_0154,relation,concurrency.spawns
UASF_0154,relation,concurrency.synchronizes
UASF_0154,relation,effect.has
UASF_0154,relation,memory.aliases
UASF_0154,relation,memory.borrows
UASF_0154,relation,memory.owns
UASF_0154,relation,storage.resides_in
UASF_0155,relation,concurrency.atomic_order
UASF_0155,relation,concurrency.communicates
UASF_0155,relation,concurrency.spawns
UASF_0155,relation,concurrency.synchronizes
UASF_0155,relation,memory.aliases
UASF_0155,relation,memory.borrows
UASF_0155,relation,memory.owns
UASF_0155,relation,storage.resides_in
UASF_0156,relation,storage.resides_in
UASF_0157,relation,conversion.converts
UASF_0157,relation,evaluation.before
UASF_0157,relation,operation.kind
UASF_0157,relation,runtime.requires
UASF_0158,relation,coroutine.suspends
UASF_0159,relation,coroutine.suspends
UASF_0159,relation,operation.kind
UASF_0161,relation,evaluation.before
UASF_0162,relation,evaluation.before
UASF_0163,relation,evaluation.before
UASF_0164,relation,evaluation.before
UASF_0165,relation,evaluation.before
UASF_0165,relation,operation.kind
UASF_0166,relation,evaluation.before
UASF_0167,relation,type.origin
UASF_0168,relation,control.false
UASF_0168,relation,control.loop_back
UASF_0168,relation,control.next
UASF_0168,relation,control.true
UASF_0168,relation,effect.has
UASF_0169,relation,evaluation.before
UASF_0170,relation,evaluation.before
UASF_0170,relation,runtime.requires
UASF_0171,relation,runtime.requires
UASF_0172,relation,evaluation.before
UASF_0173,relation,evaluation.before
UASF_0173,relation,runtime.requires
UASF_0175,relation,operation.kind
UASF_0176,relation,runtime.requires
UASF_0177,relation,control.false
UASF_0177,relation,control.loop_back
UASF_0177,relation,control.next
UASF_0177,relation,control.true
UASF_0177,relation,effect.has
UASF_0177,relation,type.constraint
UASF_0177,relation,type.convert
UASF_0177,relation,type.has
UASF_0177,relation,type.origin
UASF_0177,relation,type.parameter
UASF_0178,relation,binding.declares
UASF_0178,relation,binding.refers
UASF_0178,relation,binding.shadows
UASF_0178,relation,control.false
UASF_0178,relation,control.loop_back
UASF_0178,relation,control.next
UASF_0178,relation,control.true
UASF_0178,relation,data.def_use
UASF_0178,relation,data.operand
UASF_0178,relation,data.result
UASF_0178,relation,evaluation.before
UASF_0178,relation,name.resolves
UASF_0179,relation,binding.declares
UASF_0179,relation,binding.refers
UASF_0179,relation,binding.shadows
UASF_0179,relation,control.false
