"source_feature_id","canonical_semantic_id"
"uast.evidence.UASF_0271","UASF_0271"
"uast.evidence.UASF_0272","UASF_0272"
"uast.evidence.UASF_0273","UASF_0273"
"uast.evidence.UASF_0274","UASF_0274"
"uast.evidence.UASF_0275","UASF_0275"
"uast.evidence.UASF_0276","UASF_0276"
"uast.evidence.UASF_0277","UASF_0277"
"uast.evidence.UASF_0278","UASF_0278"
"uast.evidence.UASF_0279","UASF_0279"
"uast.evidence.UASF_0280","UASF_0280"
"uast.evidence.UASF_0281","UASF_0281"
"uast.evidence.UASF_0282","UASF_0282"
"uast.evidence.UASF_0283","UASF_0283"
"uast.evidence.UASF_0284","UASF_0284"
"uast.evidence.UASF_0285","UASF_0285"
"uast.evidence.UASF_0286","UASF_0286"
"uast.evidence.UASF_0287","UASF_0287"
"uast.evidence.UASF_0288","UASF_0288"
"uast.evidence.UASF_0289","UASF_0289"
"uast.evidence.UASF_0290","UASF_0290"
"uast.evidence.UASF_0291","UASF_0291"
"uast.evidence.UASF_0292","UASF_0292"
"uast.evidence.UASF_0293","UASF_0293"
"uast.evidence.UASF_0294","UASF_0294"
"uast.evidence.UASF_0295","UASF_0295"
"uast.evidence.UASF_0296","UASF_0296"
"uast.evidence.UASF_0297","UASF_0297"
"uast.evidence.UASF_0298","UASF_0298"
"uast.evidence.UASF_0299","UASF_0299"
"uast.evidence.UASF_0300","UASF_0300"
"uast.evidence.UASF_0301","UASF_0301"
"uast.evidence.UASF_0302","UASF_0302"
"uast.evidence.UASF_0303","UASF_0303"
"uast.evidence.UASF_0304","UASF_0304"
"uast.evidence.UASF_0305","UASF_0305"
"uast.evidence.UASF_0306","UASF_0306"
"uast.evidence.UASF_0307","UASF_0307"
"uast.evidence.UASF_0308","UASF_0308"
"uast.evidence.UASF_0309","UASF_0309"
"uast.evidence.UASF_0310","UASF_0310"
"uast.evidence.UASF_0311","UASF_0311"
"uast.evidence.UASF_0312","UASF_0312"
"uast.evidence.UASF_0313","UASF_0313"
"uast.evidence.UASF_0314","UASF_0314"
"uast.evidence.UASF_0315","UASF_0315"
"uast.evidence.UASF_0316","UASF_0316"
"uast.evidence.UASF_0317","UASF_0317"
"uast.evidence.UASF_0318","UASF_0318"
"uast.evidence.UASF_0319","UASF_0319"
"uast.evidence.UASF_0320","UASF_0320"
"uast.evidence.UASF_0321","UASF_0321"
"uast.evidence.UASF_0322","UASF_0322"
"uast.evidence.UASF_0323","UASF_0323"
"uast.evidence.UASF_0324","UASF_0324"
"uast.evidence.UASF_0325","UASF_0325"
"uast.evidence.UASF_0326","UASF_0326"
"uast.evidence.UASF_0327","UASF_0327"
"uast.evidence.UASF_0328","UASF_0328"
"uast.evidence.UASF_0329","UASF_0329"
"uast.evidence.UASF_0330","UASF_0330"
"uast.evidence.UASF_0331","UASF_0331"
"uast.evidence.UASF_0332","UASF_0332"
"uast.evidence.UASF_0333","UASF_0333"
"uast.evidence.UASF_0334","UASF_0334"
"julia.official.ast.macro","UASF_0119"
"julia.official.ast.comprehension","UASF_0218"
"julia.official.ast.constant","UASF_0302"
"julia.official.ast.generic","UASF_0305"
"julia.official.ast.function","UASF_0306"
"julia.official.ast.struct","UASF_0308"
"julia.official.ast.ffi","UASF_0022"
"julia.official.ast.scope","UASF_0051"
"julia.official.runtime.task_async","UASF_0151"
"julia.official.ast.control","UASF_0182"
"julia.official.ast.closure","UASF_0217"
"julia.official.ast.imports","UASF_0304"
"nim.official.ast.ownership","UASF_0026"
"nim.official.ast.compile_time_eval","UASF_0118"
"nim.official.ast.macro","UASF_0119"
"nim.official.ast.defer_exception_try_throw","UASF_0183"
"nim.official.ast.pointer_reference","UASF_0207"
"nim.official.ast.closure_lambda","UASF_0217"
"nim.official.ast.yield","UASF_0223"
"nim.official.ast.import_module_parameter","UASF_0304"
"nim.official.ast.generic","UASF_0305"
"nim.official.ast.function","UASF_0306"
"nim.official.ast.struct","UASF_0308"
"nim.official.ast.enum","UASF_0309"
"swift.official.ast.capture","UASF_0048"
"swift.official.ast.task_async","UASF_0151"
"swift.official.ast.for_if_while","UASF_0182"
"swift.official.ast.defer_exception_try_throw","UASF_0183"
"swift.official.ast.core_type_family","UASF_0208"
"swift.official.ast.closure_lambda","UASF_0217"
"swift.official.ast.identifier_member_pattern","UASF_0219"
"swift.official.ast.await","UASF_0222"
"swift.official.ast.attribute_annotation","UASF_0301"
"swift.official.ast.import_module_parameter","UASF_0304"
"swift.official.ast.generic","UASF_0305"
"swift.official.ast.function","UASF_0306"
"swift.official.ast.interface_trait","UASF_0307"
"swift.official.ast.struct","UASF_0308"
"swift.official.ast.enum","UASF_0309"
"swift.official.ast.class","UASF_0311"
"zig.official.ast.ffi","UASF_0022"
"zig.official.ast.compile_time_eval","UASF_0118"
"zig.official.ast.lock_mutex_thread","UASF_0153"
"zig.official.ast.atomic","UASF_0154"
"zig.official.ast.switch_match","UASF_0178"
"zig.official.ast.union_sum","UASF_0206"
"zig.official.ast.identifier_member_pattern","UASF_0219"
"zig.official.ast.generic","UASF_0305"
"zig.official.ast.function","UASF_0306"
"zig.official.ast.struct","UASF_0308"
"zig.official.ast.enum","UASF_0309"
