source_id,language_id,source_type,title,semantic_scope,url,notes
PY_REF,python,OFFICIAL_SPEC_REFERENCE,Python Language Reference,"Core syntax and semantics: data/execution model, expressions, statements, imports, grammar",https://docs.python.org/3/reference/index.html,
PY_MODERNE,python,EXTERNAL_SEMANTIC_TREE,Moderne semantic code analysis for Python,"Type-attributed lossless semantic tree, symbols/imports/control/data flow",https://moderne.ai/blog/semantic-code-analysis-for-python,Independent semantic-analysis architecture; not normative Python semantics.
PY_K,python,EXECUTABLE_FORMAL_SEMANTICS_HISTORICAL,Python semantics in K,Executable Python 3.x semantics,https://github.com/runtimeverification/python-semantics,Old Python version; use only as historical/formal cross-check.
R_LANG,r,OFFICIAL_REFERENCE,The R Language Definition,"Objects, evaluation, lazy promises, lexical environments, functions, OOP, metaprogramming, FFI, exceptions",https://stat.ethz.ch/R-manual/R-devel/doc/manual/R-lang.html,
RUST_REF,rust,OFFICIAL_REFERENCE,The Rust Reference,"Types, expressions, evaluation order, ownership-related language rules, traits, async, unsafe",https://doc.rust-lang.org/reference/,
RUST_EXEC,rust,OFFICIAL_EXECUTABLE_SPEC_PROJECT,End-to-End Executable Rust Specification,Official project connecting surface Rust to a-mir-formality and MiniRust,https://goals.rust-lang.org/2026/executable-spec.html,"Work in progress, not yet a complete source of truth."
SWIFT_BOOK,swift,OFFICIAL_REFERENCE,The Swift Programming Language,"Types, expressions, statements, memory safety, ARC, generics, errors, concurrency",https://docs.swift.org/swift-book/,
SWIFT_COMP,swift,OFFICIAL_COMPILER_DOC,Swift Compiler,Parser → semantic analysis/type-checking → SIL pipeline,https://www.swift.org/documentation/swift-compiler/,
SWIFT_SIL,swift,OFFICIAL_COMPILER_IR_SEMANTICS,Swift SIL,SSA IR with high-level Swift semantic information,https://github.com/swiftlang/swift/blob/main/docs/SIL/SIL.md,
ZIG_REF,zig,OFFICIAL_REFERENCE,Zig Language Reference,"Types, result-location semantics, errors, comptime, pointers, safety, atomics",https://ziglang.org/documentation/master/,
ZIG_SEMA,zig,OFFICIAL_COMPILER_SOURCE,Zig Sema,Compiler semantic analysis implementation,https://github.com/ziglang/zig/blob/master/src/Sema.zig,"Implementation evidence, not independently normative."
SWIFT_DECL,swift,OFFICIAL_REFERENCE,The Swift Programming Language: Declarations,"Parameter ownership modifiers including inout, borrowing and consuming",https://docs.swift.org/swift-book/documentation/the-swift-programming-language/declarations/,Current Swift ownership evidence; use with SIL/compiler docs for lowering/lifetime details.
