source_feature_id,language_id,evidence_channel,canonical_semantic_id,feature_signature_hash,uasf_signature_hash,basis_ones,exact,proof_state
GEN::foreach_iteration,generic_archetype,BASE_553_MATRIX,UASF_0179,06ae2752ed8fd3562903adfe,06ae2752ed8fd3562903adfe,7,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::function,generic_archetype,BASE_553_MATRIX,UASF_0306,0f91236fdd0ed345b0a276af,0f91236fdd0ed345b0a276af,7,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::function_type,generic_archetype,BASE_553_MATRIX,UASF_0205,426d68a8056035791f029f38,426d68a8056035791f029f38,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::gc,generic_archetype,BASE_553_MATRIX,UASF_0024,acf430bac7f64c0e0806da12,acf430bac7f64c0e0806da12,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::generic,generic_archetype,BASE_553_MATRIX,UASF_0305,e8ffd62e377d38921949adb5,e8ffd62e377d38921949adb5,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::generic_constraint,generic_archetype,BASE_553_MATRIX,UASF_0203,3f4e01c3d746ace77d81b354,3f4e01c3d746ace77d81b354,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::global_state,generic_archetype,BASE_553_MATRIX,UASF_0254,3cbc85a3e79c78cfba7fedc0,3cbc85a3e79c78cfba7fedc0,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::goto_label,generic_archetype,BASE_553_MATRIX,UASF_0180,9a20140a5d94d0d8f5e12865,9a20140a5d94d0d8f5e12865,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::identifier,generic_archetype,BASE_553_MATRIX,UASF_0219,c48411c54f834b0de90fa36d,c48411c54f834b0de90fa36d,6,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::if,generic_archetype,BASE_553_MATRIX,UASF_0182,fcac79eee22c686af6710555,fcac79eee22c686af6710555,6,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::import,generic_archetype,BASE_553_MATRIX,UASF_0304,c72d002443e4ccfddcb1b062,c72d002443e4ccfddcb1b062,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::index,generic_archetype,BASE_553_MATRIX,UASF_0225,d736949578be84548ee2b56a,d736949578be84548ee2b56a,6,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::interface_trait,generic_archetype,BASE_553_MATRIX,UASF_0307,d55748e5eb21569dcfc8bb78,d55748e5eb21569dcfc8bb78,6,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::io,generic_archetype,BASE_553_MATRIX,UASF_0257,fd5014865f92d9be3cefe5d5,fd5014865f92d9be3cefe5d5,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::ir,generic_archetype,BASE_553_MATRIX,UASF_0122,8b6704b210b3d423c65d72fb,8b6704b210b3d423c65d72fb,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::layout_alignment,generic_archetype,BASE_553_MATRIX,UASF_0025,18db470974c3f098e84e247a,18db470974c3f098e84e247a,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::lifetime,generic_archetype,BASE_553_MATRIX,UASF_0050,8086172bbdcd700a3963cfd3,8086172bbdcd700a3963cfd3,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::literal_boolean,generic_archetype,BASE_553_MATRIX,UASF_0224,8049537a16da09c6e3ec9a29,8049537a16da09c6e3ec9a29,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::literal_null,generic_archetype,BASE_553_MATRIX,UASF_0224,8049537a16da09c6e3ec9a29,8049537a16da09c6e3ec9a29,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::literal_numeric,generic_archetype,BASE_553_MATRIX,UASF_0224,8049537a16da09c6e3ec9a29,8049537a16da09c6e3ec9a29,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::literal_string,generic_archetype,BASE_553_MATRIX,UASF_0224,8049537a16da09c6e3ec9a29,8049537a16da09c6e3ec9a29,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::lock_mutex,generic_archetype,BASE_553_MATRIX,UASF_0153,4168ca234d1b70a835e93a30,4168ca234d1b70a835e93a30,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::macro,generic_archetype,BASE_553_MATRIX,UASF_0119,d134de24dda5d14244339054,d134de24dda5d14244339054,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::manual_memory,generic_archetype,BASE_553_MATRIX,UASF_0024,acf430bac7f64c0e0806da12,acf430bac7f64c0e0806da12,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::map_dict,generic_archetype,BASE_553_MATRIX,UASF_0225,d736949578be84548ee2b56a,d736949578be84548ee2b56a,6,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::map_type,generic_archetype,BASE_553_MATRIX,UASF_0205,426d68a8056035791f029f38,426d68a8056035791f029f38,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::member_access,generic_archetype,BASE_553_MATRIX,UASF_0219,c48411c54f834b0de90fa36d,c48411c54f834b0de90fa36d,6,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::memory_model,generic_archetype,BASE_553_MATRIX,UASF_0155,d2c0ebab0136120caa0f9664,d2c0ebab0136120caa0f9664,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::module,generic_archetype,BASE_553_MATRIX,UASF_0304,c72d002443e4ccfddcb1b062,c72d002443e4ccfddcb1b062,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::mutation,generic_archetype,BASE_553_MATRIX,UASF_0255,ec5500f6d80ab96bd5964f69,ec5500f6d80ab96bd5964f69,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::name_resolution,generic_archetype,BASE_553_MATRIX,UASF_0047,c48e1d875d0fb48a333ce5a9,c48e1d875d0fb48a333ce5a9,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::network,generic_archetype,BASE_553_MATRIX,UASF_0257,fd5014865f92d9be3cefe5d5,fd5014865f92d9be3cefe5d5,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::optimizer,generic_archetype,BASE_553_MATRIX,UASF_0120,bd2233433f8ede40b3a441a1,bd2233433f8ede40b3a441a1,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::optional_nullable,generic_archetype,BASE_553_MATRIX,UASF_0208,2580720804b128a9e11ffeb7,2580720804b128a9e11ffeb7,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::overload_resolution,generic_archetype,BASE_553_MATRIX,UASF_0204,65a2506bfab2de2100e15385,65a2506bfab2de2100e15385,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::ownership,generic_archetype,BASE_553_MATRIX,UASF_0026,d44197ed802dae09fe6a3d6d,d44197ed802dae09fe6a3d6d,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::parameter,generic_archetype,BASE_553_MATRIX,UASF_0304,c72d002443e4ccfddcb1b062,c72d002443e4ccfddcb1b062,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::pattern,generic_archetype,BASE_553_MATRIX,UASF_0219,c48411c54f834b0de90fa36d,c48411c54f834b0de90fa36d,6,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::pointer,generic_archetype,BASE_553_MATRIX,UASF_0207,46f352d872cf0bd64c8e241c,46f352d872cf0bd64c8e241c,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::primitive_bool,generic_archetype,BASE_553_MATRIX,UASF_0208,2580720804b128a9e11ffeb7,2580720804b128a9e11ffeb7,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::primitive_float,generic_archetype,BASE_553_MATRIX,UASF_0208,2580720804b128a9e11ffeb7,2580720804b128a9e11ffeb7,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::primitive_integer,generic_archetype,BASE_553_MATRIX,UASF_0208,2580720804b128a9e11ffeb7,2580720804b128a9e11ffeb7,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::primitive_string,generic_archetype,BASE_553_MATRIX,UASF_0208,2580720804b128a9e11ffeb7,2580720804b128a9e11ffeb7,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::random,generic_archetype,BASE_553_MATRIX,UASF_0257,fd5014865f92d9be3cefe5d5,fd5014865f92d9be3cefe5d5,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::reference,generic_archetype,BASE_553_MATRIX,UASF_0207,46f352d872cf0bd64c8e241c,46f352d872cf0bd64c8e241c,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::reflection,generic_archetype,BASE_553_MATRIX,UASF_0259,b3efa007f0cdd1086e598b68,b3efa007f0cdd1086e598b68,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::return,generic_archetype,BASE_553_MATRIX,UASF_0181,8e56798ef79f91e11db58694,8e56798ef79f91e11db58694,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::scope,generic_archetype,BASE_553_MATRIX,UASF_0051,0bbb3f5899e065da053d98f4,0bbb3f5899e065da053d98f4,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::set,generic_archetype,BASE_553_MATRIX,UASF_0224,8049537a16da09c6e3ec9a29,8049537a16da09c6e3ec9a29,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::shadowing,generic_archetype,BASE_553_MATRIX,UASF_0049,9cf8b2f1787c2fcbddb3421d,9cf8b2f1787c2fcbddb3421d,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::slice,generic_archetype,BASE_553_MATRIX,UASF_0225,d736949578be84548ee2b56a,d736949578be84548ee2b56a,6,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::struct,generic_archetype,BASE_553_MATRIX,UASF_0308,dce263f569bf18cc23e5ba00,dce263f569bf18cc23e5ba00,6,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::subtyping,generic_archetype,BASE_553_MATRIX,UASF_0208,2580720804b128a9e11ffeb7,2580720804b128a9e11ffeb7,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::switch_match,generic_archetype,BASE_553_MATRIX,UASF_0178,f3c5b99ae15ccabce04a1c58,f3c5b99ae15ccabce04a1c58,6,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::symbol_table,generic_archetype,BASE_553_MATRIX,UASF_0049,9cf8b2f1787c2fcbddb3421d,9cf8b2f1787c2fcbddb3421d,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::task_async,generic_archetype,BASE_553_MATRIX,UASF_0151,fd98eb582c5c936ce6622807,fd98eb582c5c936ce6622807,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::thread,generic_archetype,BASE_553_MATRIX,UASF_0153,4168ca234d1b70a835e93a30,4168ca234d1b70a835e93a30,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::throw_raise,generic_archetype,BASE_553_MATRIX,UASF_0183,8c4c024aa055000ef0cf02eb,8c4c024aa055000ef0cf02eb,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::time,generic_archetype,BASE_553_MATRIX,UASF_0257,fd5014865f92d9be3cefe5d5,fd5014865f92d9be3cefe5d5,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::tuple,generic_archetype,BASE_553_MATRIX,UASF_0224,8049537a16da09c6e3ec9a29,8049537a16da09c6e3ec9a29,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::tuple_type,generic_archetype,BASE_553_MATRIX,UASF_0208,2580720804b128a9e11ffeb7,2580720804b128a9e11ffeb7,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::type_inference,generic_archetype,BASE_553_MATRIX,UASF_0203,3f4e01c3d746ace77d81b354,3f4e01c3d746ace77d81b354,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::unary_op,generic_archetype,BASE_553_MATRIX,UASF_0225,d736949578be84548ee2b56a,d736949578be84548ee2b56a,6,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::union_sum,generic_archetype,BASE_553_MATRIX,UASF_0206,0894de76dfd27d09e1fd74c8,0894de76dfd27d09e1fd74c8,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::unsafe,generic_archetype,BASE_553_MATRIX,UASF_0024,acf430bac7f64c0e0806da12,acf430bac7f64c0e0806da12,5,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::variable,generic_archetype,BASE_553_MATRIX,UASF_0303,9e640e05cdaef6a046ddd8ad,9e640e05cdaef6a046ddd8ad,6,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::visibility,generic_archetype,BASE_553_MATRIX,UASF_0310,8e269d11885c3ca4e6043d66,8e269d11885c3ca4e6043d66,4,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::while,generic_archetype,BASE_553_MATRIX,UASF_0182,fcac79eee22c686af6710555,fcac79eee22c686af6710555,6,1,EXACT_SIGNATURE_EQUIVALENCE
GEN::yield,generic_archetype,BASE_553_MATRIX,UASF_0223,b16b1365970e2f93bcff177c,b16b1365970e2f93bcff177c,6,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_array_decay,c,BASE_553_MATRIX,UASF_0200,cd767798596f43952800b8af,cd767798596f43952800b8af,2,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_atomic_memory_order,c,BASE_553_MATRIX,UASF_0150,c9d8e5f9596c6edad098bd37,c9d8e5f9596c6edad098bd37,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_bitfields,c,BASE_553_MATRIX,UASF_0035,f2e4387cc8c4dbe674d41c57,f2e4387cc8c4dbe674d41c57,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_char_signedness,c,BASE_553_MATRIX,UASF_0270,46f9ecce9dab87bad4567103,46f9ecce9dab87bad4567103,2,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_compound_literals,c,BASE_553_MATRIX,UASF_0313,0505fb09d22ccf2201746bf3,0505fb09d22ccf2201746bf3,2,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_designated_initializers,c,BASE_553_MATRIX,UASF_0266,abedaf44a726320d0852a6d2,abedaf44a726320d0852a6d2,2,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_effective_type_aliasing,c,BASE_553_MATRIX,UASF_0271,acae8d43bd16f0e2e6a23fea,acae8d43bd16f0e2e6a23fea,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_flexible_array_member,c,BASE_553_MATRIX,UASF_0040,029a3f16a50ad8d32bd3d7df,029a3f16a50ad8d32bd3d7df,2,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_function_pointer,c,BASE_553_MATRIX,UASF_0031,0c0c063308a3e13c35227d9d,0c0c063308a3e13c35227d9d,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_integer_promotions,c,BASE_553_MATRIX,UASF_0198,033995a4b4780a320ac6f0e6,033995a4b4780a320ac6f0e6,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_linkage,c,BASE_553_MATRIX,UASF_0276,dd97b86f127445bee795bbac,dd97b86f127445bee795bbac,2,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_pointer_arithmetic,c,BASE_553_MATRIX,UASF_0284,2ec04118791d41f5d5df6ca4,2ec04118791d41f5d5df6ca4,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_pointer_provenance,c,BASE_553_MATRIX,UASF_0271,acae8d43bd16f0e2e6a23fea,acae8d43bd16f0e2e6a23fea,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_qualifiers,c,BASE_553_MATRIX,UASF_0249,cb818fb5369c0c25ba1f04ca,cb818fb5369c0c25ba1f04ca,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_signed_overflow_ub,c,BASE_553_MATRIX,UASF_0273,b09becc22cbf7215e33711d9,b09becc22cbf7215e33711d9,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_storage_duration,c,BASE_553_MATRIX,UASF_0320,7e1575cb9e0da74cd9572980,7e1575cb9e0da74cd9572980,2,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_thread_local,c,BASE_553_MATRIX,UASF_0156,ccd612fa664def7907056248,ccd612fa664def7907056248,2,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_union_active_member,c,BASE_553_MATRIX,UASF_0272,4765dda3949f741e4e3bcdeb,4765dda3949f741e4e3bcdeb,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_unsigned_wrap,c,BASE_553_MATRIX,UASF_0194,3245f3ffd8f8f19669a5c2c9,3245f3ffd8f8f19669a5c2c9,2,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_unspecified_eval_order,c,BASE_553_MATRIX,UASF_0263,97f22b14ec7e55ea6bbe4037,97f22b14ec7e55ea6bbe4037,2,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_variadic,c,BASE_553_MATRIX,UASF_0006,f15ca0e35918e691d151b0ca,f15ca0e35918e691d151b0ca,2,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::c_vla,c,BASE_553_MATRIX,UASF_0264,9e9c06c5db9d7568a7d4bde7,9e9c06c5db9d7568a7d4bde7,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::clang_ast_semantic_nodes,c;cpp,BASE_553_MATRIX,UASF_0296,17e601cb5f22a46d03558e47,17e601cb5f22a46d03558e47,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::clang_cfg,c;cpp,BASE_553_MATRIX,UASF_0160,d82032d780408a5ad4bafc4b,d82032d780408a5ad4bafc4b,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::clang_codegen_lowering,c;cpp,BASE_553_MATRIX,UASF_0016,8de32ca3fe3cb9bd97125499,8de32ca3fe3cb9bd97125499,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::clang_sema_constraints,c;cpp,BASE_553_MATRIX,UASF_0332,72752e9a49444090aadb1344,72752e9a49444090aadb1344,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_abi_mangling,cpp,BASE_553_MATRIX,UASF_0001,b81611f5843c8c694b61b062,b81611f5843c8c694b61b062,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_access_friend,cpp,BASE_553_MATRIX,UASF_0293,826aeb0928a8646e6219efe8,826aeb0928a8646e6219efe8,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_adl,cpp,BASE_553_MATRIX,UASF_0292,cd7d093d527fccfe0a4f1aa0,cd7d093d527fccfe0a4f1aa0,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_attributes_pragmas,cpp,BASE_553_MATRIX,UASF_0034,a9e40163768344b127fe7926,a9e40163768344b127fe7926,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_auto_decltype,cpp,BASE_553_MATRIX,UASF_0333,508106690056132b05337f67,508106690056132b05337f67,2,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_co_await,cpp,BASE_553_MATRIX,UASF_0210,1f326b8d0ff9fa9f10d31686,1f326b8d0ff9fa9f10d31686,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_co_yield,cpp,BASE_553_MATRIX,UASF_0159,552151f13e75c63c02ae4312,552151f13e75c63c02ae4312,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_concepts_constraints,cpp,BASE_553_MATRIX,UASF_0134,2021393f18b1b27d352deaf4,2021393f18b1b27d352deaf4,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_consteval_constinit,cpp,BASE_553_MATRIX,UASF_0108,0658841da50ee8f518cb8a19,0658841da50ee8f518cb8a19,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_constexpr,cpp,BASE_553_MATRIX,UASF_0107,e7cc617f03fa4314b0815856,e7cc617f03fa4314b0815856,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_copy_move,cpp,BASE_553_MATRIX,UASF_0318,b7cbd510ed3498e9dc81d101,b7cbd510ed3498e9dc81d101,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_coroutine_lowering,cpp,BASE_553_MATRIX,UASF_0158,d814baa745afd1812237831c,d814baa745afd1812237831c,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_ctor_initialization_order,cpp,BASE_553_MATRIX,UASF_0267,d9325113ba3e00859504afaa,d9325113ba3e00859504afaa,2,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_exceptions,cpp,BASE_553_MATRIX,UASF_0262,23fbbbda1258f99a54a73201,23fbbbda1258f99a54a73201,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_fold_expressions,cpp,BASE_553_MATRIX,UASF_0316,cee7d48dad32cecf523f710f,cee7d48dad32cecf523f710f,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_impl_defined,cpp,BASE_553_MATRIX,UASF_0269,edac265b16b76d399c44704c,edac265b16b76d399c44704c,2,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_include_model,cpp,BASE_553_MATRIX,UASF_0290,e1ef6d6c8690b979ca74c372,e1ef6d6c8690b979ca74c372,2,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_inheritance,cpp,BASE_553_MATRIX,UASF_0039,2383286a76d018f5f8f7b93b,2383286a76d018f5f8f7b93b,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_lambdas_capture,cpp,BASE_553_MATRIX,UASF_0106,cf94f5e61affdb795b061b24,cf94f5e61affdb795b061b24,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_member_pointers,cpp,BASE_553_MATRIX,UASF_0038,1add65c60acc5f8b606ddb8b,1add65c60acc5f8b606ddb8b,3,1,EXACT_SIGNATURE_EQUIVALENCE
CPP::cpp_modules,cpp,BASE_553_MATRIX,UASF_0275,9e14421721da69ed79be7a2c,9e14421721da69ed79be7a2c,3,1,EXACT_SIGNATURE_EQUIVALENCE
