canonical_semantic_id,source_feature_count,language_count,languages,basis_ones,independently_corroborated_basis_ones,has_lowering_axis,proof_compression_state,corroborated_basis_ids
UASF_0040,1,2,c;cpp,2,1,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_042
UASF_0041,2,1,java,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_004;BASIS_008;BASIS_037
UASF_0042,1,1,r,6,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_004;BASIS_030;BASIS_037
UASF_0043,1,1,rust,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_004;BASIS_032;BASIS_042
UASF_0044,2,1,r,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_004;BASIS_036;BASIS_037
UASF_0045,1,1,csharp,3,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_004
UASF_0046,1,1,r,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_004;BASIS_036;BASIS_037
UASF_0047,5,13,c;cpp;csharp;go;java;julia;kotlin;nim;python;r;rust;swift;zig,4,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_004;BASIS_037;BASIS_047
UASF_0048,4,12,c;cpp;csharp;go;java;julia;kotlin;nim;python;r;rust;swift,5,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_004;BASIS_037;BASIS_047;BASIS_049
UASF_0049,6,13,c;cpp;csharp;go;java;julia;kotlin;nim;python;r;rust;swift;zig,5,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_004;BASIS_037;BASIS_047;BASIS_066
UASF_0050,2,10,c;cpp;csharp;go;java;kotlin;nim;python;r;rust,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_004;BASIS_037;BASIS_060
UASF_0051,5,12,cpp;csharp;go;java;julia;kotlin;nim;python;r;rust;swift;zig,4,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_004;BASIS_037;BASIS_066
UASF_0052,1,1,csharp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_004;BASIS_041
UASF_0053,15,1,kotlin,6,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_009;BASIS_037;BASIS_041;BASIS_042
UASF_0054,1,1,go,6,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_008;BASIS_047;BASIS_054
UASF_0055,1,1,rust,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_008;BASIS_015;BASIS_028
UASF_0056,1,1,rust,4,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_008;BASIS_032
UASF_0057,1,1,rust,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_008;BASIS_032;BASIS_036
UASF_0058,1,1,rust,4,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_008;BASIS_014;BASIS_015
UASF_0059,1,1,rust,4,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_008;BASIS_015;BASIS_028
UASF_0060,2,1,csharp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_008;BASIS_030
UASF_0061,1,1,rust,4,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_008;BASIS_032;BASIS_042
UASF_0062,1,1,csharp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_008;BASIS_037
UASF_0063,1,1,csharp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_008;BASIS_041
UASF_0064,1,1,go,6,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_008;BASIS_042;BASIS_047;BASIS_054
UASF_0065,13,1,kotlin,7,7,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_009;BASIS_011;BASIS_015;BASIS_030;BASIS_037;BASIS_042
UASF_0066,7,1,java,7,7,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_009;BASIS_015;BASIS_030;BASIS_036;BASIS_037;BASIS_042
UASF_0067,3,1,csharp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_009;BASIS_030
UASF_0068,2,1,csharp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_009;BASIS_041
UASF_0069,1,1,r,5,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_015;BASIS_036
UASF_0070,1,1,rust,6,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_023;BASIS_030;BASIS_032
UASF_0071,1,1,r,6,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_015;BASIS_028;BASIS_037
UASF_0072,1,1,r,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_015;BASIS_028;BASIS_036
UASF_0073,1,1,rust,4,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_015;BASIS_032
UASF_0074,1,1,rust,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_023;BASIS_030;BASIS_032
UASF_0075,1,1,go,6,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_037;BASIS_047;BASIS_066
UASF_0076,1,1,go,6,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_042;BASIS_047
UASF_0077,1,1,r,5,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_036;BASIS_037
UASF_0078,4,1,java,5,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_037;BASIS_042
UASF_0079,1,1,csharp,3,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_036
UASF_0080,1,1,csharp,3,1,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003
UASF_0081,1,1,r,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_030;BASIS_036;BASIS_037
UASF_0082,1,1,csharp,2,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_015
UASF_0083,1,1,r,5,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_015;BASIS_030;BASIS_036;BASIS_037
UASF_0084,1,2,c;cpp,3,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_043
UASF_0085,13,1,kotlin,6,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_023;BASIS_030;BASIS_037;BASIS_042
UASF_0086,2,1,go,7,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_030;BASIS_042;BASIS_047;BASIS_057
UASF_0087,1,2,c;cpp,3,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_037
UASF_0088,1,1,csharp,2,1,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003
UASF_0089,1,1,csharp,3,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_030
UASF_0090,8,1,java,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_036;BASIS_037;BASIS_042
UASF_0091,1,2,c;cpp,3,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_041
UASF_0092,1,1,rust,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_028;BASIS_032
UASF_0093,1,1,csharp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_030;BASIS_036
UASF_0094,1,1,csharp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_030;BASIS_037
UASF_0095,1,1,csharp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_030;BASIS_042
UASF_0096,1,1,rust,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_032;BASIS_041
UASF_0097,2,1,csharp,2,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_036
UASF_0098,2,1,csharp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_036;BASIS_042
UASF_0099,1,1,csharp,2,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_037
UASF_0100,1,1,csharp,2,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_003;BASIS_042
UASF_0101,3,1,kotlin,7,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_004;BASIS_011;BASIS_015;BASIS_028;BASIS_037
UASF_0102,1,1,rust,4,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_004;BASIS_006;BASIS_037
UASF_0103,1,1,rust,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_004;BASIS_006;BASIS_037
UASF_0104,1,1,csharp,3,2,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_004;BASIS_023
UASF_0105,1,1,rust,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_004;BASIS_030;BASIS_042
UASF_0106,1,2,c;cpp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_004;BASIS_032;BASIS_042
UASF_0107,1,2,c;cpp,3,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006;BASIS_030
UASF_0108,1,2,c;cpp,3,1,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_043
UASF_0109,1,1,csharp,2,1,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008
UASF_0110,4,1,kotlin,7,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_011;BASIS_037;BASIS_042
UASF_0111,3,1,java,6,4,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_022;BASIS_023;BASIS_036
UASF_0112,6,1,java,6,4,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_022;BASIS_036;BASIS_042
UASF_0113,1,1,rust,4,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006;BASIS_008;BASIS_042
UASF_0114,1,1,csharp,2,1,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_009
UASF_0115,1,1,csharp,3,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_011;BASIS_032
UASF_0116,1,1,csharp,2,0,0,INTERNAL_EXACT_ONLY,
UASF_0117,1,1,rust,4,1,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006
UASF_0118,2,10,c;cpp;csharp;go;java;kotlin;nim;python;r;rust,5,4,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006;BASIS_022;BASIS_050;BASIS_055
UASF_0119,4,12,c;cpp;csharp;go;java;julia;kotlin;nim;python;r;rust;swift,5,3,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006;BASIS_022;BASIS_050
UASF_0120,2,10,c;cpp;csharp;go;java;julia;kotlin;python;r;rust,5,2,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006;BASIS_022
UASF_0121,2,10,c;cpp;csharp;go;java;kotlin;nim;python;r;rust,5,2,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006;BASIS_022
UASF_0122,8,12,c;cpp;csharp;go;java;julia;kotlin;nim;python;r;rust;zig,4,2,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006;BASIS_022
UASF_0123,5,1,java,5,2,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_022;BASIS_042
UASF_0124,1,1,r,4,2,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006;BASIS_036
UASF_0125,1,1,rust,3,1,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006
UASF_0126,1,1,rust,3,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006;BASIS_036
UASF_0127,2,2,rust;zig,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006;BASIS_015;BASIS_030;BASIS_036
UASF_0128,1,1,csharp,2,0,0,INTERNAL_EXACT_ONLY,
UASF_0129,1,1,csharp,3,1,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_036
UASF_0130,2,1,rust,3,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006;BASIS_037
UASF_0131,2,1,rust,4,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006;BASIS_041;BASIS_042
UASF_0132,1,1,rust,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006;BASIS_030;BASIS_042
UASF_0133,1,2,c;cpp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006;BASIS_031;BASIS_040
UASF_0134,1,2,c;cpp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006;BASIS_031;BASIS_042
UASF_0135,2,2,c;cpp,2,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006;BASIS_034
UASF_0136,1,1,rust,4,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006;BASIS_036;BASIS_037;BASIS_042
UASF_0137,1,2,c;cpp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_006;BASIS_040;BASIS_042
UASF_0138,1,1,csharp,2,1,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_041
UASF_0139,4,1,kotlin,7,4,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_011;BASIS_015;BASIS_036
UASF_0140,1,1,rust,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_007;BASIS_008;BASIS_015;BASIS_030
UASF_0141,1,1,rust,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_007;BASIS_008;BASIS_015;BASIS_032
UASF_0142,2,1,go,6,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_007;BASIS_008;BASIS_051;BASIS_054
UASF_0143,1,1,rust,4,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_007;BASIS_008;BASIS_030;BASIS_036
UASF_0144,1,1,go,6,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_007;BASIS_051
UASF_0145,8,1,java,6,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_007;BASIS_013;BASIS_024;BASIS_036;BASIS_039
UASF_0146,1,1,rust,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_007;BASIS_024;BASIS_030;BASIS_039
UASF_0147,1,1,go,4,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_007;BASIS_023;BASIS_051
UASF_0148,1,1,rust,5,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_007;BASIS_023;BASIS_024;BASIS_036;BASIS_039
UASF_0149,1,1,rust,4,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_007;BASIS_024;BASIS_032;BASIS_042
UASF_0150,1,2,c;cpp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_007;BASIS_024;BASIS_039
UASF_0151,3,11,c;cpp;csharp;go;java;julia;kotlin;python;r;rust;swift,5,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_007;BASIS_024;BASIS_039;BASIS_051;BASIS_054
UASF_0152,2,10,c;cpp;csharp;go;java;julia;kotlin;python;r;rust,6,6,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_007;BASIS_024;BASIS_039;BASIS_051;BASIS_055;BASIS_058
UASF_0153,5,11,c;cpp;csharp;go;java;julia;kotlin;nim;python;r;rust,5,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_007;BASIS_024;BASIS_039;BASIS_051;BASIS_058
UASF_0154,3,11,c;cpp;csharp;go;java;julia;kotlin;python;r;rust;zig,6,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_007;BASIS_024;BASIS_039;BASIS_051;BASIS_058
UASF_0155,2,8,c;cpp;go;java;kotlin;python;rust;zig,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_007;BASIS_024;BASIS_039;BASIS_051
UASF_0156,1,2,c;cpp,2,1,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_007
UASF_0157,8,1,kotlin,7,7,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_009;BASIS_011;BASIS_015;BASIS_030;BASIS_036;BASIS_042
UASF_0158,1,2,c;cpp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_010;BASIS_029
UASF_0159,1,2,c;cpp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_010;BASIS_030
UASF_0160,1,2,c;cpp,3,1,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008
UASF_0161,1,1,rust,4,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_015
UASF_0162,1,1,rust,5,2,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_015
UASF_0163,10,2,java;kotlin,6,6,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_011;BASIS_014;BASIS_015;BASIS_028;BASIS_042
UASF_0164,1,1,rust,5,3,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_015;BASIS_042
UASF_0165,1,1,kotlin,5,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_011;BASIS_015;BASIS_030;BASIS_042
UASF_0166,1,1,rust,4,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_015;BASIS_042
UASF_0167,1,1,csharp,3,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_011;BASIS_041
UASF_0168,2,1,go,4,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_054
UASF_0169,1,1,r,4,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_014;BASIS_015
UASF_0170,5,2,java;kotlin,5,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_013;BASIS_014;BASIS_015;BASIS_036
UASF_0171,1,1,r,5,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_014;BASIS_036
UASF_0172,1,1,rust,4,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_015;BASIS_032
UASF_0173,1,1,rust,5,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_015;BASIS_032;BASIS_036
UASF_0174,1,1,csharp,3,1,1,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008
UASF_0175,1,1,csharp,3,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_030
UASF_0176,4,1,csharp,3,2,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_036
UASF_0177,1,1,go,6,3,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_042;BASIS_054
UASF_0178,4,12,c;cpp;csharp;go;java;kotlin;nim;python;r;rust;swift;zig,6,6,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_014;BASIS_015;BASIS_047;BASIS_054;BASIS_055
UASF_0179,1,8,cpp;csharp;go;java;kotlin;python;r;rust,7,7,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_014;BASIS_015;BASIS_047;BASIS_054;BASIS_055;BASIS_058
UASF_0180,11,12,cpp;csharp;go;java;julia;kotlin;nim;python;r;rust;swift;zig,4,4,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_014;BASIS_015;BASIS_054
UASF_0181,5,12,cpp;csharp;go;java;julia;kotlin;nim;python;r;rust;swift;zig,5,5,0,INTERNAL_EXACT+INDEPENDENT_CORROBORATION,BASIS_008;BASIS_014;BASIS_015;BASIS_054;BASIS_055
