external_atom_id,basis_id,basis_kind,dimension,mapping_strength
EXTSEM_BYREF_PARAMETER_FORM,BASIS_044,semantic_axis,value.category,CORROBORATING
EXTSEM_BYREF_PARAMETER_FORM,BASIS_023,semantic_axis,memory.model,CORROBORATING
EXTSEM_BYREF_PARAMETER_FORM,BASIS_032,semantic_axis,ownership.lifetime,CORROBORATING
EXTSEM_SINGLE_RECEIVER_DYNAMIC_DISPATCH,BASIS_057,relation_axis,dispatch.graph,DIRECT
EXTSEM_SINGLE_RECEIVER_DYNAMIC_DISPATCH,BASIS_036,semantic_axis,runtime.contract,CORROBORATING
EXTSEM_MULTIPLE_DISPATCH,BASIS_057,relation_axis,dispatch.graph,DIRECT
EXTSEM_MULTIPLE_DISPATCH,BASIS_031,semantic_axis,overload.resolution,CORROBORATING
EXTSEM_STRUCTURAL_INTERFACE_CONFORMANCE,BASIS_052,relation_axis,constraint.graph,DIRECT
EXTSEM_STRUCTURAL_INTERFACE_CONFORMANCE,BASIS_042,semantic_axis,types.structure,CORROBORATING
EXTSEM_NOMINAL_INHERITANCE,BASIS_067,relation_axis,types.graph,DIRECT
EXTSEM_NOMINAL_INHERITANCE,BASIS_042,semantic_axis,types.structure,CORROBORATING
EXTSEM_OPERATOR_OVERLOADING,BASIS_031,semantic_axis,overload.resolution,DIRECT
EXTSEM_OPERATOR_OVERLOADING,BASIS_030,semantic_axis,operations,CORROBORATING
EXTSEM_GENERICS,BASIS_042,semantic_axis,types.structure,CORROBORATING
EXTSEM_GENERICS,BASIS_040,semantic_axis,template.instantiation,CORROBORATING
EXTSEM_PATTERN_MATCHING,BASIS_008,semantic_axis,control.flow,CORROBORATING
EXTSEM_PATTERN_MATCHING,BASIS_054,relation_axis,control.flow,CORROBORATING
EXTSEM_PATTERN_MATCHING,BASIS_003,semantic_axis,binding.graph,CORROBORATING
EXTSEM_PATTERN_MATCHING,BASIS_047,relation_axis,binding.graph,CORROBORATING
EXTSEM_PATTERN_MATCHING,BASIS_028,semantic_axis,nodes.expression,CORROBORATING
EXTSEM_EXCEPTIONS,BASIS_016,semantic_axis,exception.unwind,CORROBORATING
EXTSEM_EXCEPTIONS,BASIS_014,semantic_axis,effects.control,DIRECT
EXTSEM_EXCEPTIONS,BASIS_008,semantic_axis,control.flow,CORROBORATING
EXTSEM_EXCEPTIONS,BASIS_054,relation_axis,control.flow,CORROBORATING
EXTSEM_CHECKED_ERROR_EFFECT,BASIS_013,semantic_axis,effect.graph,DIRECT
EXTSEM_CHECKED_ERROR_EFFECT,BASIS_058,relation_axis,effect.graph,DIRECT
EXTSEM_CHECKED_ERROR_EFFECT,BASIS_043,semantic_axis,validation.contract,DIRECT
EXTSEM_ERROR_VALUES_UNIONS,BASIS_042,semantic_axis,types.structure,CORROBORATING
EXTSEM_ERROR_VALUES_UNIONS,BASIS_008,semantic_axis,control.flow,CORROBORATING
EXTSEM_ERROR_VALUES_UNIONS,BASIS_054,relation_axis,control.flow,CORROBORATING
EXTSEM_STRUCTURED_CLEANUP,BASIS_014,semantic_axis,effects.control,DIRECT
EXTSEM_STRUCTURED_CLEANUP,BASIS_008,semantic_axis,control.flow,CORROBORATING
EXTSEM_STRUCTURED_CLEANUP,BASIS_054,relation_axis,control.flow,CORROBORATING
EXTSEM_STRUCTURED_CLEANUP,BASIS_029,semantic_axis,object.lifetime,CORROBORATING
EXTSEM_RAII_DESTRUCTORS,BASIS_029,semantic_axis,object.lifetime,DIRECT
EXTSEM_RAII_DESTRUCTORS,BASIS_032,semantic_axis,ownership.lifetime,DIRECT
EXTSEM_GARBAGE_COLLECTION,BASIS_023,semantic_axis,memory.model,DIRECT
EXTSEM_GARBAGE_COLLECTION,BASIS_036,semantic_axis,runtime.contract,CORROBORATING
EXTSEM_REFERENCE_COUNTING,BASIS_023,semantic_axis,memory.model,DIRECT
EXTSEM_REFERENCE_COUNTING,BASIS_029,semantic_axis,object.lifetime,DIRECT
EXTSEM_OWNERSHIP_BORROWING,BASIS_032,semantic_axis,ownership.lifetime,DIRECT
EXTSEM_OWNERSHIP_BORROWING,BASIS_063,relation_axis,ownership.graph,DIRECT
EXTSEM_OWNERSHIP_BORROWING,BASIS_060,relation_axis,lifetime.graph,CORROBORATING
EXTSEM_MANUAL_MEMORY,BASIS_023,semantic_axis,memory.model,DIRECT
EXTSEM_MANUAL_MEMORY,BASIS_029,semantic_axis,object.lifetime,CORROBORATING
EXTSEM_UNSAFE_ESCAPE,BASIS_043,semantic_axis,validation.contract,CORROBORATING
EXTSEM_UNSAFE_ESCAPE,BASIS_036,semantic_axis,runtime.contract,CORROBORATING
EXTSEM_CONCURRENCY_PRIMITIVES,BASIS_007,semantic_axis,concurrency.model,DIRECT
EXTSEM_CONCURRENCY_PRIMITIVES,BASIS_051,relation_axis,concurrency.graph,CORROBORATING
EXTSEM_ATOMICS_MEMORY_MODEL,BASIS_024,semantic_axis,memory.ordering,DIRECT
EXTSEM_ATOMICS_MEMORY_MODEL,BASIS_039,semantic_axis,synchronization,DIRECT
EXTSEM_ATOMICS_MEMORY_MODEL,BASIS_007,semantic_axis,concurrency.model,CORROBORATING
EXTSEM_CHANNELS,BASIS_039,semantic_axis,synchronization,CORROBORATING
EXTSEM_CHANNELS,BASIS_051,relation_axis,concurrency.graph,DIRECT
EXTSEM_ASYNC_AWAIT,BASIS_010,semantic_axis,coroutine.state_machine,DIRECT
EXTSEM_ASYNC_AWAIT,BASIS_008,semantic_axis,control.flow,CORROBORATING
EXTSEM_ASYNC_AWAIT,BASIS_054,relation_axis,control.flow,CORROBORATING
EXTSEM_ACTORS,BASIS_051,relation_axis,concurrency.graph,DIRECT
EXTSEM_ACTORS,BASIS_039,semantic_axis,synchronization,CORROBORATING
EXTSEM_STRUCTURED_CONCURRENCY,BASIS_051,relation_axis,concurrency.graph,DIRECT
EXTSEM_STRUCTURED_CONCURRENCY,BASIS_008,semantic_axis,control.flow,CORROBORATING
EXTSEM_STRUCTURED_CONCURRENCY,BASIS_054,relation_axis,control.flow,CORROBORATING
EXTSEM_MACROS,BASIS_034,semantic_axis,preprocessor.semantics,CORROBORATING
EXTSEM_MACROS,BASIS_006,semantic_axis,compiletime.semantics,CORROBORATING
EXTSEM_COMPILETIME_META,BASIS_006,semantic_axis,compiletime.semantics,DIRECT
EXTSEM_COMPILETIME_META,BASIS_050,relation_axis,compiletime.graph,CORROBORATING
EXTSEM_RUNTIME_REFLECTION,BASIS_036,semantic_axis,runtime.contract,CORROBORATING
EXTSEM_RUNTIME_REFLECTION,BASIS_041,semantic_axis,types.origin,CORROBORATING
EXTSEM_FFI,BASIS_001,semantic_axis,abi.ffi,DIRECT
EXTSEM_FFI,BASIS_045,relation_axis,abi.graph,CORROBORATING
EXTSEM_MODULE_SYSTEM,BASIS_025,semantic_axis,module.semantics,DIRECT
EXTSEM_MODULE_SYSTEM,BASIS_066,relation_axis,scope.graph,CORROBORATING
EXTSEM_UNDEFINED_BEHAVIOR,BASIS_019,semantic_axis,language.undefined_behavior,DIRECT
EXTSEM_ITERATORS_GENERATORS,BASIS_008,semantic_axis,control.flow,CORROBORATING
EXTSEM_ITERATORS_GENERATORS,BASIS_054,relation_axis,control.flow,CORROBORATING
EXTSEM_ITERATORS_GENERATORS,BASIS_010,semantic_axis,coroutine.state_machine,CORROBORATING
EXTSEM_SUM_VARIANTS,BASIS_042,semantic_axis,types.structure,DIRECT
EXTSEM_SUM_VARIANTS,BASIS_008,semantic_axis,control.flow,CORROBORATING
EXTSEM_SUM_VARIANTS,BASIS_054,relation_axis,control.flow,CORROBORATING
