state_id,language,rule,operators
S000823,c,comma_expression,CHOICE|FIELD|SEQ|STRING|SYMBOL
S000872,c,comment,CHOICE|PATTERN|SEQ|STRING|TOKEN
S000850,c,compound_literal_expression,FIELD|SEQ|STRING|SYMBOL
S000776,c,compound_statement,REPEAT|SEQ|STRING|SYMBOL
S000859,c,concatenated_string,CHOICE|PREC_RIGHT|REPEAT|SEQ|SYMBOL
S000824,c,conditional_expression,BLANK|CHOICE|FIELD|PREC_RIGHT|SEQ|STRING|SYMBOL
S000814,c,continue_statement,SEQ|STRING
S000730,c,declaration,BLANK|CHOICE|FIELD|REPEAT|SEQ|STRING|SYMBOL
S000748,c,declaration_list,REPEAT|SEQ|STRING|SYMBOL
S000809,c,do_statement,FIELD|SEQ|STRING|SYMBOL
S000805,c,else_clause,SEQ|STRING|SYMBOL
S000783,c,enum_specifier,BLANK|CHOICE|FIELD|SEQ|STRING|SYMBOL
S000792,c,enumerator,BLANK|CHOICE|FIELD|SEQ|STRING|SYMBOL
S000784,c,enumerator_list,ALIAS|BLANK|CHOICE|REPEAT|SEQ|STRING|SYMBOL
S000861,c,escape_sequence,CHOICE|PATTERN|PREC|SEQ|STRING|TOKEN
S000820,c,expression,CHOICE|SYMBOL
S000803,c,expression_statement,BLANK|CHOICE|SEQ|STRING|SYMBOL
S000847,c,extension_expression,SEQ|STRING|SYMBOL
S000864,c,false,CHOICE|STRING|TOKEN
S000789,c,field_declaration,BLANK|CHOICE|SEQ|STRING|SYMBOL
S000787,c,field_declaration_list,REPEAT|SEQ|STRING|SYMBOL
S000856,c,field_designator,SEQ|STRING|SYMBOL
S000849,c,field_expression,CHOICE|FIELD|PREC|SEQ|STRING|SYMBOL
S000810,c,for_statement,FIELD|SEQ|STRING|SYMBOL
S000765,c,function_declarator,ALIAS|BLANK|CHOICE|FIELD|PREC_RIGHT|REPEAT|SEQ|SYMBOL
S000728,c,function_definition,BLANK|CHOICE|FIELD|SEQ|SYMBOL
S000767,c,function_field_declarator,FIELD|PREC|SEQ|SYMBOL
S000768,c,function_type_declarator,FIELD|PREC|SEQ|SYMBOL
S000836,c,generic_expression,PREC|REPEAT|SEQ|STRING|SYMBOL
S000845,c,gnu_asm_clobber_list,BLANK|CHOICE|FIELD|REPEAT|SEQ|STRING|SYMBOL
S000839,c,gnu_asm_expression,BLANK|CHOICE|FIELD|PREC|REPEAT|SEQ|STRING|SYMBOL
S000846,c,gnu_asm_goto_list,BLANK|CHOICE|FIELD|REPEAT|SEQ|STRING|SYMBOL
S000844,c,gnu_asm_input_operand,BLANK|CHOICE|FIELD|SEQ|STRING|SYMBOL
S000843,c,gnu_asm_input_operand_list,BLANK|CHOICE|FIELD|REPEAT|SEQ|STRING|SYMBOL
S000842,c,gnu_asm_output_operand,BLANK|CHOICE|FIELD|SEQ|STRING|SYMBOL
S000841,c,gnu_asm_output_operand_list,BLANK|CHOICE|FIELD|REPEAT|SEQ|STRING|SYMBOL
S000840,c,gnu_asm_qualifier,CHOICE|STRING
S000815,c,goto_statement,FIELD|SEQ|STRING|SYMBOL
S000866,c,identifier,PATTERN
S000804,c,if_statement,BLANK|CHOICE|FIELD|PREC_RIGHT|SEQ|STRING|SYMBOL
S000775,c,init_declarator,CHOICE|FIELD|SEQ|STRING|SYMBOL
S000852,c,initializer_list,BLANK|CHOICE|REPEAT|SEQ|STRING|SYMBOL
S000853,c,initializer_pair,CHOICE|FIELD|REPEAT1|SEQ|STRING|SYMBOL
S000801,c,labeled_statement,CHOICE|FIELD|SEQ|STRING|SYMBOL
S000736,c,linkage_specification,CHOICE|FIELD|SEQ|STRING|SYMBOL
S000871,c,macro_type_specifier,FIELD|PREC_DYNAMIC|SEQ|STRING|SYMBOL
S000741,c,ms_based_modifier,SEQ|STRING|SYMBOL
S000742,c,ms_call_modifier,CHOICE|STRING
S000740,c,ms_declspec_modifier,SEQ|STRING|SYMBOL
S000747,c,ms_pointer_modifier,CHOICE|SYMBOL
S000743,c,ms_restrict_modifier,STRING
S000745,c,ms_signed_ptr_modifier,STRING
S000746,c,ms_unaligned_ptr_modifier,CHOICE|STRING
S000744,c,ms_unsigned_ptr_modifier,STRING
S000865,c,null,CHOICE|STRING
S000857,c,number_literal,BLANK|CHOICE|PATTERN|REPEAT|REPEAT1|SEQ|STRING|TOKEN
S000835,c,offsetof_expression,FIELD|PREC|SEQ|STRING|SYMBOL
S000796,c,parameter_declaration,BLANK|CHOICE|FIELD|REPEAT|SEQ|SYMBOL
S000794,c,parameter_list,BLANK|CHOICE|REPEAT|SEQ|STRING|SYMBOL
S000754,c,parenthesized_declarator,BLANK|CHOICE|PREC_DYNAMIC|SEQ|STRING|SYMBOL
S000851,c,parenthesized_expression,CHOICE|SEQ|STRING|SYMBOL
S000755,c,parenthesized_field_declarator,BLANK|CHOICE|PREC_DYNAMIC|SEQ|STRING|SYMBOL
S000756,c,parenthesized_type_declarator,BLANK|CHOICE|PREC_DYNAMIC|SEQ|STRING|SYMBOL
S000761,c,pointer_declarator,BLANK|CHOICE|FIELD|PREC_DYNAMIC|PREC_RIGHT|REPEAT|SEQ|STRING|SYMBOL
S000827,c,pointer_expression,CHOICE|FIELD|PREC_LEFT|SEQ|STRING|SYMBOL
S000762,c,pointer_field_declarator,BLANK|CHOICE|FIELD|PREC_DYNAMIC|PREC_RIGHT|REPEAT|SEQ|STRING|SYMBOL
S000763,c,pointer_type_declarator,BLANK|CHOICE|FIELD|PREC_DYNAMIC|PREC_RIGHT|REPEAT|SEQ|STRING|SYMBOL
S000719,c,preproc_arg,PATTERN|PREC|TOKEN
S000726,c,preproc_argument_list,BLANK|CHOICE|REPEAT|SEQ|STRING|SYMBOL
S000727,c,preproc_binary_expression,CHOICE|FIELD|PREC_LEFT|SEQ|STRING|SYMBOL
S000698,c,preproc_call,BLANK|CHOICE|FIELD|IMMEDIATE_TOKEN|PATTERN|SEQ|SYMBOL
S000725,c,preproc_call_expression,ALIAS|FIELD|PREC|SEQ|SYMBOL
S000695,c,preproc_def,ALIAS|BLANK|CHOICE|FIELD|IMMEDIATE_TOKEN|PATTERN|SEQ|SYMBOL
S000723,c,preproc_defined,CHOICE|PREC|SEQ|STRING|SYMBOL
S000720,c,preproc_directive,PATTERN
S000702,c,preproc_elif,ALIAS|BLANK|CHOICE|FIELD|PATTERN|PREC|REPEAT|SEQ|STRING|SYMBOL
S000712,c,preproc_elif_in_enumerator_list,ALIAS|BLANK|CHOICE|FIELD|PATTERN|PREC|REPEAT|SEQ|STRING|SYMBOL
S000717,c,preproc_elif_in_enumerator_list_no_comma,ALIAS|BLANK|CHOICE|FIELD|PATTERN|PREC|REPEAT|SEQ|STRING|SYMBOL
S000707,c,preproc_elif_in_field_declaration_list,ALIAS|BLANK|CHOICE|FIELD|PATTERN|PREC|REPEAT|SEQ|STRING|SYMBOL
S000703,c,preproc_elifdef,ALIAS|BLANK|CHOICE|FIELD|PATTERN|PREC|REPEAT|SEQ|SYMBOL
S000713,c,preproc_elifdef_in_enumerator_list,ALIAS|BLANK|CHOICE|FIELD|PATTERN|PREC|REPEAT|SEQ|STRING|SYMBOL
S000718,c,preproc_elifdef_in_enumerator_list_no_comma,ALIAS|BLANK|CHOICE|FIELD|PATTERN|PREC|REPEAT|SEQ|SYMBOL
S000708,c,preproc_elifdef_in_field_declaration_list,ALIAS|BLANK|CHOICE|FIELD|PATTERN|PREC|REPEAT|SEQ|SYMBOL
S000701,c,preproc_else,ALIAS|PATTERN|PREC|REPEAT|SEQ|SYMBOL
S000711,c,preproc_else_in_enumerator_list,ALIAS|PATTERN|PREC|REPEAT|SEQ|STRING|SYMBOL
S000716,c,preproc_else_in_enumerator_list_no_comma,ALIAS|PATTERN|PREC|REPEAT|SEQ|SYMBOL
S000706,c,preproc_else_in_field_declaration_list,ALIAS|PATTERN|PREC|REPEAT|SEQ|SYMBOL
S000696,c,preproc_function_def,ALIAS|BLANK|CHOICE|FIELD|IMMEDIATE_TOKEN|PATTERN|SEQ|SYMBOL
S000699,c,preproc_if,ALIAS|BLANK|CHOICE|FIELD|PATTERN|PREC|REPEAT|SEQ|STRING|SYMBOL
S000709,c,preproc_if_in_enumerator_list,ALIAS|BLANK|CHOICE|FIELD|PATTERN|PREC|REPEAT|SEQ|STRING|SYMBOL
S000714,c,preproc_if_in_enumerator_list_no_comma,ALIAS|BLANK|CHOICE|FIELD|PATTERN|PREC|REPEAT|SEQ|STRING|SYMBOL
S000704,c,preproc_if_in_field_declaration_list,ALIAS|BLANK|CHOICE|FIELD|PATTERN|PREC|REPEAT|SEQ|STRING|SYMBOL
S000700,c,preproc_ifdef,ALIAS|BLANK|CHOICE|FIELD|PATTERN|PREC|REPEAT|SEQ|SYMBOL
S000710,c,preproc_ifdef_in_enumerator_list,ALIAS|BLANK|CHOICE|FIELD|PATTERN|PREC|REPEAT|SEQ|STRING|SYMBOL
S000715,c,preproc_ifdef_in_enumerator_list_no_comma,ALIAS|BLANK|CHOICE|FIELD|PATTERN|PREC|REPEAT|SEQ|SYMBOL
S000705,c,preproc_ifdef_in_field_declaration_list,ALIAS|BLANK|CHOICE|FIELD|PATTERN|PREC|REPEAT|SEQ|SYMBOL
S000694,c,preproc_include,ALIAS|CHOICE|FIELD|IMMEDIATE_TOKEN|PATTERN|SEQ|SYMBOL
S000697,c,preproc_params,BLANK|CHOICE|IMMEDIATE_TOKEN|REPEAT|SEQ|STRING|SYMBOL
S000722,c,preproc_parenthesized_expression,SEQ|STRING|SYMBOL
S000724,c,preproc_unary_expression,CHOICE|FIELD|PREC_LEFT|SEQ|STRING|SYMBOL
S000782,c,primitive_type,CHOICE|STRING|TOKEN
S000812,c,return_statement,BLANK|CHOICE|SEQ|STRING|SYMBOL
S000817,c,seh_except_clause,FIELD|SEQ|STRING|SYMBOL
S000818,c,seh_finally_clause,FIELD|SEQ|STRING|SYMBOL
S000819,c,seh_leave_statement,SEQ|STRING
S000816,c,seh_try_statement,CHOICE|FIELD|SEQ|STRING|SYMBOL
S000781,c,sized_type_specifier,BLANK|CHOICE|FIELD|PREC_DYNAMIC|REPEAT|REPEAT1|SEQ|STRING|SYMBOL
S000833,c,sizeof_expression,CHOICE|FIELD|PREC|SEQ|STRING|SYMBOL
S000798,c,statement,CHOICE|SYMBOL
S000777,c,storage_class_specifier,CHOICE|STRING
S000860,c,string_literal,ALIAS|CHOICE|IMMEDIATE_TOKEN|PATTERN|PREC|REPEAT|SEQ|STRING|SYMBOL
S000785,c,struct_specifier,BLANK|CHOICE|FIELD|PREC_RIGHT|SEQ|STRING|SYMBOL
S000854,c,subscript_designator,SEQ|STRING|SYMBOL
S000837,c,subscript_expression,FIELD|PREC|SEQ|STRING|SYMBOL
S000855,c,subscript_range_designator,FIELD|SEQ|STRING|SYMBOL
S000806,c,switch_statement,FIELD|SEQ|STRING|SYMBOL
S000862,c,system_lib_string,CHOICE|PATTERN|REPEAT|SEQ|STRING|TOKEN
S000691,c,translation_unit,REPEAT|SYMBOL
S000863,c,true,CHOICE|STRING|TOKEN
S000731,c,type_definition,BLANK|CHOICE|REPEAT|SEQ|STRING|SYMBOL
S000832,c,type_descriptor,BLANK|CHOICE|FIELD|REPEAT|SEQ|SYMBOL
S000778,c,type_qualifier,CHOICE|STRING|SYMBOL
S000780,c,type_specifier,CHOICE|SYMBOL
S000828,c,unary_expression,CHOICE|FIELD|PREC_LEFT|SEQ|STRING|SYMBOL
S000786,c,union_specifier,BLANK|CHOICE|FIELD|PREC_RIGHT|SEQ|STRING|SYMBOL
S000830,c,update_expression,CHOICE|FIELD|PREC_RIGHT|SEQ|STRING|SYMBOL
S000793,c,variadic_parameter,STRING
S000808,c,while_statement,FIELD|SEQ|STRING|SYMBOL
S000427,cpp,_abstract_declarator,CHOICE|SYMBOL
S000679,cpp,_assignment_expression_lhs,CHOICE|FIELD|SEQ|STRING|SYMBOL
S000499,cpp,_assignment_left_expression,CHOICE|SYMBOL
S000665,cpp,_binary_fold,FIELD|SEQ|SYMBOL
S000662,cpp,_binary_fold_operator,CHOICE|FIELD|SEQ|STRING
S000367,cpp,_block_item,ALIAS|CHOICE|SYMBOL
S000557,cpp,_class_declaration,BLANK|CHOICE|REPEAT|SEQ|SYMBOL
S000558,cpp,_class_declaration_item,BLANK|CHOICE|FIELD|PREC_RIGHT|SEQ|SYMBOL
S000560,cpp,_class_name,ALIAS|CHOICE|PREC_RIGHT|SYMBOL
S000589,cpp,_constructor_specifiers,CHOICE|SYMBOL
S000424,cpp,_declaration_declarator,ALIAS|CHOICE|SYMBOL
S000408,cpp,_declaration_modifiers,CHOICE|STRING|SYMBOL
S000409,cpp,_declaration_specifiers,FIELD|PREC_RIGHT|REPEAT|SEQ|SYMBOL
S000423,cpp,_declarator,CHOICE|SYMBOL
S000544,cpp,_empty_declaration,SEQ|STRING|SYMBOL
S000564,cpp,_enum_base_clause,ALIAS|CHOICE|FIELD|PREC_LEFT|SEQ|STRING|SYMBOL
S000495,cpp,_expression_not_binary,CHOICE|SYMBOL
S000464,cpp,_field_declaration_declarator,BLANK|CHOICE|FIELD|REPEAT|SEQ|STRING|SYMBOL
S000462,cpp,_field_declaration_list_item,ALIAS|CHOICE|SEQ|STRING|SYMBOL
S000425,cpp,_field_declarator,ALIAS|CHOICE|SYMBOL
S000542,cpp,_field_identifier,ALIAS|SYMBOL
S000661,cpp,_fold_operator,CHOICE|STRING
S000628,cpp,_for_range_loop_body,BLANK|CHOICE|FIELD|SEQ|STRING|SYMBOL
S000485,cpp,_for_statement_body,BLANK|CHOICE|FIELD|PREC_DYNAMIC|SEQ|STRING|SYMBOL
S000609,cpp,_function_attributes_end,BLANK|CHOICE|PREC_RIGHT|REPEAT|REPEAT1|SEQ|SYMBOL
S000607,cpp,_function_attributes_start,CHOICE|PREC|REPEAT|REPEAT1|SEQ|SYMBOL
S000440,cpp,_function_declaration_declarator,BLANK|CHOICE|FIELD|PREC_RIGHT|REPEAT|SEQ|SYMBOL
S000606,cpp,_function_declarator_seq,BLANK|CHOICE|FIELD|SEQ|SYMBOL
S000608,cpp,_function_exception_specification,CHOICE|SYMBOL
S000610,cpp,_function_postfix,CHOICE|PREC_RIGHT|REPEAT1|SYMBOL
S000660,cpp,_lambda_capture,BLANK|CHOICE|SEQ|STRING|SYMBOL
S000658,cpp,_lambda_capture_identifier,ALIAS|BLANK|CHOICE|SEQ|STRING|SYMBOL
S000690,cpp,_namespace_identifier,ALIAS|SYMBOL
S000620,cpp,_namespace_specifier,BLANK|CHOICE|SEQ|STRING|SYMBOL
S000473,cpp,_non_case_statement,CHOICE|SYMBOL
S000444,cpp,_old_style_function_declarator,ALIAS|FIELD|SEQ|SYMBOL
S000403,cpp,_old_style_function_definition,ALIAS|BLANK|CHOICE|FIELD|REPEAT1|SEQ|SYMBOL
S000469,cpp,_old_style_parameter_list,BLANK|CHOICE|REPEAT|SEQ|STRING|SYMBOL
S000395,cpp,_preproc_expression,ALIAS|CHOICE|SYMBOL
S000645,cpp,_requirement,ALIAS|CHOICE|SYMBOL
S000649,cpp,_requirement_clause_constraint,CHOICE|SEQ|STRING|SYMBOL
S000674,cpp,_scope_resolution,ALIAS|BLANK|CHOICE|FIELD|PREC|SEQ|STRING|SYMBOL
S000682,cpp,_splice_specialization_specifier,SEQ|SYMBOL
S000543,cpp,_statement_identifier,ALIAS|SYMBOL
S000496,cpp,_string,CHOICE|SYMBOL
S000476,cpp,_top_level_expression_statement,BLANK|CHOICE|SEQ|STRING|SYMBOL
S000366,cpp,_top_level_item,ALIAS|CHOICE|SYMBOL
S000474,cpp,_top_level_statement,ALIAS|CHOICE|SYMBOL
S000426,cpp,_type_declarator,ALIAS|CHOICE|STRING|SYMBOL
S000407,cpp,_type_definition_declarators,FIELD|REPEAT|SEQ|STRING|SYMBOL
S000406,cpp,_type_definition_type,FIELD|REPEAT|SEQ|SYMBOL
S000541,cpp,_type_identifier,ALIAS|SYMBOL
S000663,cpp,_unary_left_fold,FIELD|SEQ|STRING|SYMBOL
S000664,cpp,_unary_right_fold,FIELD|SEQ|STRING|SYMBOL
S000448,cpp,abstract_array_declarator,BLANK|CHOICE|FIELD|PREC|REPEAT|SEQ|STRING|SYMBOL
S000443,cpp,abstract_function_declarator,BLANK|CHOICE|FIELD|SEQ|SYMBOL
S000431,cpp,abstract_parenthesized_declarator,BLANK|CHOICE|PREC|SEQ|STRING|SYMBOL
S000438,cpp,abstract_pointer_declarator,BLANK|CHOICE|FIELD|PREC_DYNAMIC|PREC_RIGHT|REPEAT|SEQ|STRING|SYMBOL
S000603,cpp,abstract_reference_declarator,BLANK|CHOICE|PREC_RIGHT|SEQ|STRING|SYMBOL
S000599,cpp,access_specifier,CHOICE|STRING
S000623,cpp,alias_declaration,FIELD|REPEAT|SEQ|STRING|SYMBOL
S000453,cpp,alignas_qualifier,CHOICE|SEQ|STRING|SYMBOL
S000508,cpp,alignof_expression,CHOICE|FIELD|PREC|SEQ|STRING|SYMBOL
S000556,cpp,annotation,SEQ|STRING|SYMBOL
S000522,cpp,argument_list,BLANK|CHOICE|REPEAT|SEQ|STRING|SYMBOL
S000445,cpp,array_declarator,BLANK|CHOICE|FIELD|PREC|REPEAT|SEQ|STRING|SYMBOL
S000446,cpp,array_field_declarator,BLANK|CHOICE|FIELD|PREC|REPEAT|SEQ|STRING|SYMBOL
S000447,cpp,array_type_declarator,BLANK|CHOICE|FIELD|PREC|REPEAT|SEQ|STRING|SYMBOL
S000500,cpp,assignment_expression,CHOICE|FIELD|PREC_RIGHT|SEQ|STRING|SYMBOL
S000412,cpp,attribute,BLANK|CHOICE|FIELD|SEQ|STRING|SYMBOL
S000413,cpp,attribute_declaration,CHOICE|REPEAT|SEQ|STRING|SYMBOL
S000411,cpp,attribute_specifier,CHOICE|SEQ|STRING|SYMBOL
S000432,cpp,attributed_declarator,PREC_RIGHT|REPEAT1|SEQ|SYMBOL
S000433,cpp,attributed_field_declarator,PREC_RIGHT|REPEAT1|SEQ|SYMBOL
S000471,cpp,attributed_statement,REPEAT1|SEQ|SYMBOL
S000434,cpp,attributed_type_declarator,PREC_RIGHT|REPEAT1|SEQ|SYMBOL
S000553,cpp,auto,STRING
S000563,cpp,base_class_clause,BLANK|CHOICE|REPEAT|SEQ|STRING|SYMBOL
S000503,cpp,binary_expression,CHOICE|FIELD|PREC_LEFT|SEQ|STRING|SYMBOL
S000465,cpp,bitfield_clause,SEQ|STRING|SYMBOL
S000487,cpp,break_statement,SEQ|STRING
S000512,cpp,call_expression,BLANK|CHOICE|FIELD|PREC|PREC_DYNAMIC|SEQ|STRING|SYMBOL
S000481,cpp,case_statement,CHOICE|FIELD|PREC_RIGHT|REPEAT|SEQ|STRING|SYMBOL
S000505,cpp,cast_expression,FIELD|PREC|SEQ|STRING|SYMBOL
S000636,cpp,catch_clause,FIELD|SEQ|STRING|SYMBOL
S000532,cpp,char_literal,ALIAS|CHOICE|IMMEDIATE_TOKEN|PATTERN|REPEAT1|SEQ|STRING|SYMBOL
S000559,cpp,class_specifier,SEQ|STRING|SYMBOL
S000639,cpp,co_await_expression,FIELD|PREC_LEFT|SEQ|STRING|SYMBOL
S000632,cpp,co_return_statement,BLANK|CHOICE|SEQ|STRING|SYMBOL
S000633,cpp,co_yield_statement,SEQ|STRING|SYMBOL
S000497,cpp,comma_expression,CHOICE|FIELD|SEQ|STRING|SYMBOL
S000546,cpp,comment,CHOICE|PATTERN|SEQ|STRING|TOKEN
S000524,cpp,compound_literal_expression,BLANK|CHOICE|FIELD|SEQ|STRING|SYMBOL
S000644,cpp,compound_requirement,BLANK|CHOICE|SEQ|STRING|SYMBOL
S000450,cpp,compound_statement,PREC|REPEAT|SEQ|STRING|SYMBOL
S000533,cpp,concatenated_string,CHOICE|PREC_RIGHT|REPEAT|SEQ|SYMBOL
S000626,cpp,concept_definition,FIELD|SEQ|STRING|SYMBOL
S000630,cpp,condition_clause,ALIAS|BLANK|CHOICE|FIELD|SEQ|STRING|SYMBOL
S000631,cpp,condition_declaration,CHOICE|FIELD|SEQ|STRING|SYMBOL
S000498,cpp,conditional_expression,BLANK|CHOICE|FIELD|PREC_RIGHT|SEQ|STRING|SYMBOL
S000625,cpp,consteval_block_declaration,FIELD|SEQ|STRING|SYMBOL
S000647,cpp,constraint_conjunction,CHOICE|FIELD|PREC_LEFT|SEQ|STRING|SYMBOL
S000648,cpp,constraint_disjunction,CHOICE|FIELD|PREC_LEFT|SEQ|STRING|SYMBOL
S000594,cpp,constructor_or_destructor_declaration,FIELD|REPEAT|SEQ|STRING|SYMBOL
S000593,cpp,constructor_or_destructor_definition,ALIAS|BLANK|CHOICE|FIELD|REPEAT|SEQ|SYMBOL
S000592,cpp,constructor_try_statement,BLANK|CHOICE|FIELD|REPEAT1|SEQ|STRING|SYMBOL
S000488,cpp,continue_statement,SEQ|STRING
S000404,cpp,declaration,BLANK|CHOICE|FIELD|REPEAT|SEQ|STRING|SYMBOL
S000422,cpp,declaration_list,REPEAT|SEQ|STRING|SYMBOL
S000555,cpp,decltype,SEQ|STRING|SYMBOL
S000554,cpp,decltype_auto,SEQ|STRING|SYMBOL
S000595,cpp,default_method_clause,SEQ|STRING
S000642,cpp,delete_expression,BLANK|CHOICE|SEQ|STRING|SYMBOL
S000596,cpp,delete_method_clause,SEQ|STRING
S000672,cpp,dependent_field_identifier,SEQ|STRING|SYMBOL
S000671,cpp,dependent_identifier,SEQ|STRING|SYMBOL
S000565,cpp,dependent_type,PREC_DYNAMIC|PREC_RIGHT|SEQ|STRING|SYMBOL
S000673,cpp,dependent_type_identifier,SEQ|STRING|SYMBOL
S000670,cpp,destructor_name,PREC|SEQ|STRING|SYMBOL
S000483,cpp,do_statement,FIELD|SEQ|STRING|SYMBOL
S000479,cpp,else_clause,SEQ|STRING|SYMBOL
S000457,cpp,enum_specifier,BLANK|CHOICE|FIELD|PREC_RIGHT|SEQ|STRING|SYMBOL
S000466,cpp,enumerator,BLANK|CHOICE|FIELD|SEQ|STRING|SYMBOL
S000458,cpp,enumerator_list,ALIAS|BLANK|CHOICE|REPEAT|SEQ|STRING|SYMBOL
S000535,cpp,escape_sequence,CHOICE|PATTERN|PREC|SEQ|STRING|TOKEN
S000685,cpp,expansion_statement,FIELD|SEQ|STRING|SYMBOL
S000562,cpp,explicit_function_specifier,CHOICE|PREC|SEQ|STRING|SYMBOL
S000580,cpp,explicit_object_parameter_declaration,SEQ|SYMBOL
S000569,cpp,export_declaration,CHOICE|PREC|SEQ|STRING|SYMBOL
S000494,cpp,expression,CHOICE|SYMBOL
S000477,cpp,expression_statement,BLANK|CHOICE|SEQ|STRING|SYMBOL
S000521,cpp,extension_expression,SEQ|STRING|SYMBOL
S000538,cpp,false,CHOICE|STRING|TOKEN
S000463,cpp,field_declaration,BLANK|CHOICE|FIELD|REPEAT|SEQ|STRING|SYMBOL
S000461,cpp,field_declaration_list,REPEAT|SEQ|STRING|SYMBOL
S000530,cpp,field_designator,SEQ|STRING|SYMBOL
S000523,cpp,field_expression,ALIAS|CHOICE|FIELD|PREC|PREC_DYNAMIC|SEQ|STRING|SYMBOL
S000587,cpp,field_initializer,ALIAS|BLANK|CHOICE|PREC|SEQ|STRING|SYMBOL
S000586,cpp,field_initializer_list,REPEAT|SEQ|STRING|SYMBOL
S000666,cpp,fold_expression,CHOICE|SEQ|STRING|SYMBOL
