language,rule,symbol
go,const_spec,_type
go,const_spec,expression_list
go,const_spec,identifier
go,var_declaration,var_spec
go,var_declaration,var_spec_list
go,var_spec,_type
go,var_spec,expression_list
go,var_spec,identifier
go,var_spec_list,var_spec
go,function_declaration,_simple_type
go,function_declaration,block
go,function_declaration,identifier
go,function_declaration,parameter_list
go,function_declaration,type_parameter_list
go,method_declaration,_field_identifier
go,method_declaration,_simple_type
go,method_declaration,block
go,method_declaration,parameter_list
go,type_parameter_list,type_parameter_declaration
go,type_parameter_declaration,identifier
go,type_parameter_declaration,type_elem
go,parameter_list,parameter_declaration
go,parameter_list,variadic_parameter_declaration
go,parameter_declaration,_type
go,parameter_declaration,identifier
go,variadic_parameter_declaration,_type
go,variadic_parameter_declaration,identifier
go,type_alias,_type
go,type_alias,_type_identifier
go,type_alias,type_parameter_list
go,type_declaration,type_alias
go,type_declaration,type_spec
go,type_spec,_type
go,type_spec,_type_identifier
go,type_spec,type_parameter_list
go,field_name_list,_field_identifier
go,expression_list,_expression
go,_type,_simple_type
go,_type,parenthesized_type
go,parenthesized_type,_type
go,_simple_type,_type_identifier
go,_simple_type,array_type
go,_simple_type,channel_type
go,_simple_type,function_type
go,_simple_type,generic_type
go,_simple_type,interface_type
go,_simple_type,map_type
go,_simple_type,negated_type
go,_simple_type,pointer_type
go,_simple_type,qualified_type
go,_simple_type,slice_type
go,_simple_type,struct_type
go,generic_type,_type_identifier
go,generic_type,negated_type
go,generic_type,qualified_type
go,generic_type,type_arguments
go,type_arguments,type_elem
go,pointer_type,_type
go,array_type,_expression
go,array_type,_type
go,implicit_length_array_type,_type
go,slice_type,_type
go,struct_type,field_declaration_list
go,negated_type,_type
go,field_declaration_list,field_declaration
go,field_declaration,_field_identifier
go,field_declaration,_string_literal
go,field_declaration,_type
go,field_declaration,_type_identifier
go,field_declaration,generic_type
go,field_declaration,qualified_type
go,interface_type,_interface_elem
go,_interface_elem,method_elem
go,_interface_elem,type_elem
go,method_elem,_field_identifier
go,method_elem,_simple_type
go,method_elem,parameter_list
go,type_elem,_type
go,map_type,_type
go,channel_type,_type
go,function_type,_simple_type
go,function_type,parameter_list
go,block,statement_list
go,statement_list,_statement
go,statement_list,empty_labeled_statement
go,_statement,_declaration
go,_statement,_simple_statement
go,_statement,block
go,_statement,break_statement
go,_statement,continue_statement
go,_statement,defer_statement
go,_statement,empty_statement
go,_statement,expression_switch_statement
go,_statement,fallthrough_statement
go,_statement,for_statement
go,_statement,go_statement
go,_statement,goto_statement
go,_statement,if_statement
go,_statement,labeled_statement
go,_statement,return_statement
go,_statement,select_statement
go,_statement,type_switch_statement
go,_simple_statement,assignment_statement
go,_simple_statement,dec_statement
go,_simple_statement,expression_statement
go,_simple_statement,inc_statement
go,_simple_statement,send_statement
go,_simple_statement,short_var_declaration
go,expression_statement,_expression
go,send_statement,_expression
go,receive_statement,_expression
go,receive_statement,expression_list
go,inc_statement,_expression
go,dec_statement,_expression
go,assignment_statement,expression_list
go,short_var_declaration,expression_list
go,labeled_statement,_statement
go,labeled_statement,identifier
go,empty_labeled_statement,identifier
go,break_statement,identifier
go,continue_statement,identifier
go,goto_statement,identifier
go,return_statement,expression_list
go,go_statement,_expression
go,defer_statement,_expression
go,if_statement,_expression
go,if_statement,_simple_statement
go,if_statement,block
go,if_statement,if_statement
go,for_statement,_expression
go,for_statement,block
go,for_statement,for_clause
go,for_statement,range_clause
go,for_clause,_expression
go,for_clause,_simple_statement
go,range_clause,_expression
go,range_clause,expression_list
go,expression_switch_statement,_expression
go,expression_switch_statement,_simple_statement
go,expression_switch_statement,default_case
go,expression_switch_statement,expression_case
go,expression_case,expression_list
go,expression_case,statement_list
go,default_case,statement_list
go,type_switch_statement,_type_switch_header
go,type_switch_statement,default_case
go,type_switch_statement,type_case
go,_type_switch_header,_expression
go,_type_switch_header,_simple_statement
go,_type_switch_header,expression_list
go,type_case,_type
go,type_case,statement_list
go,select_statement,communication_case
go,select_statement,default_case
go,communication_case,receive_statement
go,communication_case,send_statement
go,communication_case,statement_list
go,_expression,_string_literal
go,_expression,binary_expression
go,_expression,call_expression
go,_expression,composite_literal
go,_expression,false
go,_expression,float_literal
go,_expression,func_literal
go,_expression,identifier
go,_expression,imaginary_literal
go,_expression,index_expression
go,_expression,int_literal
go,_expression,iota
go,_expression,nil
go,_expression,parenthesized_expression
go,_expression,rune_literal
go,_expression,selector_expression
go,_expression,slice_expression
go,_expression,true
go,_expression,type_assertion_expression
go,_expression,type_conversion_expression
go,_expression,type_instantiation_expression
go,_expression,unary_expression
go,parenthesized_expression,_expression
go,call_expression,_expression
go,call_expression,argument_list
go,call_expression,special_argument_list
go,call_expression,type_arguments
go,variadic_argument,_expression
go,special_argument_list,_expression
go,special_argument_list,_type
go,argument_list,_expression
go,argument_list,variadic_argument
go,selector_expression,_expression
go,selector_expression,_field_identifier
go,index_expression,_expression
go,slice_expression,_expression
go,type_assertion_expression,_expression
go,type_assertion_expression,_type
go,type_conversion_expression,_expression
go,type_conversion_expression,_type
go,type_instantiation_expression,_type
go,composite_literal,_type_identifier
go,composite_literal,array_type
go,composite_literal,generic_type
go,composite_literal,implicit_length_array_type
go,composite_literal,literal_value
go,composite_literal,map_type
go,composite_literal,qualified_type
go,composite_literal,slice_type
go,composite_literal,struct_type
go,literal_value,keyed_element
go,literal_value,literal_element
go,literal_element,_expression
go,literal_element,literal_value
go,keyed_element,literal_element
go,func_literal,_simple_type
go,func_literal,block
go,func_literal,parameter_list
go,unary_expression,_expression
go,binary_expression,_expression
go,qualified_type,_package_identifier
go,qualified_type,_type_identifier
go,_type_identifier,identifier
go,_field_identifier,identifier
go,_package_identifier,identifier
go,_string_literal,interpreted_string_literal
go,_string_literal,raw_string_literal
go,interpreted_string_literal,escape_sequence
rust,source_file,_statement
rust,source_file,shebang
rust,_statement,_declaration_statement
rust,_statement,expression_statement
rust,expression_statement,_expression
rust,expression_statement,_expression_ending_with_block
rust,_declaration_statement,associated_type
rust,_declaration_statement,attribute_item
rust,_declaration_statement,const_item
rust,_declaration_statement,empty_statement
rust,_declaration_statement,enum_item
rust,_declaration_statement,extern_crate_declaration
rust,_declaration_statement,foreign_mod_item
rust,_declaration_statement,function_item
rust,_declaration_statement,function_signature_item
rust,_declaration_statement,impl_item
rust,_declaration_statement,inner_attribute_item
rust,_declaration_statement,let_declaration
rust,_declaration_statement,macro_definition
rust,_declaration_statement,macro_invocation
rust,_declaration_statement,mod_item
rust,_declaration_statement,static_item
rust,_declaration_statement,struct_item
rust,_declaration_statement,trait_item
rust,_declaration_statement,type_item
rust,_declaration_statement,union_item
rust,_declaration_statement,use_declaration
rust,macro_definition,_reserved_identifier
rust,macro_definition,identifier
rust,macro_definition,macro_rule
rust,macro_rule,token_tree
rust,macro_rule,token_tree_pattern
rust,_token_pattern,_non_special_token
rust,_token_pattern,metavariable
rust,_token_pattern,token_binding_pattern
rust,_token_pattern,token_repetition_pattern
rust,_token_pattern,token_tree_pattern
rust,token_tree_pattern,_token_pattern
rust,token_binding_pattern,fragment_specifier
rust,token_binding_pattern,metavariable
rust,token_repetition_pattern,_token_pattern
rust,_tokens,_non_special_token
rust,_tokens,metavariable
rust,_tokens,token_repetition
rust,_tokens,token_tree
rust,token_tree,_tokens
rust,token_repetition,_tokens
rust,_non_special_token,_literal
rust,_non_special_token,crate
rust,_non_special_token,identifier
rust,_non_special_token,mutable_specifier
rust,_non_special_token,self
rust,_non_special_token,super
rust,attribute_item,attribute
rust,inner_attribute_item,attribute
rust,attribute,_expression
rust,attribute,_path
rust,attribute,delim_token_tree
rust,mod_item,declaration_list
rust,mod_item,identifier
rust,mod_item,visibility_modifier
rust,foreign_mod_item,declaration_list
rust,foreign_mod_item,extern_modifier
rust,declaration_list,_declaration_statement
rust,struct_item,_type_identifier
rust,struct_item,field_declaration_list
rust,struct_item,ordered_field_declaration_list
rust,struct_item,type_parameters
rust,struct_item,visibility_modifier
rust,struct_item,where_clause
rust,union_item,_type_identifier
rust,union_item,field_declaration_list
rust,union_item,type_parameters
rust,union_item,visibility_modifier
rust,union_item,where_clause
rust,enum_item,_type_identifier
rust,enum_item,enum_variant_list
rust,enum_item,type_parameters
rust,enum_item,visibility_modifier
rust,enum_item,where_clause
rust,enum_variant_list,attribute_item
rust,enum_variant_list,enum_variant
rust,enum_variant,_expression
rust,enum_variant,field_declaration_list
rust,enum_variant,identifier
rust,enum_variant,ordered_field_declaration_list
rust,enum_variant,visibility_modifier
rust,field_declaration_list,attribute_item
rust,field_declaration_list,field_declaration
rust,field_declaration,_field_identifier
rust,field_declaration,_type
rust,field_declaration,visibility_modifier
rust,ordered_field_declaration_list,_type
rust,ordered_field_declaration_list,attribute_item
rust,ordered_field_declaration_list,visibility_modifier
rust,extern_crate_declaration,crate
rust,extern_crate_declaration,identifier
rust,extern_crate_declaration,visibility_modifier
rust,const_item,_expression
rust,const_item,_type
rust,const_item,identifier
rust,const_item,visibility_modifier
rust,static_item,_expression
rust,static_item,_type
rust,static_item,identifier
rust,static_item,mutable_specifier
rust,static_item,visibility_modifier
rust,type_item,_type
rust,type_item,_type_identifier
rust,type_item,type_parameters
rust,type_item,visibility_modifier
rust,type_item,where_clause
rust,function_item,_type
rust,function_item,block
rust,function_item,function_modifiers
rust,function_item,identifier
rust,function_item,metavariable
rust,function_item,parameters
rust,function_item,type_parameters
rust,function_item,visibility_modifier
rust,function_item,where_clause
rust,function_signature_item,_type
rust,function_signature_item,function_modifiers
rust,function_signature_item,identifier
rust,function_signature_item,metavariable
rust,function_signature_item,parameters
rust,function_signature_item,type_parameters
rust,function_signature_item,visibility_modifier
rust,function_signature_item,where_clause
rust,function_modifiers,extern_modifier
rust,where_clause,where_predicate
rust,where_predicate,_type_identifier
rust,where_predicate,array_type
rust,where_predicate,generic_type
rust,where_predicate,higher_ranked_trait_bound
rust,where_predicate,lifetime
rust,where_predicate,pointer_type
rust,where_predicate,reference_type
rust,where_predicate,scoped_type_identifier
rust,where_predicate,trait_bounds
rust,where_predicate,tuple_type
rust,impl_item,_type
rust,impl_item,_type_identifier
rust,impl_item,declaration_list
rust,impl_item,generic_type
rust,impl_item,scoped_type_identifier
rust,impl_item,type_parameters
rust,impl_item,where_clause
rust,trait_item,_type_identifier
rust,trait_item,declaration_list
rust,trait_item,trait_bounds
rust,trait_item,type_parameters
rust,trait_item,visibility_modifier
rust,trait_item,where_clause
rust,associated_type,_type_identifier
rust,associated_type,trait_bounds
rust,associated_type,type_parameters
rust,associated_type,where_clause
rust,trait_bounds,_type
rust,trait_bounds,higher_ranked_trait_bound
rust,trait_bounds,lifetime
rust,higher_ranked_trait_bound,_type
rust,higher_ranked_trait_bound,type_parameters
rust,removed_trait_bound,_type
rust,type_parameters,attribute_item
rust,type_parameters,const_parameter
rust,type_parameters,lifetime_parameter
rust,type_parameters,metavariable
rust,type_parameters,type_parameter
rust,const_parameter,_literal
rust,const_parameter,_type
rust,const_parameter,block
rust,const_parameter,identifier
rust,const_parameter,negative_literal
rust,type_parameter,_type
rust,type_parameter,_type_identifier
rust,type_parameter,trait_bounds
rust,lifetime_parameter,lifetime
rust,lifetime_parameter,trait_bounds
rust,let_declaration,_expression
rust,let_declaration,_pattern
rust,let_declaration,_type
rust,let_declaration,block
rust,let_declaration,mutable_specifier
rust,use_declaration,_use_clause
rust,use_declaration,visibility_modifier
rust,_use_clause,_path
rust,_use_clause,scoped_use_list
rust,_use_clause,use_as_clause
rust,_use_clause,use_list
rust,_use_clause,use_wildcard
rust,scoped_use_list,_path
rust,scoped_use_list,use_list
rust,use_list,_use_clause
rust,use_as_clause,_path
rust,use_as_clause,identifier
rust,use_wildcard,_path
rust,parameters,_type
rust,parameters,attribute_item
rust,parameters,parameter
rust,parameters,self_parameter
rust,parameters,variadic_parameter
rust,self_parameter,lifetime
rust,self_parameter,mutable_specifier
rust,self_parameter,self
rust,variadic_parameter,_pattern
rust,variadic_parameter,mutable_specifier
rust,parameter,_pattern
rust,parameter,_type
rust,parameter,mutable_specifier
rust,parameter,self
rust,extern_modifier,string_literal
rust,visibility_modifier,_path
rust,visibility_modifier,crate
rust,visibility_modifier,self
rust,visibility_modifier,super
rust,_type,_type_identifier
rust,_type,abstract_type
rust,_type,array_type
rust,_type,bounded_type
rust,_type,dynamic_type
rust,_type,function_type
rust,_type,generic_type
rust,_type,macro_invocation
rust,_type,metavariable
rust,_type,never_type
rust,_type,pointer_type
rust,_type,reference_type
rust,_type,removed_trait_bound
rust,_type,scoped_type_identifier
rust,_type,tuple_type
rust,_type,unit_type
rust,bracketed_type,_type
rust,bracketed_type,qualified_type
rust,qualified_type,_type
rust,lifetime,identifier
rust,array_type,_expression
rust,array_type,_type
rust,for_lifetimes,lifetime
rust,function_type,_type
rust,function_type,_type_identifier
rust,function_type,for_lifetimes
rust,function_type,function_modifiers
rust,function_type,parameters
rust,function_type,scoped_type_identifier
rust,tuple_type,_type
rust,generic_function,field_expression
rust,generic_function,identifier
rust,generic_function,scoped_identifier
rust,generic_function,type_arguments
rust,generic_type,_reserved_identifier
rust,generic_type,_type_identifier
rust,generic_type,scoped_type_identifier
rust,generic_type,type_arguments
rust,generic_type_with_turbofish,_type_identifier
rust,generic_type_with_turbofish,scoped_identifier
rust,generic_type_with_turbofish,type_arguments
rust,bounded_type,_type
rust,bounded_type,lifetime
rust,bounded_type,use_bounds
rust,use_bounds,_type_identifier
rust,use_bounds,lifetime
rust,type_arguments,_literal
rust,type_arguments,_type
rust,type_arguments,block
rust,type_arguments,lifetime
rust,type_arguments,trait_bounds
rust,type_arguments,type_binding
rust,type_binding,_type
rust,type_binding,_type_identifier
rust,type_binding,type_arguments
rust,reference_type,_type
rust,reference_type,lifetime
rust,reference_type,mutable_specifier
rust,pointer_type,_type
rust,pointer_type,mutable_specifier
rust,abstract_type,_type_identifier
rust,abstract_type,bounded_type
rust,abstract_type,function_type
rust,abstract_type,generic_type
rust,abstract_type,removed_trait_bound
rust,abstract_type,scoped_type_identifier
rust,abstract_type,tuple_type
rust,abstract_type,type_parameters
rust,dynamic_type,_type_identifier
rust,dynamic_type,function_type
rust,dynamic_type,generic_type
rust,dynamic_type,higher_ranked_trait_bound
rust,dynamic_type,scoped_type_identifier
rust,dynamic_type,tuple_type
rust,_expression_except_range,_expression_ending_with_block
rust,_expression_except_range,_literal
rust,_expression_except_range,_reserved_identifier
rust,_expression_except_range,array_expression
rust,_expression_except_range,assignment_expression
rust,_expression_except_range,await_expression
rust,_expression_except_range,binary_expression
rust,_expression_except_range,break_expression
rust,_expression_except_range,call_expression
rust,_expression_except_range,closure_expression
rust,_expression_except_range,compound_assignment_expr
rust,_expression_except_range,continue_expression
rust,_expression_except_range,field_expression
rust,_expression_except_range,generic_function
rust,_expression_except_range,identifier
rust,_expression_except_range,index_expression
rust,_expression_except_range,macro_invocation
rust,_expression_except_range,metavariable
rust,_expression_except_range,parenthesized_expression
rust,_expression_except_range,reference_expression
rust,_expression_except_range,return_expression
rust,_expression_except_range,scoped_identifier
rust,_expression_except_range,self
rust,_expression_except_range,struct_expression
rust,_expression_except_range,try_expression
rust,_expression_except_range,tuple_expression
rust,_expression_except_range,type_cast_expression
rust,_expression_except_range,unary_expression
rust,_expression_except_range,unit_expression
rust,_expression_except_range,yield_expression
rust,_expression,_expression_except_range
rust,_expression,range_expression
rust,_expression_ending_with_block,async_block
rust,_expression_ending_with_block,block
rust,_expression_ending_with_block,const_block
rust,_expression_ending_with_block,for_expression
rust,_expression_ending_with_block,gen_block
rust,_expression_ending_with_block,if_expression
rust,_expression_ending_with_block,loop_expression
rust,_expression_ending_with_block,match_expression
rust,_expression_ending_with_block,try_block
rust,_expression_ending_with_block,unsafe_block
rust,_expression_ending_with_block,while_expression
rust,macro_invocation,_reserved_identifier
rust,macro_invocation,delim_token_tree
rust,macro_invocation,identifier
rust,macro_invocation,scoped_identifier
rust,delim_token_tree,_delim_tokens
rust,_delim_tokens,_non_delim_token
rust,_delim_tokens,delim_token_tree
rust,_non_delim_token,_non_special_token
rust,scoped_identifier,_path
rust,scoped_identifier,bracketed_type
rust,scoped_identifier,generic_type_with_turbofish
rust,scoped_identifier,identifier
rust,scoped_identifier,super
rust,scoped_type_identifier_in_expression_position,_path
rust,scoped_type_identifier_in_expression_position,_type_identifier
rust,scoped_type_identifier_in_expression_position,generic_type_with_turbofish
rust,scoped_type_identifier,_path
rust,scoped_type_identifier,_type_identifier
rust,scoped_type_identifier,bracketed_type
rust,scoped_type_identifier,generic_type
rust,scoped_type_identifier,generic_type_with_turbofish
rust,range_expression,_expression
rust,unary_expression,_expression
rust,try_expression,_expression
rust,reference_expression,_expression
rust,reference_expression,mutable_specifier
rust,binary_expression,_expression
rust,assignment_expression,_expression
rust,compound_assignment_expr,_expression
rust,type_cast_expression,_expression
rust,type_cast_expression,_type
rust,return_expression,_expression
rust,yield_expression,_expression
rust,call_expression,_expression_except_range
rust,call_expression,arguments
rust,arguments,_expression
rust,arguments,attribute_item
rust,array_expression,_expression
rust,array_expression,attribute_item
rust,parenthesized_expression,_expression
rust,tuple_expression,_expression
rust,tuple_expression,attribute_item
rust,struct_expression,_type_identifier
rust,struct_expression,field_initializer_list
rust,struct_expression,generic_type_with_turbofish
rust,struct_expression,scoped_type_identifier_in_expression_position
rust,field_initializer_list,base_field_initializer
rust,field_initializer_list,field_initializer
rust,field_initializer_list,shorthand_field_initializer
rust,shorthand_field_initializer,attribute_item
rust,shorthand_field_initializer,identifier
rust,field_initializer,_expression
rust,field_initializer,_field_identifier
rust,field_initializer,attribute_item
rust,field_initializer,integer_literal
rust,base_field_initializer,_expression
rust,if_expression,_condition
rust,if_expression,block
rust,if_expression,else_clause
rust,let_condition,_expression
rust,let_condition,_pattern
rust,_let_chain,_expression
rust,_let_chain,_let_chain
rust,_let_chain,let_condition
rust,_condition,_expression
rust,_condition,_let_chain
rust,_condition,let_condition
rust,else_clause,block
rust,else_clause,if_expression
rust,match_expression,_expression
rust,match_expression,match_block
rust,match_block,last_match_arm
rust,match_block,match_arm
rust,match_arm,_expression
rust,match_arm,_expression_ending_with_block
rust,match_arm,attribute_item
rust,match_arm,inner_attribute_item
rust,match_arm,match_pattern
rust,last_match_arm,_expression
rust,last_match_arm,attribute_item
rust,last_match_arm,inner_attribute_item
rust,last_match_arm,match_pattern
rust,match_pattern,_condition
rust,match_pattern,_pattern
rust,while_expression,_condition
rust,while_expression,block
rust,while_expression,label
rust,loop_expression,block
rust,loop_expression,label
rust,for_expression,_expression
rust,for_expression,_pattern
rust,for_expression,block
rust,for_expression,label
rust,const_block,block
rust,closure_expression,_expression
rust,closure_expression,_type
rust,closure_expression,block
rust,closure_expression,closure_parameters
rust,closure_parameters,_pattern
rust,closure_parameters,parameter
rust,label,identifier
rust,break_expression,_expression
rust,break_expression,label
rust,continue_expression,label
rust,index_expression,_expression
rust,await_expression,_expression
rust,field_expression,_expression
rust,field_expression,_field_identifier
rust,field_expression,integer_literal
rust,unsafe_block,block
rust,async_block,block
rust,gen_block,block
rust,try_block,block
rust,block,_expression
rust,block,_statement
rust,block,label
rust,_pattern,_literal_pattern
rust,_pattern,_reserved_identifier
rust,_pattern,captured_pattern
rust,_pattern,const_block
rust,_pattern,generic_pattern
rust,_pattern,identifier
rust,_pattern,macro_invocation
rust,_pattern,mut_pattern
rust,_pattern,or_pattern
rust,_pattern,range_pattern
rust,_pattern,ref_pattern
rust,_pattern,reference_pattern
rust,_pattern,remaining_field_pattern
rust,_pattern,scoped_identifier
rust,_pattern,slice_pattern
rust,_pattern,struct_pattern
rust,_pattern,tuple_pattern
rust,_pattern,tuple_struct_pattern
rust,generic_pattern,identifier
rust,generic_pattern,scoped_identifier
rust,generic_pattern,type_arguments
rust,tuple_pattern,_pattern
rust,tuple_pattern,closure_expression
rust,slice_pattern,_pattern
rust,tuple_struct_pattern,_pattern
rust,tuple_struct_pattern,generic_type_with_turbofish
rust,tuple_struct_pattern,identifier
rust,tuple_struct_pattern,scoped_identifier
rust,struct_pattern,_type_identifier
rust,struct_pattern,field_pattern
rust,struct_pattern,remaining_field_pattern
rust,struct_pattern,scoped_type_identifier
rust,field_pattern,_field_identifier
rust,field_pattern,_pattern
rust,field_pattern,identifier
rust,field_pattern,mutable_specifier
rust,mut_pattern,_pattern
rust,mut_pattern,mutable_specifier
rust,range_pattern,_literal_pattern
rust,range_pattern,_path
rust,ref_pattern,_pattern
rust,captured_pattern,_pattern
rust,captured_pattern,identifier
rust,reference_pattern,_pattern
rust,reference_pattern,mutable_specifier
rust,or_pattern,_pattern
rust,_literal,boolean_literal
rust,_literal,char_literal
rust,_literal,float_literal
rust,_literal,integer_literal
rust,_literal,raw_string_literal
rust,_literal,string_literal
rust,_literal_pattern,boolean_literal
rust,_literal_pattern,char_literal
rust,_literal_pattern,float_literal
rust,_literal_pattern,integer_literal
rust,_literal_pattern,negative_literal
rust,_literal_pattern,raw_string_literal
rust,_literal_pattern,string_literal
rust,negative_literal,float_literal
rust,negative_literal,integer_literal
rust,string_literal,escape_sequence
rust,string_literal,string_close
rust,string_literal,string_content
rust,raw_string_literal,_raw_string_literal_end
rust,raw_string_literal,_raw_string_literal_start
rust,raw_string_literal,raw_string_literal_content
rust,comment,block_comment
rust,comment,line_comment
rust,line_comment,_line_doc_comment_marker
rust,line_comment,_line_doc_content
rust,_line_doc_comment_marker,_inner_line_doc_comment_marker
rust,_line_doc_comment_marker,_outer_line_doc_comment_marker
rust,block_comment,_block_comment_content
rust,block_comment,_block_doc_comment_marker
rust,_block_doc_comment_marker,_inner_block_doc_comment_marker
rust,_block_doc_comment_marker,_outer_block_doc_comment_marker
rust,_path,_reserved_identifier
rust,_path,crate
rust,_path,identifier
rust,_path,metavariable
rust,_path,scoped_identifier
rust,_path,self
rust,_path,super
rust,_type_identifier,identifier
rust,_field_identifier,identifier
cpp,translation_unit,_top_level_item
cpp,_top_level_item,_empty_declaration
cpp,_top_level_item,_top_level_statement
cpp,_top_level_item,alias_declaration
cpp,_top_level_item,attributed_statement
cpp,_top_level_item,concept_definition
cpp,_top_level_item,consteval_block_declaration
cpp,_top_level_item,constructor_or_destructor_definition
cpp,_top_level_item,declaration
cpp,_top_level_item,export_declaration
cpp,_top_level_item,function_definition
cpp,_top_level_item,global_module_fragment_declaration
cpp,_top_level_item,import_declaration
cpp,_top_level_item,linkage_specification
cpp,_top_level_item,module_declaration
cpp,_top_level_item,namespace_alias_definition
cpp,_top_level_item,namespace_definition
cpp,_top_level_item,operator_cast_declaration
cpp,_top_level_item,operator_cast_definition
cpp,_top_level_item,preproc_call
cpp,_top_level_item,preproc_def
cpp,_top_level_item,preproc_function_def
cpp,_top_level_item,preproc_if
cpp,_top_level_item,preproc_ifdef
cpp,_top_level_item,preproc_include
cpp,_top_level_item,private_module_fragment_declaration
cpp,_top_level_item,static_assert_declaration
cpp,_top_level_item,template_declaration
cpp,_top_level_item,template_instantiation
cpp,_top_level_item,type_definition
cpp,_top_level_item,using_declaration
cpp,_block_item,_empty_declaration
cpp,_block_item,alias_declaration
cpp,_block_item,attributed_statement
cpp,_block_item,concept_definition
cpp,_block_item,consteval_block_declaration
cpp,_block_item,constructor_or_destructor_definition
cpp,_block_item,declaration
cpp,_block_item,export_declaration
cpp,_block_item,function_definition
cpp,_block_item,import_declaration
cpp,_block_item,linkage_specification
cpp,_block_item,namespace_alias_definition
cpp,_block_item,namespace_definition
cpp,_block_item,operator_cast_declaration
cpp,_block_item,operator_cast_definition
cpp,_block_item,preproc_call
cpp,_block_item,preproc_def
cpp,_block_item,preproc_function_def
cpp,_block_item,preproc_if_in_block
cpp,_block_item,preproc_ifdef_in_block
cpp,_block_item,preproc_include
cpp,_block_item,statement
