language,tree_sitter_node_type,tree_sitter_rule,evidence_class,uast_structure,uast_facets,uast_relations,uast_fields,execution_primitives,mapping_kind,support_case_count,counterexample_case_count,mapping_status
c,initializer,,ts_0010,,,,effects,,IMPLICATION,1,48,MAPPED
c,initializer,,ts_0010,,,,id,,IMPLICATION,1,48,MAPPED
c,initializer,,ts_0010,,,,kind,,IMPLICATION,1,48,MAPPED
c,initializer,,ts_0010,,,,members,,IMPLICATION,1,43,MAPPED
c,initializer,,ts_0010,,,,name,,IMPLICATION,1,39,MAPPED
c,initializer,,ts_0010,,,,operands,,IMPLICATION,1,24,MAPPED
c,initializer,,ts_0010,,,,operation,,IMPLICATION,1,48,MAPPED
c,initializer,,ts_0010,,,,parameters,,IMPLICATION,1,12,MAPPED
c,initializer,,ts_0010,,,,type_origin,,IMPLICATION,1,48,MAPPED
c,initializer,,ts_0010,,,,type_ref,,IMPLICATION,1,48,MAPPED
c,initializer,,ts_0010,,,,value,,IMPLICATION,1,26,MAPPED
c,update,,ts_0010,,,,binding_refs,,IMPLICATION,1,2,MAPPED
c,update,,ts_0010,,,,effects,,IMPLICATION,1,48,MAPPED
c,update,,ts_0010,,,,id,,IMPLICATION,1,48,MAPPED
c,update,,ts_0010,,,,kind,,IMPLICATION,1,48,MAPPED
c,update,,ts_0010,,,,members,,IMPLICATION,1,43,MAPPED
c,update,,ts_0010,,,,name,,IMPLICATION,1,39,MAPPED
c,update,,ts_0010,,,,operands,,IMPLICATION,1,24,MAPPED
c,update,,ts_0010,,,,operation,,IMPLICATION,1,48,MAPPED
c,update,,ts_0010,,,,parameters,,IMPLICATION,1,12,MAPPED
c,update,,ts_0010,,,,type_origin,,IMPLICATION,1,48,MAPPED
c,update,,ts_0010,,,,type_ref,,IMPLICATION,1,48,MAPPED
c,update,,ts_0010,,,,value,,IMPLICATION,1,26,MAPPED
c,abstract_array_declarator,abstract_array_declarator,ts_0017,,UASF_0051,,,,IMPLICATION,1,48,MAPPED
c,abstract_array_declarator,abstract_array_declarator,ts_0017,,UASF_0217,,,,IMPLICATION,1,19,MAPPED
c,abstract_array_declarator,abstract_array_declarator,ts_0017,,UASF_0219,,,,IMPLICATION,1,41,MAPPED
c,abstract_array_declarator,abstract_array_declarator,ts_0017,,UASF_0220,,,,IMPLICATION,1,7,MAPPED
c,abstract_array_declarator,abstract_array_declarator,ts_0017,,UASF_0224,,,,IMPLICATION,1,22,MAPPED
c,abstract_array_declarator,abstract_array_declarator,ts_0017,,UASF_0225,,,,IMPLICATION,1,34,MAPPED
c,abstract_array_declarator,abstract_array_declarator,ts_0017,AssignStmt,,,,,IMPLICATION,1,7,MAPPED
c,abstract_array_declarator,abstract_array_declarator,ts_0017,ClosureExpr,,,,,IMPLICATION,1,19,MAPPED
c,abstract_array_declarator,abstract_array_declarator,ts_0017,LiteralExpr,,,,,IMPLICATION,1,20,MAPPED
c,abstract_array_declarator,abstract_array_declarator,ts_0017,OperationExpr,,,,,IMPLICATION,1,31,MAPPED
c,abstract_array_declarator,abstract_array_declarator,ts_0017,Scope,,,,,IMPLICATION,1,48,MAPPED
c,abstract_array_declarator,abstract_array_declarator,ts_0017,SymbolRef,,,,,IMPLICATION,1,41,MAPPED
c,abstract_pointer_declarator,abstract_pointer_declarator,ts_0019,MemberAccessExpr,,,,,IMPLICATION,8,7,MAPPED
c,alignas_qualifier,alignas_qualifier,ts_0020,,UASF_0051,,,,IMPLICATION,1,48,MAPPED
c,alignas_qualifier,alignas_qualifier,ts_0020,,UASF_0217,,,,IMPLICATION,1,19,MAPPED
c,alignas_qualifier,alignas_qualifier,ts_0020,,UASF_0219,,,,IMPLICATION,1,41,MAPPED
c,alignas_qualifier,alignas_qualifier,ts_0020,,UASF_0220,,,,IMPLICATION,1,7,MAPPED
c,alignas_qualifier,alignas_qualifier,ts_0020,,UASF_0221,,,,IMPLICATION,1,8,MAPPED
c,alignas_qualifier,alignas_qualifier,ts_0020,,UASF_0224,,,,IMPLICATION,1,22,MAPPED
c,alignas_qualifier,alignas_qualifier,ts_0020,AssignStmt,,,,,IMPLICATION,1,7,MAPPED
c,alignas_qualifier,alignas_qualifier,ts_0020,CallExpr,,,,,IMPLICATION,1,8,MAPPED
c,alignas_qualifier,alignas_qualifier,ts_0020,ClosureExpr,,,,,IMPLICATION,1,19,MAPPED
c,alignas_qualifier,alignas_qualifier,ts_0020,LiteralExpr,,,,,IMPLICATION,1,20,MAPPED
c,alignas_qualifier,alignas_qualifier,ts_0020,Scope,,,,,IMPLICATION,1,48,MAPPED
c,alignas_qualifier,alignas_qualifier,ts_0020,SymbolRef,,,,,IMPLICATION,1,41,MAPPED
c,alignof_expression,alignof_expression,ts_0021,,UASF_0051,,,,IMPLICATION,1,48,MAPPED
c,alignof_expression,alignof_expression,ts_0021,,UASF_0217,,,,IMPLICATION,1,19,MAPPED
c,alignof_expression,alignof_expression,ts_0021,,UASF_0219,,,,IMPLICATION,1,41,MAPPED
c,alignof_expression,alignof_expression,ts_0021,ClosureExpr,,,,,IMPLICATION,1,19,MAPPED
c,alignof_expression,alignof_expression,ts_0021,Scope,,,,,IMPLICATION,1,48,MAPPED
c,alignof_expression,alignof_expression,ts_0021,SymbolRef,,,,,IMPLICATION,1,41,MAPPED
c,argument_list,argument_list,ts_0022,,UASF_0221,,,,IMPLICATION,24,15,MAPPED
c,argument_list,argument_list,ts_0022,CallExpr,,,,,IMPLICATION,24,15,MAPPED
c,argument_list,argument_list,ts_0022,MemberAccessExpr,,,,,IMPLICATION,24,23,MAPPED
c,attribute,attribute,ts_0025,,UASF_0051,,,,IMPLICATION,2,47,MAPPED
c,attribute,attribute,ts_0025,,UASF_0217,,,,IMPLICATION,2,18,MAPPED
c,attribute,attribute,ts_0025,,UASF_0219,,,,IMPLICATION,2,40,MAPPED
c,attribute,attribute,ts_0025,,UASF_0224,,,,IMPLICATION,2,21,MAPPED
c,attribute,attribute,ts_0025,,UASF_0225,,,,IMPLICATION,2,33,MAPPED
c,attribute,attribute,ts_0025,AggregateExpr,,,,,IMPLICATION,2,2,MAPPED
c,attribute,attribute,ts_0025,ClosureExpr,,,,,IMPLICATION,2,18,MAPPED
c,attribute,attribute,ts_0025,MemberAccessExpr,,,,,IMPLICATION,2,1,MAPPED
c,attribute,attribute,ts_0025,Scope,,,,,IMPLICATION,2,47,MAPPED
c,attribute,attribute,ts_0025,SymbolRef,,,,,IMPLICATION,2,40,MAPPED
c,attribute_declaration,attribute_declaration,ts_0025,,UASF_0051,,,,IMPLICATION,2,47,MAPPED
c,attribute_declaration,attribute_declaration,ts_0025,,UASF_0217,,,,IMPLICATION,2,18,MAPPED
c,attribute_declaration,attribute_declaration,ts_0025,,UASF_0219,,,,IMPLICATION,2,40,MAPPED
c,attribute_declaration,attribute_declaration,ts_0025,,UASF_0224,,,,IMPLICATION,2,21,MAPPED
c,attribute_declaration,attribute_declaration,ts_0025,,UASF_0225,,,,IMPLICATION,2,33,MAPPED
c,attribute_declaration,attribute_declaration,ts_0025,AggregateExpr,,,,,IMPLICATION,2,2,MAPPED
c,attribute_declaration,attribute_declaration,ts_0025,ClosureExpr,,,,,IMPLICATION,2,18,MAPPED
c,attribute_declaration,attribute_declaration,ts_0025,MemberAccessExpr,,,,,IMPLICATION,2,1,MAPPED
c,attribute_declaration,attribute_declaration,ts_0025,Scope,,,,,IMPLICATION,2,47,MAPPED
c,attribute_declaration,attribute_declaration,ts_0025,SymbolRef,,,,,IMPLICATION,2,40,MAPPED
c,attribute_specifier,attribute_specifier,ts_0026,MemberAccessExpr,,,,,IMPLICATION,4,3,MAPPED
c,attributed_declarator,attributed_declarator,ts_0027,,UASF_0051,,,,IMPLICATION,1,48,MAPPED
c,attributed_declarator,attributed_declarator,ts_0027,,UASF_0217,,,,IMPLICATION,1,19,MAPPED
c,attributed_declarator,attributed_declarator,ts_0027,,UASF_0219,,,,IMPLICATION,1,41,MAPPED
c,attributed_declarator,attributed_declarator,ts_0027,,UASF_0221,,,,IMPLICATION,1,8,MAPPED
c,attributed_declarator,attributed_declarator,ts_0027,,UASF_0224,,,,IMPLICATION,1,22,MAPPED
c,attributed_declarator,attributed_declarator,ts_0027,,UASF_0225,,,,IMPLICATION,1,34,MAPPED
c,attributed_declarator,attributed_declarator,ts_0027,AggregateExpr,,,,,IMPLICATION,1,3,MAPPED
c,attributed_declarator,attributed_declarator,ts_0027,CallExpr,,,,,IMPLICATION,1,8,MAPPED
c,attributed_declarator,attributed_declarator,ts_0027,ClosureExpr,,,,,IMPLICATION,1,19,MAPPED
c,attributed_declarator,attributed_declarator,ts_0027,IndexExpr,,,,,IMPLICATION,1,4,MAPPED
c,attributed_declarator,attributed_declarator,ts_0027,LiteralExpr,,,,,IMPLICATION,1,20,MAPPED
c,attributed_declarator,attributed_declarator,ts_0027,MemberAccessExpr,,,,,EXACT_VECTOR,1,0,MAPPED
c,attributed_declarator,attributed_declarator,ts_0027,Scope,,,,,IMPLICATION,1,48,MAPPED
c,attributed_declarator,attributed_declarator,ts_0027,SymbolRef,,,,,IMPLICATION,1,41,MAPPED
c,attributed_statement,attributed_statement,ts_0025,,UASF_0051,,,,IMPLICATION,2,47,MAPPED
c,attributed_statement,attributed_statement,ts_0025,,UASF_0217,,,,IMPLICATION,2,18,MAPPED
c,attributed_statement,attributed_statement,ts_0025,,UASF_0219,,,,IMPLICATION,2,40,MAPPED
c,attributed_statement,attributed_statement,ts_0025,,UASF_0224,,,,IMPLICATION,2,21,MAPPED
c,attributed_statement,attributed_statement,ts_0025,,UASF_0225,,,,IMPLICATION,2,33,MAPPED
c,attributed_statement,attributed_statement,ts_0025,AggregateExpr,,,,,IMPLICATION,2,2,MAPPED
c,attributed_statement,attributed_statement,ts_0025,ClosureExpr,,,,,IMPLICATION,2,18,MAPPED
c,attributed_statement,attributed_statement,ts_0025,MemberAccessExpr,,,,,IMPLICATION,2,1,MAPPED
c,attributed_statement,attributed_statement,ts_0025,Scope,,,,,IMPLICATION,2,47,MAPPED
c,attributed_statement,attributed_statement,ts_0025,SymbolRef,,,,,IMPLICATION,2,40,MAPPED
c,binary_expression,binary_expression,ts_0028,,UASF_0231,,,,IMPLICATION,12,10,MAPPED
c,binary_expression,binary_expression,ts_0028,Deref,,,,,IMPLICATION,12,10,MAPPED
c,break_statement,break_statement,ts_0030,,UASF_0051,,,,IMPLICATION,1,48,MAPPED
c,break_statement,break_statement,ts_0030,,UASF_0182,,,,IMPLICATION,1,5,MAPPED
c,break_statement,break_statement,ts_0030,,UASF_0217,,,,IMPLICATION,1,19,MAPPED
c,break_statement,break_statement,ts_0030,,UASF_0219,,,,IMPLICATION,1,41,MAPPED
c,break_statement,break_statement,ts_0030,,UASF_0221,,,,IMPLICATION,1,8,MAPPED
c,break_statement,break_statement,ts_0030,,UASF_0224,,,,IMPLICATION,1,22,MAPPED
c,break_statement,break_statement,ts_0030,CallExpr,,,,,IMPLICATION,1,8,MAPPED
c,break_statement,break_statement,ts_0030,ClosureExpr,,,,,IMPLICATION,1,19,MAPPED
c,break_statement,break_statement,ts_0030,IfStmt,,,,,IMPLICATION,1,3,MAPPED
c,break_statement,break_statement,ts_0030,LiteralExpr,,,,,IMPLICATION,1,20,MAPPED
c,break_statement,break_statement,ts_0030,Scope,,,,,IMPLICATION,1,48,MAPPED
c,break_statement,break_statement,ts_0030,SymbolRef,,,,,IMPLICATION,1,41,MAPPED
c,call_expression,call_expression,ts_0031,MemberAccessExpr,,,,,IMPLICATION,23,22,MAPPED
c,case_statement,case_statement,ts_0032,,UASF_0051,,,,IMPLICATION,3,46,MAPPED
c,case_statement,case_statement,ts_0032,,UASF_0217,,,,IMPLICATION,3,17,MAPPED
c,case_statement,case_statement,ts_0032,,UASF_0219,,,,IMPLICATION,3,39,MAPPED
c,case_statement,case_statement,ts_0032,ClosureExpr,,,,,IMPLICATION,3,17,MAPPED
c,case_statement,case_statement,ts_0032,Scope,,,,,IMPLICATION,3,46,MAPPED
c,case_statement,case_statement,ts_0032,SymbolRef,,,,,IMPLICATION,3,39,MAPPED
c,comment,comment,ts_0036,,UASF_0236,,,,IMPLICATION,15,14,MAPPED
c,comment,comment,ts_0036,NilLiteral,,,,,IMPLICATION,15,14,MAPPED
c,compound_literal_expression,compound_literal_expression,ts_0037,,UASF_0051,,,,IMPLICATION,2,47,MAPPED
c,compound_literal_expression,compound_literal_expression,ts_0037,,UASF_0217,,,,IMPLICATION,2,18,MAPPED
c,compound_literal_expression,compound_literal_expression,ts_0037,,UASF_0219,,,,IMPLICATION,2,40,MAPPED
c,compound_literal_expression,compound_literal_expression,ts_0037,,UASF_0224,,,,IMPLICATION,2,21,MAPPED
c,compound_literal_expression,compound_literal_expression,ts_0037,,UASF_0225,,,,IMPLICATION,2,33,MAPPED
c,compound_literal_expression,compound_literal_expression,ts_0037,ClosureExpr,,,,,IMPLICATION,2,18,MAPPED
c,compound_literal_expression,compound_literal_expression,ts_0037,LiteralExpr,,,,,IMPLICATION,2,19,MAPPED
c,compound_literal_expression,compound_literal_expression,ts_0037,OperationExpr,,,,,IMPLICATION,2,30,MAPPED
c,compound_literal_expression,compound_literal_expression,ts_0037,Scope,,,,,IMPLICATION,2,47,MAPPED
c,compound_literal_expression,compound_literal_expression,ts_0037,SymbolRef,,,,,IMPLICATION,2,40,MAPPED
c,compound_statement,compound_statement,ts_0038,,UASF_0181,,,,IMPLICATION,48,44,MAPPED
c,compound_statement,compound_statement,ts_0038,,UASF_0182,,,,IMPLICATION,48,42,MAPPED
c,compound_statement,compound_statement,ts_0038,,UASF_0231,,,,IMPLICATION,48,46,MAPPED
c,compound_statement,compound_statement,ts_0038,,UASF_0236,,,,IMPLICATION,48,47,MAPPED
c,compound_statement,compound_statement,ts_0038,Deref,,,,,IMPLICATION,48,46,MAPPED
c,compound_statement,compound_statement,ts_0038,IfStmt,,,,,IMPLICATION,48,44,MAPPED
c,compound_statement,compound_statement,ts_0038,IndexExpr,,,,,IMPLICATION,48,43,MAPPED
c,compound_statement,compound_statement,ts_0038,LoopStmt,,,,,IMPLICATION,48,46,MAPPED
c,compound_statement,compound_statement,ts_0038,MemberAccessExpr,,,,,IMPLICATION,48,47,MAPPED
c,compound_statement,compound_statement,ts_0038,NilLiteral,,,,,IMPLICATION,48,47,MAPPED
c,compound_statement,compound_statement,ts_0038,ReturnStmt,,,,,IMPLICATION,48,44,MAPPED
c,concatenated_string,concatenated_string,ts_0039,MemberAccessExpr,,,,,IMPLICATION,6,5,MAPPED
c,conditional_expression,conditional_expression,ts_0040,,UASF_0051,,,,IMPLICATION,2,47,MAPPED
c,conditional_expression,conditional_expression,ts_0040,,UASF_0219,,,,IMPLICATION,2,40,MAPPED
c,conditional_expression,conditional_expression,ts_0040,,UASF_0220,,,,IMPLICATION,2,6,MAPPED
c,conditional_expression,conditional_expression,ts_0040,,UASF_0224,,,,IMPLICATION,2,21,MAPPED
c,conditional_expression,conditional_expression,ts_0040,,UASF_0225,,,,IMPLICATION,2,33,MAPPED
c,conditional_expression,conditional_expression,ts_0040,AssignStmt,,,,,IMPLICATION,2,6,MAPPED
c,conditional_expression,conditional_expression,ts_0040,LiteralExpr,,,,,IMPLICATION,2,19,MAPPED
c,conditional_expression,conditional_expression,ts_0040,OperationExpr,,,,,IMPLICATION,2,30,MAPPED
c,conditional_expression,conditional_expression,ts_0040,Scope,,,,,IMPLICATION,2,47,MAPPED
c,conditional_expression,conditional_expression,ts_0040,SymbolRef,,,,,IMPLICATION,2,40,MAPPED
c,declaration,declaration,ts_0041,,UASF_0231,,,,IMPLICATION,37,35,MAPPED
c,declaration,declaration,ts_0041,Deref,,,,,IMPLICATION,37,35,MAPPED
c,declaration,declaration,ts_0041,MemberAccessExpr,,,,,IMPLICATION,37,36,MAPPED
c,declaration_list,declaration_list,ts_0042,,UASF_0051,,,,IMPLICATION,1,48,MAPPED
c,declaration_list,declaration_list,ts_0042,,UASF_0181,,,,IMPLICATION,1,3,MAPPED
c,declaration_list,declaration_list,ts_0042,,UASF_0217,,,,IMPLICATION,1,19,MAPPED
c,declaration_list,declaration_list,ts_0042,,UASF_0219,,,,IMPLICATION,1,41,MAPPED
c,declaration_list,declaration_list,ts_0042,,UASF_0224,,,,IMPLICATION,1,22,MAPPED
c,declaration_list,declaration_list,ts_0042,ClosureExpr,,,,,IMPLICATION,1,19,MAPPED
c,declaration_list,declaration_list,ts_0042,LiteralExpr,,,,,IMPLICATION,1,20,MAPPED
c,declaration_list,declaration_list,ts_0042,ReturnStmt,,,,,IMPLICATION,1,3,MAPPED
c,declaration_list,declaration_list,ts_0042,Scope,,,,,IMPLICATION,1,48,MAPPED
c,declaration_list,declaration_list,ts_0042,SymbolRef,,,,,IMPLICATION,1,41,MAPPED
c,do_statement,do_statement,ts_0043,,UASF_0051,,,,IMPLICATION,2,47,MAPPED
c,do_statement,do_statement,ts_0043,,UASF_0217,,,,IMPLICATION,2,18,MAPPED
c,do_statement,do_statement,ts_0043,,UASF_0219,,,,IMPLICATION,2,40,MAPPED
c,do_statement,do_statement,ts_0043,,UASF_0225,,,,IMPLICATION,2,33,MAPPED
c,do_statement,do_statement,ts_0043,ClosureExpr,,,,,IMPLICATION,2,18,MAPPED
c,do_statement,do_statement,ts_0043,Scope,,,,,IMPLICATION,2,47,MAPPED
c,do_statement,do_statement,ts_0043,SymbolRef,,,,,IMPLICATION,2,40,MAPPED
c,else_clause,else_clause,ts_0044,,UASF_0051,,,,IMPLICATION,2,47,MAPPED
c,else_clause,else_clause,ts_0044,,UASF_0182,,,,IMPLICATION,2,4,MAPPED
c,else_clause,else_clause,ts_0044,,UASF_0219,,,,IMPLICATION,2,40,MAPPED
c,else_clause,else_clause,ts_0044,,UASF_0224,,,,IMPLICATION,2,21,MAPPED
c,else_clause,else_clause,ts_0044,,UASF_0225,,,,IMPLICATION,2,33,MAPPED
c,else_clause,else_clause,ts_0044,IfStmt,,,,,IMPLICATION,2,2,MAPPED
c,else_clause,else_clause,ts_0044,Scope,,,,,IMPLICATION,2,47,MAPPED
c,else_clause,else_clause,ts_0044,SymbolRef,,,,,IMPLICATION,2,40,MAPPED
c,enum_specifier,enum_specifier,ts_0045,MemberAccessExpr,,,,,IMPLICATION,3,2,MAPPED
c,enumerator,enumerator,ts_0045,MemberAccessExpr,,,,,IMPLICATION,3,2,MAPPED
c,enumerator_list,enumerator_list,ts_0045,MemberAccessExpr,,,,,IMPLICATION,3,2,MAPPED
c,expression_statement,expression_statement,ts_0047,,UASF_0182,,,,IMPLICATION,43,37,MAPPED
c,expression_statement,expression_statement,ts_0047,,UASF_0231,,,,IMPLICATION,43,41,MAPPED
c,expression_statement,expression_statement,ts_0047,,UASF_0236,,,,IMPLICATION,43,42,MAPPED
c,expression_statement,expression_statement,ts_0047,Deref,,,,,IMPLICATION,43,41,MAPPED
c,expression_statement,expression_statement,ts_0047,IfStmt,,,,,IMPLICATION,43,39,MAPPED
c,expression_statement,expression_statement,ts_0047,IndexExpr,,,,,IMPLICATION,43,38,MAPPED
c,expression_statement,expression_statement,ts_0047,LoopStmt,,,,,IMPLICATION,43,41,MAPPED
c,expression_statement,expression_statement,ts_0047,MemberAccessExpr,,,,,IMPLICATION,43,42,MAPPED
c,expression_statement,expression_statement,ts_0047,NilLiteral,,,,,IMPLICATION,43,42,MAPPED
c,false,false,ts_0049,,UASF_0051,,,,IMPLICATION,1,48,MAPPED
c,false,false,ts_0049,,UASF_0219,,,,IMPLICATION,1,41,MAPPED
c,false,false,ts_0049,,UASF_0224,,,,IMPLICATION,1,22,MAPPED
c,false,false,ts_0049,,UASF_0225,,,,IMPLICATION,1,34,MAPPED
c,false,false,ts_0049,,UASF_0236,,,,EXACT_VECTOR,1,0,MAPPED
c,false,false,ts_0049,LiteralExpr,,,,,IMPLICATION,1,20,MAPPED
c,false,false,ts_0049,NilLiteral,,,,,EXACT_VECTOR,1,0,MAPPED
c,false,false,ts_0049,OperationExpr,,,,,IMPLICATION,1,31,MAPPED
c,false,false,ts_0049,Scope,,,,,IMPLICATION,1,48,MAPPED
c,false,false,ts_0049,SymbolRef,,,,,IMPLICATION,1,41,MAPPED
c,field_declaration,field_declaration,ts_0050,MemberAccessExpr,,,,,IMPLICATION,9,8,MAPPED
c,field_declaration_list,field_declaration_list,ts_0051,MemberAccessExpr,,,,,IMPLICATION,10,9,MAPPED
c,field_designator,field_designator,ts_0017,,UASF_0051,,,,IMPLICATION,1,48,MAPPED
c,field_designator,field_designator,ts_0017,,UASF_0217,,,,IMPLICATION,1,19,MAPPED
c,field_designator,field_designator,ts_0017,,UASF_0219,,,,IMPLICATION,1,41,MAPPED
c,field_designator,field_designator,ts_0017,,UASF_0220,,,,IMPLICATION,1,7,MAPPED
c,field_designator,field_designator,ts_0017,,UASF_0224,,,,IMPLICATION,1,22,MAPPED
c,field_designator,field_designator,ts_0017,,UASF_0225,,,,IMPLICATION,1,34,MAPPED
c,field_designator,field_designator,ts_0017,AssignStmt,,,,,IMPLICATION,1,7,MAPPED
c,field_designator,field_designator,ts_0017,ClosureExpr,,,,,IMPLICATION,1,19,MAPPED
c,field_designator,field_designator,ts_0017,LiteralExpr,,,,,IMPLICATION,1,20,MAPPED
c,field_designator,field_designator,ts_0017,OperationExpr,,,,,IMPLICATION,1,31,MAPPED
c,field_designator,field_designator,ts_0017,Scope,,,,,IMPLICATION,1,48,MAPPED
c,field_designator,field_designator,ts_0017,SymbolRef,,,,,IMPLICATION,1,41,MAPPED
c,field_identifier,,ts_0053,MemberAccessExpr,,,,,IMPLICATION,15,14,MAPPED
c,function_declarator,function_declarator,ts_0055,,UASF_0181,,,,IMPLICATION,52,48,MAPPED
c,function_declarator,function_declarator,ts_0055,,UASF_0182,,,,IMPLICATION,52,46,MAPPED
c,function_declarator,function_declarator,ts_0055,,UASF_0231,,,,IMPLICATION,52,50,MAPPED
c,function_declarator,function_declarator,ts_0055,,UASF_0236,,,,IMPLICATION,52,51,MAPPED
c,function_declarator,function_declarator,ts_0055,Deref,,,,,IMPLICATION,52,50,MAPPED
c,function_declarator,function_declarator,ts_0055,IfStmt,,,,,IMPLICATION,52,48,MAPPED
c,function_declarator,function_declarator,ts_0055,IndexExpr,,,,,IMPLICATION,52,47,MAPPED
c,function_declarator,function_declarator,ts_0055,LoopStmt,,,,,IMPLICATION,52,50,MAPPED
c,function_declarator,function_declarator,ts_0055,MemberAccessExpr,,,,,IMPLICATION,52,51,MAPPED
c,function_declarator,function_declarator,ts_0055,NilLiteral,,,,,IMPLICATION,52,51,MAPPED
c,function_declarator,function_declarator,ts_0055,ReturnStmt,,,,,IMPLICATION,52,48,MAPPED
c,function_definition,function_definition,ts_0038,,UASF_0181,,,,IMPLICATION,48,44,MAPPED
c,function_definition,function_definition,ts_0038,,UASF_0182,,,,IMPLICATION,48,42,MAPPED
c,function_definition,function_definition,ts_0038,,UASF_0231,,,,IMPLICATION,48,46,MAPPED
c,function_definition,function_definition,ts_0038,,UASF_0236,,,,IMPLICATION,48,47,MAPPED
c,function_definition,function_definition,ts_0038,Deref,,,,,IMPLICATION,48,46,MAPPED
c,function_definition,function_definition,ts_0038,IfStmt,,,,,IMPLICATION,48,44,MAPPED
c,function_definition,function_definition,ts_0038,IndexExpr,,,,,IMPLICATION,48,43,MAPPED
c,function_definition,function_definition,ts_0038,LoopStmt,,,,,IMPLICATION,48,46,MAPPED
c,function_definition,function_definition,ts_0038,MemberAccessExpr,,,,,IMPLICATION,48,47,MAPPED
c,function_definition,function_definition,ts_0038,NilLiteral,,,,,IMPLICATION,48,47,MAPPED
c,function_definition,function_definition,ts_0038,ReturnStmt,,,,,IMPLICATION,48,44,MAPPED
c,gnu_asm_expression,gnu_asm_expression,ts_0058,MemberAccessExpr,,,,,IMPLICATION,4,3,MAPPED
c,goto_statement,goto_statement,ts_0060,,UASF_0051,,,,IMPLICATION,2,47,MAPPED
c,goto_statement,goto_statement,ts_0060,,UASF_0182,,,,IMPLICATION,2,4,MAPPED
c,goto_statement,goto_statement,ts_0060,,UASF_0217,,,,IMPLICATION,2,18,MAPPED
c,goto_statement,goto_statement,ts_0060,,UASF_0219,,,,IMPLICATION,2,40,MAPPED
c,goto_statement,goto_statement,ts_0060,ClosureExpr,,,,,IMPLICATION,2,18,MAPPED
c,goto_statement,goto_statement,ts_0060,IfStmt,,,,,IMPLICATION,2,2,MAPPED
c,goto_statement,goto_statement,ts_0060,Scope,,,,,IMPLICATION,2,47,MAPPED
c,goto_statement,goto_statement,ts_0060,SymbolRef,,,,,IMPLICATION,2,40,MAPPED
c,identifier,identifier,ts_0061,,UASF_0181,,,,IMPLICATION,79,75,MAPPED
c,identifier,identifier,ts_0061,,UASF_0182,,,,IMPLICATION,79,73,MAPPED
c,identifier,identifier,ts_0061,,UASF_0217,,,,IMPLICATION,79,59,MAPPED
c,identifier,identifier,ts_0061,,UASF_0220,,,,IMPLICATION,79,71,MAPPED
c,identifier,identifier,ts_0061,,UASF_0221,,,,IMPLICATION,79,70,MAPPED
