language_id,semantic_a,semantic_b,coobserved,cooccurrence_count
julia,UASF_0305,UASF_0306,1,193
nim,UASF_0026,UASF_0305,1,2
nim,UASF_0026,UASF_0306,1,5
nim,UASF_0118,UASF_0119,1,26
nim,UASF_0118,UASF_0151,1,3
nim,UASF_0118,UASF_0183,1,1
nim,UASF_0118,UASF_0207,1,9
nim,UASF_0118,UASF_0217,1,5
nim,UASF_0118,UASF_0223,1,3
nim,UASF_0118,UASF_0304,1,5
nim,UASF_0118,UASF_0305,1,54
nim,UASF_0118,UASF_0306,1,64
nim,UASF_0118,UASF_0308,1,2
nim,UASF_0119,UASF_0207,1,12
nim,UASF_0119,UASF_0305,1,12
nim,UASF_0119,UASF_0306,1,1
nim,UASF_0119,UASF_0308,1,1
nim,UASF_0151,UASF_0305,1,44
nim,UASF_0151,UASF_0306,1,178
nim,UASF_0183,UASF_0207,1,12
nim,UASF_0183,UASF_0304,1,6
nim,UASF_0183,UASF_0306,1,3
nim,UASF_0183,UASF_0308,1,4
nim,UASF_0207,UASF_0305,1,60
nim,UASF_0207,UASF_0306,1,111
nim,UASF_0207,UASF_0308,1,107
nim,UASF_0207,UASF_0309,1,1
nim,UASF_0217,UASF_0304,1,5
nim,UASF_0223,UASF_0305,1,51
nim,UASF_0304,UASF_0306,1,1
nim,UASF_0305,UASF_0306,1,1842
nim,UASF_0305,UASF_0308,1,29
nim,UASF_0305,UASF_0309,1,5
nim,UASF_0306,UASF_0308,1,3
nim,UASF_0306,UASF_0309,1,5
nim,UASF_0308,UASF_0309,1,1
r,UASF_0014,UASF_0042,1,4
r,UASF_0014,UASF_0071,1,3
r,UASF_0014,UASF_0077,1,4
r,UASF_0014,UASF_0171,1,16
r,UASF_0014,UASF_0181,1,11
r,UASF_0014,UASF_0182,1,2
r,UASF_0014,UASF_0219,1,27
r,UASF_0014,UASF_0220,1,682
r,UASF_0014,UASF_0233,1,27
r,UASF_0014,UASF_0306,1,17
r,UASF_0042,UASF_0046,1,2
r,UASF_0042,UASF_0071,1,6
r,UASF_0042,UASF_0077,1,18
r,UASF_0042,UASF_0169,1,1
r,UASF_0042,UASF_0171,1,1
r,UASF_0042,UASF_0181,1,1
r,UASF_0042,UASF_0182,1,16
r,UASF_0042,UASF_0219,1,102
r,UASF_0042,UASF_0220,1,844
r,UASF_0042,UASF_0232,1,87
r,UASF_0042,UASF_0233,1,102
r,UASF_0042,UASF_0239,1,7
r,UASF_0042,UASF_0306,1,22
r,UASF_0042,UASF_0315,1,3
r,UASF_0042,UASF_0325,1,1
r,UASF_0046,UASF_0071,1,4
r,UASF_0046,UASF_0077,1,27
r,UASF_0046,UASF_0171,1,3
r,UASF_0046,UASF_0181,1,2
r,UASF_0046,UASF_0182,1,36
r,UASF_0046,UASF_0219,1,50
r,UASF_0046,UASF_0220,1,375
r,UASF_0046,UASF_0232,1,6
r,UASF_0046,UASF_0233,1,50
r,UASF_0046,UASF_0239,1,6
r,UASF_0046,UASF_0306,1,8
r,UASF_0046,UASF_0315,1,1
r,UASF_0071,UASF_0077,1,393
r,UASF_0071,UASF_0171,1,136
r,UASF_0071,UASF_0181,1,90
r,UASF_0071,UASF_0182,1,324
r,UASF_0071,UASF_0213,1,2
r,UASF_0071,UASF_0219,1,637
r,UASF_0071,UASF_0220,1,8194
r,UASF_0071,UASF_0232,1,123
r,UASF_0071,UASF_0233,1,637
r,UASF_0071,UASF_0237,1,49
r,UASF_0071,UASF_0239,1,33
r,UASF_0071,UASF_0241,1,129
r,UASF_0071,UASF_0306,1,4599
r,UASF_0071,UASF_0315,1,62
r,UASF_0071,UASF_0325,1,18
r,UASF_0077,UASF_0169,1,68
r,UASF_0077,UASF_0171,1,272
r,UASF_0077,UASF_0181,1,257
r,UASF_0077,UASF_0182,1,1072
r,UASF_0077,UASF_0213,1,2
r,UASF_0077,UASF_0217,1,257
r,UASF_0077,UASF_0219,1,6072
r,UASF_0077,UASF_0220,1,28968
r,UASF_0077,UASF_0232,1,917
r,UASF_0077,UASF_0233,1,6072
r,UASF_0077,UASF_0239,1,88
r,UASF_0077,UASF_0241,1,9
r,UASF_0077,UASF_0306,1,509
r,UASF_0077,UASF_0315,1,244
r,UASF_0077,UASF_0325,1,51
r,UASF_0169,UASF_0181,1,1
r,UASF_0169,UASF_0182,1,3
r,UASF_0169,UASF_0213,1,2
r,UASF_0169,UASF_0219,1,11
r,UASF_0169,UASF_0220,1,191
r,UASF_0169,UASF_0233,1,11
r,UASF_0171,UASF_0181,1,35
r,UASF_0171,UASF_0182,1,4713
r,UASF_0171,UASF_0217,1,8
r,UASF_0171,UASF_0219,1,1045
r,UASF_0171,UASF_0220,1,5040
r,UASF_0171,UASF_0232,1,133
r,UASF_0171,UASF_0233,1,1045
r,UASF_0171,UASF_0239,1,23
r,UASF_0171,UASF_0241,1,1
r,UASF_0171,UASF_0306,1,413
r,UASF_0171,UASF_0315,1,476
r,UASF_0171,UASF_0325,1,59
r,UASF_0181,UASF_0182,1,2089
r,UASF_0181,UASF_0219,1,933
r,UASF_0181,UASF_0220,1,3564
r,UASF_0181,UASF_0232,1,225
r,UASF_0181,UASF_0233,1,933
r,UASF_0181,UASF_0239,1,7
r,UASF_0181,UASF_0306,1,288
r,UASF_0181,UASF_0315,1,484
r,UASF_0181,UASF_0325,1,105
r,UASF_0182,UASF_0213,1,64
r,UASF_0182,UASF_0217,1,34
r,UASF_0182,UASF_0219,1,17053
r,UASF_0182,UASF_0220,1,52807
r,UASF_0182,UASF_0232,1,2901
r,UASF_0182,UASF_0233,1,17053
r,UASF_0182,UASF_0239,1,96
r,UASF_0182,UASF_0241,1,5
r,UASF_0182,UASF_0306,1,716
r,UASF_0182,UASF_0315,1,1093
r,UASF_0182,UASF_0325,1,266
r,UASF_0213,UASF_0219,1,18
r,UASF_0213,UASF_0220,1,28
r,UASF_0213,UASF_0233,1,18
r,UASF_0217,UASF_0219,1,39
r,UASF_0217,UASF_0220,1,997
r,UASF_0217,UASF_0232,1,26
r,UASF_0217,UASF_0233,1,39
r,UASF_0217,UASF_0306,1,9
r,UASF_0217,UASF_0315,1,2
r,UASF_0219,UASF_0220,1,102788
r,UASF_0219,UASF_0232,1,6885
r,UASF_0219,UASF_0233,1,133486
r,UASF_0219,UASF_0239,1,356
r,UASF_0219,UASF_0241,1,3
r,UASF_0219,UASF_0306,1,2070
r,UASF_0219,UASF_0315,1,1243
r,UASF_0219,UASF_0325,1,178
r,UASF_0220,UASF_0232,1,21856
r,UASF_0220,UASF_0233,1,102788
r,UASF_0220,UASF_0237,1,85
r,UASF_0220,UASF_0239,1,1665
r,UASF_0220,UASF_0241,1,330
r,UASF_0220,UASF_0306,1,36823
r,UASF_0220,UASF_0315,1,9927
r,UASF_0220,UASF_0325,1,1803
r,UASF_0232,UASF_0233,1,6885
r,UASF_0232,UASF_0239,1,81
r,UASF_0232,UASF_0241,1,1
r,UASF_0232,UASF_0306,1,679
r,UASF_0232,UASF_0315,1,251
r,UASF_0232,UASF_0325,1,26
r,UASF_0233,UASF_0239,1,356
r,UASF_0233,UASF_0241,1,3
r,UASF_0233,UASF_0306,1,2070
r,UASF_0233,UASF_0315,1,1243
r,UASF_0233,UASF_0325,1,178
r,UASF_0237,UASF_0241,1,1
r,UASF_0237,UASF_0306,1,85
r,UASF_0239,UASF_0306,1,55
r,UASF_0239,UASF_0315,1,27
r,UASF_0239,UASF_0325,1,2
r,UASF_0241,UASF_0306,1,409
r,UASF_0306,UASF_0315,1,553
r,UASF_0306,UASF_0325,1,76
r,UASF_0315,UASF_0325,1,61
swift,UASF_0048,UASF_0151,1,13
swift,UASF_0048,UASF_0208,1,2
swift,UASF_0048,UASF_0217,1,66
swift,UASF_0048,UASF_0222,1,1
swift,UASF_0048,UASF_0301,1,10
swift,UASF_0048,UASF_0305,1,1
swift,UASF_0151,UASF_0182,1,1
swift,UASF_0151,UASF_0183,1,79
swift,UASF_0151,UASF_0208,1,10
swift,UASF_0151,UASF_0217,1,84
swift,UASF_0151,UASF_0222,1,68
swift,UASF_0151,UASF_0301,1,535
swift,UASF_0151,UASF_0305,1,117
swift,UASF_0151,UASF_0306,1,1722
swift,UASF_0182,UASF_0183,1,45
swift,UASF_0182,UASF_0208,1,26
swift,UASF_0182,UASF_0217,1,37
swift,UASF_0182,UASF_0219,1,1
swift,UASF_0182,UASF_0222,1,85
swift,UASF_0182,UASF_0305,1,230
swift,UASF_0182,UASF_0306,1,5
swift,UASF_0183,UASF_0208,1,313
swift,UASF_0183,UASF_0217,1,1092
swift,UASF_0183,UASF_0219,1,150
swift,UASF_0183,UASF_0222,1,3586
swift,UASF_0183,UASF_0301,1,3
swift,UASF_0183,UASF_0305,1,162
swift,UASF_0183,UASF_0306,1,39
swift,UASF_0183,UASF_0307,1,2
swift,UASF_0208,UASF_0217,1,36
swift,UASF_0208,UASF_0219,1,106
swift,UASF_0208,UASF_0222,1,57
swift,UASF_0208,UASF_0301,1,124
swift,UASF_0208,UASF_0305,1,67
swift,UASF_0208,UASF_0306,1,8
swift,UASF_0217,UASF_0219,1,1
swift,UASF_0217,UASF_0222,1,1072
swift,UASF_0217,UASF_0301,1,57
swift,UASF_0217,UASF_0305,1,60
swift,UASF_0217,UASF_0306,1,5
swift,UASF_0219,UASF_0222,1,11
swift,UASF_0219,UASF_0301,1,9
swift,UASF_0219,UASF_0305,1,44
swift,UASF_0219,UASF_0306,1,1
swift,UASF_0219,UASF_0307,1,1
swift,UASF_0219,UASF_0309,1,5
swift,UASF_0222,UASF_0305,1,23
swift,UASF_0301,UASF_0305,1,160
swift,UASF_0301,UASF_0306,1,957
swift,UASF_0301,UASF_0308,1,1
swift,UASF_0301,UASF_0311,1,3
swift,UASF_0304,UASF_0308,1,9
swift,UASF_0304,UASF_0309,1,2
swift,UASF_0304,UASF_0311,1,3
swift,UASF_0305,UASF_0306,1,782
swift,UASF_0305,UASF_0307,1,5
swift,UASF_0305,UASF_0308,1,102
swift,UASF_0305,UASF_0309,1,8
swift,UASF_0305,UASF_0311,1,100
swift,UASF_0306,UASF_0311,1,27
swift,UASF_0307,UASF_0311,1,1
zig,UASF_0022,UASF_0024,1,10
zig,UASF_0022,UASF_0118,1,26
zig,UASF_0022,UASF_0183,1,17
zig,UASF_0022,UASF_0206,1,15
zig,UASF_0022,UASF_0208,1,32
zig,UASF_0022,UASF_0219,1,2
zig,UASF_0022,UASF_0306,1,1010
zig,UASF_0022,UASF_0308,1,381
zig,UASF_0022,UASF_0309,1,2
zig,UASF_0024,UASF_0118,1,2
zig,UASF_0024,UASF_0153,1,1
zig,UASF_0024,UASF_0154,1,5
zig,UASF_0024,UASF_0178,1,12
zig,UASF_0024,UASF_0183,1,54
zig,UASF_0024,UASF_0206,1,5
zig,UASF_0024,UASF_0208,1,18
zig,UASF_0024,UASF_0219,1,7
zig,UASF_0024,UASF_0306,1,11
zig,UASF_0024,UASF_0308,1,20
zig,UASF_0118,UASF_0178,1,37
zig,UASF_0118,UASF_0183,1,240
zig,UASF_0118,UASF_0206,1,2
zig,UASF_0118,UASF_0208,1,216
zig,UASF_0118,UASF_0219,1,193
zig,UASF_0118,UASF_0305,1,198
zig,UASF_0118,UASF_0306,1,1217
zig,UASF_0118,UASF_0308,1,14
zig,UASF_0118,UASF_0309,1,14
zig,UASF_0153,UASF_0206,1,1
zig,UASF_0153,UASF_0208,1,1
zig,UASF_0154,UASF_0178,1,1
zig,UASF_0154,UASF_0183,1,1
zig,UASF_0178,UASF_0183,1,525
zig,UASF_0178,UASF_0206,1,2
zig,UASF_0178,UASF_0208,1,73
zig,UASF_0178,UASF_0219,1,725
zig,UASF_0178,UASF_0309,1,10
zig,UASF_0183,UASF_0206,1,2
zig,UASF_0183,UASF_0208,1,852
zig,UASF_0183,UASF_0219,1,3333
zig,UASF_0183,UASF_0305,1,1
zig,UASF_0183,UASF_0306,1,2
zig,UASF_0183,UASF_0308,1,129
zig,UASF_0183,UASF_0309,1,6
zig,UASF_0206,UASF_0208,1,5
zig,UASF_0206,UASF_0306,1,10
zig,UASF_0206,UASF_0308,1,1
zig,UASF_0208,UASF_0219,1,95
zig,UASF_0208,UASF_0305,1,21
zig,UASF_0208,UASF_0306,1,2202
zig,UASF_0208,UASF_0308,1,93
zig,UASF_0208,UASF_0309,1,37
zig,UASF_0219,UASF_0306,1,5
zig,UASF_0219,UASF_0308,1,2
zig,UASF_0305,UASF_0306,1,570
zig,UASF_0305,UASF_0308,1,5
zig,UASF_0305,UASF_0309,1,1
zig,UASF_0306,UASF_0308,1,180
zig,UASF_0306,UASF_0309,1,38
zig,UASF_0308,UASF_0309,1,1
