row,structure.declaration::C001,structure.expression::C001,type.value::C001,binding.scope::C001,control.flow::C001,data.flow::C001,effect::C001,evaluation::C001,exception::C001,memory.lifetime::C001,concurrency::C001,compiletime.meta::C001,module.dispatch::C001,abi.layout::C001,lowering.runtime.validation::C001,language.contract::C001,dialect.extension::C001
UASF_0023,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
UASF_0024,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
UASF_0025,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
UASF_0026,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
UASF_0027,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
UASF_0028,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
UASF_0029,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
UASF_0030,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
UASF_0031,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
UASF_0032,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
UASF_0033,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
UASF_0034,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
UASF_0035,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
UASF_0036,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
UASF_0037,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
UASF_0038,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
UASF_0039,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
UASF_0040,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UASF_0041,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0042,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
UASF_0043,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
UASF_0044,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
UASF_0045,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0046,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
UASF_0047,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0048,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0049,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0050,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0051,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0052,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0053,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
UASF_0054,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0055,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
UASF_0056,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
UASF_0057,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
UASF_0058,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
UASF_0059,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
UASF_0060,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0061,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
UASF_0062,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0063,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0064,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0065,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
UASF_0066,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
UASF_0067,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0068,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0069,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0
UASF_0070,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
UASF_0071,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
UASF_0072,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
UASF_0073,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
UASF_0074,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
UASF_0075,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0076,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0077,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
UASF_0078,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
UASF_0079,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
UASF_0080,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
UASF_0081,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
UASF_0082,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
UASF_0083,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
UASF_0084,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
UASF_0085,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
UASF_0086,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0087,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0088,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0089,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0090,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
UASF_0091,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0092,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
UASF_0093,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
UASF_0094,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0095,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0096,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
UASF_0097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
UASF_0098,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
UASF_0099,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0100,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0101,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
UASF_0102,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
UASF_0103,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
UASF_0104,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
UASF_0105,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0106,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
UASF_0107,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
UASF_0108,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
UASF_0109,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
UASF_0110,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
UASF_0111,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
UASF_0112,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
UASF_0113,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
UASF_0114,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
UASF_0115,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
UASF_0116,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
UASF_0117,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
UASF_0118,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
UASF_0119,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
UASF_0120,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
UASF_0121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
UASF_0122,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
UASF_0123,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
UASF_0124,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
UASF_0125,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
UASF_0126,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
UASF_0127,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0
UASF_0128,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
UASF_0129,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
UASF_0130,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
UASF_0131,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
UASF_0132,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
UASF_0133,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
UASF_0134,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
UASF_0135,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
UASF_0136,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
UASF_0137,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
UASF_0138,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
UASF_0139,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
UASF_0140,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
UASF_0141,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
UASF_0142,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
UASF_0143,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
UASF_0144,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
UASF_0145,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
UASF_0146,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
UASF_0147,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
UASF_0148,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
UASF_0149,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
UASF_0150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UASF_0151,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UASF_0152,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UASF_0153,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UASF_0154,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UASF_0155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UASF_0156,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
UASF_0157,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
UASF_0158,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
UASF_0159,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
UASF_0160,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
UASF_0161,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
UASF_0162,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
UASF_0163,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
UASF_0164,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
UASF_0165,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
UASF_0166,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
UASF_0167,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0168,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
UASF_0169,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
UASF_0170,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
UASF_0171,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
UASF_0172,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
UASF_0173,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0
UASF_0174,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
UASF_0175,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
UASF_0176,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
UASF_0177,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
UASF_0178,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
UASF_0179,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
UASF_0180,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
UASF_0181,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
UASF_0182,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
UASF_0183,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
UASF_0184,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
UASF_0185,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
UASF_0186,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
UASF_0187,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
UASF_0188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
UASF_0189,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0190,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0191,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
UASF_0192,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
UASF_0193,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0194,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0195,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
UASF_0196,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
UASF_0197,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
UASF_0198,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0199,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
UASF_0200,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UASF_0201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
UASF_0202,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0203,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0205,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0206,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0207,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0209,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0210,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
UASF_0211,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
UASF_0212,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
UASF_0213,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
UASF_0214,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
UASF_0215,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
UASF_0216,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
UASF_0217,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
UASF_0218,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
UASF_0219,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
UASF_0220,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
UASF_0221,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
UASF_0222,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
UASF_0223,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
UASF_0224,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
UASF_0225,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
UASF_0226,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
UASF_0227,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
UASF_0228,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
UASF_0229,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
UASF_0230,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
UASF_0231,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
UASF_0232,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
UASF_0233,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
UASF_0234,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
UASF_0235,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
UASF_0236,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0237,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1
UASF_0238,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
UASF_0239,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1
UASF_0240,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
UASF_0241,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1
UASF_0242,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
UASF_0243,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
UASF_0244,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
UASF_0245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
UASF_0246,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
UASF_0247,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
UASF_0248,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
UASF_0249,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
UASF_0250,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
UASF_0251,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
UASF_0252,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
UASF_0253,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
UASF_0254,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
UASF_0255,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
UASF_0256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
UASF_0257,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
UASF_0258,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
UASF_0259,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
UASF_0260,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
UASF_0261,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
UASF_0262,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
UASF_0263,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
UASF_0264,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
UASF_0265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
UASF_0266,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
UASF_0267,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
UASF_0268,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
UASF_0269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
UASF_0270,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UASF_0271,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
UASF_0272,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
UASF_0273,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
UASF_0274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
UASF_0275,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
UASF_0276,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
UASF_0277,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
UASF_0278,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
UASF_0279,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
UASF_0280,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
UASF_0281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
UASF_0282,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UASF_0283,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
UASF_0284,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
UASF_0285,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
UASF_0286,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
UASF_0287,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UASF_0288,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
UASF_0289,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
UASF_0290,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
UASF_0291,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0292,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
UASF_0293,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
UASF_0294,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0295,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0296,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0297,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
UASF_0298,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0299,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
UASF_0300,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0301,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0302,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0303,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0304,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0305,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0306,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0307,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0308,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0309,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0310,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0311,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0312,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UASF_0313,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
UASF_0314,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
UASF_0315,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
UASF_0316,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
UASF_0317,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
UASF_0318,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
UASF_0319,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UASF_0320,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UASF_0321,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UASF_0322,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
UASF_0323,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
UASF_0324,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
UASF_0325,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
UASF_0326,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0327,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
UASF_0328,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
UASF_0329,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
UASF_0330,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
UASF_0331,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
UASF_0332,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
UASF_0333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
