row,structure.declaration,structure.expression,type.value,binding.scope,control.flow,data.flow,effect,evaluation,exception,memory.lifetime,concurrency,compiletime.meta,module.dispatch,abi.layout,lowering.runtime.validation,language.contract,dialect.extension
FunctionType,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GenericParam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GenericParamDecl,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GotoLabelStmt,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
IRFact,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
IfStmt,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
ImportDecl,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IndexExpr,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Instantiation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IntegerType,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InterfaceType,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
InterfaceTypeDecl,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LayoutContract,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
LifetimeRegion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LiteralExpr,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
LoopStmt,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
LoweringFact,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
MacroCompileTime,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
MapIndexExpr,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
MapType,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
MemberAccessExpr,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
MemoryManagement,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
MemoryModelContract,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
MethodDecl,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MethodExpr,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MethodSet,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MethodValue,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ModuleDecl,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NilLiteral,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NominalTypeDecl,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OperationExpr,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
OptimizationFact,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
OptionalType,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OwnershipSemantics,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
PanicRecover,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ParameterDecl,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PointerType,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
RaisePanicStmt,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
ReceiveExpr,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
RecordTypeDecl,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ReferenceType,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReflectionOp,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
ReturnStmt,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
SafetyRegion,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Scope,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SelectStmt,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
SendStmt,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
ShadowingRelation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SliceExpr,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
SliceType,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
SpawnStmt,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
StringType,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SwitchMatchStmt,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
SymbolRef,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
SynchronizationOp,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TryStmt,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
TupleExpr,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
TupleResult,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TupleType,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TypeAssertExpr,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
TypeConstraint,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TypeInferenceFact,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TypeRelation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TypeSet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TypeSwitchStmt,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
UnionVariantType,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UnsafeIntrinsic,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
VariableDecl,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VariableDeclGroup,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
VariantTypeDecl,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Visibility,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
YieldExpr,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
