feature,family,structural_node,typed_semantics,binding_scope,evaluation_order,effect_model,runtime_contract,backend_lowering,coverage
unsafe_pointer_ops,unsafe_memory,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.1471
volatile_semantics,concurrency_memory,0.05,0.05,0.05,0.05,0.05,0.1,0.03,0.0543
lock_monitor_semantics,concurrency_memory,0.1,0.1,0.1,0.1,0.18,0.15,0.08,0.1157
interlocked_atomic_semantics,concurrency_memory,0.05,0.05,0.05,0.05,0.05,0.1,0.03,0.0543
attributes_metadata,metadata_runtime,0.33,0.15,0.15,0.15,0.15,0.2,0.13,0.18
assemblies_modules_metadata,metadata_runtime,0.05,0.05,0.05,0.05,0.05,0.1,0,0.05
explicit_interface_impl,object_model,0.1,0.1,0.2,0.1,0.1,0.15,0.08,0.1186
reflection_dynamic_runtime,metadata_runtime,0.05,0.05,0.05,0.05,0.05,0.1,0.03,0.0543
top_level_statements,declarations,0.28,0.1,0.2,0.1,0.1,0.1,0.05,0.1329
global_usings_file_namespace,declarations,0.15,0.15,0.25,0.15,0.15,0.15,0.13,0.1614
source_generators_compiletime,metaprogramming,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.0471
