source,target,route
c,kotlin,source_parser->R2Many_CIR->target_emitter
c,swift,source_parser->R2Many_CIR->target_emitter
python,r,source_parser->R2Many_CIR->target_emitter
python,go,source_parser->R2Many_CIR->target_emitter
python,rust,source_parser->R2Many_CIR->target_emitter
python,cpp,source_parser->R2Many_CIR->target_emitter
python,c,source_parser->R2Many_CIR->target_emitter
python,zig,source_parser->R2Many_CIR->target_emitter
python,julia,source_parser->R2Many_CIR->target_emitter
python,nim,source_parser->R2Many_CIR->target_emitter
python,csharp,source_parser->R2Many_CIR->target_emitter
python,java,source_parser->R2Many_CIR->target_emitter
python,kotlin,source_parser->R2Many_CIR->target_emitter
python,swift,source_parser->R2Many_CIR->target_emitter
zig,r,source_parser->R2Many_CIR->target_emitter
zig,go,source_parser->R2Many_CIR->target_emitter
zig,rust,source_parser->R2Many_CIR->target_emitter
zig,cpp,source_parser->R2Many_CIR->target_emitter
zig,c,source_parser->R2Many_CIR->target_emitter
zig,python,source_parser->R2Many_CIR->target_emitter
zig,julia,source_parser->R2Many_CIR->target_emitter
zig,nim,source_parser->R2Many_CIR->target_emitter
zig,csharp,source_parser->R2Many_CIR->target_emitter
zig,java,source_parser->R2Many_CIR->target_emitter
zig,kotlin,source_parser->R2Many_CIR->target_emitter
zig,swift,source_parser->R2Many_CIR->target_emitter
julia,r,source_parser->R2Many_CIR->target_emitter
julia,go,source_parser->R2Many_CIR->target_emitter
julia,rust,source_parser->R2Many_CIR->target_emitter
julia,cpp,source_parser->R2Many_CIR->target_emitter
julia,c,source_parser->R2Many_CIR->target_emitter
julia,python,source_parser->R2Many_CIR->target_emitter
julia,zig,source_parser->R2Many_CIR->target_emitter
julia,nim,source_parser->R2Many_CIR->target_emitter
julia,csharp,source_parser->R2Many_CIR->target_emitter
julia,java,source_parser->R2Many_CIR->target_emitter
julia,kotlin,source_parser->R2Many_CIR->target_emitter
julia,swift,source_parser->R2Many_CIR->target_emitter
nim,r,source_parser->R2Many_CIR->target_emitter
nim,go,source_parser->R2Many_CIR->target_emitter
nim,rust,source_parser->R2Many_CIR->target_emitter
nim,cpp,source_parser->R2Many_CIR->target_emitter
nim,c,source_parser->R2Many_CIR->target_emitter
nim,python,source_parser->R2Many_CIR->target_emitter
nim,zig,source_parser->R2Many_CIR->target_emitter
nim,julia,source_parser->R2Many_CIR->target_emitter
nim,csharp,source_parser->R2Many_CIR->target_emitter
nim,java,source_parser->R2Many_CIR->target_emitter
nim,kotlin,source_parser->R2Many_CIR->target_emitter
nim,swift,source_parser->R2Many_CIR->target_emitter
csharp,r,source_parser->R2Many_CIR->target_emitter
csharp,go,source_parser->R2Many_CIR->target_emitter
csharp,rust,source_parser->R2Many_CIR->target_emitter
csharp,cpp,source_parser->R2Many_CIR->target_emitter
csharp,c,source_parser->R2Many_CIR->target_emitter
csharp,python,source_parser->R2Many_CIR->target_emitter
csharp,zig,source_parser->R2Many_CIR->target_emitter
csharp,julia,source_parser->R2Many_CIR->target_emitter
csharp,nim,source_parser->R2Many_CIR->target_emitter
csharp,java,source_parser->R2Many_CIR->target_emitter
csharp,kotlin,source_parser->R2Many_CIR->target_emitter
csharp,swift,source_parser->R2Many_CIR->target_emitter
java,r,source_parser->R2Many_CIR->target_emitter
java,go,source_parser->R2Many_CIR->target_emitter
java,rust,source_parser->R2Many_CIR->target_emitter
java,cpp,source_parser->R2Many_CIR->target_emitter
java,c,source_parser->R2Many_CIR->target_emitter
java,python,source_parser->R2Many_CIR->target_emitter
java,zig,source_parser->R2Many_CIR->target_emitter
java,julia,source_parser->R2Many_CIR->target_emitter
java,nim,source_parser->R2Many_CIR->target_emitter
java,csharp,source_parser->R2Many_CIR->target_emitter
java,kotlin,source_parser->R2Many_CIR->target_emitter
java,swift,source_parser->R2Many_CIR->target_emitter
kotlin,r,source_parser->R2Many_CIR->target_emitter
kotlin,go,source_parser->R2Many_CIR->target_emitter
kotlin,rust,source_parser->R2Many_CIR->target_emitter
kotlin,cpp,source_parser->R2Many_CIR->target_emitter
kotlin,c,source_parser->R2Many_CIR->target_emitter
kotlin,python,source_parser->R2Many_CIR->target_emitter
kotlin,zig,source_parser->R2Many_CIR->target_emitter
kotlin,julia,source_parser->R2Many_CIR->target_emitter
kotlin,nim,source_parser->R2Many_CIR->target_emitter
kotlin,csharp,source_parser->R2Many_CIR->target_emitter
kotlin,java,source_parser->R2Many_CIR->target_emitter
kotlin,swift,source_parser->R2Many_CIR->target_emitter
swift,r,source_parser->R2Many_CIR->target_emitter
swift,go,source_parser->R2Many_CIR->target_emitter
swift,rust,source_parser->R2Many_CIR->target_emitter
swift,cpp,source_parser->R2Many_CIR->target_emitter
swift,c,source_parser->R2Many_CIR->target_emitter
swift,python,source_parser->R2Many_CIR->target_emitter
swift,zig,source_parser->R2Many_CIR->target_emitter
swift,julia,source_parser->R2Many_CIR->target_emitter
swift,nim,source_parser->R2Many_CIR->target_emitter
swift,csharp,source_parser->R2Many_CIR->target_emitter
swift,java,source_parser->R2Many_CIR->target_emitter
swift,kotlin,source_parser->R2Many_CIR->target_emitter
