table_index,name,kernel,arity,target,route
15,[,subset,-1,kotlin,kotlin:subset:[
15,[,subset,-1,swift,swift:subset:[
16,[[,subset,-1,go,go:subset:[[
16,[[,subset,-1,rust,rust:subset:[[
16,[[,subset,-1,cpp,cpp:subset:[[
16,[[,subset,-1,c,c:subset:[[
16,[[,subset,-1,python,python:subset:[[
16,[[,subset,-1,zig,zig:subset:[[
16,[[,subset,-1,julia,julia:subset:[[
16,[[,subset,-1,nim,nim:subset:[[
16,[[,subset,-1,csharp,csharp:subset:[[
16,[[,subset,-1,java,java:subset:[[
16,[[,subset,-1,kotlin,kotlin:subset:[[
16,[[,subset,-1,swift,swift:subset:[[
17,$,subset,2,go,go:subset:$
17,$,subset,2,rust,rust:subset:$
17,$,subset,2,cpp,cpp:subset:$
17,$,subset,2,c,c:subset:$
17,$,subset,2,python,python:subset:$
17,$,subset,2,zig,zig:subset:$
17,$,subset,2,julia,julia:subset:$
17,$,subset,2,nim,nim:subset:$
17,$,subset,2,csharp,csharp:subset:$
17,$,subset,2,java,java:subset:$
17,$,subset,2,kotlin,kotlin:subset:$
17,$,subset,2,swift,swift:subset:$
18,@,language,2,go,go:language:@
18,@,language,2,rust,rust:language:@
18,@,language,2,cpp,cpp:language:@
18,@,language,2,c,c:language:@
18,@,language,2,python,python:language:@
18,@,language,2,zig,zig:language:@
18,@,language,2,julia,julia:language:@
18,@,language,2,nim,nim:language:@
18,@,language,2,csharp,csharp:language:@
18,@,language,2,java,java:language:@
18,@,language,2,kotlin,kotlin:language:@
18,@,language,2,swift,swift:language:@
19,[<-,replacement,3,go,go:replacement:[<-
19,[<-,replacement,3,rust,rust:replacement:[<-
19,[<-,replacement,3,cpp,cpp:replacement:[<-
19,[<-,replacement,3,c,c:replacement:[<-
19,[<-,replacement,3,python,python:replacement:[<-
19,[<-,replacement,3,zig,zig:replacement:[<-
19,[<-,replacement,3,julia,julia:replacement:[<-
19,[<-,replacement,3,nim,nim:replacement:[<-
19,[<-,replacement,3,csharp,csharp:replacement:[<-
19,[<-,replacement,3,java,java:replacement:[<-
19,[<-,replacement,3,kotlin,kotlin:replacement:[<-
19,[<-,replacement,3,swift,swift:replacement:[<-
20,[[<-,replacement,3,go,go:replacement:[[<-
20,[[<-,replacement,3,rust,rust:replacement:[[<-
20,[[<-,replacement,3,cpp,cpp:replacement:[[<-
20,[[<-,replacement,3,c,c:replacement:[[<-
20,[[<-,replacement,3,python,python:replacement:[[<-
20,[[<-,replacement,3,zig,zig:replacement:[[<-
20,[[<-,replacement,3,julia,julia:replacement:[[<-
20,[[<-,replacement,3,nim,nim:replacement:[[<-
20,[[<-,replacement,3,csharp,csharp:replacement:[[<-
20,[[<-,replacement,3,java,java:replacement:[[<-
20,[[<-,replacement,3,kotlin,kotlin:replacement:[[<-
20,[[<-,replacement,3,swift,swift:replacement:[[<-
21,$<-,replacement,3,go,go:replacement:$<-
21,$<-,replacement,3,rust,rust:replacement:$<-
21,$<-,replacement,3,cpp,cpp:replacement:$<-
21,$<-,replacement,3,c,c:replacement:$<-
21,$<-,replacement,3,python,python:replacement:$<-
21,$<-,replacement,3,zig,zig:replacement:$<-
21,$<-,replacement,3,julia,julia:replacement:$<-
21,$<-,replacement,3,nim,nim:replacement:$<-
21,$<-,replacement,3,csharp,csharp:replacement:$<-
21,$<-,replacement,3,java,java:replacement:$<-
21,$<-,replacement,3,kotlin,kotlin:replacement:$<-
21,$<-,replacement,3,swift,swift:replacement:$<-
22,switch,language,-1,go,go:language:switch
22,switch,language,-1,rust,rust:language:switch
22,switch,language,-1,cpp,cpp:language:switch
22,switch,language,-1,c,c:language:switch
22,switch,language,-1,python,python:language:switch
22,switch,language,-1,zig,zig:language:switch
22,switch,language,-1,julia,julia:language:switch
22,switch,language,-1,nim,nim:language:switch
22,switch,language,-1,csharp,csharp:language:switch
22,switch,language,-1,java,java:language:switch
22,switch,language,-1,kotlin,kotlin:language:switch
22,switch,language,-1,swift,swift:language:switch
23,browser,language,-1,go,go:language:browser
23,browser,language,-1,rust,rust:language:browser
23,browser,language,-1,cpp,cpp:language:browser
23,browser,language,-1,c,c:language:browser
23,browser,language,-1,python,python:language:browser
23,browser,language,-1,zig,zig:language:browser
23,browser,language,-1,julia,julia:language:browser
23,browser,language,-1,nim,nim:language:browser
23,browser,language,-1,csharp,csharp:language:browser
23,browser,language,-1,java,java:language:browser
23,browser,language,-1,kotlin,kotlin:language:browser
23,browser,language,-1,swift,swift:language:browser
24,.primTrace,runtime,1,go,go:runtime:.primTrace
24,.primTrace,runtime,1,rust,rust:runtime:.primTrace
24,.primTrace,runtime,1,cpp,cpp:runtime:.primTrace
24,.primTrace,runtime,1,c,c:runtime:.primTrace
24,.primTrace,runtime,1,python,python:runtime:.primTrace
24,.primTrace,runtime,1,zig,zig:runtime:.primTrace
24,.primTrace,runtime,1,julia,julia:runtime:.primTrace
24,.primTrace,runtime,1,nim,nim:runtime:.primTrace
24,.primTrace,runtime,1,csharp,csharp:runtime:.primTrace
24,.primTrace,runtime,1,java,java:runtime:.primTrace
24,.primTrace,runtime,1,kotlin,kotlin:runtime:.primTrace
24,.primTrace,runtime,1,swift,swift:runtime:.primTrace
25,.primUntrace,runtime,1,go,go:runtime:.primUntrace
25,.primUntrace,runtime,1,rust,rust:runtime:.primUntrace
25,.primUntrace,runtime,1,cpp,cpp:runtime:.primUntrace
25,.primUntrace,runtime,1,c,c:runtime:.primUntrace
25,.primUntrace,runtime,1,python,python:runtime:.primUntrace
25,.primUntrace,runtime,1,zig,zig:runtime:.primUntrace
25,.primUntrace,runtime,1,julia,julia:runtime:.primUntrace
25,.primUntrace,runtime,1,nim,nim:runtime:.primUntrace
25,.primUntrace,runtime,1,csharp,csharp:runtime:.primUntrace
25,.primUntrace,runtime,1,java,java:runtime:.primUntrace
25,.primUntrace,runtime,1,kotlin,kotlin:runtime:.primUntrace
25,.primUntrace,runtime,1,swift,swift:runtime:.primUntrace
26,.Internal,language,1,go,go:language:.Internal
26,.Internal,language,1,rust,rust:language:.Internal
26,.Internal,language,1,cpp,cpp:language:.Internal
26,.Internal,language,1,c,c:language:.Internal
26,.Internal,language,1,python,python:language:.Internal
26,.Internal,language,1,zig,zig:language:.Internal
26,.Internal,language,1,julia,julia:language:.Internal
26,.Internal,language,1,nim,nim:language:.Internal
26,.Internal,language,1,csharp,csharp:language:.Internal
26,.Internal,language,1,java,java:language:.Internal
26,.Internal,language,1,kotlin,kotlin:language:.Internal
26,.Internal,language,1,swift,swift:language:.Internal
27,.Primitive,runtime,1,go,go:runtime:.Primitive
27,.Primitive,runtime,1,rust,rust:runtime:.Primitive
27,.Primitive,runtime,1,cpp,cpp:runtime:.Primitive
27,.Primitive,runtime,1,c,c:runtime:.Primitive
27,.Primitive,runtime,1,python,python:runtime:.Primitive
27,.Primitive,runtime,1,zig,zig:runtime:.Primitive
27,.Primitive,runtime,1,julia,julia:runtime:.Primitive
27,.Primitive,runtime,1,nim,nim:runtime:.Primitive
27,.Primitive,runtime,1,csharp,csharp:runtime:.Primitive
27,.Primitive,runtime,1,java,java:runtime:.Primitive
27,.Primitive,runtime,1,kotlin,kotlin:runtime:.Primitive
27,.Primitive,runtime,1,swift,swift:runtime:.Primitive
28,call,language,-1,go,go:language:call
28,call,language,-1,rust,rust:language:call
28,call,language,-1,cpp,cpp:language:call
28,call,language,-1,c,c:language:call
28,call,language,-1,python,python:language:call
28,call,language,-1,zig,zig:language:call
28,call,language,-1,julia,julia:language:call
28,call,language,-1,nim,nim:language:call
28,call,language,-1,csharp,csharp:language:call
28,call,language,-1,java,java:language:call
28,call,language,-1,kotlin,kotlin:language:call
28,call,language,-1,swift,swift:language:call
29,quote,language,1,go,go:language:quote
29,quote,language,1,rust,rust:language:quote
29,quote,language,1,cpp,cpp:language:quote
29,quote,language,1,c,c:language:quote
29,quote,language,1,python,python:language:quote
29,quote,language,1,zig,zig:language:quote
29,quote,language,1,julia,julia:language:quote
29,quote,language,1,nim,nim:language:quote
29,quote,language,1,csharp,csharp:language:quote
29,quote,language,1,java,java:language:quote
29,quote,language,1,kotlin,kotlin:language:quote
29,quote,language,1,swift,swift:language:quote
30,substitute,character,-1,go,go:character:substitute
30,substitute,character,-1,rust,rust:character:substitute
30,substitute,character,-1,cpp,cpp:character:substitute
30,substitute,character,-1,c,c:character:substitute
30,substitute,character,-1,python,python:character:substitute
30,substitute,character,-1,zig,zig:character:substitute
30,substitute,character,-1,julia,julia:character:substitute
30,substitute,character,-1,nim,nim:character:substitute
30,substitute,character,-1,csharp,csharp:character:substitute
30,substitute,character,-1,java,java:character:substitute
30,substitute,character,-1,kotlin,kotlin:character:substitute
30,substitute,character,-1,swift,swift:character:substitute
31,missing,language,1,go,go:language:missing
31,missing,language,1,rust,rust:language:missing
31,missing,language,1,cpp,cpp:language:missing
31,missing,language,1,c,c:language:missing
31,missing,language,1,python,python:language:missing
31,missing,language,1,zig,zig:language:missing
31,missing,language,1,julia,julia:language:missing
31,missing,language,1,nim,nim:language:missing
31,missing,language,1,csharp,csharp:language:missing
31,missing,language,1,java,java:language:missing
31,missing,language,1,kotlin,kotlin:language:missing
31,missing,language,1,swift,swift:language:missing
32,nargs,runtime,0,go,go:runtime:nargs
32,nargs,runtime,0,rust,rust:runtime:nargs
32,nargs,runtime,0,cpp,cpp:runtime:nargs
32,nargs,runtime,0,c,c:runtime:nargs
32,nargs,runtime,0,python,python:runtime:nargs
32,nargs,runtime,0,zig,zig:runtime:nargs
32,nargs,runtime,0,julia,julia:runtime:nargs
32,nargs,runtime,0,nim,nim:runtime:nargs
32,nargs,runtime,0,csharp,csharp:runtime:nargs
32,nargs,runtime,0,java,java:runtime:nargs
32,nargs,runtime,0,kotlin,kotlin:runtime:nargs
32,nargs,runtime,0,swift,swift:runtime:nargs
33,on.exit,language,-1,go,go:language:on.exit
33,on.exit,language,-1,rust,rust:language:on.exit
33,on.exit,language,-1,cpp,cpp:language:on.exit
33,on.exit,language,-1,c,c:language:on.exit
33,on.exit,language,-1,python,python:language:on.exit
33,on.exit,language,-1,zig,zig:language:on.exit
33,on.exit,language,-1,julia,julia:language:on.exit
33,on.exit,language,-1,nim,nim:language:on.exit
33,on.exit,language,-1,csharp,csharp:language:on.exit
33,on.exit,language,-1,java,java:language:on.exit
33,on.exit,language,-1,kotlin,kotlin:language:on.exit
33,on.exit,language,-1,swift,swift:language:on.exit
34,forceAndCall,language,-1,go,go:language:forceAndCall
34,forceAndCall,language,-1,rust,rust:language:forceAndCall
34,forceAndCall,language,-1,cpp,cpp:language:forceAndCall
34,forceAndCall,language,-1,c,c:language:forceAndCall
34,forceAndCall,language,-1,python,python:language:forceAndCall
34,forceAndCall,language,-1,zig,zig:language:forceAndCall
34,forceAndCall,language,-1,julia,julia:language:forceAndCall
34,forceAndCall,language,-1,nim,nim:language:forceAndCall
34,forceAndCall,language,-1,csharp,csharp:language:forceAndCall
34,forceAndCall,language,-1,java,java:language:forceAndCall
34,forceAndCall,language,-1,kotlin,kotlin:language:forceAndCall
34,forceAndCall,language,-1,swift,swift:language:forceAndCall
35,declare,language,-1,go,go:language:declare
35,declare,language,-1,rust,rust:language:declare
35,declare,language,-1,cpp,cpp:language:declare
35,declare,language,-1,c,c:language:declare
35,declare,language,-1,python,python:language:declare
35,declare,language,-1,zig,zig:language:declare
35,declare,language,-1,julia,julia:language:declare
35,declare,language,-1,nim,nim:language:declare
35,declare,language,-1,csharp,csharp:language:declare
35,declare,language,-1,java,java:language:declare
35,declare,language,-1,kotlin,kotlin:language:declare
35,declare,language,-1,swift,swift:language:declare
36,stop,runtime,2,go,go:runtime:stop
36,stop,runtime,2,rust,rust:runtime:stop
36,stop,runtime,2,cpp,cpp:runtime:stop
36,stop,runtime,2,c,c:runtime:stop
36,stop,runtime,2,python,python:runtime:stop
36,stop,runtime,2,zig,zig:runtime:stop
36,stop,runtime,2,julia,julia:runtime:stop
36,stop,runtime,2,nim,nim:runtime:stop
36,stop,runtime,2,csharp,csharp:runtime:stop
36,stop,runtime,2,java,java:runtime:stop
36,stop,runtime,2,kotlin,kotlin:runtime:stop
36,stop,runtime,2,swift,swift:runtime:stop
37,warning,runtime,4,go,go:runtime:warning
37,warning,runtime,4,rust,rust:runtime:warning
37,warning,runtime,4,cpp,cpp:runtime:warning
37,warning,runtime,4,c,c:runtime:warning
37,warning,runtime,4,python,python:runtime:warning
37,warning,runtime,4,zig,zig:runtime:warning
37,warning,runtime,4,julia,julia:runtime:warning
37,warning,runtime,4,nim,nim:runtime:warning
37,warning,runtime,4,csharp,csharp:runtime:warning
37,warning,runtime,4,java,java:runtime:warning
37,warning,runtime,4,kotlin,kotlin:runtime:warning
37,warning,runtime,4,swift,swift:runtime:warning
38,gettext,environment,3,go,go:environment:gettext
38,gettext,environment,3,rust,rust:environment:gettext
38,gettext,environment,3,cpp,cpp:environment:gettext
38,gettext,environment,3,c,c:environment:gettext
38,gettext,environment,3,python,python:environment:gettext
38,gettext,environment,3,zig,zig:environment:gettext
38,gettext,environment,3,julia,julia:environment:gettext
38,gettext,environment,3,nim,nim:environment:gettext
38,gettext,environment,3,csharp,csharp:environment:gettext
38,gettext,environment,3,java,java:environment:gettext
38,gettext,environment,3,kotlin,kotlin:environment:gettext
38,gettext,environment,3,swift,swift:environment:gettext
39,ngettext,environment,4,go,go:environment:ngettext
39,ngettext,environment,4,rust,rust:environment:ngettext
39,ngettext,environment,4,cpp,cpp:environment:ngettext
39,ngettext,environment,4,c,c:environment:ngettext
39,ngettext,environment,4,python,python:environment:ngettext
39,ngettext,environment,4,zig,zig:environment:ngettext
39,ngettext,environment,4,julia,julia:environment:ngettext
39,ngettext,environment,4,nim,nim:environment:ngettext
39,ngettext,environment,4,csharp,csharp:environment:ngettext
39,ngettext,environment,4,java,java:environment:ngettext
39,ngettext,environment,4,kotlin,kotlin:environment:ngettext
39,ngettext,environment,4,swift,swift:environment:ngettext
40,bindtextdomain,runtime,2,go,go:runtime:bindtextdomain
40,bindtextdomain,runtime,2,rust,rust:runtime:bindtextdomain
40,bindtextdomain,runtime,2,cpp,cpp:runtime:bindtextdomain
40,bindtextdomain,runtime,2,c,c:runtime:bindtextdomain
40,bindtextdomain,runtime,2,python,python:runtime:bindtextdomain
40,bindtextdomain,runtime,2,zig,zig:runtime:bindtextdomain
40,bindtextdomain,runtime,2,julia,julia:runtime:bindtextdomain
40,bindtextdomain,runtime,2,nim,nim:runtime:bindtextdomain
40,bindtextdomain,runtime,2,csharp,csharp:runtime:bindtextdomain
40,bindtextdomain,runtime,2,java,java:runtime:bindtextdomain
40,bindtextdomain,runtime,2,kotlin,kotlin:runtime:bindtextdomain
40,bindtextdomain,runtime,2,swift,swift:runtime:bindtextdomain
41,.addCondHands,runtime,5,go,go:runtime:.addCondHands
41,.addCondHands,runtime,5,rust,rust:runtime:.addCondHands
41,.addCondHands,runtime,5,cpp,cpp:runtime:.addCondHands
41,.addCondHands,runtime,5,c,c:runtime:.addCondHands
41,.addCondHands,runtime,5,python,python:runtime:.addCondHands
41,.addCondHands,runtime,5,zig,zig:runtime:.addCondHands
41,.addCondHands,runtime,5,julia,julia:runtime:.addCondHands
41,.addCondHands,runtime,5,nim,nim:runtime:.addCondHands
41,.addCondHands,runtime,5,csharp,csharp:runtime:.addCondHands
41,.addCondHands,runtime,5,java,java:runtime:.addCondHands
41,.addCondHands,runtime,5,kotlin,kotlin:runtime:.addCondHands
41,.addCondHands,runtime,5,swift,swift:runtime:.addCondHands
42,.addGlobHands,runtime,5,go,go:runtime:.addGlobHands
42,.addGlobHands,runtime,5,rust,rust:runtime:.addGlobHands
42,.addGlobHands,runtime,5,cpp,cpp:runtime:.addGlobHands
42,.addGlobHands,runtime,5,c,c:runtime:.addGlobHands
42,.addGlobHands,runtime,5,python,python:runtime:.addGlobHands
42,.addGlobHands,runtime,5,zig,zig:runtime:.addGlobHands
42,.addGlobHands,runtime,5,julia,julia:runtime:.addGlobHands
42,.addGlobHands,runtime,5,nim,nim:runtime:.addGlobHands
42,.addGlobHands,runtime,5,csharp,csharp:runtime:.addGlobHands
42,.addGlobHands,runtime,5,java,java:runtime:.addGlobHands
42,.addGlobHands,runtime,5,kotlin,kotlin:runtime:.addGlobHands
42,.addGlobHands,runtime,5,swift,swift:runtime:.addGlobHands
43,.resetCondHands,runtime,1,go,go:runtime:.resetCondHands
43,.resetCondHands,runtime,1,rust,rust:runtime:.resetCondHands
43,.resetCondHands,runtime,1,cpp,cpp:runtime:.resetCondHands
43,.resetCondHands,runtime,1,c,c:runtime:.resetCondHands
43,.resetCondHands,runtime,1,python,python:runtime:.resetCondHands
43,.resetCondHands,runtime,1,zig,zig:runtime:.resetCondHands
43,.resetCondHands,runtime,1,julia,julia:runtime:.resetCondHands
43,.resetCondHands,runtime,1,nim,nim:runtime:.resetCondHands
43,.resetCondHands,runtime,1,csharp,csharp:runtime:.resetCondHands
43,.resetCondHands,runtime,1,java,java:runtime:.resetCondHands
43,.resetCondHands,runtime,1,kotlin,kotlin:runtime:.resetCondHands
43,.resetCondHands,runtime,1,swift,swift:runtime:.resetCondHands
44,.signalCondition,runtime,3,go,go:runtime:.signalCondition
44,.signalCondition,runtime,3,rust,rust:runtime:.signalCondition
44,.signalCondition,runtime,3,cpp,cpp:runtime:.signalCondition
44,.signalCondition,runtime,3,c,c:runtime:.signalCondition
44,.signalCondition,runtime,3,python,python:runtime:.signalCondition
44,.signalCondition,runtime,3,zig,zig:runtime:.signalCondition
44,.signalCondition,runtime,3,julia,julia:runtime:.signalCondition
44,.signalCondition,runtime,3,nim,nim:runtime:.signalCondition
44,.signalCondition,runtime,3,csharp,csharp:runtime:.signalCondition
44,.signalCondition,runtime,3,java,java:runtime:.signalCondition
44,.signalCondition,runtime,3,kotlin,kotlin:runtime:.signalCondition
44,.signalCondition,runtime,3,swift,swift:runtime:.signalCondition
45,.dfltStop,runtime,2,go,go:runtime:.dfltStop
45,.dfltStop,runtime,2,rust,rust:runtime:.dfltStop
45,.dfltStop,runtime,2,cpp,cpp:runtime:.dfltStop
45,.dfltStop,runtime,2,c,c:runtime:.dfltStop
45,.dfltStop,runtime,2,python,python:runtime:.dfltStop
45,.dfltStop,runtime,2,zig,zig:runtime:.dfltStop
45,.dfltStop,runtime,2,julia,julia:runtime:.dfltStop
45,.dfltStop,runtime,2,nim,nim:runtime:.dfltStop
45,.dfltStop,runtime,2,csharp,csharp:runtime:.dfltStop
45,.dfltStop,runtime,2,java,java:runtime:.dfltStop
45,.dfltStop,runtime,2,kotlin,kotlin:runtime:.dfltStop
45,.dfltStop,runtime,2,swift,swift:runtime:.dfltStop
46,.dfltWarn,runtime,2,go,go:runtime:.dfltWarn
46,.dfltWarn,runtime,2,rust,rust:runtime:.dfltWarn
46,.dfltWarn,runtime,2,cpp,cpp:runtime:.dfltWarn
46,.dfltWarn,runtime,2,c,c:runtime:.dfltWarn
46,.dfltWarn,runtime,2,python,python:runtime:.dfltWarn
46,.dfltWarn,runtime,2,zig,zig:runtime:.dfltWarn
46,.dfltWarn,runtime,2,julia,julia:runtime:.dfltWarn
46,.dfltWarn,runtime,2,nim,nim:runtime:.dfltWarn
46,.dfltWarn,runtime,2,csharp,csharp:runtime:.dfltWarn
46,.dfltWarn,runtime,2,java,java:runtime:.dfltWarn
46,.dfltWarn,runtime,2,kotlin,kotlin:runtime:.dfltWarn
46,.dfltWarn,runtime,2,swift,swift:runtime:.dfltWarn
47,.addRestart,runtime,1,go,go:runtime:.addRestart
47,.addRestart,runtime,1,rust,rust:runtime:.addRestart
47,.addRestart,runtime,1,cpp,cpp:runtime:.addRestart
47,.addRestart,runtime,1,c,c:runtime:.addRestart
47,.addRestart,runtime,1,python,python:runtime:.addRestart
47,.addRestart,runtime,1,zig,zig:runtime:.addRestart
47,.addRestart,runtime,1,julia,julia:runtime:.addRestart
47,.addRestart,runtime,1,nim,nim:runtime:.addRestart
