table_index,name,kernel,arity,go,rust,cpp,c,python,zig,julia,nim,csharp,java,kotlin,swift
25,.primUntrace,runtime,1,go:runtime:.primUntrace,rust:runtime:.primUntrace,cpp:runtime:.primUntrace,c:runtime:.primUntrace,python:runtime:.primUntrace,zig:runtime:.primUntrace,julia:runtime:.primUntrace,nim:runtime:.primUntrace,csharp:runtime:.primUntrace,java:runtime:.primUntrace,kotlin:runtime:.primUntrace,swift:runtime:.primUntrace
26,.Internal,language,1,go:language:.Internal,rust:language:.Internal,cpp:language:.Internal,c:language:.Internal,python:language:.Internal,zig:language:.Internal,julia:language:.Internal,nim:language:.Internal,csharp:language:.Internal,java:language:.Internal,kotlin:language:.Internal,swift:language:.Internal
27,.Primitive,runtime,1,go:runtime:.Primitive,rust:runtime:.Primitive,cpp:runtime:.Primitive,c:runtime:.Primitive,python:runtime:.Primitive,zig:runtime:.Primitive,julia:runtime:.Primitive,nim:runtime:.Primitive,csharp:runtime:.Primitive,java:runtime:.Primitive,kotlin:runtime:.Primitive,swift:runtime:.Primitive
28,call,language,-1,go:language:call,rust:language:call,cpp:language:call,c:language:call,python:language:call,zig:language:call,julia:language:call,nim:language:call,csharp:language:call,java:language:call,kotlin:language:call,swift:language:call
29,quote,language,1,go:language:quote,rust:language:quote,cpp:language:quote,c:language:quote,python:language:quote,zig:language:quote,julia:language:quote,nim:language:quote,csharp:language:quote,java:language:quote,kotlin:language:quote,swift:language:quote
30,substitute,character,-1,go:character:substitute,rust:character:substitute,cpp:character:substitute,c:character:substitute,python:character:substitute,zig:character:substitute,julia:character:substitute,nim:character:substitute,csharp:character:substitute,java:character:substitute,kotlin:character:substitute,swift:character:substitute
31,missing,language,1,go:language:missing,rust:language:missing,cpp:language:missing,c:language:missing,python:language:missing,zig:language:missing,julia:language:missing,nim:language:missing,csharp:language:missing,java:language:missing,kotlin:language:missing,swift:language:missing
32,nargs,runtime,0,go:runtime:nargs,rust:runtime:nargs,cpp:runtime:nargs,c:runtime:nargs,python:runtime:nargs,zig:runtime:nargs,julia:runtime:nargs,nim:runtime:nargs,csharp:runtime:nargs,java:runtime:nargs,kotlin:runtime:nargs,swift:runtime:nargs
33,on.exit,language,-1,go:language:on.exit,rust:language:on.exit,cpp:language:on.exit,c:language:on.exit,python:language:on.exit,zig:language:on.exit,julia:language:on.exit,nim:language:on.exit,csharp:language:on.exit,java:language:on.exit,kotlin:language:on.exit,swift:language:on.exit
34,forceAndCall,language,-1,go:language:forceAndCall,rust:language:forceAndCall,cpp:language:forceAndCall,c:language:forceAndCall,python:language:forceAndCall,zig:language:forceAndCall,julia:language:forceAndCall,nim:language:forceAndCall,csharp:language:forceAndCall,java:language:forceAndCall,kotlin:language:forceAndCall,swift:language:forceAndCall
35,declare,language,-1,go:language:declare,rust:language:declare,cpp:language:declare,c:language:declare,python:language:declare,zig:language:declare,julia:language:declare,nim:language:declare,csharp:language:declare,java:language:declare,kotlin:language:declare,swift:language:declare
36,stop,runtime,2,go:runtime:stop,rust:runtime:stop,cpp:runtime:stop,c:runtime:stop,python:runtime:stop,zig:runtime:stop,julia:runtime:stop,nim:runtime:stop,csharp:runtime:stop,java:runtime:stop,kotlin:runtime:stop,swift:runtime:stop
37,warning,runtime,4,go:runtime:warning,rust:runtime:warning,cpp:runtime:warning,c:runtime:warning,python:runtime:warning,zig:runtime:warning,julia:runtime:warning,nim:runtime:warning,csharp:runtime:warning,java:runtime:warning,kotlin:runtime:warning,swift:runtime:warning
38,gettext,environment,3,go:environment:gettext,rust:environment:gettext,cpp:environment:gettext,c:environment:gettext,python:environment:gettext,zig:environment:gettext,julia:environment:gettext,nim:environment:gettext,csharp:environment:gettext,java:environment:gettext,kotlin:environment:gettext,swift:environment:gettext
39,ngettext,environment,4,go:environment:ngettext,rust:environment:ngettext,cpp:environment:ngettext,c:environment:ngettext,python:environment:ngettext,zig:environment:ngettext,julia:environment:ngettext,nim:environment:ngettext,csharp:environment:ngettext,java:environment:ngettext,kotlin:environment:ngettext,swift:environment:ngettext
40,bindtextdomain,runtime,2,go:runtime:bindtextdomain,rust:runtime:bindtextdomain,cpp:runtime:bindtextdomain,c:runtime:bindtextdomain,python:runtime:bindtextdomain,zig:runtime:bindtextdomain,julia:runtime:bindtextdomain,nim:runtime:bindtextdomain,csharp:runtime:bindtextdomain,java:runtime:bindtextdomain,kotlin:runtime:bindtextdomain,swift:runtime:bindtextdomain
41,.addCondHands,runtime,5,go:runtime:.addCondHands,rust:runtime:.addCondHands,cpp:runtime:.addCondHands,c:runtime:.addCondHands,python:runtime:.addCondHands,zig:runtime:.addCondHands,julia:runtime:.addCondHands,nim:runtime:.addCondHands,csharp:runtime:.addCondHands,java:runtime:.addCondHands,kotlin:runtime:.addCondHands,swift:runtime:.addCondHands
42,.addGlobHands,runtime,5,go:runtime:.addGlobHands,rust:runtime:.addGlobHands,cpp:runtime:.addGlobHands,c:runtime:.addGlobHands,python:runtime:.addGlobHands,zig:runtime:.addGlobHands,julia:runtime:.addGlobHands,nim:runtime:.addGlobHands,csharp:runtime:.addGlobHands,java:runtime:.addGlobHands,kotlin:runtime:.addGlobHands,swift:runtime:.addGlobHands
43,.resetCondHands,runtime,1,go:runtime:.resetCondHands,rust:runtime:.resetCondHands,cpp:runtime:.resetCondHands,c:runtime:.resetCondHands,python:runtime:.resetCondHands,zig:runtime:.resetCondHands,julia:runtime:.resetCondHands,nim:runtime:.resetCondHands,csharp:runtime:.resetCondHands,java:runtime:.resetCondHands,kotlin:runtime:.resetCondHands,swift:runtime:.resetCondHands
44,.signalCondition,runtime,3,go:runtime:.signalCondition,rust:runtime:.signalCondition,cpp:runtime:.signalCondition,c:runtime:.signalCondition,python:runtime:.signalCondition,zig:runtime:.signalCondition,julia:runtime:.signalCondition,nim:runtime:.signalCondition,csharp:runtime:.signalCondition,java:runtime:.signalCondition,kotlin:runtime:.signalCondition,swift:runtime:.signalCondition
45,.dfltStop,runtime,2,go:runtime:.dfltStop,rust:runtime:.dfltStop,cpp:runtime:.dfltStop,c:runtime:.dfltStop,python:runtime:.dfltStop,zig:runtime:.dfltStop,julia:runtime:.dfltStop,nim:runtime:.dfltStop,csharp:runtime:.dfltStop,java:runtime:.dfltStop,kotlin:runtime:.dfltStop,swift:runtime:.dfltStop
46,.dfltWarn,runtime,2,go:runtime:.dfltWarn,rust:runtime:.dfltWarn,cpp:runtime:.dfltWarn,c:runtime:.dfltWarn,python:runtime:.dfltWarn,zig:runtime:.dfltWarn,julia:runtime:.dfltWarn,nim:runtime:.dfltWarn,csharp:runtime:.dfltWarn,java:runtime:.dfltWarn,kotlin:runtime:.dfltWarn,swift:runtime:.dfltWarn
47,.addRestart,runtime,1,go:runtime:.addRestart,rust:runtime:.addRestart,cpp:runtime:.addRestart,c:runtime:.addRestart,python:runtime:.addRestart,zig:runtime:.addRestart,julia:runtime:.addRestart,nim:runtime:.addRestart,csharp:runtime:.addRestart,java:runtime:.addRestart,kotlin:runtime:.addRestart,swift:runtime:.addRestart
48,.getRestart,environment,1,go:environment:.getRestart,rust:environment:.getRestart,cpp:environment:.getRestart,c:environment:.getRestart,python:environment:.getRestart,zig:environment:.getRestart,julia:environment:.getRestart,nim:environment:.getRestart,csharp:environment:.getRestart,java:environment:.getRestart,kotlin:environment:.getRestart,swift:environment:.getRestart
49,.invokeRestart,runtime,2,go:runtime:.invokeRestart,rust:runtime:.invokeRestart,cpp:runtime:.invokeRestart,c:runtime:.invokeRestart,python:runtime:.invokeRestart,zig:runtime:.invokeRestart,julia:runtime:.invokeRestart,nim:runtime:.invokeRestart,csharp:runtime:.invokeRestart,java:runtime:.invokeRestart,kotlin:runtime:.invokeRestart,swift:runtime:.invokeRestart
50,.addTryHandlers,runtime,0,go:runtime:.addTryHandlers,rust:runtime:.addTryHandlers,cpp:runtime:.addTryHandlers,c:runtime:.addTryHandlers,python:runtime:.addTryHandlers,zig:runtime:.addTryHandlers,julia:runtime:.addTryHandlers,nim:runtime:.addTryHandlers,csharp:runtime:.addTryHandlers,java:runtime:.addTryHandlers,kotlin:runtime:.addTryHandlers,swift:runtime:.addTryHandlers
51,geterrmessage,environment,0,go:environment:geterrmessage,rust:environment:geterrmessage,cpp:environment:geterrmessage,c:environment:geterrmessage,python:environment:geterrmessage,zig:environment:geterrmessage,julia:environment:geterrmessage,nim:environment:geterrmessage,csharp:environment:geterrmessage,java:environment:geterrmessage,kotlin:environment:geterrmessage,swift:environment:geterrmessage
52,seterrmessage,runtime,1,go:runtime:seterrmessage,rust:runtime:seterrmessage,cpp:runtime:seterrmessage,c:runtime:seterrmessage,python:runtime:seterrmessage,zig:runtime:seterrmessage,julia:runtime:seterrmessage,nim:runtime:seterrmessage,csharp:runtime:seterrmessage,java:runtime:seterrmessage,kotlin:runtime:seterrmessage,swift:runtime:seterrmessage
53,printDeferredWarnings,runtime,0,go:runtime:printDeferredWarnings,rust:runtime:printDeferredWarnings,cpp:runtime:printDeferredWarnings,c:runtime:printDeferredWarnings,python:runtime:printDeferredWarnings,zig:runtime:printDeferredWarnings,julia:runtime:printDeferredWarnings,nim:runtime:printDeferredWarnings,csharp:runtime:printDeferredWarnings,java:runtime:printDeferredWarnings,kotlin:runtime:printDeferredWarnings,swift:runtime:printDeferredWarnings
54,interruptsSuspended,runtime,-1,go:runtime:interruptsSuspended,rust:runtime:interruptsSuspended,cpp:runtime:interruptsSuspended,c:runtime:interruptsSuspended,python:runtime:interruptsSuspended,zig:runtime:interruptsSuspended,julia:runtime:interruptsSuspended,nim:runtime:interruptsSuspended,csharp:runtime:interruptsSuspended,java:runtime:interruptsSuspended,kotlin:runtime:interruptsSuspended,swift:runtime:interruptsSuspended
55,as.function.default,runtime,2,go:runtime:as.function.default,rust:runtime:as.function.default,cpp:runtime:as.function.default,c:runtime:as.function.default,python:runtime:as.function.default,zig:runtime:as.function.default,julia:runtime:as.function.default,nim:runtime:as.function.default,csharp:runtime:as.function.default,java:runtime:as.function.default,kotlin:runtime:as.function.default,swift:runtime:as.function.default
56,debug,runtime,3,go:runtime:debug,rust:runtime:debug,cpp:runtime:debug,c:runtime:debug,python:runtime:debug,zig:runtime:debug,julia:runtime:debug,nim:runtime:debug,csharp:runtime:debug,java:runtime:debug,kotlin:runtime:debug,swift:runtime:debug
57,undebug,runtime,1,go:runtime:undebug,rust:runtime:undebug,cpp:runtime:undebug,c:runtime:undebug,python:runtime:undebug,zig:runtime:undebug,julia:runtime:undebug,nim:runtime:undebug,csharp:runtime:undebug,java:runtime:undebug,kotlin:runtime:undebug,swift:runtime:undebug
58,isdebugged,runtime,1,go:runtime:isdebugged,rust:runtime:isdebugged,cpp:runtime:isdebugged,c:runtime:isdebugged,python:runtime:isdebugged,zig:runtime:isdebugged,julia:runtime:isdebugged,nim:runtime:isdebugged,csharp:runtime:isdebugged,java:runtime:isdebugged,kotlin:runtime:isdebugged,swift:runtime:isdebugged
59,debugonce,runtime,3,go:runtime:debugonce,rust:runtime:debugonce,cpp:runtime:debugonce,c:runtime:debugonce,python:runtime:debugonce,zig:runtime:debugonce,julia:runtime:debugonce,nim:runtime:debugonce,csharp:runtime:debugonce,java:runtime:debugonce,kotlin:runtime:debugonce,swift:runtime:debugonce
60,Recall,language,-1,go:language:Recall,rust:language:Recall,cpp:language:Recall,c:language:Recall,python:language:Recall,zig:language:Recall,julia:language:Recall,nim:language:Recall,csharp:language:Recall,java:language:Recall,kotlin:language:Recall,swift:language:Recall
61,delayedAssign,runtime,4,go:runtime:delayedAssign,rust:runtime:delayedAssign,cpp:runtime:delayedAssign,c:runtime:delayedAssign,python:runtime:delayedAssign,zig:runtime:delayedAssign,julia:runtime:delayedAssign,nim:runtime:delayedAssign,csharp:runtime:delayedAssign,java:runtime:delayedAssign,kotlin:runtime:delayedAssign,swift:runtime:delayedAssign
62,makeLazy,runtime,5,go:runtime:makeLazy,rust:runtime:makeLazy,cpp:runtime:makeLazy,c:runtime:makeLazy,python:runtime:makeLazy,zig:runtime:makeLazy,julia:runtime:makeLazy,nim:runtime:makeLazy,csharp:runtime:makeLazy,java:runtime:makeLazy,kotlin:runtime:makeLazy,swift:runtime:makeLazy
63,identical,runtime,8,go:runtime:identical,rust:runtime:identical,cpp:runtime:identical,c:runtime:identical,python:runtime:identical,zig:runtime:identical,julia:runtime:identical,nim:runtime:identical,csharp:runtime:identical,java:runtime:identical,kotlin:runtime:identical,swift:runtime:identical
64,C_tryCatchHelper,runtime,-1,go:runtime:C_tryCatchHelper,rust:runtime:C_tryCatchHelper,cpp:runtime:C_tryCatchHelper,c:runtime:C_tryCatchHelper,python:runtime:C_tryCatchHelper,zig:runtime:C_tryCatchHelper,julia:runtime:C_tryCatchHelper,nim:runtime:C_tryCatchHelper,csharp:runtime:C_tryCatchHelper,java:runtime:C_tryCatchHelper,kotlin:runtime:C_tryCatchHelper,swift:runtime:C_tryCatchHelper
65,getNamespaceValue,environment,3,go:environment:getNamespaceValue,rust:environment:getNamespaceValue,cpp:environment:getNamespaceValue,c:environment:getNamespaceValue,python:environment:getNamespaceValue,zig:environment:getNamespaceValue,julia:environment:getNamespaceValue,nim:environment:getNamespaceValue,csharp:environment:getNamespaceValue,java:environment:getNamespaceValue,kotlin:environment:getNamespaceValue,swift:environment:getNamespaceValue
66,+,arithmetic,-1,go:arithmetic:+,rust:arithmetic:+,cpp:arithmetic:+,c:arithmetic:+,python:arithmetic:+,zig:arithmetic:+,julia:arithmetic:+,nim:arithmetic:+,csharp:arithmetic:+,java:arithmetic:+,kotlin:arithmetic:+,swift:arithmetic:+
67,-,arithmetic,-1,go:arithmetic:-,rust:arithmetic:-,cpp:arithmetic:-,c:arithmetic:-,python:arithmetic:-,zig:arithmetic:-,julia:arithmetic:-,nim:arithmetic:-,csharp:arithmetic:-,java:arithmetic:-,kotlin:arithmetic:-,swift:arithmetic:-
68,*,arithmetic,2,go:arithmetic:*,rust:arithmetic:*,cpp:arithmetic:*,c:arithmetic:*,python:arithmetic:*,zig:arithmetic:*,julia:arithmetic:*,nim:arithmetic:*,csharp:arithmetic:*,java:arithmetic:*,kotlin:arithmetic:*,swift:arithmetic:*
69,/,arithmetic,2,go:arithmetic:/,rust:arithmetic:/,cpp:arithmetic:/,c:arithmetic:/,python:arithmetic:/,zig:arithmetic:/,julia:arithmetic:/,nim:arithmetic:/,csharp:arithmetic:/,java:arithmetic:/,kotlin:arithmetic:/,swift:arithmetic:/
70,^,arithmetic,2,go:arithmetic:^,rust:arithmetic:^,cpp:arithmetic:^,c:arithmetic:^,python:arithmetic:^,zig:arithmetic:^,julia:arithmetic:^,nim:arithmetic:^,csharp:arithmetic:^,java:arithmetic:^,kotlin:arithmetic:^,swift:arithmetic:^
71,%%,arithmetic,2,go:arithmetic:%%,rust:arithmetic:%%,cpp:arithmetic:%%,c:arithmetic:%%,python:arithmetic:%%,zig:arithmetic:%%,julia:arithmetic:%%,nim:arithmetic:%%,csharp:arithmetic:%%,java:arithmetic:%%,kotlin:arithmetic:%%,swift:arithmetic:%%
72,%/%,arithmetic,2,go:arithmetic:%/%,rust:arithmetic:%/%,cpp:arithmetic:%/%,c:arithmetic:%/%,python:arithmetic:%/%,zig:arithmetic:%/%,julia:arithmetic:%/%,nim:arithmetic:%/%,csharp:arithmetic:%/%,java:arithmetic:%/%,kotlin:arithmetic:%/%,swift:arithmetic:%/%
73,%*%,matrix,2,go:matrix:%*%,rust:matrix:%*%,cpp:matrix:%*%,c:matrix:%*%,python:matrix:%*%,zig:matrix:%*%,julia:matrix:%*%,nim:matrix:%*%,csharp:matrix:%*%,java:matrix:%*%,kotlin:matrix:%*%,swift:matrix:%*%
74,==,relational,2,go:relational:==,rust:relational:==,cpp:relational:==,c:relational:==,python:relational:==,zig:relational:==,julia:relational:==,nim:relational:==,csharp:relational:==,java:relational:==,kotlin:relational:==,swift:relational:==
75,!=,relational,2,go:relational:!=,rust:relational:!=,cpp:relational:!=,c:relational:!=,python:relational:!=,zig:relational:!=,julia:relational:!=,nim:relational:!=,csharp:relational:!=,java:relational:!=,kotlin:relational:!=,swift:relational:!=
76,<,relational,2,go:relational:<,rust:relational:<,cpp:relational:<,c:relational:<,python:relational:<,zig:relational:<,julia:relational:<,nim:relational:<,csharp:relational:<,java:relational:<,kotlin:relational:<,swift:relational:<
77,<=,relational,2,go:relational:<=,rust:relational:<=,cpp:relational:<=,c:relational:<=,python:relational:<=,zig:relational:<=,julia:relational:<=,nim:relational:<=,csharp:relational:<=,java:relational:<=,kotlin:relational:<=,swift:relational:<=
78,>=,relational,2,go:relational:>=,rust:relational:>=,cpp:relational:>=,c:relational:>=,python:relational:>=,zig:relational:>=,julia:relational:>=,nim:relational:>=,csharp:relational:>=,java:relational:>=,kotlin:relational:>=,swift:relational:>=
79,>,relational,2,go:relational:>,rust:relational:>,cpp:relational:>,c:relational:>,python:relational:>,zig:relational:>,julia:relational:>,nim:relational:>,csharp:relational:>,java:relational:>,kotlin:relational:>,swift:relational:>
80,&,logical,2,go:logical:&,rust:logical:&,cpp:logical:&,c:logical:&,python:logical:&,zig:logical:&,julia:logical:&,nim:logical:&,csharp:logical:&,java:logical:&,kotlin:logical:&,swift:logical:&
81,|,logical,2,go:logical:|,rust:logical:|,cpp:logical:|,c:logical:|,python:logical:|,zig:logical:|,julia:logical:|,nim:logical:|,csharp:logical:|,java:logical:|,kotlin:logical:|,swift:logical:|
82,!,logical,1,go:logical:!,rust:logical:!,cpp:logical:!,c:logical:!,python:logical:!,zig:logical:!,julia:logical:!,nim:logical:!,csharp:logical:!,java:logical:!,kotlin:logical:!,swift:logical:!
83,&&,logical-short-circuit,2,go:logical-short-circuit:&&,rust:logical-short-circuit:&&,cpp:logical-short-circuit:&&,c:logical-short-circuit:&&,python:logical-short-circuit:&&,zig:logical-short-circuit:&&,julia:logical-short-circuit:&&,nim:logical-short-circuit:&&,csharp:logical-short-circuit:&&,java:logical-short-circuit:&&,kotlin:logical-short-circuit:&&,swift:logical-short-circuit:&&
84,||,logical-short-circuit,2,go:logical-short-circuit:||,rust:logical-short-circuit:||,cpp:logical-short-circuit:||,c:logical-short-circuit:||,python:logical-short-circuit:||,zig:logical-short-circuit:||,julia:logical-short-circuit:||,nim:logical-short-circuit:||,csharp:logical-short-circuit:||,java:logical-short-circuit:||,kotlin:logical-short-circuit:||,swift:logical-short-circuit:||
85,:,runtime,2,go:runtime::,rust:runtime::,cpp:runtime::,c:runtime::,python:runtime::,zig:runtime::,julia:runtime::,nim:runtime::,csharp:runtime::,java:runtime::,kotlin:runtime::,swift:runtime::
86,~,language,-1,go:language:~,rust:language:~,cpp:language:~,c:language:~,python:language:~,zig:language:~,julia:language:~,nim:language:~,csharp:language:~,java:language:~,kotlin:language:~,swift:language:~
87,::,language,2,go:language:::,rust:language:::,cpp:language:::,c:language:::,python:language:::,zig:language:::,julia:language:::,nim:language:::,csharp:language:::,java:language:::,kotlin:language:::,swift:language:::
88,:::,language,2,go:language::::,rust:language::::,cpp:language::::,c:language::::,python:language::::,zig:language::::,julia:language::::,nim:language::::,csharp:language::::,java:language::::,kotlin:language::::,swift:language::::
89,all,logical-reduction,-1,go:logical-reduction:all,rust:logical-reduction:all,cpp:logical-reduction:all,c:logical-reduction:all,python:logical-reduction:all,zig:logical-reduction:all,julia:logical-reduction:all,nim:logical-reduction:all,csharp:logical-reduction:all,java:logical-reduction:all,kotlin:logical-reduction:all,swift:logical-reduction:all
90,any,logical-reduction,-1,go:logical-reduction:any,rust:logical-reduction:any,cpp:logical-reduction:any,c:logical-reduction:any,python:logical-reduction:any,zig:logical-reduction:any,julia:logical-reduction:any,nim:logical-reduction:any,csharp:logical-reduction:any,java:logical-reduction:any,kotlin:logical-reduction:any,swift:logical-reduction:any
91,...elt,environment,1,go:environment:...elt,rust:environment:...elt,cpp:environment:...elt,c:environment:...elt,python:environment:...elt,zig:environment:...elt,julia:environment:...elt,nim:environment:...elt,csharp:environment:...elt,java:environment:...elt,kotlin:environment:...elt,swift:environment:...elt
92,...length,environment,0,go:environment:...length,rust:environment:...length,cpp:environment:...length,c:environment:...length,python:environment:...length,zig:environment:...length,julia:environment:...length,nim:environment:...length,csharp:environment:...length,java:environment:...length,kotlin:environment:...length,swift:environment:...length
93,...names,attribute,0,go:attribute:...names,rust:attribute:...names,cpp:attribute:...names,c:attribute:...names,python:attribute:...names,zig:attribute:...names,julia:attribute:...names,nim:attribute:...names,csharp:attribute:...names,java:attribute:...names,kotlin:attribute:...names,swift:attribute:...names
94,length,matrix,1,go:matrix:length,rust:matrix:length,cpp:matrix:length,c:matrix:length,python:matrix:length,zig:matrix:length,julia:matrix:length,nim:matrix:length,csharp:matrix:length,java:matrix:length,kotlin:matrix:length,swift:matrix:length
95,length<-,replacement,2,go:replacement:length<-,rust:replacement:length<-,cpp:replacement:length<-,c:replacement:length<-,python:replacement:length<-,zig:replacement:length<-,julia:replacement:length<-,nim:replacement:length<-,csharp:replacement:length<-,java:replacement:length<-,kotlin:replacement:length<-,swift:replacement:length<-
96,oldClass,attribute,1,go:attribute:oldClass,rust:attribute:oldClass,cpp:attribute:oldClass,c:attribute:oldClass,python:attribute:oldClass,zig:attribute:oldClass,julia:attribute:oldClass,nim:attribute:oldClass,csharp:attribute:oldClass,java:attribute:oldClass,kotlin:attribute:oldClass,swift:attribute:oldClass
97,oldClass<-,replacement,2,go:replacement:oldClass<-,rust:replacement:oldClass<-,cpp:replacement:oldClass<-,c:replacement:oldClass<-,python:replacement:oldClass<-,zig:replacement:oldClass<-,julia:replacement:oldClass<-,nim:replacement:oldClass<-,csharp:replacement:oldClass<-,java:replacement:oldClass<-,kotlin:replacement:oldClass<-,swift:replacement:oldClass<-
98,class,attribute,1,go:attribute:class,rust:attribute:class,cpp:attribute:class,c:attribute:class,python:attribute:class,zig:attribute:class,julia:attribute:class,nim:attribute:class,csharp:attribute:class,java:attribute:class,kotlin:attribute:class,swift:attribute:class
