uast_node_kind,layer,required_fields,required_relations,source_features,current_semanticprogram_v1
EmbeddedField,core,ambiguity;embedded_type;promotion,binding.graph;dispatch.graph;types.graph,go-specific,needs_extension_or_explicit_kind
FloatType,core,bits;ieee754;nan;signed_zero,types.graph,primitive_float,present_or_encodable
ForEachStmt,core,body;iterable;key;order_contract;pattern;per_iteration_variables;protocol;source_kind;value,binding.graph;control.flow;data.flow;effect.graph,foreach_iteration;go-specific,present_or_encodable
ForeignDeclCall,core,C ABI;abi;callbacks;library;ownership;pinning;safety;signature;symbol,abi.graph;dialect.extension;effect.graph;memory.graph,ffi;go-specific,needs_extension_or_explicit_kind
FunctionDecl,core,body;generics;name;parameters;receiver;result,control.flow;data.flow;effect.graph;scope.binding,function,present_or_encodable
FunctionType,core,calling_convention;effects;parameters;result,effect.graph;types.graph,function_type,present_or_encodable
GenericParam,core,constraints;inference;type_params;type_sets,constraint.graph;types.graph,go-specific,needs_extension_or_explicit_kind
GenericParamDecl,core,constraints;instantiation;parameters,binding.graph;types.graph,generic,needs_extension_or_explicit_kind
GotoLabelStmt,core,label;target,control.flow,goto_label,needs_extension_or_explicit_kind
IfStmt,core,condition;else;then,control.flow;data.flow;effect.graph,if,present_or_encodable
ImportDecl,core,alias;mode;path,binding.graph;scope.binding,import,needs_extension_or_explicit_kind
IndexExpr,core,base;index_semantics;indices,data.flow;effect.graph,index,present_or_encodable
Instantiation,core,constraints;inference;type_params;type_sets,constraint.graph;types.graph,go-specific,needs_extension_or_explicit_kind
IntegerType,core,bits;overflow;signed,types.graph,primitive_integer,present_or_encodable
InterfaceType,core,comparability;dynamic_type;methods;type_terms,dispatch.graph;types.graph,go-specific,needs_extension_or_explicit_kind
InterfaceTypeDecl,core,constraints;methods;type_terms,dispatch.graph;scope.binding;types.graph,interface_trait,needs_extension_or_explicit_kind
LayoutContract,core,align;offsets;packing;size,layout.graph;types.graph,layout_alignment,needs_extension_or_explicit_kind
LiteralExpr,core,encoding;exact_text;literal_kind;literal_kind=bool;literal_kind=nil/null/missing;literal_kind=string;numeric_model;type,data.flow,literal_boolean;literal_null;literal_numeric;literal_string,present_or_encodable
LoopStmt,core,body;condition;init;loop_kind=for;loop_kind=while;post,control.flow;data.flow;effect.graph,for;while,present_or_encodable
MapIndexExpr,core,comma_ok;iteration_order;key;mutation;value,data.flow;effect.graph;types.graph,go-specific,needs_extension_or_explicit_kind
MapType,core,comma_ok;iteration_order;key;mutation;ordering;value,data.flow;effect.graph;types.graph,go-specific;map_type,present_or_encodable
MemberAccessExpr,core,base;binding;dispatch;member,binding.graph;data.flow,member_access,needs_extension_or_explicit_kind
MemoryManagement,core,allocate/free;barriers;lifetime;roots;strategy=gc;strategy=manual,effect.graph;memory.graph,gc;manual_memory,needs_extension_or_explicit_kind
MemoryModelContract,core,atomic order;happens_before;ordering;race_semantics;synchronizes_before,concurrency.graph;memory.graph,go-specific;memory_model,needs_extension_or_explicit_kind
MethodDecl,core,bound_receiver;method_set;receiver,binding.graph;dispatch.graph;types.graph,go-specific,needs_extension_or_explicit_kind
MethodExpr,core,bound_receiver;method_set;receiver,binding.graph;dispatch.graph;types.graph,go-specific,needs_extension_or_explicit_kind
MethodSet,core,comparability;dynamic_type;methods;type_terms,dispatch.graph;types.graph,go-specific,needs_extension_or_explicit_kind
MethodValue,core,bound_receiver;method_set;receiver,binding.graph;dispatch.graph;types.graph,go-specific,needs_extension_or_explicit_kind
ModuleDecl,core,exports;imports;parent_module;scope,binding.graph;scope.binding,module,needs_extension_or_explicit_kind
NilLiteral,core,assignable_target_kinds;interface_nil distinction;untyped_nil,data.flow;types.graph,go-specific,needs_extension_or_explicit_kind
NominalTypeDecl,core,bases;kind=class;members;name,scope.binding;types.graph,class,needs_extension_or_explicit_kind
OperationExpr,core,evaluation_order;operand;operands;operation;overflow;type,data.flow;effect.graph,binary_op;unary_op,present_or_encodable
OptionalType,core,element;null_model,types.graph,optional_nullable,present_or_encodable
OwnershipSemantics,core,borrowed;gc;owned;shared;unique;unmanaged,memory.graph;ownership.graph,ownership,present_or_encodable
PanicRecover,core,defer_interaction;panic_value;recover_scope;stack_unwind,control.flow;effect.graph,go-specific,needs_extension_or_explicit_kind
ParameterDecl,core,binding;default;passing;type;variadic,binding.graph;scope.binding,parameter,present_or_encodable
PointerType,core,address_space;addressability;element;nil;nullability,data.flow;memory.graph;types.graph,go-specific;pointer,present_or_encodable
RaisePanicStmt,core,error_model;value,control.flow;effect.graph,throw_raise,needs_extension_or_explicit_kind
ReceiveExpr,core,buffering;direction;element;send/receive/close,concurrency.graph;data.flow;effect.graph,go-specific,needs_extension_or_explicit_kind
RecordTypeDecl,core,fields;layout;methods;name,layout.graph;scope.binding;types.graph,struct,needs_extension_or_explicit_kind
ReferenceType,core,element;lifetime;mutability;ownership,memory.graph;types.graph,reference,present_or_encodable
ReturnStmt,core,values,control.flow;data.flow,return,present_or_encodable
SafetyRegion,core,alignof;mode=unsafe;offsetof;operations;pointer conversions;sizeof,dialect.extension;effect.graph;layout.graph;memory.graph,go-specific;unsafe,needs_extension_or_explicit_kind
SelectStmt,core,cases;selection semantics;send/receive/default,concurrency.graph;control.flow;effect.graph,go-specific,needs_extension_or_explicit_kind
SendStmt,core,buffering;direction;element;send/receive/close,concurrency.graph;data.flow;effect.graph,go-specific,needs_extension_or_explicit_kind
SliceExpr,core,backing_store;base;bounds_semantics;cap;element;high;len;low;max,data.flow;effect.graph;memory.graph;types.graph,go-specific;slice,needs_extension_or_explicit_kind
SliceType,core,backing_store;cap;element;high;len;low;max,data.flow;memory.graph;types.graph,go-specific,needs_extension_or_explicit_kind
SpawnStmt,core,args;evaluation before spawn;goroutine callable,concurrency.graph;control.flow;effect.graph,go-specific,needs_extension_or_explicit_kind
StringType,core,encoding;mutability,types.graph,primitive_string,present_or_encodable
SwitchMatchStmt,core,cases;default;patterns;scrutinee,binding.graph;control.flow;data.flow,switch_match,needs_extension_or_explicit_kind
SymbolRef,core,binding;name,binding.graph;data.flow,identifier,present_or_encodable
SynchronizationOp,core,acquire/release;kind=lock/mutex,concurrency.graph;effect.graph,lock_mutex,needs_extension_or_explicit_kind
TryStmt,core,body;finally;handlers,control.flow;effect.graph,exception_try,needs_extension_or_explicit_kind
TupleExpr,core,elements,data.flow,tuple,needs_extension_or_explicit_kind
TupleResult,core,destructuring;ordered_result_types,binding.graph;data.flow;types.graph,go-specific,needs_extension_or_explicit_kind
TupleType,core,elements,types.graph,tuple_type,present_or_encodable
TypeAssertExpr,core,comma_ok;panic_model;source_interface;target_type,control.flow;effect.graph;types.graph,go-specific,needs_extension_or_explicit_kind
TypeConstraint,core,methods;relations;terms,constraint.graph;types.graph,generic_constraint,needs_extension_or_explicit_kind
TypeSet,core,constraints;inference;type_params;type_sets,constraint.graph;types.graph,go-specific,needs_extension_or_explicit_kind
TypeSwitchStmt,core,asserted_expr;binding_type_per_case;cases,binding.graph;control.flow;types.graph,go-specific,needs_extension_or_explicit_kind
UnionVariantType,core,members;tagging,layout.graph;types.graph,union_sum,present_or_encodable
VariableDecl,core,binding;initializer;mutability;storage;type,binding.graph;data.flow;effect.graph,variable,needs_extension_or_explicit_kind
VariableDeclGroup,core,bindings;initializer_tuple;new_vs_existing,binding.graph;data.flow;scope.graph,go-specific,needs_extension_or_explicit_kind
VariantTypeDecl,core,layout;tag;variants,layout.graph;types.graph,enum,needs_extension_or_explicit_kind
Visibility,core,level;package/module boundary,scope.binding,visibility,needs_extension_or_explicit_kind
YieldExpr,core,resume_semantics;value,control.flow;effect.graph,yield,needs_extension_or_explicit_kind
ComprehensionExpr,dialect,body;clauses;scope,binding.graph;control.flow;data.flow,comprehension,needs_extension_or_explicit_kind
ExecutionModel,dialect,kind=bytecode/vm;opcode semantics,dialect.extension;runtime.graph,bytecode_vm,needs_extension_or_explicit_kind
MacroCompileTime,dialect,expansion;input;kind;phase,compiletime.graph;dialect.extension,macro,needs_extension_or_explicit_kind
ReflectionOp,dialect,mutation;query;visibility,effect.graph;types.graph,reflection,needs_extension_or_explicit_kind
UnsafeIntrinsic,dialect,alignof;offsetof;pointer conversions;sizeof,dialect.extension;layout.graph;memory.graph,go-specific,needs_extension_or_explicit_kind
