language,truth_id,support
rust,T0036,16
c,T0037,16
csharp,T0037,16
go,T0037,16
python,T0037,16
r,T0037,16
rust,T0037,16
c,T0038,16
csharp,T0038,16
go,T0038,16
python,T0038,16
r,T0038,16
rust,T0038,16
c,T0039,16
csharp,T0039,16
go,T0039,16
python,T0039,16
r,T0039,16
rust,T0039,16
c,T0040,16
go,T0040,16
python,T0040,16
r,T0040,16
rust,T0040,16
c,T0041,12
go,T0041,12
python,T0041,12
r,T0041,12
c,T0042,12
go,T0042,12
python,T0042,12
r,T0042,12
c,T0043,12
go,T0043,12
python,T0043,12
r,T0043,12
c,T0044,12
go,T0044,12
python,T0044,12
r,T0044,12
c,T0045,12
go,T0045,12
python,T0045,12
r,T0045,12
c,T0046,12
go,T0046,12
python,T0046,12
r,T0046,12
c,T0047,12
go,T0047,12
python,T0047,12
r,T0047,12
c,T0048,12
go,T0048,12
python,T0048,12
r,T0048,12
c,T0049,10
go,T0049,10
r,T0049,10
c,T0050,10
go,T0050,10
r,T0050,10
c,T0051,10
go,T0051,10
r,T0051,10
c,T0052,10
go,T0052,10
r,T0052,10
c,T0053,9
go,T0053,9
python,T0053,9
r,T0053,9
c,T0054,9
go,T0054,9
r,T0054,9
c,T0055,9
go,T0055,9
r,T0055,9
c,T0056,9
go,T0056,9
python,T0056,9
r,T0056,9
c,T0057,9
go,T0057,9
python,T0057,9
r,T0057,9
c,T0058,8
go,T0058,8
c,T0059,8
csharp,T0059,8
python,T0059,8
r,T0059,8
c,T0060,8
go,T0060,8
c,T0061,8
csharp,T0061,8
python,T0061,8
r,T0061,8
c,T0062,7
go,T0062,7
r,T0062,7
c,T0063,7
go,T0063,7
r,T0063,7
c,T0064,7
go,T0064,7
r,T0064,7
c,T0065,7
go,T0065,7
c,T0066,7
go,T0066,7
r,T0066,7
c,T0067,7
go,T0067,7
c,T0068,7
go,T0068,7
c,T0069,7
go,T0069,7
r,T0069,7
c,T0070,7
go,T0070,7
r,T0070,7
c,T0071,7
go,T0071,7
r,T0071,7
c,T0072,6
go,T0072,6
c,T0073,6
go,T0073,6
c,T0074,6
go,T0074,6
c,T0075,4
go,T0075,4
c,T0076,4
go,T0076,4
c,T0077,4
go,T0077,4
c,T0078,4
go,T0078,4
c,T0079,4
go,T0079,4
c,T0080,4
go,T0080,4
go,T0081,3
r,T0081,3
go,T0082,3
r,T0082,3
go,T0083,3
r,T0083,3
go,T0084,3
r,T0084,3
c,T0085,3
go,T0085,3
go,T0086,3
r,T0086,3
c,T0087,3
go,T0087,3
c,T0088,3
go,T0088,3
go,T0089,3
r,T0089,3
go,T0090,3
r,T0090,3
go,T0091,3
r,T0091,3
