node,kind,file,line,generic_gap_score,rust_specific_hint_score,total_gap_score,rust_specific_hints
InlineAsmOperand,declaration,compiler/rustc_middle/src/mir/syntax.rs,1055,0.000000,0.000000,0.000000,
AssertMessage,declaration,compiler/rustc_middle/src/mir/syntax.rs,1087,0.000000,0.000000,0.000000,
Place,declaration,compiler/rustc_middle/src/mir/syntax.rs,1162,0.000000,0.000000,0.000000,
ProjectionElem,declaration,compiler/rustc_middle/src/mir/syntax.rs,1171,0.000000,0.000000,0.000000,
PlaceElem,declaration,compiler/rustc_middle/src/mir/syntax.rs,1282,0.000000,0.000000,0.000000,
Operand,declaration,compiler/rustc_middle/src/mir/syntax.rs,1302,0.000000,0.000000,0.000000,
Rvalue,declaration,compiler/rustc_middle/src/mir/syntax.rs,1362,0.000000,0.000000,0.000000,
CastKind,declaration,compiler/rustc_middle/src/mir/syntax.rs,1490,0.000000,0.000000,0.000000,
IntToInt,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1508,0.000000,0.000000,0.000000,
Transmute,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1518,0.000000,0.000000,0.000000,
CoercionSource,declaration,compiler/rustc_middle/src/mir/syntax.rs,1544,0.000000,0.000000,0.000000,
AsCast,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1546,0.000000,0.000000,0.000000,
AggregateKind,declaration,compiler/rustc_middle/src/mir/syntax.rs,1553,0.000000,0.000000,0.000000,
RuntimeChecks,declaration,compiler/rustc_middle/src/mir/syntax.rs,1586,0.000000,0.000000,0.000000,
UbChecks,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1589,0.000000,0.000000,0.000000,
ContractChecks,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1592,0.000000,0.000000,0.000000,
OverflowChecks,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1595,0.000000,0.000000,0.000000,
UnOp,declaration,compiler/rustc_middle/src/mir/syntax.rs,1610,0.000000,0.000000,0.000000,
Not,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1612,0.000000,0.000000,0.000000,
Neg,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1614,0.000000,0.000000,0.000000,
Add,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1630,0.000000,0.000000,0.000000,
AddUnchecked,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1632,0.000000,0.000000,0.000000,
AddWithOverflow,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1635,0.000000,0.000000,0.000000,
Sub,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1637,0.000000,0.000000,0.000000,
SubUnchecked,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1639,0.000000,0.000000,0.000000,
SubWithOverflow,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1642,0.000000,0.000000,0.000000,
Mul,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1644,0.000000,0.000000,0.000000,
MulUnchecked,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1646,0.000000,0.000000,0.000000,
MulWithOverflow,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1649,0.000000,0.000000,0.000000,
Div,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1656,0.000000,0.000000,0.000000,
Rem,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1664,0.000000,0.000000,0.000000,
BitXor,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1666,0.000000,0.000000,0.000000,
BitAnd,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1668,0.000000,0.000000,0.000000,
BitOr,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1670,0.000000,0.000000,0.000000,
Shl,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1677,0.000000,0.000000,0.000000,
ShlUnchecked,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1679,0.000000,0.000000,0.000000,
Shr,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1689,0.000000,0.000000,0.000000,
ShrUnchecked,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1691,0.000000,0.000000,0.000000,
Eq,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1693,0.000000,0.000000,0.000000,
Lt,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1695,0.000000,0.000000,0.000000,
Le,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1697,0.000000,0.000000,0.000000,
Ne,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1699,0.000000,0.000000,0.000000,
Ge,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1701,0.000000,0.000000,0.000000,
Gt,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1703,0.000000,0.000000,0.000000,
Cmp,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1715,0.000000,0.000000,0.000000,
Offset,enum_variant,compiler/rustc_middle/src/mir/syntax.rs,1717,0.000000,0.000000,0.000000,
