node,kind,file,line,generic_gap_score,rust_specific_hint_score,total_gap_score,rust_specific_hints
ImplPolarity,declaration,compiler/rustc_ast/src/ast.rs,3153,0.000000,1.049455,1.049455,rust.associated_types;rust.blanket_impl;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl
Empty,enum_variant,compiler/rustc_ast/src/ast.rs,1247,0.000000,1.005228,1.005228,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
MacStmtStyle,declaration,compiler/rustc_ast/src/ast.rs,1274,0.000000,1.005228,1.005228,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
Empty,enum_variant,compiler/rustc_ast/src/ast.rs,2064,0.000000,1.005228,1.005228,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
StrStyle,declaration,compiler/rustc_ast/src/ast.rs,2135,0.000000,1.005228,1.005228,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
LitIntType,declaration,compiler/rustc_ast/src/ast.rs,2230,0.000000,1.005228,1.005228,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
MutTy,declaration,compiler/rustc_ast/src/ast.rs,2335,0.000000,1.005228,1.005228,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
Ty,declaration,compiler/rustc_ast/src/ast.rs,2445,0.000000,1.005228,1.005228,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
TyKind,declaration,compiler/rustc_ast/src/ast.rs,2518,0.000000,1.005228,1.005228,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
Safety,declaration,compiler/rustc_ast/src/ast.rs,3099,0.000000,1.005228,1.005228,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
BoundPolarity,declaration,compiler/rustc_ast/src/ast.rs,3172,0.000000,1.005228,1.005228,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
FnRetTy,declaration,compiler/rustc_ast/src/ast.rs,3233,0.000000,1.005228,1.005228,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
AttrStyle,declaration,compiler/rustc_ast/src/ast.rs,3385,0.000000,1.005228,1.005228,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
Visibility,declaration,compiler/rustc_ast/src/ast.rs,3584,0.000000,1.005228,1.005228,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
VisibilityKind,declaration,compiler/rustc_ast/src/ast.rs,3590,0.000000,1.005228,1.005228,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
TyAlias,declaration,compiler/rustc_ast/src/ast.rs,3874,0.000000,1.005228,1.005228,rust.associated_types;rust.deref_coercion;rust.dst_unsized;rust.fn_traits;rust.impl_trait;rust.never_type_divergence;rust.opaque_types;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn
InlineAsmTemplatePiece,declaration,compiler/rustc_ast/src/ast.rs,2771,0.954477,0.000000,0.954477,
TraitBoundModifiers,declaration,compiler/rustc_ast/src/ast.rs,377,0.362104,0.590471,0.952575,rust.fn_traits;rust.impl_trait;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn;rust.unsafe_trait_impl
EnumDef,declaration,compiler/rustc_ast/src/ast.rs,3293,0.942823,0.000000,0.942823,
Variant,declaration,compiler/rustc_ast/src/ast.rs,3299,0.942823,0.000000,0.942823,
VariantData,declaration,compiler/rustc_ast/src/ast.rs,3676,0.942823,0.000000,0.942823,
StructRest,declaration,compiler/rustc_ast/src/ast.rs,1717,0.942655,0.000000,0.942655,
StructExpr,declaration,compiler/rustc_ast/src/ast.rs,1733,0.942655,0.000000,0.942655,
YieldKind,declaration,compiler/rustc_ast/src/ast.rs,2155,0.702718,0.000000,0.702718,
Lifetime,declaration,compiler/rustc_ast/src/ast.rs,70,0.362104,0.337105,0.699209,rust.higher_ranked_lifetimes;rust.lifetime_parameters;rust.nonlexical_lifetimes;rust.region_inference
Lifetime,enum_variant,compiler/rustc_ast/src/ast.rs,416,0.362104,0.337105,0.699209,rust.higher_ranked_lifetimes;rust.lifetime_parameters;rust.nonlexical_lifetimes;rust.region_inference
Lifetime,enum_variant,compiler/rustc_ast/src/ast.rs,432,0.362104,0.337105,0.699209,rust.higher_ranked_lifetimes;rust.lifetime_parameters;rust.nonlexical_lifetimes;rust.region_inference
InlineAsmRegOrRegClass,declaration,compiler/rustc_ast/src/ast.rs,2702,0.637695,0.000000,0.637695,
TraitImplHeader,declaration,compiler/rustc_ast/src/ast.rs,3908,0.000000,0.634697,0.634697,rust.blanket_impl;rust.fn_traits;rust.impl_trait;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn;rust.unsafe_trait_impl
None,enum_variant,compiler/rustc_ast/src/ast.rs,247,0.632251,0.000000,0.632251,
None,enum_variant,compiler/rustc_ast/src/ast.rs,956,0.632251,0.000000,0.632251,
None,enum_variant,compiler/rustc_ast/src/ast.rs,1559,0.632251,0.000000,0.632251,
None,enum_variant,compiler/rustc_ast/src/ast.rs,1723,0.632251,0.000000,0.632251,
NotNull,enum_variant,compiler/rustc_ast/src/ast.rs,2654,0.632251,0.000000,0.632251,
None,enum_variant,compiler/rustc_ast/src/ast.rs,2668,0.632251,0.000000,0.632251,
None,enum_variant,compiler/rustc_ast/src/ast.rs,3759,0.632251,0.000000,0.632251,
None,enum_variant,compiler/rustc_ast/src/ast.rs,3776,0.632251,0.000000,0.632251,
TraitObjectSyntax,declaration,compiler/rustc_ast/src/ast.rs,2665,0.000000,0.590471,0.590471,rust.fn_traits;rust.impl_trait;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn;rust.unsafe_trait_impl
TraitAlias,declaration,compiler/rustc_ast/src/ast.rs,3851,0.000000,0.590471,0.590471,rust.fn_traits;rust.impl_trait;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn;rust.unsafe_trait_impl
Trait,declaration,compiler/rustc_ast/src/ast.rs,3860,0.000000,0.590471,0.590471,rust.fn_traits;rust.impl_trait;rust.operator_traits;rust.send_sync_auto_traits;rust.trait_definition;rust.trait_impl;rust.trait_object_dyn;rust.unsafe_trait_impl
MatchKind,declaration,compiler/rustc_ast/src/ast.rs,2146,0.474436,0.114171,0.588607,rust.match_exhaustiveness;rust.match_guards
ForeignMod,declaration,compiler/rustc_ast/src/ast.rs,3282,0.342242,0.243599,0.585841,rust.abi_layout;rust.ffi_extern_abi;rust.interior_mutability
ForeignItemKind,declaration,compiler/rustc_ast/src/ast.rs,4399,0.342242,0.243599,0.585841,rust.abi_layout;rust.ffi_extern_abi;rust.interior_mutability
ForeignItem,declaration,compiler/rustc_ast/src/ast.rs,4447,0.342242,0.243599,0.585841,rust.abi_layout;rust.ffi_extern_abi;rust.interior_mutability
AssignOpKind,declaration,compiler/rustc_ast/src/ast.rs,1109,0.480684,0.000000,0.480684,
AddAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1111,0.480684,0.000000,0.480684,
SubAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1113,0.480684,0.000000,0.480684,
MulAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1115,0.480684,0.000000,0.480684,
DivAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1117,0.480684,0.000000,0.480684,
RemAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1119,0.480684,0.000000,0.480684,
BitXorAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1121,0.480684,0.000000,0.480684,
BitAndAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1123,0.480684,0.000000,0.480684,
BitOrAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1125,0.480684,0.000000,0.480684,
ShlAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1127,0.480684,0.000000,0.480684,
ShrAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1129,0.480684,0.000000,0.480684,
AddAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1136,0.480684,0.000000,0.480684,
SubAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1137,0.480684,0.000000,0.480684,
MulAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1138,0.480684,0.000000,0.480684,
DivAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1139,0.480684,0.000000,0.480684,
RemAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1140,0.480684,0.000000,0.480684,
BitXorAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1141,0.480684,0.000000,0.480684,
BitAndAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1142,0.480684,0.000000,0.480684,
BitOrAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1143,0.480684,0.000000,0.480684,
ShlAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1144,0.480684,0.000000,0.480684,
ShrAssign,enum_variant,compiler/rustc_ast/src/ast.rs,1145,0.480684,0.000000,0.480684,
AssignOp,declaration,compiler/rustc_ast/src/ast.rs,1155,0.480684,0.000000,0.480684,
BinOpKind,declaration,compiler/rustc_ast/src/ast.rs,979,0.446284,0.000000,0.446284,
BinOp,declaration,compiler/rustc_ast/src/ast.rs,1086,0.446284,0.000000,0.446284,
BorrowKind,declaration,compiler/rustc_ast/src/ast.rs,963,0.000000,0.367908,0.367908,rust.borrow_checker;rust.mutable_borrow;rust.reborrow;rust.shared_borrow
BorrowedFnSig,declaration,compiler/rustc_ast/src/ast.rs,2384,0.000000,0.367908,0.367908,rust.borrow_checker;rust.mutable_borrow;rust.reborrow;rust.shared_borrow
Postfix,enum_variant,compiler/rustc_ast/src/ast.rs,2150,0.346026,0.000000,0.346026,
ForLoop,declaration,compiler/rustc_ast/src/ast.rs,1661,0.342242,0.000000,0.342242,
ForLoopKind,declaration,compiler/rustc_ast/src/ast.rs,1928,0.342242,0.000000,0.342242,
For,enum_variant,compiler/rustc_ast/src/ast.rs,1929,0.342242,0.000000,0.342242,
TestBinderForall,declaration,compiler/rustc_ast/src/ast.rs,4087,0.342242,0.000000,0.342242,
MacCallStmt,declaration,compiler/rustc_ast/src/ast.rs,1266,0.335541,0.000000,0.335541,
MacCall,declaration,compiler/rustc_ast/src/ast.rs,2049,0.335541,0.000000,0.335541,
ImplicitSelf,enum_variant,compiler/rustc_ast/src/ast.rs,2560,0.000000,0.240287,0.240287,rust.blanket_impl;rust.impl_trait;rust.trait_impl;rust.unsafe_trait_impl
Implicit,enum_variant,compiler/rustc_ast/src/ast.rs,3145,0.000000,0.240287,0.240287,rust.blanket_impl;rust.impl_trait;rust.trait_impl;rust.unsafe_trait_impl
ImplRestriction,declaration,compiler/rustc_ast/src/ast.rs,3603,0.000000,0.240287,0.240287,rust.blanket_impl;rust.impl_trait;rust.trait_impl;rust.unsafe_trait_impl
Impl,declaration,compiler/rustc_ast/src/ast.rs,3899,0.000000,0.240287,0.240287,rust.blanket_impl;rust.impl_trait;rust.trait_impl;rust.unsafe_trait_impl
EiiImpl,declaration,compiler/rustc_ast/src/ast.rs,3954,0.000000,0.240287,0.240287,rust.blanket_impl;rust.impl_trait;rust.trait_impl;rust.unsafe_trait_impl
AnonConst,declaration,compiler/rustc_ast/src/ast.rs,1386,0.000000,0.221596,0.221596,rust.associated_consts;rust.const_eval;rust.const_generics
AssocItemConstraint,declaration,compiler/rustc_ast/src/ast.rs,2401,0.000000,0.221596,0.221596,rust.associated_consts;rust.const_eval;rust.const_generics
AssocItemConstraintKind,declaration,compiler/rustc_ast/src/ast.rs,2429,0.000000,0.221596,0.221596,rust.associated_consts;rust.const_eval;rust.const_generics
Const,declaration,compiler/rustc_ast/src/ast.rs,3131,0.000000,0.221596,0.221596,rust.associated_consts;rust.const_eval;rust.const_generics
BoundConstness,declaration,compiler/rustc_ast/src/ast.rs,3194,0.000000,0.221596,0.221596,rust.associated_consts;rust.const_eval;rust.const_generics
ConstItem,declaration,compiler/rustc_ast/src/ast.rs,4033,0.000000,0.221596,0.221596,rust.associated_consts;rust.const_eval;rust.const_generics
ConstItemKind,declaration,compiler/rustc_ast/src/ast.rs,4045,0.000000,0.221596,0.221596,rust.associated_consts;rust.const_eval;rust.const_generics
ConstBlockItem,declaration,compiler/rustc_ast/src/ast.rs,4051,0.000000,0.221596,0.221596,rust.associated_consts;rust.const_eval;rust.const_generics
TestBinderConstraints,declaration,compiler/rustc_ast/src/ast.rs,4074,0.000000,0.221596,0.221596,rust.associated_consts;rust.const_eval;rust.const_generics
TestBinderConstraint,declaration,compiler/rustc_ast/src/ast.rs,4104,0.000000,0.221596,0.221596,rust.associated_consts;rust.const_eval;rust.const_generics
CompilerGenerated,enum_variant,compiler/rustc_ast/src/ast.rs,1374,0.000000,0.208483,0.208483,rust.const_generics;rust.generator_coroutine;rust.generic_bounds
Async,enum_variant,compiler/rustc_ast/src/ast.rs,1935,0.000000,0.152372,0.152372,rust.async_await;rust.await_suspension
AsyncGen,enum_variant,compiler/rustc_ast/src/ast.rs,1937,0.000000,0.152372,0.152372,rust.async_await;rust.await_suspension
BoundAsyncness,declaration,compiler/rustc_ast/src/ast.rs,3216,0.000000,0.152372,0.152372,rust.async_await;rust.await_suspension
UnsafeSource,declaration,compiler/rustc_ast/src/ast.rs,1373,0.000000,0.149656,0.149656,rust.unsafe_block;rust.unsafe_trait_impl
UnsafeBinderCastKind,declaration,compiler/rustc_ast/src/ast.rs,1967,0.000000,0.149656,0.149656,rust.unsafe_block;rust.unsafe_trait_impl
Path,declaration,compiler/rustc_ast/src/ast.rs,94,0.000000,0.131820,0.131820,rust.pattern_destructuring;rust.ref_patterns
PathSegment,declaration,compiler/rustc_ast/src/ast.rs,212,0.000000,0.131820,0.131820,rust.pattern_destructuring;rust.ref_patterns
Pat,declaration,compiler/rustc_ast/src/ast.rs,625,0.000000,0.131820,0.131820,rust.pattern_destructuring;rust.ref_patterns
PatField,declaration,compiler/rustc_ast/src/ast.rs,779,0.000000,0.131820,0.131820,rust.pattern_destructuring;rust.ref_patterns
PatKind,declaration,compiler/rustc_ast/src/ast.rs,871,0.000000,0.131820,0.131820,rust.pattern_destructuring;rust.ref_patterns
PatFieldsRest,declaration,compiler/rustc_ast/src/ast.rs,950,0.000000,0.131820,0.131820,rust.pattern_destructuring;rust.ref_patterns
Closure,declaration,compiler/rustc_ast/src/ast.rs,1670,0.000000,0.085247,0.085247,rust.closure_capture_modes
ClosureBinder,declaration,compiler/rustc_ast/src/ast.rs,2023,0.000000,0.085247,0.085247,rust.closure_capture_modes
CoroutineKind,declaration,compiler/rustc_ast/src/ast.rs,1934,0.000000,0.062005,0.062005,rust.generator_coroutine
CoroutineMarker,declaration,compiler/rustc_ast/src/ast.rs,3115,0.000000,0.062005,0.062005,rust.generator_coroutine
Label,declaration,compiler/rustc_ast/src/ast.rs,57,0.000000,0.000000,0.000000,
AngleBracketedArgs,declaration,compiler/rustc_ast/src/ast.rs,302,0.000000,0.000000,0.000000,
AngleBracketedArg,declaration,compiler/rustc_ast/src/ast.rs,311,0.000000,0.000000,0.000000,
ParenthesizedArgs,declaration,compiler/rustc_ast/src/ast.rs,341,0.000000,0.000000,0.000000,
ParamKindOrd,declaration,compiler/rustc_ast/src/ast.rs,415,0.000000,0.000000,0.000000,
WhereClause,declaration,compiler/rustc_ast/src/ast.rs,480,0.000000,0.000000,0.000000,
WherePredicate,declaration,compiler/rustc_ast/src/ast.rs,498,0.000000,0.000000,0.000000,
WherePredicateKind,declaration,compiler/rustc_ast/src/ast.rs,508,0.000000,0.000000,0.000000,
WhereBoundPredicate,declaration,compiler/rustc_ast/src/ast.rs,519,0.000000,0.000000,0.000000,
WhereRegionPredicate,declaration,compiler/rustc_ast/src/ast.rs,533,0.000000,0.000000,0.000000,
WhereEqPredicate,declaration,compiler/rustc_ast/src/ast.rs,544,0.000000,0.000000,0.000000,
Crate,declaration,compiler/rustc_ast/src/ast.rs,550,0.000000,0.000000,0.000000,
MetaItem,declaration,compiler/rustc_ast/src/ast.rs,568,0.000000,0.000000,0.000000,
MetaItemKind,declaration,compiler/rustc_ast/src/ast.rs,577,0.000000,0.000000,0.000000,
Word,enum_variant,compiler/rustc_ast/src/ast.rs,581,0.000000,0.000000,0.000000,
MetaItemInner,declaration,compiler/rustc_ast/src/ast.rs,598,0.000000,0.000000,0.000000,
Block,declaration,compiler/rustc_ast/src/ast.rs,612,0.000000,0.000000,0.000000,
No,enum_variant,compiler/rustc_ast/src/ast.rs,795,0.000000,0.000000,0.000000,
BindingMode,declaration,compiler/rustc_ast/src/ast.rs,816,0.000000,0.000000,0.000000,
RangeEnd,declaration,compiler/rustc_ast/src/ast.rs,852,0.000000,0.000000,0.000000,
Excluded,enum_variant,compiler/rustc_ast/src/ast.rs,856,0.000000,0.000000,0.000000,
RangeSyntax,declaration,compiler/rustc_ast/src/ast.rs,860,0.000000,0.000000,0.000000,
DotDotDot,enum_variant,compiler/rustc_ast/src/ast.rs,862,0.000000,0.000000,0.000000,
DotDotEq,enum_variant,compiler/rustc_ast/src/ast.rs,864,0.000000,0.000000,0.000000,
Missing,enum_variant,compiler/rustc_ast/src/ast.rs,873,0.000000,0.000000,0.000000,
Wild,enum_variant,compiler/rustc_ast/src/ast.rs,876,0.000000,0.000000,0.000000,
Rest,enum_variant,compiler/rustc_ast/src/ast.rs,930,0.000000,0.000000,0.000000,
Never,enum_variant,compiler/rustc_ast/src/ast.rs,933,0.000000,0.000000,0.000000,
Raw,enum_variant,compiler/rustc_ast/src/ast.rs,971,0.000000,0.000000,0.000000,
Pin,enum_variant,compiler/rustc_ast/src/ast.rs,975,0.000000,0.000000,0.000000,
Add,enum_variant,compiler/rustc_ast/src/ast.rs,981,0.000000,0.000000,0.000000,
Sub,enum_variant,compiler/rustc_ast/src/ast.rs,983,0.000000,0.000000,0.000000,
Mul,enum_variant,compiler/rustc_ast/src/ast.rs,985,0.000000,0.000000,0.000000,
Div,enum_variant,compiler/rustc_ast/src/ast.rs,987,0.000000,0.000000,0.000000,
Rem,enum_variant,compiler/rustc_ast/src/ast.rs,989,0.000000,0.000000,0.000000,
And,enum_variant,compiler/rustc_ast/src/ast.rs,991,0.000000,0.000000,0.000000,
Or,enum_variant,compiler/rustc_ast/src/ast.rs,993,0.000000,0.000000,0.000000,
BitXor,enum_variant,compiler/rustc_ast/src/ast.rs,995,0.000000,0.000000,0.000000,
BitAnd,enum_variant,compiler/rustc_ast/src/ast.rs,997,0.000000,0.000000,0.000000,
BitOr,enum_variant,compiler/rustc_ast/src/ast.rs,999,0.000000,0.000000,0.000000,
Shl,enum_variant,compiler/rustc_ast/src/ast.rs,1001,0.000000,0.000000,0.000000,
Shr,enum_variant,compiler/rustc_ast/src/ast.rs,1003,0.000000,0.000000,0.000000,
Eq,enum_variant,compiler/rustc_ast/src/ast.rs,1005,0.000000,0.000000,0.000000,
Lt,enum_variant,compiler/rustc_ast/src/ast.rs,1007,0.000000,0.000000,0.000000,
Le,enum_variant,compiler/rustc_ast/src/ast.rs,1009,0.000000,0.000000,0.000000,
Ne,enum_variant,compiler/rustc_ast/src/ast.rs,1011,0.000000,0.000000,0.000000,
Ge,enum_variant,compiler/rustc_ast/src/ast.rs,1013,0.000000,0.000000,0.000000,
Gt,enum_variant,compiler/rustc_ast/src/ast.rs,1015,0.000000,0.000000,0.000000,
Add,enum_variant,compiler/rustc_ast/src/ast.rs,1022,0.000000,0.000000,0.000000,
Sub,enum_variant,compiler/rustc_ast/src/ast.rs,1023,0.000000,0.000000,0.000000,
Mul,enum_variant,compiler/rustc_ast/src/ast.rs,1024,0.000000,0.000000,0.000000,
Div,enum_variant,compiler/rustc_ast/src/ast.rs,1025,0.000000,0.000000,0.000000,
Rem,enum_variant,compiler/rustc_ast/src/ast.rs,1026,0.000000,0.000000,0.000000,
