feature,normalized_importance,coverage_score,base_gap,dominant_source_groups
identifier,0.564404,0.547500,0.255393,compiler_other;parser_lowering;resolve_macros;tools_other
if,0.350100,0.483500,0.180826,tools_other;parser_lowering;traits_types;mir
import,0.929862,0.021000,0.910335,compiler_other;tools_other;stdlib_core;stdlib_std
index,0.329962,0.577500,0.139409,tools_other;codegen_abi;mir;compiler_other
interface_trait,0.879300,0.133000,0.762353,traits_types;compiler_other;tests;tools_other
io,0.608667,0.111000,0.541105,stdlib_std;tools_other;tests;codegen_abi
ir,0.890602,0.021000,0.871900,compiler_other;traits_types;mir;tools_other
layout_alignment,0.802723,0.077000,0.740913,codegen_abi;const_eval;compiler_other;stdlib_core
lifetime,0.756780,0.113000,0.671264,traits_types;resolve_macros;compiler_other;tools_other
literal_boolean,0.847726,0.469500,0.449719,compiler_other;tools_other;tests;codegen_abi
literal_null,0.864690,0.469500,0.458718,tools_other;compiler_other;stdlib_core;codegen_abi
literal_numeric,0.305091,0.469500,0.161851,compiler_other;tools_other;parser_lowering;resolve_macros
literal_string,0.458370,0.469500,0.243165,compiler_other;tools_other;parser_lowering;resolve_macros
lock_mutex,0.649527,0.079500,0.597890,stdlib_std;tools_other;tests;compiler_other
macro,0.798911,0.021000,0.782133,tools_other;resolve_macros;tests;compiler_other
manual_memory,0.665091,0.021000,0.651124,stdlib_alloc;codegen_abi;stdlib_std;stdlib_core
map_dict,0.255196,0.021000,0.249837,stdlib_std;stdlib_alloc;compiler_other;codegen_abi
map_type,0.227790,0.133000,0.197494,borrowck_regions;tools_other;codegen_abi;tests
member_access,0.288500,0.266000,0.211759,tools_other;mir;parser_lowering;compiler_other
memory_model,0.337897,0.021000,0.330801,stdlib_core;tools_other;mir;stdlib_std
module,0.769529,0.021000,0.753369,resolve_macros;codegen_abi;tools_other;compiler_other
mutation,0.736945,0.079500,0.678358,stdlib_core;tools_other;compiler_other;codegen_abi
name_resolution,0.554458,0.099000,0.499567,resolve_macros;tools_other;parser_lowering;compiler_other
network,0.666371,0.111000,0.592404,stdlib_std;stdlib_core;tools_other;tests
optimizer,0.580161,0.021000,0.567977,mir;codegen_abi;stdlib_core;compiler_other
optional_nullable,0.542800,0.133000,0.470608,compiler_other;tools_other;stdlib_core;tests
overload_resolution,0.461799,0.077000,0.426241,compiler_other;tools_other;borrowck_regions;mir
ownership,0.661097,0.077000,0.610193,stdlib_std;tools_other;stdlib_alloc;compiler_other
parameter,0.786819,0.547500,0.356035,other;compiler_other;traits_types;stdlib_core
pattern,0.733417,0.021000,0.718015,mir;compiler_other;tools_other;stdlib_core
pointer,0.550374,0.133000,0.477174,stdlib_core;compiler_other;stdlib_alloc;mir
primitive_bool,0.137313,0.147000,0.117128,stdlib_core;traits_types;tools_other
primitive_float,0.636867,0.147000,0.543247,other;stdlib_core;compiler_other;tests
primitive_integer,0.687251,0.105000,0.615090,other;stdlib_core;tests;codegen_abi
primitive_string,0.169243,0.147000,0.144364,compiler_other;stdlib_core;tools_other;stdlib_alloc
random,0.581812,0.111000,0.517231,stdlib_std;stdlib_core;tests;tools_other
reference,0.771687,0.133000,0.669052,borrowck_regions;compiler_other;mir;stdlib_core
reflection,0.478997,0.079500,0.440917,traits_types;borrowck_regions;compiler_other;stdlib_core
return,0.204610,0.483500,0.105681,tools_other;compiler_other;tests;docs
scope,0.748368,0.099000,0.674279,mir;resolve_macros;compiler_other;traits_types
set,0.040351,0.021000,0.039504,tools_other
shadowing,0.480745,0.057000,0.453343,resolve_macros;compiler_other;traits_types;tools_other
slice,0.365529,0.021000,0.357853,stdlib_core;tools_other;compiler_other;tests
struct,0.807370,0.133000,0.699990,tests;tools_other;compiler_other;stdlib_core
subtyping,0.621220,0.077000,0.573386,traits_types;borrowck_regions;compiler_other;tools_other
switch_match,0.301734,0.021000,0.295398,traits_types;tools_other;compiler_other
symbol_table,0.363113,0.099000,0.327165,codegen_abi;tests;compiler_other;tools_other
task_async,0.747542,0.079500,0.688112,compiler_other;stdlib_core;tests;traits_types
thread,0.746159,0.079500,0.686839,stdlib_std;compiler_other;tools_other;codegen_abi
throw_raise,0.756015,0.079500,0.695912,stdlib_core;stdlib_std;compiler_other;tests
time,0.497161,0.111000,0.441976,tools_other;stdlib_std;tests;codegen_abi
tuple,0.691207,0.021000,0.676691,compiler_other;tools_other;traits_types;stdlib_core
tuple_type,0.282353,0.133000,0.244800,traits_types;tools_other;parser_lowering;compiler_other
type_inference,0.677947,0.077000,0.625745,traits_types;borrowck_regions;compiler_other;tools_other
unary_op,0.400736,0.577500,0.169311,tools_other;mir;codegen_abi;const_eval
union_sum,0.242429,0.133000,0.210186,tests;borrowck_regions;const_eval;codegen_abi
unsafe,0.831777,0.021000,0.814310,stdlib_core;stdlib_std;stdlib_alloc;tests
variable,1.000000,0.344000,0.656000,tools_other;compiler_other;codegen_abi;stdlib_core
visibility,0.702214,0.021000,0.687467,compiler_other;tools_other;codegen_abi;resolve_macros
while,0.218879,0.483500,0.113051,tools_other
yield,0.545323,0.021000,0.533871,mir;stdlib_core;tools_other;compiler_other
