feature,tree_node,structured_type,binding_scope_graph,control_data_graph,effect_graph,operation_semantics,direct_interpreter,backend_declared_capability,dialect_preservation
ownership,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.350
parameter,1.000,0.000,0.650,0.800,0.000,0.000,0.850,0.750,1.000
pattern,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
pointer,0.000,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.350
primitive_bool,0.000,0.900,0.000,0.000,0.000,0.000,0.000,0.000,0.350
primitive_float,0.000,0.900,0.000,0.000,0.000,0.000,0.000,0.000,0.350
primitive_integer,0.000,0.600,0.000,0.000,0.000,0.000,0.000,0.000,0.350
primitive_string,0.000,0.900,0.000,0.000,0.000,0.000,0.000,0.000,0.350
random,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.350
reference,0.000,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.350
reflection,0.000,0.000,0.000,0.000,0.650,0.000,0.000,0.000,0.350
return,1.000,0.000,0.000,0.900,0.000,0.000,0.850,0.750,1.000
scope,0.000,0.000,0.650,0.000,0.000,0.000,0.000,0.000,0.350
set,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
shadowing,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.350
slice,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
struct,0.000,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.350
subtyping,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.350
switch_match,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
symbol_table,0.000,0.000,0.650,0.000,0.000,0.000,0.000,0.000,0.350
task_async,0.000,0.000,0.000,0.000,0.650,0.000,0.000,0.000,0.350
thread,0.000,0.000,0.000,0.000,0.650,0.000,0.000,0.000,0.350
throw_raise,0.000,0.000,0.000,0.000,0.650,0.000,0.000,0.000,0.350
time,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.350
tuple,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
tuple_type,0.000,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.350
type_inference,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.350
unary_op,1.000,0.000,0.000,0.800,0.000,0.900,0.850,0.750,1.000
union_sum,0.000,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.350
unsafe,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
variable,0.500,0.000,0.650,0.500,0.000,0.000,0.350,0.300,1.000
visibility,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
while,1.000,0.000,0.000,0.900,0.000,0.000,0.850,0.750,1.000
yield,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
