rust_semantic_feature,tree_node,structured_type,binding_scope_graph,control_data_graph,effect_graph,operation_semantics,direct_interpreter,backend_declared_capability,dialect_preservation
rust.coherence_orphan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.specialization,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.impl_trait,0.050,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.opaque_types,0.050,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.method_resolution,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.autoderef_autoref,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.deref_coercion,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.unsize_coercion,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.operator_traits,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.pattern_destructuring,0.050,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.350
rust.match_exhaustiveness,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.match_guards,0.050,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.350
rust.ref_patterns,0.050,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.350
rust.enum_variant_semantics,0.050,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.if_let_while_let,0.050,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.350
rust.let_else,0.050,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.350
rust.loop_break_value,0.050,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.350
rust.never_type_divergence,0.000,0.000,0.000,0.150,0.000,0.100,0.000,0.000,0.350
rust.result_question_operator,0.000,0.000,0.000,0.150,0.000,0.100,0.000,0.000,0.350
rust.option_niche_optimization,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.panic_unwind_abort,0.000,0.000,0.000,0.000,0.250,0.050,0.000,0.000,0.350
rust.async_await,0.000,0.000,0.000,0.050,0.100,0.000,0.000,0.000,0.350
rust.future_poll,0.000,0.000,0.000,0.050,0.100,0.000,0.000,0.000,0.350
rust.generator_coroutine,0.000,0.000,0.000,0.050,0.100,0.000,0.000,0.000,0.350
rust.await_suspension,0.000,0.000,0.000,0.050,0.100,0.000,0.000,0.000,0.350
rust.closure_capture_modes,0.200,0.000,0.150,0.100,0.000,0.000,0.000,0.000,0.350
rust.fn_traits,0.200,0.000,0.150,0.100,0.000,0.000,0.000,0.000,0.350
rust.send_sync_auto_traits,0.000,0.100,0.000,0.000,0.300,0.000,0.000,0.000,0.350
rust.atomic_ordering,0.000,0.100,0.000,0.000,0.300,0.000,0.000,0.000,0.350
rust.thread_memory_model,0.000,0.100,0.000,0.000,0.300,0.000,0.000,0.000,0.350
rust.macro_rules_hygiene,0.050,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.350
rust.proc_macro,0.050,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.350
rust.name_resolution_hygiene,0.050,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.350
rust.const_eval,0.050,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.350
rust.const_generics,0.050,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.monomorphization,0.050,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.350
rust.hir_lowering,0.050,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.350
rust.mir_semantics,0.050,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.350
rust.abi_layout,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.repr_attributes,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.ffi_extern_abi,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.slice_fat_pointer,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.dst_unsized,0.000,0.200,0.000,0.000,0.100,0.000,0.000,0.000,0.350
rust.crate_module_resolution,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.visibility_privacy,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350
rust.attributes_cfg,0.050,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.350
rust.feature_gates,0.050,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.350
