feature,category,evidence_count,files_with_evidence,relative_weight,detection_terms,semanticprogram_axes
for,control,119,47,0.0006475661850733274,forstmt;for statement;forexpr,control.flow;evaluation.order;effects.control
foreach_iteration,control,21441,1940,0.1166761896988001,foreach;for in;iterator;iterable,control.flow;evaluation.order;effects.control
function,declaration,110682,7208,0.6023018529099665,function;funcdecl;functiondef;fn ;methoddecl;lambda,nodes.declaration;scope.binding;types.structure
function_type,type,24918,2506,0.13559709411476614,functiontype;function type;callable type;signature,types.structure;types.origin;conversion.semantics
gc,memory,137,66,0.0007455173727314777,garbage collector;garbage collection;gc ;gcmask;tracing gc,memory.model;ownership.lifetime;abi.ffi
generic,declaration,96322,4269,0.5241585720893532,generic;typeparam;type parameter;template,nodes.declaration;scope.binding;types.structure
generic_constraint,type,16367,1058,0.08906483824449704,constraint;where clause;trait bound;concept,types.structure;types.origin;conversion.semantics
global_state,effect,465,213,0.002530405681168884,global state;global variable;static variable,effect.graph;purity;runtime.contract
goto_label,control,77,30,0.00041901341387097653,gotostmt;goto ;labelstmt,control.flow;evaluation.order;effects.control
identifier,expression,11578,1240,0.06300438059478138,identifier;identexpr;nameexpr;symbolref,nodes.expression;operations;evaluation.order;data.flow
if,control,430,87,0.0023399450385002585,ifstmt;if statement;conditionalexpr;ifexpr,control.flow;evaluation.order;effects.control
import,declaration,164802,15511,0.8968084238021387,import;include;use ;using ;require,nodes.declaration;scope.binding;types.structure
index,expression,15377,1431,0.08367752292329877,indexexpr;subscript;index expression,nodes.expression;operations;evaluation.order;data.flow
interface_trait,declaration,81275,7853,0.4422768209397872,interface;trait;protocol,nodes.declaration;scope.binding;types.structure
io,effect,1337,450,0.007275596549941502,stdout;stdin;io effect;file io,effect.graph;purity;runtime.contract
ir,meta,146792,6725,0.7988028188175115,intermediate representation;mir;hir;ssa;sil;zir;ir node,dialect.extension;compiletime.semantics;lowering.pipeline
layout_alignment,memory,29027,1811,0.1579571735640628,alignment;layout;sizeof;offsetof;repr(,memory.model;ownership.lifetime;abi.ffi
lifetime,binding,15953,1251,0.08681196092835959,lifetime;region inference;borrowck,scope.binding;binding.graph;capture.shadowing
literal_boolean,expression,84707,4901,0.4609528473866079,boolliteral;boolean literal;true;false,nodes.expression;operations;evaluation.order;data.flow
literal_null,expression,92788,7728,0.5049274889124697,null;nil;none;nullptr;missing,nodes.expression;operations;evaluation.order;data.flow
literal_numeric,expression,2391,364,0.013011182760590972,integerliteral;floatliteral;numeric literal;numberliteral,nodes.expression;operations;evaluation.order;data.flow
literal_string,expression,2160,430,0.011754142518978043,stringliteral;string literal;charliteral,nodes.expression;operations;evaluation.order;data.flow
lock_mutex,concurrency,2890,187,0.015726607351780806,mutex;rwlock;lock guard;monitor,concurrency.model;synchronization;memory.ordering
macro,meta,22838,1359,0.1242782902076021,macro;preprocessor;quoteexpr;unquote,dialect.extension;compiletime.semantics;lowering.pipeline
manual_memory,memory,4156,657,0.022615840883737384,malloc;free(;manual memory;allocator,memory.model;ownership.lifetime;abi.ffi
map_dict,expression,6736,663,0.036655511114738935,mapexpr;dictexpr;dictionary;map literal,nodes.expression;operations;evaluation.order;data.flow
map_type,type,934,238,0.005082578292928469,maptype;map type;dictionary type,types.structure;types.origin;conversion.semantics
member_access,expression,327,93,0.0017794465757897315,memberexpr;member access;selectorexpr;fieldexpr,nodes.expression;operations;evaluation.order;data.flow
memory_model,concurrency,11,7,5.9859059124425215e-05,memory model;happens-before;sequenced-before,concurrency.model;synchronization;memory.ordering
module,declaration,127413,9275,0.6933474818382173,module;namespace;package,nodes.declaration;scope.binding;types.structure
mutation,effect,40924,3699,0.22269746687345252,mutation;mutable;write barrier;store,effect.graph;purity;runtime.contract
name_resolution,binding,854,123,0.004647239681114467,name resolution;resolve name;lookupname;resolver,scope.binding;binding.graph;capture.shadowing
network,effect,381,59,0.0020733001387641826,network;socket,effect.graph;purity;runtime.contract
optimizer,meta,5088,1189,0.0276875357113705,optimizer;optimization;constant folding;dead code,dialect.extension;compiletime.semantics;lowering.pipeline
optional_nullable,type,35264,3009,0.1918972600876119,optional;nullable;option type;nullability,types.structure;types.origin;conversion.semantics
overload_resolution,type,7040,762,0.03830979783963214,overload;candidate function;method resolution;resolve call,types.structure;types.origin;conversion.semantics
ownership,memory,27450,1728,0.14937556117867928,ownership;owned;move semantics;borrow checker,memory.model;ownership.lifetime;abi.ffi
parameter,declaration,74417,4433,0.4049574184420319,parameter;paramdecl;formal;argument,nodes.declaration;scope.binding;types.structure
pattern,expression,23328,1540,0.12694473920496285,pattern;match arm;destructure,nodes.expression;operations;evaluation.order;data.flow
pointer,type,1316,261,0.007161320164340326,pointertype;pointer type;ptrtype;raw pointer,types.structure;types.origin;conversion.semantics
primitive_bool,type,109,38,0.0005931488585965771,boolean type;booltype,types.structure;types.origin;conversion.semantics
primitive_float,type,14863,1397,0.08088047234239382,floating type;float32;float64;double;ieee,types.structure;types.origin;conversion.semantics
primitive_integer,type,65728,2565,0.3576742034663837,integer type;int8;int16;int32;int64;uint32;isinteger,types.structure;types.origin;conversion.semantics
primitive_string,type,158,90,0.0008597937583326532,string type;strtype;text type,types.structure;types.origin;conversion.semantics
random,effect,5059,596,0.027529725464587925,random;rng,effect.graph;purity;runtime.contract
reference,type,25858,1498,0.14071232280358065,referencetype;reference type;borrow;lvalue reference,types.structure;types.origin;conversion.semantics
reflection,effect,9013,612,0.04904633635349495,reflection;reflect;runtime type info;rtti,effect.graph;purity;runtime.contract
return,control,567,120,0.0030854624112317364,returnstmt;return statement,control.flow;evaluation.order;effects.control
scope,binding,20139,1817,0.10959105379152723,scope;lexical scope;block scope,scope.binding;binding.graph;capture.shadowing
set,expression,48,20,0.00026120316708840095,setexpr;set literal,nodes.expression;operations;evaluation.order;data.flow
shadowing,binding,743,138,0.00404320735722254,shadowing;shadowed,scope.binding;binding.graph;capture.shadowing
slice,expression,102,34,0.000555056730062852,sliceexpr;slicing;slice expression,nodes.expression;operations;evaluation.order;data.flow
struct,declaration,55277,9841,0.30080265556553204,structdecl;struct ;record,nodes.declaration;scope.binding;types.structure
subtyping,type,2869,527,0.015612330966179632,subtype;assignable;variance;inheritance,types.structure;types.origin;conversion.semantics
switch_match,control,440,98,0.002394362364977009,switchstmt;switch statement;matchexpr;matchstmt;caseclause,control.flow;evaluation.order;effects.control
symbol_table,binding,213,31,0.001159089053954779,symbol table;symboltable;symtab;symbol table,scope.binding;binding.graph;capture.shadowing
task_async,concurrency,53984,2477,0.29376649525208826,async;task;future;promise,concurrency.model;synchronization;memory.ordering
thread,concurrency,8462,776,0.046047941664626016,thread;pthread;goroutine,concurrency.model;synchronization;memory.ordering
throw_raise,control,2905,628,0.015808233341495934,throwstmt;throw ;raise ;panic,control.flow;evaluation.order;effects.control
time,effect,1388,126,0.007553124914972928,clock;system time;monotonic time,effect.graph;purity;runtime.contract
tuple,expression,19154,1465,0.10423094713356733,tupleexpr;tuple;product type,nodes.expression;operations;evaluation.order;data.flow
tuple_type,type,2775,382,0.01510080809729818,tupletype;tuple type,types.structure;types.origin;conversion.semantics
type_inference,type,13320,6624,0.07248387886703127,type inference;infer type;inferctx;typeck;typecheck,types.structure;types.origin;conversion.semantics
unary_op,expression,361,83,0.001964465485810682,unaryexpr;unaryop;prefixexpr;postfixexpr,nodes.expression;operations;evaluation.order;data.flow
union_sum,type,88,26,0.0004788724729954017,uniontype;union type;sum type;variant type,types.structure;types.origin;conversion.semantics
unsafe,memory,40205,2487,0.21878486109977416,unsafe;unchecked;raw pointer,memory.model;ownership.lifetime;abi.ffi
variable,declaration,183765,11313,1.0,vardecl;variable;let ;const ;static ,nodes.declaration;scope.binding;types.structure
visibility,declaration,101137,9327,0.5503605147879085,public;private;protected;visibility;exported,nodes.declaration;scope.binding;types.structure
while,control,222,38,0.0012080646477838543,whilestmt;while statement;whileexpr,control.flow;evaluation.order;effects.control
yield,expression,3082,671,0.01677142002013441,yieldexpr;yield ;generator,nodes.expression;operations;evaluation.order;data.flow
