feature,core_syntax_control,evaluation_promises_nse,vectors_types_indexing,bindings_environments,objects_dispatch,conditions_cleanup,packages_ffi,runtime_memory,compiler_metaprogramming,effects_runtime
ffi,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
filesystem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
for,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foreach_iteration,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
function,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
function_type,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
generic,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
generic_constraint,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
global_state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
goto_label,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
identifier,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
if,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
index,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
interface_trait,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
io,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
layout_alignment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
lifetime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
literal_boolean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
literal_null,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
literal_numeric,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
literal_string,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lock_mutex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
macro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
manual_memory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
map_dict,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
map_type,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
member_access,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memory_model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
module,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
mutation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
name_resolution,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
optimizer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
optional_nullable,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overload_resolution,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ownership,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
parameter,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pattern,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pointer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
primitive_bool,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primitive_float,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primitive_integer,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primitive_string,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
reference,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reflection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
return,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scope,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
set,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shadowing,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
slice,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
struct,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subtyping,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
switch_match,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
symbol_table,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
task_async,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
thread,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
throw_raise,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tuple,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tuple_type,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
type_inference,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unary_op,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
union_sum,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unsafe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
variable,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
visibility,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
while,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yield,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.promise_lazy_argument,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.promise_forcing,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.missing_argument,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.dots_ellipsis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.default_argument_lazy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.quote_substitute_eval,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.language_object_pairlist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.environment,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
r.lexical_lookup,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
r.superassignment,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
r.active_binding,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
r.delayed_assignment,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
r.closure_environment_capture,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
r.atomic_vector,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.list_pairlist,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.vectorized_operation,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.vector_recycling,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.coercion_lattice,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.na_value,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.na_propagation,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.nan_inf_semantics,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.complex_type,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.raw_type,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.one_based_index,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.negative_index_exclusion,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.logical_index,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.double_bracket_index,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.dollar_member_partial_match,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r.attributes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
r.s3_dispatch,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
r.s4_dispatch,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
r.condition_system,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
r.restarts_unwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
r.on_exit_cleanup,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
r.copy_on_modify_named,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
r.gc_protect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
r.altrep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
r.ffi_C_Call_External,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
r.native_registration,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
r.namespace_package,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
r.bytecode_compiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
r.rng_state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
