feature,family,javac_frontend_semantics,language_model_processing,classfile_bytecode,java_base_runtime,concurrency_jmm,reflection_modules_invokedynamic,ffi_abi,gc_reachability,hotspot_vm_runtime,jit_optimizer,behavior_tests,library_platform_sources,docs_spec_notes,build_metadata,other,weighted_evidence,unique_path_evidence_files,related_generic_features
java.intersection_types,types_conversions_generics,470.0000,34.4500,58.8800,58.0800,63.6500,163.6800,213.8400,278.7600,995.4400,624.9600,1562.4000,2069.7200,7.7000,842.4000,0.0000,7443.9600,12,generic_constraint;subtyping;union_sum
java.var_local_inference,types_conversions_generics,3580.0000,317.3000,930.1200,3311.4400,1100.1000,2259.8400,6021.8400,11568.0800,16014.4400,17306.5200,98905.2000,41856.0400,105.0000,35.8400,0.2000,203311.9600,3,type_inference;variable
java.array_covariance_store_check,types_conversions_generics,4456.0000,353.6500,719.4400,3455.2000,3975.7500,3016.9600,3114.3200,239.2000,2729.6400,2746.8000,100783.2000,53687.3200,120.0500,480.7200,0.1000,179878.3500,62,array_type;subtyping;exception_try
java.null_reference_semantics,types_conversions_generics,6872.0000,366.9500,1005.5600,2659.0800,5537.5500,2179.7600,8686.2000,5961.6000,15890.2400,23280.6000,63856.0000,58499.0000,161.3500,89.1200,0.0000,195045.0100,37,literal_null;optional_nullable;reference
java.unsigned_absence_signed_wrap,types_conversions_generics,130.0000,0.0000,0.0000,21.1200,90.2500,0.0000,371.9600,1068.1200,1141.7200,304.0800,2221.0000,7691.4800,0.0000,0.0000,0.0000,13039.7300,5,primitive_integer;binary_op
java.ieee754_always_strict,types_conversions_generics,448.0000,13.3000,258.5200,1540.0000,385.7000,158.4000,704.8800,1510.6400,1126.0800,1102.0800,157744.0000,12417.4400,8.0500,1.1200,0.0000,177418.2100,48,primitive_float;binary_op
java.class_interface_inheritance,declarations_object_model,4378.0000,834.1000,672.5200,3086.1600,951.9000,2346.9600,3686.3200,2908.1200,5877.8800,3909.3600,51440.6000,40836.5600,241.1500,464.8800,0.0000,121634.5100,4,class;interface_trait;subtyping
java.records,declarations_object_model,6945.0000,1214.3500,935.1200,5074.4000,1510.5000,5144.2000,6051.7600,3958.7600,6817.0800,5352.4800,112395.8000,55413.6400,448.0000,872.6400,0.0000,212133.7300,53,struct;class;parameter
java.sealed_classes_interfaces,declarations_object_model,4368.0000,834.1000,672.5200,3091.1600,951.9000,2346.9600,3686.3200,2908.1200,5877.8800,3909.3600,51900.6000,40846.5600,241.1500,464.8800,0.0000,122099.5100,97,class;interface_trait;subtyping
java.enums_semantics,declarations_object_model,3088.0000,451.2500,396.0000,2138.7600,861.6500,1532.0800,3075.6000,3141.5600,5103.2400,3384.3200,43133.8000,37267.8400,210.7000,1040.6400,0.0000,104825.4400,337,enum;class
java.annotation_semantics,declarations_object_model,7870.0000,1410.9000,2604.4000,5376.1600,818.9000,2472.0000,4069.1200,3749.0000,7376.4400,3043.3200,61855.2000,62399.8400,250.2500,118.0000,0.0000,163413.5300,969,attribute_annotation;class
java.annotation_processing,compiletime_metadata,5088.0000,841.2500,2217.2000,3243.6800,35.1500,1016.4000,1263.6800,1101.6400,3114.2000,365.4000,18755.0000,29465.9600,65.8000,111.1200,0.0000,66684.4800,154,attribute_annotation;code_generation
java.inner_local_anonymous_classes,declarations_object_model,4331.0000,433.2000,433.3200,2662.3200,1231.2000,1659.4000,3886.0800,3070.9600,4922.9200,3931.2000,43606.4000,35570.8400,215.2500,409.4400,0.0000,106363.5300,111,class;capture;scope
java.default_interface_methods,calls_resolution_dispatch,3063.0000,410.4000,339.4800,1429.1200,1178.0000,2230.8000,3659.9200,587.8800,3063.4800,1822.8000,25629.6000,13388.2000,165.9000,8.0000,0.0000,56976.5800,96,interface_trait;dynamic_dispatch;function
java.field_hiding_method_overriding,calls_resolution_dispatch,372.0000,12.3500,124.2000,128.2000,45.6000,117.9200,184.8000,17.4800,1093.8800,909.7200,2363.6000,2319.4400,3.5000,453.1200,0.0000,8145.8100,139,member_access;dynamic_dispatch;subtyping;name_resolution
java.access_control,bindings_modules,13412.0000,776.1500,2867.6400,5874.0000,4805.1000,3772.5600,4424.6400,6501.6400,5336.0000,4974.4800,213335.2000,88850.4000,345.4000,479.5200,0.3000,355755.0300,308,visibility;member_access;scope
java.definite_assignment_unassignment,bindings_flow,4637.0000,316.3500,966.9200,3994.0400,1544.0000,2360.1600,6877.2000,11799.9200,16582.8800,18264.9200,102318.4000,43928.8000,119.3500,473.4000,0.2000,214183.5400,229,variable;scope;if
java.effectively_final_capture,bindings_flow,5419.0000,326.8000,914.4800,3344.8800,1112.4500,3179.4400,6544.5600,14464.2400,17952.8800,17460.2400,101342.4000,42728.5200,149.1000,36.5600,0.2000,214975.7500,17,capture;closure_lambda;variable
java.static_instance_initialization_order,declarations_object_model,7668.0000,821.7500,2274.2400,7942.3200,1914.2500,4555.7600,10252.8800,14594.8800,23021.1600,22568.2800,144421.6000,84762.0400,313.6000,52.4000,0.2000,325163.3600,73,class;constant;variable
java.lambda_target_typing,calls_resolution_dispatch,1768.0000,16.1500,359.7200,396.8800,5.7000,1288.4400,1141.0800,2857.5200,4988.2400,670.3200,10451.6000,8544.5200,77.7000,0.8800,0.0000,32566.7500,872,closure_lambda;function_type;type_inference
java.method_references,calls_resolution_dispatch,1369.0000,5.7000,1.8400,37.8400,3.8000,864.1600,327.3600,2856.6000,1926.4800,160.4400,1735.8000,776.4000,30.8000,0.7200,0.0000,10096.9400,2,closure_lambda;member_access;call
java.virtual_interface_dispatch,calls_resolution_dispatch,4016.0000,821.7500,620.4800,3051.5600,906.3000,2261.6000,3694.2400,2894.3200,6508.8800,3924.4000,51173.8000,40697.1200,237.6500,11.7600,0.0000,120819.8600,94,dynamic_dispatch;interface_trait;class;call
java.invokedynamic_bootstrap,bytecode_jvm,295.0000,0.9500,887.2800,1379.3200,19.9500,226.7600,472.5600,54.2800,4476.7200,3868.2000,3189.2000,4390.5200,17.8500,0.0000,0.0000,19278.5900,35,bytecode_vm;dynamic_dispatch;call
java.method_handles_varhandles,reflection_dynamic,83.0000,24.7000,17.4800,728.6800,643.1500,939.8000,643.6000,1081.0000,2936.6400,1017.2400,8089.8000,3368.8000,19.6000,8.4800,0.0000,19601.9700,277,reflection;dynamic_dispatch;atomic
java.switch_expression,control_patterns,113.0000,13.3000,88.3200,48.4000,37.0500,54.5600,37.8400,66.2400,188.6000,502.3200,3551.6000,1959.2800,4.2000,0.8000,0.0000,6665.5100,34,switch_match;yield
java.pattern_instanceof,control_patterns,1840.0000,47.5000,2.7600,331.7600,49.4000,256.9600,107.3600,24.8400,166.5200,334.3200,5380.0000,3746.2000,32.5500,32425.4400,0.0000,44745.6100,33,pattern;if;cast_conversion
java.record_patterns,control_patterns,2809.0000,179.5500,129.7200,372.2400,70.3000,168.9600,1218.8000,861.1200,793.9600,1279.3200,52374.4000,9029.6800,79.4500,32425.4400,0.0000,101791.9400,17,pattern;struct;switch_match
java.pattern_switch_exhaustiveness,control_patterns,2077.0000,46.5500,57.0400,156.3600,51.3000,112.6400,139.9200,28.5200,251.1600,655.2000,4824.2000,3254.7200,27.6500,32878.3200,0.0000,44560.5800,13,pattern;switch_match;subtyping
java.foreach_desugaring,control_patterns,865.0000,28.5000,28.5200,213.8400,987.0500,196.2400,389.8400,1102.7200,575.2800,1002.1200,7517.4000,7331.7600,24.8500,2.8800,0.1000,20266.1000,229,foreach_iteration;for
java.labeled_break_continue,control_patterns,19.0000,0.0000,6.4400,1.7600,0.9500,3.5200,236.7200,4.6000,45.0800,83.1600,41.6000,890.8800,0.3500,0.0000,0.0000,1334.0600,2,goto_label;break;continue
java.left_to_right_evaluation,evaluation_operations,243.0000,0.9500,0.0000,42.8400,96.9000,2.6400,10.5600,46.0000,13.8000,44.5200,1939.8000,371.5200,3.5000,0.0000,0.0000,2816.0300,20,binary_op;call;assignment;member_access
java.short_circuit_boolean,evaluation_operations,144.0000,0.0000,0.0000,20.2400,88.3500,2.6400,0.0000,0.0000,5.5200,30.2400,1669.4000,271.3200,0.0000,0.0800,0.0000,2231.7900,3,binary_op;primitive_bool;if
java.checked_unchecked_exceptions,exceptions_resources,5217.0000,358.1500,910.8000,3836.8000,4663.5500,3417.0400,3377.4400,249.3200,2836.3600,2835.0000,121821.0000,62079.8800,124.2500,483.7600,0.1000,212210.4500,2,exception_try;throw_raise;subtyping
java.try_catch_finally,exceptions_resources,6100.0000,351.5000,879.5200,3854.4000,4897.2500,3476.8800,3709.2000,770.0400,2966.0800,2714.0400,123987.8000,63215.2400,137.2000,31.6000,0.1000,217090.8500,17,exception_try;throw_raise;defer_cleanup
java.try_with_resources_suppression,exceptions_resources,5124.0000,317.3000,659.6400,3429.0800,4284.5000,2864.4000,4908.6400,5687.4400,4990.0800,4592.2800,106686.0000,57476.4400,173.6000,28.7200,0.1000,201222.2200,49,exception_try;defer_cleanup;allocation
java.assert_semantics,control_patterns,1015.0000,34.2000,228.1600,494.2800,688.7500,645.0400,273.6800,10.1200,126.9600,135.2400,22050.6000,8732.8800,4.2000,3.1200,0.0000,34442.2300,3,if;throw_raise;primitive_bool
java.jpms_modules,bindings_modules,23601.0000,2296.1500,4405.8800,12031.3600,6664.2500,10354.4000,10121.7600,15890.2400,16788.1600,9754.9200,356503.6000,153732.7600,1746.1500,177.1200,1.2000,624068.9500,442,module;import;visibility
java.import_static_resolution,bindings_modules,5935.0000,692.5500,1092.9600,3638.8000,2088.1000,2252.8000,5744.6400,9600.2000,8650.7600,5930.4000,116368.0000,52456.3200,933.4500,78.5600,0.9000,215463.4400,66,import;name_resolution;member_access
java.package_namespace_resolution,bindings_modules,6394.0000,856.2500,695.0000,4109.1200,663.8500,4613.8800,1796.6800,257.0800,4172.2000,1269.2400,33105.4000,21715.0400,511.0000,424.1600,0.0000,80582.9000,347,module;name_resolution;scope
java.reflection_runtime_type,reflection_dynamic,2866.0000,449.3500,394.6800,2643.2400,895.8500,2365.9200,3365.7200,2868.5600,5681.8000,3215.5200,44531.4000,35107.4400,203.0000,14.8000,0.0000,104603.2800,302,reflection;class;dynamic_dispatch
java.class_loading_linking_initialization,jvm_runtime_object_model,8411.0000,1254.9500,1827.1200,6607.9600,1013.6500,6149.4400,4120.7600,2882.2400,11652.0800,6280.6800,74458.2000,54129.6800,702.1000,28.4800,0.0000,179518.3400,534,bytecode_vm;class;module
java.object_identity_hash_monitor,jvm_runtime_object_model,2812.0000,424.6500,397.4400,2054.8000,1004.1500,1477.5200,3862.3200,3512.5600,8029.2800,3460.8000,46617.4000,35953.2400,197.4000,8.6400,0.0000,109812.2000,61,class;lock_mutex;memory_model
java.string_interning,jvm_runtime_object_model,22.0000,0.0000,431.8400,189.9600,16.1500,150.2400,574.3200,1538.2400,353.9600,134.3200,4189.8000,20800.6000,82.9500,219.9200,0.0000,28704.3000,4789,primitive_string;gc
java.monitor_synchronized,concurrency_memory_model,28.0000,0.9500,20.2400,1077.1200,5672.4500,90.6400,10150.8000,6877.9200,16385.3600,2284.8000,52653.8000,15440.4000,66.5000,5.1200,0.0000,110754.1000,121,lock_mutex;thread;memory_model
java.volatile_semantics,concurrency_memory_model,23.0000,0.9500,0.0000,996.1600,5998.3000,225.8800,9232.9600,7186.1200,14347.8000,2115.1200,49484.4000,13808.8400,60.9000,3.9200,0.0000,103484.3500,74,atomic;memory_model;thread
java.final_field_memory_semantics,concurrency_memory_model,6365.0000,739.1000,1288.9200,5251.5600,1899.0500,3725.0400,8858.0800,14376.8400,20374.7200,19932.3600,138733.4000,74769.1600,292.6000,42.7200,0.2000,296648.7500,22,memory_model;class;variable
java.happens_before_jmm,concurrency_memory_model,40.0000,0.9500,20.2400,1098.2400,6203.5000,220.8800,10259.0400,7889.9200,17976.8000,2829.1200,55751.8000,16615.2000,70.7000,5.6800,0.0000,118982.0700,13,memory_model;atomic;thread;lock_mutex
java.atomic_varhandle_ordering,concurrency_memory_model,23.0000,0.9500,0.0000,996.1600,5998.3000,255.8800,9232.9600,7186.1200,14342.8000,2125.1200,50199.4000,13793.8400,65.9000,3.9200,0.0000,104224.3500,222,atomic;memory_model;thread
java.thread_interruption,concurrency_memory_model,353.0000,44.6500,2.7600,1082.1200,9865.7500,103.8400,9303.3600,9846.7600,13442.1200,2165.5200,56113.0000,16107.7600,122.8500,388.0800,0.0000,118941.5700,77,thread;task_async
java.virtual_threads,concurrency_memory_model,353.0000,44.6500,2.7600,1097.1200,9870.7500,103.8400,9318.3600,9871.7600,13507.1200,2165.5200,56013.0000,16297.7600,122.8500,388.0800,0.0000,119156.5700,120,thread;task_async
java.structured_concurrency,concurrency_memory_model,353.0000,44.6500,2.7600,1077.1200,9875.7500,103.8400,9303.3600,9846.7600,13442.1200,2165.5200,55798.0000,16062.7600,122.8500,388.0800,0.0000,118586.5700,6,thread;task_async
java.classfile_descriptors_signatures,bytecode_jvm,1246.0000,105.4500,1707.8800,2738.9600,30.4000,988.6000,1503.7200,1227.2800,9297.7600,4780.4400,15084.2000,16390.6800,99.0500,2259.1200,0.0000,57459.5400,973,bytecode_vm;function_type;generic
java.bytecode_operand_stack_frames,bytecode_jvm,1750.0000,301.1500,942.2400,2066.5600,266.9500,479.3200,1224.0800,682.6400,5347.0400,4227.6800,17521.4000,16480.9600,151.9000,951.2000,0.0000,52393.1200,167,bytecode_vm;ir
java.bytecode_verification,bytecode_jvm,302.0000,3.8000,945.6800,1371.0400,19.9500,230.5600,408.3200,82.4400,3712.7600,3599.4000,3447.2000,4353.3200,17.8500,0.0000,0.0000,18494.3200,105,bytecode_vm;type_inference
java.exception_table_bytecode,bytecode_jvm,4153.0000,312.5500,1507.8800,4662.2400,3949.1500,2904.0000,3455.7600,276.0000,6220.1200,5796.0000,102145.4000,56953.6000,134.4000,27.6000,0.1000,192497.8000,3,bytecode_vm;exception_try
java.constant_pool,bytecode_jvm,1595.0000,83.6000,1877.6000,4186.2400,50.3500,1055.1200,1809.0000,279.6800,6352.8800,6118.5600,8494.0000,14190.8800,38.8500,9.6800,0.0000,46141.4400,63,bytecode_vm;constant
java.jvm_gc_allocation,gc_memory_runtime,2821.0000,424.6500,385.4800,2013.4400,875.9000,1512.7200,4451.0400,9290.3200,6832.8400,4868.6400,45861.2000,36480.8800,276.1500,8.5600,0.0000,116102.8200,26,gc;allocation;class
java.gc_reachability_reference_types,gc_memory_runtime,2827.0000,440.8000,412.1600,1978.2400,800.8500,1517.1200,2995.8400,4476.4000,4713.1600,2862.7200,44192.4000,33811.2000,235.9000,39.5200,0.0000,101303.3100,58,gc;reference;class
java.safepoint_deoptimization_osr,jit_vm_optimization,323.0000,1.9000,889.6400,2346.9600,5482.4500,326.4800,9595.5200,6265.2000,16941.7200,6462.1200,49477.4000,17024.2000,87.1500,3.3600,0.0000,115227.1000,104,optimizer;bytecode_vm;thread
java.tiered_jit_compilation,jit_vm_optimization,1496.0000,300.2000,42.3200,741.8400,257.4500,325.6000,909.0400,810.2400,2139.9200,2486.0000,18776.4000,13445.0000,149.8000,951.2000,0.0000,42831.0100,975,optimizer;code_generation;ir
java.escape_analysis_scalar_replacement,jit_vm_optimization,1498.0000,300.2000,50.6000,785.8400,333.4500,309.7600,2352.2400,5605.5600,4190.6000,4172.2800,19440.6000,15417.0800,187.2500,951.3600,0.0000,55594.8200,59,optimizer;allocation;ir
java.object_layout_headers_compressed_oops,gc_memory_runtime,2809.0000,424.6500,377.2000,1965.0400,805.6000,1581.3600,8662.7200,5165.8000,8045.9600,4335.2400,48570.8000,43299.1600,246.4000,15.0400,0.0000,126303.9700,29,layout_alignment;gc;class;pointer
java.jni_boundary,ffi_abi,758.0000,237.5000,239.2000,1162.4800,353.4000,458.4800,12156.8400,4548.3600,3360.9200,1592.6400,69573.0000,24207.0000,223.3000,433.1200,0.2000,119304.4400,383,ffi;abi_calling_convention;gc
java.foreign_function_memory_api,ffi_abi,523.0000,117.8000,99.3600,516.8800,152.0000,351.1200,16911.5600,3799.6000,5688.3600,2555.2800,55268.8000,26464.7200,89.2500,115.7600,0.1000,112653.5900,491,ffi;manual_memory;pointer;layout_alignment
java.native_method_resolution,ffi_abi,496.0000,117.8000,166.5200,580.8000,146.3000,278.0800,9885.3600,1847.3600,3052.5600,1209.6000,46822.2000,16475.2000,72.8000,108.9600,0.1000,81259.6400,5,ffi;dynamic_dispatch;name_resolution
java.compile_time_constants,compiletime_metadata,1329.0000,86.4500,987.1600,2718.3600,32.3000,850.9600,1841.8400,1421.4000,3962.4400,2996.2800,6469.8000,18304.6800,24.8500,228.0800,0.0000,41253.6000,20,compile_time_eval;constant;primitive_integer;primitive_string
java.classfile_lowering,compiletime_metadata,1788.0000,301.1500,917.2400,2074.7600,266.9500,520.0800,1259.0000,714.8400,5331.4000,4287.3600,18160.8000,16585.5200,155.0500,951.2000,0.0000,53313.3500,153,code_generation;bytecode_vm;ir
java.bridge_synthetic_methods,compiletime_metadata,589.0000,96.9000,56.1200,253.1600,8.5500,423.2800,345.8400,1207.9600,3005.6400,1367.5200,6306.2000,4703.0800,37.4500,2258.9600,0.0000,20659.6600,134,generic;code_generation;dynamic_dispatch
java.preview_feature_gating,compiletime_metadata,5060.0000,880.0500,2217.2000,3234.0000,35.1500,975.9200,1316.2000,1075.4800,3182.2800,371.2800,18278.2000,29742.3600,71.5000,116.1200,0.0000,66555.7400,85,attribute_annotation;compile_time_eval
java.value_class_preview,declarations_object_model,3900.0000,570.0000,506.9200,2215.8400,854.0500,1715.1200,9575.8800,4471.2000,8375.6800,5113.0800,95637.6000,49113.9200,258.7500,13.7600,0.0000,182321.8000,75,class;struct;layout_alignment
