feature,family,collector_detection_sources,semanticprogram_axes,required_collector_upgrade
java.default_interface_methods,calls_resolution_dispatch,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,scope.binding;binding.graph;types.structure;conversion.semantics;evaluation.order;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.field_hiding_method_overriding,calls_resolution_dispatch,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,scope.binding;binding.graph;types.structure;conversion.semantics;evaluation.order;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.access_control,bindings_modules,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,scope.binding;binding.graph;nodes.declaration;types.structure;dialect.extension,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.definite_assignment_unassignment,bindings_flow,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,scope.binding;binding.graph;capture.shadowing;data.flow;control.flow,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.effectively_final_capture,bindings_flow,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,scope.binding;binding.graph;capture.shadowing;data.flow;control.flow,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.static_instance_initialization_order,declarations_object_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,nodes.declaration;scope.binding;binding.graph;types.structure;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.lambda_target_typing,calls_resolution_dispatch,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,scope.binding;binding.graph;types.structure;conversion.semantics;evaluation.order;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.method_references,calls_resolution_dispatch,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,scope.binding;binding.graph;types.structure;conversion.semantics;evaluation.order;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.virtual_interface_dispatch,calls_resolution_dispatch,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,scope.binding;binding.graph;types.structure;conversion.semantics;evaluation.order;operations;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.invokedynamic_bootstrap,bytecode_jvm,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,lowering.pipeline;compiletime.semantics;types.structure;control.flow;data.flow;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.method_handles_varhandles,reflection_dynamic,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,runtime.contract;effect.graph;scope.binding;types.structure;operations;abi.ffi,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.switch_expression,control_patterns,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,control.flow;effects.control;evaluation.order;data.flow;types.structure;nodes.expression,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.pattern_instanceof,control_patterns,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,control.flow;effects.control;evaluation.order;data.flow;types.structure;nodes.expression,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.record_patterns,control_patterns,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,control.flow;effects.control;evaluation.order;data.flow;types.structure;nodes.expression,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.pattern_switch_exhaustiveness,control_patterns,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,control.flow;effects.control;evaluation.order;data.flow;types.structure;nodes.expression,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.foreach_desugaring,control_patterns,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,control.flow;effects.control;evaluation.order;data.flow;types.structure;nodes.expression,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.labeled_break_continue,control_patterns,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,control.flow;effects.control;evaluation.order;data.flow;types.structure;nodes.expression,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.left_to_right_evaluation,evaluation_operations,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,evaluation.order;operations;data.flow;nodes.expression;effects.control,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.short_circuit_boolean,evaluation_operations,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,evaluation.order;operations;data.flow;nodes.expression;effects.control,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.checked_unchecked_exceptions,exceptions_resources,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,control.flow;effects.control;evaluation.order;effect.graph;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.try_catch_finally,exceptions_resources,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,control.flow;effects.control;evaluation.order;effect.graph;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.try_with_resources_suppression,exceptions_resources,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,control.flow;effects.control;evaluation.order;effect.graph;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.assert_semantics,control_patterns,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,control.flow;effects.control;evaluation.order;data.flow;types.structure;nodes.expression,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.jpms_modules,bindings_modules,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,scope.binding;binding.graph;nodes.declaration;types.structure;dialect.extension,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.import_static_resolution,bindings_modules,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,scope.binding;binding.graph;nodes.declaration;types.structure;dialect.extension,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.package_namespace_resolution,bindings_modules,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,scope.binding;binding.graph;nodes.declaration;types.structure;dialect.extension,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.reflection_runtime_type,reflection_dynamic,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,runtime.contract;effect.graph;scope.binding;types.structure;operations;abi.ffi,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.class_loading_linking_initialization,jvm_runtime_object_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,runtime.contract;memory.model;ownership.lifetime;types.structure;lowering.pipeline,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.object_identity_hash_monitor,jvm_runtime_object_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,runtime.contract;memory.model;ownership.lifetime;types.structure;lowering.pipeline,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.string_interning,jvm_runtime_object_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,runtime.contract;memory.model;ownership.lifetime;types.structure;lowering.pipeline,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.monitor_synchronized,concurrency_memory_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,concurrency.model;synchronization;memory.ordering;runtime.contract;effect.graph;data.flow,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.volatile_semantics,concurrency_memory_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,concurrency.model;synchronization;memory.ordering;runtime.contract;effect.graph;data.flow,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.final_field_memory_semantics,concurrency_memory_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,concurrency.model;synchronization;memory.ordering;runtime.contract;effect.graph;data.flow,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.happens_before_jmm,concurrency_memory_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,concurrency.model;synchronization;memory.ordering;runtime.contract;effect.graph;data.flow,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.atomic_varhandle_ordering,concurrency_memory_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,concurrency.model;synchronization;memory.ordering;runtime.contract;effect.graph;data.flow,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.thread_interruption,concurrency_memory_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,concurrency.model;synchronization;memory.ordering;runtime.contract;effect.graph;data.flow,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.virtual_threads,concurrency_memory_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,concurrency.model;synchronization;memory.ordering;runtime.contract;effect.graph;data.flow,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.structured_concurrency,concurrency_memory_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,concurrency.model;synchronization;memory.ordering;runtime.contract;effect.graph;data.flow,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.classfile_descriptors_signatures,bytecode_jvm,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,lowering.pipeline;compiletime.semantics;types.structure;control.flow;data.flow;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.bytecode_operand_stack_frames,bytecode_jvm,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,lowering.pipeline;compiletime.semantics;types.structure;control.flow;data.flow;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.bytecode_verification,bytecode_jvm,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,lowering.pipeline;compiletime.semantics;types.structure;control.flow;data.flow;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.exception_table_bytecode,bytecode_jvm,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,lowering.pipeline;compiletime.semantics;types.structure;control.flow;data.flow;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.constant_pool,bytecode_jvm,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,lowering.pipeline;compiletime.semantics;types.structure;control.flow;data.flow;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.jvm_gc_allocation,gc_memory_runtime,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,memory.model;ownership.lifetime;runtime.contract;effect.graph;abi.ffi,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.gc_reachability_reference_types,gc_memory_runtime,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,memory.model;ownership.lifetime;runtime.contract;effect.graph;abi.ffi,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.safepoint_deoptimization_osr,jit_vm_optimization,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,lowering.pipeline;compiletime.semantics;runtime.contract;data.flow;control.flow;memory.model,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.tiered_jit_compilation,jit_vm_optimization,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,lowering.pipeline;compiletime.semantics;runtime.contract;data.flow;control.flow;memory.model,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.escape_analysis_scalar_replacement,jit_vm_optimization,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,lowering.pipeline;compiletime.semantics;runtime.contract;data.flow;control.flow;memory.model,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.object_layout_headers_compressed_oops,gc_memory_runtime,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,memory.model;ownership.lifetime;runtime.contract;effect.graph;abi.ffi,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.jni_boundary,ffi_abi,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,abi.ffi;memory.model;ownership.lifetime;runtime.contract;conversion.semantics,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.foreign_function_memory_api,ffi_abi,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,abi.ffi;memory.model;ownership.lifetime;runtime.contract;conversion.semantics,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.native_method_resolution,ffi_abi,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,abi.ffi;memory.model;ownership.lifetime;runtime.contract;conversion.semantics,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.compile_time_constants,compiletime_metadata,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,compiletime.semantics;lowering.pipeline;dialect.extension;types.structure;nodes.declaration,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.classfile_lowering,compiletime_metadata,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,compiletime.semantics;lowering.pipeline;dialect.extension;types.structure;nodes.declaration,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.bridge_synthetic_methods,compiletime_metadata,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,compiletime.semantics;lowering.pipeline;dialect.extension;types.structure;nodes.declaration,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.preview_feature_gating,compiletime_metadata,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,compiletime.semantics;lowering.pipeline;dialect.extension;types.structure;nodes.declaration,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
java.value_class_preview,declarations_object_model,javac source paths; OpenJDK behavior tests; Java base/HotSpot structural paths,nodes.declaration;scope.binding;binding.graph;types.structure;runtime.contract,Add Java/OpenJDK ontology rule and preserve provenance layer; do not infer semantic equivalence from raw keyword occurrence.
