feature,family,abi.ffi,binding.graph,capture.shadowing,compiletime.semantics,concurrency.model,control.flow,conversion.semantics,data.flow,dialect.extension,effect.graph,effects.control,evaluation.order,lowering.pipeline,memory.model,memory.ordering,nodes.declaration,nodes.expression,operations,ownership.lifetime,purity,runtime.contract,scope.binding,synchronization,types.origin,types.structure
java.access_control,bindings_modules,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
java.definite_assignment_unassignment,bindings_flow,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
java.effectively_final_capture,bindings_flow,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
java.static_instance_initialization_order,declarations_object_model,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
java.lambda_target_typing,calls_resolution_dispatch,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
java.method_references,calls_resolution_dispatch,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
java.virtual_interface_dispatch,calls_resolution_dispatch,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
java.invokedynamic_bootstrap,bytecode_jvm,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
java.method_handles_varhandles,reflection_dynamic,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
java.switch_expression,control_patterns,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
java.pattern_instanceof,control_patterns,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
java.record_patterns,control_patterns,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
java.pattern_switch_exhaustiveness,control_patterns,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
java.foreach_desugaring,control_patterns,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
java.labeled_break_continue,control_patterns,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
java.left_to_right_evaluation,evaluation_operations,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
java.short_circuit_boolean,evaluation_operations,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
java.checked_unchecked_exceptions,exceptions_resources,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
java.try_catch_finally,exceptions_resources,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
java.try_with_resources_suppression,exceptions_resources,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
java.assert_semantics,control_patterns,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
java.jpms_modules,bindings_modules,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
java.import_static_resolution,bindings_modules,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
java.package_namespace_resolution,bindings_modules,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
java.reflection_runtime_type,reflection_dynamic,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
java.class_loading_linking_initialization,jvm_runtime_object_model,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
java.object_identity_hash_monitor,jvm_runtime_object_model,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
java.string_interning,jvm_runtime_object_model,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
java.monitor_synchronized,concurrency_memory_model,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
java.volatile_semantics,concurrency_memory_model,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
java.final_field_memory_semantics,concurrency_memory_model,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
java.happens_before_jmm,concurrency_memory_model,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
java.atomic_varhandle_ordering,concurrency_memory_model,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
java.thread_interruption,concurrency_memory_model,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
java.virtual_threads,concurrency_memory_model,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
java.structured_concurrency,concurrency_memory_model,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
java.classfile_descriptors_signatures,bytecode_jvm,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
java.bytecode_operand_stack_frames,bytecode_jvm,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
java.bytecode_verification,bytecode_jvm,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
java.exception_table_bytecode,bytecode_jvm,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
java.constant_pool,bytecode_jvm,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
java.jvm_gc_allocation,gc_memory_runtime,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
java.gc_reachability_reference_types,gc_memory_runtime,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
java.safepoint_deoptimization_osr,jit_vm_optimization,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
java.tiered_jit_compilation,jit_vm_optimization,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
java.escape_analysis_scalar_replacement,jit_vm_optimization,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
java.object_layout_headers_compressed_oops,gc_memory_runtime,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
java.jni_boundary,ffi_abi,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
java.foreign_function_memory_api,ffi_abi,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
java.native_method_resolution,ffi_abi,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
java.compile_time_constants,compiletime_metadata,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
java.classfile_lowering,compiletime_metadata,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
java.bridge_synthetic_methods,compiletime_metadata,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
java.preview_feature_gating,compiletime_metadata,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
java.value_class_preview,declarations_object_model,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
