feature,family,normalized_importance,coverage_score,base_gap,path_evidence_files,behavior_test_evidence_files,related_generic_features
java.try_catch_finally,exceptions_resources,0.769244,0.200000,0.615396,17,15,exception_try;throw_raise;defer_cleanup
java.try_with_resources_suppression,exceptions_resources,0.781704,0.050000,0.742619,49,48,exception_try;defer_cleanup;allocation
java.assert_semantics,control_patterns,0.520445,0.200000,0.416356,3,1,if;throw_raise;primitive_bool
java.jpms_modules,bindings_modules,0.911013,0.060000,0.856352,442,372,module;import;visibility
java.import_static_resolution,bindings_modules,0.694260,0.180000,0.569293,66,66,import;name_resolution;member_access
java.package_namespace_resolution,bindings_modules,0.772357,0.200000,0.617886,347,69,module;name_resolution;scope
java.reflection_runtime_type,reflection_dynamic,0.765600,0.050000,0.727320,302,253,reflection;class;dynamic_dispatch
java.class_loading_linking_initialization,jvm_runtime_object_model,0.846853,0.040000,0.812979,534,453,bytecode_vm;class;module
java.object_identity_hash_monitor,jvm_runtime_object_model,0.706978,0.040000,0.678699,61,49,class;lock_mutex;memory_model
java.string_interning,jvm_runtime_object_model,0.717703,0.080000,0.660286,4789,523,primitive_string;gc
java.monitor_synchronized,concurrency_memory_model,0.723944,0.060000,0.680507,121,111,lock_mutex;thread;memory_model
java.volatile_semantics,concurrency_memory_model,0.706489,0.050000,0.671164,74,60,atomic;memory_model;thread
java.final_field_memory_semantics,concurrency_memory_model,0.744432,0.040000,0.714655,22,11,memory_model;class;variable
java.happens_before_jmm,concurrency_memory_model,0.693881,0.030000,0.673065,13,13,memory_model;atomic;thread;lock_mutex
java.atomic_varhandle_ordering,concurrency_memory_model,0.725792,0.040000,0.696761,222,203,atomic;memory_model;thread
java.thread_interruption,concurrency_memory_model,0.806918,0.060000,0.758502,77,67,thread;task_async
java.virtual_threads,concurrency_memory_model,0.814770,0.030000,0.790327,120,47,thread;task_async
java.structured_concurrency,concurrency_memory_model,0.764241,0.020000,0.748956,6,4,thread;task_async
java.classfile_descriptors_signatures,bytecode_jvm,0.800504,0.040000,0.768484,973,491,bytecode_vm;function_type;generic
java.bytecode_operand_stack_frames,bytecode_jvm,0.776223,0.030000,0.752936,167,75,bytecode_vm;ir
java.bytecode_verification,bytecode_jvm,0.672643,0.020000,0.659190,105,74,bytecode_vm;type_inference
java.exception_table_bytecode,bytecode_jvm,0.759488,0.030000,0.736703,3,1,bytecode_vm;exception_try
java.constant_pool,bytecode_jvm,0.760272,0.050000,0.722259,63,20,bytecode_vm;constant
java.jvm_gc_allocation,gc_memory_runtime,0.750172,0.050000,0.712663,26,20,gc;allocation;class
java.gc_reachability_reference_types,gc_memory_runtime,0.736248,0.040000,0.706798,58,38,gc;reference;class
java.safepoint_deoptimization_osr,jit_vm_optimization,0.773865,0.020000,0.758387,104,93,optimizer;bytecode_vm;thread
java.tiered_jit_compilation,jit_vm_optimization,0.733631,0.020000,0.718959,975,748,optimizer;code_generation;ir
java.escape_analysis_scalar_replacement,jit_vm_optimization,0.733871,0.020000,0.719194,59,59,optimizer;allocation;ir
java.object_layout_headers_compressed_oops,gc_memory_runtime,0.718091,0.030000,0.696548,29,22,layout_alignment;gc;class;pointer
java.jni_boundary,ffi_abi,0.795832,0.080000,0.732165,383,327,ffi;abi_calling_convention;gc
java.foreign_function_memory_api,ffi_abi,0.763047,0.040000,0.732525,491,300,ffi;manual_memory;pointer;layout_alignment
java.native_method_resolution,ffi_abi,0.671177,0.040000,0.644330,5,3,ffi;dynamic_dispatch;name_resolution
java.compile_time_constants,compiletime_metadata,0.671638,0.250000,0.503728,20,15,compile_time_eval;constant;primitive_integer;primitive_string
java.classfile_lowering,compiletime_metadata,0.734675,0.050000,0.697941,153,112,code_generation;bytecode_vm;ir
java.bridge_synthetic_methods,compiletime_metadata,0.672978,0.040000,0.646058,134,103,generic;code_generation;dynamic_dispatch
java.preview_feature_gating,compiletime_metadata,0.731266,0.030000,0.709328,85,63,attribute_annotation;compile_time_eval
java.value_class_preview,declarations_object_model,0.811479,0.010000,0.803365,75,72,class;struct;layout_alignment
