feature,origin,family,bindings_flow,bindings_modules,bytecode_jvm,calls_resolution_dispatch,compiletime_metadata,concurrency_memory_model,control_patterns,declarations_object_model,evaluation_operations,exceptions_resources,ffi_abi,gc_memory_runtime,jit_vm_optimization,jvm_runtime_object_model,reflection_dynamic,types_conversions_generics
task_async,generic,concurrency_memory_model,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
thread,generic,concurrency_memory_model,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
throw_raise,generic,exceptions_resources,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
time,generic,reflection_dynamic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tuple,generic,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tuple_type,generic,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
type_inference,generic,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
unary_op,generic,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
union_sum,generic,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
unsafe,generic,gc_memory_runtime,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
variable,generic,bindings_flow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
visibility,generic,declarations_object_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
while,generic,control_patterns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
yield,generic,control_patterns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
java.binary_numeric_promotion,java_specific,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java.primitive_widening_narrowing,java_specific,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java.boxing_unboxing,java_specific,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java.method_invocation_conversion,java_specific,calls_resolution_dispatch,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
java.overload_resolution,java_specific,calls_resolution_dispatch,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
java.generic_erasure,java_specific,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java.wildcard_extends_super,java_specific,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java.capture_conversion,java_specific,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java.type_inference_constraints,java_specific,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java.raw_types,java_specific,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java.intersection_types,java_specific,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java.var_local_inference,java_specific,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java.array_covariance_store_check,java_specific,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java.null_reference_semantics,java_specific,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java.unsigned_absence_signed_wrap,java_specific,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java.ieee754_always_strict,java_specific,types_conversions_generics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java.class_interface_inheritance,java_specific,declarations_object_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
java.records,java_specific,declarations_object_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
java.sealed_classes_interfaces,java_specific,declarations_object_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
java.enums_semantics,java_specific,declarations_object_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
java.annotation_semantics,java_specific,declarations_object_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
java.annotation_processing,java_specific,compiletime_metadata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
java.inner_local_anonymous_classes,java_specific,declarations_object_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
java.default_interface_methods,java_specific,calls_resolution_dispatch,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
java.field_hiding_method_overriding,java_specific,calls_resolution_dispatch,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
java.access_control,java_specific,bindings_modules,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java.definite_assignment_unassignment,java_specific,bindings_flow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java.effectively_final_capture,java_specific,bindings_flow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java.static_instance_initialization_order,java_specific,declarations_object_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
java.lambda_target_typing,java_specific,calls_resolution_dispatch,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
java.method_references,java_specific,calls_resolution_dispatch,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
java.virtual_interface_dispatch,java_specific,calls_resolution_dispatch,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
java.invokedynamic_bootstrap,java_specific,bytecode_jvm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
java.method_handles_varhandles,java_specific,reflection_dynamic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
java.switch_expression,java_specific,control_patterns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
java.pattern_instanceof,java_specific,control_patterns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
java.record_patterns,java_specific,control_patterns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
java.pattern_switch_exhaustiveness,java_specific,control_patterns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
java.foreach_desugaring,java_specific,control_patterns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
java.labeled_break_continue,java_specific,control_patterns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
java.left_to_right_evaluation,java_specific,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
java.short_circuit_boolean,java_specific,evaluation_operations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
java.checked_unchecked_exceptions,java_specific,exceptions_resources,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
java.try_catch_finally,java_specific,exceptions_resources,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
java.try_with_resources_suppression,java_specific,exceptions_resources,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
java.assert_semantics,java_specific,control_patterns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
java.jpms_modules,java_specific,bindings_modules,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java.import_static_resolution,java_specific,bindings_modules,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java.package_namespace_resolution,java_specific,bindings_modules,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java.reflection_runtime_type,java_specific,reflection_dynamic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
java.class_loading_linking_initialization,java_specific,jvm_runtime_object_model,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
java.object_identity_hash_monitor,java_specific,jvm_runtime_object_model,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
java.string_interning,java_specific,jvm_runtime_object_model,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
java.monitor_synchronized,java_specific,concurrency_memory_model,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
java.volatile_semantics,java_specific,concurrency_memory_model,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
java.final_field_memory_semantics,java_specific,concurrency_memory_model,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
java.happens_before_jmm,java_specific,concurrency_memory_model,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
java.atomic_varhandle_ordering,java_specific,concurrency_memory_model,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
java.thread_interruption,java_specific,concurrency_memory_model,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
java.virtual_threads,java_specific,concurrency_memory_model,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
java.structured_concurrency,java_specific,concurrency_memory_model,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
java.classfile_descriptors_signatures,java_specific,bytecode_jvm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
java.bytecode_operand_stack_frames,java_specific,bytecode_jvm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
java.bytecode_verification,java_specific,bytecode_jvm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
java.exception_table_bytecode,java_specific,bytecode_jvm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
java.constant_pool,java_specific,bytecode_jvm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
java.jvm_gc_allocation,java_specific,gc_memory_runtime,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
java.gc_reachability_reference_types,java_specific,gc_memory_runtime,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
java.safepoint_deoptimization_osr,java_specific,jit_vm_optimization,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
java.tiered_jit_compilation,java_specific,jit_vm_optimization,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
java.escape_analysis_scalar_replacement,java_specific,jit_vm_optimization,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
java.object_layout_headers_compressed_oops,java_specific,gc_memory_runtime,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
java.jni_boundary,java_specific,ffi_abi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
java.foreign_function_memory_api,java_specific,ffi_abi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
java.native_method_resolution,java_specific,ffi_abi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
java.compile_time_constants,java_specific,compiletime_metadata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
java.classfile_lowering,java_specific,compiletime_metadata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
java.bridge_synthetic_methods,java_specific,compiletime_metadata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
java.preview_feature_gating,java_specific,compiletime_metadata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
java.value_class_preview,java_specific,declarations_object_model,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
