feature,family,gap_score,coverage,why_javac_is_authoritative
java.var_local_inference,types_conversions_generics,0.618290,0.1200,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.package_namespace_resolution,bindings_modules,0.617886,0.2000,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.capture_conversion,types_conversions_generics,0.616290,0.1000,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.lambda_target_typing,calls_resolution_dispatch,0.615967,0.1600,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.try_catch_finally,exceptions_resources,0.615396,0.2000,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.access_control,bindings_modules,0.614036,0.1800,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.virtual_interface_dispatch,calls_resolution_dispatch,0.606446,0.1200,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.overload_resolution,calls_resolution_dispatch,0.595700,0.1000,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.pattern_switch_exhaustiveness,control_patterns,0.577355,0.0500,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.type_inference_constraints,types_conversions_generics,0.570675,0.0800,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.pattern_instanceof,control_patterns,0.570596,0.0800,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.import_static_resolution,bindings_modules,0.569293,0.1800,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.ieee754_always_strict,types_conversions_generics,0.569179,0.2200,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.boxing_unboxing,types_conversions_generics,0.558637,0.1800,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.null_reference_semantics,types_conversions_generics,0.534581,0.3000,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.primitive_widening_narrowing,types_conversions_generics,0.529644,0.2500,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.field_hiding_method_overriding,calls_resolution_dispatch,0.527519,0.1200,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.intersection_types,types_conversions_generics,0.520261,0.1200,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.unsigned_absence_signed_wrap,types_conversions_generics,0.512074,0.1800,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.binary_numeric_promotion,types_conversions_generics,0.505363,0.2200,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.compile_time_constants,compiletime_metadata,0.503728,0.2500,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.method_invocation_conversion,calls_resolution_dispatch,0.465682,0.1500,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.switch_expression,control_patterns,0.447304,0.1800,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.method_references,calls_resolution_dispatch,0.428824,0.1000,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.assert_semantics,control_patterns,0.416356,0.2000,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.foreach_desugaring,control_patterns,0.332795,0.4500,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.labeled_break_continue,control_patterns,0.216748,0.4500,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.left_to_right_evaluation,evaluation_operations,0.172791,0.6200,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
java.short_circuit_boolean,evaluation_operations,0.126643,0.7000,javac parser/tree/Attr/Resolve/Infer/Flow/TransTypes/Lower/Gen encode Java source semantics and desugaring
