language,from_node,relation,to_node,required,multiple,named,evidence
r,binary_operator,FIELD:lhs,next,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,null,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,parenthesized_expression,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,repeat_statement,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,string,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,subset,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,subset2,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,true,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,unary_operator,True,False,True,node-types.json
r,binary_operator,FIELD:lhs,while_statement,True,False,True,node-types.json
r,binary_operator,FIELD:operator,!=,True,False,False,node-types.json
r,binary_operator,FIELD:operator,&,True,False,False,node-types.json
r,binary_operator,FIELD:operator,&&,True,False,False,node-types.json
r,binary_operator,FIELD:operator,*,True,False,False,node-types.json
r,binary_operator,FIELD:operator,**,True,False,False,node-types.json
r,binary_operator,FIELD:operator,+,True,False,False,node-types.json
r,binary_operator,FIELD:operator,-,True,False,False,node-types.json
r,binary_operator,FIELD:operator,->,True,False,False,node-types.json
r,binary_operator,FIELD:operator,->>,True,False,False,node-types.json
r,binary_operator,FIELD:operator,/,True,False,False,node-types.json
r,binary_operator,FIELD:operator,:,True,False,False,node-types.json
r,binary_operator,FIELD:operator,:=,True,False,False,node-types.json
r,binary_operator,FIELD:operator,<,True,False,False,node-types.json
r,binary_operator,FIELD:operator,<-,True,False,False,node-types.json
r,binary_operator,FIELD:operator,<<-,True,False,False,node-types.json
r,binary_operator,FIELD:operator,<=,True,False,False,node-types.json
r,binary_operator,FIELD:operator,=,True,False,False,node-types.json
r,binary_operator,FIELD:operator,==,True,False,False,node-types.json
r,binary_operator,FIELD:operator,>,True,False,False,node-types.json
r,binary_operator,FIELD:operator,>=,True,False,False,node-types.json
r,binary_operator,FIELD:operator,?,True,False,False,node-types.json
r,binary_operator,FIELD:operator,^,True,False,False,node-types.json
r,binary_operator,FIELD:operator,special,True,False,False,node-types.json
r,binary_operator,FIELD:operator,|,True,False,False,node-types.json
r,binary_operator,FIELD:operator,|>,True,False,False,node-types.json
r,binary_operator,FIELD:operator,||,True,False,False,node-types.json
r,binary_operator,FIELD:operator,~,True,False,False,node-types.json
r,binary_operator,FIELD:rhs,binary_operator,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,braced_expression,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,break,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,call,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,complex,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,dot_dot_i,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,dots,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,extract_operator,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,false,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,float,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,for_statement,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,function_definition,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,identifier,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,if_statement,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,inf,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,integer,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,na,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,namespace_operator,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,nan,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,next,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,null,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,parenthesized_expression,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,repeat_statement,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,string,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,subset,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,subset2,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,true,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,unary_operator,True,False,True,node-types.json
r,binary_operator,FIELD:rhs,while_statement,True,False,True,node-types.json
r,braced_expression,FIELD:body,binary_operator,False,True,True,node-types.json
r,braced_expression,FIELD:body,braced_expression,False,True,True,node-types.json
r,braced_expression,FIELD:body,break,False,True,True,node-types.json
r,braced_expression,FIELD:body,call,False,True,True,node-types.json
r,braced_expression,FIELD:body,complex,False,True,True,node-types.json
r,braced_expression,FIELD:body,dot_dot_i,False,True,True,node-types.json
r,braced_expression,FIELD:body,dots,False,True,True,node-types.json
r,braced_expression,FIELD:body,extract_operator,False,True,True,node-types.json
r,braced_expression,FIELD:body,false,False,True,True,node-types.json
r,braced_expression,FIELD:body,float,False,True,True,node-types.json
r,braced_expression,FIELD:body,for_statement,False,True,True,node-types.json
r,braced_expression,FIELD:body,function_definition,False,True,True,node-types.json
r,braced_expression,FIELD:body,identifier,False,True,True,node-types.json
r,braced_expression,FIELD:body,if_statement,False,True,True,node-types.json
r,braced_expression,FIELD:body,inf,False,True,True,node-types.json
r,braced_expression,FIELD:body,integer,False,True,True,node-types.json
r,braced_expression,FIELD:body,na,False,True,True,node-types.json
r,braced_expression,FIELD:body,namespace_operator,False,True,True,node-types.json
r,braced_expression,FIELD:body,nan,False,True,True,node-types.json
r,braced_expression,FIELD:body,next,False,True,True,node-types.json
r,braced_expression,FIELD:body,null,False,True,True,node-types.json
r,braced_expression,FIELD:body,parenthesized_expression,False,True,True,node-types.json
r,braced_expression,FIELD:body,repeat_statement,False,True,True,node-types.json
r,braced_expression,FIELD:body,string,False,True,True,node-types.json
r,braced_expression,FIELD:body,subset,False,True,True,node-types.json
r,braced_expression,FIELD:body,subset2,False,True,True,node-types.json
r,braced_expression,FIELD:body,true,False,True,True,node-types.json
r,braced_expression,FIELD:body,unary_operator,False,True,True,node-types.json
r,braced_expression,FIELD:body,while_statement,False,True,True,node-types.json
r,braced_expression,FIELD:close,},True,False,False,node-types.json
r,braced_expression,FIELD:open,{,True,False,False,node-types.json
r,call,FIELD:arguments,arguments,True,False,True,node-types.json
r,call,FIELD:function,binary_operator,True,False,True,node-types.json
r,call,FIELD:function,braced_expression,True,False,True,node-types.json
r,call,FIELD:function,break,True,False,True,node-types.json
r,call,FIELD:function,call,True,False,True,node-types.json
r,call,FIELD:function,complex,True,False,True,node-types.json
r,call,FIELD:function,dot_dot_i,True,False,True,node-types.json
r,call,FIELD:function,dots,True,False,True,node-types.json
r,call,FIELD:function,extract_operator,True,False,True,node-types.json
r,call,FIELD:function,false,True,False,True,node-types.json
r,call,FIELD:function,float,True,False,True,node-types.json
r,call,FIELD:function,for_statement,True,False,True,node-types.json
r,call,FIELD:function,function_definition,True,False,True,node-types.json
r,call,FIELD:function,identifier,True,False,True,node-types.json
r,call,FIELD:function,if_statement,True,False,True,node-types.json
r,call,FIELD:function,inf,True,False,True,node-types.json
r,call,FIELD:function,integer,True,False,True,node-types.json
r,call,FIELD:function,na,True,False,True,node-types.json
r,call,FIELD:function,namespace_operator,True,False,True,node-types.json
r,call,FIELD:function,nan,True,False,True,node-types.json
r,call,FIELD:function,next,True,False,True,node-types.json
r,call,FIELD:function,null,True,False,True,node-types.json
r,call,FIELD:function,parenthesized_expression,True,False,True,node-types.json
r,call,FIELD:function,repeat_statement,True,False,True,node-types.json
r,call,FIELD:function,string,True,False,True,node-types.json
r,call,FIELD:function,subset,True,False,True,node-types.json
r,call,FIELD:function,subset2,True,False,True,node-types.json
r,call,FIELD:function,true,True,False,True,node-types.json
r,call,FIELD:function,unary_operator,True,False,True,node-types.json
r,call,FIELD:function,while_statement,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,binary_operator,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,braced_expression,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,break,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,call,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,complex,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,dot_dot_i,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,dots,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,extract_operator,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,false,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,float,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,for_statement,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,function_definition,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,identifier,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,if_statement,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,inf,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,integer,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,na,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,namespace_operator,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,nan,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,next,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,null,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,parenthesized_expression,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,repeat_statement,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,string,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,subset,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,subset2,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,true,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,unary_operator,True,False,True,node-types.json
r,extract_operator,FIELD:lhs,while_statement,True,False,True,node-types.json
r,extract_operator,FIELD:operator,$,True,False,False,node-types.json
r,extract_operator,FIELD:operator,@,True,False,False,node-types.json
r,extract_operator,FIELD:rhs,dot_dot_i,False,False,True,node-types.json
r,extract_operator,FIELD:rhs,dots,False,False,True,node-types.json
r,extract_operator,FIELD:rhs,identifier,False,False,True,node-types.json
r,extract_operator,FIELD:rhs,string,False,False,True,node-types.json
r,for_statement,FIELD:body,binary_operator,True,False,True,node-types.json
r,for_statement,FIELD:body,braced_expression,True,False,True,node-types.json
r,for_statement,FIELD:body,break,True,False,True,node-types.json
r,for_statement,FIELD:body,call,True,False,True,node-types.json
r,for_statement,FIELD:body,complex,True,False,True,node-types.json
r,for_statement,FIELD:body,dot_dot_i,True,False,True,node-types.json
r,for_statement,FIELD:body,dots,True,False,True,node-types.json
r,for_statement,FIELD:body,extract_operator,True,False,True,node-types.json
r,for_statement,FIELD:body,false,True,False,True,node-types.json
r,for_statement,FIELD:body,float,True,False,True,node-types.json
r,for_statement,FIELD:body,for_statement,True,False,True,node-types.json
r,for_statement,FIELD:body,function_definition,True,False,True,node-types.json
r,for_statement,FIELD:body,identifier,True,False,True,node-types.json
r,for_statement,FIELD:body,if_statement,True,False,True,node-types.json
r,for_statement,FIELD:body,inf,True,False,True,node-types.json
r,for_statement,FIELD:body,integer,True,False,True,node-types.json
r,for_statement,FIELD:body,na,True,False,True,node-types.json
r,for_statement,FIELD:body,namespace_operator,True,False,True,node-types.json
r,for_statement,FIELD:body,nan,True,False,True,node-types.json
r,for_statement,FIELD:body,next,True,False,True,node-types.json
r,for_statement,FIELD:body,null,True,False,True,node-types.json
r,for_statement,FIELD:body,parenthesized_expression,True,False,True,node-types.json
r,for_statement,FIELD:body,repeat_statement,True,False,True,node-types.json
r,for_statement,FIELD:body,string,True,False,True,node-types.json
r,for_statement,FIELD:body,subset,True,False,True,node-types.json
r,for_statement,FIELD:body,subset2,True,False,True,node-types.json
r,for_statement,FIELD:body,true,True,False,True,node-types.json
r,for_statement,FIELD:body,unary_operator,True,False,True,node-types.json
r,for_statement,FIELD:body,while_statement,True,False,True,node-types.json
r,for_statement,FIELD:close,),True,False,False,node-types.json
r,for_statement,FIELD:open,(,True,False,False,node-types.json
r,for_statement,FIELD:sequence,binary_operator,True,False,True,node-types.json
r,for_statement,FIELD:sequence,braced_expression,True,False,True,node-types.json
r,for_statement,FIELD:sequence,break,True,False,True,node-types.json
r,for_statement,FIELD:sequence,call,True,False,True,node-types.json
r,for_statement,FIELD:sequence,complex,True,False,True,node-types.json
r,for_statement,FIELD:sequence,dot_dot_i,True,False,True,node-types.json
r,for_statement,FIELD:sequence,dots,True,False,True,node-types.json
r,for_statement,FIELD:sequence,extract_operator,True,False,True,node-types.json
r,for_statement,FIELD:sequence,false,True,False,True,node-types.json
r,for_statement,FIELD:sequence,float,True,False,True,node-types.json
r,for_statement,FIELD:sequence,for_statement,True,False,True,node-types.json
r,for_statement,FIELD:sequence,function_definition,True,False,True,node-types.json
r,for_statement,FIELD:sequence,identifier,True,False,True,node-types.json
r,for_statement,FIELD:sequence,if_statement,True,False,True,node-types.json
r,for_statement,FIELD:sequence,inf,True,False,True,node-types.json
r,for_statement,FIELD:sequence,integer,True,False,True,node-types.json
r,for_statement,FIELD:sequence,na,True,False,True,node-types.json
r,for_statement,FIELD:sequence,namespace_operator,True,False,True,node-types.json
r,for_statement,FIELD:sequence,nan,True,False,True,node-types.json
r,for_statement,FIELD:sequence,next,True,False,True,node-types.json
r,for_statement,FIELD:sequence,null,True,False,True,node-types.json
r,for_statement,FIELD:sequence,parenthesized_expression,True,False,True,node-types.json
r,for_statement,FIELD:sequence,repeat_statement,True,False,True,node-types.json
r,for_statement,FIELD:sequence,string,True,False,True,node-types.json
r,for_statement,FIELD:sequence,subset,True,False,True,node-types.json
r,for_statement,FIELD:sequence,subset2,True,False,True,node-types.json
r,for_statement,FIELD:sequence,true,True,False,True,node-types.json
r,for_statement,FIELD:sequence,unary_operator,True,False,True,node-types.json
r,for_statement,FIELD:sequence,while_statement,True,False,True,node-types.json
r,for_statement,FIELD:variable,dot_dot_i,True,False,True,node-types.json
r,for_statement,FIELD:variable,dots,True,False,True,node-types.json
r,for_statement,FIELD:variable,identifier,True,False,True,node-types.json
r,function_definition,FIELD:body,binary_operator,True,False,True,node-types.json
r,function_definition,FIELD:body,braced_expression,True,False,True,node-types.json
r,function_definition,FIELD:body,break,True,False,True,node-types.json
r,function_definition,FIELD:body,call,True,False,True,node-types.json
r,function_definition,FIELD:body,complex,True,False,True,node-types.json
r,function_definition,FIELD:body,dot_dot_i,True,False,True,node-types.json
r,function_definition,FIELD:body,dots,True,False,True,node-types.json
r,function_definition,FIELD:body,extract_operator,True,False,True,node-types.json
r,function_definition,FIELD:body,false,True,False,True,node-types.json
r,function_definition,FIELD:body,float,True,False,True,node-types.json
r,function_definition,FIELD:body,for_statement,True,False,True,node-types.json
r,function_definition,FIELD:body,function_definition,True,False,True,node-types.json
r,function_definition,FIELD:body,identifier,True,False,True,node-types.json
r,function_definition,FIELD:body,if_statement,True,False,True,node-types.json
r,function_definition,FIELD:body,inf,True,False,True,node-types.json
r,function_definition,FIELD:body,integer,True,False,True,node-types.json
r,function_definition,FIELD:body,na,True,False,True,node-types.json
r,function_definition,FIELD:body,namespace_operator,True,False,True,node-types.json
r,function_definition,FIELD:body,nan,True,False,True,node-types.json
r,function_definition,FIELD:body,next,True,False,True,node-types.json
r,function_definition,FIELD:body,null,True,False,True,node-types.json
r,function_definition,FIELD:body,parenthesized_expression,True,False,True,node-types.json
r,function_definition,FIELD:body,repeat_statement,True,False,True,node-types.json
r,function_definition,FIELD:body,string,True,False,True,node-types.json
r,function_definition,FIELD:body,subset,True,False,True,node-types.json
r,function_definition,FIELD:body,subset2,True,False,True,node-types.json
r,function_definition,FIELD:body,true,True,False,True,node-types.json
r,function_definition,FIELD:body,unary_operator,True,False,True,node-types.json
r,function_definition,FIELD:body,while_statement,True,False,True,node-types.json
r,function_definition,FIELD:name,\,True,False,False,node-types.json
r,function_definition,FIELD:name,function,True,False,False,node-types.json
r,function_definition,FIELD:parameters,parameters,True,False,True,node-types.json
r,if_statement,FIELD:alternative,binary_operator,False,False,True,node-types.json
r,if_statement,FIELD:alternative,braced_expression,False,False,True,node-types.json
r,if_statement,FIELD:alternative,break,False,False,True,node-types.json
r,if_statement,FIELD:alternative,call,False,False,True,node-types.json
r,if_statement,FIELD:alternative,complex,False,False,True,node-types.json
r,if_statement,FIELD:alternative,dot_dot_i,False,False,True,node-types.json
r,if_statement,FIELD:alternative,dots,False,False,True,node-types.json
r,if_statement,FIELD:alternative,extract_operator,False,False,True,node-types.json
r,if_statement,FIELD:alternative,false,False,False,True,node-types.json
r,if_statement,FIELD:alternative,float,False,False,True,node-types.json
r,if_statement,FIELD:alternative,for_statement,False,False,True,node-types.json
r,if_statement,FIELD:alternative,function_definition,False,False,True,node-types.json
r,if_statement,FIELD:alternative,identifier,False,False,True,node-types.json
r,if_statement,FIELD:alternative,if_statement,False,False,True,node-types.json
r,if_statement,FIELD:alternative,inf,False,False,True,node-types.json
r,if_statement,FIELD:alternative,integer,False,False,True,node-types.json
r,if_statement,FIELD:alternative,na,False,False,True,node-types.json
r,if_statement,FIELD:alternative,namespace_operator,False,False,True,node-types.json
r,if_statement,FIELD:alternative,nan,False,False,True,node-types.json
r,if_statement,FIELD:alternative,next,False,False,True,node-types.json
r,if_statement,FIELD:alternative,null,False,False,True,node-types.json
r,if_statement,FIELD:alternative,parenthesized_expression,False,False,True,node-types.json
r,if_statement,FIELD:alternative,repeat_statement,False,False,True,node-types.json
r,if_statement,FIELD:alternative,string,False,False,True,node-types.json
r,if_statement,FIELD:alternative,subset,False,False,True,node-types.json
r,if_statement,FIELD:alternative,subset2,False,False,True,node-types.json
r,if_statement,FIELD:alternative,true,False,False,True,node-types.json
r,if_statement,FIELD:alternative,unary_operator,False,False,True,node-types.json
r,if_statement,FIELD:alternative,while_statement,False,False,True,node-types.json
r,if_statement,FIELD:close,),True,False,False,node-types.json
r,if_statement,FIELD:condition,binary_operator,True,False,True,node-types.json
r,if_statement,FIELD:condition,braced_expression,True,False,True,node-types.json
r,if_statement,FIELD:condition,break,True,False,True,node-types.json
r,if_statement,FIELD:condition,call,True,False,True,node-types.json
r,if_statement,FIELD:condition,complex,True,False,True,node-types.json
r,if_statement,FIELD:condition,dot_dot_i,True,False,True,node-types.json
r,if_statement,FIELD:condition,dots,True,False,True,node-types.json
r,if_statement,FIELD:condition,extract_operator,True,False,True,node-types.json
r,if_statement,FIELD:condition,false,True,False,True,node-types.json
r,if_statement,FIELD:condition,float,True,False,True,node-types.json
r,if_statement,FIELD:condition,for_statement,True,False,True,node-types.json
r,if_statement,FIELD:condition,function_definition,True,False,True,node-types.json
r,if_statement,FIELD:condition,identifier,True,False,True,node-types.json
r,if_statement,FIELD:condition,if_statement,True,False,True,node-types.json
r,if_statement,FIELD:condition,inf,True,False,True,node-types.json
r,if_statement,FIELD:condition,integer,True,False,True,node-types.json
r,if_statement,FIELD:condition,na,True,False,True,node-types.json
r,if_statement,FIELD:condition,namespace_operator,True,False,True,node-types.json
r,if_statement,FIELD:condition,nan,True,False,True,node-types.json
r,if_statement,FIELD:condition,next,True,False,True,node-types.json
r,if_statement,FIELD:condition,null,True,False,True,node-types.json
r,if_statement,FIELD:condition,parenthesized_expression,True,False,True,node-types.json
r,if_statement,FIELD:condition,repeat_statement,True,False,True,node-types.json
r,if_statement,FIELD:condition,string,True,False,True,node-types.json
r,if_statement,FIELD:condition,subset,True,False,True,node-types.json
r,if_statement,FIELD:condition,subset2,True,False,True,node-types.json
r,if_statement,FIELD:condition,true,True,False,True,node-types.json
r,if_statement,FIELD:condition,unary_operator,True,False,True,node-types.json
r,if_statement,FIELD:condition,while_statement,True,False,True,node-types.json
r,if_statement,FIELD:consequence,binary_operator,True,False,True,node-types.json
r,if_statement,FIELD:consequence,braced_expression,True,False,True,node-types.json
r,if_statement,FIELD:consequence,break,True,False,True,node-types.json
r,if_statement,FIELD:consequence,call,True,False,True,node-types.json
r,if_statement,FIELD:consequence,complex,True,False,True,node-types.json
r,if_statement,FIELD:consequence,dot_dot_i,True,False,True,node-types.json
r,if_statement,FIELD:consequence,dots,True,False,True,node-types.json
r,if_statement,FIELD:consequence,extract_operator,True,False,True,node-types.json
r,if_statement,FIELD:consequence,false,True,False,True,node-types.json
r,if_statement,FIELD:consequence,float,True,False,True,node-types.json
r,if_statement,FIELD:consequence,for_statement,True,False,True,node-types.json
r,if_statement,FIELD:consequence,function_definition,True,False,True,node-types.json
r,if_statement,FIELD:consequence,identifier,True,False,True,node-types.json
r,if_statement,FIELD:consequence,if_statement,True,False,True,node-types.json
r,if_statement,FIELD:consequence,inf,True,False,True,node-types.json
r,if_statement,FIELD:consequence,integer,True,False,True,node-types.json
r,if_statement,FIELD:consequence,na,True,False,True,node-types.json
r,if_statement,FIELD:consequence,namespace_operator,True,False,True,node-types.json
r,if_statement,FIELD:consequence,nan,True,False,True,node-types.json
r,if_statement,FIELD:consequence,next,True,False,True,node-types.json
r,if_statement,FIELD:consequence,null,True,False,True,node-types.json
r,if_statement,FIELD:consequence,parenthesized_expression,True,False,True,node-types.json
r,if_statement,FIELD:consequence,repeat_statement,True,False,True,node-types.json
r,if_statement,FIELD:consequence,string,True,False,True,node-types.json
r,if_statement,FIELD:consequence,subset,True,False,True,node-types.json
r,if_statement,FIELD:consequence,subset2,True,False,True,node-types.json
r,if_statement,FIELD:consequence,true,True,False,True,node-types.json
r,if_statement,FIELD:consequence,unary_operator,True,False,True,node-types.json
r,if_statement,FIELD:consequence,while_statement,True,False,True,node-types.json
r,if_statement,FIELD:open,(,True,False,False,node-types.json
r,namespace_operator,FIELD:lhs,dot_dot_i,True,False,True,node-types.json
r,namespace_operator,FIELD:lhs,dots,True,False,True,node-types.json
r,namespace_operator,FIELD:lhs,identifier,True,False,True,node-types.json
r,namespace_operator,FIELD:lhs,string,True,False,True,node-types.json
r,namespace_operator,FIELD:operator,::,True,False,False,node-types.json
r,namespace_operator,FIELD:operator,:::,True,False,False,node-types.json
r,namespace_operator,FIELD:rhs,dot_dot_i,False,False,True,node-types.json
r,namespace_operator,FIELD:rhs,dots,False,False,True,node-types.json
r,namespace_operator,FIELD:rhs,identifier,False,False,True,node-types.json
r,namespace_operator,FIELD:rhs,string,False,False,True,node-types.json
r,parameter,FIELD:default,binary_operator,False,False,True,node-types.json
r,parameter,FIELD:default,braced_expression,False,False,True,node-types.json
r,parameter,FIELD:default,break,False,False,True,node-types.json
r,parameter,FIELD:default,call,False,False,True,node-types.json
r,parameter,FIELD:default,complex,False,False,True,node-types.json
r,parameter,FIELD:default,dot_dot_i,False,False,True,node-types.json
r,parameter,FIELD:default,dots,False,False,True,node-types.json
r,parameter,FIELD:default,extract_operator,False,False,True,node-types.json
r,parameter,FIELD:default,false,False,False,True,node-types.json
r,parameter,FIELD:default,float,False,False,True,node-types.json
r,parameter,FIELD:default,for_statement,False,False,True,node-types.json
r,parameter,FIELD:default,function_definition,False,False,True,node-types.json
r,parameter,FIELD:default,identifier,False,False,True,node-types.json
r,parameter,FIELD:default,if_statement,False,False,True,node-types.json
r,parameter,FIELD:default,inf,False,False,True,node-types.json
r,parameter,FIELD:default,integer,False,False,True,node-types.json
r,parameter,FIELD:default,na,False,False,True,node-types.json
r,parameter,FIELD:default,namespace_operator,False,False,True,node-types.json
r,parameter,FIELD:default,nan,False,False,True,node-types.json
r,parameter,FIELD:default,next,False,False,True,node-types.json
r,parameter,FIELD:default,null,False,False,True,node-types.json
r,parameter,FIELD:default,parenthesized_expression,False,False,True,node-types.json
r,parameter,FIELD:default,repeat_statement,False,False,True,node-types.json
r,parameter,FIELD:default,string,False,False,True,node-types.json
r,parameter,FIELD:default,subset,False,False,True,node-types.json
r,parameter,FIELD:default,subset2,False,False,True,node-types.json
r,parameter,FIELD:default,true,False,False,True,node-types.json
r,parameter,FIELD:default,unary_operator,False,False,True,node-types.json
r,parameter,FIELD:default,while_statement,False,False,True,node-types.json
r,parameter,FIELD:name,dot_dot_i,True,False,True,node-types.json
r,parameter,FIELD:name,dots,True,False,True,node-types.json
r,parameter,FIELD:name,identifier,True,False,True,node-types.json
r,parameters,FIELD:close,),True,False,False,node-types.json
r,parameters,FIELD:open,(,True,False,False,node-types.json
r,parameters,FIELD:parameter,parameter,False,True,True,node-types.json
r,parenthesized_expression,FIELD:body,binary_operator,True,False,True,node-types.json
