language,rule,shape_class,surface_class,shape_json,surface_json
r,repeat_statement,992612c105291e057aaf,93d486e130eea2e45b6a,"{""content"":{""members"":[{""type"":""STRING"",""value"":""LITERAL""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_LEFT"",""value"":""PREC_VALUE""}","{""content"":{""members"":[{""type"":""STRING"",""value"":""repeat""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""body"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_LEFT"",""value"":2}"
r,braced_expression,63654b3ecfd948a4bc2a,273d0eb369f8cc36c205,"{""content"":{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""content"":{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""name"":""SYM"",""type"":""SYMBOL""},{""name"":""SYM"",""type"":""SYMBOL""}],""type"":""CHOICE""},""name"":""NAME"",""type"":""FIELD""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC"",""value"":""PREC_VALUE""}","{""content"":{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""open"",""type"":""FIELD""},{""content"":{""content"":{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""name"":""SYM"",""type"":""SYMBOL""},{""name"":""SYM"",""type"":""SYMBOL""}],""type"":""CHOICE""},""name"":""body"",""type"":""FIELD""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""close"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC"",""value"":0}"
r,parenthesized_expression,96c2daf223f1ad2cb48e,6746b406210b9951d908,"{""content"":{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC"",""value"":""PREC_VALUE""}","{""content"":{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""open"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""body"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""close"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC"",""value"":0}"
r,call,637ec08b4c2b4436d3f8,42229b968ccb2a78ce06,"{""content"":{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""named"":""bool"",""type"":""ALIAS"",""value"":""str""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_RIGHT"",""value"":""PREC_VALUE""}","{""content"":{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""function"",""type"":""FIELD""},{""content"":{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""named"":true,""type"":""ALIAS"",""value"":""arguments""},""name"":""arguments"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_RIGHT"",""value"":20}"
r,subset,637ec08b4c2b4436d3f8,42229b968ccb2a78ce06,"{""content"":{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""named"":""bool"",""type"":""ALIAS"",""value"":""str""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_RIGHT"",""value"":""PREC_VALUE""}","{""content"":{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""function"",""type"":""FIELD""},{""content"":{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""named"":true,""type"":""ALIAS"",""value"":""arguments""},""name"":""arguments"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_RIGHT"",""value"":20}"
r,subset2,637ec08b4c2b4436d3f8,42229b968ccb2a78ce06,"{""content"":{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""named"":""bool"",""type"":""ALIAS"",""value"":""str""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_RIGHT"",""value"":""PREC_VALUE""}","{""content"":{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""function"",""type"":""FIELD""},{""content"":{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""named"":true,""type"":""ALIAS"",""value"":""arguments""},""name"":""arguments"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_RIGHT"",""value"":20}"
r,call_arguments,aa5c41a2f6e4aeddfd26,6dce0611cc0d1060f3af,"{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""members"":[{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""type"":""BLANK""}],""type"":""CHOICE""},{""content"":{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""type"":""BLANK""}],""type"":""CHOICE""}],""type"":""SEQ""},""type"":""REPEAT""}],""type"":""SEQ""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""}","{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""open"",""type"":""FIELD""},{""members"":[{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""argument"",""type"":""FIELD""},{""type"":""BLANK""}],""type"":""CHOICE""},{""content"":{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""argument"",""type"":""FIELD""},{""type"":""BLANK""}],""type"":""CHOICE""}],""type"":""SEQ""},""type"":""REPEAT""}],""type"":""SEQ""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""close"",""type"":""FIELD""}],""type"":""SEQ""}"
r,subset_arguments,aa5c41a2f6e4aeddfd26,6dce0611cc0d1060f3af,"{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""members"":[{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""type"":""BLANK""}],""type"":""CHOICE""},{""content"":{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""type"":""BLANK""}],""type"":""CHOICE""}],""type"":""SEQ""},""type"":""REPEAT""}],""type"":""SEQ""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""}","{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""open"",""type"":""FIELD""},{""members"":[{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""argument"",""type"":""FIELD""},{""type"":""BLANK""}],""type"":""CHOICE""},{""content"":{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""argument"",""type"":""FIELD""},{""type"":""BLANK""}],""type"":""CHOICE""}],""type"":""SEQ""},""type"":""REPEAT""}],""type"":""SEQ""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""close"",""type"":""FIELD""}],""type"":""SEQ""}"
r,subset2_arguments,aa5c41a2f6e4aeddfd26,6dce0611cc0d1060f3af,"{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""members"":[{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""type"":""BLANK""}],""type"":""CHOICE""},{""content"":{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""type"":""BLANK""}],""type"":""CHOICE""}],""type"":""SEQ""},""type"":""REPEAT""}],""type"":""SEQ""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""}","{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""open"",""type"":""FIELD""},{""members"":[{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""argument"",""type"":""FIELD""},{""type"":""BLANK""}],""type"":""CHOICE""},{""content"":{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""argument"",""type"":""FIELD""},{""type"":""BLANK""}],""type"":""CHOICE""}],""type"":""SEQ""},""type"":""REPEAT""}],""type"":""SEQ""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""close"",""type"":""FIELD""}],""type"":""SEQ""}"
r,argument,5dcf6ecd3e3e7257720e,5dcf6ecd3e3e7257720e,"{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""name"":""SYM"",""type"":""SYMBOL""}],""type"":""CHOICE""}","{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""name"":""SYM"",""type"":""SYMBOL""}],""type"":""CHOICE""}"
r,_argument_named,5f05e6b02ed3a25ebf94,1ec658edea2bba33251d,"{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""},{""type"":""STRING"",""value"":""LITERAL""},{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""type"":""BLANK""}],""type"":""CHOICE""}],""type"":""SEQ""}","{""members"":[{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""name"",""type"":""FIELD""},{""type"":""STRING"",""value"":""=""},{""members"":[{""name"":""SYM"",""type"":""SYMBOL""},{""type"":""BLANK""}],""type"":""CHOICE""}],""type"":""SEQ""}"
r,_argument_unnamed,7ea618fd7062ab5ffb1e,7ea618fd7062ab5ffb1e,"{""name"":""SYM"",""type"":""SYMBOL""}","{""name"":""SYM"",""type"":""SYMBOL""}"
r,_argument_value,6c416db3c88c5cfbf9a7,daed76217c22ba13eb04,"{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}","{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""value"",""type"":""FIELD""}"
r,unary_operator,d9c32ab30e74e9a0706a,49b51f16da5df6d05683,"{""members"":[{""content"":{""members"":[{""content"":{""type"":""STRING"",""value"":""LITERAL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_LEFT"",""value"":""PREC_VALUE""},{""content"":{""members"":[{""content"":{""type"":""STRING"",""value"":""LITERAL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_LEFT"",""value"":""PREC_VALUE""},{""content"":{""members"":[{""content"":{""type"":""STRING"",""value"":""LITERAL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_LEFT"",""value"":""PREC_VALUE""},{""content"":{""members"":[{""content"":{""type"":""STRING"",""value"":""LITERAL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_LEFT"",""value"":""PREC_VALUE""},{""content"":{""members"":[{""content"":{""type"":""STRING"",""value"":""LITERAL""},""name"":""NAME"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""NAME"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_LEFT"",""value"":""PREC_VALUE""}],""type"":""CHOICE""}","{""members"":[{""content"":{""members"":[{""content"":{""type"":""STRING"",""value"":""?""},""name"":""operator"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""rhs"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_LEFT"",""value"":1},{""content"":{""members"":[{""content"":{""type"":""STRING"",""value"":""~""},""name"":""operator"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""rhs"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_LEFT"",""value"":7},{""content"":{""members"":[{""content"":{""type"":""STRING"",""value"":""!""},""name"":""operator"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""rhs"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_LEFT"",""value"":10},{""content"":{""members"":[{""content"":{""type"":""STRING"",""value"":""+""},""name"":""operator"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""rhs"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_LEFT"",""value"":16},{""content"":{""members"":[{""content"":{""type"":""STRING"",""value"":""-""},""name"":""operator"",""type"":""FIELD""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""type"":""REPEAT""},{""content"":{""name"":""SYM"",""type"":""SYMBOL""},""name"":""rhs"",""type"":""FIELD""}],""type"":""SEQ""},""type"":""PREC_LEFT"",""value"":16}],""type"":""CHOICE""}"
