quotient_id,technical_signature,candidate_count,candidate_ids
RQ00015,RUNTIME_CONTROL|2|H5_NORMALIZED;NVVM_INTRINSICS|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,2,GPU_CLOCK_READ;GPU_GLOBAL_TIMER_READ
RQ00016,IMAGE|2|AMDGPU_INTRINSICS;H5_NORMALIZED|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,4,AMDGPU_IMAGE_GATHER;AMDGPU_IMAGE_LOAD;AMDGPU_IMAGE_SAMPLE;AMDGPU_IMAGE_STORE
RQ00017,NumericFamily|3|DECOMPILER_QUOTIENT|DECOMPILER_SEMANTIC_QUOTIENT|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,1,SHIFT_RIGHT_ARITH
RQ00018,RANDOM|6|STABLEHLO_OPS|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,2,STABLEHLO_RNG;STABLEHLO_RNG_BIT_GENERATOR
RQ00019,BITWISE|2|AMDGPU_INTRINSICS;H5_NORMALIZED|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,1,AMDGPU_ALIGNBYTE
RQ00020,VECTOR_MEMORY|6|RISCV_VECTOR|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,10,RVV_VLE;RVV_VLEFF;RVV_VLM;RVV_VLOXEI;RVV_VLSE;RVV_VLUXEI;RVV_VSE;RVV_VSEXT;RVV_VSOXEI;RVV_VSUXEI
RQ00021,NumericFamily|5|DECOMPILER_QUOTIENT;LANGUAGE_OPERATION_HARVEST|CROSS_LANGUAGE_EQUIVALENCE_CLASS;DECOMPILER_SEMANTIC_QUOTIENT|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,2,COMPARE_GE;COMPARE_GT
RQ00022,NumericFamily|2|DECOMPILER_QUOTIENT|DECOMPILER_SEMANTIC_QUOTIENT|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,1,NUMERIC_COMPARE
RQ00023,AllocationFamily|1|DECOMPILER_QUOTIENT|DECOMPILER_SEMANTIC_QUOTIENT;LANGUAGE_OPERATION_RAW|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,1,ALLOC
RQ00024,TENSOR|2|MLIR_TENSOR|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,24,MLIR_TENSOR_BITCAST;MLIR_TENSOR_CAST;MLIR_TENSOR_COLLAPSE_SHAPE;MLIR_TENSOR_CONCAT;MLIR_TENSOR_DIM;MLIR_TENSOR_EMPTY;MLIR_TENSOR_EXPAND_SHAPE;MLIR_TENSOR_EXTRACT;MLIR_TENSOR_EXTRACT_SLICE;MLIR_TENSOR_EXTRACT_STRIDED_METADATA;MLIR_TENSOR_FROM_ELEMENTS;MLIR_TENSOR_GATHER;MLIR_TENSOR_GENERATE;MLIR_TENSOR_INSERT;MLIR_TENSOR_INSERT_SLICE;MLIR_TENSOR_PACK;MLIR_TENSOR_PAD;MLIR_TENSOR_PARALLEL_INSERT_SLICE;MLIR_TENSOR_RANK;MLIR_TENSOR_RESHAPE;MLIR_TENSOR_SCATTER;MLIR_TENSOR_SPLAT;MLIR_TENSOR_UNPACK;MLIR_TENSOR_YIELD
RQ00025,RUNTIME_CONTROL|2|AMDGPU_INTRINSICS;H5_NORMALIZED|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,4,AMDGPU_EXPORT;AMDGPU_MEMTIME;AMDGPU_SENDMSG;AMDGPU_SLEEP
RQ00026,TENSOR|4|X86_INTRINSICS|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,24,X86_AMX_CMUL_FP16;X86_AMX_DP_BF16_PS;X86_AMX_DP_BF8_PS;X86_AMX_DP_BHF8_PS;X86_AMX_DP_BSSD;X86_AMX_DP_BSUD;X86_AMX_DP_BUSD;X86_AMX_DP_BUUD;X86_AMX_DP_FP16_PS;X86_AMX_DP_HBF8_PS;X86_AMX_DP_HF8_PS;X86_AMX_LOAD_CONFIG;X86_AMX_MOVE_ROW;X86_AMX_ROW_TO_BF16_HI;X86_AMX_ROW_TO_BF16_LO;X86_AMX_ROW_TO_FP16_HI;X86_AMX_ROW_TO_FP16_LO;X86_AMX_ROW_TO_FP32;X86_AMX_TILE_LOAD;X86_AMX_TILE_LOAD_T1;X86_AMX_TILE_STORE;X86_AMX_TILE_TO_VECTOR;X86_AMX_TILE_ZERO;X86_AMX_VECTOR_TO_TILE
RQ00027,CONCURRENCY_MEMORY|2|H5_NORMALIZED;SPIRV|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,3,ATOMIC_FLAG_CLEAR;ATOMIC_FLAG_TEST_SET;MEMORY_BARRIER
RQ00028,TENSOR_ML|6|STABLEHLO_OPS|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,36,STABLEHLO_AFTER_ALL;STABLEHLO_BATCH_NORM_GRAD;STABLEHLO_BATCH_NORM_INFERENCE;STABLEHLO_BATCH_NORM_TRAINING;STABLEHLO_BITCAST_CONVERT;STABLEHLO_BROADCAST_IN_DIM;STABLEHLO_COMPOSITE;STABLEHLO_CONCATENATE;STABLEHLO_CUSTOM_CALL;STABLEHLO_DYNAMIC_BROADCAST_IN_DIM;STABLEHLO_DYNAMIC_CONV;STABLEHLO_DYNAMIC_GATHER;STABLEHLO_DYNAMIC_IOTA;STABLEHLO_DYNAMIC_PAD;STABLEHLO_DYNAMIC_RESHAPE;STABLEHLO_DYNAMIC_SLICE;STABLEHLO_DYNAMIC_UPDATE_SLICE;STABLEHLO_GATHER;STABLEHLO_GET_DIMENSION_SIZE;STABLEHLO_IOTA;STABLEHLO_MAP;STABLEHLO_OPTIMIZATION_BARRIER;STABLEHLO_PAD;STABLEHLO_PARTITION_ID;STABLEHLO_REDUCE;STABLEHLO_REDUCE_PRECISION;STABLEHLO_REPLICA_ID;STABLEHLO_RESHAPE;STABLEHLO_SCATTER;STABLEHLO_SELECT_AND_SCATTER;STABLEHLO_SET_DIMENSION_SIZE;STABLEHLO_SLICE;STABLEHLO_SORT;STABLEHLO_TRANSPOSE;STABLEHLO_UNIFORM_DEQUANTIZE;STABLEHLO_UNIFORM_QUANTIZE
RQ00029,EXCEPTION|2|DOTNET_IL;H5_NORMALIZED|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,4,IL_END_FILTER;IL_END_FINALLY;IL_LEAVE_PROTECTED;IL_RETHROW
RQ00030,BINDING_MEMORY|2|H5_NORMALIZED;NVVM_INTRINSICS|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,3,GPU_CP_ASYNC;GPU_CP_ASYNC_COMMIT;GPU_CP_ASYNC_WAIT
RQ00031,VECTOR|2|H5_NORMALIZED;HOTSPOT_C2|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION;LANGUAGE_OPERATION_RAW|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,1,VECTOR_COMPRESS
RQ00032,CRYPTO|6|X86_INTRINSICS|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,8,X86_AESDEC;X86_AESDECLAST;X86_AESENC;X86_AESENCLAST;X86_SHA1_MSG1;X86_SHA1_MSG2;X86_SHA256_MSG1;X86_SHA256_MSG2
RQ00033,DYNAMIC_LANGUAGE|1|V8_TURBOSHAFT|OPTIMIZER_IR_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,55,V8_TURBOSHAFT_ALLOCATE;V8_TURBOSHAFT_ASSUME_MAP;V8_TURBOSHAFT_ATOMIC_RMW;V8_TURBOSHAFT_ATOMIC_WORD32_PAIR;V8_TURBOSHAFT_BITCAST_WORD32_PAIR_TO_FLOAT64;V8_TURBOSHAFT_CALL;V8_TURBOSHAFT_CATCH_BLOCK_BEGIN;V8_TURBOSHAFT_CHANGE;V8_TURBOSHAFT_COMPARISON;V8_TURBOSHAFT_CONSTANT;V8_TURBOSHAFT_DEBUG_BREAK;V8_TURBOSHAFT_DECODE_EXTERNAL_POINTER;V8_TURBOSHAFT_DEOPTIMIZE;V8_TURBOSHAFT_DEOPTIMIZE_IF;V8_TURBOSHAFT_DIDNT_THROW;V8_TURBOSHAFT_ENCODE_EXTERNAL_POINTER;V8_TURBOSHAFT_FLOAT_BINOP;V8_TURBOSHAFT_FLOAT_UNARY;V8_TURBOSHAFT_FRAME_CONSTANT;V8_TURBOSHAFT_FRAME_STATE;V8_TURBOSHAFT_LOAD;V8_TURBOSHAFT_LOAD_ROOT_REGISTER;V8_TURBOSHAFT_LOAD_STACK_POINTER;V8_TURBOSHAFT_MEMORY_BARRIER;V8_TURBOSHAFT_NEW_CONS_STRING;V8_TURBOSHAFT_OSR_VALUE;V8_TURBOSHAFT_OVERFLOW_CHECKED_BINOP;V8_TURBOSHAFT_PARAMETER;V8_TURBOSHAFT_PENDING_LOOP_PHI;V8_TURBOSHAFT_PHI;V8_TURBOSHAFT_PROJECTION;V8_TURBOSHAFT_RETAIN;V8_TURBOSHAFT_SAME_VALUE;V8_TURBOSHAFT_SAME_VALUE_ZERO;V8_TURBOSHAFT_SELECT;V8_TURBOSHAFT_SET_STACK_POINTER;V8_TURBOSHAFT_SHIFT;V8_TURBOSHAFT_STACK_POINTER_GREATER_THAN;V8_TURBOSHAFT_STACK_SLOT;V8_TURBOSHAFT_STORE;V8_TURBOSHAFT_STRING_CHAR_CODE_AT;V8_TURBOSHAFT_STRING_CODE_POINT_AT;V8_TURBOSHAFT_STRING_CONCAT;V8_TURBOSHAFT_STRING_FROM_CHAR_CODE;V8_TURBOSHAFT_STRING_INDEX_OF;V8_TURBOSHAFT_STRING_LENGTH;V8_TURBOSHAFT_STRING_TO_LOWER_CASE;V8_TURBOSHAFT_STRING_TO_UPPER_CASE;V8_TURBOSHAFT_TAGGED_BITCAST;V8_TURBOSHAFT_TRAP_IF;V8_TURBOSHAFT_TRY_CHANGE;V8_TURBOSHAFT_TUPLE;V8_TURBOSHAFT_WORD32_PAIR_BINOP;V8_TURBOSHAFT_WORD_BINOP;V8_TURBOSHAFT_WORD_UNARY
RQ00034,STRING|2|H5_NORMALIZED;HOTSPOT_C2|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,3,STRING_COMPARE;STRING_EQUAL;STRING_INDEX_OF
RQ00035,VECTOR|6|X86_INTRINSICS|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,10,X86_AVX512_CONFLICT;X86_AVX512_GATHER;X86_AVX512_MASK_BLEND;X86_AVX512_MASK_COMPRESS;X86_AVX512_MASK_EXPAND;X86_AVX512_MASK_TEST;X86_AVX512_SCATTER;X86_AVX512_TERNLOG;X86_AVX512_VPERMI2;X86_AVX512_VPERMT2
RQ00036,ARITHMETIC|2|H5_NORMALIZED;MLIR_MATH|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,1,ROUND_EVEN
RQ00037,BINDING_MEMORY|2|H5_NORMALIZED;ZIG_AIR|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,2,WASM_MEMORY_GROW;WASM_MEMORY_SIZE
RQ00038,PatternFamily|1|DECOMPILER_QUOTIENT|DECOMPILER_SEMANTIC_QUOTIENT|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,1,PATTERN_SEMANTIC
RQ00039,SAFETY|2|DOTNET_IL;H5_NORMALIZED|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,1,IL_FINITE_CHECK
RQ00040,TENSOR|6|AARCH64_SME|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,39,AARCH64_SME_ADDHA;AARCH64_SME_ADDVA;AARCH64_SME_BFMOPA;AARCH64_SME_BFMOPS;AARCH64_SME_DOT_ZA;AARCH64_SME_FMOPA;AARCH64_SME_FMOPA_F16;AARCH64_SME_FMOPA_F32;AARCH64_SME_FMOPA_F64;AARCH64_SME_FMOPS;AARCH64_SME_LD1_HORIZ;AARCH64_SME_LD1_VERT;AARCH64_SME_LDR_ZA;AARCH64_SME_MLA_ZA32;AARCH64_SME_MLA_ZA64;AARCH64_SME_MLS_ZA32;AARCH64_SME_MLS_ZA64;AARCH64_SME_MOP4;AARCH64_SME_MOPA;AARCH64_SME_MOPS;AARCH64_SME_MOV_FROM_ZA;AARCH64_SME_MOV_TO_ZA;AARCH64_SME_OUTER_PRODUCT;AARCH64_SME_READ_HORIZ;AARCH64_SME_READ_VERT;AARCH64_SME_SMOPA;AARCH64_SME_ST1_HORIZ;AARCH64_SME_ST1_VERT;AARCH64_SME_START;AARCH64_SME_STOP;AARCH64_SME_STR_ZA;AARCH64_SME_SUMOPA;AARCH64_SME_UMOPA;AARCH64_SME_USMOPA;AARCH64_SME_WRITE_HORIZ;AARCH64_SME_WRITE_VERT;AARCH64_SME_ZA_DISABLE;AARCH64_SME_ZA_ENABLE;AARCH64_SME_ZERO_ZA
RQ00041,CONTROL|1|H5_NORMALIZED|NORMALIZED_PRIMITIVE_CANDIDATE|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,3,BIND_SCOPE;EXPECT_HINT;NONLOCAL_JUMP
RQ00042,ARITHMETIC|2|H5_NORMALIZED;SPIRV|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,3,DERIVATIVE_WIDTH;DERIVATIVE_X;DERIVATIVE_Y
RQ00043,COLLECTION|2|DOTNET_IL;H5_NORMALIZED|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,1,IL_NEW_ARRAY
RQ00044,TENSOR|2|AMDGPU_INTRINSICS;H5_NORMALIZED|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,2,AMDGPU_MFMA;AMDGPU_WMMA
RQ00045,MemoryFamily|8|DECOMPILER_QUOTIENT|DECOMPILER_SEMANTIC_QUOTIENT|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,1,MEMORY_LOAD
RQ00046,BindingFamily|1|DECOMPILER_QUOTIENT|DECOMPILER_SEMANTIC_QUOTIENT|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,2,BINDING_MACHINE_STATE;BINDING_VALUE_OR_SET
RQ00047,REFLECTION|2|DOTNET_IL;H5_NORMALIZED|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,5,IL_METADATA_TOKEN_LOAD;IL_SIZEOF_TYPE;IL_TYPED_REFERENCE_CREATE;IL_TYPED_REFERENCE_TYPE;IL_TYPED_REFERENCE_VALUE
RQ00048,VECTOR_REDUCTION|12|AARCH64_SVE|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION;LANGUAGE_OPERATION_RAW|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,2,AARCH64_SVE_SADDV;AARCH64_SVE_UADDV
RQ00049,NumericFamily|5|DECOMPILER_QUOTIENT;H5_NORMALIZED|DECOMPILER_SEMANTIC_QUOTIENT;NORMALIZED_PRIMITIVE_CANDIDATE;LANGUAGE_OPERATION_RAW|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,2,MAX;MIN
RQ00050,CONTROL|2|DOTNET_IL;H5_NORMALIZED|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,1,IL_JUMP_METHOD
RQ00051,TYPE_CONVERSION|2|DOTNET_IL;H5_NORMALIZED|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,2,IL_OVERFLOW_CONVERT;IL_OVERFLOW_CONVERT_UNSIGNED_SOURCE
RQ00052,ARITHMETIC|1|H5_NORMALIZED|NORMALIZED_PRIMITIVE_CANDIDATE;LANGUAGE_OPERATION_RAW|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,3,EXP;FMA;LOG
RQ00053,VECTOR|12|AARCH64_SVE|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,62,AARCH64_SVE_ABD;AARCH64_SVE_ADD;AARCH64_SVE_AND;AARCH64_SVE_ASR;AARCH64_SVE_BIC;AARCH64_SVE_CLASTA;AARCH64_SVE_CLASTB;AARCH64_SVE_CLS;AARCH64_SVE_CLZ;AARCH64_SVE_CNTB;AARCH64_SVE_CNTD;AARCH64_SVE_CNTH;AARCH64_SVE_CNTW;AARCH64_SVE_COMPACT;AARCH64_SVE_DECP;AARCH64_SVE_EOR;AARCH64_SVE_EXT;AARCH64_SVE_FADD;AARCH64_SVE_FMAX;AARCH64_SVE_FMAXNM;AARCH64_SVE_FMIN;AARCH64_SVE_FMINNM;AARCH64_SVE_FMLA;AARCH64_SVE_FMLS;AARCH64_SVE_FMUL;AARCH64_SVE_FSUB;AARCH64_SVE_INCP;AARCH64_SVE_LASTA;AARCH64_SVE_LASTB;AARCH64_SVE_LSL;AARCH64_SVE_LSR;AARCH64_SVE_MAD;AARCH64_SVE_MAX;AARCH64_SVE_MAXNM;AARCH64_SVE_MIN;AARCH64_SVE_MINNM;AARCH64_SVE_MLA;AARCH64_SVE_MLS;AARCH64_SVE_MUL;AARCH64_SVE_NOT;AARCH64_SVE_ORR;AARCH64_SVE_RBIT;AARCH64_SVE_REVB;AARCH64_SVE_REVD;AARCH64_SVE_REVH;AARCH64_SVE_REVW;AARCH64_SVE_SEL;AARCH64_SVE_SPLICE;AARCH64_SVE_SQADD;AARCH64_SVE_SQRSHL;AARCH64_SVE_SQSUB;AARCH64_SVE_SUB;AARCH64_SVE_TBL;AARCH64_SVE_TRN1;AARCH64_SVE_TRN2;AARCH64_SVE_UQADD;AARCH64_SVE_UQRSHL;AARCH64_SVE_UQSUB;AARCH64_SVE_UZP1;AARCH64_SVE_UZP2;AARCH64_SVE_ZIP1;AARCH64_SVE_ZIP2
RQ00054,CONCURRENCY|2|AMDGPU_INTRINSICS;H5_NORMALIZED|NORMALIZED_PRIMITIVE_CANDIDATE;RAW_EXTERNAL_OPERATION|SEMANTIC_RESIDUAL_OUTSIDE_CURRENT_CLOSURE,8,AMDGPU_BALLOT;AMDGPU_DISPATCH_ID;AMDGPU_MBCNT;AMDGPU_READFIRSTLANE;AMDGPU_READLANE;AMDGPU_SOFT_WQM;AMDGPU_WQM;AMDGPU_WRITELANE
