candidate_id,family_hint,evidence_rows,source_layers,raw_names,accepted_into_pstar,rejection_reason
X86_AMX_MOVE_ROW,TENSOR,4,X86_INTRINSICS,llvm.x86.amx_move_row;llvm.x86.amx_move_row.internal;llvm.x86.amx_move_row.tile,false,no complete observable atom witness / composition proof
STABLEHLO_ADD,TENSOR_ELEMENTWISE,6,STABLEHLO_OPS,stablehlo.add;stablehlo.add.bf16;stablehlo.add.f32;stablehlo.add.i32;stablehlo.add.i8,false,no complete observable atom witness / composition proof
RVV_VMCLR,VECTOR_MASK,6,RISCV_VECTOR,llvm.riscv.vmclr;llvm.riscv.vmclr_mask;llvm.riscv.vmclr_vi;llvm.riscv.vmclr_vv;llvm.riscv.vmclr_vx,false,no complete observable atom witness / composition proof
TOSA_RECIPROCAL,TENSOR_ML,6,MLIR_TOSA,tosa.reciprocal;tosa.reciprocal.bf16;tosa.reciprocal.f32;tosa.reciprocal.i32;tosa.reciprocal.i8,false,no complete observable atom witness / composition proof
GPU_WARP_BALLOT,CONCURRENCY,2,H5_NORMALIZED;NVVM_INTRINSICS,GPU_WARP_BALLOT;vote.ballot.sync,false,no complete observable atom witness / composition proof
RVV_VSSRL,VECTOR,6,RISCV_VECTOR,llvm.riscv.vssrl;llvm.riscv.vssrl_mask;llvm.riscv.vssrl_vi;llvm.riscv.vssrl_vv;llvm.riscv.vssrl_vx,false,no complete observable atom witness / composition proof
MLIR_GPU_PRINTF,GPU,2,MLIR_GPU,gpu.printf,false,no complete observable atom witness / composition proof
LLVM_VP_EXPAND,VECTOR,2,LLVM_VP,llvm.vp.expand,false,no complete observable atom witness / composition proof
AARCH64_SVE_LASTA,VECTOR,12,AARCH64_SVE,llvm.aarch64.sve.lasta;llvm.aarch64.sve.lasta.f16;llvm.aarch64.sve.lasta.f32;llvm.aarch64.sve.lasta.f64;llvm.aarch64.sve.lasta.i16;llvm.aarch64.sve.lasta.i32;llvm.aarch64.sve.lasta.i64;llvm.aarch64.sve.lasta.i8;llvm.aarch64.sve.lasta_m;llvm.aarch64.sve.lasta_x;llvm.aarch64.sve.lasta_z,false,no complete observable atom witness / composition proof
AARCH64_SVE_EOR,VECTOR,12,AARCH64_SVE,llvm.aarch64.sve.eor;llvm.aarch64.sve.eor.f16;llvm.aarch64.sve.eor.f32;llvm.aarch64.sve.eor.f64;llvm.aarch64.sve.eor.i16;llvm.aarch64.sve.eor.i32;llvm.aarch64.sve.eor.i64;llvm.aarch64.sve.eor.i8;llvm.aarch64.sve.eor_m;llvm.aarch64.sve.eor_x;llvm.aarch64.sve.eor_z,false,no complete observable atom witness / composition proof
MEMORY_SET,BINDING_MEMORY,1,H5_NORMALIZED,MEMORY_SET,false,no complete observable atom witness / composition proof
FULL_FENCE,CONCURRENCY_MEMORY,2,H5_NORMALIZED;HOTSPOT_C2,FULL_FENCE;MemBarFull/MemBarCPUOrder,false,no complete observable atom witness / composition proof
MLIR_LINALG_DOT,TENSOR_ALGEBRA,2,MLIR_LINALG,linalg.dot,false,no complete observable atom witness / composition proof
RVV_VMSLTU,VECTOR_MASK,6,RISCV_VECTOR,llvm.riscv.vmsltu;llvm.riscv.vmsltu_mask;llvm.riscv.vmsltu_vi;llvm.riscv.vmsltu_vv;llvm.riscv.vmsltu_vx,false,no complete observable atom witness / composition proof
ATAN,ARITHMETIC,2,H5_NORMALIZED;MLIR_MATH,ATAN;math.atan,false,no complete observable atom witness / composition proof
BINDING_MACHINE_STATE,BindingFamily,1,DECOMPILER_QUOTIENT,LLIL_REG,false,no complete observable atom witness / composition proof
MLIR_OACC_LOOP,CONCURRENCY,2,MLIR_OPENACC,acc.loop,false,no complete observable atom witness / composition proof
IL_TYPED_REFERENCE_VALUE,REFLECTION,2,DOTNET_IL;H5_NORMALIZED,IL_TYPED_REFERENCE_VALUE;refanyval,false,no complete observable atom witness / composition proof
STABLEHLO_ALL_TO_ALL,DISTRIBUTED,6,STABLEHLO_OPS,stablehlo.all_to_all;stablehlo.all_to_all.bf16;stablehlo.all_to_all.f32;stablehlo.all_to_all.i32;stablehlo.all_to_all.i8,false,no complete observable atom witness / composition proof
IL_REM_UNSIGNED,ARITHMETIC,2,DOTNET_IL;H5_NORMALIZED,IL_REM_UNSIGNED;rem.un,false,no complete observable atom witness / composition proof
MEMORY_INIT,BINDING_MEMORY,2,H5_NORMALIZED;WEBASSEMBLY,MEMORY_INIT;memory.init,false,no complete observable atom witness / composition proof
DATA_SEGMENT_DROP,BINDING_MEMORY,2,H5_NORMALIZED;WEBASSEMBLY,DATA_SEGMENT_DROP;data.drop,false,no complete observable atom witness / composition proof
AMDGPU_SET_INACTIVE,VECTOR,2,AMDGPU_INTRINSICS;H5_NORMALIZED,AMDGPU_SET_INACTIVE;amdgcn_set_inactive,false,no complete observable atom witness / composition proof
X86_PAUSE,ISA_SYSTEM,2,X86_INTRINSICS,llvm.x86.pause,false,no complete observable atom witness / composition proof
AARCH64_SME_ST1_HORIZ,TENSOR,6,AARCH64_SME,llvm.aarch64.sme.st1_horiz;llvm.aarch64.sme.st1_horiz_vg2;llvm.aarch64.sme.st1_horiz_vg4;llvm.aarch64.sme.st1_horiz_za32;llvm.aarch64.sme.st1_horiz_za64,false,no complete observable atom witness / composition proof
BPF_PACKET_LOAD_BYTE,BPF_VM,2,BPF_INTRINSICS,llvm.bpf.packet_load_byte,false,no complete observable atom witness / composition proof
CLAMP,ARITHMETIC,2,H5_NORMALIZED;MLIR_MATH,CLAMP;math.clampf,false,no complete observable atom witness / composition proof
RVV_VMSLEU,VECTOR_MASK,6,RISCV_VECTOR,llvm.riscv.vmsleu;llvm.riscv.vmsleu_mask;llvm.riscv.vmsleu_vi;llvm.riscv.vmsleu_vv;llvm.riscv.vmsleu_vx,false,no complete observable atom witness / composition proof
STABLEHLO_ALL_GATHER,DISTRIBUTED,6,STABLEHLO_OPS,stablehlo.all_gather;stablehlo.all_gather.bf16;stablehlo.all_gather.f32;stablehlo.all_gather.i32;stablehlo.all_gather.i8,false,no complete observable atom witness / composition proof
GPU_WORKITEM_ID,CONCURRENCY,2,H5_NORMALIZED;ZIG_AIR,GPU_WORKITEM_ID;work_item_id,false,no complete observable atom witness / composition proof
TOSA_AVG_POOL2_D,TENSOR_ML,6,MLIR_TOSA,tosa.avg_pool2d;tosa.avg_pool2d.bf16;tosa.avg_pool2d.f32;tosa.avg_pool2d.i32;tosa.avg_pool2d.i8,false,no complete observable atom witness / composition proof
AARCH64_SVE_FMAXNM,VECTOR,12,AARCH64_SVE,llvm.aarch64.sve.fmaxnm;llvm.aarch64.sve.fmaxnm.f16;llvm.aarch64.sve.fmaxnm.f32;llvm.aarch64.sve.fmaxnm.f64;llvm.aarch64.sve.fmaxnm.i16;llvm.aarch64.sve.fmaxnm.i32;llvm.aarch64.sve.fmaxnm.i64;llvm.aarch64.sve.fmaxnm.i8;llvm.aarch64.sve.fmaxnm_m;llvm.aarch64.sve.fmaxnm_x;llvm.aarch64.sve.fmaxnm_z,false,no complete observable atom witness / composition proof
AARCH64_SVE_CNTP,VECTOR_MASK,12,AARCH64_SVE,llvm.aarch64.sve.cntp;llvm.aarch64.sve.cntp.f16;llvm.aarch64.sve.cntp.f32;llvm.aarch64.sve.cntp.f64;llvm.aarch64.sve.cntp.i16;llvm.aarch64.sve.cntp.i32;llvm.aarch64.sve.cntp.i64;llvm.aarch64.sve.cntp.i8;llvm.aarch64.sve.cntp_m;llvm.aarch64.sve.cntp_x;llvm.aarch64.sve.cntp_z,false,no complete observable atom witness / composition proof
TOSA_BITWISE_NOT,TENSOR_ML,6,MLIR_TOSA,tosa.bitwise_not;tosa.bitwise_not.bf16;tosa.bitwise_not.f32;tosa.bitwise_not.i32;tosa.bitwise_not.i8,false,no complete observable atom witness / composition proof
RVV_VWADDU,VECTOR,6,RISCV_VECTOR,llvm.riscv.vwaddu;llvm.riscv.vwaddu_mask;llvm.riscv.vwaddu_vi;llvm.riscv.vwaddu_vv;llvm.riscv.vwaddu_vx,false,no complete observable atom witness / composition proof
MLIR_OMP_ATOMIC_WRITE,CONCURRENCY,2,MLIR_OPENMP,omp.atomic_write,false,no complete observable atom witness / composition proof
CACHE_WRITEBACK_SYNC,BINDING_MEMORY,2,H5_NORMALIZED;HOTSPOT_C2,CACHE_WRITEBACK_SYNC;CacheWBPreSync/CacheWBPostSync,false,no complete observable atom witness / composition proof
LLVM_VP_GATHER,VECTOR_MEMORY,2,LLVM_VP,llvm.vp.gather,false,no complete observable atom witness / composition proof
MEMORY_SIZE,BINDING_MEMORY,2,H5_NORMALIZED;WEBASSEMBLY,MEMORY_SIZE;memory.size,false,no complete observable atom witness / composition proof
MLIR_SPARSE_FOREACH,SPARSE_TENSOR,2,MLIR_SPARSE,sparse_tensor.foreach,false,no complete observable atom witness / composition proof
AARCH64_SVE_WHILELS,VECTOR_MASK,12,AARCH64_SVE,llvm.aarch64.sve.whilels;llvm.aarch64.sve.whilels.f16;llvm.aarch64.sve.whilels.f32;llvm.aarch64.sve.whilels.f64;llvm.aarch64.sve.whilels.i16;llvm.aarch64.sve.whilels.i32;llvm.aarch64.sve.whilels.i64;llvm.aarch64.sve.whilels.i8;llvm.aarch64.sve.whilels_m;llvm.aarch64.sve.whilels_x;llvm.aarch64.sve.whilels_z,false,no complete observable atom witness / composition proof
INDIRECT_CALL,CallFamily,1,DECOMPILER_QUOTIENT,CALLIND;CallIndirect,false,no complete observable atom witness / composition proof
V8_TURBOSHAFT_CALL,DYNAMIC_LANGUAGE,1,V8_TURBOSHAFT,CALL,false,no complete observable atom witness / composition proof
IL_STORE_INDIRECT_TYPED,BINDING_MEMORY,2,DOTNET_IL;H5_NORMALIZED,IL_STORE_INDIRECT_TYPED;stind.*,false,no complete observable atom witness / composition proof
LLVM_VP_MERGE,VECTOR,2,LLVM_VP,llvm.vp.merge,false,no complete observable atom witness / composition proof
X86_AESDECLAST,CRYPTO,6,X86_INTRINSICS,llvm.x86.aesdeclast;llvm.x86.aesdeclast.128;llvm.x86.aesdeclast.256;llvm.x86.aesdeclast.512;llvm.x86.aesdeclast.mask,false,no complete observable atom witness / composition proof
EXCEPTION_DISPATCH,EXCEPTION,1,H5_NORMALIZED,EXCEPTION_DISPATCH,false,no complete observable atom witness / composition proof
TOSA_REDUCE_ANY,TENSOR_REDUCTION,6,MLIR_TOSA,tosa.reduce_any;tosa.reduce_any.bf16;tosa.reduce_any.f32;tosa.reduce_any.i32;tosa.reduce_any.i8,false,no complete observable atom witness / composition proof
REACHABILITY_FENCE,OWNERSHIP,2,H5_NORMALIZED;HOTSPOT_C2,REACHABILITY_FENCE;ReachabilityFence,false,no complete observable atom witness / composition proof
SIMD_LANE_REPLACE,VECTOR,2,H5_NORMALIZED;WEBASSEMBLY,SIMD_LANE_REPLACE;replace_lane,false,no complete observable atom witness / composition proof
AARCH64_SME_SUMOPA,TENSOR,6,AARCH64_SME,llvm.aarch64.sme.sumopa;llvm.aarch64.sme.sumopa_vg2;llvm.aarch64.sme.sumopa_vg4;llvm.aarch64.sme.sumopa_za32;llvm.aarch64.sme.sumopa_za64,false,no complete observable atom witness / composition proof
GPU_FAST_LOG2,ARITHMETIC,2,H5_NORMALIZED;NVVM_INTRINSICS,GPU_FAST_LOG2;lg2.approx,false,no complete observable atom witness / composition proof
X86_AMX_DP_HF8_PS,TENSOR,4,X86_INTRINSICS,llvm.x86.amx_dp_hf8ps;llvm.x86.amx_dp_hf8ps.internal;llvm.x86.amx_dp_hf8ps.tile,false,no complete observable atom witness / composition proof
X86_AMX_LOAD_CONFIG,TENSOR,4,X86_INTRINSICS,llvm.x86.amx_load_config;llvm.x86.amx_load_config.internal;llvm.x86.amx_load_config.tile,false,no complete observable atom witness / composition proof
MLIR_BUFFERIZATION_DEALLOC_TENSOR,BINDING_MEMORY,2,MLIR_BUFFERIZATION,bufferization.dealloc_tensor,false,no complete observable atom witness / composition proof
IL_LOAD_OBJECT,OBJECT,2,DOTNET_IL;H5_NORMALIZED,IL_LOAD_OBJECT;ldobj,false,no complete observable atom witness / composition proof
SUB_WITH_BORROW,ARITHMETIC,2,H5_NORMALIZED;X86_ISA,SBB;SUB_WITH_BORROW,false,no complete observable atom witness / composition proof
ABS,NumericFamily,4,DECOMPILER_QUOTIENT;H5_NORMALIZED,ABS;FLOAT_ABS;LLIL_FABS;LLIL_ABS;abs_vec,false,no complete observable atom witness / composition proof
MEMORY_BARRIER,CONCURRENCY_MEMORY,2,H5_NORMALIZED;SPIRV,MEMORY_BARRIER;OpMemoryBarrier,false,no complete observable atom witness / composition proof
AARCH64_SME_MLS_ZA32,TENSOR,6,AARCH64_SME,llvm.aarch64.sme.mls_za32;llvm.aarch64.sme.mls_za32_vg2;llvm.aarch64.sme.mls_za32_vg4;llvm.aarch64.sme.mls_za32_za32;llvm.aarch64.sme.mls_za32_za64,false,no complete observable atom witness / composition proof
VECTOR_REDUCE,VECTOR,1,H5_NORMALIZED,VECTOR_REDUCE,false,no complete observable atom witness / composition proof
MLIR_TENSOR_EMPTY,TENSOR,2,MLIR_TENSOR,tensor.empty,false,no complete observable atom witness / composition proof
MLIR_COMPLEX_ANGLE,COMPLEX,2,MLIR_COMPLEX,complex.angle,false,no complete observable atom witness / composition proof
RVV_VSADDU,VECTOR,6,RISCV_VECTOR,llvm.riscv.vsaddu;llvm.riscv.vsaddu_mask;llvm.riscv.vsaddu_vi;llvm.riscv.vsaddu_vv;llvm.riscv.vsaddu_vx,false,no complete observable atom witness / composition proof
STABLEHLO_EXPONENTIAL_MINUS_ONE,TENSOR_ELEMENTWISE,6,STABLEHLO_OPS,stablehlo.exponential_minus_one;stablehlo.exponential_minus_one.bf16;stablehlo.exponential_minus_one.f32;stablehlo.exponential_minus_one.i32;stablehlo.exponential_minus_one.i8,false,no complete observable atom witness / composition proof
BSWAP,NumericFamily,4,DECOMPILER_QUOTIENT,BSWAP_NODE;LLIL_BSWAP;bswap16;bswap32;bswap64,false,no complete observable atom witness / composition proof
STORAGE_LIVE,OWNERSHIP,1,H5_NORMALIZED,STORAGE_LIVE,false,no complete observable atom witness / composition proof
MLIR_BUFFERIZATION_ALLOC,BINDING_MEMORY,2,MLIR_BUFFERIZATION,bufferization.alloc,false,no complete observable atom witness / composition proof
AARCH64_SVE_ZIP2,VECTOR,12,AARCH64_SVE,llvm.aarch64.sve.zip2;llvm.aarch64.sve.zip2.f16;llvm.aarch64.sve.zip2.f32;llvm.aarch64.sve.zip2.f64;llvm.aarch64.sve.zip2.i16;llvm.aarch64.sve.zip2.i32;llvm.aarch64.sve.zip2.i64;llvm.aarch64.sve.zip2.i8;llvm.aarch64.sve.zip2_m;llvm.aarch64.sve.zip2_x;llvm.aarch64.sve.zip2_z,false,no complete observable atom witness / composition proof
AARCH64_SVE_PFALSE,VECTOR_MASK,12,AARCH64_SVE,llvm.aarch64.sve.pfalse;llvm.aarch64.sve.pfalse.f16;llvm.aarch64.sve.pfalse.f32;llvm.aarch64.sve.pfalse.f64;llvm.aarch64.sve.pfalse.i16;llvm.aarch64.sve.pfalse.i32;llvm.aarch64.sve.pfalse.i64;llvm.aarch64.sve.pfalse.i8;llvm.aarch64.sve.pfalse_m;llvm.aarch64.sve.pfalse_x;llvm.aarch64.sve.pfalse_z,false,no complete observable atom witness / composition proof
AARCH64_SME_MOPA,TENSOR,6,AARCH64_SME,llvm.aarch64.sme.mopa;llvm.aarch64.sme.mopa_vg2;llvm.aarch64.sme.mopa_vg4;llvm.aarch64.sme.mopa_za32;llvm.aarch64.sme.mopa_za64,false,no complete observable atom witness / composition proof
RVV_VNCLIP,VECTOR,6,RISCV_VECTOR,llvm.riscv.vnclip;llvm.riscv.vnclip_mask;llvm.riscv.vnclip_vi;llvm.riscv.vnclip_vv;llvm.riscv.vnclip_vx,false,no complete observable atom witness / composition proof
AMDGPU_READFIRSTLANE,CONCURRENCY,2,AMDGPU_INTRINSICS;H5_NORMALIZED,AMDGPU_READFIRSTLANE;amdgcn_readfirstlane,false,no complete observable atom witness / composition proof
RVV_VFWREDOSUM,VECTOR_REDUCTION,6,RISCV_VECTOR,llvm.riscv.vfwredosum;llvm.riscv.vfwredosum_mask;llvm.riscv.vfwredosum_vi;llvm.riscv.vfwredosum_vv;llvm.riscv.vfwredosum_vx,false,no complete observable atom witness / composition proof
GPU_THREAD_ID_Y,CONCURRENCY,2,H5_NORMALIZED;NVVM_INTRINSICS,GPU_THREAD_ID_Y;llvm.nvvm.read.ptx.sreg.tid.y,false,no complete observable atom witness / composition proof
MLIR_OACC_ATOMIC_READ,CONCURRENCY,2,MLIR_OPENACC,acc.atomic_read,false,no complete observable atom witness / composition proof
MLIR_OMP_TASK,CONCURRENCY,2,MLIR_OPENMP,omp.task,false,no complete observable atom witness / composition proof
INDIRECT_BRANCH,ControlFamily,1,DECOMPILER_QUOTIENT,BRANCHIND;LLIL_JUMP_TO;goto_ptr,false,no complete observable atom witness / composition proof
X86_RDPMC,ISA_SYSTEM,2,X86_INTRINSICS,llvm.x86.rdpmc,false,no complete observable atom witness / composition proof
MLIR_SPARSE_SORT_COO,SPARSE_TENSOR,2,MLIR_SPARSE,sparse_tensor.sort_coo,false,no complete observable atom witness / composition proof
TOSA_ABS,TENSOR_ML,6,MLIR_TOSA,tosa.abs;tosa.abs.bf16;tosa.abs.f32;tosa.abs.i32;tosa.abs.i8,false,no complete observable atom witness / composition proof
MEMORY_COPY,BINDING_MEMORY,1,H5_NORMALIZED,MEMORY_COPY,false,no complete observable atom witness / composition proof
INVARIANT_START,BINDING_MEMORY,1,H5_NORMALIZED,INVARIANT_START,false,no complete observable atom witness / composition proof
X86_AMX_CMUL_FP16,TENSOR,4,X86_INTRINSICS,llvm.x86.amx_cmul_fp16;llvm.x86.amx_cmul_fp16.internal;llvm.x86.amx_cmul_fp16.tile,false,no complete observable atom witness / composition proof
IL_TAILCALL_PREFIX,FUNCTION,2,DOTNET_IL;H5_NORMALIZED,IL_TAILCALL_PREFIX;tail.,false,no complete observable atom witness / composition proof
ATOMIC_FLAG_CLEAR,CONCURRENCY_MEMORY,2,H5_NORMALIZED;SPIRV,ATOMIC_FLAG_CLEAR;OpAtomicFlagClear,false,no complete observable atom witness / composition proof
STABLEHLO_AFTER_ALL,TENSOR_ML,6,STABLEHLO_OPS,stablehlo.after_all;stablehlo.after_all.bf16;stablehlo.after_all.f32;stablehlo.after_all.i32;stablehlo.after_all.i8,false,no complete observable atom witness / composition proof
CALL_INDIRECT,FUNCTION,2,H5_NORMALIZED;WEBASSEMBLY,CALL_INDIRECT;call_indirect,false,no complete observable atom witness / composition proof
GLOBAL_STORE,BINDING_MEMORY,2,H5_NORMALIZED;WEBASSEMBLY,GLOBAL_STORE;global.set,false,no complete observable atom witness / composition proof
X86_MONITOR,ISA_SYSTEM,2,X86_INTRINSICS,llvm.x86.monitor,false,no complete observable atom witness / composition proof
RVV_VFNMSAC,VECTOR,6,RISCV_VECTOR,llvm.riscv.vfnmsac;llvm.riscv.vfnmsac_mask;llvm.riscv.vfnmsac_vi;llvm.riscv.vfnmsac_vv;llvm.riscv.vfnmsac_vx,false,no complete observable atom witness / composition proof
STABLEHLO_OUTFEED,DISTRIBUTED,6,STABLEHLO_OPS,stablehlo.outfeed;stablehlo.outfeed.bf16;stablehlo.outfeed.f32;stablehlo.outfeed.i32;stablehlo.outfeed.i8,false,no complete observable atom witness / composition proof
X86_PREFETCH_T2,ISA_SYSTEM,2,X86_INTRINSICS,llvm.x86.prefetch_t2,false,no complete observable atom witness / composition proof
GROUP_BROADCAST,CONCURRENCY,2,H5_NORMALIZED;SPIRV,GROUP_BROADCAST;OpGroupBroadcast,false,no complete observable atom witness / composition proof
AARCH64_SME_ADDVA,TENSOR,6,AARCH64_SME,llvm.aarch64.sme.addva;llvm.aarch64.sme.addva_vg2;llvm.aarch64.sme.addva_vg4;llvm.aarch64.sme.addva_za32;llvm.aarch64.sme.addva_za64,false,no complete observable atom witness / composition proof
STABLEHLO_IOTA,TENSOR_ML,6,STABLEHLO_OPS,stablehlo.iota;stablehlo.iota.bf16;stablehlo.iota.f32;stablehlo.iota.i32;stablehlo.iota.i8,false,no complete observable atom witness / composition proof
AMDGPU_CUBE_ID,ARITHMETIC,2,AMDGPU_INTRINSICS;H5_NORMALIZED,AMDGPU_CUBE_ID;amdgcn_cubeid,false,no complete observable atom witness / composition proof
RVV_VMSGE,VECTOR_MASK,6,RISCV_VECTOR,llvm.riscv.vmsge;llvm.riscv.vmsge_mask;llvm.riscv.vmsge_vi;llvm.riscv.vmsge_vv;llvm.riscv.vmsge_vx,false,no complete observable atom witness / composition proof
TOSA_MATMUL,TENSOR_ALGEBRA,6,MLIR_TOSA,tosa.matmul;tosa.matmul.bf16;tosa.matmul.f32;tosa.matmul.i32;tosa.matmul.i8,false,no complete observable atom witness / composition proof
TOSA_CONST,TENSOR_ML,6,MLIR_TOSA,tosa.const;tosa.const.bf16;tosa.const.f32;tosa.const.i32;tosa.const.i8,false,no complete observable atom witness / composition proof
MLIR_GPU_CREATE_2_TO4_SP,GPU,2,MLIR_GPU,gpu.create_2to4_sp,false,no complete observable atom witness / composition proof
FUNNEL_SHIFT_LEFT,BITWISE,1,H5_NORMALIZED,FUNNEL_SHIFT_LEFT,false,no complete observable atom witness / composition proof
MLIR_COMPLEX_SINH,COMPLEX,2,MLIR_COMPLEX,complex.sinh,false,no complete observable atom witness / composition proof
HEXAGON_HVX_VSUBH,VECTOR,2,HEXAGON_HVX,llvm.hexagon.vsubh,false,no complete observable atom witness / composition proof
X86_PREFETCH_T0,ISA_SYSTEM,2,X86_INTRINSICS,llvm.x86.prefetch_t0,false,no complete observable atom witness / composition proof
ATOMIC_NOTIFY,CONCURRENCY,2,H5_NORMALIZED;WEBASSEMBLY,ATOMIC_NOTIFY;memory.atomic.notify,false,no complete observable atom witness / composition proof
TOSA_CLZ,TENSOR_ML,6,MLIR_TOSA,tosa.clz;tosa.clz.bf16;tosa.clz.f32;tosa.clz.i32;tosa.clz.i8,false,no complete observable atom witness / composition proof
V8_TURBOSHAFT_ATOMIC_WORD32_PAIR,DYNAMIC_LANGUAGE,1,V8_TURBOSHAFT,ATOMIC_WORD32_PAIR,false,no complete observable atom witness / composition proof
GC_STRUCT_GET,OBJECT,2,H5_NORMALIZED;WEBASSEMBLY,GC_STRUCT_GET;struct.get,false,no complete observable atom witness / composition proof
BPF_MAP_LOOKUP_ELEM,BPF_VM,2,BPF_INTRINSICS,llvm.bpf.map_lookup_elem,false,no complete observable atom witness / composition proof
GPU_FAST_SIN,ARITHMETIC,2,H5_NORMALIZED;NVVM_INTRINSICS,GPU_FAST_SIN;sin.approx,false,no complete observable atom witness / composition proof
IL_ARGLIST,FUNCTION,2,DOTNET_IL;H5_NORMALIZED,IL_ARGLIST;arglist,false,no complete observable atom witness / composition proof
BPF_PRESERVE_ACCESS_INDEX,BPF_VM,2,BPF_INTRINSICS,llvm.bpf.preserve_access_index,false,no complete observable atom witness / composition proof
X86_AMX_DP_BHF8_PS,TENSOR,4,X86_INTRINSICS,llvm.x86.amx_dp_bhf8ps;llvm.x86.amx_dp_bhf8ps.internal;llvm.x86.amx_dp_bhf8ps.tile,false,no complete observable atom witness / composition proof
