candidate_id,family_hint,raw_names
GHIDRA_INT_MULT,UNCLASSIFIED,INT_MULT
RECOVER_SCOPE_CLOSURE_CAPTURE_RECOVER,ScopeFamily,TransformDisplayClassUsage
GHIDRA_LOAD,UNCLASSIFIED,LOAD
ROUND,ARITHMETIC,FLOAT_ROUND;LLIL_ROUND_TO_INT;ROUND;RZ_IL_OP_FROUND;math.round
RECOVER_RESOURCE_USING_CLEANUP_RECOVER,ResourceFamily,UsingTransform
EFFECTS_SIDE_EFFECT,EffectFamily,RtlSideEffect
RECOVER_CALL_EXTENSION_METHOD_RECOVER,CallFamily,IntroduceExtensionMethods
RECOVER_CALL_NAMED_ARGUMENT_RECOVER,CallFamily,NamedArgumentTransform
BRANCH,CONTROL,BRANCH;BRANCH;Branch;LLIL_GOTO;LLIL_JUMP;RZ_IL_OP_BRANCH;RZ_IL_OP_GOTO;RtlGoto;RtlMicroGoto;exit_tb;goto_tb;InvalidBranch
CONTROL_EXIT_POINTS,ControlFamily,DetectExitPoints
REPRESENTATION_ONLY,RepresentationFamily,ARRAY_NODE;Arglist;BinaryNumericInstruction;CPOOLREF;CachedReadOnlySpanInitialization;DebugBreak;DynamicGetIndexInstruction;DynamicGetMemberInstruction;DynamicIsEventInstruction;DynamicSetIndexInstruction;DynamicSetMemberInstruction;IFF_NODE;LLIL_CLS;LLIL_CONST;LLIL_FLAG_COND;LdFtn;LdLen;LdMemberToken;LdVirtDelegate;LdVirtFtn;MakeRefAny;NullCoalescingInstruction;RZ_IL_OP_B0;RZ_IL_OP_B1;RZ_IL_OP_FPRED;RZ_IL_OP_FSUCC;RZ_IL_OP_INV;RZ_IL_OP_IS_ZERO;RZ_IL_OP_JMP;RZ_IL_OP_LSB;RZ_IL_OP_MSB;RefAnyValue;SEGMENTOP;StringToInt;plugin_cb;plugin_mem_cb;FLOAT_FLOAT2FLOAT;FLOAT_INT2FLOAT;FLOAT_NAN;LLIL_FLOAT_CONST;RZ_IL_OP_FLOAT;RZ_IL_OP_FMAD;RZ_IL_OP_FPOW;INT_CARRY;INT_SCARRY;LLIL_ADC;LLIL_RLC;LLIL_RRC;LLIL_SBB;RZ_IL_OP_BITV;dup_vec;dupm_vec
RECOVER_PATTERN_STATEMENT_RECOVER,PatternFamily,PatternStatementTransform
GHIDRA_FLOAT_LESSEQUAL,UNCLASSIFIED,FLOAT_LESSEQUAL
GHIDRA_BOOL_XOR,UNCLASSIFIED,BOOL_XOR
GHIDRA_INT_SEXT,UNCLASSIFIED,INT_SEXT
EXPR_RECOVERY,RECOVER,EXPR_RECOVERY
RECOVER_CALL_DELEGATE_CACHE_RECOVER,CallFamily,CachedDelegateInitialization
RECOVER_RESOURCE_LOCK_RECOVER,ResourceFamily,LockTransform
RECOVER_SCOPE_LOCAL_FUNCTION_RECOVER,ScopeFamily,LocalFunctionDecompiler
GHIDRA_FLOAT_ADD,UNCLASSIFIED,FLOAT_ADD
GHIDRA_CALLIND,UNCLASSIFIED,CALLIND
SQRT,ARITHMETIC,FLOAT_SQRT;LLIL_FSQRT;SQRT
GHIDRA_FLOAT_DIV,UNCLASSIFIED,FLOAT_DIV
GHIDRA_FLOAT_MULT,UNCLASSIFIED,FLOAT_MULT
GHIDRA_FLOAT_NAN,UNCLASSIFIED,FLOAT_NAN
RECOVER_BINDING_ASSIGNMENT_RECOVER,BindingFamily,TransformAssignment
RECOVER_LIFETIME_SCOPED_RECOVER,LifetimeFamily,IntroduceScopedModifierOnLocals
GHIDRA_FLOAT_SUB,UNCLASSIFIED,FLOAT_SUB
SELECT,RepresentationFamily,Ckfinite;ITE_NODE;RZ_IL_OP_ITE;SELECT;SELECT_NODE;bitsel_vec;cmpsel_vec
GHIDRA_FLOAT_ROUND,UNCLASSIFIED,FLOAT_ROUND
GHIDRA_INT_RIGHT,UNCLASSIFIED,INT_RIGHT
RECOVER_EXCEPTION_FILTER_RECOVER,ExceptionFamily,DetectCatchWhenConditionBlocks
RECOVERY,,Recovery
RECOVER_CALL_DYNAMIC_EVENT_ASSIGNMENT,CallFamily,DynamicIsEventAssignmentTransform
NO_RECOVERY,RECOVER,NO_RECOVERY
RECOVER_BINDING_DECLARATION_RECOVER,BindingFamily,DeclareVariables
GHIDRA_COPY,UNCLASSIFIED,COPY
RECOVER_TYPE_REF_READONLY_RECOVER,TypeFamily,IntroduceRefReadOnlyModifierOnLocals
GHIDRA_INT_ZEXT,UNCLASSIFIED,INT_ZEXT
GHIDRA_FLOAT_TRUNC,UNCLASSIFIED,FLOAT_TRUNC
RECOVER_BINDING_VARIABLE_NAME_RECOVER,BindingFamily,AssignVariableNames
GHIDRA_SUBPIECE,UNCLASSIFIED,SUBPIECE
RECOVER_PATTERN_DECONSTRUCTION_RECOVER,PatternFamily,DeconstructionTransform
GHIDRA_INT_REM,UNCLASSIFIED,INT_REM
RECOVER_REPRESENTATION_INTERPOLATED_STRING,RepresentationFamily,InterpolatedStringTransform
GHIDRA_CPOOLREF,UNCLASSIFIED,CPOOLREF
EXTEND,TypeFamily,INT_SEXT;INT_ZEXT;SX_NODE;ZX_NODE;ext_i32_i64;extu_i32_i64
RECOVER_CONTROL_REMOVE_INFEASIBLE,ControlFamily,RemoveInfeasiblePathTransform
GHIDRA_INT_SREM,UNCLASSIFIED,INT_SREM
EXTRACT,TypeFamily,EXTRACT_NODE;SPULL;ZPULL;extract;extract2;sextract
GHIDRA_BOOL_NEGATE,UNCLASSIFIED,BOOL_NEGATE
RECOVERYEXPR,RECOVER,RECOVERYEXPR
RECOVER_NUMERIC_CHECKED_CONTEXT_RECOVER,NumericFamily,AddCheckedBlocks
GHIDRA_FLOAT_NOTEQUAL,UNCLASSIFIED,FLOAT_NOTEQUAL
INVALID,ValidationFamily,INVALID_NODE;InvalidExpression;RtlInvalid;UNIMPLEMENTED;discard
BINDING_NAME_COLLISION,BindingFamily,FixNameCollisions
GHIDRA_LZCOUNT,UNCLASSIFIED,LZCOUNT
RECOVER_TYPE_NATIVE_INT_RECOVER,TypeFamily,IntroduceNativeIntTypeOnLocals
RECOVER_REPRESENTATION_COLLECTION_OBJECT_INITIALIZER,RepresentationFamily,TransformCollectionAndObjectInitializers
RECOVER_REPRESENTATION_EXPRESSION_TREE,RepresentationFamily,TransformExpressionTrees
RECOVER_NUMERIC_INCREMENT_RECOVER,NumericFamily,FixRemainingIncrements
RECOVER_EXPRESSION_NORMALIZE,ExpressionFamily,ExpressionTransforms
GHIDRA_PIECE,UNCLASSIFIED,PIECE
GHIDRA_INT_SLESS,UNCLASSIFIED,INT_SLESS
RECOVER_CONTROL_RETURN_INLINE,ControlFamily,InlineReturnTransform
VALIDATION_ONLY,ValidationFamily,ANY_NODE;ASSERT_NODE;AnyNode
GHIDRA_INT_CARRY,UNCLASSIFIED,INT_CARRY
GHIDRA_UNIMPLEMENTED,UNCLASSIFIED,UNIMPLEMENTED
RECOVER_TYPE_UNSAFE_MODIFIER_RECOVER,TypeFamily,IntroduceUnsafeModifier
RECOVER_TYPE_NULLABLE_LIFT,TypeFamily,NullableLiftingStatementTransform
GHIDRA_INT_XOR,UNCLASSIFIED,INT_XOR
GHIDRA_BRANCHIND,UNCLASSIFIED,BRANCHIND
GHIDRA_INT_2_COMP,UNCLASSIFIED,INT_2COMP
NOP,CONTROL,NOP;Nop;RtlNop
RECOVER_EXPRESSION_NORMALIZE_EARLY,ExpressionFamily,EarlyExpressionTransforms
GHIDRA_INT_AND,UNCLASSIFIED,INT_AND
GHIDRA_INT_SDIV,UNCLASSIFIED,INT_SDIV
GHIDRA_FLOAT_FLOOR,UNCLASSIFIED,FLOAT_FLOOR
GHIDRA_INT_LESS,UNCLASSIFIED,INT_LESS
RECOVER_LOGIC_USER_DEFINED_RECOVER,LogicFamily,UserDefinedLogicTransform
GHIDRA_INT_SLESSEQUAL,UNCLASSIFIED,INT_SLESSEQUAL
RECOVER_CALL_DYNAMIC_RECOVER,CallFamily,DynamicCallSiteTransform
TRUNC,RepresentationFamily,FLOAT_TRUNC;LLIL_FTRUNC
GHIDRA_FLOAT_CEIL,UNCLASSIFIED,FLOAT_CEIL
EFFECTS_MACHINE,EffectFamily,mb
RECOVER_EXPRESSION_OPERATOR_RECOVER,ExpressionFamily,ReplaceMethodCallsWithOperators
RECOVER_REPRESENTATION_ARRAY_INITIALIZER,RepresentationFamily,TransformArrayInitializers
GHIDRA_POPCOUNT,UNCLASSIFIED,POPCOUNT
GHIDRA_NEW,UNCLASSIFIED,NEW
SCOPE_SEMANTIC,ScopeFamily,ILFunction;set_label
GHIDRA_INT_LEFT,UNCLASSIFIED,INT_LEFT
BIND,LifetimeFamily,DECLARE_NODE;LLIL_SET_FLAG;LLIL_SET_REG;LLIL_SET_REG_SPLIT;LdLoc;REFERENCE_NODE;RZ_IL_OP_LET;SplitVariables;StLoc;VARIABLE_NODE;GetPinnableReference;LET_NODE
GHIDRA_FLOAT_FLOAT2_FLOAT,UNCLASSIFIED,FLOAT_FLOAT2FLOAT
GHIDRA_INT_LESSEQUAL,UNCLASSIFIED,INT_LESSEQUAL
GHIDRA_CALLOTHER,UNCLASSIFIED,CALLOTHER
GHIDRA_FLOAT_INT2_FLOAT,UNCLASSIFIED,FLOAT_INT2FLOAT
