feature,family,compiler_frontend_core,core_types_descriptors,ir_codegen_backends,stdlib_contract,native_runtime,interop_abi,spec_docs,behavior_tests,plugins_extensions,tools_build,other,weighted_evidence,unique_evidence_files
kotlin.range_progression_iteration,collections_iteration,0,0,5,7,0,0,0,602,0,0,2,261.880000,616
kotlin.labeled_control_flow,control_patterns,0,0,0,0,0,0,0,0,0,0,0,0.000000,0
kotlin.nonlocal_return,closures_inline,0,0,1,0,0,0,0,149,2,0,0,64.120000,152
kotlin.try_expression,exceptions_cleanup,0,0,0,0,0,0,0,1,4,0,0,1.700000,5
kotlin.exception_throw_catch_finally,exceptions_cleanup,8,8,56,47,15,14,7,872,16,10,35,498.880000,1088
kotlin.inline_function,closures_inline,1,0,253,0,0,0,0,162,24,68,0,319.380000,508
kotlin.crossinline_noinline,closures_inline,0,0,4,0,0,0,1,170,7,0,0,77.940000,182
kotlin.contracts_dsl,compiletime_contracts,1,12,0,3,0,0,0,570,1,4,2,255.060000,593
kotlin.calls_in_place_effect,compiletime_contracts,0,0,0,0,0,0,0,62,0,0,0,26.040000,62
kotlin.returns_implies_effect,compiletime_contracts,0,0,0,0,0,0,0,28,0,0,0,11.760000,28
kotlin.suspend_resume,coroutines_concurrency,1,1,76,2,2,22,2,724,16,10,9,402.690000,865
kotlin.continuation_state_machine,coroutines_concurrency,1,0,0,7,3,0,0,18,0,0,0,15.240000,29
kotlin.coroutine_suspension_points,coroutines_concurrency,2,0,22,54,9,60,0,965,0,5,5,512.400000,1122
kotlin.suspend_lambda,coroutines_concurrency,0,0,1,0,0,0,1,32,1,0,0,15.360000,35
kotlin.expect_actual,multiplatform_interop,0,3,2,0,0,0,0,188,4,8,0,86.650000,205
kotlin.jvm_boxing_unboxing,memory_abi,2,0,4,2,2,0,0,166,1,0,0,78.440000,177
kotlin.java_nullability_enhancement,multiplatform_interop,0,0,0,0,0,0,0,0,0,0,0,0.000000,0
kotlin.jvm_signature_mangling,memory_abi,0,0,1,0,0,1,0,33,1,0,24,18.200000,60
kotlin.js_dynamic_external,multiplatform_interop,0,0,0,0,0,0,0,0,0,0,0,0.000000,0
kotlin.native_c_objc_interop,multiplatform_interop,6,2,9,5,11,140,1,1092,1,329,47,665.220000,1643
kotlin.klib_metadata,multiplatform_interop,86,13,0,10,0,28,3,2263,35,441,30,1188.490000,2909
kotlin.fir_semantic_resolution,ir_backends,0,0,0,0,0,0,0,3,1,0,0,1.580000,4
kotlin.fir_data_flow,ir_backends,0,0,3,0,0,1,0,1069,6,0,0,454.320000,1079
kotlin.fir_to_ir,ir_backends,0,0,0,0,0,0,1,13,2,0,0,6.800000,16
kotlin.ir_semantics,ir_backends,1,0,1,0,0,6,0,995,114,0,4,461.000000,1121
kotlin.jvm_backend_lowering,ir_backends,0,0,0,0,0,0,0,0,0,0,1,0.100000,1
kotlin.js_backend_lowering,ir_backends,0,0,3470,0,0,0,0,0,0,0,0,3123.000000,3470
kotlin.native_backend_lowering,ir_backends,204,1,64,0,2,6,0,196,2,14,162,370.670000,651
kotlin.wasm_backend_lowering,ir_backends,1,3,77,349,0,0,1,454,4,175,3,520.990000,1067
kotlin.compiler_plugin_extension_points,ir_backends,0,0,0,0,0,0,0,0,4,0,0,1.280000,4
kotlin.const_evaluation,compiletime_contracts,0,0,0,0,0,0,0,52,1,0,0,22.160000,53
