feature,family,normalized_importance,coverage_score,base_gap,unique_evidence_files,dominant_source_groups
kotlin.backing_field_accessor,declarations_objects,0.727163,0.080700,0.668481,505,behavior_tests;ir_codegen_backends;plugins_extensions;interop_abi
kotlin.constructor_init_order,declarations_objects,0.508694,0.080700,0.467642,16,behavior_tests
kotlin.internal_visibility,declarations_objects,0.324000,0.080700,0.297853,0,
kotlin.annotation_use_site,declarations_objects,0.806389,0.080700,0.741313,3261,behavior_tests;plugins_extensions;core_types_descriptors;tools_build
kotlin.context_receivers_parameters,declarations_objects,0.421065,0.080700,0.387085,18,plugins_extensions;tools_build;behavior_tests
kotlin.operator_overloading,calls_resolution,0.438230,0.120200,0.385555,3,behavior_tests
kotlin.infix_function,calls_resolution,0.391685,0.120200,0.344605,10,behavior_tests
kotlin.named_arguments,calls_resolution,0.609620,0.224600,0.472699,44,behavior_tests;ir_codegen_backends
kotlin.default_arguments,calls_resolution,0.749380,0.199800,0.599654,345,behavior_tests;ir_codegen_backends;tools_build;plugins_extensions
kotlin.vararg_spread,calls_resolution,0.754796,0.120200,0.664070,560,behavior_tests;interop_abi;ir_codegen_backends;plugins_extensions
kotlin.trailing_lambda,calls_resolution,0.399720,0.120200,0.351673,7,behavior_tests
kotlin.implicit_receiver_tower,calls_resolution,0.414000,0.120200,0.364237,0,
kotlin.overload_resolution,calls_resolution,0.620296,0.120200,0.545737,25,behavior_tests;compiler_frontend_core
kotlin.member_extension_resolution,calls_resolution,0.405000,0.120200,0.356319,0,
kotlin.sam_conversion,calls_resolution,0.612332,0.120200,0.538730,148,behavior_tests;tools_build;core_types_descriptors;plugins_extensions
kotlin.callable_reference,calls_resolution,0.800637,0.120200,0.704401,1303,behavior_tests;ir_codegen_backends;plugins_extensions;compiler_frontend_core
kotlin.reflection_kclass,calls_resolution,0.705216,0.120200,0.620449,1032,behavior_tests;core_types_descriptors;stdlib_contract;ir_codegen_backends
kotlin.destructuring_component,calls_resolution,0.696060,0.120200,0.612393,435,behavior_tests;ir_codegen_backends;plugins_extensions
kotlin.when_expression,control_patterns,0.548585,0.096800,0.495482,14,behavior_tests;tools_build
kotlin.when_exhaustiveness,control_patterns,0.657508,0.096800,0.593861,92,behavior_tests;interop_abi;spec_docs
kotlin.range_progression_iteration,collections_iteration,0.731823,0.123000,0.641809,616,behavior_tests;ir_codegen_backends;stdlib_contract;other
kotlin.labeled_control_flow,control_patterns,0.337500,0.096800,0.304830,0,
kotlin.nonlocal_return,closures_inline,0.667944,0.117200,0.589661,152,behavior_tests;ir_codegen_backends;plugins_extensions
kotlin.try_expression,exceptions_cleanup,0.409888,0.044400,0.391689,5,plugins_extensions;behavior_tests
kotlin.exception_throw_catch_finally,exceptions_cleanup,0.793749,0.059700,0.746362,1088,behavior_tests;ir_codegen_backends;stdlib_contract;native_runtime
kotlin.inline_function,closures_inline,0.790343,0.117200,0.697715,508,ir_codegen_backends;behavior_tests;tools_build;plugins_extensions
kotlin.crossinline_noinline,closures_inline,0.667598,0.117200,0.589355,182,behavior_tests;ir_codegen_backends;plugins_extensions;spec_docs
kotlin.contracts_dsl,compiletime_contracts,0.748026,0.039900,0.718180,593,behavior_tests;core_types_descriptors;stdlib_contract;compiler_frontend_core
kotlin.calls_in_place_effect,compiletime_contracts,0.594370,0.039900,0.570655,62,behavior_tests
kotlin.returns_implies_effect,compiletime_contracts,0.498040,0.039900,0.478168,28,behavior_tests
kotlin.suspend_resume,coroutines_concurrency,0.860142,0.023300,0.840100,865,behavior_tests;ir_codegen_backends;interop_abi;plugins_extensions
kotlin.continuation_state_machine,coroutines_concurrency,0.640523,0.023300,0.625599,29,behavior_tests;stdlib_contract;native_runtime;compiler_frontend_core
kotlin.coroutine_suspension_points,coroutines_concurrency,0.840573,0.023300,0.820988,1122,behavior_tests;interop_abi;stdlib_contract;ir_codegen_backends
kotlin.suspend_lambda,coroutines_concurrency,0.560026,0.023300,0.546977,35,behavior_tests;ir_codegen_backends;spec_docs;plugins_extensions
kotlin.expect_actual,multiplatform_interop,0.710752,0.040200,0.682179,205,behavior_tests;core_types_descriptors;ir_codegen_backends;tools_build
kotlin.jvm_boxing_unboxing,memory_abi,0.614029,0.045500,0.586091,177,behavior_tests;ir_codegen_backends;compiler_frontend_core;native_runtime
kotlin.java_nullability_enhancement,multiplatform_interop,0.369000,0.040200,0.354166,0,
kotlin.jvm_signature_mangling,memory_abi,0.525967,0.045500,0.502035,60,behavior_tests;other;ir_codegen_backends;interop_abi
kotlin.js_dynamic_external,multiplatform_interop,0.279000,0.040200,0.267784,0,
kotlin.native_c_objc_interop,multiplatform_interop,0.768383,0.040200,0.737494,1643,behavior_tests;interop_abi;tools_build;native_runtime
kotlin.klib_metadata,multiplatform_interop,0.799002,0.046200,0.762088,2909,behavior_tests;tools_build;compiler_frontend_core;interop_abi
kotlin.fir_semantic_resolution,ir_backends,0.492281,0.018800,0.483026,4,behavior_tests;plugins_extensions
kotlin.fir_data_flow,ir_backends,0.823368,0.018800,0.807888,1079,behavior_tests;ir_codegen_backends;plugins_extensions;interop_abi
kotlin.fir_to_ir,ir_backends,0.554398,0.018800,0.543976,16,behavior_tests;spec_docs;plugins_extensions
kotlin.ir_semantics,ir_backends,0.824363,0.018800,0.808865,1121,behavior_tests;plugins_extensions;interop_abi;compiler_frontend_core
kotlin.jvm_backend_lowering,ir_backends,0.366514,0.018800,0.359624,1,other
kotlin.js_backend_lowering,ir_backends,0.874000,0.018800,0.857569,3470,ir_codegen_backends
kotlin.native_backend_lowering,ir_backends,0.746493,0.018800,0.732459,651,compiler_frontend_core;behavior_tests;ir_codegen_backends;other
kotlin.wasm_backend_lowering,ir_backends,0.724708,0.018800,0.711083,1067,stdlib_contract;behavior_tests;ir_codegen_backends;tools_build
kotlin.compiler_plugin_extension_points,ir_backends,0.348832,0.018800,0.342274,4,plugins_extensions
kotlin.const_evaluation,compiletime_contracts,0.574783,0.039900,0.551850,53,behavior_tests;plugins_extensions
