feature,tree_node,structured_type,binding_scope_graph,control_data_graph,effect_graph,operation_semantics,direct_interpreter,backend_declared_capability,dialect_preservation
kotlin.jvm_boxing_unboxing,0.000,0.180,0.000,0.000,0.050,0.020,0.000,0.000,0.250
kotlin.java_nullability_enhancement,0.000,0.100,0.030,0.000,0.000,0.020,0.000,0.000,0.350
kotlin.jvm_signature_mangling,0.000,0.180,0.000,0.000,0.050,0.020,0.000,0.000,0.250
kotlin.js_dynamic_external,0.000,0.100,0.030,0.000,0.000,0.020,0.000,0.000,0.350
kotlin.native_c_objc_interop,0.000,0.100,0.030,0.000,0.000,0.020,0.000,0.000,0.350
kotlin.klib_metadata,0.000,0.100,0.030,0.000,0.000,0.020,0.000,0.000,0.450
kotlin.fir_semantic_resolution,0.000,0.000,0.000,0.030,0.000,0.020,0.000,0.000,0.200
kotlin.fir_data_flow,0.000,0.000,0.000,0.030,0.000,0.020,0.000,0.000,0.200
kotlin.fir_to_ir,0.000,0.000,0.000,0.030,0.000,0.020,0.000,0.000,0.200
kotlin.ir_semantics,0.000,0.000,0.000,0.030,0.000,0.020,0.000,0.000,0.200
kotlin.jvm_backend_lowering,0.000,0.000,0.000,0.030,0.000,0.020,0.000,0.000,0.200
kotlin.js_backend_lowering,0.000,0.000,0.000,0.030,0.000,0.020,0.000,0.000,0.200
kotlin.native_backend_lowering,0.000,0.000,0.000,0.030,0.000,0.020,0.000,0.000,0.200
kotlin.wasm_backend_lowering,0.000,0.000,0.000,0.030,0.000,0.020,0.000,0.000,0.200
kotlin.compiler_plugin_extension_points,0.000,0.000,0.000,0.030,0.000,0.020,0.000,0.000,0.200
kotlin.const_evaluation,0.000,0.080,0.040,0.040,0.050,0.020,0.000,0.000,0.200
