feature,family,importance,coverage,base_gap,evidence_files,dominant_source_groups,detection_terms
kotlin.data_class,declarations_objects,0.708371,0.080700,0.651205,327,behavior_tests;ir_codegen_backends;plugins_extensions;compiler_frontend_core,dataclass;data class;copy$default
kotlin.sealed_class_interface,declarations_objects,0.701949,0.080700,0.645301,363,behavior_tests;tools_build;ir_codegen_backends;interop_abi,sealed;sealed class;sealed interface
kotlin.variance_in_out,types_inference_generics,0.698894,0.083400,0.640606,164,behavior_tests;ir_codegen_backends;tools_build;plugins_extensions,variance;out-projection;in-projection;declaration-site variance
kotlin.value_class,declarations_objects,0.678188,0.074200,0.627867,205,behavior_tests;ir_codegen_backends;plugins_extensions;core_types_descriptors,valueclass;value class;inline class
kotlin.unsigned_integer_types,types_inference_generics,0.687437,0.087300,0.627423,596,behavior_tests;stdlib_contract;ir_codegen_backends;native_runtime,ubyte;ushort;uint;ulong;unsigned
kotlin.reflection_kclass,calls_resolution,0.705216,0.120200,0.620449,1032,behavior_tests;core_types_descriptors;stdlib_contract;ir_codegen_backends,kclass;reflection;callable reference
kotlin.destructuring_component,calls_resolution,0.696060,0.120200,0.612393,435,behavior_tests;ir_codegen_backends;plugins_extensions,destructuring;component1;component2;multidecl
kotlin.intersection_type,types_inference_generics,0.663678,0.083400,0.608327,171,behavior_tests;core_types_descriptors;tools_build,intersectiontype;intersection type
kotlin.enum_entry_semantics,declarations_objects,0.659873,0.080700,0.606621,253,behavior_tests;ir_codegen_backends;stdlib_contract;tools_build,enumentry;enum entry;enumentries
kotlin.companion_object,declarations_objects,0.656748,0.080700,0.603748,243,behavior_tests;tools_build;plugins_extensions;ir_codegen_backends,companion object;companionobject
kotlin.function_type,types_inference_generics,0.697752,0.135400,0.603276,183,behavior_tests;ir_codegen_backends;core_types_descriptors;plugins_extensions,functiontype;function type
kotlin.non_null_assertion,nullability_flow,0.655051,0.081400,0.601730,88,behavior_tests;compiler_frontend_core;other,notnullassert;not-null assertion;!!
kotlin.default_arguments,calls_resolution,0.749380,0.199800,0.599654,345,behavior_tests;ir_codegen_backends;tools_build;plugins_extensions,default argument;defaultargument;default value
kotlin.when_exhaustiveness,control_patterns,0.657508,0.096800,0.593861,92,behavior_tests;interop_abi;spec_docs,exhaustive when;when exhaustiveness;exhaustiveness
kotlin.captured_type,types_inference_generics,0.642121,0.083400,0.588568,142,behavior_tests;core_types_descriptors;plugins_extensions,capturedtype;captured type
kotlin.object_singleton,declarations_objects,0.627004,0.080700,0.576405,138,behavior_tests;plugins_extensions;ir_codegen_backends;tools_build,object declaration;objectliteral;singleton
kotlin.calls_in_place_effect,compiletime_contracts,0.594370,0.039900,0.570655,62,behavior_tests,callsinplace;calls in place;invocationkind
kotlin.platform_flexible_type,nullability_flow,0.617681,0.081400,0.567402,84,behavior_tests;core_types_descriptors;compiler_frontend_core;plugins_extensions,flexibletype;platform type;flexible type
kotlin.const_evaluation,compiletime_contracts,0.574783,0.039900,0.551850,53,behavior_tests;plugins_extensions,const evaluation;constant evaluation;consteval;intrinsicconst
kotlin.star_projection,types_inference_generics,0.600925,0.083400,0.550807,81,behavior_tests;plugins_extensions;tools_build;core_types_descriptors,starprojection;star projection
kotlin.overload_resolution,calls_resolution,0.620296,0.120200,0.545737,25,behavior_tests;compiler_frontend_core,overload resolution;overloadresolution;candidate resolver
kotlin.sam_conversion,calls_resolution,0.612332,0.120200,0.538730,148,behavior_tests;tools_build;core_types_descriptors;plugins_extensions,sam conversion;samconversion;single abstract method
kotlin.nothing_type,types_inference_generics,0.583213,0.083400,0.534573,60,behavior_tests,kotlin.nothing;nothingtype;nothing type
kotlin.suspend_function_type,types_inference_generics,0.564088,0.083400,0.517043,32,behavior_tests;core_types_descriptors;tools_build;other,suspendfunctiontype;suspend function type
kotlin.type_inference_constraint_system,types_inference_generics,0.559179,0.083400,0.512544,8,behavior_tests;compiler_frontend_core,type inference;constraintsystem;constraint system
kotlin.when_expression,control_patterns,0.548585,0.096800,0.495482,14,behavior_tests;tools_build,when expression;whenexpression;when branch
kotlin.returns_implies_effect,compiletime_contracts,0.498040,0.039900,0.478168,28,behavior_tests,returnsimplies;returns implies;conditional effect
kotlin.named_arguments,calls_resolution,0.609620,0.224600,0.472699,44,behavior_tests;ir_codegen_backends,named argument;namedargument
kotlin.constructor_init_order,declarations_objects,0.508694,0.080700,0.467642,16,behavior_tests,primary constructor;secondary constructor;init block;delegatingconstructorcall
kotlin.builder_inference,types_inference_generics,0.475385,0.083400,0.435738,26,behavior_tests,builderinference;builder inference
kotlin.definitely_non_null_type,nullability_flow,0.473370,0.081400,0.434838,15,behavior_tests,definitelynonnullable;definitely non-null;definitelynonnull
kotlin.unit_type,types_inference_generics,0.459433,0.083400,0.421117,25,behavior_tests,kotlin.unit;unittype;unit type
kotlin.receiver_function_type,types_inference_generics,0.451643,0.087300,0.412214,8,behavior_tests,extensionfunctiontype;receiver function type;extension function type
kotlin.context_receivers_parameters,declarations_objects,0.421065,0.080700,0.387085,18,plugins_extensions;tools_build;behavior_tests,context receiver;context parameter;contextreceivers
kotlin.operator_overloading,calls_resolution,0.438230,0.120200,0.385555,3,behavior_tests,operator fun;operatorfunction;operator convention
kotlin.generic_where_constraints,types_inference_generics,0.419967,0.083400,0.384942,1,behavior_tests,where clause;type parameter bound;upper bound
kotlin.extension_function_property,declarations_objects,0.414000,0.080700,0.380590,0,,extension function;extension property;receiver type
kotlin.implicit_receiver_tower,calls_resolution,0.414000,0.120200,0.364237,0,,tower resolver;implicit receiver;receivertower
kotlin.member_extension_resolution,calls_resolution,0.405000,0.120200,0.356319,0,,extension receiver;dispatch receiver;member extension
kotlin.trailing_lambda,calls_resolution,0.399720,0.120200,0.351673,7,behavior_tests,trailing lambda;trailinglambda
kotlin.infix_function,calls_resolution,0.391685,0.120200,0.344605,10,behavior_tests,infix fun;infixfunction
kotlin.labeled_control_flow,control_patterns,0.337500,0.096800,0.304830,0,,labeled return;labelled return;break@;continue@;return@
kotlin.internal_visibility,declarations_objects,0.324000,0.080700,0.297853,0,,internal visibility;visibility internal;internal declaration
