feature,nullability_flow,types_inference_generics,declarations_objects,calls_resolution,control_patterns,closures_inline,exceptions_cleanup,coroutines_concurrency,multiplatform_interop,memory_abi,compiletime_contracts,ir_backends,collections_iteration,core_runtime_effects
time,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tuple,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tuple_type,0,1,0,0,0,0,0,0,0,0,0,0,0,0
type_inference,0,1,0,0,0,0,0,0,0,0,0,0,0,0
unary_op,0,0,0,0,0,0,0,0,0,0,0,0,0,1
union_sum,0,1,0,0,0,0,0,0,0,0,0,0,0,0
unsafe,0,0,0,0,0,0,0,0,0,1,0,0,0,0
variable,0,0,0,0,0,0,0,0,0,0,0,0,0,1
visibility,0,0,1,0,0,0,0,0,0,0,0,0,0,0
while,0,0,0,0,1,0,0,0,0,0,0,0,0,0
yield,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kotlin.nullable_type,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.null_safety_flow,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.safe_call,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.elvis_operator,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.non_null_assertion,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.smart_cast,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.platform_flexible_type,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.definitely_non_null_type,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.intersection_type,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.captured_type,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.type_alias,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.variance_in_out,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.star_projection,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.generic_where_constraints,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.type_inference_constraint_system,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.builder_inference,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.reified_type_parameter,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.function_type,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.receiver_function_type,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.suspend_function_type,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.unit_type,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.nothing_type,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.unsigned_integer_types,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kotlin.value_class,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kotlin.data_class,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kotlin.sealed_class_interface,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kotlin.enum_entry_semantics,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kotlin.object_singleton,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kotlin.companion_object,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kotlin.extension_function_property,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kotlin.delegated_property,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kotlin.backing_field_accessor,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kotlin.constructor_init_order,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kotlin.internal_visibility,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kotlin.annotation_use_site,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kotlin.context_receivers_parameters,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kotlin.operator_overloading,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kotlin.infix_function,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kotlin.named_arguments,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kotlin.default_arguments,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kotlin.vararg_spread,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kotlin.trailing_lambda,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kotlin.implicit_receiver_tower,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kotlin.overload_resolution,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kotlin.member_extension_resolution,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kotlin.sam_conversion,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kotlin.callable_reference,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kotlin.reflection_kclass,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kotlin.destructuring_component,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kotlin.when_expression,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kotlin.when_exhaustiveness,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kotlin.range_progression_iteration,0,0,0,0,0,0,0,0,0,0,0,0,1,0
kotlin.labeled_control_flow,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kotlin.nonlocal_return,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kotlin.try_expression,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kotlin.exception_throw_catch_finally,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kotlin.inline_function,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kotlin.crossinline_noinline,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kotlin.contracts_dsl,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kotlin.calls_in_place_effect,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kotlin.returns_implies_effect,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kotlin.suspend_resume,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kotlin.continuation_state_machine,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kotlin.coroutine_suspension_points,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kotlin.suspend_lambda,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kotlin.expect_actual,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kotlin.jvm_boxing_unboxing,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kotlin.java_nullability_enhancement,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kotlin.jvm_signature_mangling,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kotlin.js_dynamic_external,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kotlin.native_c_objc_interop,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kotlin.klib_metadata,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kotlin.fir_semantic_resolution,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kotlin.fir_data_flow,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kotlin.fir_to_ir,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kotlin.ir_semantics,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kotlin.jvm_backend_lowering,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kotlin.js_backend_lowering,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kotlin.native_backend_lowering,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kotlin.wasm_backend_lowering,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kotlin.compiler_plugin_extension_points,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kotlin.const_evaluation,0,0,0,0,0,0,0,0,0,0,1,0,0,0
