language,lex_state,priority,predicate_kind,range_start,range_end,negated,eof,next_state,skip,accept_symbol_id,accept_symbol_name,immediate
,23,0,OPAQUE,,,false,false,20,false,,,false
,24,0,OPAQUE,,,false,false,81,false,,,false
,25,0,OPAQUE,,,false,false,16,false,,,false
,26,0,OPAQUE,,,false,false,10,false,,,false
,29,0,OPAQUE,,,false,false,48,false,,,false
,32,0,OPAQUE,,,false,false,49,false,,,false
,34,0,OPAQUE,,,false,false,38,false,,,false
,38,0,OPAQUE,,,false,false,39,false,,,false
,40,0,OPAQUE,,,false,false,55,false,,,false
,40,0,OPAQUE,,,false,false,42,false,,,false
,41,0,OPAQUE,,,false,false,43,false,,,false
,44,0,OPAQUE,,,false,false,35,false,,,false
,44,0,OPAQUE,,,false,false,6,false,,,false
,44,0,OPAQUE,,,false,false,45,false,,,false
,46,0,OPAQUE,,,false,false,47,false,,,false
,50,0,OPAQUE,,,false,false,52,false,,,false
,56,0,OPAQUE,,,false,false,60,false,,,false
,56,0,OPAQUE,,,false,false,37,false,,,false
,57,0,OPAQUE,,,false,false,37,false,,,false
,60,0,OPAQUE,,,false,false,61,false,,,false
,62,0,OPAQUE,,,false,false,63,false,,,false
,62,0,OPAQUE,,,false,false,21,false,,,false
,62,0,OPAQUE,,,false,false,62,false,,,false
,63,0,OPAQUE,,,false,false,21,false,,,false
,63,0,OPAQUE,,,false,false,63,false,,,false
,64,0,OPAQUE,,,false,false,64,false,,,false
,65,0,OPAQUE,,,false,false,68,false,,,false
,65,0,OPAQUE,,,false,false,67,false,,,false
,65,0,OPAQUE,,,false,false,7,false,,,false
,65,0,OPAQUE,,,false,false,66,false,,,false
,66,0,OPAQUE,,,false,false,68,false,,,false
,66,0,OPAQUE,,,false,false,67,false,,,false
,66,0,OPAQUE,,,false,false,66,false,,,false
,67,0,OPAQUE,,,false,false,69,false,,,false
,67,0,OPAQUE,,,false,false,69,false,,,false
,68,0,OPAQUE,,,false,false,67,false,,,false
,68,0,OPAQUE,,,false,false,68,false,,,false
,69,0,OPAQUE,,,false,false,69,false,,,false
,72,0,OPAQUE,,,false,false,73,false,,,false
,72,0,OPAQUE,,,false,false,72,false,,,false
,72,0,OPAQUE,,,false,false,74,false,,,false
,73,0,OPAQUE,,,false,false,74,false,,,false
,73,0,OPAQUE,,,false,false,73,false,,,false
,74,0,OPAQUE,,,false,false,74,false,,,false
,75,0,OPAQUE,,,false,false,76,false,,,false
,75,0,OPAQUE,,,false,false,75,false,,,false
,75,0,OPAQUE,,,false,false,77,false,,,false
,76,0,OPAQUE,,,false,false,77,false,,,false
,76,0,OPAQUE,,,false,false,76,false,,,false
,77,0,OPAQUE,,,false,false,77,false,,,false
,79,0,OPAQUE,,,false,false,78,false,,,false
,80,0,OPAQUE,,,false,false,79,false,,,false
,81,0,OPAQUE,,,false,false,78,false,,,false
,82,0,OPAQUE,,,false,false,81,false,,,false
,83,0,OPAQUE,,,false,false,82,false,,,false
,84,0,OPAQUE,,,false,false,83,false,,,false
,85,0,OPAQUE,,,false,false,84,false,,,false
,86,0,OPAQUE,,,false,false,85,false,,,false
,87,0,OPAQUE,,,false,false,86,false,,,false
,88,0,OPAQUE,,,false,false,95,false,,,false
,89,0,OPAQUE,,,false,false,89,false,,,false
,89,0,OPAQUE,,,false,false,95,false,,,false
,91,0,OPAQUE,,,false,false,93,false,,,false
,91,0,OPAQUE,,,false,false,68,false,,,false
,91,0,OPAQUE,,,false,false,95,false,,,false
,92,0,OPAQUE,,,false,false,93,false,,,false
,92,0,OPAQUE,,,false,false,95,false,,,false
,93,0,OPAQUE,,,false,false,88,false,,,false
,93,0,OPAQUE,,,false,false,89,false,,,false
,93,0,OPAQUE,,,false,false,95,false,,,false
,94,0,OPAQUE,,,false,false,95,false,,,false
,95,0,OPAQUE,,,false,false,95,false,,,false
,96,0,OPAQUE,,,false,false,96,false,,,false
,0,0,OPAQUE,,,false,false,0,true,,,false
,0,0,CHAR,F,F,false,false,1,false,,,false
,0,0,CHAR,I,I,false,false,2,false,,,false
,0,0,CHAR,L,L,false,false,3,false,,,false
,0,0,CHAR,N,N,false,false,4,false,,,false
,0,0,CHAR,T,T,false,false,5,false,,,false
,0,0,CHAR,b,b,false,false,6,false,,,false
,0,0,CHAR,f,f,false,false,7,false,,,false
,0,0,CHAR,i,i,false,false,8,false,,,false
,0,0,CHAR,n,n,false,false,9,false,,,false
,0,0,CHAR,r,r,false,false,10,false,,,false
,0,0,CHAR,w,w,false,false,11,false,,,false
,1,0,OPAQUE,,,false,false,12,false,,,false
,2,0,OPAQUE,,,false,false,13,false,,,false
,4,0,OPAQUE,,,false,false,14,false,,,false
,4,0,OPAQUE,,,false,false,15,false,,,false
,4,0,OPAQUE,,,false,false,16,false,,,false
,5,0,OPAQUE,,,false,false,17,false,,,false
,6,0,OPAQUE,,,false,false,18,false,,,false
,7,0,OPAQUE,,,false,false,19,false,,,false
,7,0,OPAQUE,,,false,false,20,false,,,false
,8,0,OPAQUE,,,false,false,21,false,,,false
,8,0,OPAQUE,,,false,false,22,false,,,false
,9,0,OPAQUE,,,false,false,23,false,,,false
,10,0,OPAQUE,,,false,false,24,false,,,false
,11,0,OPAQUE,,,false,false,25,false,,,false
,12,0,OPAQUE,,,false,false,26,false,,,false
,13,0,OPAQUE,,,false,false,27,false,,,false
,14,0,OPAQUE,,,false,false,28,false,,,false
,15,0,OPAQUE,,,false,false,29,false,,,false
,16,0,OPAQUE,,,false,false,30,false,,,false
,17,0,OPAQUE,,,false,false,31,false,,,false
,18,0,OPAQUE,,,false,false,32,false,,,false
,19,0,OPAQUE,,,false,false,33,false,,,false
,20,0,OPAQUE,,,false,false,34,false,,,false
,23,0,OPAQUE,,,false,false,35,false,,,false
,24,0,OPAQUE,,,false,false,36,false,,,false
,25,0,OPAQUE,,,false,false,37,false,,,false
,26,0,OPAQUE,,,false,false,38,false,,,false
,28,0,OPAQUE,,,false,false,39,false,,,false
,28,0,OPAQUE,,,false,false,40,false,,,false
,28,0,OPAQUE,,,false,false,41,false,,,false
,29,0,OPAQUE,,,false,false,42,false,,,false
,31,0,OPAQUE,,,false,false,43,false,,,false
,32,0,OPAQUE,,,false,false,44,false,,,false
,34,0,OPAQUE,,,false,false,45,false,,,false
,35,0,OPAQUE,,,false,false,46,false,,,false
,36,0,OPAQUE,,,false,false,47,false,,,false
,37,0,OPAQUE,,,false,false,48,false,,,false
,38,0,OPAQUE,,,false,false,49,false,,,false
,39,0,OPAQUE,,,false,false,50,false,,,false
,39,0,OPAQUE,,,false,false,51,false,,,false
,40,0,OPAQUE,,,false,false,52,false,,,false
,41,0,OPAQUE,,,false,false,53,false,,,false
,44,0,OPAQUE,,,false,false,54,false,,,false
,45,0,OPAQUE,,,false,false,55,false,,,false
,47,0,OPAQUE,,,false,false,56,false,,,false
,48,0,OPAQUE,,,false,false,57,false,,,false
,50,0,OPAQUE,,,false,false,58,false,,,false
,51,0,OPAQUE,,,false,false,59,false,,,false
,52,0,OPAQUE,,,false,false,60,false,,,false
,53,0,OPAQUE,,,false,false,61,false,,,false
,55,0,OPAQUE,,,false,false,62,false,,,false
,56,0,OPAQUE,,,false,false,63,false,,,false
,58,0,OPAQUE,,,false,false,64,false,,,false
,59,0,OPAQUE,,,false,false,65,false,,,false
,60,0,OPAQUE,,,false,false,66,false,,,false
,61,0,OPAQUE,,,false,false,67,false,,,false
,62,0,OPAQUE,,,false,false,68,false,,,false
,64,0,OPAQUE,,,false,false,69,false,,,false
,65,0,OPAQUE,,,false,false,70,false,,,false
,66,0,OPAQUE,,,false,false,71,false,,,false
,67,0,OPAQUE,,,false,false,72,false,,,false
,68,0,OPAQUE,,,false,false,73,false,,,false
,69,0,OPAQUE,,,false,false,74,false,,,false
,70,0,OPAQUE,,,false,false,75,false,,,false
,71,0,OPAQUE,,,false,false,76,false,,,false
,74,0,OPAQUE,,,false,false,77,false,,,false
,75,0,OPAQUE,,,false,false,78,false,,,false
,76,0,OPAQUE,,,false,false,79,false,,,false
,77,0,OPAQUE,,,false,false,80,false,,,false
,78,0,OPAQUE,,,false,false,81,false,,,false
,79,0,OPAQUE,,,false,false,82,false,,,false
,80,0,OPAQUE,,,false,false,83,false,,,false
,83,0,OPAQUE,,,false,false,84,false,,,false
,0,0,OPAQUE,,,false,false,59,false,,,false
,0,0,OPAQUE,,,false,false,57,true,,,false
,0,0,OPAQUE,,,false,false,154,false,,,false
,0,0,OPAQUE,,,false,false,134,false,,,false
,0,0,CHAR,!,!,false,false,106,false,,,false
,0,0,CHAR,"""","""",false,false,148,false,,,false
,0,0,CHAR,%,%,false,false,115,false,,,false
,0,0,CHAR,&,&,false,false,110,false,,,false
,0,0,CHAR,\',\',false,false,22,false,,,false
,0,0,CHAR,(,(,false,false,66,false,,,false
,0,0,CHAR,),),false,false,67,false,,,false
,0,0,CHAR,*,*,false,false,75,false,,,false
,0,0,CHAR,+,+,false,false,100,false,,,false
,0,0,CHAR,",",",",false,false,68,false,,,false
,0,0,CHAR,-,-,false,false,103,false,,,false
,0,0,CHAR,.,.,false,false,65,false,,,false
,0,0,CHAR,/,/,false,false,113,false,,,false
,0,0,CHAR,0,0,false,false,152,false,,,false
,0,0,CHAR,:,:,false,false,98,false,,,false
,0,0,CHAR,;,;,false,false,61,false,,,false
,0,0,CHAR,<,<,false,false,124,false,,,false
,0,0,CHAR,=,=,false,false,70,false,,,false
,0,0,CHAR,>,>,false,false,129,false,,,false
,0,0,CHAR,[,[,false,false,71,false,,,false
,0,0,CHAR,\\,\\,false,false,20,false,,,false
,0,0,CHAR,],],false,false,72,false,,,false
,0,0,CHAR,^,^,false,false,108,false,,,false
,0,0,CHAR,`,`,false,false,135,false,,,false
,0,0,CHAR,{,{,false,false,77,false,,,false
,0,0,CHAR,|,|,false,false,80,false,,,false
,0,0,CHAR,},},false,false,78,false,,,false
,0,0,CHAR,~,~,false,false,76,false,,,false
,1,0,OPAQUE,,,false,false,1,true,,,false
,1,0,OPAQUE,,,false,false,134,false,,,false
,1,0,CHAR,\n,\n,false,false,60,false,,,false
,1,0,CHAR,!,!,false,false,17,false,,,false
,1,0,CHAR,%,%,false,false,114,false,,,false
,1,0,CHAR,&,&,false,false,111,false,,,false
,1,0,CHAR,(,(,false,false,66,false,,,false
,1,0,CHAR,*,*,false,false,74,false,,,false
,1,0,CHAR,+,+,false,false,99,false,,,false
,1,0,CHAR,",",",",false,false,68,false,,,false
,1,0,CHAR,-,-,false,false,102,false,,,false
,1,0,CHAR,.,.,false,false,63,false,,,false
,1,0,CHAR,/,/,false,false,112,false,,,false
,1,0,CHAR,;,;,false,false,61,false,,,false
,1,0,CHAR,<,<,false,false,127,false,,,false
,1,0,CHAR,=,=,false,false,19,false,,,false
,1,0,CHAR,>,>,false,false,130,false,,,false
,1,0,CHAR,[,[,false,false,71,false,,,false
,1,0,CHAR,^,^,false,false,107,false,,,false
,1,0,CHAR,{,{,false,false,77,false,,,false
,1,0,CHAR,|,|,false,false,81,false,,,false
,1,0,CHAR,},},false,false,78,false,,,false
,2,0,OPAQUE,,,false,false,16,true,,,false
,2,0,OPAQUE,,,false,false,148,false,,,false
,2,0,OPAQUE,,,false,false,143,false,,,false
,2,0,OPAQUE,,,false,false,20,false,,,false
,2,0,OPAQUE,,,false,false,146,false,,,false
,2,0,OPAQUE,,,false,false,147,false,,,false
,3,0,OPAQUE,,,false,false,3,true,,,false
,3,0,OPAQUE,,,false,false,134,false,,,false
,3,0,CHAR,!,!,false,false,17,false,,,false
,3,0,CHAR,"""","""",false,false,142,false,,,false
,3,0,CHAR,%,%,false,false,114,false,,,false
,3,0,CHAR,&,&,false,false,111,false,,,false
,3,0,CHAR,(,(,false,false,66,false,,,false
,3,0,CHAR,),),false,false,67,false,,,false
,3,0,CHAR,*,*,false,false,74,false,,,false
,3,0,CHAR,+,+,false,false,99,false,,,false
,3,0,CHAR,",",",",false,false,68,false,,,false
,3,0,CHAR,-,-,false,false,102,false,,,false
,3,0,CHAR,.,.,false,false,64,false,,,false
,3,0,CHAR,/,/,false,false,112,false,,,false
,3,0,CHAR,:,:,false,false,98,false,,,false
,3,0,CHAR,<,<,false,false,125,false,,,false
,3,0,CHAR,=,=,false,false,70,false,,,false
,3,0,CHAR,>,>,false,false,130,false,,,false
,3,0,CHAR,[,[,false,false,71,false,,,false
,3,0,CHAR,],],false,false,72,false,,,false
,3,0,CHAR,^,^,false,false,107,false,,,false
,3,0,CHAR,`,`,false,false,135,false,,,false
,3,0,CHAR,{,{,false,false,77,false,,,false
,3,0,CHAR,|,|,false,false,81,false,,,false
,3,0,CHAR,~,~,false,false,76,false,,,false
,4,0,OPAQUE,,,false,false,4,true,,,false
,4,0,CHAR,!,!,false,false,17,false,,,false
,4,0,CHAR,%,%,false,false,115,false,,,false
,4,0,CHAR,&,&,false,false,110,false,,,false
,4,0,CHAR,(,(,false,false,66,false,,,false
,4,0,CHAR,*,*,false,false,75,false,,,false
,4,0,CHAR,+,+,false,false,100,false,,,false
,4,0,CHAR,",",",",false,false,68,false,,,false
,4,0,CHAR,-,-,false,false,103,false,,,false
,4,0,CHAR,.,.,false,false,63,false,,,false
,4,0,CHAR,/,/,false,false,113,false,,,false
,4,0,CHAR,:,:,false,false,18,false,,,false
,4,0,CHAR,;,;,false,false,61,false,,,false
,4,0,CHAR,<,<,false,false,124,false,,,false
,4,0,CHAR,=,=,false,false,70,false,,,false
,4,0,CHAR,>,>,false,false,129,false,,,false
,4,0,CHAR,[,[,false,false,71,false,,,false
,4,0,CHAR,^,^,false,false,108,false,,,false
,4,0,CHAR,{,{,false,false,77,false,,,false
,4,0,CHAR,|,|,false,false,80,false,,,false
,5,0,OPAQUE,,,false,false,5,true,,,false
,5,0,CHAR,!,!,false,false,17,false,,,false
,5,0,CHAR,%,%,false,false,115,false,,,false
,5,0,CHAR,&,&,false,false,110,false,,,false
,5,0,CHAR,(,(,false,false,66,false,,,false
,5,0,CHAR,*,*,false,false,75,false,,,false
,5,0,CHAR,+,+,false,false,101,false,,,false
,5,0,CHAR,",",",",false,false,68,false,,,false
,5,0,CHAR,-,-,false,false,104,false,,,false
,5,0,CHAR,.,.,false,false,63,false,,,false
,5,0,CHAR,/,/,false,false,113,false,,,false
,5,0,CHAR,:,:,false,false,18,false,,,false
,5,0,CHAR,<,<,false,false,126,false,,,false
,5,0,CHAR,=,=,false,false,70,false,,,false
,5,0,CHAR,>,>,false,false,129,false,,,false
,5,0,CHAR,[,[,false,false,71,false,,,false
,5,0,CHAR,^,^,false,false,108,false,,,false
,5,0,CHAR,{,{,false,false,77,false,,,false
,5,0,CHAR,|,|,false,false,80,false,,,false
,6,0,OPAQUE,,,false,false,6,true,,,false
,6,0,CHAR,!,!,false,false,17,false,,,false
,6,0,CHAR,%,%,false,false,114,false,,,false
,6,0,CHAR,&,&,false,false,111,false,,,false
,6,0,CHAR,(,(,false,false,66,false,,,false
,6,0,CHAR,),),false,false,67,false,,,false
,6,0,CHAR,*,*,false,false,74,false,,,false
,6,0,CHAR,+,+,false,false,99,false,,,false
,6,0,CHAR,",",",",false,false,68,false,,,false
,6,0,CHAR,-,-,false,false,102,false,,,false
,6,0,CHAR,.,.,false,false,64,false,,,false
,6,0,CHAR,/,/,false,false,112,false,,,false
,6,0,CHAR,:,:,false,false,98,false,,,false
,6,0,CHAR,;,;,false,false,61,false,,,false
,6,0,CHAR,<,<,false,false,127,false,,,false
,6,0,CHAR,=,=,false,false,70,false,,,false
,6,0,CHAR,>,>,false,false,130,false,,,false
,6,0,CHAR,[,[,false,false,71,false,,,false
,6,0,CHAR,],],false,false,72,false,,,false
,6,0,CHAR,^,^,false,false,107,false,,,false
,6,0,CHAR,{,{,false,false,77,false,,,false
,6,0,CHAR,|,|,false,false,81,false,,,false
,6,0,CHAR,},},false,false,78,false,,,false
,7,0,OPAQUE,,,false,false,162,false,,,false
,8,0,OPAQUE,,,false,false,10,false,,,false
,8,0,OPAQUE,,,false,false,164,false,,,false
,9,0,OPAQUE,,,false,false,9,false,,,false
,9,0,OPAQUE,,,false,false,163,false,,,false
,9,0,OPAQUE,,,false,false,10,false,,,false
,10,0,OPAQUE,,,false,false,9,false,,,false
,10,0,OPAQUE,,,false,false,10,false,,,false
,11,0,OPAQUE,,,false,false,82,false,,,false
,12,0,OPAQUE,,,false,false,14,false,,,false
,12,0,OPAQUE,,,false,false,158,false,,,false
,13,0,OPAQUE,,,false,false,160,false,,,false
,13,0,OPAQUE,,,false,false,35,false,,,false
,13,0,OPAQUE,,,false,false,161,false,,,false
,13,0,OPAQUE,,,false,false,26,false,,,false
,13,0,OPAQUE,,,false,false,13,false,,,false
,14,0,OPAQUE,,,false,false,73,false,,,false
,15,0,OPAQUE,,,false,false,40,false,,,false
,15,0,OPAQUE,,,false,false,39,false,,,false
,15,0,OPAQUE,,,false,false,155,false,,,false
,16,0,OPAQUE,,,false,false,8,false,,,false
,16,0,OPAQUE,,,false,false,16,true,,,false
,17,0,OPAQUE,,,false,false,123,false,,,false
,18,0,OPAQUE,,,false,false,83,false,,,false
,19,0,OPAQUE,,,false,false,122,false,,,false
,20,0,OPAQUE,,,false,false,53,false,,,false
,20,0,OPAQUE,,,false,false,45,false,,,false
,20,0,OPAQUE,,,false,false,41,false,,,false
,20,0,OPAQUE,,,false,false,151,false,,,false
,20,0,OPAQUE,,,false,false,149,false,,,false
,21,0,OPAQUE,,,false,false,54,false,,,false
,21,0,OPAQUE,,,false,false,46,false,,,false
,21,0,OPAQUE,,,false,false,42,false,,,false
,21,0,OPAQUE,,,false,false,32,false,,,false
,21,0,OPAQUE,,,false,false,7,false,,,false
,22,0,OPAQUE,,,false,false,21,false,,,false
,22,0,OPAQUE,,,false,false,7,false,,,false
,23,0,OPAQUE,,,false,false,28,false,,,false
,23,0,OPAQUE,,,false,false,156,false,,,false
,24,0,OPAQUE,,,false,false,40,false,,,false
,24,0,OPAQUE,,,false,false,26,false,,,false
,24,0,OPAQUE,,,false,false,24,false,,,false
,25,0,OPAQUE,,,false,false,31,false,,,false
,25,0,OPAQUE,,,false,false,157,false,,,false
,26,0,OPAQUE,,,false,false,36,false,,,false
,26,0,OPAQUE,,,false,false,159,false,,,false
,27,0,OPAQUE,,,false,false,26,false,,,false
,27,0,OPAQUE,,,false,false,24,false,,,false
,28,0,OPAQUE,,,false,false,156,false,,,false
,29,0,OPAQUE,,,false,false,13,false,,,false
,29,0,OPAQUE,,,false,false,153,false,,,false
,30,0,OPAQUE,,,false,false,7,false,,,false
,31,0,OPAQUE,,,false,false,157,false,,,false
,32,0,OPAQUE,,,false,false,30,false,,,false
,33,0,OPAQUE,,,false,false,154,false,,,false
,34,0,OPAQUE,,,false,false,158,false,,,false
,35,0,OPAQUE,,,false,false,13,false,,,false
,36,0,OPAQUE,,,false,false,159,false,,,false
,37,0,OPAQUE,,,false,false,7,false,,,false
,38,0,OPAQUE,,,false,false,149,false,,,false
,39,0,OPAQUE,,,false,false,155,false,,,false
,40,0,OPAQUE,,,false,false,24,false,,,false
,41,0,OPAQUE,,,false,false,38,false,,,false
,42,0,OPAQUE,,,false,false,37,false,,,false
,43,0,OPAQUE,,,false,false,41,false,,,false
,44,0,OPAQUE,,,false,false,42,false,,,false
,45,0,OPAQUE,,,false,false,43,false,,,false
,46,0,OPAQUE,,,false,false,44,false,,,false
,47,0,OPAQUE,,,false,false,45,false,,,false
,48,0,OPAQUE,,,false,false,46,false,,,false
,49,0,OPAQUE,,,false,false,47,false,,,false
,50,0,OPAQUE,,,false,false,48,false,,,false
,51,0,OPAQUE,,,false,false,49,false,,,false
,52,0,OPAQUE,,,false,false,50,false,,,false
,53,0,OPAQUE,,,false,false,51,false,,,false
,54,0,OPAQUE,,,false,false,52,false,,,false
,55,0,OPAQUE,,,false,false,59,false,,,false
,55,0,OPAQUE,,,false,false,55,true,,,false
,55,0,OPAQUE,,,false,false,154,false,,,false
,55,0,OPAQUE,,,false,false,134,false,,,false
,55,0,CHAR,\n,\n,false,false,60,false,,,false
,55,0,CHAR,!,!,false,false,105,false,,,false
,55,0,CHAR,"""","""",false,false,142,false,,,false
,55,0,CHAR,&,&,false,false,109,false,,,false
,55,0,CHAR,\',\',false,false,22,false,,,false
,55,0,CHAR,(,(,false,false,66,false,,,false
,55,0,CHAR,),),false,false,67,false,,,false
,55,0,CHAR,*,*,false,false,74,false,,,false
,55,0,CHAR,+,+,false,false,99,false,,,false
,55,0,CHAR,",",",",false,false,68,false,,,false
,55,0,CHAR,-,-,false,false,102,false,,,false
,55,0,CHAR,.,.,false,false,34,false,,,false
,55,0,CHAR,/,/,false,false,8,false,,,false
,55,0,CHAR,0,0,false,false,152,false,,,false
,55,0,CHAR,;,;,false,false,61,false,,,false
,55,0,CHAR,<,<,false,false,11,false,,,false
,55,0,CHAR,=,=,false,false,69,false,,,false
,55,0,CHAR,[,[,false,false,71,false,,,false
,55,0,CHAR,^,^,false,false,107,false,,,false
,55,0,CHAR,`,`,false,false,135,false,,,false
,55,0,CHAR,{,{,false,false,77,false,,,false
,55,0,CHAR,|,|,false,false,79,false,,,false
,55,0,CHAR,},},false,false,78,false,,,false
,55,0,CHAR,~,~,false,false,76,false,,,false
,56,0,OPAQUE,,,false,false,59,false,,,false
,56,0,OPAQUE,,,false,false,56,true,,,false
