language_id,language_name,semantic_axis,summary_value,evidence_status,source_ids,notes
c,C,operator_overloading,no,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,lazy_evaluation,strict eager evaluation except special sequencing operators,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,undefined_unspecified_behavior,extensive undefined/unspecified/implementation-defined behavior,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,iteration_generator_model,no language iterator/generator protocol,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
c,C,numeric_overflow_model,unsigned wrap; signed overflow can be undefined,SUPPORTED_SUMMARY,C_WG14,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,typing_discipline,static,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,type_identity_and_subtyping,nominal class/type identity + templates/concepts,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,type_inference,auto/decltype/template deduction,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,null_absence_model,null pointers; no universal type-level null safety,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,value_reference_model,"value, pointer and reference semantics",SUPPORTED_SUMMARY,CPP_DRAFT;CPP_ISOFAQ,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,parameter_passing,by value or explicit reference,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,scoping,lexical/block/namespace/class scope,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,evaluation_order,sequencing is specified in many contexts but some operand/argument ordering remains unspecified,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,dispatch_model,overload resolution + static dispatch + virtual single-receiver dynamic dispatch,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,generics_parametric,templates/concepts; compile-time parametric polymorphism,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,pattern_matching,no general language pattern matching in current core model,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,error_exception_model,exceptions with stack unwinding,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,cleanup_resource_model,RAII/destructors; scope-based cleanup,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,memory_management,manual + RAII/smart-pointer library patterns,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,ownership_aliasing,references/pointers; ownership mostly conventional/library-based,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,lifetime_model,object lifetime + deterministic destructors,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,concurrency_model,"standard threads, locks, atomics",SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,async_coroutine_model,coroutines/co_await,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,atomics_memory_model,formal C++ memory model and atomics,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,metaprogramming,preprocessor + templates + constexpr/consteval,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,reflection_introspection,RTTI; reflection capabilities are version-dependent/limited,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,module_namespace_model,namespaces + modules + translation units,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,ffi_model,native ABI/C interop and extern linkage,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,object_model,"classes, inheritance, virtual methods, structs/unions",SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,sum_variant_model,union; std::variant is library-level tagged sum,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,operator_overloading,yes,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,lazy_evaluation,eager by default,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,undefined_unspecified_behavior,extensive undefined/unspecified behavior,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,iteration_generator_model,iterators are library protocol; coroutines are language-level,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
cpp,C++,numeric_overflow_model,unsigned wrap; signed overflow undefined,SUPPORTED_SUMMARY,CPP_DRAFT,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,typing_discipline,static with explicit dynamic-binding feature,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,type_identity_and_subtyping,nominal; distinct value and reference types,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,type_inference,local/general type inference in defined contexts,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,null_absence_model,nullable value types + nullable reference analysis,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,value_reference_model,explicit value types and reference types,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,parameter_passing,by value by default; ref/out/in forms,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,scoping,lexical/block/type/namespace scope,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,evaluation_order,left-to-right expression/argument evaluation in specified constructs,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,dispatch_model,overload resolution + virtual/interface single-receiver dynamic dispatch,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,generics_parametric,reified .NET generics,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,pattern_matching,rich type/property/list/relational patterns,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,error_exception_model,exceptions; generally unchecked,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,cleanup_resource_model,"try/finally, using, await using",SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,memory_management,managed GC; stack/ref-struct/unsafe regions also exist,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,ownership_aliasing,managed references; ref semantics available,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,lifetime_model,managed object lifetime; IDisposable gives explicit resource lifetime,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,concurrency_model,threads/tasks/locks; async ecosystem,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,async_coroutine_model,async/await + async iterators,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,atomics_memory_model,volatile/lock/interlocked + CLR memory semantics,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,metaprogramming,attributes/expression trees; source generators are tooling,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,reflection_introspection,strong runtime reflection,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,module_namespace_model,namespaces + assemblies,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,ffi_model,"P/Invoke, unmanaged function pointers, COM interop",SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,object_model,"classes, structs, records, interfaces, delegates",SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,sum_variant_model,no native algebraic DU; enums/sealed hierarchies approximate,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,operator_overloading,yes,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,lazy_evaluation,eager by default,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,undefined_unspecified_behavior,safe managed code highly defined; unsafe code can escape guarantees,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,iteration_generator_model,IEnumerable/yield + async streams,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
csharp,C#,numeric_overflow_model,default integral overflow context is unchecked except constants; checked contexts available,SUPPORTED_SUMMARY,CSHARP_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,typing_discipline,static,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,type_identity_and_subtyping,named types + structural interface satisfaction,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,type_inference,short declaration/generic inference,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,null_absence_model,nil for pointers/interfaces/maps/slices/channels/functions; no type-level null safety,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,value_reference_model,values plus pointers/interfaces,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,parameter_passing,by value; pointers share mutable storage,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,scoping,lexical/block/package scope,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,evaluation_order,calls/method calls/receives/logical operations have lexical left-to-right constraints; some operand order remains unspecified,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,dispatch_model,static calls + structural interface dynamic dispatch,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,generics_parametric,type parameters with interface constraints,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,pattern_matching,no general pattern matching,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,error_exception_model,explicit error values; panic/defer/recover for exceptional control,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,cleanup_resource_model,defer,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,memory_management,garbage collected,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,ownership_aliasing,pointers without pointer arithmetic; interface/reference-like descriptors,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,lifetime_model,GC-managed lifetime plus lexical variables,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,concurrency_model,"goroutines, channels, sync primitives",SUPPORTED_SUMMARY,GO_SPEC;GO_MEM,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,async_coroutine_model,no async/await; concurrency via goroutines,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,atomics_memory_model,official Go memory model + atomics,SUPPORTED_SUMMARY,GO_MEM,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,metaprogramming,no macros; go:generate/tooling and reflection instead,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,reflection_introspection,runtime reflect package,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,module_namespace_model,packages + modules,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,ffi_model,cgo / syscall / plugin mechanisms,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,object_model,structs + interfaces; embedding rather than inheritance,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,sum_variant_model,no native algebraic tagged union; interfaces/type sets model alternatives,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,operator_overloading,no,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,lazy_evaluation,eager by default,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,undefined_unspecified_behavior,unsafe/races weaken guarantees but no C-style pervasive UB model,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,iteration_generator_model,range iteration; modern range-over-function iterator convention,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
go,Go,numeric_overflow_model,integer overflow is defined by integer representation; compiler may not assume it cannot occur,SUPPORTED_SUMMARY,GO_SPEC,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,typing_discipline,static,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,type_identity_and_subtyping,nominal classes/interfaces,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,type_inference,local/generic inference,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,null_absence_model,null reference; no general type-level null safety,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,value_reference_model,primitive values + object references,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,parameter_passing,always by value (including reference values),SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,scoping,lexical/block/class/module scope,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,evaluation_order,left-to-right operand and argument evaluation,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,dispatch_model,overload resolution + virtual/interface single-receiver dispatch,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,generics_parametric,erased generics with bounded type variables,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,pattern_matching,instanceof/switch patterns and records/sealed types,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,error_exception_model,checked and unchecked exceptions,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,cleanup_resource_model,try/finally + try-with-resources,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,memory_management,garbage collected JVM objects,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,ownership_aliasing,references; no ownership/borrow checker,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,lifetime_model,GC-managed object lifetime; finalization is not deterministic resource management,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,concurrency_model,"threads, synchronized, monitors",SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,async_coroutine_model,no language async/await; concurrency APIs/virtual threads are library/runtime features,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,atomics_memory_model,Java Memory Model + volatile/final/synchronization semantics,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,metaprogramming,annotations/processors; no core macros,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,reflection_introspection,runtime reflection,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,module_namespace_model,packages + modules,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,ffi_model,JNI / foreign-function APIs outside core language,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,object_model,classes/interfaces/records/enums/sealed hierarchies,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,sum_variant_model,sealed hierarchies + enums approximate sums; no native algebraic DU,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,operator_overloading,no general user operator overloading,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,lazy_evaluation,eager by default,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,undefined_unspecified_behavior,safe Java avoids C-style UB; behavior constrained by JLS/JMM,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,iteration_generator_model,Iterable/Iterator enhanced-for; no language generators,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
java,Java,numeric_overflow_model,integer overflow wraps in two's-complement arithmetic,SUPPORTED_SUMMARY,JAVA_JLS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
julia,Julia,typing_discipline,dynamic,SUPPORTED_SUMMARY,JULIA_TYPES;JULIA_METHODS;JULIA_FUNCTIONS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
julia,Julia,type_identity_and_subtyping,nominative + parametric type hierarchy,SUPPORTED_SUMMARY,JULIA_TYPES;JULIA_METHODS;JULIA_FUNCTIONS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
julia,Julia,type_inference,compiler performs aggressive inference; annotations optional,SUPPORTED_SUMMARY,JULIA_TYPES;JULIA_METHODS;JULIA_FUNCTIONS,Summary distilled from the cited official/reference sources; verify at finer construct level before promotion into canonical UASF.
