feature,abi_calling_convention,allocation,array_list,array_type,assignment,atomic,attribute_annotation,await,binary_op,break,bytecode_vm,call,capture,cast_conversion,channel,class,closure_lambda,code_generation,compile_time_eval,comprehension,constant,continue,defer_cleanup,dynamic_dispatch,enum,exception_try,ffi,filesystem,for,foreach_iteration,function,function_type,gc,generic,generic_constraint,global_state,goto_label,identifier,if,import,index,interface_trait,io,ir,layout_alignment,lifetime,literal_boolean,literal_null,literal_numeric,literal_string,lock_mutex,macro,manual_memory,map_dict,map_type,member_access,memory_model,module,mutation,name_resolution,network,optimizer,optional_nullable,overload_resolution,ownership,parameter,pattern,pointer,primitive_bool,primitive_float,primitive_integer,primitive_string,random,reference,reflection,return,scope,set,shadowing,slice,struct,subtyping,switch_match,symbol_table,task_async,thread,throw_raise,time,tuple,tuple_type,type_inference,unary_op,union_sum,unsafe,variable,visibility,while,yield
code_generation,176,156,8,24,21,69,86,3,21,4,32,2,40,32,15,61,10,519,240,1,137,1,124,13,146,190,188,26,2,108,453,51,15,112,38,14,3,83,3,487,6,96,29,268,181,20,243,234,4,24,39,51,123,3,0,1,1,125,157,15,31,38,127,8,48,134,31,32,5,85,62,0,64,5,16,2,76,0,3,8,292,10,3,23,60,109,212,26,52,12,4,10,20,19,475,105,1,23
compile_time_eval,947,416,13,53,61,160,838,6,39,5,46,7,55,120,24,751,30,240,2050,0,440,1,293,39,368,1172,400,75,8,527,1435,89,11,859,284,31,12,893,11,1760,12,661,114,433,521,49,837,602,14,59,99,456,349,5,3,3,6,917,398,19,50,97,241,28,108,364,87,90,8,244,180,5,234,116,33,5,140,0,6,13,1113,65,8,30,120,243,381,68,119,13,11,15,31,66,1675,642,5,37
comprehension,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
constant,902,496,16,49,66,151,527,6,21,3,85,8,66,141,112,376,24,137,440,1,1440,1,270,25,508,668,668,106,6,267,763,136,23,475,107,30,29,625,8,1397,28,589,140,553,559,51,530,667,16,82,159,461,354,16,12,3,4,546,405,34,198,118,269,34,115,514,107,58,8,357,404,10,153,27,132,7,167,3,7,10,974,105,4,44,269,283,176,123,95,11,7,7,33,63,950,631,5,46
continue,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,2,1,0,2,1,2,0,1,2,2,1,0,1,1,0,2,2,1,2,0,1,0,2,1,0,2,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,1,0
defer_cleanup,559,617,5,34,34,149,308,9,24,4,72,5,82,69,115,178,35,124,293,1,270,1,1059,46,434,538,505,100,6,243,692,124,25,259,67,23,22,304,9,897,24,385,124,494,460,51,468,646,13,49,206,178,528,16,11,2,4,381,414,38,177,59,210,14,191,397,100,45,6,194,253,9,137,14,56,4,216,4,7,5,794,63,4,50,298,404,174,115,65,10,3,5,21,54,782,433,5,31
dynamic_dispatch,42,58,2,4,4,21,28,4,4,0,10,2,8,10,8,32,8,13,39,0,25,0,46,82,48,58,50,11,0,19,67,22,3,34,10,1,1,23,2,79,6,53,11,48,60,4,55,69,2,4,16,18,44,3,0,2,0,37,43,5,17,18,19,5,17,37,14,9,1,21,24,3,16,6,8,0,20,0,0,0,65,10,0,7,27,41,24,14,8,0,0,2,1,8,74,44,0,2
enum,1716,809,10,46,74,260,773,7,21,3,152,7,139,152,364,546,43,146,368,1,508,2,434,48,2581,716,1370,165,5,354,1044,227,38,583,120,31,34,1060,10,2300,52,1106,176,1023,837,77,644,1299,13,55,322,603,595,31,15,2,9,998,659,55,406,98,375,38,198,796,164,65,11,431,744,21,221,25,150,6,250,3,9,6,2067,140,5,52,548,530,216,231,107,14,7,6,37,87,1617,1303,5,53
exception_try,2236,918,7,48,89,322,1770,13,44,4,131,7,98,188,111,1230,53,190,1172,1,668,1,538,58,716,3667,1040,211,8,755,1748,178,34,1355,371,47,24,2114,12,3468,32,1311,311,948,969,77,1150,1241,14,59,358,883,687,16,10,3,18,1819,791,40,239,143,358,63,199,829,140,77,10,570,699,11,363,133,80,5,233,3,10,9,1935,135,10,67,447,724,331,234,128,14,17,23,28,128,2353,1515,5,60
ffi,3429,1205,13,44,87,306,1149,12,25,3,155,7,158,191,428,648,49,188,400,0,668,2,505,50,1370,1040,4360,224,5,456,1656,310,49,686,133,54,43,1130,10,3936,66,1507,316,1506,1190,106,804,1752,10,42,495,964,818,29,11,4,16,1622,931,70,631,175,434,70,235,1122,173,64,7,726,1174,21,356,35,238,6,318,4,11,10,3024,162,6,71,758,932,368,462,97,11,11,8,39,119,2834,2145,5,114
filesystem,351,220,1,3,13,74,201,4,0,0,21,1,32,36,41,99,8,26,75,0,106,0,100,11,165,211,224,456,2,101,230,45,10,125,28,9,4,229,0,443,7,181,58,216,197,19,136,252,3,12,98,116,140,5,2,0,0,179,154,12,143,31,69,8,59,219,30,9,1,45,165,6,73,7,36,0,45,0,1,1,363,30,0,12,151,140,57,76,16,3,2,0,6,24,319,237,0,14
for,4,6,0,5,3,4,5,0,2,2,1,1,2,3,0,5,2,2,8,0,6,1,6,0,5,8,5,2,8,5,6,3,0,8,2,1,1,8,4,8,0,2,0,5,4,0,8,8,2,4,0,5,6,0,0,1,0,5,4,0,0,1,6,0,3,4,5,6,0,4,4,0,0,2,0,2,4,0,1,0,8,0,2,0,0,5,3,0,2,1,0,1,0,1,8,4,4,0
foreach_iteration,921,434,4,24,48,148,610,6,33,2,51,5,59,84,68,528,32,108,527,1,267,2,243,19,354,755,456,101,5,1176,688,87,23,614,272,25,14,747,4,1158,19,584,91,401,434,52,459,552,4,26,162,475,325,13,2,0,6,660,363,31,149,79,209,23,117,381,63,37,6,183,342,5,218,100,46,3,118,3,6,5,862,70,3,36,212,253,130,120,63,10,4,19,17,40,894,507,3,40
function,2476,1164,16,57,96,349,1307,12,36,5,160,7,147,222,222,744,65,453,1435,0,763,2,692,67,1044,1748,1656,230,6,688,5297,255,51,950,291,65,57,1456,14,4345,47,1160,322,1411,1252,76,1451,1744,16,75,413,897,876,26,9,4,22,1398,962,55,388,174,498,70,250,1237,183,120,10,684,880,14,400,109,120,8,314,4,8,9,2548,133,10,82,562,813,753,353,154,13,15,17,43,134,4010,1712,5,81
function_type,342,196,5,22,28,54,233,1,11,2,52,5,44,44,83,139,25,51,89,0,136,1,124,22,227,178,310,45,3,87,255,507,17,139,41,12,11,183,6,439,20,242,26,253,210,31,143,278,5,17,70,113,134,8,8,4,2,244,190,27,100,36,105,12,63,220,49,31,4,101,162,7,101,10,80,3,75,0,3,3,370,56,3,27,121,149,66,56,35,8,5,6,13,35,289,312,3,22
gc,66,42,1,4,4,15,32,1,1,0,9,1,9,5,10,20,6,15,11,1,23,0,25,3,38,34,49,10,0,23,51,17,91,21,8,4,2,36,0,88,6,36,15,46,38,5,34,54,0,1,18,26,30,2,0,0,1,35,35,7,18,7,27,1,10,47,10,4,1,29,23,1,18,1,9,0,20,0,0,1,59,8,0,6,28,27,25,13,4,2,0,1,4,5,62,44,0,3
generic,1520,547,11,43,77,193,1267,7,37,3,87,7,103,132,185,1119,52,112,859,1,475,1,259,34,583,1355,686,125,8,614,950,139,21,2275,353,26,21,1492,10,2159,41,1219,137,675,677,76,671,791,8,35,236,731,367,16,4,3,17,1447,511,31,255,103,258,60,104,568,109,64,11,314,468,11,285,121,80,5,152,3,9,9,1487,146,4,21,357,373,178,168,94,11,7,22,24,71,1344,1019,5,50
generic_constraint,370,113,2,20,29,48,364,1,17,2,21,3,24,51,31,328,22,38,284,0,107,1,67,10,120,371,133,28,2,272,291,41,8,353,458,6,4,373,3,453,11,277,28,127,135,20,162,164,3,11,37,235,78,5,1,1,1,381,128,9,34,37,91,18,30,130,38,27,6,69,70,4,90,94,25,3,56,0,3,5,364,45,1,10,79,76,35,38,44,5,2,10,10,26,378,191,2,16
global_state,55,43,5,9,12,22,34,0,4,1,4,2,7,11,3,17,2,14,31,0,30,0,23,1,31,47,54,9,1,25,65,12,4,26,6,78,4,34,3,77,3,24,7,34,45,6,37,52,1,10,23,25,36,0,2,1,0,33,37,4,8,11,26,0,12,42,6,8,0,24,29,0,8,3,4,3,20,0,3,4,58,3,2,4,13,39,28,8,9,2,1,1,5,8,75,42,2,4
goto_label,49,60,0,4,7,19,28,0,1,1,4,1,4,10,5,12,0,3,12,0,29,2,22,1,34,24,43,4,1,14,57,11,2,21,4,4,150,29,2,149,4,16,31,63,96,1,33,78,0,5,13,25,59,1,1,0,0,24,32,0,13,6,16,1,4,42,6,3,0,41,44,0,11,3,3,3,7,0,1,0,87,6,2,0,16,54,11,7,3,0,1,0,2,2,136,40,1,4
identifier,2881,877,4,29,98,325,1867,5,33,2,138,7,97,149,256,1259,54,83,893,1,625,2,304,23,1060,2114,1130,229,8,747,1456,183,36,1492,373,34,29,4852,10,4586,43,1662,213,1080,1112,100,871,1323,11,38,429,952,551,16,4,3,10,1847,790,42,528,117,333,66,169,871,121,50,7,484,1081,10,352,126,109,4,212,0,6,6,3052,181,6,40,586,711,174,330,92,5,5,21,15,70,2289,1425,5,68
if,11,7,3,8,6,6,8,1,5,3,1,4,3,6,0,6,3,3,11,0,8,1,9,2,10,12,10,0,4,4,14,6,0,10,3,3,2,10,16,16,3,2,4,9,8,0,11,9,4,8,0,6,6,0,0,3,0,6,6,0,1,7,8,1,3,7,5,9,0,6,8,1,1,3,0,2,4,0,2,1,11,2,3,0,2,8,4,0,2,1,0,3,1,1,12,5,5,0
import,7825,2152,16,64,147,654,2945,16,46,5,275,8,223,365,604,1757,84,487,1760,1,1397,2,897,79,2300,3468,3936,443,8,1158,4345,439,88,2159,453,77,149,4586,16,14615,92,3067,772,2872,2657,166,1925,3323,16,77,915,1940,1530,52,16,4,28,3569,1736,98,1112,249,731,112,359,2005,257,122,16,1632,2737,24,718,160,278,8,466,4,13,18,7162,280,13,115,1221,1773,904,827,195,15,19,23,46,197,7276,4825,5,148
index,79,37,3,6,10,15,46,2,2,0,12,4,12,17,35,34,9,6,12,0,28,0,24,6,52,32,66,7,0,19,47,20,6,41,11,3,4,43,3,92,103,57,5,72,49,9,33,62,2,6,17,36,26,0,0,3,0,63,34,5,29,8,22,4,9,51,18,5,0,28,30,2,16,4,10,1,29,3,1,2,81,16,1,2,48,33,9,24,4,1,1,2,2,7,72,69,0,4
interface_trait,2352,906,3,22,86,197,1377,9,17,0,138,3,137,151,452,1142,64,96,661,1,589,1,385,53,1106,1311,1507,181,2,584,1160,242,36,1219,277,24,16,1662,2,3067,57,3360,218,1199,897,127,690,1252,3,16,372,1058,583,24,11,1,6,1697,673,54,689,93,318,50,178,917,129,38,9,427,841,17,358,89,138,1,254,4,4,6,2471,195,3,30,639,549,200,311,84,6,5,14,20,84,1895,1722,0,76
io,461,208,2,4,13,81,250,2,3,0,26,2,20,43,12,112,4,29,114,0,140,0,124,11,176,311,316,58,0,91,322,26,15,137,28,7,31,213,4,772,5,218,774,241,260,19,218,307,1,9,48,139,168,3,1,1,1,227,142,9,74,41,72,14,43,182,26,12,2,152,467,1,81,5,19,2,50,0,1,1,444,20,1,21,104,160,77,57,10,0,4,1,1,21,558,281,1,20
ir,1955,1065,8,39,84,280,930,13,21,2,140,6,135,177,418,589,62,268,433,1,553,2,494,48,1023,948,1506,216,5,401,1411,253,46,675,127,34,63,1080,9,2872,72,1199,241,3259,1017,109,785,1360,11,52,415,674,692,29,10,3,14,1169,808,63,596,128,381,45,223,942,151,58,8,517,784,21,347,29,155,5,282,4,9,7,2032,151,6,55,744,747,380,349,81,10,15,6,32,112,1976,1403,5,100
layout_alignment,1822,986,11,50,86,338,881,9,24,3,165,7,113,200,215,510,40,181,521,0,559,1,460,60,837,969,1190,197,4,434,1252,210,38,677,135,45,96,1112,8,2657,49,897,260,1017,2891,97,795,1357,11,46,412,574,734,16,11,4,22,935,809,54,413,125,383,55,185,824,141,78,9,465,936,14,269,35,124,6,251,4,9,10,2177,148,8,78,545,733,280,296,108,14,8,8,31,103,1948,1174,4,54
lifetime,140,97,2,4,21,36,81,0,1,0,16,1,17,20,30,66,11,20,49,0,51,0,51,4,77,77,106,19,0,52,76,31,5,76,20,6,1,100,0,166,9,127,19,109,97,174,61,106,1,3,48,48,61,2,1,0,1,95,86,5,68,19,45,5,33,89,16,4,0,39,85,3,31,4,27,0,49,0,1,2,152,20,0,5,65,58,24,17,12,4,1,1,5,14,125,97,0,5
literal_boolean,1076,785,12,47,77,280,717,9,26,5,93,7,97,142,115,544,40,243,837,0,530,2,468,55,644,1150,804,136,8,459,1451,143,34,671,162,37,33,871,11,1925,33,690,218,785,795,61,2096,1128,15,65,276,423,649,14,8,3,15,951,624,41,178,141,327,39,198,616,139,75,11,370,433,10,248,53,74,8,234,3,6,10,1367,86,6,62,314,524,310,198,122,14,14,7,29,95,1726,785,5,47
literal_null,2346,1288,12,49,94,359,1031,13,29,5,171,6,159,182,340,687,55,234,602,1,667,2,646,69,1299,1241,1752,252,8,552,1744,278,54,791,164,52,78,1323,9,3323,62,1252,307,1360,1357,106,1128,3554,14,67,520,745,964,35,15,3,13,1350,911,73,564,131,574,62,269,1102,176,87,11,509,1057,18,353,45,149,4,330,4,10,11,2584,165,7,83,723,859,412,384,129,13,17,9,35,142,2580,1640,5,78
literal_numeric,8,13,3,5,5,3,7,1,6,1,1,3,2,7,0,4,3,4,14,0,16,0,13,2,13,14,10,3,2,4,16,5,0,8,3,1,0,11,4,16,2,3,1,11,11,1,15,14,16,13,0,7,11,0,0,3,0,6,9,0,0,1,10,1,9,9,3,5,0,8,3,3,2,2,2,1,5,0,1,0,14,2,1,0,4,3,5,0,4,2,1,2,1,3,15,4,2,0
literal_string,27,52,8,20,18,15,34,1,9,3,5,6,8,22,1,14,5,24,59,0,82,1,49,4,55,59,42,12,4,26,75,17,1,35,11,10,5,38,8,77,6,16,9,52,46,3,65,67,13,82,3,26,45,0,0,3,0,25,36,4,3,6,41,1,25,43,15,19,1,24,14,3,7,4,5,4,17,0,5,5,64,9,3,1,13,22,19,1,22,5,3,4,5,10,79,18,5,3
lock_mutex,691,393,2,6,31,206,317,10,1,0,62,1,71,41,120,188,23,39,99,0,159,1,206,16,322,358,495,98,0,162,413,70,18,236,37,23,13,429,0,915,17,372,48,415,412,48,276,520,0,3,1048,199,280,7,7,0,13,373,346,18,215,46,126,13,135,307,43,7,0,162,380,3,117,6,57,0,103,0,0,3,737,58,2,16,278,548,101,226,21,4,2,0,4,41,646,502,0,32
macro,1660,541,1,20,57,155,882,7,26,2,71,2,57,149,250,693,26,51,456,0,461,1,178,18,603,883,964,116,5,475,897,113,26,731,235,25,25,952,6,1940,36,1058,139,674,574,48,423,745,7,26,199,2027,390,14,8,1,10,989,425,24,255,80,196,62,103,543,72,35,5,324,572,16,228,101,102,4,118,3,3,2,1312,103,3,27,305,321,161,186,38,2,3,15,14,59,1358,1149,3,41
manual_memory,984,1424,7,38,51,210,447,10,21,3,63,5,84,83,202,335,27,123,349,0,354,1,528,44,595,687,818,140,6,325,876,134,30,367,78,36,59,551,6,1530,26,583,168,692,734,61,649,964,11,45,280,390,1607,13,4,2,4,643,477,40,209,69,276,22,222,457,101,51,8,230,425,16,167,14,70,4,197,2,7,6,1209,82,5,56,315,575,237,129,71,10,6,5,24,77,1323,659,5,30
map_dict,43,28,0,0,1,1,30,1,0,0,3,0,0,6,15,15,0,3,5,1,16,0,16,3,31,16,29,5,0,13,26,8,2,16,5,0,1,16,0,52,0,24,3,29,16,2,14,35,0,0,7,14,13,64,0,0,0,27,18,2,11,3,16,3,7,20,6,0,0,10,22,0,5,0,2,0,7,0,0,0,41,3,0,0,19,11,6,8,2,0,0,0,1,2,39,25,0,4
map_type,14,8,0,0,1,5,8,0,0,0,9,0,3,6,4,5,1,0,3,0,12,0,11,0,15,10,11,2,0,2,9,8,0,4,1,2,1,4,0,16,0,11,1,10,11,1,8,15,0,0,7,8,4,0,17,0,0,5,11,0,4,5,2,1,1,9,5,1,0,7,8,1,4,0,3,0,0,0,0,0,15,2,0,0,10,11,2,8,1,0,0,0,0,3,15,11,0,2
member_access,4,3,2,3,2,1,3,1,3,0,0,2,1,3,0,2,2,1,3,0,3,0,2,2,2,3,4,0,1,0,4,4,0,3,1,1,0,3,3,4,3,1,1,3,4,0,3,3,3,3,0,1,2,0,0,4,0,2,3,0,0,0,1,1,1,4,1,4,0,3,2,1,0,2,0,1,2,0,0,0,3,1,1,0,1,2,3,0,0,0,0,2,0,0,3,3,1,0
memory_model,22,17,0,1,0,13,17,0,0,0,5,0,0,3,0,3,0,1,6,0,4,0,4,0,9,18,16,0,0,6,22,2,1,17,1,0,0,10,0,28,0,6,1,14,22,1,15,13,0,0,13,10,4,0,0,0,29,4,27,1,2,7,1,0,2,5,0,1,1,11,16,0,3,0,1,0,2,0,0,0,21,0,1,1,6,17,6,8,0,0,0,0,0,0,24,13,0,3
module,2510,948,7,32,76,243,1775,2,33,1,97,7,129,148,364,1435,52,125,917,0,546,0,381,37,998,1819,1622,179,5,660,1398,244,35,1447,381,33,24,1847,6,3569,63,1697,227,1169,935,95,951,1350,6,25,373,989,643,27,5,2,4,4099,700,52,453,111,323,63,151,796,129,52,10,465,642,18,384,131,135,2,275,4,7,5,2262,168,3,56,565,698,202,286,102,11,5,21,27,107,2294,2281,2,99
mutation,1220,744,8,38,64,338,676,7,20,3,121,5,107,156,181,391,43,157,398,0,405,1,414,43,659,791,931,154,4,363,962,190,35,511,128,37,32,790,6,1736,34,673,142,808,809,86,624,911,9,36,346,425,477,18,11,3,27,700,1963,55,307,117,292,35,171,645,115,52,9,361,622,15,207,41,103,7,198,4,7,9,1409,99,6,41,450,587,224,246,86,11,12,3,27,77,1309,851,3,57
name_resolution,84,58,1,4,4,17,57,1,2,0,19,1,16,5,14,25,5,15,19,0,34,0,38,5,55,40,70,12,0,31,55,27,7,31,9,4,0,42,0,98,5,54,9,63,54,5,41,73,0,4,18,24,40,2,0,0,1,52,55,120,41,9,27,0,15,38,14,4,1,20,38,0,29,1,18,0,44,2,0,2,89,14,0,23,42,48,24,12,9,3,0,0,4,5,79,84,0,5
network,840,404,0,4,32,105,326,7,0,0,54,0,58,58,181,203,18,31,50,1,198,0,177,17,406,239,631,143,0,149,388,100,18,255,34,8,13,528,1,1112,29,689,74,596,413,68,178,564,0,3,215,255,209,11,4,0,2,453,307,41,1280,28,137,23,78,415,45,4,0,139,428,9,193,8,65,0,115,3,2,0,942,81,1,10,366,282,79,218,31,0,1,0,3,33,618,573,0,70
optimizer,163,101,2,11,15,54,106,3,6,1,24,2,15,33,16,67,9,38,97,0,118,0,59,18,98,143,175,31,1,79,174,36,7,103,37,11,6,117,7,249,8,93,41,128,125,19,141,131,1,6,46,80,69,3,5,0,7,111,117,9,28,274,61,10,36,101,29,18,1,114,75,1,43,8,60,2,40,0,4,2,169,22,0,10,83,98,56,31,19,6,0,1,9,22,200,122,1,9
optional_nullable,517,366,10,42,40,110,302,2,28,4,53,5,57,70,104,198,20,127,241,0,269,1,210,19,375,358,434,69,6,209,498,105,27,258,91,26,16,333,8,731,22,318,72,381,383,45,327,574,10,41,126,196,276,16,2,1,1,323,292,27,137,61,765,17,98,400,73,52,6,178,242,8,116,16,60,4,129,0,6,9,614,60,3,25,218,224,118,88,81,14,7,10,29,56,572,382,5,30
