Language,SemanticFeature,EvidenceState,ProofClass,EvidenceCount,EvidenceIDs
Python,temporary,OBSERVED,EMPIRICALLY_PROVEN,1,E0005
Python,type_metadata,OBSERVED,EMPIRICALLY_PROVEN,1,E0007
Python,with,OBSERVED,EMPIRICALLY_PROVEN,1,E0004
Go,addressability,OBSERVED,EMPIRICALLY_PROVEN,1,E0010
Go,binding,OBSERVED,EMPIRICALLY_PROVEN,1,E0012
Go,channel_receive,OBSERVED,EMPIRICALLY_PROVEN,1,E0010
Go,conversion,OBSERVED,EMPIRICALLY_PROVEN,1,E0011
Go,declaration,OBSERVED,EMPIRICALLY_PROVEN,1,E0008
Go,evaluation_order,OBSERVED,EMPIRICALLY_PROVEN,1,E0010
Go,expression,OBSERVED,EMPIRICALLY_PROVEN,1,E0008
Go,integer_shift,OBSERVED,EMPIRICALLY_PROVEN,1,E0011
Go,iteration,OBSERVED,EMPIRICALLY_PROVEN,1,E0012
Go,loop,OBSERVED,EMPIRICALLY_PROVEN,1,E0012
Go,map_access,OBSERVED,EMPIRICALLY_PROVEN,1,E0010
Go,numeric_model,OBSERVED,EMPIRICALLY_PROVEN,1,E0011
Go,package,OBSERVED,EMPIRICALLY_PROVEN,1,E0009
Go,parse,OBSERVED,EMPIRICALLY_PROVEN,1,E0009
Go,range,OBSERVED,EMPIRICALLY_PROVEN,1,E0012
Go,rounding,OBSERVED,EMPIRICALLY_PROVEN,1,E0011
Go,source_position,OBSERVED,EMPIRICALLY_PROVEN,1,E0008
Go,statement,OBSERVED,EMPIRICALLY_PROVEN,1,E0008
Go,syntax_surface,OBSERVED,EMPIRICALLY_PROVEN,1,E0008
Go,temporary,OBSERVED,EMPIRICALLY_PROVEN,1,E0010
Go,typecheck,OBSERVED,EMPIRICALLY_PROVEN,1,E0009
Go,untyped_constant,OBSERVED,EMPIRICALLY_PROVEN,1,E0011
Rust,async,OBSERVED,EMPIRICALLY_PROVEN,1,E0015
Rust,attribute,OBSERVED,EMPIRICALLY_PROVEN,1,E0013
Rust,binding_mode,OBSERVED,EMPIRICALLY_PROVEN,2,E0013;E0016
Rust,borrow,OBSERVED,EMPIRICALLY_PROVEN,1,E0016
Rust,capture,OBSERVED,EMPIRICALLY_PROVEN,1,E0016
Rust,control_flow,OBSERVED,EMPIRICALLY_PROVEN,1,E0015
Rust,desugaring,OBSERVED,EMPIRICALLY_PROVEN,2,E0015;E0016
Rust,error_recovery,OBSERVED,EMPIRICALLY_PROVEN,1,E0014
Rust,function,OBSERVED,EMPIRICALLY_PROVEN,1,E0015
Rust,generic,OBSERVED,EMPIRICALLY_PROVEN,1,E0013
Rust,import,OBSERVED,EMPIRICALLY_PROVEN,1,E0017
Rust,lifetime,OBSERVED,EMPIRICALLY_PROVEN,1,E0016
Rust,loop,OBSERVED,EMPIRICALLY_PROVEN,1,E0015
Rust,macro,OBSERVED,EMPIRICALLY_PROVEN,1,E0013
Rust,macro_expansion,OBSERVED,EMPIRICALLY_PROVEN,2,E0014;E0017
Rust,module,OBSERVED,EMPIRICALLY_PROVEN,1,E0017
Rust,mutability,OBSERVED,EMPIRICALLY_PROVEN,2,E0013;E0016
Rust,name_resolution,OBSERVED,EMPIRICALLY_PROVEN,2,E0014;E0017
Rust,parse,OBSERVED,EMPIRICALLY_PROVEN,1,E0014
Rust,pattern,OBSERVED,EMPIRICALLY_PROVEN,1,E0013
Rust,syntax_surface,OBSERVED,EMPIRICALLY_PROVEN,1,E0013
C,canonical_type,OBSERVED,EMPIRICALLY_PROVEN,1,E0020
C,compiletime,OBSERVED,EMPIRICALLY_PROVEN,1,E0021
C,control_flow,OBSERVED,EMPIRICALLY_PROVEN,1,E0019
C,declaration,OBSERVED,EMPIRICALLY_PROVEN,1,E0018
C,evaluation_context,OBSERVED,EMPIRICALLY_PROVEN,1,E0019
C,expression,OBSERVED,EMPIRICALLY_PROVEN,1,E0018
C,include,OBSERVED,EMPIRICALLY_PROVEN,1,E0021
C,module,OBSERVED,EMPIRICALLY_PROVEN,1,E0021
C,ownership_context,OBSERVED,EMPIRICALLY_PROVEN,1,E0019
C,preprocessor,OBSERVED,EMPIRICALLY_PROVEN,1,E0021
C,scope,OBSERVED,EMPIRICALLY_PROVEN,1,E0019
C,semantic_analysis,OBSERVED,EMPIRICALLY_PROVEN,1,E0018
C,source_manager,OBSERVED,EMPIRICALLY_PROVEN,1,E0020
C,target_info,OBSERVED,EMPIRICALLY_PROVEN,1,E0020
C,type,OBSERVED,EMPIRICALLY_PROVEN,2,E0018;E0020
C++,canonical_type,OBSERVED,EMPIRICALLY_PROVEN,1,E0025
C++,capture,OBSERVED,EMPIRICALLY_PROVEN,1,E0023
C++,class,OBSERVED,EMPIRICALLY_PROVEN,1,E0023
C++,closure,OBSERVED,EMPIRICALLY_PROVEN,1,E0023
C++,control_flow,OBSERVED,EMPIRICALLY_PROVEN,1,E0024
C++,declaration,OBSERVED,EMPIRICALLY_PROVEN,1,E0022
C++,evaluation_context,OBSERVED,EMPIRICALLY_PROVEN,1,E0024
C++,lambda,OBSERVED,EMPIRICALLY_PROVEN,1,E0023
C++,method,OBSERVED,EMPIRICALLY_PROVEN,1,E0023
C++,overload,OBSERVED,EMPIRICALLY_PROVEN,1,E0022
C++,ownership,OBSERVED,EMPIRICALLY_PROVEN,1,E0024
C++,scope,OBSERVED,EMPIRICALLY_PROVEN,1,E0024
C++,semantic_analysis,OBSERVED,EMPIRICALLY_PROVEN,1,E0022
C++,target_info,OBSERVED,EMPIRICALLY_PROVEN,1,E0025
C++,templates_context,OBSERVED,EMPIRICALLY_PROVEN,1,E0025
C++,type,OBSERVED,EMPIRICALLY_PROVEN,2,E0022;E0025
C#,attribute_scope,OBSERVED,EMPIRICALLY_PROVEN,1,E0028
C#,binding,OBSERVED,EMPIRICALLY_PROVEN,2,E0026;E0028
C#,closure,OBSERVED,EMPIRICALLY_PROVEN,1,E0029
C#,generic_scope,OBSERVED,EMPIRICALLY_PROVEN,1,E0028
C#,lambda,OBSERVED,EMPIRICALLY_PROVEN,1,E0029
C#,local_function,OBSERVED,EMPIRICALLY_PROVEN,1,E0029
C#,lowering,OBSERVED,EMPIRICALLY_PROVEN,2,E0026;E0029
C#,node_kind,OBSERVED,EMPIRICALLY_PROVEN,1,E0027
C#,scope,OBSERVED,EMPIRICALLY_PROVEN,1,E0028
C#,syntax_surface,OBSERVED,EMPIRICALLY_PROVEN,2,E0026;E0027
C#,token_structure,OBSERVED,EMPIRICALLY_PROVEN,1,E0027
C#,type,OBSERVED,EMPIRICALLY_PROVEN,1,E0026
Java,annotation,OBSERVED,EMPIRICALLY_PROVEN,1,E0031
Java,binding,OBSERVED,EMPIRICALLY_PROVEN,1,E0031
Java,desugaring,OBSERVED,EMPIRICALLY_PROVEN,1,E0032
Java,enum,OBSERVED,EMPIRICALLY_PROVEN,1,E0032
Java,expression,OBSERVED,EMPIRICALLY_PROVEN,1,E0030
Java,generic,OBSERVED,EMPIRICALLY_PROVEN,1,E0031
Java,lowered_control,OBSERVED,EMPIRICALLY_PROVEN,1,E0033
Java,pattern,OBSERVED,EMPIRICALLY_PROVEN,1,E0030
Java,scope,OBSERVED,EMPIRICALLY_PROVEN,1,E0031
Java,switch,OBSERVED,EMPIRICALLY_PROVEN,1,E0032
Java,syntax_surface,OBSERVED,EMPIRICALLY_PROVEN,1,E0030
Java,synthetic_state,OBSERVED,EMPIRICALLY_PROVEN,1,E0032
Java,target_boundary,OBSERVED,EMPIRICALLY_PROVEN,1,E0033
Java,type,OBSERVED,EMPIRICALLY_PROVEN,1,E0031
Java,type_resolved,OBSERVED,EMPIRICALLY_PROVEN,1,E0033
Kotlin,annotation,OBSERVED,EMPIRICALLY_PROVEN,2,E0035;E0038
Kotlin,compiler_extension,OBSERVED,EMPIRICALLY_PROVEN,1,E0038
Kotlin,declaration,OBSERVED,EMPIRICALLY_PROVEN,1,E0036
Kotlin,dependency,OBSERVED,EMPIRICALLY_PROVEN,1,E0037
Kotlin,expect_actual,OBSERVED,EMPIRICALLY_PROVEN,1,E0037
Kotlin,expression,OBSERVED,EMPIRICALLY_PROVEN,1,E0036
Kotlin,frontend_ir,OBSERVED,EMPIRICALLY_PROVEN,1,E0034
Kotlin,import,OBSERVED,EMPIRICALLY_PROVEN,1,E0035
Kotlin,metadata,OBSERVED,EMPIRICALLY_PROVEN,1,E0038
Kotlin,module,OBSERVED,EMPIRICALLY_PROVEN,1,E0037
Kotlin,phase,OBSERVED,EMPIRICALLY_PROVEN,1,E0035
Kotlin,semantic_representation,OBSERVED,EMPIRICALLY_PROVEN,1,E0034
Kotlin,supertype,OBSERVED,EMPIRICALLY_PROVEN,1,E0035
Kotlin,symbol,OBSERVED,EMPIRICALLY_PROVEN,2,E0034;E0036
Kotlin,type,OBSERVED,EMPIRICALLY_PROVEN,1,E0035
Kotlin,type_ref,OBSERVED,EMPIRICALLY_PROVEN,1,E0036
Kotlin,type_refinement,OBSERVED,EMPIRICALLY_PROVEN,1,E0037
Swift,dependency,OBSERVED,EMPIRICALLY_PROVEN,1,E0041
Swift,expression,OBSERVED,EMPIRICALLY_PROVEN,1,E0040
Swift,incremental_reference,OBSERVED,EMPIRICALLY_PROVEN,1,E0041
Swift,lowering,OBSERVED,EMPIRICALLY_PROVEN,1,E0039
Swift,module,OBSERVED,EMPIRICALLY_PROVEN,1,E0041
Swift,pattern,OBSERVED,EMPIRICALLY_PROVEN,1,E0040
Swift,semantic_analysis,OBSERVED,EMPIRICALLY_PROVEN,1,E0039
Swift,source_file,OBSERVED,EMPIRICALLY_PROVEN,1,E0040
Swift,statement,OBSERVED,EMPIRICALLY_PROVEN,1,E0040
Swift,syntax_surface,OBSERVED,EMPIRICALLY_PROVEN,2,E0039;E0040
Swift,type_context,OBSERVED,EMPIRICALLY_PROVEN,1,E0041
Swift,typecheck,OBSERVED,EMPIRICALLY_PROVEN,1,E0039
Julia,argument,OBSERVED,EMPIRICALLY_PROVEN,1,E0045
Julia,canonical_form,OBSERVED,EMPIRICALLY_PROVEN,1,E0044
Julia,compiletime,OBSERVED,EMPIRICALLY_PROVEN,1,E0043
Julia,control_flow,OBSERVED,EMPIRICALLY_PROVEN,1,E0042
Julia,default,OBSERVED,EMPIRICALLY_PROVEN,1,E0045
Julia,destructuring,OBSERVED,EMPIRICALLY_PROVEN,1,E0045
Julia,desugaring,OBSERVED,EMPIRICALLY_PROVEN,1,E0044
Julia,function,OBSERVED,EMPIRICALLY_PROVEN,1,E0045
Julia,generic,OBSERVED,EMPIRICALLY_PROVEN,1,E0045
Julia,keyword,OBSERVED,EMPIRICALLY_PROVEN,1,E0045
Julia,lowering,OBSERVED,EMPIRICALLY_PROVEN,1,E0042
Julia,macro,OBSERVED,EMPIRICALLY_PROVEN,1,E0043
Julia,macro_expansion,OBSERVED,EMPIRICALLY_PROVEN,1,E0042
Julia,parse,OBSERVED,EMPIRICALLY_PROVEN,1,E0043
Julia,provenance,OBSERVED,EMPIRICALLY_PROVEN,2,E0043;E0044
Julia,syntax_surface,OBSERVED,EMPIRICALLY_PROVEN,1,E0042
Nim,call,OBSERVED,EMPIRICALLY_PROVEN,1,E0047
Nim,desugaring,OBSERVED,EMPIRICALLY_PROVEN,1,E0047
Nim,node_kind,OBSERVED,EMPIRICALLY_PROVEN,1,E0046
Nim,object_construction,OBSERVED,EMPIRICALLY_PROVEN,1,E0047
Nim,preservation,OBSERVED,EMPIRICALLY_PROVEN,1,E0048
Nim,provenance,OBSERVED,EMPIRICALLY_PROVEN,1,E0048
Nim,receiver,OBSERVED,EMPIRICALLY_PROVEN,1,E0047
Nim,source_info,OBSERVED,EMPIRICALLY_PROVEN,1,E0046
Nim,source_position,OBSERVED,EMPIRICALLY_PROVEN,1,E0048
Nim,syntax_surface,OBSERVED,EMPIRICALLY_PROVEN,1,E0046
R,assignment,OBSERVED,EMPIRICALLY_PROVEN,1,E0049
R,binary,OBSERVED,EMPIRICALLY_PROVEN,1,E0049
R,call,OBSERVED,EMPIRICALLY_PROVEN,2,E0049;E0051
R,call_chain,OBSERVED,EMPIRICALLY_PROVEN,1,E0050
R,conditional,OBSERVED,EMPIRICALLY_PROVEN,1,E0049
R,dynamic_value,OBSERVED,EMPIRICALLY_PROVEN,1,E0051
R,environment,OBSERVED,EMPIRICALLY_PROVEN,1,E0051
R,evaluation,OBSERVED,EMPIRICALLY_PROVEN,1,E0051
R,function,OBSERVED,EMPIRICALLY_PROVEN,1,E0049
R,iteration,OBSERVED,EMPIRICALLY_PROVEN,1,E0049
R,namespace,OBSERVED,EMPIRICALLY_PROVEN,1,E0050
R,package_symbol,OBSERVED,EMPIRICALLY_PROVEN,1,E0050
R,pipe,OBSERVED,EMPIRICALLY_PROVEN,1,E0050
R,promise,OBSERVED,EMPIRICALLY_PROVEN,1,E0051
R,subscript,OBSERVED,EMPIRICALLY_PROVEN,1,E0049
R,unary,OBSERVED,EMPIRICALLY_PROVEN,1,E0049
Zig,call,OBSERVED,EMPIRICALLY_PROVEN,1,E0054
Zig,compiletime,OBSERVED,EMPIRICALLY_PROVEN,2,E0053;E0054
Zig,control,OBSERVED,EMPIRICALLY_PROVEN,1,E0054
Zig,desugaring,OBSERVED,EMPIRICALLY_PROVEN,1,E0054
Zig,error_recovery,OBSERVED,EMPIRICALLY_PROVEN,1,E0055
Zig,lowering,OBSERVED,EMPIRICALLY_PROVEN,1,E0053
Zig,node,OBSERVED,EMPIRICALLY_PROVEN,1,E0052
Zig,parse,OBSERVED,EMPIRICALLY_PROVEN,1,E0053
Zig,parse_error,OBSERVED,EMPIRICALLY_PROVEN,1,E0052
Zig,semantic_form,OBSERVED,EMPIRICALLY_PROVEN,1,E0053
Zig,source_position,OBSERVED,EMPIRICALLY_PROVEN,1,E0052
Zig,source_preservation,OBSERVED,EMPIRICALLY_PROVEN,1,E0055
Zig,syntax_surface,OBSERVED,EMPIRICALLY_PROVEN,1,E0052
Zig,token,OBSERVED,EMPIRICALLY_PROVEN,1,E0052
Zig,type_semantics,OBSERVED,EMPIRICALLY_PROVEN,1,E0054
