demand_id,earliest_stage,root_cause_kind,required_semantic_facts,semantic_operations,primitive_demand,minimal_witness_case,violated_truths
RC0023,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|ASSIGNMENT()|CALL()|LITERAL(number)|LOAD(),ADD|ASSIGNMENT|CALL|LITERAL|LOAD,ADD()|ASSIGNMENT()|CALL()|LITERAL(number)|LOAD(),83e6dabba5cf4ba0b63e092890acde13703465f1084d8bb80f39bf299f737085,
RC0024,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|ASSIGNMENT()|CALL()|LITERAL(number)|LOAD()|SUB(),ADD|ASSIGNMENT|CALL|LITERAL|LOAD|SUB,ADD()|ASSIGNMENT()|CALL()|LITERAL(number)|LOAD()|SUB(),819c0083a8dfc51ca3f95ee1f8f3b6b52f09a72b804beeedeeb7301b9bbea238,
RC0025,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|ASSIGNMENT()|CALL()|LOAD()|MUL(),ADD|ASSIGNMENT|CALL|LOAD|MUL,ADD()|ASSIGNMENT()|CALL()|LOAD()|MUL(),56f51627fc68cf99d5ee9995ba1a045a55247b3f8c52562ae8423dd43163dad2,T0065|T0067|T0068
RC0026,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|ASSIGNMENT()|LITERAL(number)|LOAD(),ADD|ASSIGNMENT|LITERAL|LOAD,ADD()|ASSIGNMENT()|LITERAL(number)|LOAD(),6aef0522ffebaf30f5cdd948581d610b6f4fab2219f77b81d45a2154ce93fbd9,
RC0027,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|ASSIGNMENT()|LITERAL(number)|LOAD()|LT()|MUL(),ADD|ASSIGNMENT|LITERAL|LOAD|LT|MUL,ADD()|ASSIGNMENT()|LITERAL(number)|LOAD()|LT()|MUL(),7430cb0ac7d85500e4d516717bc6450fc8969aee0fdda003512943d2e8b1ba07,T0065|T0067|T0068
RC0028,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|ASSIGNMENT()|LOAD(),ADD|ASSIGNMENT|LOAD,ADD()|ASSIGNMENT()|LOAD(),641d6ba7a7c68d0fb07410d2f38ea9aeec9408088451bd0d80be5eeb2d2af37d,
RC0029,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|ASSIGNMENT()|LOAD()|RETURN(),ADD|ASSIGNMENT|LOAD|RETURN,ADD()|ASSIGNMENT()|LOAD()|RETURN(),a4dd0f5a5312fd38c23ec75e16ce0eb63573829e56e02383ef3011402808edcc,
RC0030,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|BIT_AND()|LOAD(),ADD|BIT_AND|LOAD,ADD()|BIT_AND()|LOAD(),1977b8887f39e6cd3f05bed5d59d6b5e8eb11155350815554833f55af79a3223,
RC0031,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|BIT_XOR()|DIV()|LOAD()|MUL()|POW()|SUB(),ADD|BIT_XOR|DIV|LOAD|MUL|POW|SUB,ADD()|BIT_XOR()|DIV()|LOAD()|MUL()|POW()|SUB(),89a7fc287eacef9e0529b73e32c6fd91a4bc7850778c06322a08b89373d08a55,T0065|T0067|T0068
RC0032,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|CALL()|LITERAL(number)|LOAD()|MUL()|RETURN(),ADD|CALL|LITERAL|LOAD|MUL|RETURN,ADD()|CALL()|LITERAL(number)|LOAD()|MUL()|RETURN(),d33749167aae94a287a0e636fc2451bc3748e6ae14c2822b1eca23886f392841,T0065|T0067|T0068
RC0033,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|CALL()|LOAD()|MUL(),ADD|CALL|LOAD|MUL,ADD()|CALL()|LOAD()|MUL(),6a874874c5bb92d8a63a966e01c8c9f47bce5a02890ab17f5dbc6329cd4444dc,T0065|T0067|T0068
RC0034,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|DIV()|LOAD()|MUL()|SUB(),ADD|DIV|LOAD|MUL|SUB,ADD()|DIV()|LOAD()|MUL()|SUB(),b802fb0a145afefce9ea3e42d59f5114f00321c467d68e2e7515d772f8840a29,T0065|T0067|T0068
RC0035,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|LITERAL(number),ADD|LITERAL,ADD()|LITERAL(number),31fdde61c699a9f3833d1f926ec67c68ba247058f16a4ecf290446116a8d7543,
RC0036,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|LITERAL(number)|LOAD(),ADD|LITERAL|LOAD,ADD()|LITERAL(number)|LOAD(),2d8042fef582ecdde7854bb675dc64560a9ec8d9a22d8c13e9c881235891d41a,
RC0037,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|LITERAL(number)|LOAD()|SUB(),ADD|LITERAL|LOAD|SUB,ADD()|LITERAL(number)|LOAD()|SUB(),b990fbb19b29809bc91d55b983c6f2590d12884ca3a11379536201f0670e0773,
RC0038,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|LITERAL(number)|MUL(),ADD|LITERAL|MUL,ADD()|LITERAL(number)|MUL(),2e6167dc2d30e7b51cb40fb0ae43c1a8736bcbc575b1645a68cd1c45efaa2e5c,T0065|T0067|T0068
RC0039,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|LITERAL(number)|SUB(),ADD|LITERAL|SUB,ADD()|LITERAL(number)|SUB(),1437376a0e86c8809c163fc35d87694d295762128b2ec2647232d188a21246b2,
RC0040,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|LITERAL(string),ADD|LITERAL,ADD()|LITERAL(string),1747b2c502ac3ef3657acb6855c45a4900def5d4b3c231d2facc53bc6303df58,
RC0041,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|LOAD(),ADD|LOAD,ADD()|LOAD(),2525d19cfaa28bf83354b502a7ae766c16f662b50c68758296cfa66600cdfbbb,
RC0042,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ADD()|LOAD()|RETURN(),ADD|LOAD|RETURN,ADD()|LOAD()|RETURN(),93cf95013fc6f64e919b796c38bb7536ee0769f9e4bb153ba1846829c615301f,
RC0043,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:AND()|ASSIGNMENT()|EQ()|LITERAL(number)|LITERAL(string)|LOAD()|NOT()|OR(),AND|ASSIGNMENT|EQ|LITERAL|LOAD|NOT|OR,AND()|ASSIGNMENT()|EQ()|LITERAL(number)|LITERAL(string)|LOAD()|NOT()|OR(),edf283eff7973a969e7199184c76053fc3f20e40c55fa05f2de47805b5bf0ef8,T0063|T0075
RC0044,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:AND()|ASSIGNMENT()|EQ()|LITERAL(number)|LOAD()|OR(),AND|ASSIGNMENT|EQ|LITERAL|LOAD|OR,AND()|ASSIGNMENT()|EQ()|LITERAL(number)|LOAD()|OR(),e36eba260ecae687cc6f94a2fc4a6f5b476d1ff10a49146ac8cc6d242273d4a4,T0075
RC0045,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:AND()|CALL()|LITERAL(string)|LOAD(),AND|CALL|LITERAL|LOAD,AND()|CALL()|LITERAL(string)|LOAD(),180b768dc17bc6624b63e08d5b35f6963727318df144339541c9e88785337e71,
RC0046,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:AND()|LOAD()|NOT()|OR(),AND|LOAD|NOT|OR,AND()|LOAD()|NOT()|OR(),529920fd2e77cc17a6ae9dfe15882d6be6405a4d75ff42bcd3761ba4b2821442,T0063
RC0047,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|BIT_AND()|LITERAL(number)|LOAD()|MUL(),ASSIGNMENT|BIT_AND|LITERAL|LOAD|MUL,ASSIGNMENT()|BIT_AND()|LITERAL(number)|LOAD()|MUL(),87fab604ab623ac72f60c13feea7393e3ea855a289f1d4ae8be46a1a3b4c8359,T0065|T0067|T0068
RC0048,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|BIT_OR()|BIT_XOR()|LITERAL(number)|LOAD(),ASSIGNMENT|BIT_OR|BIT_XOR|LITERAL|LOAD,ASSIGNMENT()|BIT_OR()|BIT_XOR()|LITERAL(number)|LOAD(),379d1284af805b9d3dab0b4f55064e6db5c732769aa22914a6becaa3251b3d1b,
RC0049,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|BIT_OR()|CALL()|LITERAL(string)|LOAD(),ASSIGNMENT|BIT_OR|CALL|LITERAL|LOAD,ASSIGNMENT()|BIT_OR()|CALL()|LITERAL(string)|LOAD(),186a85d67bb6b50dbe7ac8e287ebce26b5125dbf101a52e780d6ff68d98c92db,
RC0050,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|CALL()|LITERAL(number)|LOAD(),ASSIGNMENT|CALL|LITERAL|LOAD,ASSIGNMENT()|CALL()|LITERAL(number)|LOAD(),093a09400c7a2223dcf5eddfed5ac30b917843edfae242128590950dfb583da8,
RC0051,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|CALL()|LITERAL(number)|LOAD()|MUL(),ASSIGNMENT|CALL|LITERAL|LOAD|MUL,ASSIGNMENT()|CALL()|LITERAL(number)|LOAD()|MUL(),d40655e844511e1769968d1123a44a9f3f9718aa9c096e1c7706faf574be1b2b,T0065|T0067|T0068
RC0052,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|CALL()|LITERAL(string)|LOAD(),ASSIGNMENT|CALL|LITERAL|LOAD,ASSIGNMENT()|CALL()|LITERAL(string)|LOAD(),81cf48262517d3efa637f96a96996b10b1de93494b9e05deb6d6bd937b91ba8f,
RC0053,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|CALL()|LOAD(),ASSIGNMENT|CALL|LOAD,ASSIGNMENT()|CALL()|LOAD(),13e03f3340ed477af7a0a7a3bd7219d6a3f4337b428c1d786cd361b69a2cf04d,
RC0054,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|CALL()|LOAD()|LT(),ASSIGNMENT|CALL|LOAD|LT,ASSIGNMENT()|CALL()|LOAD()|LT(),6e5de94e8d95410cc2c0ea7d2d76e96ebe4ee3cd66eb98905be7a059c23ad5eb,
RC0055,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|CALL()|LOAD()|NOT(),ASSIGNMENT|CALL|LOAD|NOT,ASSIGNMENT()|CALL()|LOAD()|NOT(),3e9387298fb46cd9729b35b3afcb76d481f8ec4034dcadaa8f1a44fb94e16581,T0063
RC0056,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|CALL()|LOAD()|RETURN(),ASSIGNMENT|CALL|LOAD|RETURN,ASSIGNMENT()|CALL()|LOAD()|RETURN(),5ae3d6e66455c202ae9334a3af5eace3716a389ce3caff8f5141b9eff0ddb137,
RC0057,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|EQ()|GE()|GT()|LE()|LOAD()|LT()|NE(),ASSIGNMENT|EQ|GE|GT|LE|LOAD|LT|NE,ASSIGNMENT()|EQ()|GE()|GT()|LE()|LOAD()|LT()|NE(),a49f9442deda30ce3c8df8872c9f7c737723a2895c761ce9346e542acac2cda2,T0072|T0075|T0085|T0087|T0088
RC0058,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|EQ()|GT()|LITERAL(number)|LOAD()|LT(),ASSIGNMENT|EQ|GT|LITERAL|LOAD|LT,ASSIGNMENT()|EQ()|GT()|LITERAL(number)|LOAD()|LT(),16548fd4ead735798e8df0b46a92cd7f22ac820d5cf8174680002eb8d4e6c12a,T0075|T0085|T0087|T0088
RC0059,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|EQ()|LITERAL(number)|LOAD(),ASSIGNMENT|EQ|LITERAL|LOAD,ASSIGNMENT()|EQ()|LITERAL(number)|LOAD(),ea8cb2224cca7657a8c54e16bb4beb17ef66700b3161141e2607f69b7dd029cb,T0075
RC0060,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|GT()|LITERAL(number)|LOAD()|LT(),ASSIGNMENT|GT|LITERAL|LOAD|LT,ASSIGNMENT()|GT()|LITERAL(number)|LOAD()|LT(),75e339bacb0eceff12c6469b5f47ef7329050e4d93a0b6547e1f655f8bf00d59,T0085|T0087|T0088
RC0061,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|GT()|LOAD()|LT(),ASSIGNMENT|GT|LOAD|LT,ASSIGNMENT()|GT()|LOAD()|LT(),5e99ee1bf549a1f72a14fc00bfa77929ac566626ded9d14a658deac5cdcec63f,T0085|T0087|T0088
RC0062,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|LITERAL(number)|LITERAL(string)|LOAD(),ASSIGNMENT|LITERAL|LOAD,ASSIGNMENT()|LITERAL(number)|LITERAL(string)|LOAD(),025f422d7d4bb620928823620b6ed8aa107caa5f14b21b1232970c53a8854418,
RC0063,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|LITERAL(number)|LOAD(),ASSIGNMENT|LITERAL|LOAD,ASSIGNMENT()|LITERAL(number)|LOAD(),174483d1b76ef084f9e67453c88aa4b8f55cd69c4d976ae70c8b1c7b16973896,
RC0064,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|LITERAL(number)|LOAD()|LT(),ASSIGNMENT|LITERAL|LOAD|LT,ASSIGNMENT()|LITERAL(number)|LOAD()|LT(),a717666afb556ff6415f40f20e1e867202ebf11744851d4317f4f325604a207d,
RC0065,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|LITERAL(number)|LOAD()|MUL(),ASSIGNMENT|LITERAL|LOAD|MUL,ASSIGNMENT()|LITERAL(number)|LOAD()|MUL(),2e24b6e8c1e62b4ada1bd34af879821c7a69e09384dea62a5e2c0e97cfec54b6,T0065|T0067|T0068
RC0066,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|LITERAL(number)|LOAD()|RETURN(),ASSIGNMENT|LITERAL|LOAD|RETURN,ASSIGNMENT()|LITERAL(number)|LOAD()|RETURN(),ec0d108dc63da1a524757c1b24f2b46ab2b5fa2620e45529e6f560be143b48d2,
RC0067,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|LITERAL(string)|LOAD(),ASSIGNMENT|LITERAL|LOAD,ASSIGNMENT()|LITERAL(string)|LOAD(),048e541283173ff7d16c15a3a1baaa564fab92b268ec9b3fdca5e7c4cbd595ab,
RC0068,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|LITERAL(string)|LOAD()|RETURN(),ASSIGNMENT|LITERAL|LOAD|RETURN,ASSIGNMENT()|LITERAL(string)|LOAD()|RETURN(),eb7c9044da19554ff976b1289812f3e93c6e97844ec0a9676fa2c74cbab7ebb1,
RC0069,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|LOAD(),ASSIGNMENT|LOAD,ASSIGNMENT()|LOAD(),02bac6ef72d02ca97b611a4af50aea0f57c5238a04a881cec0c813e5b5719a94,
RC0070,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|LOAD()|LT(),ASSIGNMENT|LOAD|LT,ASSIGNMENT()|LOAD()|LT(),3d1fd3dc57a1ec16d483b876cd7f37f8ba41de5140a9d34913eb6225e2a5f604,
RC0071,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|LOAD()|NOT(),ASSIGNMENT|LOAD|NOT,ASSIGNMENT()|LOAD()|NOT(),eae5f4f3ba1e42358a9193374a1f75cc5bce461d69670f66378beb3a32761d4c,T0063
RC0072,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:ASSIGNMENT()|LOAD()|RETURN(),ASSIGNMENT|LOAD|RETURN,ASSIGNMENT()|LOAD()|RETURN(),174f8b3121d47e6cbe4e8eec33d65a067df156f583dd77217d754f509aa67332,
RC0073,V4_NATIVE_EMISSION,REPRESENTATION_ROOT_CAUSE,PRIMITIVE_COMPOSITION:CALL()|ITERATION()|LITERAL(number)|LOAD(),CALL|ITERATION|LITERAL|LOAD,CALL()|ITERATION()|LITERAL(number)|LOAD(),c67ed92e34ca7556bd5b2c58988762f6462fde12c0a862b727a7c74ad764a7ea,
